ParlaMint-IS_2016-09-08-149.u1	To answer, health minister, education and cultural minister, environment and resource minister.
ParlaMint-IS_2016-09-08-149.u12	A respectable president. I want to thank you very much. Minister for the answer, and rejoice that this has taken place in a stable manner. Now we are referring to a certain portion of the project, so to speak, 50 million now and immediately under the hat of a budget. Then I'd like to ask the highest. A minister of whether he believes that it is best to believe that the General Assembly will further deliver this project into a longer future - I am even thinking about the future of a coming superpower anniversary or some such milestone - and the General Assembly united in a handsome demonstration that we are going to do a good English language for the long future so that it will continue to be the foundation and importance of the fact that we are a nation of our own.
ParlaMint-IS_2016-09-08-149.u13	A respectable president. I think it's good to do the next show, the to-do. Of course, we need to look only at the cost schedule, review it, these were the first words we received. When that description is presented, it is also easier for us to recognize the estimated costs. The number a billion has been mentioned, but I have the impression that this can be more expensive. True, technology change and development in the world may thus become less expensive, but it is very difficult to determine the exact cost. But I think it will do just fine. A senator proposes that when this work is started and on the basis of it, the Allied Council is in the position of agreeing, for example. with a concierge how to proceed. But I strongly suggest that not only will the General or State do the work but they will be working together with their professional life because they have shown great interest in it. [[The president calls.]] It is understood that the importance of this project will be solved, and the job life wants to do it through funds and, of course, cooperation with the technology component, etc. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u14	A respectable president. A U.S. Marshal's Committee. A health secretary to shape a policy to reduce the harmful effects of drugs has produced a report and has reached the highest level. The Minister's committed it to the council for further implementation. The chairman of the Commission, the Borgar of Þór Einarsson, told the results of the report that there is a significant change in drug metabolism and that it has the highest influence. Minister taken in the same line. A key suggestion is not to put drugs in prison but rather to fines for what has been done, as it has been done. Of course, it is important to note that it has not been a matter of throwing people in prisons solely for carrying doses of consumption, that knows the staff, and of course it knows the highest. Minister. However, the report suggests that laws will be changed so as to fit in with how they have been carried out so far. So there is no change in viewpoint unless there is a greater emphasis on guilt. But a good point is not to fine people like me who choose alcohol as their own drug, just the others who choose different drugs and carry them. Then there is much of the problem, but it forgets to explain how the guilt of drug abuse is subject to the idea of damage and the idea of helping to escape addiction. So I direct the Minister to inform us here how these two things go together in his mind. What kind of guilt do you get from addiction? Of course, I'm not secretive, and I know that these two things don't go together, you don't punish better behavior, that tells us all a law in psychology and behavior. [[The president calls.]] Second, it does not help perimeter groups, such as drug addicts, to get in their pockets and take away their money. [[The president calls.]] But I'd like to hear how a minister envisions this.
ParlaMint-IS_2016-09-08-149.u15	A respectable president. Thank you. A member of the inquiry but reiterates what I have previously said publicly that I have waited for the report to be discussed in the council. These are the results of a group of members appointed on the basis of a synonym where I was assigned to initiate this work. I received this in this fall, and it was announced that the report was made when she was admitted to the council. So I wait for a discussion at the council on the suggestions presented there, which are 12 if I recall correctly, before any position is taken. I'm doing my job, and I'll be happy to discuss it with you. A member of the council as well as others here at the time of that discussion. I hope that this discussion can be carried out as soon as possible, because we have waited a relatively long time for the work that is brought together in the report. That's right. That's right. That's right. A senator that some of this report is not exactly new to any other than to confirm, as in this case, a specific legal arrangement, which requires adjustment of the law. However, I would like to mention other factors that are very good in my opinion, which are the tip of the injury. I also find very good matters that involve changes in blood drug measurements, etc. Also, minor offenses, etc. There's something good about this. True, some of these questions will be disputed, but to answer the question as a matter of course. A senator suggests that it is no solution to try to fine people from addictions. [[The president calls.]] I don't think there's anyone, either in the staff or in the room who thinks there's a solution to addiction. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u16	A respectable president. I was happy there at the bottom. Minister to finally find the answer to the question I brought out here. At the beginning of his talk, the minister said that he would wait to say something about the report there until the discussion began. But it's good to hear that a minister doesn't think it's a magic solution to fine people out of addiction, for that certainly isn't. Nevertheless, this is the main point proposed by this group. But this was the subject of the staff. That is noteworthy, and I want to hear what is at its height. A minister has to say, that the head of the state police in the staff wasn't able to agree with the proposals of the staff and didn't vote for them. Some, including me, feel that these suggestions are very effective. What's the bottom line? Minister that a representative of the head of the state police is unable to support these reforms? [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u17	A respectable president. It's nothing special unless we have one suggestion of the 12. I think the Marshal supports most of the other suggestions or at least his representative in the group. What I find most valuable in these material, which attracts the approval of the General Assembly, is that there is a declaration of a change in emphasis on the treatment and implementation of practices that fall under the drug law. It is long time for me to change our ways, change our attitude, start working more with these matters as health care rather than with crime, i.e. What turns to addicts. That's where the biggest change of attitude is. We know all the hot cables on the drug - free Iceland in the year 2000, and since that time, in the year 2000, there has been no change in focus or attitude. This is in progress, the report and the work. [[The president calls.]] The agreement at a council reveals that there is a change of mind in these matters. [[The president calls.]] [[The president calls.]] I'm glad you're here.
ParlaMint-IS_2016-09-08-149.u18	Mr. President. I want to direct my words to the highest. Education Minister for the bill now available to the council, the LIN bill, on the Icelandic loan Fund. I think it is a serious offense to be equal to study on the part of the government if the bill becomes reality and it prevents people of all ages from enjoying their abilities and education regardless of their economic status and habitat. The bill assumes that each person will be given strength away from whether or not they need it. We know that people of the region who have to be rented in the capital area will be exposed to the high expenses involved. In addition, growth is tripled. The link is closed. They're gaining a load of payment on the low income, e.g. women have more than no less pay after school. Those who have suffered hardships and have not been able to repay and have had to cancel them have no chance of borrowing in the future. Study aid is limited to 50 years of age. We know that the workforce is such that people who lose their jobs at mid - life are finding it very difficult to get their jobs back, and they are trying to control their chances of borrowing to get more access to a job market. That's the way you keep counting. I'd like to ask a minister if he's really not worried about it, if this becomes reality, that the loan guarantees that this equality for study and social equations will be guaranteed. I'd like to ask a minister if he wasn't concerned about the groups I mentioned, the people of income, women, people from abroad. These groups are faced with inconsistencies because there is a great difference between them and those living in the capital area and from income to income. I would also like to ask if any analysis has taken place before the bill was presented with regard to these groups, women, harvesters, people from abroad, and students from abroad, e.g.
ParlaMint-IS_2016-09-08-149.u19	A respectable president. Thank you. The senator of this inquiry. I've watched many comments on this subject. I have felt that there are a number of sources missing from a number of sources of detailed analysis on the effects of the bill and, in particular, the interaction of the bill and this system with the other assistance that the government provides to the students. I've noticed that, for example. in discussions about rent, rent costs. I have seen criticism of that point, but it has not been followed by calculations that have been viewed as unique examples and the positions of students set up and calculated the outcome. The facts of the matter are: 85% of students who are now taking student loans will get a lower load of payoffs. A lot more students at our biggest university, the University of Iceland, and for example. At the University of Akureyri, there are women. The low pay load or low pay load will be useful to that group. Hv. One senator mentioned that she felt that it was unfair for everyone to have the same strength. Then I'd like to ask. A senator, a respectable president, one question. In the bill that the current chairman of the left green was presented for the loan fund, equal concentrations were expected to be made to everyone, where the strength was calculated as a proportion of college advance and then distributed in an equal fashion. In other words, exactly the same thought. Was a what? A senator agrees with this methodology, but does that mean that it is given the same strength as it is done in this bill? That's what counts. A senator will answer that question because I believe that this is a very important matter that should be placed above a group of political tugs. [[The president calls.]] I know why. A senator knows the bill submitted during the last term in which a funding system was expected, and that system went out on exactly the same thought; that its strength was equal, regardless of family size, regardless of family circumstances, independent of income. [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]] I'm calling for what? A senator will explain.
ParlaMint-IS_2016-09-08-149.u20	Mr. President. V.E.G. Well, the Minister of Education is clearly in the best of defense and of asking questions about the former Ministry of Education and his bill. It would be better if there was a bill and we were hoping for a relief when a new education minister arrives in his next term and puts out a proper bill that will benefit the people who need to borrow, but it is not to be embalmed by those who live in a home house in the capital area, who need no allowance, and thus spend the money, instead of making use of those who need it. We are to show pride in this society that there is just as a place to study from sex, age, income, and situation. This bill is flexing that path, and again it is taking under the wealthier ones and preventing people who are on the edge and who have less access to study, to study. [[The president calls.]] [[The president calls.]] It's very dangerous. The independence party's representatives in the requisitions have promoted equality for study. [[The president calls.]] [[The president calls.]] They should check on this bill of education.
ParlaMint-IS_2016-09-08-149.u21	A respectable president. That's why I asked why. A senator. The bill under consideration during the last term says, a respected president, in a paper: [[Up front.]] ▪ The height of the concentration to which it was then added -- ◯er was guided by a certain percentage of the fund's basic progress at any given time, or by 25%. Hence, it is not the loan that each student borrows. It is the same amount for everyone. Same magnitude for everyone. During the last term, left greens contributed to a system that would be recorded so that it would be the same strength for all. [[Up front.]] What I, a respectable president, have done is suggest exactly the same thing as they say: It's unfair to ask about it, it's unfair to ask about it. A senator after his opinion of the very nature of the matter. A senator had a very heavy reputation. [[Up front.]] How could that be? When that bill was presented with the exact same thought, did a senator not tore up those views, the same amount of strength to all regardless of family circumstances? How can that be, noble President? What I'm saying is this: There is a possibility that this bill will ease student loans by 85% of those taking student loans. [[The president calls.]] [[The president calls.]] [[Up front.]] A respectable president. There are those who need it, and I point to what has been forgotten so often during the discussion, and it is important to watch the student loan system in connection with other Kingdom assistance. [[The president calls.]] [[The president calls.]] [[Up front.]]
ParlaMint-IS_2016-09-08-149.u22	A respectable president. I'm very happy that we're the best. Ministers have managed to arrange this discussion. I find the size of a big, important group of subjects, far too small to discuss at the General Assembly. I also feel that the regional policy at one time is very little at all during the discussion, and in general, I don't think people know a lot about strategy. The last one was adopted at this council, which is, in fact, far too short for such an important program. Most of the things mentioned in this program and already approved have been implemented. Maybe everything was going to happen next year. The question that I find very urgent is, How do we make sure that other farms are in the capital area, but here in the capital area, they are at the head of the demand? What Is Needed? I think that we as a nation most of us are more and less inclined to agree that we want to be built on the land. We want a strong country, and of course we want a strong capital. You wonder, though, " Is it really possible that things will just develop somehow, without anyone having their fingers in it? ' We often hear the view that everything that is reasonably important is located where most of the people live. This is the dominant attitude, but it actually maintains the trend that most reach south. Who would not want to live where the service is best, the work is the most varied, the best access to education, the variety of culture? Without precisely calculating it, I can imagine that only the funds we have placed in the Harp since its construction are more than all the financial resources that have been placed in the country since ancient times. I'd like to sit down and figure it out. When it comes to civilization, I feel that the country will be left out in particular. I'm not saying that I regret money placed in cultural affairs in the capital area, but one of the reasons why people want to live somewhere is not only basic services but also culture. This is what I think is important to me. We know, in effect, that if nothing is done, riches accumulate in few hands, so we have a tax system that aims to change this. In fact, the same is true when people disappear from the inhabited earth they feel and experience that somehow they have been left behind. We see that the European Union and neighboring countries have to take decisive measures to influence the development of the environment. I think it's the right way. We can't let these things just happen on our own. It's not working. In Iceland too, we have made conscious decisions. Some aim to make the capital area stronger. Then I can mention, as I heard in lectures I enjoyed, it can go back to 1750, and I can mention the entrance Skúli a fógeti that the king's Danish king was very strong, because at that time there was a cold area, broken down, and that is why there was a lot of work to be done. Sometimes you need to do it. Of course, there have been coincidences and jobs in the country, but perhaps a little monotonous or perhaps in terms of industry, which has not always been good. If we are going to strengthen the settlement outside the capital area, we need to take on, in my opinion, much more targeted measures, since we have actually taken decisive action. We have not clearly defined what our goals are, why this operation is performed, and not someone else. These actions are not necessarily part of a plan, but they function randomly and are often random. And so it really does, we can say, that they will be passed over. In my opinion, we should have a 10 - to 20 - year plan on community issues, as we can see in the northern countries. I think it's very important that there is such an interpolitic partnership, and I think that the classes agree to a large extent. It is something that can go contrary to categories. Once we have a plan and have decided that we are going to have these operations, it is much more likely that it will succeed, and they will not cause a wolf's spray, as I would allow myself to mention the transport of a Fish Lab. [[The president calls.]] I agree with that operation, but the way it was performed was completely out of the map. [[The president calls.]] It would have been better if we had seen that we were going to move that institution at some point out to the country, and we're going to do it this way. [[The president calls.]] [[The president calls.]] [[The president calls.]] I'd love to hear what's at the top. A minister has this to say, and he has another subject in his second speech.
ParlaMint-IS_2016-09-08-149.u23	A respectable president. I'd like to start by saying thank you. paritaprevir Brynhildur's Pétursdóttir's spirit is deeply involved in bringing up this important group, the community. I have always had a very deep conviction and a clear view of how the settlements are supposed to be. The main reason we're supposed to run here powerful, creative regional policy is that it's Iceland and Icelandic society needed that the whole country is inhabited. It is simply economically practical, not only for the region but also for the capital area, that it is a dynamic and valuable society around the country. It is important to me that we say things in a clear way. Based policy is not to be lost by any of the government's alms to the inhabited earth. Rather, based policy is on the contrary to the opportunity and means for an Icelandic community to increase the wealth and progress. I'm going to briefly review the three tools that have been under development in order to put on based policy and follow it along, thus attempting to ensure residence in many areas, such as winter. A senator rightly mentioned here. First of all, it's the Board of Directors on Social Affairs. For about one year, there has been an active board of directors of the Council on community affairs appointed to representatives of all councils and representatives from the European Union. The audience is from the local part of a rural society and a graffiti. The Control team works out the definition that based on the definition of cohesion is all the subjects that affect the quality of life and the competitiveness of a part of the country, such as residence, employment, and innovation, and the aim is to get the entire Ministry to act as a unit of community. It is important to coordinate advice policies directly or indirectly. I'm going, as everyone knows, with the water supply and agricultural sector issues, but as we all know, policy and planning in other programmes can have a major impact on development based. Hence, the steering team is very important to keep track of one course being carried out. The Control team also provides an annual report for the Minister on the implementation of parish plans and is a government for consultation in regional matters. In May. The government decided to hide the head of the group to shape clear policy measures on markets and practices, such as the preparation of financial policies and financial agendas in the field of individual recruitments and other public policies. We have stressed that if a planned action is considered to be out of harmony with government policy, the representatives of the board will inform the rulers of the Council. Second, there are national parish programmes. It is based on local cooperation between government, board of directors, national and rural communities. The application programme shall recommend regional focus on the main objectives of based planning, planning, cultural policies and the events of other public policies. Last year, a new protocol was adopted for the implementation of protocols and protocols in the law of No. 69/2015, and the importance of legalizing the locals as much as possible. Thus, rural communities themselves gained greater custody over settlements. Local governments have a better knowledge of the local circumstances and attitudes and are in a better position to enable the local people to participate than the governments we consider to be central. This is very important to me, so I generally agree that the local people have more to say how their territory is covered with money. I underline that participation in policy activities, planning and project management is fundamental to achieving better results in rural areas. Third, it is a policy based strategy for 2017/223. Council proposals for the resolution of a new strategy for 2017/223 will be submitted to the next council. According to the aforementioned law, No. 69/2015, a new work done at the development of a urban strategy has been established, but the main indicators of the project are increasing consultations with the Ministry, Company and local community groups and then the general public has been able to send in proposals on the homepage of the Office. The current strategy for working to date seven years instead of four years of age. That is the years of 2017/223 below. That work has progressed well, and it is assumed that the Office of Building A Ministers will draw up a new plan to seven years very soon. The exact details are not available at this point at which the emphasis will be complete, consultation with jobs and schools, rural and national organisations, as well as advice and other bodies are not finished. But very soon after I took up a new office as a local minister, I gave a graffiti agency to implement the tax system for regional purposes, as it has done well in our neighboring countries, and is my main entry into a new community plan. The ways you will be looking at include reduces the cost of insurance from the capital area, reduces the costs of those who travel long distances to work, and cancels student loans in poorly educated areas. I hope that these suggestions will be fulfilled and that they will prevail. These are suggestions that are known elsewhere. Finally, I think it is very important that we all agree to speed up the development of various infrastructures, such as communication, transportation and electronic security, and to ensure access to public health and education services. [[The president calls.]]
ParlaMint-IS_2016-09-08-149.u24	A respectable president. However, there is no real structure at work in Iceland today. Building policy is just a word on paper. Yet, there is now a song in the quality of much of the right and equality of the urban population with good transport and high network connections so that rural, employment, habitat and services can be combined. But it is far from the fact that these main structures are everywhere in the right way. On the contrary, they are a major inhibitory factor in urban development in many countries. As we know, e.g. The road system under many of the damages and long distance from the Internet connections that should be acceptable to them. Of course, it is not acceptable in the second decade of the 21st century and is contrary to the official policy of integrating services, uniting institutions, employment areas, and rural areas. It will be increasingly urgent for rural society to receive e.g. Enjoying a growing stream of tourism so that they can successfully cope with urgent tasks, but they still have no impact on such policies. Of course, we know that the sound availability of home - to - house service is very important to education and culture, but unfortunately it is not in an acceptable way. The last action by the government, to use funds to prevent the passage of 25 years and older into high school, is one example, not showing a strong understanding of the importance of education to balance the situation and improve the standard of living in the country. Now, it would be a song to attract people to the settlements of the land with green payments, an embezzlemented tax appeals - why should they be useful only to big companies? [[The president calls.]] - but none of this is being done because there is no regional policy with Iceland's people today.
ParlaMint-IS_2016-09-08-149.u25	V.E.G. President. I was glad to hear what was going on. Marine and agricultural ministers developing a future policy, to seven years of age, of the National Park Policy Organization. I'm sorry to have to agree with what's happened. &lt; 0.001a &lt; 0.001a &gt; &lt; 0.0001 &gt; &lt; 0.0001 &gt; &lt; 0.0001 &gt; &lt; 0.0001 &gt; &lt; 0.001 When co-administered, the risk was increased. paritaprevir The bramble of Brynhildur's Pétursdóttir and his whisk. paritaprevir Ólína the Þorvarðardóttir daughter, however, that the country is not a place of geographic policy. This is vital if we are to stay in the country up to a fixed course in follow - up time. When I look at those who live even. East on the land, on the northeast corner, and on the Westland, there are a lot of things and things to be done better. The road system is even. In a way in the northeast corner, the roads are clean and cleared, and people damage their cars by trying to pass through them. What is central to regional policy is developing a policy in employment, transportation, communication, education, service, and recreation. All of this makes one land a inhabited area. It is not enough to have a capital city where everything is present because as the settlement moves closer and closer to its core, it becomes weaker. It's important that we have all over the country.
ParlaMint-IS_2016-09-08-149.u26	Mr. President. It is important for all of us, both in Reykjavík and in the country, to have the country built. That we cherish the scattered settlements as well as that we cherish our capital and remember that we are one people in one country. At times, I feel that this discussion is isolated from those from the country. Of course, this should be a matter of interest to all of us, discussing how we can best manage to preserve our country and ensure all, regardless of our estate, good and adequate living conditions. I think that's right, and I can agree with them why. Of course, when it comes to regional policies to secure infrastructure, whether in the form of transportation, communication, or education, it is an important part of the State. These are matters that people all over the country, as well as that of the capital. But I think we also have to realize that the trend here on land, although many people think it's a little exaggerated, is not just Iceland's. Around the world, young people are especially moving from scattered areas to urban areas. We need to take into consideration this matter. People are picking up certain items that are not just about jobs or infrastructure but that are picking up something else. That's what you hear in so many places. People want to choose to live out certain advantages that make places attractive. I think it's very important for the government that makes regional policy, and I agree with the highest. Minister, to listen for the voices across the country. I specifically mention the parish plans and national meetings that were held in all parts of the country. To control where they themselves want to go, we must use the power of the settlements. It was noteworthy at their meetings that, for example, there were people there. Education and culture usually come to the top. That's what matters when you live somewhere. Not only is it the workplace, that the road works, but this also is the very essence of life. I think it's very important if we're going to build here based policy for the future, considering that people in the same time are moving. [[The president calls.]] It doesn't live in the same place all its life. That's a long time ago. [[The president calls.]] That is why it is so important that we listen to people's voices and minds and actions toward the very essence of life that is so important.
ParlaMint-IS_2016-09-08-149.u27	A respectable president. I want to thank you. paritaprevir Brynhildur's Pétursdóttir's spirit for bringing up this tremendous interest and important matter. As is the case today, certain settlements are simply about to lie desolate, especially if we look to the West. There are settlements that are about to disappear. There's a tremendous decrease in the number of people there. It has been a long time for people to move from there to a place where there is a service, where there are roads, where education can be obtained. That is why I found it particularly interesting to hear from the highest level. Minister how he intends to cooperate directly and indirectly, how policies in other schemes can have a tremendous impact on a country - based position, especially on education. It is now a song that has been called for, among other things, from the European community that exists in the country, that the Norwegian way will be done in the student loan system. This has proved to be good there, and it appears to be necessary. These kids, students, often leave home early, 16 years old, 20 years old, and have to move around. When you've been away from your hometown for ten years, why should you come back? What's there that pulls you back? If the family has even moved? Somehow we have to deal with the reality that there's something to go away with, something at home. When all are gone, when there is no one present, no entertainment, e.g. There is no bar or theater or art, there is not much to turn to.
