ParlaMint-IS_2016-10-06-165.u1	The program suggested at the end of a meeting yesterday has been called again.
ParlaMint-IS_2016-10-06-165.u12	V.E.G. President. There are two points that have been presented in the discussion, separate cases that I was going to take on. On the one hand, it was the other. paritaprevir Esu Lára Arnardóttir about the ideas she and her party have for changing the tax system in behalf of the country. I must express deep doubts about such ideas. I think the tax system should be as simple as it will be, and if you want to take any specific action to support individual settlements it would be better to do so in a direct way than to complicate the tax system or other such systems. I'm basically thinking that a simple tax system is for the benefit of everyone. Rather than using government funds to cover the financial expenses of an enterprise as if it were really the case, a decision to make with open eyes is more simple to support individual settlements. The other point I would like to mention is, in effect, a moment of reflection. paritaprevir Pétursdóttir's bandit on the campaign system. Of course, in a democracies community, there are many different ways to organize campaign systems. The system we live in is not perfect in any way. This is better than what we had in the past, but there are various flaws. It is important and fundamental that the election system reflects the will of voters. On the other hand, I do not find it unnatural or inconceivable to make certain demands for minimum political support so that it would be at the General Assembly to avoid the crisis and confusion that can result if it is too easy to bring representatives into Congress. [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u13	A respectable president. I declared to the president yesterday, and I think it's the first day, too, that while we senators who are in this hall can't get into the campaign like the rest of the nation's population, we're in the short future votes from this chair, and I'm going to start now. I want to talk about the bright future and what political power we are. Today, a number of campaign tests are being prepared, a nice test, to help people make their own decisions. One of them is the tomb of a social science organization, which clearly shows that a bright future is a liberal and international class. We are at the top of a magazine, and at the very least we disagree with other classes, which are more prepacked and isolated. This has been done since the formation of the group in 2012. First, I'd like to say I'm glad that others agree with our presentation. Today, we even have entire groups that adopt our theme. That's fine. But now that people of that category are beginning to appear because their following is up to the dollars and ours to start the pills, I want to direct people to see which parties have been fighting for the particular companies, the special interests of production, etc. and then look at who can be trusted in that case. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u14	A respectable president. It sounds like the last speaker that he's formed the third United States. Everyone's competing for the same thing.
ParlaMint-IS_2016-10-06-165.u15	What about the fourth?
ParlaMint-IS_2016-10-06-165.u16	Well, who knows if she doesn't show up? [[Consider: Will you come then?]] A good group of kids has often been popular. I don't know when to start it. [[To the point: You've got a good one.]] What I wanted to talk about here is exactly the job of the council. They say the campaign struggle is here, fired from here. I believe the current government has run it all the perfect period by leading many good things to the outcome of society. It must be said, as it happens, that the past loss has been far better than that of many jobs and has been exemplary. Here, the council has agreed to resolve many good things and to discuss them wisely, without speech, and any other such. Sadly, the last days have not been like that. It has made me very sad to see that when it comes to such a program as a four-year transport program that I think is so happy to finish and everyone thinks it's national protocols, they need to start extending meetings and talking more on different topics and to accuse a person as soon as they're not there. I've been waiting here day after day to get to the rosary to discuss this national contract. Then there's all kinds of other discussions and the President's conference board. It tells itself that you do not always feel tired of being there to hear such a talk. I would like to point out the points on the program today that show that we could have used the last few days in a number of cases: financial support at the first apartment, temporary reimbursement due to recording music, authorship, release of capital scourging, public shopping. Then there are other good things to wait for, like the LAIN, and then there's social security on the way in, too. [[The president calls.]] We can take advantage of the time in matters that benefit the nation. That's what we're supposed to do.
ParlaMint-IS_2016-10-06-165.u17	V.E.G. President. Before the council there are issues that are about to shape a policy to reduce the use of harmful substances on consumer products. Very good, and I need a case. For example, the only way to monitor the lips, whether they contain roofies, is to analyze the product to verify its contents. Such analyses are very costly, and this is why they have not been attacked in this country. I think it's very serious, especially because the share of markets is increasing, i.e. Trades in countries where the use of chemicals is thought to be higher and less expensive for the experienced, thus natural costs and the content is so high because of the need for monitoring. Sadly, the legislation today is far more tailored to the interests of the manufacturer than to the interests of the public and consumers. I think we're throwing away certain possibilities by deciding that it's just too expensive to do research. For example, we have not even checked to see if there are any jump tests. The evil properties of certain panels are known. They may affect human fertility, cause cancer and allergies. Then fetuses and newborn babies are the most susceptible to these substances. So I don't think it's a matter to belittle or try to joke about. These substances are persistent and accumulate in our bodies. I believe we have the right to know what is in the products we buy, the plastic bottles, the containers for food, bottles, nards, toys, and other items for children with furniture and table equipment, etc. The rest of the North have done well in this regard. There, people are fully aware of the impact these substances can have, and they link them not only with environmental concerns but also with welfare issues. I don't think we should be the only northern nation to minimize the damage to these chemicals. It would be good, since this matter has been very comfortable between classes, as shown in the discussion, that we tried to put it through so that we do not have to measure for such an important consumer matter again. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u18	A respectable president. Once again, I'm going to discuss the plane's issues. For the shortest time, I lay down with others. Councilmen present a bill to correct the change in the law on the equation of oil transport costs in order to equalise fuel prices between international airports. Today, there is an equation of oil products transport costs that ensure that fuel prices are not the same between individuals and companies. In addition to the simple fairness of life, it is important to match the circumstances and competitiveness of companies around the country as much as possible. This equation is not valid for transport fuels, e.g. Airplane fuel for international flight. This results in a much more expensive fuel level in Akureyri and Egls than in Keflavík. This flims up the competitive position of the choice, working against which airlines see fit to set up regular flights to places in Iceland other than Keflavík. It is suggested that the equation system also includes oil for use in international hatches and international flies. The aim is to match the position of international airports and the oceans. Interest in international flights to new destinations has increased, and some airlines have already sent in applications for the strength of the air development fund made this year. So I think it's important to get the company's initial response to the bill and that the case will be discussed at the Council, although it is hardly handled at this council. Other routes may be superior, even better, in order to level the competitiveness of international airports, but it is important to find out.
ParlaMint-IS_2016-10-06-165.u19	A respectable president. I'd like to make serious comments to the president's career yesterday. A program is proposed for the council but certainly not all of them had a committee opinion. However, according to the council, more things in the Assembly Hall can be called off a committee. The president decides to cancel the case, but he says that there is a formality in the motion, that it is not really tackled. Either a case is arranged, and then the president sets the matter up without a lawsuit, or the proposal is not taken, and then the case will not be planned. Then we could have been able to take up the talk in the middle room how to understand the Assembly Hall. The work I had last night was a disgrace to me. I'd like to reiterate that if the president doesn't feel that the proposal is not a conquistancy, it won't be scheduled. If he puts it on the program, he does not reflect on the fact that it is defective or inadequate. I don't think it makes sense, Mr. Honorable President.
ParlaMint-IS_2016-10-06-165.u20	A respectable president. Once again, I welcome the discussion of transportation, which I believe is the biggest welfare issue in my life, and I don't get tired of saying it. This is evident because safe transport primarily reduces road accidents and costs the community about 50 billion a year, apart from social costs. In traffic alone, there are 200 people who are seriously injured or killed each year. We've got to stop this from happening, and we've got to stop it soon. I've got some suggestions for working and I'd like to win a career where EuroRap has charted the road, where the most dangerous roads are, and the most accidental. I got this conclusion in response to an inquiry to the Minister of the Interior, earlier in the winter. Using these data, we can take steps to reduce the number of road accidents within a short period of 50%. Careful estimates of this operation would cost over a period of several years a total of about 9 billion dollars. but would save each year at least 25 billion. It's perfectly obvious that this is something that's supposed to attack and that's what we're all about to do. We must agree on that. But it's not just the security part, even though the safety is number one, two and three. The economic economy is often involved. It increases the economic effectiveness of companies and public institutions and other means of transport. Making transportation helps to run rural and government institutions by facilitate cooperation and even cohesion. This spreads tourists around the country, saves the time of public traffic, it is environmentally friendly, and it could continue to be counted. This is what we need to consider, but even though transportation matters get stuck a little bit in the road and road accidents discussion, and all of that, I believe that we should make all transportation our own. We are not to favor another means of transportation, that is important. Therefore, I would like to express great pleasure in the efforts of Iceland's Air Association in starting an internal flight from Keflavík to Akureyri and hope that this is only the beginning of a more powerful national flight system to distribute tourists across the country and increase the service of the residents. I'm right to say that if a powerful international flight builds up at Keflavík, and in other locations around the country, it will undoubtedly strengthen the international flight to the city of Reykjavík, since it could cause tourists to fly off to the land of Cheflavík and then fly back to the capital or vice versa, take public transportation to the capital and begin to visit it and then fly from Reykjavík's airport to shore and then fly straight to Chefavik before they fly out. This will only help each other. Travel companies around the country have over 70 degrees [70 ° C.] that they can deliver to get tourists through the international flight if they start in Kraffík. That is why I challenged more airlines to be exemplary, encouraging them to do good work in this. This is very important. In my first speech, I discussed just how important it is to find ways to get more people to run the national airport across the country, market them, and find some work for them. Over the years, I have discussed whether the international airports could come to a private, rural, or mixed - minded person who would take over the business in a more practical way and often in a more practical way than the State can by its legal means. It would be a strengthening system to help with the management of these choices, as is the case with rejections. If the harbors meet certain requirements, their communities run the harbors and develop a scholarship. This is how airport conditions for population populations can be developed, the importance of hospital flights, tourists, and so forth the airport becomes stable, the driver can apply for strength, and then find out what to do and try to market the airport and use it properly. If internal flights begin from Cheflaví to some extent, the use of these defects and practicality in their operations will increase. All of this helps. This is extremely important, and I always remind you that the international flight is one of the most important public transportation systems we have today and one of the most used. I'd like to better get to the harbours I had to cross to the dogs last time. There is one of the most important occupational instruments in every community and surrounding areas that enjoy them. The importance of these rejections needs to be given more leeway in the discussion. It provides a basis for the development of the project and also for a link to import and export products. Where there are strong ports, there can be abundant and varied employment both in fish farming and in international transport, storage, ferrying, and similar. This is important. I'd like to take an example of the importance of staying on ports and then name the harbor on the Hornfjord. It is often like an island because of its distance from its capital, weather conditions, and so forth. They build most of it on a fishing project. If the docks were to close, probably 70% of the equipment would have gone overnight or at least ... seriouslydrunk. Then we'd be in danger of crime. It is very important to study the dock situation and to investigate transport in general is very important, whether it is a tunnel or a port, a road, a flight, or anything else. We need to consider these conditions in many parts of the country. I also mentioned the last village crew, but from there we are receiving reports every month of any changes in our employment activities, either reports or exchanges. The projects that we have been building on transport programmes and on the budgets of the past few years will make a big difference in their job life and its diversity. There is a large agricultural region around which farmers are increasingly willing to move groceries to a foreign market, to obtain resources and equipment that will be good for e.g. With ferry cruises and a lot more practical. It can have a wide variety of food and other products and will take a shorter route of sailing; it is not necessary to sail completely for the Rhine that will shorten the delivery time into the market, and so on. Time is always so short as a person is being dosed here to discuss this important matter, but I am stressing that transportation is the key to improving the growth of economic growth, increasing the income we are going to use in the welfare business, but it is also a prerequisite for reducing the pressures of the welfare system, since good transportation reduces the number of accidents and so forth, and then the cost is practical. We have to keep in mind how important it is for us to talk about this and maybe, as I've been in the past, that we'll talk about the big, important things, not just by special transport projects. First, we need to determine the importance of the seminary and the capital, and then we need to give it the most practical and sensible, and the safest.
ParlaMint-IS_2016-10-06-165.u21	A respectable president. Thank you. When it comes to a transportation program, which was often most enjoyable, a candidate for the talk as well as for the cohesion of the committee. Although we had been tailored a bit narrowly from the executive enterprise financially, I believe the committee has managed to work well with what she had from playing. I found it interesting to hear that emphasis as a matter of course. A senator began and ended up, i.e. that the changing process of working in the treatment of the situation, especially here at the council. There is a list of danger zones where security improvements can be made. There's a projection plan, plans for big business, but we're working with this here at the council, we don't work with this kind of information. We have a transport program, as it happens, and then we get a wide range of views from here to there from all the parts of the country. Then you come up with a "hoc," like, "e.g. The way from Fitum to the terminal. I'd like to say something with a what. A senator that I would like to see that in the future the Senate will work better with priorities based on objective assessments that will take into account the security issues and based trends, such as The unity of rural society and of such, that it would be supported by a powerful transport support and the prospect of a job development. It's a good example. It would've been over for a long time if men had some of those views in mind and the members of Congress were actually dealing with the information based on policy and facts. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u22	A respectable president. I agree with what. A senator for the best cooperation on the Committee. That's exactly where we agreed. I am also glad that we share in the matter and how they agree with the committee's opinion and commend the people instead of having something to do with the votes and the like. We agree that this is the way it should be, and then we don't have to argue about it. Rather, we help us reach a conclusion. Everyone deserves to be thanked for the outcome. We agree that we have to do this in the most reasonable way. We are making enormous investments in transportation. They can have tremendous impact, making it most practical and reasonable for planning and policy making. It should not be so that those who have most members of the council or who are most aggressive in fighting may get their way, which, in turn, does not bring the most to the community. That's not a good use on public funds, not at all. Many people may begin to feel a bit afraid that their territory will be left out because they are small and far away. That's not true at all. The evidence I have quoted contains one of the most dangerous roads in the country east of the Shire. There is one of the most dangerous roads in the country that would set high priorities and many more roads. However, if we have certain policies, there must be some way we can deal with the changing circumstances, so a case such as the Smokey Way from The Fits would not have come in here. All we would have seen was that the population growth was so great, the population growing like this and the diversity of industry. We must act immediately and change our plans and install such tasks so that we do not need to fight because it is at the end of the row. It doesn't make sense.
ParlaMint-IS_2016-10-06-165.u23	A respectable president. I appreciate the answer. You see, I agree so completely with what. A senator over there. The thing about the Smokey Lane opened your eyes to this, and you wondered why such a road would not go automatically in some process. There's obviously too much stress, too much traffic, and this is part of the main artery into the country. We focus on the tourism. I want to see that this can go on by itself, that the senators don't have to come together and put pressure on something to be done because something happened. A man wondered what we can do here at the council, how we can change, what tools we can use to further the work we were discussing. I would also like to mention that after I've been at the council all these years, I personally feel quite tired of the discussion and the spontaneous opposition that I feel toward a funeral. A tunnel can, for example. A key to strengthening parts of the country. For example, consider the East and the West, where funeral construction is a complete key in helping with rural association, creating a powerful core, etc. A project that keeps the women in the country so that the men will remain there. Rather, they move to the capital area and follow. Then I feel that it is important that we look to the sex friendship when the country is being assessed for projects. I further remind you of an interesting investigation that indicates that the White Sea has done just that, i.e. Strengthen the position of the women in the area. [[The president calls.]] I feel that we need to talk about a positive type of soil because it's extremely important to the future Iceland community.
ParlaMint-IS_2016-10-06-165.u24	A respectable president. Once again, we are what? A senator agrees. It ended up talking about tunnels, but they're just like all other transport projects, so important. The whole body is equal between the sexes, the areas, and the rest. I agree with that. I'd love it if Iceland became like Swiss cheese from a tunnel. That'll make everyone better. Not only are tunnels equal, they're environmental. It is a massive pollution and cost to a moving company to have to drive over a high level of pagans. There is also much energy to keep these pagans open. There is great danger of accident, and there is a great deal of concern for the population in having to travel across a pagan country during the winter and so forth, so that all of this is recommended, as is the case with all other transport. Then I'd like to establish another transport program that reaches all these goals, but which we don't discuss with the transport plan because it's not in there. It is the telecommunications and the beacon that also contributes to greater equality, since this can often be done away from world headquarters. It gives you greater freedom. All transportation gives you increased freedom to farm, increasing your prospects, and that's what we want to do. I think the best way to succeed in all of this is for us to have achieved a common vision and know where to go, and the senators have only given up on deciding which road to take.
ParlaMint-IS_2016-10-06-165.u25	Mr. President. Thank you. A senator's speech. That's exactly what I'd like to talk to him about. We have talked a lot, and we have attended a conference hall on a government operation program that is not yet available, of course, it has not yet appeared. I'd like to ask you what. A senator whether he believes that the way to which the current government has been going is enough and seems to aim to return the next spring when an invitation is due. So I wondered about the amount of money and the length of the money that comes with it if there is no more money to be added. Is the greatest competition between rural societys what it is, i.e. watching only the number of connections, not meeting the most fragile areas? We've had challenges, and we've had discussions with local authorities that this is not what has been committed on the part of the government, at least. I don't think that's how the rural communities understood it, that's done, that's what we've been through. Of course, I find that very painful. This is the Berry Fjord, the West, where it will never be profitable. I wondered, " Is there any other way to go? ' Or does the senator support our being proud of any number of connections? The best - equipped communities prepare them eagerly for this because they know that ahead is some sort of competition for who will be next, instead of looking at the situation from the ground point of view. Or, like a whisk. A senator concluded, saying that you can choose to live in a place that has minimal wood so that you can do what you want to do or learn what you want to learn.
ParlaMint-IS_2016-10-06-165.u26	A respectable president. Thank you. A senator for giving me the opportunity to continue the discussion on the light guide, which is a great concern to my heart, especially in these fragile areas. I would like to begin by saying that I do not agree with the senator's statement that there are some places that will never be profitable. This is never the case, since transportation is always an opportunity for success. They may not, but they will always have the opportunity to do so. We're seeing rural areas that have powerful fiber optics. It takes only one family on a high income to move to the country's community and do their job there and pay an answer, and then the local community gets a huge income from this one fiber - optic connection. A huge amount of money. This has happened many times. If there is going to be an increase in job structure, pay outlets, and valuables in the rural community, it's so lucrative. That's why I totally agree, and I'll never say that enough money is put on transportation. I think it'll be a good idea if it comes back many times. But we must be quite safe to enter this fiber - opticization. Technology is developing rapidly, so this five - year government program certainly takes five years, a long period of time in the technological age, with 5.5 billion still in the financial program for the next five years. That's not what we're talking about. This may be a question of how to make the most of our budget. How do we serve as most people as little money as possible? How do taxpayers'funds benefit? Then we just need to discuss how long the most fragile settlements can wait and whether we need to take some specific actions outside this way to help them. [[The president calls.]]
ParlaMint-IS_2016-10-06-165.u27	Mr. President. Thank you. The senator's answer. You see, I completely agree with him that such a means of transportation can be profitable. And, of course, everything that the senator said about paying off is fine and that is true. But that may be what we're facing, and the senator knows what I am, I live in a scattered and large economy, that they can't wait many of them. Many rural societies have grown up to be unable to wait. We need to ask ourselves, " How do I make the most of my money? ' Does that have any other connections? Or is it by trusting in a settlement, that some village simply doesn't tire out, because it's our assessment of what it means to get as much money as it can. I think we can watch this from more than one point of view, i.e. not from the crowd. I know we both speak for the flight and all that. Here is a suggestion to strengthen the domestic flight. It was an proposal for senators to agree in this context and it seems that the reduction of air traffic costs has not been used. We know that our infrastructure is sad, and there is a great need for strengthening. Here is a suggestion to open a farm and place money on a wide range. Got it. A senator's priorities are more important than making this real public transportation, i.e. to focus all on lowering the crash costs? Even though money is put in here, it is also money. To look at the situation, there is nothing in the world that all this money goes into it. [[The president calls.]] We don't have everything to do with it more than the first day, I agree with it, but what's the priority in this case? [[The president calls.]]
