Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	-	Centre-right	BenediktJohannesson	Jóhannesson, Benedikt	M	1955	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u12	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u13	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	AndresJonsson	Jónsson, Andrés Ingi	M	1979	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u14	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u15	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BjortOlafsdottir	Ólafsdóttir, Björt	F	1983	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u16	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u17	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u18	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BjortOlafsdottir	Ólafsdóttir, Björt	F	1983	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u19	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u20	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BjortOlafsdottir	Ólafsdóttir, Björt	F	1983	
ParlaMint-IS-en_2016-12-21-10	ParlaMint-IS_2016-12-21-10.u21	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-10, 21.12.2016.	2016-12-21	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	JonOlafsson1977	Ólafsson, Jón Þór	M	1977	
