ParlaMint-IS_2016-09-07-148.u1	The president reminds us that our votes will be here right after the 1st talk.
ParlaMint-IS_2016-09-07-148.u12	A respectable president. I'd like to pick up the thread where it went. paritaprevir The Valgerður of Bjarnadóttir disappeared earlier on the switch between projects and businesses between the state and the country. There has been a long discussion that rural society needs more businesses than it does today. It has often been discussed between state and rural society, how to manage these factors and where and how to get more farms. Men have mentioned the fuel tax, in part a fuel tax should flow to the countryside where they are responsible for transport within their rural community, etc. Many other factors have been discussed, but it has not been easy to determine how the growing income stocks come to the rural community. However, with what we watch today, it is essential that we respect this administrative level of the rural community. So let's make a step higher, bring more work to the local community because they have closer service and they know more about what works in their own community, better than we, who sit here at the Council, and establish a law that most people are supposed to visit. On the other hand, I reject the very opposite. paritaprevir Valgerður's Bjarnadóttir, that the board of directors here and now, an independent group and a forward group, would not want to increase the share of your company's income stocks because in Reykjavík the Union is the left, green, and Piratar. I think conspiracy theories are beginning to fly pretty high.
ParlaMint-IS_2016-09-07-148.u13	A respectable president. I'd like to start by saying thank you. paritaprevir Egilsdóttir for calling here and giving a clear description of what has been related to the agricultural agreements under consideration and animal control. I've got, like the rest of them. However, members of Parliament, there are a number of discussions about this in so - called community and other media. There is no question that the debate is in any emotion, but of course there is no senator here who would support it, either directly or indirectly, that animal abuse was in the business with or without state staging. Some discussions are carried out in intense emotion, and that is how I was going to discuss the matter. During the last few days of the council, there have been very much discussion with so - called bank bonuses, who were not really the personal bank bonuses, but were rewarded as holding companies who took over property from fallen broilers decided to pay their employees against the success of selling possessions. In this hall, there was a lot of discussion about this matter, and many words were lost, an enormous expression that could not have been seen except based on considerable misunderstandings. I hope it was unintentionally but not planned. This was especially surprising to me, especially because it was only a year ago. The members of Parliament participated in a forced agreement with these broilers. The colors paid over 500 billion dollars in a government fund against their leaving the country with other property. They were talking about greed at bankers. Of course, I call it nothing more than greed when people want to go even further into the possessions of the foreign sears rather than be glad that some of them will remain in the form of tax payment, 700 billion if I know the right thing. I wanted to tell you what to do. The Economic and Business Committee agreed this morning to take these issues in particular, and they had a rich solid agreement on this. [[The president calls.]] I hope there'll be some debate over these matters on some cognitive level. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u14	A respectable president. As the Senate works during this term, it will be more apparent not to reveal slightly obvious how little difference there is between the ruling parties at the General, even though they are divided into four categories. In one case after another, the entire ideal period, in a committee following a committee opinion, following a stand, has been seen walking the knife between the two sides. While there is, of course, a critical difference between agrienvironmental or fictitious aspects, there is no greater than simply a number of political parties. Adding to the election is the fact that the four political parties, in all principle, have the same goal for the next terms. Therefore, I would like to say that in the coming elections, changes in the work of the Parliament will take on new more things that are involved in social reforms and in the interests of the public. However, in order for smaller items to become more substantial, the smaller item must be credible. And in order for the elements that have stood here for the reign of this terms, I believe it is necessary for men to unite in these different categories on the collective project file for the next four years, so that supporters of all these classes and all those in Iceland who want to change will have a clear choice. Otherwise, this government will continue with the same government, plus its construction wheel.
ParlaMint-IS_2016-09-07-148.u15	Mr. President. During the past few days, I have had a big change in my proposal to the job board for the livestock contract that it would be permitted to drop state strength if the animal traffic laws were broken and farmers practiced zoos. I don't expect the 26 senators who voted against the suggestion that they mean, by saying that it's okay to give blunders to those who are involved in the animal business. But I also ask myself, " Now this livestock contract was in place, where nothing was taken care of. ' They did not wake up until this proposal of mine was submitted. The people struck her, and they began to try to make something better. It is now a matter of professional employment that people are trying to meet that point of view. But has it gone far enough? If not directly involved in direct payment, may an animal farm be partly involved? Is that okay? Why don't we go all the way to defenseless creatures in this country and say, "There's no money from the government box to those who practice animal abuse or violate laws against the well - being of animals? ' I think the public in this country wants us to take it far from defenseless creatures. And that's not the way it is for people to talk like that. In 2012, when we passed a law on animal travel, then a professional minister, J. Sigfússon, presented the law that if a law on animal protection was violated, a federal grant could be taken. Then came the president of the Farmers Association and said that there was a need to make changes in the storeworks. Now we have livestock open. We make these changes, we walk all the way down the road, and we can't afford an animal in any way. Of course, we do not give any government strength as it does. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2016-09-07-148.u16	V.E.G. President. First, I'd like to say the last speaker. Of course, we're not supposed to allow an animal accident in Iceland, and we're supposed to do everything we can and everything we can to prevent it. Mr. President. I've made nuclear and nuclear disarmament a subject at this scene several times. Earlier this year, a team of 123 members of the United Nations came together to find ways to ban and eliminate nuclear weapons. Iceland, however, did not participate in that work. Sadly, August 19 turned out to be. to vote for a report produced by this working group. That's not where Iceland paid votes. By the time we're back, Iceland has repeatedly joined the nuclear powers, and if Iceland has just not signed a vote against the ban on nuclear weapons, we have at best sat by. For this reason, I have directed two queries to the highest level. Secretary of State, on the one hand, to find out why we stayed behind in this vote in August. and to ask, though, if a representative of Iceland would support the proposal that at the UN General Assembly, a conference will be announced in 2017, with involvement in international institutions and civil organizations that would be open to all countries with the intention of negotiating legal binding ways to ban nuclear weapons and contribute to their extinction. [[The president calls.]] You see, it is important that we take our stand on this, no matter what nuclear power may be involved.
ParlaMint-IS_2016-09-07-148.u17	A respectable president. It is a special pleasure to recommend for the synopsis of the Paris Convention of the United Nations. In December one of the most important deals in history to deal with climate change, the Paris Convention, the United Nations Convention adopted in Paris. V.E.G. The Environment and Resource Minister signed the contract for Iceland on a formal signing ceremony conducted at the United Nations headquarters in New York on April 22. The Paris Convention is a legal binding contract that obligates the world's countries to work together on the vital work facing mankind, to respond promptly to climate change and the effects of life on earth. The Paris Convention is also the most ambitious climate agreement ever made by the countries of the world. With it they commit to enforce a course that was designed to reverse the frightening developments facing the world. A respectable president. The purpose of the Paris Convention is primarily to keep the earth's temperature rise within its limits. This limit, according to the contract, is below 2°C relative to the average temperature of the earth before industrialization. It is also recommended to seek ways to keep the increase below 1.5°C. The EU aims to reduce emissions, so-called national budgetary contributions, made up of its own decisions and to form the Paris Treaty a legal framework for this commitment in the Member States. The agreement, however, does not predict who these goals are or what they are made up of. It will be in the power of the kingdoms itself. However, it is important that all countries are expected to contribute to the reduction of greenhouse gas emissions, which is the first time. The contract expects the countries to report their regular national contributions to the UN Climate Convention and how they intend to reduce greenhouse gas emissions. From 2020 onward, countries will show an ever - increasing ambition for donations. An effective accounting and monitoring system should ensure that the desired targets and commitments are comparable. Most countries announced their plans for commitment to the Paris meeting. Iceland sent in its 30 June 2015 target of a 40% reduction in greenhouse gas emissions in 2030, compared with 1990, in cooperation with the European Union and Norway. The final commitments of Iceland on the basis of the Paris Convention are determined by the agreement of these three parties. The goal is to complete that work next year. This arrangement is practical for various reasons. According to the EEA Convention, Icelandicenterprises have participated in the European Emission Emissions System for years called the ETS. Hence, it was at the time considered beneficial and natural to create an environment to participate in a common objective with the European Union in the second Kyoto Protocol period of 2013◯2020. Thus Iceland owes itself to reduce emissions by more than 20% to 2020, compared with 2005. We have good experience with this cooperation, and this is a normal continuation. Iceland thus operates with many of the most ambitious countries in the climate, and that's where we want to keep our place. It will be normal to agree between Iceland's international commitments and the rules on climate issues that we adopt on the basis of the EEA Convention. Norwegians have come to the same conclusion as they aim to walk toward the next pass from a common objective of 30 countries within the framework of the Paris Convention and to expand internal rules there. A respectable president. Iceland, in many ways, enjoys unique situations in which electricity use and house - warming are already almost 100% renewable energy. Of course, there are opportunities in other areas being worked on, including On the basis of the government's application program on climate issues presented in the Paris Summit. For the first time, it provides a comprehensive climate project program, which is based on financial projects and emphasis on getting people from jobs, institutions, and university society to help with the project. The Paris Convention places a special responsibility for developing countries. In this way, they are to take the lead in the implementation of the contract, where they are in a better economic position to cope with the problem, as well as responsible for large amounts of greenhouse gas emissions. It is then recommended that developed countries provide support in the form of capital and support for climate-friendly technology. In most cases, developing countries have lower body volumes to cope with climate change consequences or take action to reduce emissions. This arrangement complies with the core of the European government's focus on developing cooperation for years. For years, the United Nations University and the Icelandic government have helped developing countries build knowledge and technology in their own fields, but all with strong references to climate. The importance of such work is now confirmed by the contract. The Icelandic government has also decided to increase contributions to the Green Climate Fund and further contribute to climate projects by the Council of the North Pole. Iceland was then in charge of the establishment of an international geo-gravity alliance at the Paris climate conference. It is particularly enjoyable, then, that the Paris Convention contains guidelines to meet gender equally relevant issues in adaptation to climate change and infrastructure, but Iceland kept those views very up - to - date during the negotiation. A respectable president. In 2016 the world's temperature appears to be going to the highest from the start of measurements. Temperatures are struck, water is falling, sea level is rising, weather is causing man and property loss, and drought destroys crops. Today, I met with the minister of foreign affairs of Bangladesh, a country where the consequences of climate change are just the most serious. As it turns out, some 15 million people in that country may have to flee their homes before 2050. We in the north also have enormous interests to care for, and later this week, we will have a comprehensive assessment of Iceland's interests in the north, which has been performed at the national level. The effects of climate change in northern regions are widespread and global. Temperatures rise, falls, and life patterns change. In the past 30 years, research shows that Iceland's northern waters have been greatly acided, and this calls for failing where marine ecosystems are fragile. There is no need for a wide range of concerns about Iceland's interests in this regard. The Paris Treaty has given rise to climate policies for the future. The Paris Convention is about the future. It is our responsibility for how the earth will be returned to our children. The contract takes effect when at least 55 states with 55% of world release have validated it. The number is now over 20 kingdoms, but an important milestone was reached last week when the United States and China declared that they were validating the contract. Iceland also has an important role in the implementation of the contract and was among the countries who wanted an ambitious agreement. The full value of the Paris Treaty is now sending a message that we want to take pride in the implementation of the contract and contribute to its gaining global value as early as possible. So I hope Iceland can validate the contract as soon as possible. As such, I suggest that the Congress's resolution of the Paris Treaty be followed by this discussion referred to the question. Foreign Affairs.
ParlaMint-IS_2016-09-07-148.u18	Madam President. Thank you very much. Secretary of state foreclosure. She was good. Two schools have been fraught with discussions about the environment over the past few decades, namely, that man is some kind of master or ruler of nature, capable of taking action and that he should use nature as he pleases and suit himself. Then there's the other school that goes out to see that man is a part of nature and has to be careful about what he's going through so that he's self-sustained. The warmth of the earth and climate is the most clear reflection of the ideological failure of the first school. It's a ideism that doesn't work. That is why we face the problem. It is also obvious to us, who are internationally involved that such a problem will be solved only by powerful international cooperation. I spent a year with other members of the council in Paris when these contracts were in progress and put away. I'd like to say that it's a great pleasure to know that we're going to validate them at the council. I'd like to ask the highest. Minister where we see a critical plan of action. For example, I know that in force a climate program is known as at least one. The former government set itself up. Where is she? Are they working for her in some way? Do we see it? In the second answer, I'd like to discuss only the acidification of the sea, which is a very serious matter for Icelanders and a very specific matter for us to focus on, but unfortunately we're very small, at least when testing. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u19	A respectable president. Thank you. A senator for the inquiry. As he likely realizes, the contract makes a legal framework for the commitments made by the countries themselves. Hv. A senator asks what this means. One of the things we have declared is that our joint objective is to reduce emissions by 40% by 2030 compared to 1990, as shown in my history. We also place great emphasis on forestry and land healing, along with other aspects of our presentation. In terms of the last government's policy, there is something being done with it. I believe this is such a matter that it will continue to evolve. As it has grown, and the way it has changed in these areas, I feel that there should be some cross - political agreement about its progress and the way we set our goals. This is what we're doing right now at this point, and I'm very happy that we're this far on this and how the Icelandic government's been doing this as well as how they were working on the Environment and Transport Committee.
ParlaMint-IS_2016-09-07-148.u20	Madam President. I'd like to finally encourage the highest. Minister to promote influence on Iceland's government that there will be more power on these matters. I know there is little time left by the authority of the current government but, nevertheless, there are major measures to be taken. There is more to be done. The government and the government in Iceland can do more than in this agreement because it is an opportunity for us to place real capital and real power in research of the acidification of the sea. There are opportunities for us to use our glaciers to illustrate the effects of climate warming. Of course, we should be on the lead in these matters. There are opportunities to do so. Maldive examples show how little nations, small countries, can do things that are of great importance. It was the president, or prime minister, who held a meeting below the sea when he took power to draw attention to the fact that if it seemed that the islands were simply sinking, they are only a few meters above sea level. I'm not measuring that the government meets below the sea, but I think that in a figurative way, Icelanders could pioneer in bringing the world's public to consciousness and waking them up that one of the most urgent things in the world today is taking real action to correct global warming and deal with the consequences that this has brought to the entire population.
ParlaMint-IS_2016-09-07-148.u21	A respectable president. Thanks again for asking. I agree that me and the Icelanders are in a very good position to do our part. We have our electricity and heat that originated in nearly 100% more renewable energy. There we are doing our part. Then, as I mentioned earlier, in a government application program that was just adopted in the leading part of the Paris Convention. One thing I would like to mention again is that there are, of course, huge projects that are involved in increasing the donations needed for forestry, land healing, the recovery of wetlands, and such measures related to electrical vehicles and cooperation with marine areas and the reduction in emissions of agriculture. I think we need to keep working on this. We make additional contributions in the Green Climate Fund, and we want to be very early in this regard. Our involvement at the Paris meeting is clearly marked. Also, we must not forget that at this time industrial and business minister proposed proposals for the interpretation of the energy exchange strategy for a number of national targets, e.g. that the proportion of renewable energy for transport in the country will be 30% in 2030 and will be reduced to 10%. I think setting such goals as we are doing will bring us very much. This can also be done by means of a specific checkup. But I agree with the senator. We should always be very ambitious in this business.
ParlaMint-IS_2016-09-07-148.u22	A respectable president. I'll agree with the highest. Minister to celebrate this day. I think we're all happy that we're here measuring for the validation of the Paris Convention, which was a major turning point in climate change all over the world. I would like to ask specifically about the factors in Iceland's commitment. We are now going to be participants within the framework of the Paris Convention, but it is stated in the text of the Council resolution that the final binding of Iceland to the year 2030 is not available until the European Union has been negotiated. Iceland also stated that there was an informal meeting together with Norway with the European Union on this joint project and that there is a political agreement. Finally, formal negotiations begin in the near future and are expected to be completed in 2017. Later, in this same text, the word "peasant " appears repeatedly. When it comes, I think, four times in 15 lines, some literature scholar would talk about grace. It's good in itself that Iceland wants to be ambitious in climates, set out ambitious goals, and want ambitious agreements. It's all good and good. We also want to remain on the lead of action against climate change, but I ask, What is the objective of Iceland's contract in this relationship with the European Union? If Iceland is going to live up to its name and be so ambitious it's going to require a multitude to the government's executives in these matters to keep it on rhythms what Iceland's contract aims are.
ParlaMint-IS_2016-09-07-148.u23	A respectable president. Thank you. A senator for the inquiry. I can't hesitate to say again that Iceland is among the most ambitious countries in the process of the contract and is looking for a very ambitious deal. I don't think we should be shy about that word, nor do we demean it at all. It is indeed a happy day, and it is a pleasure to be at a council and to recommend the contract. Of course, we want to work with other European countries, and we are. As we do this, we are in cooperation with the European Union because of commitments under the Kyoto Protocol. Our goal there is a 20% reduction of emissions to 2020. Our commitments thereafter will be permanently determined by the EU as the senator entered. That is a normal continuation of good cooperation. It also matters to our professional life that we have similar and comparable rules in climate and in our major business countries in the EEA. As I say, our objective is a 20% reduction to 2020.
ParlaMint-IS_2016-09-07-148.u24	A respectable president. I thank the Minister for the answer. As I understand the Minister, Iceland in itself does not have its own goals in this matter but intends to travel with the European Union. However, I would like to try to get clearer answers from the highest level. Minister and ask: What views will Iceland have along with Norway in meeting with the European Union on this joint enterprise? Or does the Minister of State believe that Iceland in itself has no particular business at this level but is able to take over the European Union's results? Would there be any shock, even Pink, in that the Foreign Minister of the Agency did not think Iceland would have to have an independent voice at the table, but it would leave it to the European Union in this category. V.E.G. Especially did a minister come to the council's odor proposal. Industrial and commercial secretary of energy exchange. We also have waste plans from the highest. Environment Minister and I'm going to ask: Ministers are well pleased with the situation we now have in terms of some major systems of government, whether in waste, energy exchange, transport, or any other matters that might have to do with greenhouse gas emissions? Does the Minister believe that these programmes are in place all in favor of this common objective, i.e. reduction of greenhouse gas emissions? Finally, I would like to ask the minister if he does not consider it a worthwhile goal to accompany our neighbors to travel to a variety of non-carbon communities within the limits required to form by 2050. [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u25	A respectable president. It's so nice to be here today. I've got to say, as it is, it's very special that there's an ex- Secretary of the Left Green coming to accuse the parish Party of not being independent of the European Union. Its party applied for participation in the European Union. One thing is that we're here, and we're dealing with this fun and important deal in Paris but to hear from the former minister of the left green, that it really has some concern that we're not independent of the European Union, I think it's very entertaining and a little contradictory. I have to say it right now. [[Up front.]] Our goal is very simple. We would like to, of course, reduce this emissions, and I've said so in my history, but you might think the former minister who is often dressed in black just didn't get it. That's why I reiterate what I've said, what we're doing that's e.g. only differently, we're covering a very good part of forestry and land use. The EU has other rules. I don't know if your former environmental secretary realizes that. We're working on these issues, we want forestry and land use to become more important than, for example. The EU highlights after 2020. We'll find out. Of course, we need to cooperate with other countries, even if that is so. I just have to say, even if we're not involved with the European Union as your group was in - I'm answering the question. [[Can You Explain?]] Are you supposed to have an intervention here? I don't think so. As I say, we're always trying to do our part in this case, and that's exactly what we're doing with this deal. [[Up front.]] [[The president calls.]]
ParlaMint-IS_2016-09-07-148.u26	The president reminds the speakers to use the proper address words.
