ParlaMint-IS_2016-10-12-169.u1	There'll be time for a conference at the same time. That's 1,3β-14 today.
ParlaMint-IS_2016-10-12-169.u12	A respectable president. This afternoon's program will be conducted on the social security bill, a bill that includes the simplicity of the pension system of older cities from an insurance institution where you will have a 25-time holiday target. K. and the decline rate of all revenues will be 45%. This is a high simplicity of the system and will result in a marked rise for the lowest. This will ensure that the next year's minimum wage will be 280 yous. K. and then pensions will reach 300 yards. K. At the beginning of 2018, a competition between the older citizens' society and the older citizens' Union for a long time, but mainly to the simple system. So here's a good deal. It's come to my attention how much less part of the council has been irritated about this. The lower part has felt that the pay of older citizens is not far along enough and that the next day they pay a significant amount of money. The same people were in the government during the last term. Their first task was to restrict the quality of the disability pensioner and senior citizens. That was their first act. I am not surprised that they are walking right now as they are now doing in relation to what was then done. I'd like to remind you that the members of the council today who chose by the law to impair the rights of older citizens were sharp. paritaprevir The Árni Páll Árnason, Hjörvar, Kristjorn L. Möller, Rafney Rapney Magnúsdóttir, Oddný new G. Harðardóttir, Þorvarðardóttir, Róbert Marshall, Sigríður Ingadóttir Iggadur, Steigler Sigfússon Siglerson, Svandís Svavarsdóttir, Valgerður Bjarnadóttir, Ögmundur Jónasson and Algur Skarphéðinsson.
ParlaMint-IS_2016-10-12-169.u13	A respectable president. Many things have been accomplished during my brief hours at the General Assembly. I don't really want to talk about winning and losing. I want to pick up what comes most into my mind. Last night, we agreed on a big step in decommissioning a money break and the state fund is straightening out the cow after the legendary collapse. We were blessed with a change of rejects, so long - term renewal of marauders in the country's most dangerous areas has taken place in many places. We've made an effort to fix a fiber - optic network in the region and have completed connections in about a thousand locations in the region. Most proud, though, is that I have shared in reducing the debt of the homes that have come well below the average in neighboring countries. Sadly, this step failed to level pension, but hopefully it will succeed before the New Year's Eve. Very likely, we in the country need to admit that we are beaten with the city's airport of Reykjavík, that it leaves the Elder. There is little, though, that there is nothing good in all things. By building up the domestic flight at Cheflavík, you can make it easier for tourists to get across the country, such as in most parts of the world, e.g. In Norway. If a tourist who flies to Cheflavík is going to Akureyri by flight, it's a bit complicated for him to get between flights, since there is no direct transportation. Furthermore, the Cheflavor airport is not connected to a public transportation system so that a bus can be jumped and taken to Selephos. The public carriages are not allowed to stop at the main exits of Leifs Erik's Flights, nor at BSI headquarters. Travelers are almost forced to become beach breakers in the city of Reykjavík. It is not surprising that the city authorities want the airport out of Reykjavík to ensure that tourists in the capital are further involved. Many important assignments await a new assembly, and I would like those here to serve in the next terms of all the best as I thank you for the fine work here, especially the work of committees. Sadly, the common citizen cannot see what work is being done there. I must admit, though, that much strange things are going on in this council hall and not always very convincing, much work is being done at the council hearings and is exemplary. I thank you, my fellow senators, for your cooperation.
ParlaMint-IS_2016-10-12-169.u14	President wants to thank you. Similarly, a senator for a very good cooperation during this terms, wishing that he and his family would succeed in the future.
ParlaMint-IS_2016-10-12-169.u15	Mr. President. We piranha's heading for radical change in society, real system changes. We are idealists who care about democracy and freedom, and we want to use the opportunities of this century of information and technology to create a free and powerful sharing community here. Rather than seeking power, we seek ways to disseminate power, thus working against special interests and corruption. Now I'm getting elections, and I'm incredibly excited about the projects the Pirantars want to do, to establish a new constitution, to promote a direct democracy, to strengthen the freedom of information and expression, to increase transparency in administration, to open up all the systems, to make them available, and to revise them from the foundation in a complete agreement with the nation. I hope that there will be enough people in this workplace who share these ideals, whether Piratar or not, that's not everything. Our environment is changing, and we must not be afraid to change too. Change is normal and good. They are essential to development and without change. As the situation is now, economic differences are too great and therefore all changes become insignificant and actually kind of virtual. That is exactly what we can see with the huge bills being speeded through in the final meters of the council. We need to get off this path if we want to flourish as a community and work together toward common goals with the rest of our interests. We piranha will bring our heart and soul into the vital work that lies ahead, and we hope so fervently that as many people will join us and share in this journey.
ParlaMint-IS_2016-10-12-169.u16	A respectable president. First, I want to thank Jóhann, the son of Pálsson, for his good cooperation. It has been enjoyable and rewarding to get to know him and work with him, and he is one of those fine, conscientious workers. It's also an advantage. Senator that there's a short time in the humor, which is extremely important in all cooperation. A respectable president. We are now concerned about the high gangs of the Crown, which can have a negative impact on such exports as tourism, fishing, the industry, and the mind - working industry. The ways we have to try to keep this off is because the Fenderal Bank is trying to have an intervention at the market at a suitable cost. I think we need to look at these things for a long time. Our biggest investors are the pension fund that handles our money. It's very important that they invest more in foreign lands. First, it is a simple risk distribution. Those with the money in the pension fund own everything here, here is their work, their housing, and even their other savings. Then, of course, there is a clear risk of international integration when these investors are as large as they really are. I call attention to the Norwegian oil fund having it as a policy, and that is the policy the Norwegian market has to invest only outside Norway, including for the reasons I mentioned here, the risks distributions and not being major within the country. When we need the pension, much of it is to pay for foreign goods. We have to look at these things for a long time. It is clear that the euro market is very unsatisfactory for investors at the moment, but there are other markets. I believe we should seriously discuss whether it is wise to place floors on pension funds and set long - term goals to put their investments and possessions in a much higher proportion abroad. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u17	A respectable president. I'd like to be working in my district these days, but at the same time, I'm very proud of the matters we're doing here in a council hall. One of the projects I would have found interesting to be involved in meetings and events related to democracies and Obscurial elections in the high schools. A country relationship between young people and the Union of Icelandic high school students represent the democratic campaign of Kosing following: # I'm krys. The project has been in preparation for a few months, with the goal of promoting democracies, encouraging young people to choose and make informed decisions in the booth. Besides work in school, the home page I choose to be founded. It acts as a crossborder for democracies and contains information, such as the Koscomist, which uses young people as well as others. In many schools, politicians have been invited to visit and introduce themselves at meetings or in chats with students, all organized by students themselves. The votes itself take place on October 13, but results will be made official after the election by the General election is completed on October 29th. I think this assignment is exemplary and that it can be of great importance for a democratic interest and participation in young people. At the same time, I would like to mention the importance of training young people in social activities in classmates, sports companies, and other company groups. Then it is just as important to gain knowledge of the organization of meetings, conventions, and democracies, such as the ability to speak well. The success of political activity, however, is more determined by the social and social training of those who choose to work in politics than by knowledge of individual language groups.
ParlaMint-IS_2016-10-12-169.u18	A respectable president. I'll make a subject of the changes planned on the maximum pay in maternity vacations. First, I would like to comment on the government's failure to allow the maximum budget to follow the prices of this election period to go no longer than at this time, which is not sufficient to achieve 80% of the average that the maximum budget reached after the untimely cut-off in 2009. This government has cut down more at the maximum pay of maternity clinics than ever before in history. It's just a fact. What is even more painful is the fact that a person should decide with an incompetent action of this nature to bind it to a specific date, specifically on October 15 of October. Women who are in a position to have children only sooner lose them, and parents who are so lucky, that mothers go ahead of themselves. What the hell is this shit? What evidence is there that, in the intention of an operation, everyone agrees that space is in the state box before an explosion is so absurd that such ridiculous dates are left in charge? What will those who had children pay for a month ago? It's ridiculous. There's no reason for this. And it's not necessary to do this. It is completely absurd that humans will not take this opportunity and leave the opportunity to all who are now in a maternity clinic or to expect a child to enjoy this injuring action. It is, however, not even taking the maximum payment to the level of the cutout just after a crash.
ParlaMint-IS_2016-10-12-169.u19	V.E.G. President. This is probably the last time I'm going to speak up to this team for a while. Therefore, I would like to thank the president for his welcome and cooperation in the years since I entered the council. Both personal and professional relationships have been particularly enjoyable. I have been so fortunate, young and inexperienced, to have cooperated with as much test ball as I have. President is. After this encounter, I'm much richer. I'd also like to use this opportunity to thank the new vice presidents of this term for a good cooperation and cooperation. I thank the generals for their well-being and would also like to thank the members of the Generals who are here to help us every day with a smile on our faces. Most of all, I thank our babysitters, whom we presidents are helping to help that the Allied meetings may run short under our control. Most of all, I thank the people, the thousands, who chose me to serve at the Council of their time and who thanked them for the confidence they had in their time. I hope that in some way I have lived up to the confidence I was shown. I wish the general members of all the families and the happy families, of course, also of the president. I hope that the generals who come here will find their way back, and those who come in new ones can have a successful career for land and nation. I would like to read a small piece of poetry by poet Einar Benediktsson. It is the final theme of the poem Stefafalm, and then it reads, with permission of the highest power. President: My works are, and I will fall, and I will go. one seed, my land, in thy dust dig; My broken song, which I command thee. one leaf in your song crown wrapped; But the destruction of my mind, It will go away to its beginning. as a booth - restored to the sea.
ParlaMint-IS_2016-10-12-169.u20	President thanks a lot. A senator is very fond of his warm and good words. The President has had a very good partnership with what he did. A member of the Presidency Committee, where he has proved to be a zealous and zealous senator. Those who have observed this have surely noted the onset of trouble. A senator has, for example, an e.g. being the most zealous and eager to sit here for a night meeting, and the much longer, the better it is. A senator was found. At this juncture, the president wants to thank you. A senator for his fine work in behalf of the council within the prime committee and in the coming years to benefit him and his family.
ParlaMint-IS_2016-10-12-169.u21	A respectable president. I came into my speech earlier, so how the government has been organized in an orderly manner. The problem is the clearest example of what we will see afterward. Although the government has handled this by the way it did this morning, there is, of course, a possibility of further lawsuits in this case and we cannot see the end of it. Interestingly, at the meeting's program, the loan Fund of Icelandic students is not a matter. I'd like to call for it on schedule. This is a big matter that we need to take a detailed discussion about at the council. There are differing opinions about it, and I believe that the council will unite in taking care of this matter to want the democratic vote more than part of the council and that it is extremely important. It's another big deal that's come out of nowhere. Workaholics involved in the construction of the fish and seawaters in Brequired. This is an enormously important issue for the British settlements and is here to develop the construction of a new workplace in the Syckish Sea of 30 to 40 jobs. [[The president calls.]] It's up to you. I'm the highest. To have a conversation with members of the council to see that this case can be scheduled and that it is granted to the council before we finish the job.
ParlaMint-IS_2016-10-12-169.u22	Regarding the case that is taught at LIN, the Icelandic Board of Studyers, there is an agreement on how it will come about here. The president assumes that this will happen in that way at the next meeting.
ParlaMint-IS_2016-10-12-169.u23	A respectable president. I'm grateful for that. paritaprevir Jón Gunnarsson for going up here and giving you a chance to follow his lead because I'm not going to sit under this ridiculous brace. A member of this body and others from the board of directors' section that the government is stopping a business with which the government is turning. She came up with ideas about a law bill because of backs to pay for that project. The decision taken by the duly established government makes it impossible for her to continue with the bill. It is not up to the government to be accused of doing so. I would have always been willing to look at such a bill if it were objective. There's just no way to make such a bill, so it stays under law and constitution. That is why the government is giving up and must acknowledge it and not blame others for its own difficulties. It's about the pension business. It's the highest. A social minister went up here almost in tears yesterday that he wasn't doing it, so it's the government's decision not to resolve it. I was sitting with another officer of the government, okay? paritaprevir Brynhildur's Pétursdóttir's jealousy, with the greater part of the budget for hours, encouraged the greater part to continue with the case, promised our support if they were to find ways to carry it on. [[The president calls.]] The government's giving it away. It is to the government to be accused, not those who have tried to pay for their quest through the council.
ParlaMint-IS_2016-10-12-169.u24	A respectable president. It's not gonna happen. paritaprevir Jón Gunnarsson provided that he is a brave senator, particularly to come up here and discuss matters that must be settled, after keeping the council entirely for days of unnecessary discussions of Congress on the law on electrical lines that the government will conclude this morning that there is no need to set. I must also use this opportunity to dismiss the government as somehow stopped a bill to legalize the pension rights. It is also just the government's decision, that she was making some sort of bell food with this case. The assumptions that she herself laid for bringing the matter into the council were not to be met. She herself failed to handle the matter and to finish it. Hv. paritaprevir Jón Gunnarsson will only have to discuss this in the Independence Party and with the chairman of the Independence Party rather than us in a position of government. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u25	A respectable president. I'm not happy that I have opinions here. The back issue is a very complex matter. I had signed up for a talk on the subject, and it will not be settled at this council. Hv. paritaprevir Jón Gunnarsson and other members of Congress do not know how I would have voted on that matter. I haven't been able to speak yet. The same is true of the pension business. How amazing it is to hear the claim that the government's opposition to it has been thwarted! I almost think the government's side, like the rest of it. paritaprevir In addition, Árnason's visit to a budget committee has been even more successful in completing this matter than the representatives of the greater part. [[Foreground on: No.]] Up to it. [[Foreground on: No.]] We encouraged a meeting with the Ministry of finance. We had a conversation here in the tunnel. To argue that the government's opposition is not true at all. I think it was a case that almost all classes remained on to finish. It's the government that decided to retract it. Maybe it was the right thing to eat. [[The president calls.]] I don't know about that. But I hope the next government will finish that case. There will not be a better future to help in that.
ParlaMint-IS_2016-10-12-169.u26	A respectable president. This was what I discussed in my talk earlier, about the hidedown of the fine ladies. This is where they now come and show that the government had helped to delay the work of the council and get in the way of something very important to Icelandic society. I listed a few cases earlier; dressbacks for losers, they've gotten in the way of people; in the Baking case, obviously. Of course, a new situation has arrived after the decision of the decision came into force there, but if the council had joined together to finish the matter, the decision would be completely up to date in the north. It is written, not on these governments, but on the political opposition that has been involved in this matter. There were particularly representatives of the left green and bright future members of the Committee who participated in that work, so this remains. I'll encourage you to talk to me about it. That's a very important matter. Much of the student's attention is focused on its completion. I demand that the matter be discussed in detail and given for a good time. [[The president calls.]] I did not accept some token agreement in that regard. Then I reiterate the matter of Brefuding, which is of great importance to the settlements of Brefjörður and to use this remarkable natural resource.
ParlaMint-IS_2016-10-12-169.u27	A respectable president. I don't think anyone who's been watching Congress can reach a conclusion other than the fact that the government has tried to keep matters from being discussed and finished. I think it would be very strange to try to say something else. Hv. paritaprevir Jón Gunnarsson knows the whole thing Back into and out, and he covered it well, and there were other cases. But I hope, because it's so important that we finish and use the window we already have to equalize the pension rights between the population, that since it doesn't succeed now, we'll finish it by the end of the year. We don't have any more time. I'm not going to scribble with one or no one who's to blame. That's a perfect detail. But I'm glad to hear that here comes why. Councilmen from other categories and indiscriminately. A position of authority, saying that they want to do so, for we have to do so. On the other hand, what is right is right. paritaprevir Jón Gunnarsson said it's kind of strange at best to come up here and say he didn't get in the way. [[The president calls.]] It doesn't make any sense.
ParlaMint-IS_2016-10-12-169.u28	Mr. President. Very close: It's such a play that's going on here that I'm really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, really, I'm just hoping people will see through this.
ParlaMint-IS_2016-10-12-169.u29	A respectable president. I hope you don't mind. A speaker becomes his wish. Of course, it can be called a bellat, the discussion of a song on Backka. This has been done in many hours of discussions, day after day, that it is absolutely vital that the Council continue to legalize matters in order to prevent decision - making. A rather unfortunate legal method. So once the case has been here for days, the same board of directors decides that there is no need for this bill that is constantly claimed to be absolutely vital. There is a review of how this case was handled if there was no need for these laws. It is their own conclusion that the bill must be retracted, that is simply no need for legislation. There is no point in accusing us in the opposition to government. It is just a mistake to bring in a case that he himself feels does not need legalization at the end of the day. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u30	Mr. President. There were two financiers in the last government who started the pension business. The issue of government has been filled with interest. However, it was found that the premise of the government was so limited that only officials and government officials or those associated with it provided declarations that caused large employees to drop in pieces and drop back on the case. In other words, it had to be done much better because of the ignorant failures of the government. As far as Backak was concerned, it was the first government that raised that issue, but it was that government that screwed it up during this last day of the Council, the Backka. There is no way to blame the government for this. It was a decision made earlier this morning of the highest order. Government. That's where it's at. paritaprevir Jón Gunnarsson is supposed to be looking for him, that's all. It was his ministers who made the decision to postpone back back, not the government side. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u31	The president is not very perceptive in fashion, but he notices that tie - vision is sharp. 4th, including Reykjavík Precinct North and 6th. Southwestern U.S.A. is very similar.
ParlaMint-IS_2016-10-12-169.u32	President. It may be evidence of the drama that members of the council here claim to disagree are exchangeing the same volume. I think we should just let this relax, get back to work, and stop pointing out others who are guilty of matters known to be responsible for the government. Now we're going to finish the council, and we're going to do it properly. Let's just stop arguing here about something that everyone knows about. I must commend a president for how he has tried to handle matters that have come from the government and how he has listened to my parts and tried to be president of the entire council. It's time to end, my friends. Let's get back to work.
ParlaMint-IS_2016-10-12-169.u33	A respectable president. It's a little comad to watch. Government parties scratch into the back of their last record because of this blessed Bacca language, which was now simply a mistake from A to Z when it came to planning and protection laws and so forth. I don't know exactly who's to blame. It is simply not that the government has some part of the program for this blessed assembly. Rather, it is a dignified president, and it is a fine work. I suggest that we carry on with this work only, and this conversation with the greater part, to teach us less of the share in the failures of this terms. Didn't the Panama leak teach us how to do it, too? It seems that everything that has failed is our fault. Let's get our shit together so we can finish this assembly. Because it's getting a little boring.
ParlaMint-IS_2016-10-12-169.u34	V.E.G. President. I'm not going to go that far to teach why. paritaprevir You must Ásta the Guðrún - given daughter of Helgadóttir for all that has gone wrong here during this most ideal time. [[Take it up: Most of them.]] But I'm not going to commend her for all that has been done well during this terms, which, of course, is much more. However, I have to make comments to the word that at least not everything that was possible here during the last few weeks has been tried to put a stone in the street of this Backkay language. Of course, the government situation has not been a factor, but a certain part of the government opposition has been developed in the matter, as people have observed both last week and the preceding week.
ParlaMint-IS_2016-10-12-169.u35	Mr. President. I come up here to say that in the left of greens, we support this matter, count it a positive step there in combating tax fraud, the changes that have been made in case of the problem. The Economic and Business Committee for improvement on this matter. But this is only a positive step, I believe that much more will soon work on these matters. But I would like to celebrate the fine solidarity that has been achieved with the steps being taken. In particular, I'd like to mention new regulations for the thin self-finance that come into this bill now and we'll vote for it afterwards. They are in line with a bill that I have repeatedly submitted for this terms, since 2013, and now we are about to vote for it to enter this bill. I'm especially happy if the Allied has agreed to handle this matter, i.e. loans between tax laws in order to avoid paying taxes at profit. I think that's a big deal.
ParlaMint-IS_2016-10-12-169.u36	V.E.G. President. Here we are paying votes for government action against tax fraud, mainly for changes in tax laws to further the tax system and the aim of working against tax reform because of ownership in low tax countries, and for the response of the Icelandic government, which is part of international cooperation in this field. I'd like to mention a legal definition of fixed employment centres specifically, the limitation of interest charges or measures against the thin self-finishment and ideologies of risk management to efficient customs monitoring and toll pay. I also want to thank you for the quality and need of cooperation with financial and economic experts, from where the bill comes from, and with full reason to thank a committee writer for his patience and careful management. Eventually, there was full solidarity. The Economic and Business Committee for all the changes proposed here, and I thank the Committee for its cooperation.
ParlaMint-IS_2016-10-12-169.u37	President. Piras support this whole mind - set step, and it can be said that our policy on the thin self-finance is taking root in legalization, which is a delight. Since we are considering ways to control tax collections in the tax industry, I would like to say that we were truly encouraged to spit in our hands when this became the largest data leak in history that took place a while ago and that we should thank the informants who helped us to be informed about the importance of making sure that something would be done in this legal process. I'd also like to thank the Committee for responding to indications of the 17th, 18th, and 21. in the bill, which was to provide public access to databases and provide enormous access to information without carefully evaluating the need for it. [[The president calls.]]
ParlaMint-IS_2016-10-12-169.u38	A respectable president. I agree with that, here's one good thing that's come out of the Panama Canal, we blow to the deal with tax subsidies, tax evasion. I'm also glad that it left the committee party a bit controversial a chapter that had committed to customs, tolls, some form of premeditated evidence. There was a solidarity on the committee to take it out. I would like to encourage those who accept the administration after the election to now use the tools that are put into their hands by this bill to take from them on tax evasion, tax evasion. It's simply a social lesion. We see clearly in the daylight light that international big business uses thin self - payment to turn natural taxes out of the country, overindulging itself. I believe that what we're building on this bill should be used to take advantage of them, and that company is not somehow immune to natural taxes.
