ParlaMint-IS_2016-01-28-69.u1	There are: Social and Housing Ministers and Environment and Resource Ministers.
ParlaMint-IS_2016-01-28-69.u12	A respectable president. Thank you very much. Minister for her diagnosis of the United Nations Children's Fund report in Iceland. I would have liked to have more clear answers from the top. Minister for immediate action in behalf of children suffering a material shortage in Iceland. They can't wait. We do not want children who live in want to wait quietly for what politicians decide to do in their behalf, to wait for Congress proposals, to wait for the development of bills that are familiar with committees. I would like to receive a clearer answer when it comes to immediate action in behalf of children.
ParlaMint-IS_2016-01-28-69.u13	Thank you. A senator once again. I understand that she makes the question that way. I have stressed these big issues, and I want to use this opportunity to encourage the council to work as fast and as hard as possible. As for the reaction right now, I expect in the next few days to sign a trial project called TINA that is a cooperation project between us and Reykjavíkurburg to help young single parents in a direct way to self - help, how we can be more supportive with these families, especially the children, by helping their parents. This is in harmony with what experts have suggested for us. This will be a two - year assignment, and hopefully it will be sufficient for us to expand it even more and to help others in this group. I hid it especially at my time when I reassigned it - and then I negotiated that the Habitat could better identify exactly who these are. [[The president calls.]] However, the living room has pointed out that it is difficult because there are few among them who are better off. Still, we want to know precisely who they are so that we can really help them.
ParlaMint-IS_2016-01-28-69.u14	A respectable president. I'd like to direct a question to the highest level. Social and housing minister for collaborative planning for prevention of various forms of violence. First, I'd like to ask a question about sexual, mental, and physical violence, which was the cooperation of the Ministry of State, Education and Culture, and the Ministry of Health, and was conducted in 2012 ◯2015. In 2012, the Enlightenment was rooted in the legislation of Iceland and the government on the European Council's Convention on Prevention of Sexual Abuse and Sexual Abuse of Children, approved in 2007. I got to know this assignment while I was headmistress and watched its progress, thinking that it was a very useful and useful job, including the work that I was doing there. with a variety of educational material, such as the photos get yes and stand with you. This project was formally completed last year, or about a year ago. I want to know what's going to happen. What's the rest? At the same time, I would like to ask about the conduct of national formal consultations in order to improve the cooperation and handling of matters related to violence and its consequences in the community. That project is also based on the work of the social and housing minister, the minister of education and culture, and the Minister of state who was signed for more than a year. What is the cooperation of social services, child welfare, education and health systems, police and prosecution under the premeditation of the three schools? What will be the subject of the discussion? What subjects are put first?
ParlaMint-IS_2016-01-28-69.u15	A respectable president. When the State Secretary of State and Education project ended, the three ministers came to it, I, the Minister of State, and the Minister of Education, were very important to the fact that we were about to continue working against child abuse. We also need to realize that violence witnessed or experienced by children can be far more extensive. This has been evident in the experimental work we have done and are involved in domestic violence, children, and the effects that make children aware of such violence. We signed a new declaration or declaration of national agreement against violence, which, of course, puts much emphasis on our children. We have felt very important that we will continue to carry on with the work that was under the awareness, and I want to give special attention to the local doll show the neighborhood kids that I signed a contract in December to continue where students are taught how to be violent against children and how to handle child abuse. We have also been thinking of how we can promote child - welfare committees and children's clinics in caring for our assignments. There was also room for it after children's house went to a new home, and we could ensure extra money for the business to consider expanding it so that services could also be provided to children who have been exposed to physical violence, severe physical violence, and support for parents. Then it is a pleasure to relate that today, just now at 11 o'clock, it is beginning a work meeting in which some 100 people have been announced to be working on the National Convention. [[The president calls.]] [[The president calls.]] There, the government is convening with all those involved in this project and implementing the first action program against violence in Icelandic society. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u16	A respectable president. Thank you very much. Minister of staff answers. The questions that come from me, they may be working with them later in this meeting, but I still want to give it a try. I want to know more about what your priorities are and what your subjects are. What should be made out of our discussion? Is the procedure being carried out? Are there ways in which we can work out individual and family needs? Or is there a second subject? Is everything taken at once, or is something put first? Is working with your children or violence in close relationships, or is the Internet working in some particular order, or is working in all areas at the same time? [[The president calls.]] I've also wondered how we, the lawgiver, will be able to observe.
ParlaMint-IS_2016-01-28-69.u17	A respectable president. Thank you again. You're right, I couldn't quite answer the first question. The very point of this cooperation is the emphasis on cooperation. This has been demonstrated in the pioneers'work, e.g. The new practice of domestic violence in Southnes, which has been introduced, and the new work produced by the Southland police has been initiating violence against disabled people, and in the Children's House itself, how important cooperation between those involved in these matters is. It must be a partnership between different institutions and services, including a free partner organisation, and a cooperation and agreement to act on early reactions to violence and cooperation to promote authority and awareness in the field of action against violence in Icelandic society. This afternoon's meeting will be done with the three o'clockwaffin, as it is called, i.e. Awakening, reaction, and authority. What has to do with our welfare services is welfare services, counselling and long-term support for those who can resist and have resources for their workers. [[The president calls.]] [[The president calls.]] When I've been discussing this with my colleagues on a global level, I simply find that we're here for a pioneer job, we're doing something that hasn't been won before. [[The president calls.]] [[The president calls.]] [[The president calls.]] [[The president calls.]] Then it's so important that there are so many people who are involved.
ParlaMint-IS_2016-01-28-69.u18	V.E.G. President. On October 30, 2013, I recommended as a 1st member for a synonym that was finally adopted May 12, 2014, with 58 joint votes. It was an arrangement for reevaluation of laws and regulations in terms of molds and their damages. The motion said so, with the permission of the president: The Council concludes to hide the Environment and Resource Minister to appoint a collective review of the laws and rules of construction in relation to mold molds and the damage they can cause. The staff will submit their report with their results and proposals for July 1, 2014, as the minister is officially reporting. A respectable president. It is most recently reported that the then minister responded quickly and immediately appointed a 10th - year - old group of eight people, who also received a lawyer to write a report on the legal status of those who are injured by molds. It's the best report, and nothing but good about it. The proposal was broadly supported, as I am saying, and the report is very well prepared, there are many suggestions for reforming the laws and suggestions for changing regulations. Following the report published in November 2014, I would like to ask the highest. A minister, and the question may be very simple: What has been done since this fine report? Who's winning and what? Is the Minister and his Ministry being working on a change in law and regulations, as any suggestions given by the staff? A respectable president. We have recently been reminded that mold has surfaced in several public buildings, but molds have not been talked much into in many homes in the country that cause health and financial loss. [[The president calls.]] This is a very important issue, as it was obviously revealed by the approval of the Generals, and now I simply ask: What has been done?
ParlaMint-IS_2016-01-28-69.u19	A respectable president. Thank you. paritaprevir Kristján Möller for the inquiry. You can sense that construction issues and adjustments are high in your people, and that is not unusual. That's the issue with young people. It is necessary for a structure to be practical, and that, at the same time, we have to be careful. The darkness is a serious problem, and I agree with it. A senator to the report we received was very good. I remember speaking to the senator about whether we should share in the seminary, lunch, or anything else, in order to discuss this matter, but unfortunately it was not. We've been introducing this report and presenting it, sending it to the Ministry and to the institutions, and we've asked to get their opinion or report from them. Of course, within my office, the Environment and Resource Ministry, we've been looking at the general construction issues, building regulations, and other aspects of this link, and especially the defects caused by mold. Of course, these matters can always be sharpened, and I would very much like to be in good cooperation with the senator because I've sensed them here on my project at the council that it's his heart to try to stop mold from living and that I agree with them. We also need to promote the education of various professionals, which has been directed to the Ministry of Education. This aspect also requires more work. [[The president calls.]] It's a matter that I think we're totally involved in trying to make a success of port.
ParlaMint-IS_2016-01-28-69.u20	V.E.G. President. I thank the Minister for the answer. But I must still be honest and say that I would have liked to hear more, but of course I respect that this is an unsubstantiated inquiry, perhaps I would just ask for a written answer. But it seemed to me that there was not much work to be done with the suggestions presented in the report. There are, as I told the above, proposals for changing the law and the Ministry must employ them and bring them here, and a minister can promote changes in a building order where necessary. And I say it without hesitation, I've noticed a minister's keen interest in this case. She spoke with me as soon as the report arrived. One factor involves prevention, which is very important to prevent mold. We've seen reports of recent construction projects at the BUGL, lost by molds and contractors, and no one is responsible. The other factor that is equally important is the terms of bail. The Guðný Bearsddótttir wrote a report on bail in the report and compared Norway, Denmark, and Sweden. There is also something very important to wear because it is one thing to lose health because of mold. [[The president calls.]] The other factor is the economic damage that will follow, and we need to work on it as well. [[The president calls.]] It's a question of which Minister is working on it.
ParlaMint-IS_2016-01-28-69.u21	A respectable president. I can frankly admit that we may have further emphasized the need to review the building order to find a flat surface here to build smaller apartments so that young people can get started. Among other things, we have been guided by the size of 3 times 25 to try to build a 25 - square - foot [25 square m] apartment that does not cost more than 25% of the people's provisions, whether they rent or buy, and so on. I admit I've been rather busy with it. However, by reevaluating the building principle now in the narrative process to February 10, we are trying to enhance flexibility and try to reduce direct control measures in the matter of dressing and having a vision between different age groups. Of course, storing needs to be careful. That's right. But this can naturally increase the cost of building. [[The president calls.]] You have to realize that. So now I'm writing a report on a doctor, Guðmundur Hannesson, who is also considered one of the first architects here or a cartelist. He had his formula that he had taught the Icelanders how to build a warm, good house.
ParlaMint-IS_2016-01-28-69.u22	A respectable president. I recommend the report of the European Parliament and the EFTA and EEA for 2015. It has been distributed as a Senate document. I think it's safe to say that there was a lot of work in that area, as before. For those who do not know, the Council of Congress has actually done two things, the EEA Convention and also the EFTA has been taking the initiative to negotiate free trade agreements throughout the world. EFTA now has free business contracts with 36 countries. It has been our position on the Council Committee, at least. in the greater part, press for more vacation contracts to be made. The fact is, and there's incredibly little discussion that Iceland and I are in a very good position to be in EFTA and then have a big deal with the EEA, but at the same time, we can make a vacation deal with everyone we want. Of course, we benefit from being with Swiss and Norwegian people who have large markets and high prices. Our market is also desirable for obvious reasons, but we are only 320 yous. ... aman. There is no doubt in my mind that these opportunities can be made better. The difference between being in the European Union and in an EFTA free trade union is that we control our business policy. For example, if we had, like some, not many, not many people, interested in becoming members of the European Union, we would have to realize that then we Icelanders would no longer be businessists. Then we'd be partners with a toll alliance. Anyone who wants to know that there's no particular interest in a vacation store in the world. Those who control that trade policy and are influential, I'm talking behind the scenes because the European Union's table is unique, as it is known, French. France is a highly intertwined city of commercialism, or great style, and it identifies all traffic in the European Union. The nature of the matter is under way in the European Union, which has put greater emphasis on free trade over the years and has built its power on it, such as Britain and the Netherlands. Indeed, there is a lot of business debate in Britain today, in connection with the possible passage of Britain from the European Union, and much debate over what Britain is doing when it comes to free trades and vacation shops in the world because they are involved with the European Union. So you can see that, too, it's done to bring down to customs that we couldn't do if we were in the European Union. It is possible that before people went to the customs we know, they were viewed by the government during the last term, when they went on the peculiar path to apply for membership in the European Union, and it was found that products would greatly increase from certain areas, especially the United States, if we became members of the European Union. What is quite special, too, is that you would expect that because of the European Union's common customs policy, there would be a low cost for Member States when it comes to customs control, but it is not. If we compare ourselves to Malta, I remind me that the cost of customs there is twice as high, if not three times that. This is all in the data I saw in a subset of the last government. It's not particularly discussed in this Iceland Department report. I think it's right to discuss business and business policy in general now. There are extraordinary misinformation and delusions that come from politicians, perhaps especially surly. Councilmen of the United States and other council members of the European Union. They try to paint a whole different picture of the European Union than the real world shows. That's why I'm bringing it up here. Similarly, the so - called castes are often filled with admiration for the European Union and are not simply informing people of what is involved in it but rather trying to create some beautiful image that does not hold a view. Now I'm not saying that the European Union is completely hopeless, although there is no evidence to support going in there, I'm saying that if we're thinking of a vacation store, the European Union is not the place. Again, I draw attention to the fact that if we were in the European Union, we could not have gone to the toll count. Nor could we have negotiated a vacation store, not just in the field of EFTA, but on our own. The French Free Trade Convention, which is, without a doubt, the best thing you've ever seen before. For example, if we were members of the European Union, the minister of the State of Össur Skarphéðinsson, made a large contract that opened a great possibility. There has been a lot of time at the Committee's work getting information at the foreign level on the TTIP situation. The TTIP negotiations are being held at a vacation contract between the European Union and the United States. It is obvious that the United States, although not saying so, has already given up trying to achieve such goals of a global vacation trade at the World Business Institute (WTO). That's very bad news because that scene was supposed to ensure world trade. Clearly, bigger steps are needed in the immediate future. It has been tried for several decades to reach the International Business Agency, but it has not worked out, and therefore the United States has gone other ways. They started making deals with the Pacific, TPP. It says something about Europe's situation, for several decades ago it would have been impossible for the United States to make such a journey without starting Europe. But now it is just so that the importance of the Asian countries at the Pacific is bigger and more, and it will be in the immediate future. The world scene has changed, so we Icelanders will not change, but we need to take into account when we discuss these matters and plan them. That's two types. On the one hand, there's a free business deal with the Pacific that's finished. I have to admit, I don't know where that's going to be in the American government. Then there is the second contract the United States started, a vacation agreement with the European Union called TTIP. It is obvious that it will not happen at any rate. The final information from Icelandic officials was that first it would be completed in 2017 if these treaties were completed. There, customs are not the major issues, but mostly technical business barriers. After we walked in the EEA, we were at the European Union's side in a business war that goes on the list of customs and is primarily about everybody for technical business restrictions. We'll see this on American lips. If people buy a can of American beans, they've had to put some funny note on it with the same contents as the one on the can, but it's only about 100 grams. Instead of the doses on the American dolls. Of course, it's ridiculous. It just makes more money for consumers. It can't be a great job to stick a note like that on these cans. The same is true of cars and other things. Backdrops due to the Atlantic are very strict standards for car production. The transport of vehicles is not to be carried away without all being done because if you take an American car to Europe, it does not meet exactly the standards that are there and vice versa. It tells itself that if these technical obstacles were eliminated, it would be good news for the world, especially consumers in these areas. There are two ways to do that. One is to try to conform to the standards that terrify me. With Iceland and anyone living in the European economy, it is an enormous power for those who control standards, government officials. When they develop these standards, they must pass through the European Parliament and then the National Assembly, but the nature of the case, they have the highest authority to set rules for these technical issues. This often goes quite far, and it's strange. In this case on both sides of the Atlantic, I like better the other way which is to have mutual recognition, so that the places Americans do are approved on the European side and vice versa. It's a long time before it's over, if that's what it's gonna be. It's an old idea. They used to call it TITP, not TITP. Now they're talking about TITP, and hopefully they'll run out of deals, but there's a lot to play in. The goal of the U.S. government is to complete the negotiation before President Obama finishes his terms. He stressed in his campaign that he was very negative when it came to free trade agreements, but he changed the course of the final days, as many presidents have done, well. I hope these goals are reached. What this means for us Icelanders, for it has been considered something, is largely positive. It simply means that unchanged, even if we were not directly involved in the contracts, the products brought into the European market and fulfilled those standards could automatically go to the U.S. market. It would, therefore, be positive for Icelandic exports. Witchcraft has taken it out. The conclusion was that the only negative thing for Norway was that perhaps an American water supply would be competitive toward the Norwegian Ocean into the European market. Despite the free trade, there are certain seafood customs, as we know from the EU market. Then I guess the same thing applies to Iceland. However, I now assume that the competition between the United States and the United States is very strong, and, in fact, Norwegian seaside also, would have negative impact on having to compete with the import from the United States, which would be toll free while importing in the EFTA states would have some toll. We're talking about three options for Iceland. First, that either EFTA or Iceland would have an extra TTIP addition. Second, a special vacation agreement would be with the United States. Third, the situation would be unchanged. After talking with Washington's executives and Brussels, you hear that Americans are all as good at having more inside. Rather, it seems obvious to you that they are creating their own global trading systems. It would have been better if it could be reached at the International Business Institute, but it's better to have something than nothing. We immigrants, who are exporters, will lose on if there is no global exchange, if such a system is not too active, and, of course, consumers on this land and really in all countries of the world. The Iceland Commission has specifically discussed free business with Turkk. Hopefully, we'll get another generation of free trade deal as soon as possible. Turkey is a great and powerful kingdom. It is the only democracy in these parts, except for Israel, that there are not many. Although Turkey is the largest and most powerful, it may be that democracy is not exactly where we would like it to be. There is at least a big difference between that and dictatorial states. Turks are involved in atoll alliance with the EU. This would mean that if they did not get directly involved in TTIP, they would become totally unchanged in some of their problems. They were very worried about that. There's a difference between being in atoll alliance and being in a vacation store. We also talked with a representative of Brazil about free trade agreements with MMCOSUR, one of the largest vacations and toll alliances in South America. It was interesting to hear their viewpoint. I have talked to various authorities about free business over the years. It's interesting to know that even if the state is very large, they're very careful about large companies, such as the European Union, the United States, and others. This involves our strength. We're in EFTA, and although we're on our scale with a large country inside, like Swiss and Norwegian, it's a small vacation alliance that nobody's afraid of. There is no need to worry that EFTA will wade through the filthy shoes of any state or country or region. In effect, EFTA has a positive attitude and wants to talk to and negotiate with EFTA about a vacation store. We're supposed to take advantage of that. This has tremendous strength. There are some who do not know what EFTA is because EFTA is just doing what EFTA is supposed to do. The European Union, so we compare ourselves with it because this is the second option in the European Union, spending more on propaganda and publicity than Coca-Cola. I don't like public money. FEFT owns a logo, so a man fell, a respectable president, but he is primarily doing what such alliances are supposed to do, i.e. to negotiate a vacation store and make sure that free shop deals are held. That's why we're supposed to be in such an organization. I specifically adopted the EFTA Development Fund. When we signed a contract with the European Economic Area, we were made to pay a certain amount for five years, if I recall correctly, rather than seven, to strengthen an area in Portugal, Greece, and Spain. The European Union has taken it very seriously with the argument that we get so cheap from the European community. For example, if we were in the European Union, we would have to pay enormous sums of money into the European Union. They say, "This is what we're using to help the poor -- then we can debate if it's true, but it's their reason - but you have access to the market and you don't have to pay anything, so you have to pay for it in the EFTA Development Fund. We're this year paying you 1. Millions in the European Union development aid. Evolution has been a large part of it. Among other things, it has gone to Great Britain and many other countries we would consider as all the poorest countries. I've stressed it since we're paying off this fund - I have to admit that I'd rather use this money for other development aids than developing support to one of the richest areas of the world - that we use the resources to help the refugees, for it's a problem that's come to be. They need to be processed and helped as far as possible. We are to make full use of this money with respect to the work that I am not going to specify here, but we may want to take a special discussion. You worry about what's far from everyone. There's not much to hold on to this. Although we've recorded this, it was my initiative that we adopted the issues of the EFTA Development Fund, it's hardly exactly been discussed with the fund, either from the distribution or from the course of the year. This is done by some minister, but we need to keep up with these matters. My policy and my opinion is simply that we should use the EFTA funds to help those most in need. There is no doubt that that group is refugees. Finally, a respectable president. I have emphasized that we are also trying to use EFTA to help countries and give the message to countries that are successful. I'm gonna name Arabic in the spring. There is, in fact, just one state that still has real democracy, and that is Tunisia. I've gone to see some councilmen in Tunisia, of course, through another organization I'm in. We are to give a message, though, in which democracy is taking place that we respect democracy and that we have democracy and respect human rights. EFTA and Iceland are to offer them free trade agreements and give them the message that we are on their side in the hard struggle that they are in all around them where Arabic spring was, not fall, but dark winter when it comes to political and human rights. How sad it would be if we saw that the Tunisia experiment did not work out! It would be awful to have to sit up with the fact that we didn't do anything when we could. [[The president calls.]] I hope EFTA will be used for a free trade deal with Tunisia. [[The president calls.]]
ParlaMint-IS_2016-01-28-69.u23	Mr. President. Hv. A senator is a warrior who is sometimes in shadow wars, and he never talks about a vacation store and the EU without swinging a fly in front of my mouth, but I never jump on it. I agree with that. A member of the European Union has certainly not obtained a reputation for making free trade agreements, although it may have changed somewhat in recent years. Yet, it is so that a certain paradox was addressed at the same time. A senator when he pointed out that if we walked into the European Union, we would lose much of our weight. He is absolutely correct in saying that all the treaties we have made fall. Yet, the fact is that the speech of some people is floundered. The senator was covering a very remarkable vacation contract and perhaps the most remarkable one we've ever seen in, the TTIP deal. It is of utmost importance, and if we were to be involved in it, it would probably improve the economic growth by half to one percent. I might discuss it here in my second speech. What I would like to talk to you about. A senator is a vacation shop on Japan. Naturally, he didn't come into it because that case has been completely out of the park with EFTA. This is because one of the EFTA countries, Switzerland, has made such a two - sided agreement with Japan. Hence, we cannot use the power of EFTA and all the goods we can do. A senator correctly reviewed here. It is a very important matter for the fishing industry. I have hereby made recommendations on this matter with the support of a number of members of Congress, and I have even approved a rumor on the Foreign Affairs Committee last year. Never will be able to handle this here at the council. Today, something special is happening, i.e. The 60th anniversary of our political relationship with Japan and the State Department is going to Japan. Counts 'em out. A senator did not, although this may not directly relate to what he was discussing, that it is important for us to make the council his will in this regard?
