ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u1	73. Oral inhalation
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u12	Thank you. The Prime Minister, Mr Bohuslav Sobotka, has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u13	Thank you. Dear Member, I am naturally familiar with the situation of the holešov industrial zone in recent years. It is a fact that relatively large public funds were invested there to make this zone ready for new investments, and so far no major investor has been able to get there. I agree with you that one of the reasons may be the question of incomplete connection to the basic and key transport infrastructure. And to be honest, that reasoning awaits us in other areas and in other locations. At the same time, if the government wants to focus more actively on the issue of obtaining direct investment and promoting the creation of new jobs, we also need to build on the development of transport infrastructure. So, hand in hand, the government must conceptually consider how, when and how it will use prepared industrial zones in which considerable funds have already been invested in the past, and how it will adapt to the development of transport infrastructure and investment in it in the coming years. Here I would very much welcome cooperation between the Ministry of Industry and Trade, the Ministry of Transport and the Ministry of Finance so that we can coordinate the development of transport infrastructure and the access of new investors to the Czech Republic. I want to assure you that when it comes to connecting the holešov industrial zone, we see this as one of the priorities.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u14	Thank you. I am now giving the floor to Mr Petr Bendl, who was drawn in third place to give an oral interview to the Prime Minister of the Czech Republic, Bohuslav Sobotka. Please prepare Mrs Němcová.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u15	Thank you for the floor, Madam President. Ladies and gentlemen, colleagues, dear Prime Minister, I have a simple question. A member of your government is a person who belongs to important entrepreneurs in the Czech Republic, in the agrarian sector up to some parts of the monopoly position. I would like to know whether you personally mind and feel it as a conflict of interest if the Finance Minister has a Financial Analysis Service under him or not, and whether you intend to do something about it, because this department has access to sensitive information from competitors of all companies, has access to information that may be of great value on the market and can be in a significant conflict of interest. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u16	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u17	Thank you. Dear Member, allow me to respond to your interpellation. Of course, this is to a large extent a new situation that we have not yet encountered, even in the past, although political parties have been formed in a very fast way. Mr Babiš is undoubtedly not the first entrepreneur to enter the government so quickly on the basis of the results of the elections. And I want to stress that this was based on the results of the elections. Citizens who voted for the YES movement knew who was in charge of it, and they could logically also assume that if this party obtained a strong electoral mandate, it could be in government and could be part of a government coalition. From this point of view, I think I know nothing about what the chairman of this movement would hide or conceal in the election campaign from his position and from his economic position. I just want to remind you that in the last parliamentary term, without wanting to do any equality here, part of the government, and for some time even the Minister was the effective President of Public Affairs, Mr Bárta, who was also an entrepreneur, even in a specific area. And that's when we were debating whether there was a conflict of interest here, given that his political party nominated the Home Secretary. That risk is always there and always will be here in the future when an entrepreneur enters politics. And here I think it's very important that we put emphasis on standard procedures, on compliance with the law. We have a conflict of interest law here, which obliges a member of the government to report this conflict of interest at the moment when a vote awaits him, in which there could be conflicts of interest. So it's respect for the legal regime. I am also informed that Mr. Andrej Babiš has resigned from his duties in the statutory bodies of the company he owns. As far as the Financial Analysis Service is concerned, this is no secret service. I assume that the Financial Analysis Service has precise rules and precise procedures, from the point of view of its activities governed by law, and I have no reason to fear that the Financial Analysis Service should proceed in a different way than in a standard manner. This means, yes, it is a powerful instrument, but I firmly believe that it will be used in accordance with the law, especially for what it is intended to serve, that is to identify illegal transactions, to help the state fight terrorism, to help the state, for example, in the fight against tax evasion.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u18	Thank you, Prime Minister. I ask the honourable Member whether he wants an additional question. He does.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u19	Okay, I understand. You believe the Vice-President of the Government that he will not even abuse the fact that he will have sensitive data, even if it does not have to be any criminal matters. But he'll have access to his competitors' accounts. You don't mind, okay, so be it, at least everyone heard it. I would just like to remind you that both Mr Bárta and Mr Řebíček have given up ownership and transferred their companies to other persons. I'd like to know if you're counting on your member of the government to do the same.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u20	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u21	Thank you. She's a really interesting question about the Financial Analysis Service. I've been Minister of Finance for four years, that department was part of the Ministry of Finance at the time, and frankly, I never thought I'd take advantage of my position and investigate any sensitive data from anyone. I say anyone. There are standardised procedures. The department is essentially separated from the rest of the Ministry of Finance, both from the point of view of its management and from the point of view of dislocation. And if the minister wanted to get some sensitive data, all these requests would, I suppose, be recorded. This means that, according to my information available from the experience of the Minister of Finance, it cannot be obtained sensitive data without being evaluated in some way without being recorded in any way. I suppose, then, that the new minister might be informed that his predecessor was trying to exploit the FAU in some way. So I don't think that's gonna happen. Once again, there are procedures. And I didn't succumb to the temptation when I was Minister of Finance. As far as Mr Řebíček is concerned, I understand the example. Mr. Řebíček, I believe he sold his share of Viamont. But I don't know if it's a very happy example, because even though he sold his share, and if you look at how much more Viamont's orders grew during the time Mr. Řebíček was the Minister of Transport, it turns out that the doubts are here anyway. Although he sold the share, there are still doubts whether the expansion of Viamont coincides with Mr Řebíček's actions at the head of the Ministry of Transport is the result of the previous link. I just want to point out that after Minister Řebíček left the head of the Ministry, the company was not doing so well, and I don't think it turned out quite well. So it wasn't a very good example. But frankly, I am not at all opposed to discussing how to amend the law on conflict of interest in the future. If we come to an agreement that we should apply certain rules more strictly or more strictly in the future, then undoubtedly, I believe that I am speaking for the entire government coalition, we are not at all opposed to such a debate.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u22	Thank you, Minister. I now give the floor to Mrs Miroslava Němcová, who was drawn in the fourth place to present an oral interview with the Prime Minister of the Czech Republic, Mr Bohuslav Sobotka. Please, madam. And Mr. Marek Benda will be ready.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u23	Thank you for the floor. Madam Vice-President, fellow Members of the Government, I will start with a quote - a quote from the current Minister of Finance: 'We will insist on this', so I quote, 'that we will use funds of approximately CZK 350 billion, which lie without use on the Czech National Bank's accounts, to manage the state debt'. [[15.00 hours]] I would like to ask the Prime Minister if he really is identified and has the same opinion as his Finance Minister, with 350 billion crowns lying on the Czech National Bank's accounts, which can be used to reduce the sovereign debt of our country, if he is aware that, firstly, the money is not there, secondly, that the large amount of funds held by the Czech National Bank in its accounts belong to other state organisations, e.g. higher education institutions or e.g. to municipalities and, therefore, whether the Prime Minister thinks that it is good to touch this money from universities or municipalities to reduce the government's debt. That's the first question. And second, if he doesn't think it could mean such an intervention in the financial management of the state to discourage potential investors and reduce the economic assessment of our country abroad. Thank you for answering these two questions.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u24	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u25	Madam, I naturally had the opportunity to speak with the Minister of Finance on this subject. He based his communication on a regular report submitted by the Ministry of Finance, which spoke about the average balances on the CNB's accounts registered under the Treasury system, but although balances are recorded and reported, the State does not have access to these funds. After all, that's what you mentioned yourself in your interpellation. And this may be the problem that we have in the Czech Republic, unlike other countries, where the Treasury system has been brought to an end in the sense that all public bodies have the means that the government, at the time it had to borrow, has to use the surplus in these accounts and temporarily finance its needs. Yes, you are right, it would be a kind of disruption to the existing budgetary autonomy that some entities have, but the question is whether it would actually interfere with their management if the funds are there and are not used in any way. This is a debate that awaits us for the future. You may recall that we have also had this discussion here in this Chamber of Deputies. It was at a time when Minister Kalousek, who was, after all, the Minister of Finance in the government, in which the ODS was also involved, established a treasury system and tried to make full use of the public universities' resources as part of the system. At that time, there was great opposition from public universities, and schools argued that the state could not touch their money within the Treasury system. That means they've stayed out, but they're registered and they're reported. And Minister Babiš was based on reporting, which includes these funds. In the future, I think there is a debate here and there is a possibility of debate as to whether our treasury system should not be more effective in this regard, because if we included all the public institutions' funds and the state could temporarily touch them if necessary, then this would undoubtedly reduce the cost of the state's debt service. It is a question of rational economic debate, whether it would ultimately be more useful for the State than to respect it, I agree with you, as well as the important autonomy of individual public institutions. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u26	I thank the Prime Minister and ask her if she wants to ask an additional question. Please, madam.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u27	I don't think I want to ask you a follow-up question because I don't know what else I can learn about her. I just thank the Prime Minister for explaining that he chose the most important man in his team to be a man who can't read the reports and doesn't understand their message and interprets them as he attacks him in the spirit of election cheap rhetoric. Thank you for this clarification from the Prime Minister's mouth.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u28	I now give the floor to Mr Marek Benda, who was drawn in fifth place to give an oral interview to the Prime Minister of the Czech Republic, Bohuslav Sobotka. Please prepare Mrs Fischerová. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u29	Thank you, Madam Vice-President, Prime Minister, ladies and gentlemen, I may not be able to take two minutes. In a famous letter, which left the People's House to Prague Castle, in which a part of the ministers of this government was renamed, which all of us were then able to see from Prague Castle, there was a sip in which it was stated that the annexes to this letter were a demonstration certificate of the members of the government. I would like to ask the Prime Minister whether it was a demonstration certificate from all the members of the government, or just some of the members of the government, or some of the members of the government, and whether these illustrations were all negative, or some of them were positive. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u30	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u31	You are right, honourable Member, that the annex to the proposal I presented to the President of the Republic was a demonstration certificate. All members of the government, except for a candidate for the Minister of Finance, either submitted a negative illustration certificate or stated that they were no longer subject to this obligation because they were born in a period when the Illustration Act did not require the issue of such a certificate. This is the reality, this was the composition of the annex which was part of the proposal I submitted to the President, and for this reason I can also state that the proposal was quite specific, since the exact names of the individual proposed members of the Government were given within the appropriate certified copies of the illustrations.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u32	I thank the Prime Minister and ask Mr Benda if he wants to ask an additional question. That's right. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u33	Prime Minister, I understand your explanation that the illustration certificates were not given by those no longer covered by age, but, if I am not mistaken, the Minister of Finance and Deputy Prime Minister Babiš are among the years to which the illustration certificates still apply. I therefore ask why his illustration certificate was not an annex to this letter to the President of the Republic.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u34	Thank you. The Prime Minister, Mr Bohuslav Sobotka, has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u35	I think this thing is very simple. Naturally, I turned to individual coalition parties, with whom we agreed on a coalition agreement, to supply the relevant documents for submitting a request to the Prague Castle, and I also submitted these documents, which were supplied by the coalition parties, to the President of the Republic.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u36	Thank you, Prime Minister. And now I give the floor to Mrs Fischerová, who was drawn in sixth place to give an oral interview to the Prime Minister of the Czech Republic, Bohuslav Sobotka. I will ask Mr Jan Zahradník to prepare himself.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u37	Madam Vice-President, thank you so much for the floor. Ladies and gentlemen, Mr Prime Minister, I am meeting as a Member of various persons and also one part of them, among others. are traders and self-employed persons. They are interested in many things, because we know that the business currently, the amount that falls down, their number affects different things. Among other things, they also ask me how it will be prospectively with tax so-called. expenditure flats. So I have studied the coalition agreement, where part of it can be read, but I will have a specific question at the end. I have read the government's priorities: we will support the development of small and medium-sized enterprises. We also consider the maximum reduction of administrative burdens for entrepreneurs to be important. That's good, I like that. But then on with Article 2.4, it should be effective from 1. 1st year 2015, we will endeavour to approve changes, limit the amount of flat-rate costs for the Ministry of Finance the absolute amount. At present, these amounts are 30-80 percent, we know that. But I would like to know, Prime Minister, if there is an analysis and what impact this will have on our state's fiscal policy. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u38	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u39	Thank you. Madam, you may recall that the current form of flat-rate spending is, in principle, valid in our country since 2006. It may surprise you, but at that time I was in the position of Minister of Finance and I advocated and supported the extension of the possibility for businessmen to apply spending flats. But at that time, the spending flats were applied in combination with progressive taxes and were applied in combination with minimum taxes. [[15.10 hours]] That is why, although we have deepened and expanded the possibility of spending flats in 2006, the collection of income tax has not collapsed. The collection of income tax from natural persons in business collapsed only during the reign of Petr Nečas, it started already during the reign of Mirek Topolánek at the time of the abolition of tax progression, introduced equal tax and abolished so-called. minimum tax and left the generous spending flats as we set them up during the reign of social democracy in 2006. And that's when the collection of income tax on individuals who were doing business collapsed, because before you canceled the progression and abolished the minimum tax, the state collected some 16 to 17 billion crowns per year from the CFI. Guess how much the state picked last year. Less than 3 billion crowns. Less than 3 billion! So it was sixteen and seventeen, and now it's less than three billion crowns. It's obvious there's a problem with tax collection. The second problem that exists here, and you asked about it, and of course I'm happy to answer it, concerns the analysis of tax collection from self-employed people. It is evident that in our country there are differences in the burden on employees and self-employed persons. These differences can be justified because employees naturally have a higher tax burden, but they have, say, more comfortable conditions in a wide range of areas than self-employed entrepreneurs. But the question is, is it really justified everywhere? I'll give you one particular example that concerns health insurance. In the field of health insurance, employees pay higher rates on average, self-employed persons on average lower rates, but both self-employed persons and employees have a chance to receive exactly the same health care. This means the extent of health care provided is the same for both employees and self-employed persons. So there are inequalities here, and we agreed in the government coalition that we would prepare an analysis that would describe exactly where these inequalities arose. We would like to open a whole society discussion on how the taxation of the CFI, on the one hand, and the employees on the other, is to develop in the future. There's a real problem here, and I'm going to tell you that, like, today, businessmen, of course, are worried or watching carefully what's going to happen to spending flats, so the employees are just as upset because they're saying, we're the tax collectors, and we're actually paying for everything here and we're pulling. There are different views here. We would first like to submit an analysis, open up the debate, and do not want to be hasty about any measures. And as far as spending flats are concerned, I want to assure you, and so do all the small businesses, that when it comes to small tradesmen with small turnovers, they will not touch any negative restrictions. Why? I am convinced that flat-rate spending should not serve as an instrument of tax optimization, that it should serve as an instrument to simplify administration for entrepreneurs, so that the tax office does not have to document every expenditure in the form of a document. Here, the spending flat rate simplifies significantly, the communication between the businessman and the finance office. But a flat-rate spending should not help entrepreneurs who have sufficient resources, have large turnovers and can, of course, hire lawyers, hire tax advisors and so on, and that tax payment is not an administrative problem for them. So it is important that spending flats continue to help small entrepreneurs reduce the administrative burden, but should not be abused as an instrument of tax optimization for those types of entrepreneurs who do not really need spending flats, but, of course, accept them as a kind of comfort that allows them to optimize the payment of tax to the state. Those are the considerations we have. We want to act wisely, gradually and in no way want to harm those real small businessmen, craftsmen, small businessmen. They don't have to worry about any negative changes.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u40	I thank the Prime Minister and ask Mrs Fischerová if she wants to ask the Prime Minister an additional question. That's right. Please, madam.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u41	Dear Prime Minister, thank you for your answer, but I know from experience that it is extremely important for people to have this job, even the small businessmen, and my view is that way. My question was whether the analysis existed. So I understood from your answer that not yet, because if the analysis didn't work out perfectly, I'm afraid it won't even tell that it's going to disappear somewhere in gray again, but I'm looking at it with my own eyes that it's important that people, even the small businessmen, have a job, they can take care of themselves. That it's beneficial for our state in general. But I don't even ask a question anymore, it's more like a long debate because it's not that simple and we all have a slightly different view of it, but above all, it's about people being able to take care of themselves from my point of view. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u42	Thank you, Madame. Prime Minister Bohuslav Sobotka has the floor. Please, Prime Minister.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u43	Thank you. Madam, you may be surprised, but I agree with you. In a situation where we have such high unemployment as today, when almost 600,000 people are out of work, when the economy is not growing, in principle stagnating, these growths are very weak, so the idea that any government will increase the taxation of small businessmen would automatically mean sending them to the labour authorities. Therefore, the government also does not want to take any such measure and will very carefully consider all the measures it will take in the tax area. The analysis isn't processed yet. Analyses have trade unions, and employers have analyses. Government analysis will be processed, it will be part of the government's programming statement, and on the basis of this analysis, we want to open a debate. Because, indeed, a number of people here today have a certain injustice in terms of the level of taxation and the levies that apply to public systems. And maybe in conclusion only one example, which is also important and needs to be talked about out loud. People who work in the Czech Social Security Administration tell a number of examples of when a person who has worked as a businessman in the last twenty-five years, the self-employed, now comes and asks about the income of his pension, or is already officially assessed, is shocked by how low the pension is. Naturally, a number of entrepreneurs like to pay lower social security contributions, but they do not realize the consequences it will bring when they retire and when the old-age pension is paid to them, and then they are shocked by the low amount they receive. Even here, the state should deal openly with its citizens, and it is necessary to tell the businessmen the whole truth: Yes, today you can benefit from social security discounts, but please count on the fact that at the moment when you are granted an old-age pension, you cannot count on such a high old-age pension, which maybe your fellow employee will receive, even if you see it as unfair.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u44	Thank you, Prime Minister. Mr Jan zahradník, who was drawn in seventh place, will speak with the next interview. Mr. Václav Klučka will be ready. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u45	Madam President, ladies and gentlemen, when I thought about what question I would ask the Prime Minister when I first participated in oral interventions, I thought of more topics, but in the end the only topic that was most important to me as a Member elected in the South Bohemia Region, and the topic is the transport connection of South Bohemia to the centre of our Republic, Prague, and then to the European motorway network, that is to say south, to the Hornorak Linz. Therefore, I would like to ask the Prime Minister the order in which the government's priorities, which he holds, are the construction of the D3 motorway and the subsequent R3 expressway, as well as the location of the R4 expressway, which connects Písek and Prague from the southwest. Thank you.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u46	Thank you. The Prime Minister Bohuslav Sobotka has the floor.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u47	Thank you. Dear Member, I think it is quite logical that, as the former Governor of the South Bohemia Region, you are asking about an important state infrastructure structure, which is undoubtedly crucial for the future of South Bohemia, but also for our connection with Austria. The first thing I would like to say is that, according to the information I have received, the Austrian party is counting on this border section to be invested from the Austrian side after 2018, i.e. the perspective of around 2018 from the point of view of the completion of the Austrian side of the motorway. As far as the Czech side is concerned, I can assure you that the construction of other sections of the D3 motorway is under way. [[15.20 hours]] So, first of all, the government is counting on continuing to finance construction and also preparing the D3 motorway south-facing according to needs. At this point, it seems that there is some slowdown in construction in the two following sections after those which have been opened, as a result of the abolition of the competition authority for two of these sections, and the competition will have to be re-prepared. But I can assure you that in this year's budget from the point of view of the transport fund, funds are provided for both the start of the investment and the purchase of land in those other stages towards České Budějovice and around České Budějovice. This means that the funds are secured this year, and, as far as the next years are concerned, naturally you will also be able to influence this as a Member of the House in a situation where the budget of the Transport Fund will be approved here for the following period. When it comes to building D3, it is undoubtedly the government's priority. And if you look at the coalition's programming statement, there's an R35 expressway, and then there's an extension of the highway connection with all of our neighbors. Of course, there is also the D3 motorway among those priorities that are included in the motorway connection with our neighbours. As far as the express road from Prague to Písek is concerned, it was not mentioned in the name of your interpelation. I can't give you more details here, but of course I'm ready to send you some written information.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u48	I thank the Prime Minister and ask the honourable Member - yes, he wants to ask an additional question. Please, Mr. Ambassador.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u49	Thank you, Madam President. The information about the Rakušan is a little untrustworthy for us who drive around here. I understand that you may have the right information, but it's hard for us to understand when it comes from Linz to the north, you could say, "Still six." But one more thing I'd like to mention. The state has long planned to complete one of the major energy investments in southern Bohemia, the completion of the third and fourth block of the Temelín nuclear power plant. This is a construction that is very important to our country. It's a matter of many years into the future. But still, from public opinion polls, this building has a relatively significant tolerance between South Bohemia. But Jihočech Bohemia is also waiting, not only to invest in the core, but also to invest in transport infrastructure. If this circumstance is also known to the Prime Minister, I would like to ask.
ParlaMint-CZ_2014-02-06-ps2013-006-03-023-073.u50	Thank you, and I give the floor to the Prime Minister.
