ParlaMint-RS_2002-12-13-0.u25062	I have a proposal based on Article 137 that the debate in particular takes three minutes.
ParlaMint-RS_2002-12-13-0.u25073	Is anyone else applying for this amendment? No, I don't. ) To Article 2. The amendment was submitted jointly by MPs Tomba Busetic, Jovan Todorovic, Dusan Cvetkovic, Joca Arsic, Radojko Petric and Ljubomir Mucic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. Does the Proposer's representative want a word? The People's Messenger Tom Bushetić has the word.
ParlaMint-RS_2002-12-13-0.u25074	Ladies and gentlemen of the People's Parliament, a group of SPS MPs has proposed an amendment to Article 2 proposing a reduction of budget deficits from 47 billion to 20 billion. We have projected funding from donations to cover the deficits of 12 billion dinars and another part of domestic borrowing of 8 billion. We believe that, given that this power is quite serene and serviceable to Western mentors, it can draw out a lot more donations, given that, in terms of war damage, they can't even mention anything, and that compensation would be much greater. It would be enough to charge one percent of the war's damage, so these donations would be very high and high. On the other hand, we believe that loans from international financial organisations should also be given up because these loans are mostly unfavourable. Yesterday, it wasn't until the end or debated what happened to the donations. We have a large number of cases in various countries of the world where Western governments are making certain donations that are returning to their banks again with 4% interest rates on the annual level, while at the same time granting them very unfavourable loans with 12% interest. This has happened in many countries, and it is certainly possible for our country to do so. It is also bitter experience in the former Yugoslavia, at the time of Tito, when the Assembly found, in the 1970s, that IMF loans were very unfavourable and that even by investing them in production, the economy did not flourish after these loans. Of course, these loans need to be put first of all in the function of covering the deficit. We don't think all of this is necessary.
ParlaMint-RS_2002-12-13-0.u25075	Are any of the other authorised participants applying for a word? The word has the People's MP Ljubomir Mucic.
ParlaMint-RS_2002-12-13-0.u25076	Ladies and gentlemen of the People's Parliament, this amendment to Article 2 is a logical consequence of the acceptance of the amendment to Article 1. I can say that in this amendment we have explained why the budget deficit should not be financed from international loans, given that yesterday we mentioned an agreement and a memorandum with the IMF, so far it seems to me, twice, that such an agreement has been made, and that in all global macroeconomic indicators there should not be a slave to the complete settings, at least as regards nominal sizes, while the real ones should be respected. It also agrees with the Government of the Republic of Serbia, which responded to one subsequent amendment by the MP, that the amendment is rejected because there is no need for additional budget borrowing from international financial institutions and amounts in the draft law on the Republic's budget for this year and conditions of the country's high external debt, it is necessary to adequately assess the needs and opportunities for additional borrowing. Our proposal is for the budget deficit, planned for next year, to be 20 billion dinars and to cover the budget deficit for the largest part, about 200,000 euros, from funds collected from donations and 8 billion dinars to be provided from funds through the issue of bonds and loans from the National Bank and the business banks. I think it is much more acceptable in these conditions, given that regular funds from privatisation revenues should be real revenue, i.e. regular budget revenues for 2003, and that borrowing is nevertheless through training and consolidation of business banks or by the National Bank of Yugoslavia, perhaps in this public paying service which should be and indicated its formation and which will carry out all public expenditures financed from the budgets of the Republic, funds and other budgetary organisations. Therefore, I think that this amendment has also led to a lack of understanding of the government. We seek and explain no increase in budget and other revenue. We are only trying to put regular revenues based on privatisation into regular budget receipts without the reduced budget deficit being out of debt to international organisations, but to be made out of donations from both domestic business banks and the National Bank or through bond broadcasting.
ParlaMint-RS_2002-12-13-0.u25077	Is anyone else applying for this amendment? No, I don't. ) On Article 2 of the amendment was submitted by MP Miroljub Veljkovic. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The word is submitted by the amendment, MP Miroljub Veljkovic.
ParlaMint-RS_2002-12-13-0.u25078	With my amendment, I proposed that the Republic of Serbia's 2003 budget be reduced by a total of 69 billion dinars. My proposal refers to a reduction in planned income, not a planned deficit of 40 billion dinars. That planned deficit is a special story. I continue to argue that the 2003 budget of the Republic of Serbia is unreal on the receiving side and terribly wasteful on the breeding side. In general, the 2003 public spending projection is simply incredibly high for the economy in a deep recession for the population with an extremely small economic power. Yesterday, ministers told us all day and night that the economy is in expansion and that the same economy will be able to satisfy the growth of the government's appetites. We all know, honourable MPs, that's not so. We are all witnesses, in the middle of where we come from, that economic activity in all these environments is in a terrible downturn and that the economy simply won't be able to throw out this much pressure and that we're in danger of the economy completely bankrupting us. Yesterday, the Prime Minister and the Ministers came in to convince us that the people had money, that the people lived better, and that they would bear these planned fiscal burdens easily. All of us in this room know that's not true, but this government has drained dry dreno, there's nothing left to drain. You're probably going to answer the question, we heard that yesterday - and where did you get the money for the budget users? I can't even think of a chance to say that it is necessary to reduce planned pensioners, education, health care, police, military, etc. As much as I think they need to be increased radically. So where are the reserves to accept this 69 billion reduction? Yesterday, Mr. Seselj analyticalally presented to you only one category of planned costs, so-called. Costs per contract. All the ministries, absolutely all the ministries planned huge funds for these purposes, and it is not clear what will be spent in. And here, that item, we're fucking that item, and here's the place where this proposed reduction of the revenue side of the budget is accepted. Or, for example, to abolish this Covico Co-ordination Body for Kosovo and Metohija. In addition to making savings out of billions of dinars, by abolishing this miracle, not only discharging the budget, but doing one extremely good thing by national and state interests. So, honourable MPs, there is room to relax the budget on the revenue side, there is plenty of room and I invite you to accept this amendment.
ParlaMint-RS_2002-12-13-0.u25079	Anyone else want a word? He has the word of National Envoy Vojislav Seselj, president of the Serbian Radical Party parliamentary group.
ParlaMint-RS_2002-12-13-0.u25080	Ladies and gentlemen of the People's MPs, the SRS parliamentary group supports MP Miroljub Veljkovic's amendment, for the same reasons that we supported, because we want first and foremost the budget for next year to be in a much smaller amount than the one you have designed, and otherwise, this member of the Budget Law, Article 2 contains some indifference, not already indicated. Because how can you make something that is called regular income here as a way of financing the budget deficit? See these figures - in Article 2(2), paragraph 2. - who in the government, Minister Djelic, or Minister Vlahovic, calculated that the privatisation revenue would be 15,389,819,000 dinars, why haven't you made 426 dinars yet, when are you so precise? And nowhere in the Budget Law did you show us how you got this number. You had to specify exactly what is planned for next year for sales, through which form of privatisation, to explain this huge sum of 15 billion. You can't explain it, because you're just guessing. You don't know in advance if you're going to sell sugar for 100 million dinars, for a billion dinars, or for three euros. You don't know that, because, as the circumstances arise, you're acting like one, which means you're not accessing the privatisation process in a plan. Next, how exactly did you predict donations of 9.530,000,000? Why didn't you name 9,530,647,222 dinars, for example? (Employee Cedomir Jovanovic, from the place: and 50 pairs). And 50 pairs, too, that's a good addition, Mr. Jovanovic. Don't give him the replica, because this was an objection to consent. In the same way that you stated this, you are, in fact, through another member of this law, the desired budget deficit, because only one who has unrealistical state-owned assets, predetermins that will have such a huge budget deficit, you set out through several items, which are completely uncertain. In the same way, you could have said 15 billion donations, 9 billion out of privatisation, no explanation whatsoever, no calculation, no argument whatsoever. That's the same thing as these two remaining points within this line two, you have absolutely no basis.
ParlaMint-RS_2002-12-13-0.u25081	Is anyone else answering for a word under this amendment? No, I don't. ) Together, MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic submitted to the 2nd amendment. The government and the Finance Committee have not accepted this amendment, and the Legislative Committee considers the amendment legally possible. The word has a representative of the amendment's applicants, MP Srdjan Petrovic.
ParlaMint-RS_2002-12-13-0.u25082	The respected presidency, respected counterparts, the DSS, analysing the budget, concluded there was room for a certain budget reduction. We have, by analysing items on the side of the expenditure, found that there are some 4.5 billion dinars in that space, although we have also heard some analysis that there are nearly 20 billion dinars in that space. Normally, the goal of every government, especially in our terms, should actually be to reduce the share of expenditure on public spending, in national income. We share that attitude, and that's why we started to cut the budget by 4.5 billion dinars. Normally, you need to see what these 4.5 billion dinars are taken from. Normally, since we have a deficit budget, it is most logical to take it from the deficit, and when you look at the items of the deficit, it is most logical and perfectly normal to take it, i.e. to remove the borrowing item abroad. Of the four items, that means privatisation, domestic debt, foreign debt, is most logical to determine this by reducing foreign debt. There, and 4.5 billion dinars mean that in item 2 in point 3 number 12,734,000 would change to 8.196,296,704 dinars. So basically one-third would cut that item. It concerns this high deficit of 46.9 billion dinars, and it certainly needs to be reduced, because it represents as much as 21% of the budget. It has been concluded that it is possible to implement a reduction in the planned resources within certain expenditure groups without questioning the achievement of the basic functions, which are being hired by the involvement of these funds in financial support. We'll talk about it in the next amendment. This would reduce the expected deficit and the necessary resources to cover the deficit. The most just is to cut the funds to cover the deficit on the basis of credit from international financial institutions. The explanation of the government, which it does not accept our amendment, is that the arrangement that these loans are obtained is very favourable, at the age of 20, I feel free of interest, etc. It is okay, however, to be in charge, and normally, if there is room to spend, and such a duty should be reduced. That's why we gave this amendment.
ParlaMint-RS_2002-12-13-0.u25083	Does anyone else, of the authorized participants in the debate, want a word on this amendment? No, I don't. ) Together, MPs Dragan Markovic, Petar Petrovic, Milos Lukic, Adam Urosevic and Zivko Selakovic submitted to the 2nd amendment. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. The word is made by MP Dragan Markovic, representative of the amendment's applicants. Do you want to use the time as deputy MP, then you have six minutes?
ParlaMint-RS_2002-12-13-0.u25084	I'll see, don't give me now when you interrupted me yesterday.
ParlaMint-RS_2002-12-13-0.u25085	That's why I'm asking you not to interrupt, I thought it was better for you.
ParlaMint-RS_2002-12-13-0.u25086	The Serbian Unity Party has proposed an amendment and is asking that the proposed solution to the deficit coverage, by tasking international financial institutions, is unacceptable for the Serbian Unity Party. We believe that if we re-indemnify ourselves, as we did this year, we're in debt twice with international institutions, and given how it's planned to fill the budget from donations, from sold factories and international loans, and that money goes for wages. That money doesn't go into production. The question is, where are we gonna get that money back from those banks? It is known that production in this year is not the same, as Minister Djelic said yesterday, as well as the Prime Minister, that production fell, that we are exporting less now, than we exported in 1999 and 1998. The Serbian Unity Party proposes that this member be deleted, that we do not owe ourselves to fill the budget and in this way, that the funds go directly to the salaries. The question is, when the deadline comes for these loans to come back, and we don't have a well-being factory, because by then we'll be selling everything, these factories, as we've worked in Serbia so far, where we'll get those loans back, and then the intubulation, the one that's been given, will automatically go to whoever gave us that money. Therefore, the Serbian Unity Party is looking domestically at this budget, unlike the ruling party. We believe that the budget should not be charged from credit, but from real sources of revenue, and by production, which has not been the case lately. Thank you.
ParlaMint-RS_2002-12-13-0.u25087	Do any of the other authorised participants in the debate want a word? No, I don't. ) On Article 3 of the amendment was submitted by MP Gordana Pop-Lazic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. The amendmentr wants a word. The word has a folk letter from Gordana Pop-Lazic.
ParlaMint-RS_2002-12-13-0.u25088	Ladies and gentlemen, Members of the People's Parliament, Article 3, sets out funds to cover the budget, the expenditure of the AP Vojvodina budget, so we should transfer from the budget of the Republic of Serbia to the Autonomous Region, and the first indent states that it is 16.3% of the amount achieved in the territory of the Autonomous Province, i.e. income from the income tax to the citizens, and in the second indent, that this is part of the company's income, amounting to 50%, of the amount achieved in the province's territory and limited to 2 billion 605 million 655,000. What we are required under the omnibus law in indent 3. - transfer of funds, transferred from the budget of 8,630,000 for the salaries of educational employees, in primary and secondary care, and that's about 62,6 billion dinars in total. A 4th indent that I am asking for to be deleted, it is said that funds to cover the expenditures of the AP budget are provided from other revenues achieved in the province of Vojvodina's territory. The explanation of why I ask for this indent to be deleted is that the National Assembly of the Republic of Serbia should not determine by its budget the revenue generated by the Autonomous Region of Vojvodina from its sources, especially because the draft budget does not set the limit of the amount and there are no precise sources of revenue. The government, refuting this amendment of mine, says this is because it violates the provisions of other legal regulations that allow for the existence of the original incomes of the AP Vojvodina. That was not at all questionable to me, precisely because there are original incomes of the AP Vojvodina that we cannot determine, we cannot limit and I am asking that this indent be deleted, which is ultimately contradictory to the full first position of this member.
ParlaMint-RS_2002-12-13-0.u25089	Do any of the other authorised participants want a word? Yeah. ) The word is held by MP Vojislav Seselj, president of the SRS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25090	Ladies and gentlemen of the People's MPs, the SRS parliamentary group, supports the amendment of MP Gordana Pop-Lazic, given that this entire third member is evidence, an indication of the situation the government has brought itself into, and proposing that famous omnibus law to the National Assembly. You have created one quasi federal unit from the Autonomous Region of Vojvodina, despite its strict powers in the Constitution of Serbia, and now you are facing the problem of its functioning in every new legal project. This is specifically indicated by the position, the pre-latest position, that is the position of Article 4, where it is said -- the AP Vojvodina budget pays the salaries of the 2nd member's position on the following day, from the date of receipt of the funds for these purposes to the jury account. You first predicted to be paid to all who are employed in education, and this in the field of Vojvodina, is paid out of the budget of the AP Vojvodina. What kind of danger have you come to now? On the other hand, the fact that these salaries are now unequal, that you have made the basic sense of the status of civil servants, civil servants in the end, who must be unique in the entire territory of the state, have done differently. But you can see for yourself what the problem is. It will happen to you to pay money into the budget of the AP Vojvodina, and that the government of the Autonomous Region, that is to say, does not pay the salary. You say now in this position that these salaries must be paid immediately the next day. Where's the sanctions? You're ordering the Executive Council that there's something it has to do, it won't do, what are you going to do, replace it? You can't. To punish? You can't. What are you going to do? That you're filing unsuspecting criminal charges, and you can see that the courts aren't responding to that. You can't file criminal charges when you think it's necessary, but when criminal law requires something as a felony, you find that there is a criminal offence and then you file a criminal case. There's no sanctions here. In practice, you will get paid out of the Republic budget for healthcare, for education, for information, for culture in the Vojvodina area, and there the Executive Council says - yes, it needs for all of this, for health care and for education, but it is more important for something else, so it will spend your money on something else. The minister can nod his head to his will, but there's no sanctions here. Where is the guarantee that this last position of Article 3, where is this guarantee? She's nowhere to be found.
ParlaMint-RS_2002-12-13-0.u25091	Do any of the other authorised participants in the debate want a word? No, I don't. ) The amendments were jointly submitted by MPs Živanko Radovančev, Golub Rajic, Miomir Ilic, Ljubomir Mucic and Rade Bajic. Since this amendment has been adopted by the Government and the Finance Committee, and the Legislative Committee considers the amendment legally possible, I find that this amendment has become an integral part of the bill's proposal. Members of the 4th amendment were jointly submitted by MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic. The Government and the Finance Committee have not adopted this amendment and the Legislative Committee considers the amendment legally possible. I would like to remind you that by accepting the amendments of MPs Zivanko Radovanchev, Golub Rajic, Miomir Ilic, Ljubomir Mucic and Radet Bajic, he has become an integral part of the proposal for the act, as Article 4 is deleted. Do any of the authorized participants in the debate want a word? Here's a word from MP Srdjan Petrovic, on behalf of the applicants of the amendment.
ParlaMint-RS_2002-12-13-0.u25092	I'm taking the opportunity to explain what's proposed to this. Article 4 is about the appropriations of the Ministry of Agriculture for functions in agrarian, in agriculture. My colleague Kurjački talked a lot yesterday about how we feel that part of the budget is dedicated to the agrarian should look. So, we believe that the government should submit to Parliament an agrarian programme and that, on that basis, we decide through that programme on the appropriations. Given that this substance is essentially similar to that given to Article 14, which is well noted by fellow SPS MPs, and that the Government has accepted this amendment, that practically Article 4 is connected to Article 14, we are giving up on this amendment, and normally we are going to talk about an amendment to Article 14 that we also have.
ParlaMint-RS_2002-12-13-0.u25093	I find that the amendment has been withdrawn from the procedure and thus ceases to be the subject of discussion in particular. National MP Natasa Jovanovic submitted to the 4th amendment. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does the applicant of the amendment want a word? Here's a word for Natasa Jovanovic's MP.
ParlaMint-RS_2002-12-13-0.u25094	Ladies and gentlemen, MPs, Prime Minister Djindjic spoke little of agriculture and the agrarian budget for 2003 yesterday, relying on the minister, who was present last night, half present, Dragan Veselinov, who even came out without reminding the MPs and the general public of his failures recorded in 2001 and 2002. In fact, you planned for 2002 to make the agrarian budget six billion and 300 million. The SRS parliamentary group proposed last year that it be 8 billion for 2000 and you are 6 billion and 300 million and not only continue with the deceptions of agricultural producers, and out of the entire active population in Serbia there are one quarter, but in advance you tell them, what with this unrealistic budget projection, which in 2002, they will not have the funds standing here on paper. The amendment I've filed increases and requires an increase in the agrarian budget of yours, on paper alone, from 7 billion 503 million to 9 billion. We think there's a lot of ground to it. Especially because of the fact that no agricultural producers are at all stimulated, which is small premiums, which is technical and technological obsolescence, which is because of the inability to place quality products that we have in our country, in other countries. And not only do you destimulate them in this way, and not only do you deprive them of the ability to develop such a very important, most important strategic branch of the economy, but you create additional problems for them with high tax policy, because in the case of income tax on citizens, it was also a scheme of circumstances that I submitted, we asked that the income tax on citizens for agricultural producers be reduced from 20 to 10%. It did not want to accept Minister Djelic and such a still high tax rate burdened additional agricultural producers, and on the other hand not only is Dragan Veselinov embarrassing this strategic economic branch, but everything he did in 2002, along with Prime Minister of Privatisation Aleksandr Vlahovic, distributes sugar, and before that you have done with cements, and this is a recipe for the entire economy in our country, so for three euros, an attempt to sell out, although for a little higher sum, sugars in Crvenkovski, and all that you have done with livestock production in the past 2002, it is right to cause great concern that there is only one more proof that you do not want to see this strategic economic branch in the account and that this estimated agrarian budget will not be realised, because of the planned 6 billion and only EUR 4,5 billion in 2002.
ParlaMint-RS_2002-12-13-0.u25095	Are any of the other authorised participants in the debate applying for a word? Here's a word from MP Vojislav Seselj, president of the SRS parliamentary group.
ParlaMint-RS_2002-12-13-0.u25096	On behalf of the SRS parliamentary group, I support the amendment of MP Natasa Jovanovic, because this item does not provide for sufficient funds for subsidies, as defined here by non-financial corporations, I guess that the layman would not understand what this is about. This is the amount of 7.5 billion. It's exactly 7.5 billion you've predicted to pay for the work contracts. When more special services are added, it comes out about 12 to 15 billion. When you add travel expenses, it's a huge amount. Increase the rate by at least a billion and a half subsidies in agriculture at the expense of travel costs. It is illogical for government ministers to charge travel expenses when travelling through Serbia. They've got a driver, they've got state gas, they've got a state car, so he still needs a living room. It doesn't make any sense. You've actually perfected that practice. Give it based on a reduction in travel costs to increase for agriculture. It's as simple as you can do. I don't know if Minister Sabic is now authorized on behalf of the government to accept the amendment since Djelic is not here. Or the government hasn't even declared its amendments, it doesn't even count on the amendments being put on the agenda of its sessions, which is also a precedent in Serbia's government system. So this is the simplest solution -- reduce all items related to travel costs, which will make RJP's CEO travel abroad. Radovic traveled more than a hundred times, I was confirmed in the government. Djelic knows that now, too, at the expense of the government. On this basis, it can be increased by a billion and a half of this, subsidies in agriculture. I guess that's the simplest thing that can be done and that can be useful for the whole country. You see now what the crisis in agriculture has been like. The country destimulated the production of wheat. The question is whether we'll have wheat next summer for domestic production. The minister said no wheat. How can a minister say that? And when he was in the opposition, I remember well, he asked for a ransom price of 32 fening. And it can be secured, it doesn't need wheat. Well, then it will be -- it doesn't need corn, it doesn't need agriculture, what will it be, and when will all these Slovenians import here, Slovenian beef? The banned imports of beef from many European countries and also from Slovenia, however, is enough that Goran Svilanovic's wife is employed in marketing "Merkatora" For his wife Goran Svilanovic, he comes to the opening ceremony "Merkatora" and beef salami from Slovenia in huge quantities. [[elevator.]] For nothing now, the state authorities concerning sanitary inspections, the state authorities protecting our goods, our market, etc. What are you gonna do tomorrow when you get mad cow disease? I know, if this disease occurs in the government at all, it will not be known, but if it appears among us ordinary citizens it will cause disaster.
ParlaMint-RS_2002-12-13-0.u25097	Is there anyone else in the debate? No, I don't. ) The amendments were jointly submitted by MPs Srdjan Petrovic, Dusan Ilic and Dragan Lazic. The Government, the Finance Committee and the Legislative Committee did not accept this amendment. Does a representative of the applicants of the amendment want a word? Here's a word from MP Srdjan Petrovic.
