ParlaMint-BE_2019-12-11-55-commissie-ic071x.u1	Question No 55001113C by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u12	Minister, you will not be surprised to learn that I am fully joining you when it comes to linking pension to career. Indeed, it is normal for someone who has worked his whole life to gain a benefit from his work and his full career. On the other hand, it was important to remember that while the legal age of the pension has been raised to 67 years, the actual departure from the pension is on average 61 years. The margin is therefore still large before there is any question of actually having to work up to the legal age mentioned above. It is very important to stress that if employment is to be promoted, the link between work, the contributions it generates and the pension that will be available at the end of a career must be increased. Minister, thank you for your clarification.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u13	Minister, thank you for your answers. As far as we are concerned, we believe that the reaction of the two professors in question gives a somewhat alarmist view of the situation. Indeed, if we look at some figures a little closer, their comments are not justified. Yesterday, hearings were held on the financing of social security. In particular, we have heard from trade union organisations and their analysis – which we share – is completely different. In their view, if we are to ensure proper pensions for the population as a whole, taking into account ageing and hard work, it will be essential to look at revenues because the previous government has focused on spending. It was this government that left a $3.1 billion hole in the social security budget. We believe that we really need to change course and put an end to the gifts of all kinds that are given – for example, social reductions or tax shift – which, in our view, are part of the indirect wages of workers, who are the only ones still producing wealth in this country. It is therefore imperative to reverse the steam. In any case, even the figures in this article – and you confirm – do not allow us to opt for a point pension, which we consider to be a raffle pension while our seniors deserve much more.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u14	Madam President, Minister, the Constitutional Court, in a judgment No. 11/2019 of 31 January 2019, ruled that Article 8, § 1, paragraph 1, § 3, 3°, of the General Act of 21 July 1844 on civil and ecclesiastical pensions and its annex "Table of active services" violates Articles 10 and 11 of the Constitution in that they do not allow customs officers of the old levels 2 and 2+ integrated into the staff of motorized brigades following the abolition of customs controls at the internal borders of the European Community in 1993 to benefit from the Tanth preferential 1/50e for the calculation of their retirement pension. This decision follows a question referred by the French-speaking Court of First Instance in Brussels for a preliminary ruling. My questions are as follows: Has the "Active Services Table" annexed to the Act of 21 July 1844 been adapted as a result of this decision? Can you confirm to me that the agents covered by the decision of the Constitutional Court are today entitled to the tantième 1/50e for the calculation of their retirement pension? Do your services automatically apply this 1/50th anniversary?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u15	(...) judgment of 31 January 2019 following a question referred by the court for a preliminary ruling in a dispute with an individual. It is therefore not a decision to annul the regulation. The legislation on active services therefore remains in force until it has been amended by law. And it is not up to the current government to take an initiative in this direction, since adapting the tables for active services is not a matter of day-to-day business management, although I understand very well the legitimacy of the issue. Until the provisions of the Act are amended, the Federal Pension Service (FPS) has no choice but to apply the Act as currently drafted. However, I am currently considering with the SFP the possibility of being able to follow up on the ruling of the Constitutional Court without waiting for the establishment of a new government. This would make it possible for all the staff concerned to actually benefit from the Tantieth 1/50th. In the event of a change in the law – which could come from a parliamentary initiative in particular – pension files can be reviewed, but in this case the law would have to provide for retroactive effect to the measure – which I believe is possible.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u16	Thank you, minister, but this suggests that case law should be created from a particular case, which would encourage others to turn to justice. As you rightly pointed out, a parliamentary initiative is possible by introducing a bill to amend the provisions. I appreciate you saying you're looking for a solution despite the routine business. Indeed, if the notion of taking the interests of the citizen into account is only dependent on having a government in day-to-day affairs or in full exercise, I think there is a great risk at that time that the population is even more fearful and apolitical than at present. I really hope that you can confirm that you are moving towards an analysis with the SFP, and if that is not possible, we will take the initiative to table a bill.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u17	Madam President, Minister, from 1 January 2019 a foster leave has been introduced. For the first three days of that foster leave, foster parents receive the normal wage, but for the remaining period there will be a benefit due to sickness insurance. A level playing field has already been envisaged for the annual holiday, but no equivalence has yet been established for the building up of pension rights. Meanwhile, it has become known that, despite the increase in foster homes, many children and young people are on a waiting list. It is up to us to encourage such care for children and young people in a vulnerable situation. Can you confirm, Minister, that the equivalence of pension rights has not yet been settled? Is there a need to adapt the rules so that foster parents can count on their pension rights when they take up that commitment? If not, what is the reason?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u18	Mrs Vanrobaeys, the equality of parental leave before the pension is not yet settled. The adoption of a royal decree governing the equivalence of that leave exceeds the powers of a government in current cases. However, I have asked the Federal Pension Service to prepare a draft royal decree granting the equivalence of that period so that it can be adopted once a new government has been formed.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u19	Thank you, Minister, for your reply. I don't think it's the answer that foster parents expect. If it is settled, I hope it will take effect retroactively, from 1 January 2019, the moment from when foster parents could take their foster parents' leave. I stand by the view that foster parents take on an important commitment, a commitment that means an investment in our society. This investment must be rewarded by an equalisation for subsequent pension rights.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u20	Mrs Lanjri, I would like to ask you to apologize to Mrs Farih because I gave her incorrect information. I told her that she could turn her question into a written question, but when I answered her, I had not seen that it was an attached question. In this case, his question becomes moot. Can you tell him about it?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u21	Yes.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u22	Mr Minister, 27 years after the last mine was closed, it appears that miners' pensions would not have been fully calculated correctly. The Royal Decree provides that the pension of a miner with 20 years of underground service is to be calculated on the basis of 30 years. However, it now appears that the pension is calculated at 25/30ths instead of 30/30ths, which means that miners receive an annual pension of between 2,000 and 2,600 euros. Such matters need to be cleared up, because miners have done unhealthy and dangerous work in the past, which has made a huge contribution to our economic growth and development. They therefore deserve the greatest respect and clarity about their pension. That is why I have the following questions for you, Minister. Are the miners' pensions actually not calculated correctly? If so, what are the loopholes? Will you rectify this situation? Will the pension still be paid retroactively to the ex-mine workers?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u23	Madam President, I have about the same question, but I will give you some more history, because the miners' pensions have already come a very long legal road. It began with the KB of 1967, which stipulated that miners could obtain their pension after a career of 30 years, regardless of their age. This was a full retirement pension of 30/30th. As my colleague said, the Royal Decree of 28 March 1975 reduced the career to 25 years but retained full pension. These five other years were calculated according to additional fictitious years. However, in 1990 our country was condemned by the European Court of Justice, in the Conti judgment, with the result that the fictitious years could no longer be charged. As a solution, it has been added in the law that underground miners are entitled to a retirement pension of 25/30th with a supplement on top of that. The law provides that the supplement is equal to the difference between the amount of the retirement pension which would have been received if one had worked normally and mainly in the subsoil of the said undertaking and the overall amount of the retirement pensions or the benefits which could be claimed as such. That became the new system. It is also mentioned on the website of the Federal Pension Service. Finally, former Minister of Pensions Van Quickenborne made a pension change in 2012. The amended law states that the rights granted to miners and acquired at the time of the closure of the mines are safeguarded. These different steps in the legislation have created a great deal of uncertainty. Different interpretations are possible. Is it true, Minister, that the method of calculating the supplement is not applied in the same way throughout Belgium? If so, what different methods of calculation are then used and how did they come about? If not, how do you explain that some underground miners are getting a total of 30/30ths and others aren't? For the latter, I agree with my colleague's question: will there be a correction for them?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u24	Madam President, ladies and gentlemen, the Act of 20 July 1990 establishing a flexible retirement age for workers and adapting workers' pensions to the evolution of general well-being provides in its Article 3 (6) that the amount of the employee's retirement pension which has been normally employed as a miner in the underground mines or underground quarries at least 25 calendar years is to be increased by a supplement. The method of calculating this supplement is defined in the Royal Decree of 4 December 1990 implementing the Law of 20 July 1990 establishing a flexible retirement age for workers and adapting workers' pensions to the evolution of general well-being, amending certain provisions relating to employees' pensions. Article 3 of this Royal Decree provides that the calculation of this pension supplement shall be based on a flat-rate salary, which currently corresponds to EUR 17,770,57 per career year. The Federal Pension Service informs me that the calculation of the supplement takes place in the same way for all former miners and that the provisions, which have not been amended since 1990, have been correctly applied. The Management Committee of the Federal Pension Service has set up a working group to analyse the issue of miners' pensions. I can inform you that representatives of the miners were received from my cabinet on 22 November. It will be for the next government, should it prove necessary, to amend the calculation rules for the miners' pension.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u25	Thank you, Minister, for your reply. There will indeed be a working group within the Federal Pension Service which will look into the matter. That working group is necessary. When we look at the implementation of the Royal Decree of 4 December 1990, a number of doubts arise as to whether this is fully in line with the law. The supplement as calculated and as the calculation is provided for in the Royal Decree does not guarantee 30/30 or 30 years before the retirement of miners. Moreover, some miners' pensions are calculated differently, which may be contrary to the principle of equality. In this sense, I await the results of the working group. I hope that the working party will make a number of proposals to rectify the situation.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u26	Minister, your answer is somewhat contradictory. After all, you note that the pension is calculated in the same way throughout Belgium and that there is therefore no problem. However, a working group is being set up, which shows that there may be a problem after all. The most important thing is that the problem is resolved and, above all, that it is resolved quickly. Those involved have been waiting for ten years and there have been discussions on the issue for ten years. I hope that, in your capacity as Minister, you will urge the working party to be able to act as a matter of urgency, so that the parties concerned can be informed very quickly.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u27	I see for the following questions that several of them were sent a little longer ago. I would remind you that the Minister will keep the written documents at your disposal if you wish to turn an oral question into a written question today.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u28	Minister, on 1 January 2007, the status of the CALog staff members in the police force was brought into line with the public office. As a result, these staff were entitled to a competence allowance. In the information brochure issued by DGS in 2007, it was clear that this competence allowance would be eligible for the calculation of the pension, as is the case for the other staff of the public office. You confirmed that in your reply in 2015 and 2016 to the ACOD, in which you indicated that the competence allowance would be eligible for the pension calculation. To date, the calculation of the CALog staff's pension for the competence allowance has not yet been settled and the allowance is not yet included in the pension. However, this is already announced in 2007. This is already a long time for the employees who apply for or retire. Can you confirm, Minister, that equal treatment for the building up of pension rights has not yet been settled? Is an adaptation of the rules provided for so that this can be corrected for those who are already retired or who have applied for their pension? If not, what is the reason? When will the regulatory texts be published? A number of employees were entitled to that competence grant, but they are already retired. How many members of staff already retired from whom the competence allowance was not included in their pension? Will the allowance be granted retroactively to them?
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u29	The decision making it possible to take into account the various competence allowances, including those granted to the staff of the integrated police logistics framework, for the calculation of pensions, cannot be submitted to the Council of Ministers for approval, since the decision in this respect, due to its budgetary impact on the Treasury, exceeds the strict framework of management in current cases. As regards your question about the number of staff already retired without taking into account the competence allowances, only the Home Office is able to provide those figures. I therefore invite you to question my colleague Pieter De Crem, Minister for Foreign Trade and Security and Home Affairs. The draft Royal Decree has retroactive effect as it sets 1 January 2007 as the date of entry into force. That date corresponds to the date on which a competence grant was awarded when a certified training course was successfully followed by a member of the CALog. The draft Royal Decree therefore allows a revision of the pensions already granted to take the competence allowances into account for the calculation of pensions. Once the Royal Decree has been approved, the Federal Pension Service will question the Department of Home Affairs, which is responsible for the CALog staff, to determine which pensioners have received competence allowances, and review their pension records from the entry into force.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u30	Thank you, Minister, for your reply. I am pleased that the present draft Royal Decree would, with retroactive effect, recalculate the pension rights of those who made the effort to follow training courses and thereby receive a competence grant. At the same time, I am disappointed that the matter is being dismissed as if it could no longer be dealt with in current cases. Indeed, the scheme started in 2007 and we are now almost in 2020. In my opinion, time has passed enough to get that settled earlier. Meanwhile, people are waiting for additional pension rights and want the assurance that their efforts will also be rewarded in their pensions.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u31	Madam President, Minister, upon the death of a retired public servant, direct-line heirs are entitled to a funeral allowance. This allowance is financed by the staff member through a deduction of 0.5 per cent of the gross amount of his retirement pension. In order to receive such compensation, the heirs must file a claim within one year of the death of the official in question. However, not all heirs are aware that they can benefit from an intervention, as the deceased official has not always provided the necessary information. The family therefore misses a sum of up to 3,000 euros, while the deceased official contributed for this. Mr Minister, could we not foresee the systematic sending of a letter to the heirs informing them of this compensation? Can you indicate the number and percentage of allowances not claimed? Thank you.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u32	Madam, I would like to reiterate that, following the death of a public service pension holder, the surviving spouse is automatically informed of his or her entitlement to the funeral allowance. I'm talking about the surviving spouse. For the time being, it is not yet possible to find the other heirs of the deceased through the Carrefour de la Sécurité Sociale Bank. I have no doubt that at some point this will become possible. With regard to the number, the Federal Pension Service informed me that in 2018, 6,782 funeral benefits were granted. Apart from the number of payments, there are no specific statistical data that are retained. But the Federal Service estimates that 60% of payments are made ex officio to the surviving spouse.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u33	We are therefore aware of the number of compensations paid. If we knew the number of people who died, that would allow us to know the percentage of people who died.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u34	The Federal Pension Service does not know this percentage. It has the percentage of staff allowances that have a surviving spouse. But if there is no surviving spouse, he has no information about the heirs. If the request has not been made, he is not aware of it.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u35	I imagine that there would still be a way to at least know the number of public servants who have died.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u36	It depends on Carrefour Bank.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u37	I'm counting on you to move on with this. It is still the minimum to know which civil servants are dead, and their number.
ParlaMint-BE_2019-12-11-55-commissie-ic071x.u38	Mr Minister, this question is directly in line with the previous questions on miners, but it is approached from a different perspective. We have been informed that a number of underground miners who move abroad after their retirement receive a higher pension than they had previously received in Belgium. In fact, it is deduced that there is indeed a problem with the supplement that we have just raised. I will not repeat the rest of the legal history, of course, but I do have a few questions, Minister. Is it true that some underground miners who move abroad actually receive a higher pension there than they previously received in Belgium? If so, is this particularly applicable to miners who previously worked in the Kempian steel coal mines? Is the cause of this difference in European legislation and the Conti judgment?
