ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u1	Mr Laaouej is not present and therefore his question No. 26387.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u12	That's right, but that's also where SERV wants to go. He is in favour of such a contract in which cultural exchanges are central and yet there is limited employment, as can be done today, namely 20 hours. In other countries even more hours of employment are allowed, but we do not need to increase the number of hours. The point is that if we follow that slope, au pairs will be recorded and the au pair system can be controlled. We really need to see how we can solve the problem. Madam Secretary, you spoke of the Minister of Work. I have, of course, already asked the Minister of Work several questions about his field. He's also dealing with the problem. I hope that you will work with him to see what can still be done to deal with the abuses. We seem to have failed to do so during the present legislature. Hopefully it will be possible to include an approach to the problem in the new coalition agreement.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u13	Debates of the European Parliament Mrs Fonck's 26722 will be converted into a written question.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u14	I notice that this question dates back to 1 September of last year. I am a little surprised that the administration has still not answered that.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u15	Mr President, I tabled my questions on 15 May last year. The fact that there has not yet been an answer is one of the reasons why I am now putting them again orally. This makes me very bored because it concerns six pages of questions for figures. I would like to begin with that, but I wonder how the Minister will be able to answer it in such a way that we can still understand it.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u16	Mr President, Mrs De Coninck, despite a great deal of pressure, I have still not received the figures requested. Together with Minister Peeters, I requested the results from the RIZIV rather quickly, but we have still not received an answer. Memories were sent. On September 5, 2018, I turned directly to all VI's to repeat the question urgently and to provide me with the exact statistics. The VIs replied that many of the requested data are not kept. To my surprise, the VIs have failed to collect these figures. It's just a decision that was made on its own. Hence perhaps the lack of follow-up. I still think this is a very important matter. On 5 October, together with the Department of Benefits of the RIZIV, I convened a working group to map out the data that could be measured. The VIs were also instructed once again to carry out the necessary measurements and to systematically pass on the results. We have had the working party meet several times in the cabinet. In all this time, it has been very difficult to provide some of the information requested once. However, it is very partial information. Not all VI's reacted in the same way, in the sense that one VI would not give anything and provided the other partial information. We cannot, therefore, draw any conclusion or even draw any conclusion. Everything starts with the figures to be supplied from the sickness funds, but apparently they do not want to do anything about it. One is hiding behind ICT, the other indicates lack of staff, and so on. I think they cut off the branch on which they sit. If the VIs do not do what they have to do, as the government commands them, they will increasingly hear the echo that they are superfluous. That's my strict conclusion from all this saga. At first they said they would provide the figures, but still the data were not forwarded. I think they are referring to various factors that make no sense at all.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u17	Mr President, Minister, I am very disappointed. I'll tell you why in general. I have also asked Secretary of State Francken, for example, many questions about humanitarian visas and, in that context, asked for figures. Well, I never got an answer to those questions either. Afterwards, the visas turned out to be all sorts of things wrong. This is also about the follow-up of policy and royal decisions. What's the effect? This is a new policy on the integration of people on sick leave. It is very important that we know what we are doing in this area. Decisions are being taken. What is the effect in reality? That's the least we need. You have always argued for evidence-based decisions, even in your capacity as Minister of Health. It is also essential in this case that we know exactly what is going on. That is not purely to criticize, but simply to guide your policy more. It is therefore in everyone's interest, not only in your interests but also in our interests, in the interests of patients and insurance institutions, that we should be able to lay the puzzle so that we do not have to drive blind. In the meantime, I have noticed that the figures on disability are rising enormously. How's everything going with each other? In the meantime, I also notice that a lot of people are not integrated, but are being ranked out and their resignation without a cancellation fee. So the effect is indeed a discharge machine. That is absolutely not the intention and we are driving ourselves into the canal in that area. I am therefore very disappointed that Parliament, which has to do its audit work and has to act, will not be given the data to do so.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u18	Mrs. De Coninck, I'm as disappointed as you are. However, there has been manifest unwillingness to cooperate in this. That unwillingness was with some, not all of them. After all, there are those who can follow up on the dossier, while others are hiding behind delayed ICT investment and/or undermanned services. There is therefore a manifest reluctance on the part of some insurance institutions, which, because it does not allow proper follow-up to be done, also do not represent the interests of the patients, of the members of their sickness fund. I simply note that this is an argument to ask whether we still need these institutions to represent these interests. I do not want to throw the child away with the bath water, but I do not think that the way in which some act in this area is acceptable.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u19	I can only agree with that. I'm chairman now, but I'm just taking advantage of the opportunity. I recall that we all said in the discussion that this should be closely monitored and evaluated. The questions put by Mrs De Coninck are very relevant. I find it really sad that we cannot give this follow-up so that we can draw conclusions from a new policy.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u20	I hear a fallout to certain mutualities here. There are also questions as to the extent to which employers make efforts to adapt work...
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u21	(...)
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u22	Yeah, right. We should know that.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u23	I say that the negligent health insurance funds are not defending their members well. I will forward your questions to all the sickness funds, along with the answer I have given. I think they should know.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u24	Debates of the European Parliament Mrs Lalieux's 27043 was deleted.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u25	Madam Minister, once again I have a question about the support of carers. You're pulling that file hard, but it's not progressing. This question concerns an approach by the European Parliament, which drafts a directive to facilitate or support the combination of private and family life. It concerns the introduction of an individual right to five days of care leave per year, but paid, as in the case of illness. Depending on the case, it would therefore be a guaranteed wage or a sickness benefit, but probably a guaranteed wage, since it is only in five days' time. Madam Secretary, how do you feel about this proposal? Will you take part in defending this measure at European level? Can we also introduce it in Belgium? Since it is particularly difficult to get a breakthrough in that dossier, that proposal may be another one. We are still nowhere. This question was tabled a long time ago, but you know that a cross-party working group is currently trying to give substance to the implementation of the Courard Act. We are trying to do a little more to support carers across party boundaries with an agreement in principle and an amendment. I have the impression that it is even more than an impression that the dossier is once again stalled. I am therefore curious to hear your answer.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u26	Mrs Dedry, one in every eleven Belgian citizens provides some kind of care. It is often about caring for a sick or needy parent by a partner, son or family, but also the more unusual care situations deserve our attention. For example, we are now seeing more and more parents at an age who are in charge of caring for, for example, a son who has become disabled. Very old people have to take care of children who have become self-employed as a result of an accident or illness. I am also thinking of the neighbor who runs the groceries and keeps an eye out or the sisters who build a kangaroo house for their single mother to move in together. They all have the same thing in common: they are people who free up personal time to take care of someone else. Sometimes this is directly at the expense of the time or career of the person concerned. If the caregiver was not there for the patient, it would be more often dependent on more professional care, on more home care or other care or on residual care. Some people wouldn't be able to live in their homes anymore. These are facilities and forms of care that are expensive, not only for the patient, who has to pay for this, but also for the government, which meets some of the costs through solidarity. That is why I personally believe, like you, that it is necessary to give carers the place they deserve in the care landscape. Informal care is one of the most important but at the same time invisible forms of care that exist. On 19 October 2017, my plan Integrated Care for Chronic Diseases was approved by the Inter-Ministerial Conference, the Federal Government meeting with all regions and all competent ministers. This means that in carrying out the care that surrounds patients, the necessary processes must be developed. These processes must take into account the individual situation of the carers. You know that this has been quite a discussion between me and my colleague. You know that we cannot bring it to a successful conclusion now. There are also discussions at present on a parliamentary initiative. I certainly support the efforts to achieve a proper improvement in the care system. If you want information, I'll give it to you.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u27	Madam Minister, it is indeed very frustrating that in a working group which is party-crossing, everyone agrees on the principle and wants to bring it to a successful conclusion, but that in some way the egg cannot be laid, while this government, as well as at New Year receptions, and in the Summer Agreement and in many words always stands out for the support of the caretaker, but when it comes to it, it does not happen. In that respect, I am very disappointed.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u28	Mr Van Hees and Mr Hedebouw are not present. Debates of the European Parliament Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees; Mr Van Hees Mr
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u29	Madam Minister, the hearings have shown that there is a need for an electronic platform of the type Student@work where the artistic performances provided under the Small Compensation Scheme can be registered and consulted. In response to my written question number 2299 you indicated that the FPS Social Security in collaboration with Smalls makes a need analysis and cost assessment for such a platform. If a budget could be made available, this platform would be developed in the short term. Madam Secretary, that question dates back to October. Maybe there's news in the meantime. What's the status? What are the results of the need analysis? How high would the cost be? Can we make a budget available for that? When could this enter into force?
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u30	Mr Vercamer, the Artist@work platform is currently being developed by Smalls in collaboration with the FPS Social Security Office. This platform will consist of two shutters, an informative section and an application for applications for the artist's card, the artist's visa and the declaration of independence. Extension applications and subsequent applications for the addition of activities will also be made through that platform. Artists who have received a favourable response to their card request will then be able to enter their performance on the platform. The system is based on that of Student@work. First one looks at whether one has the right to do student work and then introduces the hours worked. That's how one gets to the 475 hours. If performance is to be introduced after that, it is indicated that there are too many hours. So the counter's running. Now we're going to make something like that for the artists. The platform will also provide an overview of the services provided and the fees already received so that the legally foreseen ceilings are not exceeded. You know that this is often about occasional work and that artists do not always have an accounting mentality. When the IRS comes up with a hit, they often don't know what they've done anymore. We're gonna help them with that now. They'll have to enter those performances there and then they'll be able to check that they don't exceed the ceiling. The budget for the development of these two shutters is estimated at EUR 575 000. There is also a need for EUR 50 000 for the maintenance of the platform. I have reserved a budget for the development of that platform and in 2018 we already paid € 136 000 to Smalls. The information hatch was promised to me before the end of February. There's always some delay, but I'll let you know if it's okay. The part concerning the application is launched in two phases. In a first phase, by March, the platform will be operational for the application of an artist card and for the completion of the performance review by the artist and by April it will also be operational for visa applications. In the second phase, May-June, applications for the declaration of independence and renewal may also be submitted. In a few weeks, the Artist@Work platform will be online and ready for use by the artists. I think that is a real step forward. The need arises from the fact that it is a form of casual work, in which different people engage in structures or organizations that are set up, for example, as a result of a cultural activity and then cease to exist, such as the Ghent Festivals. Those who, for example, don't know where to go after the Ghent Festivals will, I think, be helped by that platform. Those concerned will also find out in good time whether they have reached their ceiling, because exceedances often cause a lot of problems.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u31	Thank you, Madam Secretary. That is indeed very good news and it will certainly be a great help to the people in that sector, who are not always concerned with an accounting mentality.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u32	To Question No 1, by Mr De Vries (H- Mrs Dedry's 28135 will answer the Minister for Pensions Bacquelaine.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u33	Mr President, Minister, in the past I have asked you a lot of questions about disability in the self-employed. A resolution on this issue was adopted in December 2018. In the meantime, additional measures have also been introduced through legislative proposals on the redeployment of the career period in the self-employed. I would now like to ask you for updated figures and data. In the past, you have already answered my questions that the main causes of long-term incapacity for work in the self-employed were musculoskeletal diseases, followed by mental problems. In 2015, 21,48 % of the number of disabled self-employed persons faced psychological problems. This percentage was 19,59 % in 2011. First of all, what were the main causes of long-term fitness for work in the self-employed in 2016 and 2017? Secondly, how many long-term disabled self-employed persons were affected by mental illness and musculoskeletal disorders, in particular in 2016 and 2017? How do these figures relate to the total number of disabled people? Thirdly, how have the figures evolved over the last five years? Fourthly, is there still an upward trend on musculoskeletal disorders and mental problems? If so, how can this be explained? What explanations do you give? Fifthly, can it still be observed that the percentage increase in the number of people with disabilities suffering from mental or musculoskeletal illness goes faster than the evolution of the total number of people with disabilities? I realize that many of these questions relate to figures, so I do not expect you to go over them all. You can deliver them to me in writing.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u34	Mr President, Mrs Smaers, you have indeed asked for many figures. You know all this needs to be looked up. If you are asking for figures for the last four years, all this must be looked up separately. So they went back to 2013. There was also another codification of the sickness funds and the RIZIV. Until 2015, the ICD9 codification was used to classify the diseases. From 2016 it was the ICD10 codification, both for new entry and disability as well as for re-evaluation. And from 2017 onwards, the ICD10 codification will apply to new entries. Hence the difficulty of getting all the tables together. The disease groups are displayed for 2013 to 2016 under the ICD-9-codification and from 2017 under ICD-10-codification. You have to take that into account, because it is not possible to compare everything. The main cause of long-term incapacity for work in self-employed workers is musculoskeletal disorders and, secondly, the psychological nature. Here are the figures. In 2016, there were 22.07 % disabled self-employed persons with psychological problems. In 2017, that was 22.7 %. The tables also show the evolution of the number of self-employed persons, broken down by disease group, in recent years. This shows that the number of disabled self-employed persons increased by 15,57 % between 2013 and 2017. For the number of musculoskeletal disorders there is an increase from 17,52 % from 2013 to 2017. This growth rate is in line with the increase in the total number of disabled self-employed, in particular 15.5%. In the mental disorders we see a greater increase. From 2013 to 2017, this represents an increase of 29,14 % over five years. The conclusion is that there is a greater increase. Several factors may be at the root of the increase in the number of self-employed persons with mental impairment: links between stress, working conditions, lack of involvement in the job and long-term disability. A recent report on the Flemish workability monitor shows that in 2016 only 51% of self-employed entrepreneurs in the Flemish labour market experienced their job as workable work. They say that work stress and, above all, the search for a balance with private life is very problematic. The 2016 report on the Flemish workability monitor also shows that in 2016 36.2% of self-employed entrepreneurs find themselves in a problematic situation due to psychological fatigue. This is a significant increase of 3% compared to 2013. The 2013 Health Survey also shows a marked deterioration in the psycho-emotional state of the Belgian population aged 15 and over in the past five years. One in three indicates that his mental well-being is not optimal. The mental health problems are mainly in the segment of the previously low-skilled. The creation of a unique causal link between work-related factors and disability is a difficult issue. The causes of long-term absenteeism are usually multicausal. The personal home situation also plays a significant role. In particular, the exercise of a self-employed activity in conjunction with raising children and other private problems, such as divorces, places great pressure on entrepreneurs. A holistic approach is needed, but prevention is literally better than cure. A call for proposals was made at the end of May: 77 projects were submitted, of which 12 were selected, including a project dedicated exclusively to the self-employed. That project is supported by UNIZO, Liantis and Integral. We have earmarked some EUR 300 000 for this. That project was chosen because it is an integrated project, with the aim of testing the best practices in terms of sensitisation, maintenance of work and reintegration, but also to raise first-stage entrepreneurs' awareness of stress and burn-out, both for themselves, some say that a burn-out cannot happen to them, because they only work, but that is not true as it is to deal well with workers who give signals about psychological difficulties, which threaten them to fall out and put more pressure on the other workers. Indeed, in an SME, it is not always easy to replace one sick staff member. The mental resilience of entrepreneurs and any alarm lights they may have to notice to themselves or to their staff are therefore assessed. The second step is prevention. If the first signs occur, one must pull the emergency brake in good time and see what one can do. Guidance is also important here. The third step is the guidance itself to get out of the well: does it have to do with organizational or family circumstances? They are trying to restore their resilience through help and guidance as well as to lower the threshold, because self-employed people often think that there is no help for them and that they cannot be helped. Well, I've had a long conversation with the people of that project. They had long been planning to develop a holistic approach, but the fact that this project is now funded for a year means that they have worked even more on it. Somebody even sacrificed his vacation for that. That's not really burn-out friendly either, but anyway. The results of this project will provide the basis for future policy. That is why we have opted for this integrated project. We have also submitted an application for advice to the Management Committee of the RSVZ on reintegration and on the actions to be taken against mental illness in the self-employed. The working group on this subject is composed of representatives of the institutions of the sector. The advice is expected in the first semester of 2019, i.e. in the coming months. I'll give you all the numbers.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u35	Thank you, Minister, both for the figures and for your additions and conclusions. Of course, I would also like to thank you for the pilot projects launched to prevent burn-out in self-employed people. I find it extremely regrettable that the numbers are apparently still rising. This problem really deserves attention. A lot of people, especially if they are long-term disabled, are having a very difficult time, including financially. All due respect for what you are doing with these pilot projects and because there will be a roll-out plan to set up the prevention of burn-out in self-employed people. It is now, as you say, waiting for the results of the pilot projects and the advice. In the past, I have already called for a kind of health budget from the social security system for self-employed workers to support the self-employed during their career and possibly to create a new work organisation or business organisation, or to work on their well-being. In addition to prevention, the re-employment of self-employed persons following long-term incapacity for work is also a priority. There are now re-integration pathways for this. I know that you want to start doing this for the self-employed too, but you wanted to get the employees involved first, but I'm gonna keep knocking on the same nail. I hope that there will also be reintegration pathways for the self-employed. I know you're working on that, but there's still a lot of work to be done.
ParlaMint-BE_2019-03-20-54-commissie-ic1060x.u36	Madam Minister, the law of 6 September has gradually increased the length of adoption leave to the length of maternity leave. Of course, we are in favour of any improvement, and we have supported that legislative proposal, albeit as far as we are concerned, the steps should have been a little bigger and faster. But every improvement is one for the better. Article 223ter of the Royal Decree of 6 July 1996 provides for payment of 82% of the loss of earnings, i.e. the same allowance as for maternity leave during the first month, although the replacement ratio for maternity leave falls to 75% from the 31st day onwards. There will be no such reduction for adoption leave. Will the rules on maternity leave benefit be amended to cover 82% of the loss of earnings for the full 15 weeks? Or how do you see the further developments in this area?
