ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u1	Debates of the European Parliament Mrs Bellens' 27595 will be converted into a written question.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u12	Mr. Chairman, Minister, a framework agreement between Defence and Enabel has recently been signed. If such an agreement seems to me to be a very good initiative within the limits of a comprehensive approach, I would like to ask you, Mr Minister, the following questions: within what framework has this agreement been signed and what are the practical implications? Can you tell us the strength lines of this framework agreement?
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u13	Mr President, ladies and gentlemen, as you rightly mention in your question, the recently signed cooperation agreement between Enabel and Defence forms part of the Belgian strategy on the global approach, which aims at greater coherence and complementarity between the various instruments and means of Belgian foreign policy. The global approach requires breaking with a silo operation of the various instruments of our foreign policy. As a Belgian state development agency, Enabel is part of a global approach. In fact, as part of its new mandate, Enabel places more emphasis than before on the exploitation and mobilisation of Belgian public and private expertise in the context of its international cooperation interventions. It is in this context that Enabel has concluded a number of agreements with the Belgian public institutions, with the aim of valuing this expertise and know-how in our international cooperation activities. For example, this is the case in areas such as Justice, Customs, Water and Sanitation, and Health. The agreement between Enabel and Defence is part of the importance of the link between security and development, specifically in the Sahel countries. Indeed, several of our partner countries in this region are particularly unstable, and Defence is implementing cooperation activities there. While our activities have in the past been carried out in parallel, they are mutually reinforcing and complementary. Enabel is already working with Defence in the framework of the cooperation programme with Benin to secure access to the port of Cotonou by sea. Defence and Enabel are also collaborating in Maradi, Niger, where Defence supports a Nigerian battalion in rapid response and Enabel will support the construction of a health centre for the benefit of the population and the military. Further collaborations are envisaged in Burkina Faso and Tunisia.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u14	Question No 1, by Mr De Pasquale (H-l Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr Dallemagne (Commission); Mr
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u15	Mr President, Minister, the epidemic of the Ebola virus disease that has been raging since last August in two provinces (North Kivu and lturi) of the Democratic Republic of the Congo had resulted in 443 deaths at the end of January 2019, according to the latest count of the Congolese health authorities at the time. Furthermore, knowing that the areas of Beni and lturi are regularly targeted by attacks by local and foreign armed groups, Minister, what are the budget and actions undertaken by your department to support these populations in this context?
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u16	The Ebola crisis has flared up again in North Kivu since August last year. A lot of people have been infected and died. The virus continues to spread. In North Kivu, the security situation is also precarious and violence has already led 4.5 million people to flee. This creates a difficult context for vaccination campaigns and humanitarian aid. Several physical attacks against emergency workers have also been reported. Minister, what initiatives have you already taken and what are you planning to take to support Congo in the medium and long term in dealing with the Ebola crisis? Should the crisis be addressed bilaterally, at EU level or at UN level? What impact does the political context and security context have on humanitarian aid in the region? How can our country ensure that aid is not compromised?
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u17	Mr President, in the DRC, Belgium finances the Red Cross movement and the DRC Humanitarian Fund, which is managed by the Office for the Coordination of Humanitarian Affairs (OCHA). These partners and instruments autonomously decide, on the basis of objective humanitarian criteria, the extent to which they support or implement interventions to respond to the Ebola epidemic. Belgium's financial contribution to the Ebola crisis is as follows. First, Belgium allocates an annual contribution of €600,000 to the Disaster Relief Emergency Fund (DREF) of the International Federation of the Red Cross. The Fund has allocated 35,000 Swiss francs from the Belgian contribution to the South Sudanese Red Cross in preparation for a possible Ebola outbreak. Secondly, the same Disaster Relief Emergency Fund has also funded two Ebola preparedness actions in Burundi and Rwanda with the Belgian contribution. An amount of 26,000 Swiss francs had been allocated to the Burundi Red Cross, and 28,000 Swiss francs had been allocated to the Rwandan Red Cross. Thirdly, Belgium supports the thematic global humanitarian funds as well as the DRC Humanitarian Fund. In addition, it contributes to the general resources of its partner organizations. Through these funds, Belgian contributions are used in a fast, efficient, flexible and results-oriented manner to meet the most urgent needs. Some of these flexible funds fund projects in response to the Ebola crisis. For example, it is the Central Emergency Response Fund, which is managed by OCHA and to which Belgium contributed EUR 12.5 million in 2018. The government of the Democratic Republic of Congo is experienced in dealing with an Ebola outbreak and therefore knows what is needed to contain an outbreak. The response to the crisis can, and must, therefore come from the Congolese authorities themselves. Why is the crisis, the biggest and most deadly Ebola outbreak in the country's history, still not under control? As you yourself say, there is a great challenge in the unsafe context and widespread distrust in Eastern Congo. An effective response to the outbreak is highly subject to these factors. Some areas are very difficult to reach due to the presence of armed groups. The local population is also suspicious of the intentions of the aid workers. However, awareness-raising programmes are beginning to bear fruit in this respect. An additional risk is the potential regional dimension of a further outbreak. Neighboring countries such as South Sudan, Uganda, Rwanda, Burundi and Tanzania fear that the virus may sneak into their country.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u18	Mr President, I would like to thank the Minister for his reply, and since that was his last reply, I would also like to thank him for all the answers he has given in the past legislature.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u19	I assume, Minister, that all the other members of the committee are in favour of these words of thanks.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u20	I thank each of you for the many questions. The Members who are present today were mostly present to ask their question, and that cannot be said of everyone. Thank you for the many very interesting discussions we have had in recent years.
ParlaMint-BE_2019-03-20-54-commissie-ic1063x.u21	Thank you, Minister. We will also pass on your wishes to the absent colleagues.
