ParlaMint-BE_2019-12-17-55-commissie-ic076x.u1	Good morning, everyone. Sorry I'm late. First of all, Mrs Van Hoof has the floor.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u12	Mr Rigot, as regards the reimbursement of chemotherapy for patients with oesophagus cancer, you do not mention any products or names of medicines. Therefore, my response is based on a few common medications used in the chemotherapy regimen for oesophagus cancer. In alphabetical order, for example, cisplatin, epirubicin, 5-fluorouracil, and paclitaxel. These drugs are unconditionally refundable. In other words, to answer your question, precipitated chemotherapy is reimbursed for all patients, not only those at stage 4, but also patients at another stage. Treatment is not expected until the patient reaches stage 4 and treatment is started as soon as possible.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u13	It's perfect, thank you for your clear answer that relieves me.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u14	Madam Minister, we have discussed Avastin before, but unfortunately I have to come back to it again. In a hearing on 21 October, we heard from the RIZIV that the draft royal decree for the refund of Avastin was written at the RIZIV in mid-2015. At the meeting on 9 October, you stated that the royal decree was written on your cabinet. I quote you literally: "The texts for the design of the royal decree came not from the FAGG and the RIZIV, but from us. They were talking about the texts of the RIZIV, but those were our texts." Madam Secretary, there are many uncertainties in that file for me. We would like to be clear about the way things have gone? Why is your version different from that of Mr De Cock?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u15	Mrs Jiroflée, you are once again asking a question on the subject. I'm sure it's about the heart of the matter. There is no difference whatsoever between what Mr De Cock and myself have said. As always, the KB was prepared in consultation with the RIZIV or with the Public Health Office. We do not each set our own course by writing a royal decision separately. The formatting is done in consultation. Mr De Cock is present almost as often in my cabinet as I am, you will not get a pin in that. I do not see how your question has to do with what it is about, the use of off-label. The use of off-label is not without risk to the patient. For me, that is the main reason for acting on the file. Cases of serious complications have been reported following injection of that product into the eye. The product must indeed be injected into the eye. The responsibility is always with the doctor who prescribes and administers that medicine, but in the event of complications the consequences are for the patient. We must be attentive to that. The Royal Decree was prepared together with the RIZIV and then submitted to the FAGG. The FAGG expressed two alarming comments in a response. Firstly, on the scientific package leaflet, the manufacturer mentions side effects of using Avastin for eye disorders, which are still on it. During repacking, there is a second risk of contamination of the product, resulting in a disturbed effect of the medicine. There was therefore no absolute certainty that the medicine Avastin was as safe against age blindness as Lucentis treatment. I submitted the FAGG's detailed report to the committee on this matter. In view of those comments and the need for absolute patient safety, a negotiation was initiated to obtain a lower price for Lucentis. The general principles have been followed. This means that the government wants a correct price for the medicines, a price that takes into account possible alternatives. For a medicinal product for which there is another treatment, the government pays a similar price, if its effect is similar. This is what the government applies to Article 81 contracts. I hope to give you some clarity on this. You can also put the question to Mr De Cock.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u16	I certainly will, Madam Secretary. I do not want to put any hair between you and Mr De Cock. That's not what we're here to do. It's our job to do the patient. Let's get that straight. The reason I come back to this is the quote I just gave you. You said very clearly that the texts did not come from the RIZIV and the FAGG. I thought I should come back to that aspect. You will understand that we continue to be amazed and do not let go of the matter immediately. We continue to be surprised that, after the negotiations, the price would have fallen to the extent that we see now. We continue to believe that something is not quite right or that we do not know all the elements. We'll keep following the file. Thank you, at least, for your answer.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u17	Minister, as you know, since January 1, 2019, a new regulation has come into force and introduced a lump-sum hospital treatment based on the "low variability" criterion. The aim of this reform is, as is well known, to avoid the inappropriate use of the means available. However, a little less than a year ago, in this respect, the professional associations of paediatricians had raised some concerns about the impact of this operation for paediatric care in newborn care and for semi-intensive neonatal care after delivery in hospitals. In fact, three points of attention were addressed in the demands made at the time by paediatricians: the timing of childbirth and the sometimes necessary presence of a paediatrician, post-natal maternity care and semi-intensive neonatal care, logically less expensive than intensive care. So, specifically with regard to newborn care, could you tell us whether an initial evaluation has been carried out by your services and the services of INAMI at this level? How many births have been registered since January 1, 2019? Of these, how many have experienced follow-ups requiring a distinction of billing, thus moving from lump-sum to individual bills, for care related to complications in the newborn? Are these situations mainly related to premature births? Finally, have you seen more newborns entering intensive neonatal care since January 1, 2019, compared to previous years? Has this situation, given the availability of these centres, increased the number of newborns moving from the original hospital centre - from maternity to another centre?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u18	Taquin, the introduction of the new funding for low variability care took place on January 1, 2019. This caused a lot of agitation, especially among paediatricians, but also among other doctors. Paediatric examination of the newborn immediately after delivery is charged in the same way as before, therefore by delivery, and it is not part of the care with low variability. It should not be forgotten that administrations are also actively working to ensure a separate bill for the mother and the newborn. The separate billing will come into effect on January 1, 2021. To this end, work is under way on the following aspects. First of all, it is necessary to be able to communicate the national registry number of the newborn to the hospitals very quickly. A new website has been developed for this purpose and this service uses the e-Health platform. Second, the newborn must immediately be affiliated with a mutuality. Arrangements have been made for this and appropriate ICT tools are being finalized. In a later phase, these tools will have to be integrated by hospitals into billing procedures. Finally, clinical experts will consider whether the conditions for low variability care are met for newborns. For a real audit of the consequences of this new funding, it is still too early. Therefore, I am not in a position to answer your specific questions; the analysis you are asking must be done on the basis of the registration of the minimum hospital summary (MHR) on the one hand, and on the basis of billing on the other. For these two elements, hospitals need a little time and the RHM registration for the first half of 2019 is not yet available. We'll have it by the end of the year. Once all hospitals have entered this data, the analysis may take place. Therefore, we will conduct this analysis, but we do not yet have all the necessary data. Similarly, billing is still incomplete. The first observations concerning the year 2019 can only be made in a few months.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u19	Thank you, Madam Minister. I note, however, that there is work being done in the follow-up to decisions taken. The measures will be activated on 1 January 2021. I am satisfied with this and will be attentive to the work currently under way, which will continue with a view to taking into account the newborn child who, according to the paediatricians, was discriminated against because he was not recognized as an individual in his own right, as is the mother. I have heard the efforts made and the follow-up carried out. Thank you for that. I understand that we have to wait for the hospital summary and the billing. This is a little premature at the moment, indeed, for the analyses. I'll come back to you on this. Thanks in advance.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u20	Minister, we know that the Federal Agency for Drugs and Health Products is increasingly strengthening its role, particularly in the light of the increase in drug unavailability and the national procedures for innovative drugs. The AFMPS plays an essential role in the protection of public health by, inter alia, ensuring compliance with the rules on the design, quality, safety and efficacy of medicinal products and raw materials intended for their production. Control actions against infringements and non-compliance are certainly essential, alongside its scientific, administrative and information activities. In addition, since 2014, the Agency has been managing mandatory notifications of unavailability by pharmaceutical companies. Therefore, can you indicate how the AFMPS teams have evolved over the past five years? Since 2014, has AFMPS staff been increased? How many people have been hired in the last five years? On the basis of what criteria is the Agency's staff framework determined? How many checks are carried out each year by the AFMPS? Which service manages the information mission related to unavailability notifications (information, recommendations, market release, accessibility of alternatives, etc.).( )? Are decisions on the overall framework of Agency staff being developed and specific engagement procedures considering certain issues, such as unavailability, decided or envisaged?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u21	Ms.Taquin, since 2014, 144 officers have been recruited from AFMPS. As of January 2014, the Agency had 417 staff members. Today, the Agency consists of 472 staff members. The staff framework is based on a needs analysis based on the volume estimates of approved files and projects. The AFMPS carries out various inspections in the legal drug system, namely inspections of manufacturers, distributors and pharmacies, hospital pharmacies and publicly available pharmacies, inspections in the field of clinical trials and pharmacovigilance, as well as inspections in blood establishments and human body equipment banks. The total figures for the last five years are 1037 in 2018, 926 in 2017, 998 in 2016, 1260 in 2015 and 993 in 2014. I have a painting here. I'll hand it over to the president. The Good Use service, part of DG POST authorization, provides for the encoding in the AFMPS database of notifications made by marketing authorisation holders concerning unavailability, market returns, extensions, availability, and start and end of marketing. The same service is responsible for the analysis of criticism and unavailability with the help of the decision tree, the verification of the availability of alternatives and the possibilities to compensate for the unavailability and the organisation of task forces if necessary and the dissemination of recommendations. All in close cooperation with the inspection services responsible for checks and the granting of exemptions for the importation of foreign consignments by firms. The Good Use Service is also responsible for coordinating the working group on unavailability, monitoring of the task force on availability of authorised medicines and on the SPOC pilot of the European Medicines Agency (EMA), as well as the "pharma-statut" project, the new online platform for the exchange of information on unavailability with patients but also with doctors and pharmacists. For all of these activities, a full-time A1 equivalent was engaged at the end of 2018 at the Good Use service. In fact, many people in the service are involved in these matters because a full-time equivalent is not sufficient to carry out all of these tasks. In the 2019 personal plan, the commitment of a second A1 was provided to the Good Use service to deal with the significant increase in the number of unavailabilitys notified to the AFMPS and to expand all related activities, such as the use of the decision tree to assess marketing stops, the unavailability of veterinary medicinal products or the monitoring of the availability of raw materials. The 2020 personnel plan is still under development. It should be noted that AFMPS is an administration like any other. During this legislature, it was very strict for all our administrations. It was hard for the people who were working there and we didn't have the opportunity to replace the people who were leaving. There have also been significant staff restrictions. We have therefore reduced the number of staff. No one's been replaced. The number of staff remained generally the same as in 2014. When you have more work, you obviously need more staff. The framework was strengthened, but it was not easy.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u22	Minister, thank you for your answer and for the clarifications. At the level of the budget of the AFMPS, could you please explain to me the origin of its financing and precisely, what part of this budget is taken over by the pharmaceutical sector and how it has evolved in recent years?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u23	That is a supplementary question. I'll send you the answer. This is a very specific staffing. This is decided in the Council of Ministers. I can search for the information.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u24	Could you just tell me if the trend has been evolutionary or not?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u25	As I said to you, staff have been strengthened, so obviously the cost of staff is important in the overall budget. I'll give you the numbers.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u26	I understand that one of your combined questions came back here from another committee. Actually, it's one question?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u27	Mr President, that is correct. Madam Minister, in the 2018 Book on Social Security of the Court of Auditors, I read that the Medical Evaluation and Control Service has established that 15 hospitals for an amount of 14.8 million euros have been unfairly billed for non-approved NMR devices. I have the following questions for you. How many NMR recordings were made illegally? Has this amount been fully recovered by the government? Was the brake money, if there was, returned to the patients as well?
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u28	Ms Gijbels, the Medical Evaluation and Control Service of the RIZIV, after examination, selected a total of 96,683 MRI treatments carried out with 18 non-approved devices in 15 hospitals. Completed EUR 7.8 million was voluntarily reimbursed for 15 MRI devices in 12 hospitals. Additional 3 administrative procedures are launched for 3 MRI devices in 3 hospitals, amounting to 1.9 million euros. The Medical Evaluation and Control Service is only competent for the financial damage suffered in respect of the part paid by the sickness insurance scheme, according to Article 142 (1) second paragraph of the GVU Act. In this specific case, the patient himself suffered no financial damage from the health care provider's charge. The MRI was effectively performed and the patient paid the brake fee for the care he received. The costs were only wrongly invoiced to the RIZIV. Therefore, that amount had to be repaid.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u29	Thank you, Madam Secretary. It is certainly a good thing that the MRIs begin to take over the indications of the CT scan where possible, because MRIs do not cause radiation stress. M.R.I.s are expensive devices, so the temptation may be to make them fully render. It is therefore a good thing that this is monitored. We just need to be careful. The MRI distributions may not have been wrongly carried out in patients, but we must be careful that they are only carried out for the right indications. In this respect, directives and proper supervision are very important.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u30	That's not possible anymore. The incentive's dropping. After all, we know where the black MRIs are. So it's impossible. They have a kind of 'chassis number', a number on which the date of the examination and the patient's data must be provided in order to submit it to the RIZIV. The RIZIV sees, for example, directly if a performance of an NMR for scientific research is used curatively. That is why we have done so, namely to remove the black NMRs. There can be no programming if the NMRs rise everywhere like mushrooms. That's how it happened. Once again, even before the fall of the government, an agreement has been reached through the Inter-Ministerial Conference to install 18 additional NMR devices in our country. They are now designated by the Länder. So that change is in progress. However, too many CT scans are still being requested. There is also a lot of double use. In the past, an NMR device, which is indeed a very expensive device, could easily be installed. The idea lived that there were a few black planes, but it was four times as many black planes in our country. They were all involved and the RIZIV could not distinguish between a device with and a device without permission. Now we can see that and our services can act. As a result, there is also no incentive to use the black devices for real investigations, because they will never be refunded.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u31	Mr President, Minister, for the record, I fully agree that the issue needs to be properly monitored and that there must be a restriction. My question, however, was, in particular, whether or not it had been recovered. I understand that recovery has already largely taken place. We need to focus more on MRIs if we want to stay away from the head of the platoon on medical radiation stress. This is where we still take the lead in Europe.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u32	Minister, the press reported on a survey conducted by Sciensano that as many as 87% of Belgians would be in favour of using the non-invasive prenatal test to detect more genetic diseases in the fetus. The survey also found that 70 per cent of respondents were interested in knowing before birth to what extent their child would be at risk of hereditary diseases. Sciensano announces the submission of the findings of this survey to your firm for March 2020. The investigation actually runs from October 15th to February 7th. Since the investigation has already been relayed in the press, you have already had the opportunity to be questioned about it and you would have claimed that the use of genetic data could also have the effect of significantly improving the quality and adequacy of the care given. Therefore, minister, can you let me know if you are waiting for Sciensano's final and complete conclusions before any proactive steps are taken in this debate and in particular in the DNA debate? Have the competent departments of the various medical faculties of the country's universities been notified of the initial results of the survey? Will they be associated with a more comprehensive reflection on the use of the non-invasive prenatal test? Does the Bioethics Advisory Board also intend to give an opinion on this issue? Thank you, Minister.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u33	Ms. Rohonyi, a sensitive theme such as the use of genomic information in health care requires a survey of the opinions and values of the population before any proactive approach is taken. That's why I first asked Sciensano, in early 2018, to organise a citizen's forum on the ethical, legal and societal issues of this topic. The online DNA debate is the responsibility of the citizen lab "my DNA" led by the King Baudouin Foundation in cooperation with the Sciensano Institute. Indeed, we want to develop a deliberative policy that considers citizens, patients and other stakeholders as partners in order to maintain their trust. As regards the involvement of the academic services and specialist doctors concerned in a reflection on the use of the non-invasive prenatal test, the Higher Council for Health has already expressed itself in Opinion No 8912 on the implementation of the non-invasive prenatal genetic screening of trisomy 21 in the practice of health care in Belgium. In addition, the same Council produced Opinion No. 9240, "Generalized genetic testing in the context of reproduction. Towards responsible implementation in the health care system", in collaboration with university genetics centres. As I have already said, I strongly defend the involvement of citizens in discussions on such important societal issues. From the moment it becomes clear that there is a relevant demand within our company for such tests to be available, I will naturally take this into account. However, I do not wish to consider this request in such a short time, which leaves no room for citizen reflection, because the ethical consequences of such a decision are very serious. The Bioethics Advisory Committee also expressed its views on the issue of the NIPT test in its Opinion No. 66. This was not the first time that the Committee had issued opinions on the use of genetic diagnosis, for example Opinion No 32 on the free disposition of genetic testing. As for the refund, the NIPT test in Belgium has been refunded since July 2017, with a user ticket of €8.6. Currently, there is no reimbursement for generalized genetic testing in a reproductive setting. A reimbursement scheme for this test would fall within the competence of a body such as the Medical Technical Council within INAMI. The NIPT is reimbursed everywhere, in all hospitals and laboratories. But for the time being, wider screenings are only being carried out in reference centres, because counselling is needed. I am told that it is not always easy to interpret such tests. These are difficult discussions. It is also difficult to inform future parents of anything that can be found in their baby's DNA.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u34	Madam Minister, thank you for your very comprehensive answer. You have indeed answered each of my questions. I hear the difficulty of deciding on an ethical subject like this. It must be recognized that this test has advantages that do not exist in other tests. I am thinking of amniocentesis, false positives, the risk of miscarriage, etc. This test also has the advantage of being able to be performed during the first weeks of pregnancy. But it is true that it is sometimes difficult to interpret the results. In my view, we can only congratulate you on your approach, as you have ensured that Sciensano, as well as other bodies, can verify that support is actually provided by citizens, but also by experts, in order to promote or expand this test. Thank you for the approach that has been taken.
ParlaMint-BE_2019-12-17-55-commissie-ic076x.u35	Mr President, Madam Minister, the Royal Academy of Medicine has given an opinion at the request of the former Flemish Minister of Health, according to which pharmacists may be asked to increase the rate of vaccination in a high-risk population, mainly aimed at vaccination against influenza. This recommendation of both the French- and Dutch-speaking wings of the Academy is based on international experience, with pharmacists allowed to practice influenza vaccination in France, Ireland, the United Kingdom, Portugal, the United States and Canada. According to several scientific reports, this practice is positive. This is why the Belgian Pharmaceutical Association recommended in its latest memorandum the study of the positive contribution that vaccination in pharmacies (by the official pharmacist or another person) could make to vaccination against influenza and other vaccine-preventable infections. The Union Générale des Infirmaires de Belgique (UGIB) points out that the administration of a vaccine by a nurse constitutes a technical service of the nursing art subject to a medical prescription (...), which has sufficient training and knowledge, in particular concerning the management of side effects and the administration of first aid in the event of anaphylactic shock. The UGIB is therefore concerned that the authorization of the practice of vaccination by pharmacists does not confer all guarantees in terms of quality of care, the safety of patients, apart from the fact that the doctor must prescribe the vaccine. Therefore, minister, what follow-up do you intend to give to the Academy's opinion? Have pharmacists been consulted for this opinion? If this opinion is followed, will pharmacists be able to refuse to vaccinate if their clients request it? Will they be trained for this purpose? How long should they monitor the patient after the vaccine is injected? What answer do you give to nurses who fear that their actions will be increasingly distributed to pharmacists? How much would a pharmacist pay for a vaccination? Could nurses be included in this process? Would it not be useful to revalue this benefit for nurses?
