ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u1	Debates of the European Parliament Mr Thiéry's 26069 will be dealt with in the Committee on Health.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u12	Questions Nos 27981 by Mr Daniel Senesael and 27999 by Mrs Karin Temmerman are transformed into written questions.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u13	Minister, I will not be long since we take stock every time you come to committee. We know that a draft bill has been sent to the Council of State. The latter delivered an opinion on the draft legislation in early November. In addition, the Council of Ministers has asked you to make proposals to strengthen the first text. As you stated at the December 18th Committee on the Economy, the Nuclear Supplies Commission (NPC) delivered an opinion in mid-December on the second bill you drafted. My questions are about timing because we know that it is absolutely necessary to pass something under this legislature in relation to the guarantee of these nuclear supplies. Minister, will you pass the first text to the Council of Ministers for second reading so that the House can examine and amend it? I think that if we already have the opinion of the Council of State, we can make progress if the government or Parliament adds amendments to the committee. We can work in dialogue and partnership on these bills. With respect to the second bill, the last time you were questioned, the lawyers were still in full drafting. Can you now provide us with the detailed content of the NPC's opinion? Can you also detail the timing, minister, because there are only eight weeks left and eight plenary sittings before the end of the legislature?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u14	Madam Minister, Mr Lalieux has outlined the history and highlighted the importance of rapid cooperation on this issue. You just said you'd like to get the green light for the funds for MYRRHA. However, the issue of nuclear facilities is even more urgent. We must achieve not only a budgetary but, above all, a legislative breakthrough there. I would therefore like to take this opportunity to examine the exact state of affairs with you. How do you see this cooperation with Parliament? Do you really want to work on that? I would also like to look at the negotiations that have taken place with the operators on this subject. What arrangements have been made, if any? Madam Minister, I particularly hope that you will correctly assess the seriousness of the situation. Perhaps a temporary working group within this committee can decide on this. We have been able to make use of the Commission's proposal on nuclear facilities. We have submitted it to the Chamber with a number of adjustments that we believe we should make. If we can work together in this area, we are happy to do so. However, it is something that we absolutely must do before the dissolution of Parliament.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u15	Mr President, ladies and gentlemen, Mrs Lalieux is well aware of the retroacts, Mr Calvo perhaps a little less. I will therefore remind them of the context and, in this way, answer your questions. First of all, as you said, I have tabled the bill drawn up by the Committee on Nuclear Supplies, which I had mandated for that purpose and which had appointed a law firm - the Stibbe cabinet - to carry out this project, in the form of a preliminary draft at the Council of Ministers on 26 July 2018. On that occasion, the Committee took several important decisions. The first was the need to approve this preliminary draft, so that no one could ignore its content. The second was to submit it to the Council of State for its opinion and then to resubmit it to the Council of Ministers; to entrust me with the task of presenting in IKW the outcome of ENGIE's proposals; to provide a guarantee mechanism to ensure that the latter will cover nuclear provisions in the event of an operator's default; to present - between the first and second readings of this preliminary draft - an amendment which would strengthen it. In short, my mandate was to consolidate the PNC bill. In this context, through a public procurement which appointed lawyer Xavier Dieu, who is also a professor at the ULB, I have examined three points at the request of the Council of Ministers. I take up the specifications which had been drawn up: 1. The legal and financial measures that the Belgian State can take to make ENGIE's parent company more responsible for nuclear supplies - not the operator alone. 2. How to strengthen control over the use, perimeter, guarantees and recovery of loaned assets and assets - the famous 75%. 3. An international comparison of the modes of provisioning - for example, with Switzerland, Spain, Finland or the United Kingdom - both as internal and external funds, their governance and control. In addition, this comparison could be used to strengthen the preliminary draft. The same Council of Ministers agreed to the appointment of an external cabinet to assist me, I have just spoken about it. The aim was to examine the legal possibilities to extend the base of guarantees to the whole ENGIE group and to enable the Belgian State to deal, by all means of law, with any actions which the ENGIE group would take in the event of its action to organise itself in order to escape the legal obligations imposed on its subsidiary, in the framework of the Act of 11 April 2003. The opinion of the Council of State was requested for the preliminary draft CPN on 27 July 2018, with a period of 30 days extended automatically until 12 September. Finally, you will recall that the Council of State took a little longer to send us its opinion, which we received on 8 November in its provisional version and on 20 November in its final version. Overall, the opinion contains a small number of formal comments and additional clarifications, which is not resounding. In accordance with the decision of the Council of Ministers, the external cabinet has been designated, which has identified several legislative amendments that will strengthen, as requested, the draft CPN legislation and which have been incorporated into a new alternative text. The CPN, to whom I asked, delivered an opinion on this alternative text on November 21, 2018. In general, she pointed out that the work that had led to the preparation of the February draft law - that is, their own draft - was essentially taken up and strengthened in the text. Of course, the full letter will come to you, what you ask. Then you know very well what happened at the government level, but we continued our work and a meeting in IKW took place last week to review both texts. A future Kern will look at the way forward on this issue. My cabinet is in the process of finalizing the note on this subject, the aim of which is of course to arrive at Parliament with a bill because it is the engine that we must use for this text to come to Parliament. I suggest that there be a bill called CPN with amendments from the second text, so that this problem can be dealt with as quickly as possible. Colleagues, this is my proposal in Kern. I haven't discussed it yet at the Kern level. Therefore, I cannot prejudge that it will necessarily go in that direction. But that's what I imagined to be the most effective and quickest way to make progress on this issue. As I have already indicated in early July and September, especially to you, Mrs. Lalieux, the operator had the opportunity to talk with the CPN and myself on the subject, regardless of the text. I would also like to invite you to review our exchange and my response to point 10.05 of this committee's report of 4 July 2018. In particular, I stressed that the basic principle was that future generations did not have to pay the least one hundred euros for the costs of dismantling and downstream of the fuel cycle, but that this cost should be borne in full by the operator, in accordance with the polluter-pays principle. The exchanges with ENGIE did not lead to any convincing result calling for changes to the text - neither of them - except to strengthen it even further. It's finally what happened. You know that because I've already said it several times. As far as I am concerned, in this question which I consider to be a regal question, there is no question of pushing anything or going in a different direction from strengthening, both in substance - in the means and tools of prudential control granted to the CPN - and in form - in legal certainty - in order to anticipate any recourse and to ensure that the basis on which we could rely in terms of responding is the broadest possible basis with the ENGIE guarantee.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u16	Madam Minister, thank you for your answer. I support you. I'm not a member of the Kern - not yet. In any case, the CD&V and the Open Vld are your only partners in the Kern. I support your proposal to introduce the bill and the amendments, so that we can have a real discussion here in committee quickly, so that we can move forward on these nuclear supplies. We should not end this Parliament without clear lines and beacons, so that future generations do not have to pay for the dismantling of power plants. ENGIE must also be given a clear signal. I hope that this will be on the agenda of the next Kern, and that it will be tabled very quickly in Parliament.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u17	Madam Minister, my reply is in line with Mr Lalieux's and I would like to comment on your proposal for a working method. If this method were to be accepted in the nuclear cabinet, it would be interesting if the text were already delivered to us through the secretariat. After all, the committee's agenda is fairly full. On the shelf are also the capacity mechanism and matters relating to the economy and the self-employed. Maybe it's a piste to deliver it as soon as possible and to call together a technical working group. In this way we can do as much as possible in anticipation of the actual discussion in committee. We do indeed need countries on this issue. Our group has a number of ideas in this area and would like to share them with the other groups and discuss them.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u18	Minister, the capacity of the new interconnection between Great Britain and Belgium, Nemo Link, will be available from January 30, 2019 through the Day-Ahead Energy Auction. The first quantity of energy can therefore be delivered on 31 January. I guess it's done because my question is earlier than that date. This good news comes in the somewhat special context of Brexit. Indeed, the likelihood of an exit of the United Kingdom from the European Union without agreement is becoming increasingly high. Can you therefore explain to this committee what would be the consequences for electricity exchanges via this interconnection if our British friends were to go to English? In addition, another interconnection project with Great Britain, Nautilus, is currently under consideration. Would a hard Brexit ring the bell?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u19	"Will it ring the bell?" As Hemingway said.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u20	Madam Minister, the new cable between Belgium and Great Britain will be put into operation this quarter and will allow for an interconnection of 1000 megawatts of extra exports or imports. However, on 29 March 2019, the United Kingdom will in principle leave the European Union. It does indeed seem that it could become a hard Brexit. Then there are a number of risks around the corner, including for the energy market. This was also made clear recently by the CREG when discussing the 2019 budget. Indeed, if UK energy production is no longer part of the integrated market, prices in the United Kingdom could increase significantly, which could reduce the profitability of the interconnection. Madam Secretary, is there an impact of the Brexit on the prices of energy flowing through the Nemo Link Connection? Are there any additional charges for applications that could be imposed by the World Trade Organisation in the event of a hard Brexit? What is the impact on the profitability of the cable? What will be the impact on the Belgian energy market if the United Kingdom leaves the European Union at the end of March? What impact will the exit have specifically on the new Nemo Link interconnection? What is the cost of the different possible scenarios? At the inauguration of the interconnection, Elia's top man, Chris Peeters, said that a second connection with the British is already on the drawing board. How concrete are the plans? What steps are still to be taken in this regard?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u21	Dear colleague, Nemo Link is the first interconnector connecting our country directly to the UK. Since the end of January, this infrastructure allows us to achieve a physical exchange of energy with it. On the basis of price signals, it is determined hour by hour whether the electricity will be exported or imported. This is a complement to the Day-Ahead market connection, already existing between the continent and the United Kingdom, which used to take place through the United Kingdom-France-United Kingdom-Netherlands interconnectors. This offers added value to limit the price of energy and increase security of supply in both countries. (Nemo Link) In the absence of a final agreement on Brexit, the impact on this interconnection is difficult to estimate. However, I can reassure you that even in the case of a hard Brexit, the exchange of electricity between Belgium and the United Kingdom is still possible. In April 2018, the European Commission published a stakeholder note, in which it commented on the impact of Brexit on the internal energy market and in which stakeholders were encouraged to take the necessary preparedness measures. In general, I can tell you that the planned integration of Nemo Link will, in the worst case, be replaced, in the implicit connection of the European market, by an explicit allocation of interconnection capacities. Elia, with the support of DG Energy and CREG, and in close consultation with the UK counterparts, is currently preparing the necessary measures and methods to allow this passage: among others, IT tools, market rules, etc. In this context, a public consultation has already taken place last November. Therefore, in the worst case scenario, we are preparing to ensure the benefits that this infrastructure could offer to countries. In other words, if I have to go further in the description of these measures - and if you are interested - I will have to ask myself again, because I will first have to inform myself of the progress of the work carried out by Elia, DG Energy, CREG and know what is the situation of the British counterparts. That said, a priori, there is no difficulty in ensuring that this physical exchange of electricity continues, even in the case of hard Brexit. Subsequently, the Nautilus project was taken over by Elia - as an indication - in the federal development plan, which is at the final stage of its adoption. When the next quadrennial plan is drawn up, this project will be further examined in detail, since the consequences of Brexit will then be clearer. Like other investment programmes, this will be evaluated for a final investment decision.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u22	Minister, I take note of your decisions regarding the possibility of a hard Brexit. I hear this shouldn't change. However, have price guarantees been given for deliveries? Indeed, if the price increases, the profitability of the process will be called into question. You did not answer that question.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u23	That is why I have indicated to you that, if you would like further details, I would be happy to come back to you in a later committee.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u24	All right!
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u25	Madam Minister, the dossier must indeed be followed very closely. This interconnection is important. As security of supply is sometimes called into question here, it is very good that we can count on the additional interconnection. With regard to the price, I will certainly put forward another follow-up question, as you yourself said.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u26	Madam Minister, when we read the newspaper Le Soir on Friday 18 January, we learned that operator ENGIE Electrabel had sent you a letter on 11 January announcing that he was afraid to do without at least three reactors for the next winter: Doel 1, Doel 2, Tihange 1. Experience has taught us that unavailability is often accompanied by unforeseen failures. However, as history repeats itself to the end, you have again taken the decision not to provide a strategic reserve for the winter 2019-2020. Is the letter sent by Electrabel such as to make you reconsider your decision not to enter into a strategic reserve for next winter? If a strategic reserve is established, what capacity could you rely on? Outside the strategic reserve, will you take steps to anticipate this likely shortage?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u27	Madam Minister, on 15 January, you decided not to set a strategic reserve for the period from 1 November 2019 to 31 March 2020. A few days after that decision it was announced that Objective 1, Objective 2 and Tihange 1 will be shut down in the second half of this year as part of the extension of life. I have a number of questions on this, Madam Secretary. When were you informed of the unavailability of those three nuclear reactors? Has the operator also communicated the exact period when the three nuclear reactors will be shut down? If so, what is that period? You would not have taken note of the operator's announcement until after your decision not to create a strategic reserve. Is that right? Before the decision, have there been any contacts with the operator on the availability of the nuclear park? If so, why was the unavailability not communicated at that time? The required volume of the strategic reserve can be revised until 1 September. Have you asked the network operator for a new analysis? If so, what are the conclusions on the need to establish a strategic reserve or not? In your view, will a revision of the strategic reserve be necessary? Why is that? Why is that?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u28	Mr President, I will not repeat what my colleagues have said. There is therefore uncertainty about the availability of 2000 MW of nuclear capacity for the winter period 2019-2020. Minister, in light of these elements, do you intend to review your decision not to enter into a strategic reserve for the winter of 2019-2020?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u29	Madam Secretary, my questions are in line. On 15 January, there was a decision not to set up a strategic reserve, but afterwards it was announced that the plants Objective 1 and 2 and Tihange 1 would not be available in the winter, resulting in a large amount of nuclear capacity being lost. That was not yet known when you made the decision of 15 January. You ordered a new study, in which the new data was passed on. Do you have a closer look at that? Is the time of maintenance fixed for the three plants I mentioned? Or is there any possibility of moving there, as happened this year? Did you discuss the new situation in the task force you set up?
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u30	ENGIE's confidential letter concerning the listed non-availability dates from 11 January 2019. That letter confirms the already known non-availabilitys of Tihange 1, until 27 November 2019, from Objective 1 to 27 December 2019 and from Objective 2 to 20 December 2019, in accordance with ENGIE's publications under REMIT. The non-availabilitys were already taken into account in Elia's analysis published in November 2018. In addition, the letter highlights the risk that the non-availabilitys published under REMIT will have to be extended beyond the 2019 to 2020 transition. ENGIE's letter is dated 11 January and the Ministerial Order of 15 January. It therefore falls within the meaning that I was aware of the necessary elements, after having had a reassessment made by Elia, in order to fix the strategic reserve. It is indeed a matter of saying that we have fixed it. In fact, we have set it at zero, which is not the same as not at all. Setting it to zero allows us, in the new legislation, to change it in line with developments in the situation. We expect to reassess the situation in September. We have therefore asked ENGIE to check its possibilities to move maintenance outside the winter period, and we will see at the appropriate time. I would like to recall that I have been maintaining the work of the Task Force from now until next winter, in order to be able to assess the situation step by step, in order to have a complete view in September, and to decide whether the strategic reserve should remain at zero as at present. I asked DG Energy, in collaboration with Elia and CREG, to determine the impact of the extension of these unavailabilitys on the required volume of strategic reserves 2019-2020.
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u31	Madam Minister, thank you. You start your answer by saying that you have received a confidential letter. She was kept confidential for two days!
ParlaMint-BE_2019-02-06-54-commissie-ic1030x.u32	It's always like that. That's why I insist.
