ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u1	Question No 26820 by Mr Blanchart is transformed into a written question.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u12	Madam President, Mr Janssen, the Economic Inspectorate has analysed twelve popular Belgian websites on which opinions can be published. These twelve websites are operated by six companies. The focus in this study was on the possible misleading of the consumer. Deficiencies were identified regarding the identification of the company that manages the website. Furthermore, it has not always been clear how the goods assessed are classified. Five of the six companies audited fully followed up the comments of the Economic Inspectorate, one file is still ongoing. As the investigation has not yet been fully completed, the Inspection has not yet provided me with a final report. In reply to my question, the Inspection confirmed that I will receive this report before the end of February. The planned maintenance with the Catering Federations will therefore be possible. Mr Janssen, assuming that you are interested in that report, I will deliver it to this committee and to you as soon as I have it.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u13	Madam President, Minister, I am certainly a requesting party to receive that report.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u14	Minister, my question is about the withdrawal costs for ticket distributors. The transposition of the CSA Directive (Payment Accounts Directive) "on the comparability of payment account fees, change of payment account and access to a payment account with basic benefits" aims to improve the comparability of bank charges between institutions and to improve access to basic banking services. The transposition of the Payment Services Directive (PSD2) has also made some improvements to the consumer's situation, including limiting the consumer's liability to EUR 50 in the event of loss or theft of the payment instrument or abolishing Bancontact supplements. Despite these improvements during 2018, there is a tendency to see that what the European legislator gives with one hand, some banking institutions take it from the other. This is the case with the €0.5 charge that will be charged by ING from 1 January 2019 (and which are already charged by other institutions) to the holders of a free account, when they make a withdrawal via the distributor of another agency. In view of the disappearance of ATMs in rural areas and the fact that it is the most impoverished public that has these free accounts, this puts into perspective the developments mentioned here. For example, Bancontact supplements are now prohibited, but the merchant can still refuse payment by card below certain amounts. There is therefore a great risk that some consumers will pay in withdrawal fees what they save in Bancontact supplement. Minister, I would like to know your views on this matter. Do you consider it a matter of the freedom of banking institutions to preserve their (although already important) margin at the expense of the least mobile customers or, on the contrary, of abuse to be combated? Does consumer protection not require going further than simply transposing European directives? Have you planned to respond to this?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u15	Mr President, ladies and gentlemen, Mr de Lamotte, I would like to point out that bank rates are not subject to price regulation. You know that very well. If the rates are adjusted, this is primarily a commercial decision of the bank itself. The installation and maintenance of distributors generate real costs for banks. Some offer fully free accounts, while others have opted for the billing of such withdrawals. The amounts charged also vary from bank to bank. As for the reduction in the number of banking agencies, at the end of 2017, Belgium had 8,235 ATMs. Comparing this figure at European level, Belgium is in the European average when it comes to the number of distributors per million inhabitants. To my astonishment, I find that some regions, cities or municipalities impose a tax on ATMs. I am thinking, for example, of the Brussels-Capital Region and the city of Brussels. The Brussels Region has recently decided to raise the tax per distributor to €958.90. In Wallonia, there is also a regional tax on ATMs over EUR 1,000. In my view, the decision of some banks to charge a cost for withdrawals made via a network other than their own does not call into question the gentleman's agreement concluded in 2004. This agreement provides for the possibility for the consumer to make 24 free withdrawals. In accordance with this gentleman's agreement, the bank can itself choose the channel through which it offers free withdrawals. The network of their own ATMs is therefore an option. For people with low incomes or those who, for some other reason, do not obtain a regular bank account, there is the possibility of benefiting from an account under the basic banking service. The law requires customers to be informed of the new rates two months before they come into force and to have the option of closing their account free of charge. Banking mobility now allows consumers to switch easily from one bank to another and thus compete. In the same vein, I consider it particularly important for customers to be able to compare bank rates much more actively. FSMA is currently developing a website, which will serve as a true comparison of the rates for the most representative banking services, including the withdrawal of cash from another bank. This tool will make it possible to play even more effectively the competition between banks. Although its practical development was somewhat delayed, the FSMA assured me that it would be made available to the public at the end of February.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u16	Minister, thank you for your answer. However, in some remote locations, it is difficult to find a ticket distributor, hence the need for cash. The imposition by banks of a fee, I would say, on the withdrawal of money seems to me to be abusive, in particular, for people living in remote areas or in rural areas and the least mobile. This is also a situation to be combated. Beyond simply transposing European directives, we must therefore react to this situation. I note, however, that you have not answered my question on this subject. So I guess you're sticking to the law. In my view, this is a lack of forecast for those consumers who are poor and are often the most fragile. I would remind you that we have decided to abolish the Bancontact tax for customers, but that we have also decided to tax the withdrawal of cash. It is no more or less one way of giving with one hand and of resuming with the other.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u17	Minister, since my question was tabled last year, you have had an advertising campaign on this subject. In 2016, out of 199 inspections carried out by solar bank operators, 7% were in good standing. Last year, the situation improved somewhat, with 29% (77 out of 269 controlled centres). Between January and the end of May 2018, out of 94 controlled centres, only 9 were in good standing, giving us a 90% non-compliance rate. In these figures, 12 per cent of the centres still use solar benches with too high radiation and 29 per cent simply do not have compliant equipment. It is also noted that one operator in two does not meet its information obligations. The Royal Decree of 24 September 2017 imposing new obligations on the sector entered into force on 1 January 2019. Among these obligations is that of the consumer to submit a medical certificate issued by a doctor unless the tanning centre has a device to assess the skin type of the customers on the spot. The acquisition of such a device represents a substantial but almost indispensable investment for the sustainability of many centres. However, you yourself acknowledged in the presentation of your policy note that if the rates of non-compliance continued to be so high, we would go towards a pure and simple ban on tanning centres. Mr Minister, in view of the already very high rate of infringements in this sector, are there any indications that it will decrease after even more stringent rules come into force? If so, which ones? If not, do you not think that it would be more opportune and fairer to be clear by setting now a deadline from which the operation of a tanning centre will be prohibited? This would allow the sector to gradually reconvert itself rather than impose new expenses on operators that they may not be able to profit from.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u18	Monsieur de Lamotte, the Royal Decree of 24 September 2017 establishes a number of strict rules for the operation of tanning centres. They have been in place since the beginning of this year and are intended to make it impossible to handle solar benches thanks to service automation. Thus, the health and safety of the consumer must be guaranteed in tanning centres. I am sure that these measures will help to improve the situation in this sector. I have already said that the aim is not to ban the operation of solar benches, so there is no timetable for this. I hope, however, that the sector is well aware that this is its last chance.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u19	Minister, since you say this is his last chance, it means that we will be seeing closures because of non-compliance with the regulations. This week, you spoke on the radio about the problem of skin diseases. If the rules are not respected, we are moving towards a public health problem.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u20	Madam President, Minister, I would like to raise with you my concern about the Durobor goblet in Soignies. Today, 150 families hold their breath and are suspended from the decision of a banking institution that will be decisive for the sustainability of the company. I am very concerned because Durobor has been fighting for a long time, both management and workers, to modernize its facilities and develop from an economic point of view. The two current shareholders, Herman Green Invest and Sogepa, signed an agreement to invest EUR 16 million for the installation, in 2019, of three new production lines. Shareholders table EUR 5.5 million and request a bank loan for the rest, EUR 10.5 million. If this first phase of investment is successful, a second investment plan of EUR 22 million could be implemented with the purchase of a new furnace and the construction of new installations. Minister, this issue was tabled in early December. In the meantime, things have changed. I'll take back the last elements. The bank was supposed to decide by December 21, 2018, but the bank decided to postpone its decision from week to week. It is expected that this decision will be taken by the end of January. The analysis of the unions did not deny it. On the contrary! If funding for this phase 1 is not secured, the future of the activity will be at risk. The Dutch owner stated at a business council held on 24 January 2019 that he would give himself until the end of January to decide whether to throw the sponge or not. The Walloon Minister of Economy has confirmed the alternative and, if there is no answer by the end of the month, it will be bankruptcy. As a reminder, eight workers were already laid off at the beginning of January in order, it seems, to give guarantees to the banks. Mr Minister, since your department is particularly concerned about the sustainability of our businesses, I wanted to address this issue with you. Could you give us an update on the situation? How do you explain that the banking institution postpones this decision? Has the federal government made any contact on this issue? Finally, what is your vision of the future of this Walloon glitter?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u21	Mrs Winkel, I find myself in a somewhat special situation because this question falls within the competence of Mr Pierre-Yves Jeholet, Walloon Minister for the Economy and Employment. However, having obtained additional information, I asked my staff to contact him to see if it is possible to find out more. At the moment, it is very delicate for me to answer you before I have heard Mr Jeholet, who is the competent minister in the Walloon Region. In any case, I will contact him as soon as possible to inform me at best of the situation that you have told me about. Then I will try to answer you, without encroaching on Mr Jeholet's skills.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u22	Minister, thank you. I know that we are between two levels of competence, the Walloon level and the federal level. However, I found it important to question you about this rather dramatic situation. We find ourselves here with a Walloon company carrying a real industrial project. That is why the Walloon Region believes in it and wants to invest. Sogepa is the financial arm of the Walloon Region. It's an important project. Everyone believes in it. There is an investor and workers with recognized know-how. All the elements are gathered to make it work. We're talking a lot about "jobs, jobs, jobs." It is true that measures have been taken to create flexi-jobs, sometimes precarious jobs, etc. I find it a shame not to try everything when you have all the ingredients to succeed, with the key to sustainable and quality jobs. Imagination and measures must be found to support these small businesses that exist in our territory. They must be supported in order to sustain these quality jobs. I therefore thank you for contacting regional minister Jeholet and I propose that we keep in touch on the follow-up to this issue.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u23	The message has clearly been sent.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u24	Madam President, Minister, my question from last December, I will allow myself to update it. It has been several years since the Test-Achats association has been in conflict with DKV regarding the increase in its health insurance rates. This conflict has seen another turnaround at the level of the Council of State, with action being taken against the Governor of the National Bank of Belgium (NBB). In this case, Test-Achats wants to know why the BNB authorized, in 2015, AXA and DKV insurers to adjust the amount of their health insurance premiums to the increase. Test-Achats accuses the governor of the BNB of not being sufficiently transparent about this decision. The consumer association invokes article 32 of the Constitution, which states that everyone has the right to consult each administrative document and obtain a copy of it. Test-Achats suggests that the law has been diverted from its purpose. Article 504 of the Act of 13 March 2016 allows insurers to turn to the National Bank in the event that the application of their tariffs gives rise to or is likely to give rise to losses, in order to obtain a derogation from the normal rules for indexing premium amounts. The aim should therefore be to protect consumers who would obviously all lose if the company were to fall into the red and no longer be able to meet its commitments. The aim should not, however, be to allow insurers to maximize their profits, in particular by offering extremely low entry premiums before increasing, in a second stage, the amount of premiums outside the indexation beacons, once the consumer has become captive. Minister, could you take stock of this issue? Have you contacted the Governor of the National Bank for the reasons why he invokes secrecy since he does not want to postpone his decision and there is no transparency in administrative acts? What is your assessment of section 504 of the Act of March 13, 2016? Are you considering changing it? It is true that today it is no longer possible for you, but a bill can still be tabled.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u25	Madam President, Mrs Lalieux, at my request and further to your question, my administration has contacted the National Bank of Belgium to obtain more information on the dispute between Test-Achats and the BNB. On 16 November 2018, the Council of State delivered a judgment in relation to the above-mentioned dispute. In that judgment, it annulled the decision of the Governor of the National Bank for reasons of formal reasoning. It is clear that the tariff increase which Article 504 allows the National Bank to impose does not constitute a subjective right in the head of insurance undertakings and that the objective of this provision is not to allow them to attract customers by excessively low premiums before increasing them on the basis of Article 504 or maximising their profits. The overall objective of this legal framework is to protect the consumer by allowing him to enjoy his life for an adequate period of time, at a rate which is as low as possible with significant increases. I hope, Mrs Lalieux, that you will agree that the bankruptcy of an insurance company does not play in favour of the policyholders either. Finally, I would like to stress explicitly that the Bank benefits from all decisions and operations taken in the context of its contribution to the stability of the financial system of the same degree of independence as that enshrined in Article 130 of the Treaty on the Functioning of the European Union. This is the answer we received when we contacted the National Bank of Belgium.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u26	Minister, in fact, the purpose of this section is to protect consumers. However, I do not think that AXA and DKV have any problems. If we wanted to see the motivation of the National Bank, which has indeed been cancelled, it is because we believe that there is a problem between the alleged safeguard of an insurance company and the consumer who is the turkey of the farce following the decision of the National Bank. You did not answer me on this point. You also did not indicate why the National Bank is not transparent and does not hand over documents to consumer associations, in accordance with Article 32 of the Constitution, which provides for the transparency of administrative acts. Here, we have the impression that it has been in the direction of the two insurance companies, simply so that they capture as many people or families as possible – we know how DKV insurance works – and then go beyond indexing for sickness premiums. That's how it is. There are a lot of complaints against DKV. For years, consumer associations have been fighting against DKV. In this case, it is felt that the National Bank of Belgium has been in the direction of DKV so that it can continue to do what it wants on the Belgian market. It's a real problem. There is no administrative transparency. You didn't answer me and there's no motivation. I didn't hear anything, unless you told me that DKV was almost bankrupt. But that, minister, I did not hear it either.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u27	No, Mrs. Lalieux. To be clear, elements were requested from the National Bank of Belgium. I was informed that we were in a situation governed by professional secrecy. There is, on the one hand, European legislation and, on the other, Belgian legislation. This information cannot be transmitted. We have checked the European regulations and the article I mentioned and, in the light of the current legislation, we are right not to give the information you have requested, even to the minister.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u28	But the Council of State overturned the decision.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u29	Mr Lalieux, you have had your word and your reply, the Minister has answered, so I think the question has been dealt with, unless there is anything new? No.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u30	There is no answer, but that is it.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u31	An answer has been given, Mr Lalieux.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u32	Debates of the European Parliament 28087) by Mrs Grovonius and others, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 28431 by Mrs Detiège were converted into written questions.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u33	Minister, in 2016, BNP Paribas, citing low credit rates, had doubled the amount of its case fees in the event of a refinancing of a mortgage credit. There was an increase from €350 to €700, an increase that was not well received by consumers. From now on, a royal decree of 24 February 2017 sets ceilings on bank charges for mortgage credit: 500 euros for a mortgage credit with a real estate destination, 300 euros for a bridge credit and 800 euros for a mortgage credit coupled with a second credit agreement. If refinancing with the same lender takes place in the year, these charges shall be reduced by 50 %. Minister, I would like to know if you have any numerical indicators to assess how file fees have evolved before and after this measure? As far as I am concerned, BNP's case was exceptional: the file fees were generally between 250 and 500 euros before 1 April 2017. In addition, he said that the banks were now escaping behind the royal decree to justify large increases in file fees when a credit was granted. This trend would be particularly marked in terms of refinancing. What about it? Do you have objective data? Have you asked the Price Observatory to follow these developments? Do you intend to reduce the ceilings provided for in the Royal Decree?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u34	Mrs Lalieux, the Price Observatory strives to monitor the prices of goods and services that are part of the consumer basket in order to monitor and explain inflation. File fees for a mortgage credit with a real estate destination, a non-mortgage bridge credit and an internal refinancing are not part of the consumer basket. In addition, the Price Observatory has not yet had the opportunity to investigate this issue. An exploratory analysis of the available information showed to my administration that the file fees for a mortgage credit with a real estate destination, a non-mortgage bridge credit and an internal refinancing were not included in the bank's annual rate lists but in a separate prospectus. The SPF Economy currently has only the latest prospectuses of the four largest banks in Belgium. The old prospectuses are no longer available to the public. The exploratory analysis revealed that the four largest banks in Belgium will charge, as of January 9, 2019, a file fee for a mortgage credit with a real estate destination, a non-mortgage bridge credit and an internal refinancing. These charges are equivalent to the maximum fixed by the Royal Decree of 24 February 2017, with the exception of a bank that will apply a rate below the maximum prescribed by law for non-mortgage loan loans. In addition, I would like to point out that in 2016, in preparation for the Royal Decree, my administration collected a sample of the prospectuses and also obtained information from the Professional Credit Union. It was found that the calculation of the costs for the preparation of the files was very varied, that it lacked transparency and that it did not necessarily correspond to the actual costs. On this basis, I took the initiative to draw up a royal order setting flat rates with reasonable ceilings. The legislation also includes a number of transparency requirements when it is intended to conclude a new contract. For example, file fees must be mentioned in the credit offer and there is a standardized information sheet which must be disclosed prior to or at the latest at the same time as the credit offer. In the event of a modification of the existing contract, for example in the case of a new interest rate, the new offer will have to mention these charges. If you know of individual cases of lenders who would not comply with the Royal Order setting the flat rates, you are of course free to notify me, after which I will ask my inspection services to carry out a check and impose sanctions in case of infringements.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u35	Thank you, Minister. I know what the Price Observatory can do, but I know you can ask for the analyses you want. If you ask him for an analysis of bank charges, he does it. I know the law by heart since we are somewhat at the initiative of it. Indeed, he can also work on insurance fees and bank charges if you ask him. In my question, I did not say that there were people who did not comply with the order. It is noted that, in relation to mortgages and bridge loans, the order is being complied with and that the order has reduced fees. However, for refinancing, you had set a maximum amount to limit what Paribas was doing, but that amount was much higher than the amount that all banks used at the time. This means that, thanks to the decrees, the banks fix everything to the ceiling. As I always say, banks never see the interest of the consumer. They increased the fees up to the ceiling you had set and, de facto, the refinancing costs of a mortgage credit increased for all consumers. That's why I talked about a comparative analysis with the previous costs. Do you know that the Observatory can ask banks for information on its own initiative? They are still aware of the costs they incurred in 2015. That's why I asked the Observatory to analyse the prices they were paying in 2015. So you could have lowered the maximum ceiling in your stop. But I understood that your logic wasn't that one.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u36	Mrs Lalieux, first of all, I have no problem asking the Observatory to examine the situation. Then, according to my information, some banks had to lower their rates. Therefore, it is incorrect to claim that they have all carried out a tariff increase.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u37	That's why I'm asking you...
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u38	That's why I'm going to ask the Prime Minister...
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u39	Madam President, the last word is for Parliament. I am not asking the minister to continue his response after my reply. As he replied, I have the right to intervene.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u40	Last line!
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u41	So he doesn't have to intervene anymore. Minister, I ask you for objective figures, since only the press is talking about it. You have a tool to achieve this price objectivation: either the SPF Economy or the Price Observatory.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u42	Deputy Prime Minister, as you know, on Monday, 3 December 2018, European Regulation 2018/302 aimed at countering unjustified geographical blocking and other forms of discrimination based on nationality, place of residence or place of establishment of customers in the internal market has entered into force. This regulation obliges all businesses available online to welcome European customers. It will therefore be possible for any EU consumer to compare prices and buy products throughout the European Union, without sites being able to refuse payment or redirect them to a national interface. Although this is a significant step forward, there are risks associated with the emergence of fake overseas sales sites that attempt to abuse the lack of consumer vigilance, which could also increase the cost of the product due to transaction or delivery costs. Mr Deputy Prime Minister, do you have any information on the level of compliance of Belgian online businesses with the requirements of the new European rules? Are information and awareness-raising measures envisaged to inform Belgian consumers of the risks associated with purchases made at foreign sites? If so, which ones?
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u43	Mr Calomne, the European Regulation dates from February 2018 and entered into force on 3 December 2018. It is therefore too early to have information on the level of compliance of Belgian online sales sites. Second, the Economy FPS informs and raises awareness throughout the year on the risks that consumers can face when buying online, both on Belgian and foreign websites. General campaigns on social networks as well as other, more specific ones, such as those on the occasion of fraud prevention, are regularly organised. As regards the practical consequences of the "Geoblocking" Regulation, both the website of the SPF Economy and that of the European Commission contain specific information and questions and answers.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u44	I thank the minister for the elements of the answer that he was able to communicate and that I will read carefully when he is published.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u45	Debates of the European Parliament 28115 has apparently been withdrawn by colleague Lalieux. No? Two questions were put on the same subject, the bank charges. [[...]] [[: (...)]]
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u46	I wanted to update the question.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u47	The last question will replace the first, I take it? Good.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u48	Madam President, as she dated 18 December last year, I simply updated the question. Minister, a newspaper article dated December 17, 2018 listed the rate increases announced by the various banks for January 2019. As we know, for one of its free accounts, ING will now charge half a euro by withdrawing money from a distributor not part of its network. At Axa, some packs are increasing. At BNP, for an unchanged price, there is a question of offering fewer services. We see that the current trend is towards an increase in bank charges. Don't tell me again about the European average. It will be recalled that the average price of the classic view account with credit card increased by 6% from 2017 to 2018. We are talking about Belgium. Minister, I have four questions. First, comparability. On 14 December 2017, we voted to transpose a European directive on the comparability of bank charges. There is still a missing execution order to have the comparator of bank charges. It's important. This is about transparency. We've been asking for it for years. Today, the decree is still not there. What's the status of this job? What list of the most representative services related to a payment account have you selected? If the order is ready, you can send it to us via the committee secretariat. Secondly, it's free. You know my position, which has been the same for years. Nothing changes in yours. The gentleman's agreement dates back to 2004. After 15 years, I think it's time to shake him. That's legitimate. We know that more and more banks don't want to offer a basic account anymore. Are you ready today to review this gentleman's agreement? I believe that certain services should be completely free of charge, including account keeping, the provision of a debit card, withdrawal in euros to distributors. It seems to me that it's consumer money, it's not bank money. I do not understand why all these withdrawals and actions are not free. Did you put this discussion on the free of charge of certain acts on the agenda with Febelfin? What initiatives have you taken or intend to take on this? It is time to reform this gentleman's agreement. Third, the costs associated with payment incidents mainly affect disadvantaged people, as can be seen from the analysis of the credit-free platform. It is the most disadvantaged people who pay the most. They do not have the Internet and therefore use the distributor. They have to deal with the costs of overdrafts because they have to live with little - you are now also Minister of Equal Opportunities and the Fight against Poverty, so it has to talk to you - and because they also have a lot of unpaid residences and they make a lot of steps at the counter. It is therefore well demonstrated that it is the most impoverished people who have the highest bank charges. The others are entitled to many advantages when you can put 10,000 euros a week in a bank account. As a result, these banking incidents most often weigh on this precarised population. We cannot say that France has a left-wing government or that Bruno Lemaire, your alter ego, is left-wing, minister. However, last August and after meetings with the sector, it managed to cap the costs associated with payment incidents. I ask you to open negotiations with Febelfin to do as in France. Are you going to do it or not? Fourthly, I would like to return to the problem of coupled sales, which hold thousands of consumers captive. As you know, we had all these discussions when we passed the mortgage credit bill. The bank often conditions the granting of such credit to the possession of an account, to ancillary contracts, etc. I know this is illegal, but I also know that these practices are still ongoing and have the effect of reducing competition. In view of the announced increase in bank rates, do you intend to do anything to prevent consumers from being captive and riveted to an account they have not chosen but only own because of their mortgage credit? Thank you, Minister.
ParlaMint-BE_2019-01-29-54-commissie-ic1023x.u49	Mr President, ladies and gentlemen, Mrs Lalieux, I shall start with good news. The implementing order setting out the services related to a payment account has been finalized and will shortly be subject to the King's signature, after which it may be published. So it's done. For the rest, the Autorité des services et marchés financiers, FSMA, is responsible for developing and operating the comparator website. Before it is made available to consumers, the FSMA must collect from payment service providers all the information on the payment services required at this site and carry out the necessary tests. FSMA made it clear to me that the website would be available to the public at the end of February. All arrangements for collaboration between FSMA and payment service providers are provided for in a FSMA regulation, in order to allow the finalization of this site. The Royal Decree approving these regulations will also be subject to the King's signature. The intention is to publish both orders on the same date. As I have pointed out several times in my answers to your questions, a renegotiation of the gentleman's agreement is not on the agenda, but I am listening. I was told that there were no big problems; why then renegotiate this gentleman's agreement? But I am listening to you and I take note of all the comments and arguments you have made. I can also tell you that as part of the fight against over-indebtedness, a basic banking service has been set up in Belgium. On the basis of the analysis of the tariffs of the four largest banks in Belgium, the Price Observatory calculated, for example, that a withdrawal at the counter costs between EUR 0.35 and EUR 1.50 and a transaction refused for insufficient balance between EUR 4.50 and EUR 7.26. By comparison, in France, the price of an operating incident is up to no less than 20 euros and even up to 50 euros for a rejected cheque for failure to provide. Thus, indeed, in August 2018, Bruno Le Maire expressed his willingness to see banks cap on bank charges at EUR 200 per year for modest households, but so far, to my knowledge, there have been no concrete measures for effective implementation. Combining a mortgage credit agreement with another financial product in a bundled offer may indeed bring benefits to consumers, as consumers could benefit from a reduction. In order not to affect bank mobility or consumers' ability to make informed choices, tied selling has been prohibited and the components of the bundled offer must be able to be purchased separately. In this way, the consumer is free to opt either for the credit agreement alone or for the bundled offer with an advantageous reduction. If he then considers it useful to open a view account with another bank that will provide a higher gain than the discount, he will be able to do so thanks to bank mobility.
