ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u1	Debates of the European Parliament Mrs Schlitz has converted 27687 into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u12	Mr President, Minister, I find that you have taken on the role of the Minister responsible for the police very quickly and very well. "Circulate, there's nothing to see." It is a little less than at stake, first of all on the honour of a man, as my colleague has just pointed out, but above all on the seriousness of the facts. This is still a descent and facts that have taken place in a very particular context. We just recalled: there were one or two members of the government nearby. At the time, it had already seemed to us more like a communication operation than a real operation useful in the fight against smugglers, since that was how it was sold to us at the time. We see what is happening today. I hear there's a judicial investigation, but here we're talking about an administrative report. The real question we asked you was whether, like Mr Jambon, you were taking on this report. You tell us "circulate, there's nothing to see," so you assume it. I find this regrettable, for the reasons of honour mentioned by my colleague, but also in view of the seriousness of the facts and the desirability of conducting such operations under such conditions.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u13	Minister, journalists are an indispensable counter-power to democratic vitality, alongside those called intermediate bodies, whistleblowers and other human rights defenders. However, both in Belgium and around the world, the working conditions of journalists are becoming increasingly difficult, in particular because of acts of violence, intimidation and harassment against them. All these threats endanger press freedom and freedom of expression. My question targets one of the visible manifestations of these threats: that of police arrests of journalists in the performance of their duties. In less than six months, Belgium has had journalists arrested on three occasions. A first incident involving two journalists and three RTBF technicians took place at the end of June in Steenokkerzeel. A journalist, Himad Messoudi, who was filming the action of the group "Not in my Name" on the construction site of the extension of Centre 127bis, saw his equipment confiscated, before being taken, as well as his colleagues, into a police van. They were then released, but RTBF filed a complaint with Committee P on behalf of its journalists. The second incident took place on 24 November in Charleroi and involved a photojournalist from La Dernière Heure, who was also a member of the accreditation commission as a professional journalist, which is quite stingy. Patrick Lefèbvre, who was reporting on the violent events that occurred during the night on the margins of a demonstration of yellow vests in Charleroi, was also the subject of an administrative arrest and, more serious, spent the night in the dungeon before being released at seven o'clock in the morning, apparently without any further explanation. The police reportedly accused him of being a "false journalist" although he was wearing "an orange jacket labelled press and a legitimation card around his neck", according to the AJP, the association of professional journalists. A third incident occurred on 30 November during the demonstration of the yellow vests in Brussels and involved a French journalist, Rémy Buisine. Directly, Mr. Buisine was arrested by the police, despite the fact that he presented his press card to the police officer who had arrested him. Images of Internet users revealed a violent intervention by the police as well as the journalist, colossal with his wrists, sitting in a column of protesters arrested. When the mayor of Brussels was informed of the arrest, he immediately ordered the journalist to be released. Each of these inquiries has been reported on the Council of Europe's platform for the protection of journalism, the last of which is the 500th complaint registered by this platform. These complaints state that the source of the threat is a state and concern two cases of harassment and intimidation of journalists and one case of detention and imprisonment. This is happening in Belgium, and these terms make the defenders of press freedom cold in their backs. Following the first event, the AJP wrote to the Prime Minister and the Minister of the Interior in June. The reply received reiterated that freedom of the press was guaranteed in Belgium, but reiterated the police version arguing that journalists had not presented themselves as such, a version strongly denied by the journalists concerned. The AJP also wrote to the same ministers after the second event. She was still waiting for the answer when this question was introduced on December 19, 2018. Finally, the AJP launched the steps to file a new complaint concerning the arrest of Patrick Lefèbvre. In addition, the AJP is constructive and would like to seek a meeting with the police management in order to consider raising police awareness on this subject and to convey the message that a journalist is not arrested unless he or she poses a real threat to public safety. The proposal to send a directive to police areas is also mentioned. The objective is clear: to enable journalists to work and to put an end to these unacceptable obstacles to the exercise of the function of journalist. Mr Minister, in less than six months, Belgium has therefore been arrested three times by journalists and this reveals at least that there is a real lack of knowledge of the rules governing the arrest of journalists by police officers on the ground. Therefore, with a constructive aim, I wish to hear from you today about the solutions that you are planning to implement in order to put an end to these arrests.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u14	You're gonna have to finish! You've been talking for five minutes when you only had two!
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u15	Minister, what do you think about these arrests of journalists in the performance of their duties? Do you confirm a certain lack of knowledge of the rules on the part of police officers in the field regarding the arrest of journalists? Do you intend to follow up on the constructive proposals made by the AJP, namely consultation and regulatory clarification? What other types of measures are you planning to implement?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u16	Mr President, Mrs Waterschoot, there are no specific rules on the arrest of journalists and the law on the function of the police regulates, in its article 31, the assumptions of administrative arrest while the law on preventive detention contains the legal framework for judicial arrest. Any arrest, regardless of the person to whom it relates, must be carried out in accordance with the above-mentioned legal framework. In addition, the circular of 10 October 1995 sets out the rules governing relations between the police and the press. Every citizen who considers that he or she has been subjected to arbitrary or vexatious arrest has the opportunity to file a complaint with the judicial authority, the P Committee or the General Inspectorate of the Police Service, as well as with the internal oversight services of the police services. In addition, awareness-raising among police officers and reminders of standards take place both as part of basic training and as part of ongoing training. The teaching of subjects relating to the protection of human rights and fundamental freedoms is specifically addressed in various modules of the general study regulations.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u17	I guess the reply will be very brief.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u18	Mr President, my reply will be very short, if you ask me. It depends on the practices of one commission to another. Sometimes there's more width.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u19	The Regulations specify 5 minutes for the whole.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u20	Mr President, I intend to respect that. Minister, you did not answer my question as to whether you would welcome the AJP's constructive proposals. I find this very regrettable.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u21	Question No 28204 by Mr Olivier Maingain becomes moot.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u22	Mr.President, Minister, during the evening of December 17, 2018, arrests took place on a train at the Ottignies train station. The police area of Ottignies-Louvain-la-Neuve was apparently required following a call for assistance from SNCB attendants who were overwhelmed by the presence of some 60 people without a transport document. A citizen filmed the police operation and testified in the press: violent and racist statements by a SNCB agent as well as by police officers. SNCB immediately announced that it would disassociate itself from unworthy and reprehensible statements made by one of its agents, dismissed the person concerned and launched an internal investigation. On the local police side, an internal investigation was also initiated. In this case, a citizen was prevented from filming. This is not the first time the police have refused, prevented, stopped or even filed a complaint against individuals who are running an intervention. In doing so, the police do not respect the right of citizens to film police operations. I am referring to the case of Mr Diego Dumont, which has just been referred to by my colleagues. Minister, on the sidelines of these cases, the League of Human Rights recalls that there is no general prohibition on photographing or filming the actions of the police. Apart from certain exceptional and limited cases, citizens and journalists have the right to film or photograph police interventions, whether to inform or collect evidence of the events. According to the European Commission for Democracy through the Law of the Council of Europe, also known as the Venice Commission, states should not "prevent participants and third parties from photographing or filming the police operation". In addition, the Walloon Brabant Police Court, Wavre Division, has recently confirmed that "the mere fact of filming the control scene does not appear to be of a nature in itself to be contrary to security or public tranquillity". Minister, do you confirm that racist and violent statements were made during the inquiry and that injunctions prohibiting filming were given to the citizen in solidarity? If so, do you condemn these unacceptable behaviors? Does the internal investigation cover both violent and racist statements and the alleged ban on filming imposed by law enforcement agencies? In the end, how many people were arrested and on what grounds? Were there any undocumented persons, migrants, minors? If so, where were the minors transferred? Finally, what measures do you intend to take to prevent this type of reprehensible verbal overflow and to enforce the police's right to film police action that does not constitute a disturbance to public order?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u23	Mr President, Minister, I will try not to repeat what my colleague has just said. In circumstances very similar to the events in Landen, on which we have also questioned you, an SNCB user who was filming a police operation involving migrants at the Ottignies station was also subjected to an administrative arrest. Racist insults and aggressive interventions against citizens filming police operations in accordance with the law: the repetition of such acts does not fail to provoke indignation, rightly or even mistrust, in the head of citizens towards their police. You will agree that this is regrettable. Minister, can you tell us what happened at the Ottignies station on December 18th? Has an investigation been initiated on the subject? Have any measures been taken to remind the law enforcement authorities of the attitude to be taken towards citizens who are running operations, or of the principles of the use of force in their operations? Can you tell us how many reports were made against police officers for acts related to racism? What measures are being taken to combat racism and xenophobia within the police?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u24	Mr President, ladies and gentlemen, at the outset I must point out that an investigation carried out by the internal control services of the local police area of Ottignies-Louvain-la-Neuve, as well as another, of which the General Inspectorate of Police Services (IGA) has taken the initiative, is under way, both on the progress of the facts and on the attitude adopted by the police services. It is therefore appropriate to await their conclusions. The instructions are clear. Police officers are well aware that, legally, it cannot be prohibited to film a police action. However, it should be recalled that, in the light of privacy principles, images of published faces must be blurred. The Railway Police (SPC) arrested five illegal residents, including one adult and four minors. No other incidents were reported. After the decision of the Office of Foreigners and the Tutelle Service, one adult and one minor were released and two other minors were presented by the Brussels Railway Police at the Fedasil dispatching, which, however, could not accommodate them. Training and retraining of police officers in conflict management and basic knowledge of legislation is an ongoing process. It should also be noted that the daily briefings within the railway police are a reminder of the principles and attitudes expected of the railway police towards citizens and the public. Fernandez Fernandez, it is important to make it clear that the complainant, who also met on January 8, 2019 the chief of corps of the local police zone of Ottignies-Louvain-la-Neuve and Mrs.La Bourgmester, did not commit any offences, but was administratively arrested by the police officers of the local police zone, for a short time, because he was the cause of a restricted disorder of public order. At the federal level, there is no disciplinary record in this area. However, a tool called "MISI" (Melding van Incidentn-Reporting des Incidents) has been developed for the benefit of police officers who, as perpetrators or victims, face acts of violence: i.e. members of the local police and the Directorate-General of the Administrative Police of the Federal Police. In concrete terms, it allows the recording of acts of violence committed against or by members of the integrated police force. To date, it is not envisaged to launch a campaign on this topic. The rights of persons arrested or arrested are the subject of great attention in the training of police officers. First of all, from the basic training, they follow a module on ethics, which aims directly at getting them to integrate police activity within the basic general framework of respect for citizens' rights and freedoms. Second, so-called "continuous" training is frequently offered to staff members throughout their careers. Several of them concern respect for the rights and freedoms of citizens, taking up certain more specific ethical aspects. The same applies to the fight against racism and xenophobia and the management of conflicts. While I remain open to possible avenues to improve certain aspects, I believe that I can conclude that police training gives an important and justified place to respect the rights of those arrested or arrested. Mrs Fernandez Fernandez, with regard to your last question, given the size of the figures requested and the very short time limit for replying to you, I propose that you send it to me in writing. I'll answer you as soon as I get it.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u25	Minister, thank you for your answer. I welcome the existence of these human rights trainings and refresher courses. However, it must be noted that this is not enough. About the ban on filming, a gathering will take place this Friday in front of the courthouse, because a police officer had seized the camera of a film crew to erase the video data from the memory card. It therefore seems to me essential to recall the need to comply with the standards in force. I strongly encourage you to continue your reflection on this matter.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u26	Minister, I will introduce a written question to receive the figures. I understand that the deadlines are short. The organization of work is sometimes done in this way. Today we are faced with decomplexed racism and xenophobia. We're all victims of this one way or the other, and so are the police. I don't think there's any good guys on one side and bad guys on the other. Our security forces are also increasingly victims. They need to be increasingly protected and given tools to respond to unusual, unexpected or new situations. It is a way of protecting law enforcement, the public authority in charge of our security. I think that should remain the case. I welcome the existence of a whole series of instruments and trainings. The world is waning, the world is changing, and perhaps we should reflect, in the light of the sad events we have referred to today, on adapting them constantly. Thank you.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u27	Minister, during an interview with the press by a representative of the SLFP (Free Trade Union of the Public Service), the latter stressed the existence of a shortage of staff in the road police. This would affect almost 40% of the theoretical workforce, during a key period of the end-of-year holidays, when checks must be repeated, particularly in terms of alcohol and driving. However, the problem would be broader, and I quote from the union representative: "There is the BOB campaign for which we do not see how the desired objectives could be achieved with such a shortage of staff. There are the inspection missions of buses, trucks, which can hardly be achieved since we already have to respond to all the urgent tasks on a daily basis". I would like to ask you two questions, Minister. In the light of these facts, can you confirm that there is a shortage of personnel in the road police units? If so, what is the status of the situation? Are some services more affected than others? Have the reasons for this shortage of staff been identified? So what measures have been taken to remedy the situation?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u28	Despite recent recruitment efforts within the integrated police force, the shortage of staff is still present in the Federal Road Police. Among the reasons for this shortage, we can identify the following main factors. First of all, the average age of staff in the DGA/DAH (Road Police Directorate) is relatively high, particularly among officers, and many retirements have taken place. The training process is relatively long and selective within the DHA. After completing one-year basic training in police schools without a guarantee of graduation, police officers who wish to work in the DAH still have to undergo specialized training. It's high-speed driving on highways, motorcycling, etc. Next, they must pass the selection tests in order to be able to hope for a position within the DAH, which implies a number of failures on the part of the candidates. A well-being and stress survey conducted in 2011 revealed that some services were facing a significant workload: command, traffic, etc. Unpredictability related to function and high emotional load are factors of tension, burn-out and avoidance behaviour. The current deficit has been in existence since 2015. To remedy this situation, the integrated police force recruited 1600 police officers in 2016, 1400 in 2017 and 1400 in 2018. With 1,400 men and women, police schools are at the maximum of their capacity. The fact that the Directorate-General of the Administrative Police has designated the DHA as a priority recruitment entity has also prevented the capacity situation from continuing to deteriorate. In addition to structural recruitment measures, non-structural measures are also being taken to deal with this deficit capacity situation: the prioritization of missions, reinforcements of the borough intervention forces, inter-provincial solidarity in the context of certain missions and the reduction of the share of proactive missions. Measures have therefore been taken and I hope to be able to announce soon that certain problems have been resolved.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u29	Minister, thank you for your answer. I am pleased to see that you are well aware of the problems and that action has already been taken. I hope that you will be able to take the appropriate steps in this area because there are a number of problems on the ground and it is important to listen to them.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u30	Question No 28146 by Mr David Geerts is converted into a written question.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u31	President: Conseil Degroote.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u32	Minister, on the occasion of a football match between the Bruges and Anderlecht teams last August, supporters chanted anti-Semitic songs that were reported in the press. Without lingering on the unworthy and unspeakable words – which can only provoke disgust and reprobation – I would like to learn about the follow-up provided by the public authorities on this issue. The Bruges club wanted to react to this incident and I quote one of its press releases: "A few days after the meeting, the Bruges Club was notified of these facts by its own supporters and stewards. The Club has succeeded in identifying these people and has excluded them from its stage before initiating legal proceedings against them." De facto, it would appear that a number of perpetrators have been clearly identified and could therefore be prosecuted. Minister, what measures are currently being taken by your services to prevent and combat racism and anti-Semitism in sports fora, in direct synergy with judicial actors? Were the law enforcement agencies present during these events? If so, what was their attitude to anti-Semitic behaviour and explicit calls for hatred? What decisions have been taken to facilitate research, identification and ultimately the imposition of sanctions against the authors of these anti-Semitic songs? What is the status of collaborations between your services and those of the Justice FPS on this issue?
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u33	Mr President, Minister, published on the website of La Dernière Heure in December by supporters of Club Bruges after the game against Anderlecht of 26 August. There some supporters used anti-Semitic chants, such as "My father was in command, my mother was in the SS and together they burned Jews, because they burned best." Today, on the day of the commemoration of victims of the Holocaust, I would like to emphasise how anti-Semitic is still present in certain places. As Mr Calomne has just said, Club Bruges, on the record of his stewards, has itself identified a number of people and has imposed a civil stadium ban on them. In addition, in a reaction to the facts, the court informed the police that they were waiting for the police report. Such facts are not an isolated case. Several examples of anti-Semitic songs during football matches can be found both at home and abroad. I refer to the Antwerp - Beerschot-Wilrijk competition of April last year, where choirs against the Jewish community were heard and where there was also a banner with an anti-Jewish message. In the Netherlands there have been problems in 2017 as a result of the AZ - Ajax competition, where supporters of AZ sang the same anti-Semitic songs I just mentioned. Supporters of English Chelsea sang anti-Semitic songs last month during the European match against the Hungarian Vidi. The Football Act provides for the possibility to impose a sentence on anyone who leads to beatings and injuries, hatred or anger against one or more persons, either alone or in a group in the stadium or even in the entire territory. In addition, the football club or the football association can always act and impose a civil stadium ban. Last week, both Mr Calomne and I put a question to Minister Geens on the same subject, but I would like to focus on issues that concern the Interior. Mr Minister, I have the following questions. First, can you confirm that the police have prepared a report following the anti-Semitic chants after the Club Bruges - Anderlecht competition of 26 August 2018? Secondly, how often does the police record after a football club or the football association has already imposed a civil stadium ban? Thirdly, in how many cases has the football cell sanctioned anti-Semitic behaviour? Can you show any trends in these figures? Fourthly, are there any figures available on the number of civil sanctions in connection with anti-Semitic behaviour? I know it is not customary in an oral question to ask for many figures, but I know that the figures are very limited, which is why I dare to ask them.
ParlaMint-BE_2019-01-23-54-commissie-ic1020x.u34	Mr President, ladies and gentlemen, Mr Calomne, racist and/or anti-Semitic statements have nowhere in our society, and therefore not around football stadiums either. They constitute a violation of Articles 23 and 23bis of the Football Act, which punishes all behaviour of incitement to hatred and disacquaintment. Similarly, Circular OOP 40 of 14 December 2006 containing guidelines against offensive, racist and discriminatory statements and slogans chanted in chorus during football matches determines the threshold of tolerance against this type of behaviour and the preventive and repressive measures to be taken by the actors on the ground in the face of discriminatory statements, behaviours and symbols as listed exhaustively in the said circular. On the basis of these arrangements, the police services and the services of the Football Cell of the Internal SPF may initiate administrative proceedings which may lead to a stage ban and a fine against anyone who utters such songs alone or in groups. The Prosecutor's Office of the King of Bruges may also prosecute these facts on the basis of a police finding, which is the case for the present facts. The Football Cell and the national football bodies have also always advocated that clubs take more responsibility, in particular by punishing supporters on the basis of their internal rules, without waiting for the decision of the Internal SPF or the judiciary. In this case, the Bruges club itself confirmed, by press release, that several people involved had been identified and excluded from the stadium. In addition, with the support of the Internal SPF Football Unit, the Pro League will implement its action plan on discriminant and/or racist singing through a project to raise awareness among football clubs and other relevant sports organisations. The local police in Bruges did not find these facts at the time they occurred. The police services are now working with the judiciary to identify the perpetrators. Prosecutions are initiated at the initiative of the Prosecutor's Office of the King of Bruges. The authors can then be identified on the basis of video images revealed in the media. Mr Vermeulen, the local police of Bruges did indeed draw up a report for racism following the anti-Semitic chants after the Club Bruges competition on 26 August 2018 and sent it to the competent court. The procedure relating to civil expulsion, initiated by a football club in the event of a breach of a provision of the Rules of Procedure, is not linked to the football law. However, certain behaviours may constitute both an infringement of the internal rules of a club and of the football law. It is therefore possible for police officers, irrespective of the procedure initiated by the club, to draw up a report on the facts which they have established at the stadium. There are no statistics on the number of cases where both a procedure is initiated or initiated by a football club and by the police. We strongly condemn such behaviour. In the past three years, the football cell has received eight police reports in this context. A prosecution was brought every time, which also gave rise to a penalty with a stadium ban and a fine. There is currently insufficient evidence to talk about trends or a clear advance. Each case, however, is clearly one too many. The Royal Belgian Football Association states that in the past year four civil exclusions were imposed. There are no other civil exclusions for such facts.
