ParlaMint-BE_2019-10-15-55-commissie-ic030x.u1	Debates of the European Parliament Mrs Soors' 55000785C will be converted into a written question.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u17	Minister, thank you for your very comprehensive answers. I am very pleased to hear you say that you find it unacceptable to associate violence against women with the sale of a product. This is not a question of freedom of expression, but of a speech which, as you have said, incites violence and which ultimately aims to trivialize a phenomenon which must be combated and not fed. Thank you already for your comments which have been very clear about this. As for the national plan of action against violence, I am also pleased to hear from you that associations, civil society and organizations will be involved in the development of this plan. Organisations which will also be financed, but I agree with the honourable Members that this funding is currently insufficient. Today, there is far too much reliance on the work of associations in combating violence against women. At the same time, they are not given the means to carry out their tasks properly. It is a situation, and it is told to me every day, which ultimately obliges these associations to compete against each other. That is not how effective the fight against violence against women will be. I also stress, in relation to this national action plan, that there is a real need for greater coordination with the federated entities. I'm still a little hungry about this consultation. I come to the limits of the system, both at the level of the law and at the level of the Jury of Advertising Ethics. At the level of the law, you said, several levers exist, fortunately, but they have limits. The law against sexism does not, as such, combat sexist advertising. The Gender Act contains provisions on incitement to violence on the basis of sex. However, it must be determined whether these sanctions are adequate if they are to be applied to large companies. Will these sanctions be adequate? Are they sufficiently dissuasive? Perhaps there is a reflection to be made on that. With regard to the Jury d'éthique advertique (JEP), I think there is a big problem with efficiency. Already because the JEP has no right of initiative. He has to wait for complaints to arrive. Fortunately, these complaints are coming, but I think maybe we could give them more skills. As far as territorial jurisdiction is concerned, I see on the JEP website that the Jury is forced to declare itself incompetent in this matter and to refer the case back to its Dutch counterpart, because it is the advertiser's country of origin that determines the jurisdiction of the Jury. This is unacceptable when we see the outcry that took place in Belgium, because advertising was intended for consumers in Belgium. A lot of leads are to be dug. Minister, I feel your voluntarism and I really count on you to make it a reality.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u18	Mr President, let me be clear, the cabinet, my two predecessors and myself have this competence since December last year, and always in current cases. That is also very clear. Despite the fact that I have only been active as a minister for two weeks, I feel the dynamism in the cell, as well as in cooperation with the administration. I can only commit to ongoing cases today for the next few weeks and months, and I do not know how long that period will last. Both myself and my team will work on effective tools for the future in the coming weeks and months. It will be up to the next government to make those choices. But we, in current cases, are not rushing on the ground, in the sense that we are working fully with the administration and stakeholders to see what we can do in preparation for the next few weeks. I will continue to do so for the next few weeks. That's what I wanted to tell you. Mr Schlitz, I am now a little out of character, but I have never been a great supporter of the JEP. The old-timers in this committee know that. The JEP is an autoregulatory body. In the case of tobacco and alcohol, too, we have often seen that the JEP does not have the right instruments in the context of this regulation. As a Member of Parliament, I have put forward proposals in committee to legally anchor this and not do so by means of auto-regulation. Today this file is handed over to the Netherlands. That's according to the agreement, since the company is based there. I can only tell you that we will continue to follow this up and that we will continue to knock on their door until there is a ruling. This auto-regulation is what it is, but it wouldn't be bad to look at the legal possibilities in the future. I mentioned those legal possibilities. There are legal possibilities under the sexism law. There is also article 150 on press crime. In future, we will also have the legal capacity to strongly condemn matters there. They say this isn't really a priority for me. I've only been a minister for a few weeks, and we're in ongoing business, but I still want to nuance a bit. I have already seen in those two weeks that there are a lot of very good initiatives, for which we are highly praised internationally. I'm thinking about the fight against sexual violence in the care centers, and there are our chat lines. I was asked whether we should not empower people to talk about it. I think this is very important. Of course, this is a more limited field, but many people call it anonymously the first time. There's a real fear of threshold. So we still have a great deal of work to do in this area. However, I believe that a great deal has already happened. Mr Van Hoof, a legal action by the Institute is possible, but you know that it decides independently. The institute is now investigating how it can do that. As a minister, I must respect what the institute will do in this matter. I think it will come to that conclusion, but it has the autonomy to decide and I must respect that decision. Questions were raised about the Istanbul Convention and the National Action Plan. I'd like to answer that. I do not know if it fits in with the work of the committee and the chairman, but if you would like to look further at that, then my cabinet and I will be very happy to cooperate in the coming weeks or months. I believe, Mr President, that these were the most important elements of the answer.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u19	I thank Minister Muylle for her presence.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u20	Colleagues, I would like to point out that the oldest one of you will have to replace me around 4:45 p.m. when I leave to take my train. Mrs. Jiroflée, it will be you. Thank you very much for that. We now come to the current affairs debate on listeria. Mr Ducarme has already spoken on this subject.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u21	Mr President, Minister, we only just had an exchange of views with Minister Ducarme last week. Without wishing to dramatize the situation, I found it striking that he referred directly to you because he did not feel responsible for many aspects. I did not immediately find that a reassuring message, which is why I would have liked to have heard about it. You yourself said last week that it did not make sense to come to that exchange of views because there was no danger to public health. During the exchange of views with Minister Ducarme and the BFSA, it became clear that there have been infections with the same listeria strain in our country. We therefore assume that these infections were due to meat coming from the same factory of Sacrificeman. In my view, therefore, it cannot be said that there has been no danger to public health, but at most we have been lucky with the people who have been infected. It was clearly about persons who were not weakened and strong enough to overcome the infection. Last week, a number of things became clearer, but I also remained left with a number of questions. Can you confirm or clarify how many people the same listeria strain was identified in our country? Last week we were told that these were two. What do you think of the threshold currently being used? Is it relevant, in your view, since the company in question has always been below that threshold in the tests, but there have been infections? Why do you think there was so little information exchanged between the food agencies of the different countries? For example, in the summer there would have been a pulse for possible infections in our country with the listeria strain in question, but no further explanation was given. Do you think this course of action is normal? After all, what do you think of the principle of using so-called phages to treat meat products? Listeria is a very persistent bacteria that is difficult to eradicate. It is possible to develop bacteria that specifically attack the listeria bacteria. This method is already being applied in the United States, among other things, and it has been approved by FDA. This method is already being applied in several other countries.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u22	Mrs Gijbels, I note that you have taken into account the debate we have already had with Minister Ducarme, because the questions you asked do not exactly correspond to the written version of your question.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u23	Mr President, Madam Minister, thank you for finally coming to answer our questions. Although we have already received explanations from Minister Ducrame, we would like to hear from you about the specific facts and events, with your perspective as Minister of Health. Furthermore, it seems that the Sciensano Institute is currently looking at whether there have been victims in Belgium. When will we get the answer? How do you relate potential poisonings in Belgium to the Dutch source of listeria? We learn that in Holland, they use a so-called DNA technique that seems new. We would be interested to know how the strain is analyzed in our home. Finally, we would like to hear from you about the measures taken to remove potentially contaminated products from our businesses. How many products were removed checked? What are the results of these tests? What measures have been taken to inform consumers about the issues at stake in Belgium? Did this happen as planned? How have the collaborations between the Regions, the Communities and the Federal Government, and the collaborations with Holland, happened?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u24	Madam Secretary, thank you for being here. I have a few more questions about timing. I also put these questions to Mr Ducarme last week and he replied that he was not aware until early October. Does that apply to you, too? An initial notification of listeria at Offerman dates back to the end of July and there was even a notification in 2017. Did your services or Sciensano and the Dutch counterpart have any discussions about this? From when did you know? What actions have been taken since then? Is contact with the Netherlands still ongoing? Do you think the contacts have been satisfactory, or do you have recommendations for a different approach in the event of a next crisis? Do you have plans to improve communication flow and cooperation at European level? We are now two weeks after the problem has been announced. Last week we heard from Minister Ducarme that he could not guarantee that at that time there was no more contaminated meat in the supermarkets in Belgium. Has it been mapped out where contaminated meat might have ended up and what route it has followed? Are we quite sure at the moment that all the potentially contaminated food has been removed from the shelves?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u25	Madam Minister, the only question I wanted to ask you was asked earlier by Mr Ecolo's colleague. In the Netherlands there is a DNA technique to situate the source. To the representative of the BFSA I asked whether it is possible to find that source here too, to which he replied that it was very difficult. Don't we have that technique? What makes this search so difficult?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u26	The next question to be addressed was Ms Tillieux's, but she is not present. As this is a topical debate, members who wish to speak will be able to do so. I would like to make it clear that all the questions we have just heard were tabled before the exchange of views with Minister Ducrame. That is why they have been reformulated or clarified. We are now addressing the issues introduced after this exchange of views.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u27	Madam Secretary, thank you very much for coming. Last Wednesday, I said that your answer was satisfactory for the time being in the morning, but in the afternoon, Minister Ducarme said that there were a number of aspects of public health, hence the following questions. Were you aware of the cases of listeriosis in the Netherlands in recent years? If so, what measures were taken? How many listeria infections have been detected in Belgium over the past five years? How many of these can be linked to food? The BFSA stressed the fundamental importance of transparency and communication. The risk groups should be informed. Until recently no one actually knew listeria, nor did they know that it could cause the fatal disease listeriosis. Is it not important, then, to inform the public about this and not to wait until contamination occurs? What steps have you taken or are you taking in this regard? The BFSA reported that Sciensano was contacted by the European Centre for Disease Prevention and Control in August 2019. That wanted to know whether a source of listeria was discovered in other Member States, as in the Netherlands, but did not mention the different deaths. Sciensano has identified two cases of listeriosis in Belgium in 2018. In both cases it was the same tribe as the RIVM established. I conclude from this that two people were infected by listeria from Sacrifice's meat products in 2018. Is that right? Or was it possible to trace these infections to another source? The BFSA reported that 23 calls were organised in 2019 as a result of the listeria bacteria. Could one of those products be linked to a listeria infection? Minister Ducarme has written to Sciensano asking him to systematically provide this type of data and studies to the BFSA and to develop a protocol on this subject. Will you answer that question? Finally, Minister Ducarme informed us in committee that the Netherlands is still carrying out a traceability investigation, allowing additional information on contaminated meat products to follow. Therefore, in order to protect the health of consumers, more products will most likely be recalled in our country. Do you know if that investigation has already been completed and therefore there are no contaminated meat products on the market anymore?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u28	I will now ask the other groups, starting with the Socialist Party, whether they wish to intervene in the debate.
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u29	Mr President, my group had tried to put its question back on the table by changing the name of the speaker. Obviously, the site has a few small concerns that will be addressed tomorrow at the Conference of Presidents. In any case, I thank you for letting me intervene in this exchange of views. Minister, three people died as a result of Listeria contamination in the Netherlands. A factory in Aalsmeer is incriminating in this case. On 9 October, Minister Ducrame told us that Sciensano had been contacted by the European Center for Disease Prevention and Control last August. The Rijksinstituut voor Volksgezondheid en Milieu seeks to know whether a strain of listeria present in the Netherlands was also present in another Member State, but without indicating that this strain had caused the death of three people. Minister Ducrame confirmed that in Belgium, two people – it's already too much – had been contaminated by a strain of listeria from the company Offerman – where the problem has persisted for several months, since cases were found in 2018. Moreover, collaboration between Belgian and Dutch health agencies is not working well. It is also a matter of great concern that the Rijksinstituut voor Volksgezondheid en Milieu does not at all contextualise its request for information, whereas it is a question of a disease causing several deaths in the Netherlands and that the strain comes from a company that exports products to us. Minister, how do you assess cooperation with the Netherlands in the prevention and control of infectious diseases? Do you confirm that two people have been contaminated by listeria in Belgium? Can you provide us with an update on this health problem? Can we say that the reaction of our authorities has been optimal? Finally, in our home, the number of cases of listeriosis has remained stable for years. However, what measures are being taken to combat this disease?
ParlaMint-BE_2019-10-15-55-commissie-ic030x.u30	I come immediately to my questions, Madam Secretary. Is the situation in Belgium under control? Do you think there is a problem for Belgian public health? Are there cases of listeriosis in Belgium linked to the group Offerman and thus to the problem in the Netherlands? Do you have any figures on the incidence and prevalence of listeriosis? Mr Ducarme has already informed us that 70 to 80 cases are reported per year. Do you know the causes of those 70 to 80 cases a year? Is it a food contamination? According to Minister Ducarme, there is a reporting obligation for listeriosis, but it varies from community to community. He said that in the French Community, at least listeriosis should be reported to Sciensano. In Flanders this happens only from two cases. Can you confirm that information? What do you think about that?
