ParlaMint-FR_2021-10-25-O1029.u1	The next item is the debate on the second part of the finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-25-O1029.u21	Or, more precisely, Mr. Keeper of the Seals: you said, you did. I must confess: in July 2020, when you had just taken up your duties and announced a considerable effort in favour of the justice budget, with a breach of the programming law, I was a little worried and I already imagined that the opposition would be insurgent when we would have only made up for a programming law that was already long overdue.
ParlaMint-FR_2021-10-25-O1029.u22	What a pessimism, Congresswoman!
ParlaMint-FR_2021-10-25-O1029.u23	You said it, you did it. With two successive increases of 8%, it is not the 24% increase promised by the programming law that you are proposing today, but close to 33% more for our justice.
ParlaMint-FR_2021-10-25-O1029.u24	It's huge!
ParlaMint-FR_2021-10-25-O1029.u25	It's something other than with Dati!
ParlaMint-FR_2021-10-25-O1029.u26	I looked forward to hearing the opposition welcome this overperformance, but you did not disappoint me, Mr Special Rapporteur!
ParlaMint-FR_2021-10-25-O1029.u27	Here I am reassured!
ParlaMint-FR_2021-10-25-O1029.u28	This budget is human resources: fifty posts of magistrates and almost as many clerks are created this year. There will never have been so many magistrates in France,...
ParlaMint-FR_2021-10-25-O1029.u29	And never so many pending cases too!
ParlaMint-FR_2021-10-25-O1029.u30	That's not true!
ParlaMint-FR_2021-10-25-O1029.u31	...and I think there's never been so much more desire for justice in our country. The general states of justice you have just launched can only confirm this. A justice closer to each other: you said, you did, with the local criminal justice system and the recruitment of nearly 1,000 contractors to relieve magistrates and clerks in the performance of their duties. A civil justice system to reduce congestion: you said, you did, with the recruitment of another 1,000 contractors in civil matters. In committee, you have told us that you want these contracts to be sustained, as the courts now rely on these men and women. We know, Mr. Keeper of the Seals, that we can count on the respect of your word given. The example of legal aid can only confirm this. Following the reports by Mrs Naïma Moutchou and Mr Philippe Gosselin, as well as by the committee chaired by Mr Dominique Perben, an increase of EUR 100 million in the amount of legal aid was required. A first gagged march was proposed last year. It is complemented by the appropriations we are going to vote on today: yes, we will have increased legal aid by more than EUR 100 million. Once again, we said it, we did it!
ParlaMint-FR_2021-10-25-O1029.u32	There!
ParlaMint-FR_2021-10-25-O1029.u33	I will end with a subject that, as you know, is of particular interest to me: the digital transformation of justice. As the President of the Republic said in Poitiers last week, it is abnormal to be able to track a parcel but to have no information on the progress of his judicial file. Last year, the health crisis had revealed serious shortcomings in terms of equipment, infrastructure, application and the conduct of digital projects. You had committed yourself to a take-over of projects and a turning point in digital transformation. You said it, you did it.
ParlaMint-FR_2021-10-25-O1029.u34	There!
ParlaMint-FR_2021-10-25-O1029.u35	And here I would like to commend the work of all the administrations that have mobilized to equip 85% of the clerks whose missions can be carried out in telework, to modernise the application, to deploy a network of VPN connection, wifi terminals, video conferencing, to bring the digital criminal procedure and the legal aid information system (SIAJ) to a successful conclusion and even to ensure that PORTALIS, which has raised fantasy for a decade, is finally in the experimental phase.
ParlaMint-FR_2021-10-25-O1029.u36	There!
ParlaMint-FR_2021-10-25-O1029.u37	Let's not stop there. We come back from afar, but we have finally brought justice into the twenty-first century. Having said that, we are already in 2021 and expectations are growing very quickly in the digital field. Let's go on like this.
ParlaMint-FR_2021-10-25-O1029.u38	She's right!
ParlaMint-FR_2021-10-25-O1029.u39	In conclusion, two words on measures which do not fall within my sphere of intervention but which I think it is useful to stress. On the one hand, I would like to welcome the creation of a reserve for the judicial protection of young people, which you will present to us by way of an amendment. This is an important measure to better support the social and professional integration of juvenile offenders. On the other hand, as for the creation of 15,000 prison places, some may want less, even if they cannot incarcerate more dignifiedly, others may ask for more while knowing that they will be the first to refuse their construction on their territory.
ParlaMint-FR_2021-10-25-O1029.u40	Yes!
ParlaMint-FR_2021-10-25-O1029.u41	You offered us a plan. The contracts are signed. The works are under way and the excavators are at work.
ParlaMint-FR_2021-10-25-O1029.u42	Absolutely!
ParlaMint-FR_2021-10-25-O1029.u43	[[Applause on the benches of the LaREM and Dem groups]] Again, you said it, you did it. That is why I encourage you, ladies and gentlemen, to vote on this budget with both hands raised.
ParlaMint-FR_2021-10-25-O1029.u44	Mrs Nicole Dubré-Chirat has the floor.
ParlaMint-FR_2021-10-25-O1029.u45	From the beginning of the quinquennium, the President of the Republic insisted on his determination to make justice a priority of the Government, with an unprecedented effort on the budget and on human resources. Over the past four years, action has been taken. An exceptional 8 per cent increase in appropriations took place in 2021 and 8 per cent in 2022, bringing the mission to 8 billion euros. Over the five-year period, the department's resources will have increased by one-third. They have also seen a significant increase, with 7400 jobs created in five years, of which 3450 in recent months. An ambitious reform policy for justice has been implemented with the 2018-2022 programming law, to enhance the effectiveness of the criminal procedure and the meaning of the sentence, simplify civil and administrative proceedings, promote community justice and improve prison response through a Prison Plan and the 15,000 places planned by 2027. This budget allows for the continuation of the structural work of the law on the programming of justice – prison and judicial real estate programmes and digital transformation plans – to finance the measures related to the bill for confidence in the judicial institution, under consideration by Parliament, by continuing to promote new priorities, including community justice. The objectives are based on two main areas: access to justice and prison conditions. Access to justice first of all: €252 million is earmarked for its development. The Government has demonstrated its commitment to ensuring access to justice and law throughout the country for justice that is closer to the citizen and more responsive; First of all, with the single reception service of the justiciable, a single access point for all approaches, which improves the quality of the service and simplifies access to the right. Since the end of 2018, there have been 300. The Government has strengthened human resources dedicated to community justice. In 12 months, 2100 people have been recruited to guarantee access to justice: 600 legal assistants and specialized assistants who come, with 1000 delegates of the prosecutor, to form a real team around the magistrate; 1200 reinforcements arrived in court to relieve transplants, essential links in the judicial chain; Honorary magistrates and magistrates on a temporary basis. Since 2019, a trial of departmental criminal courts has been conducted to guarantee the quality of the decisions rendered, to speed up the work of the judiciary and to reduce the burden on the courts, in conditions respecting the adversarial, the rights of the defence and the quality of the hearings and for a lower operating cost. Local justice requires access to law and legal aid. The company benefits from an increase of 150 million over two years, and its price will increase from 28 euros in 2016 to 36 euros in 2022. In 2021, 2000 point-justice were installed and distributed throughout the territory in conjunction with France Services houses. The mechanism is complemented by fairground hearings and the development of the use of mediation. The modernization of the judicial institution and its digitisation are among the major projects undertaken. The digital transformation plan will benefit litigants, legal officers and professionals to facilitate the processing of applications. A total of €205 million is planned for IT investment to bring the digital criminal procedure desired by the services to a successful conclusion. A particular effort is being made on the purchase of new equipment, with vigilance on system compatibility, which should make the filing of online complaints effective at the end of 2023. The conditions of detention then: the second part of this transformation of the justice system concerns the prison aspect. I thank prison staff for their work, more specifically during the health crisis. They organized themselves to protect detainees in often inadequate premises. Indeed, France is regularly targeted for the unworthy conditions of detention linked to overcrowding and the outdated premises – it has been the subject of 19 convictions by the European Court of Human Rights (ECHR). These conditions create tensions in institutions and create difficulties in accompanying reintegration. The State's response on this subject is the Prison Plan and the construction of 15,000 new places; 2000 are already delivered. In the 2022 budget, 5000 places are in progress and will be delivered in 2022 and 2023. The second part of 8,000 places is committed. This is an increase in the number of prison places and a diversification of the prison response with the construction of specific structures for reintegration and work. At the beginning of 2021, the Government announced an important plan for the renovation of establishments aimed at reducing the energy footprint, supporting the construction sector at the local level and modernizing collective living places for the benefit of users and agents. In 2022, an additional 720 posts will be filled. Another area of work concerns the meaning of punishment and access to work in detention with the creation of a prison employment contract and the granting of social rights to detained workers. Alternatives to incarceration are essential, under certain conditions, such as the electronic bracelet, the TGD device to improve the fight against domestic violence. Prisoners arriving at the end of their sentences could benefit, under certain conditions, from the early release procedure to limit overcrowding in prisons. In the continuity of the objectives and budgets 2021 and 2022, Emmanuel Macron and the minister proposed last week the general states of justice which will bring together all the partners for five months and will take place throughout France.
ParlaMint-FR_2021-10-25-O1029.u46	Thank you, Congresswoman!
ParlaMint-FR_2021-10-25-O1029.u47	[[Applause on the benches of the LaREM and Dem groups]] In total, it is a suitable budget that we ask you to vote on.
ParlaMint-FR_2021-10-25-O1029.u48	Mr Antoine Savignat has the floor.
ParlaMint-FR_2021-10-25-O1029.u49	To talk about the budget of justice is to talk about the means that we want to devote to it in order to respond to the evils of our society, to respond to everyday disputes, to ensure peace in the Republic, to ensure the proper balance of economic and contractual relations: in a word the means of our well-being together. For the second year, Mr.Minister, the justice budget is increasing substantially. The rapporteur for the opinion welcomed the respect for the word given; We will be pleased to have been a little heard on this subject. These increases are essential for those who want more proximity and access to the law, because the balance of these demands remains the promptness of the response and, in this respect, progress still needs to be made: twenty-four months for a divorce when one knows that it is about the state of the people, an anxiety and often destructive litigation for the children; more than seven months on the issue of protection, that of the most precarious and weak; 18 months before the council of the prud'hommes, 17 months before the courts of appeal. That, of course, not to mention criminal proceedings. To achieve civil peace is to respond quickly to situations of crisis or conflict. Replying also implies in criminal matters being able to do so and to do so properly, i.e. to be able to execute criminal decisions by working for integration and reintegration, not to mention the victims and the condition of the detainees. We still regret that the prison administration's budget is not detached from that of the justice system, for greater readability and apprehension: this would allow us to clarify intentions, as well as to know the means given to the justice system as well as to the enforcement of sentences. Nevertheless, the prison administration's budget is also growing. Projects must come out of the ground: this must be done quickly, not necessarily as is certain to allow more detentions, but also and above all to allow for better detention, restorative, redemptive and non-recidive.
ParlaMint-FR_2021-10-25-O1029.u50	All right!
ParlaMint-FR_2021-10-25-O1029.u51	Bravo!
ParlaMint-FR_2021-10-25-O1029.u52	Mr. Keeper of the Seals, you are presenting us with an increasing budget, as you did last year. But up why, up for what goals? Those mentioned above, of course. But is the budget the only solution? I like to say that we don't make money by doing justice, but instead we spend a lot of it. It is the price of peace, but should we be resigned to peace at any price? Voting a budget, giving resources is an act of management which therefore means controlling what is done with the resources allocated.
ParlaMint-FR_2021-10-25-O1029.u53	All right!
ParlaMint-FR_2021-10-25-O1029.u54	The 2021 budget was historic, did you say, minister, the 2022 budget is "historical II" or "historical return." And yet, it does not happen one day without me hearing the same criticisms against justice: too slow, lack of means, ill-equipped, lax...
ParlaMint-FR_2021-10-25-O1029.u55	Yes!
ParlaMint-FR_2021-10-25-O1029.u56	...and I certainly forget about it. However, the budget is on the rise, the information technology resources are on the way, the posts are filled, but the same criticism remains. Perhaps we should no longer be content with the mere speech on the lack of resources, even if it is still relevant, and look at their use.
ParlaMint-FR_2021-10-25-O1029.u57	Of course!
ParlaMint-FR_2021-10-25-O1029.u58	Good management and the proper use of public money cannot save a job of introspection, analysis, criticism and questioning.
ParlaMint-FR_2021-10-25-O1029.u59	Of course!
ParlaMint-FR_2021-10-25-O1029.u60	At too long a time, it is a good tone to say that the lawyers' strike has considerably disorganized the courts. How could a six-week strike so disrupt our justice system, especially when we know that in civil, commercial and professional matters, lawyers are the main providers of cases and that this strike, like the health crisis we are going through, has led to a reduction in litigation? In view of the delays in processing before the courts of appeal, is it not urgent, before allocating new funds, to ask the legitimate question of the merits of the procedure introduced by the Magendie decree? The complexity of these procedures and the number of incident hearings it causes are obviously an obstacle to the proper functioning of the justice system and to the timely delivery of decisions. Spend yes, but spend well. I will ask another question to which it is always difficult to have an answer, perhaps because it is politically incorrect: do we have precise and objective indicators of each person's activity? Do we know who does what, when and how? Could we allow ourselves a criticism, in the constructive sense of the term, of the institution and its functioning, not of the content or quality of the decisions, but of the allocation and use of the means that we are going to vote for? It's just trying to understand and know how the funds are used. Eight days ago, on the occasion of the launch of the general states of justice, the President of the Republic said that nothing should be stopped in the reflection carried out during the next 120 days and that all subjects should be raised. So we do not forbid anything and ask ourselves the question of the creation of an administration of courts, of the creation of directors of courts and courts, managers trained in financial management, real estate, human resources – independent professionals guaranteeing the proper use of public funds.
ParlaMint-FR_2021-10-25-O1029.u61	Break your chains and join us!
ParlaMint-FR_2021-10-25-O1029.u62	Yes, come with us!
ParlaMint-FR_2021-10-25-O1029.u63	Thank you, Mr. Savignat!
ParlaMint-FR_2021-10-25-O1029.u64	[[The Special Rapporteur, the draftswoman for opinion and the draftsman for opinion applaud]] We must not only finance: we must also manage. We all have the same goal: prompt, impartial and respectable justice for all.
ParlaMint-FR_2021-10-25-O1029.u65	Mr Bruno Millienne, who, I see in his eyes, has the feeling of having a speaking time of five minutes and thirty minutes. But that's not the case: he has five minutes... like the others, I was going to say.
ParlaMint-FR_2021-10-25-O1029.u66	I know that, Mr. President. I haven't started yet... The Justice mission of the finance bill aims to grant the necessary means to complete the profound transformations initiated with the passage of the law of 23 March 2019 of programming 2018-2022 and reform for justice. The last budget of the legislature thus shows a historical increase of 8 per cent in the financial and human resources of the Ministry of Justice, in the wake of the 8 per cent increase already granted in 2021. The budget for the Justice Mission now stands at EUR 8.9 billion. The Democratic Movement (MODEM) and Related Democrats Group welcomes these unprecedented successive increases. Throughout the quinquennium, the resources allocated to justice will have been increased by 33 per cent, a much higher increase than the 24 per cent provided for in the law of 23 March 2019. This is simply remarkable. This exceptional increase reflects the priorities we set ourselves in the same law: simplifying justice, making it more accessible and strengthening its independence. This is reflected in several areas. In particular, we welcome the creation of 7400 jobs over five years, with the arrival of 720 staff in 2022 in prisons, courts and judicial structures for the protection of young people. The programmes concerned also aim to increase the social protection of Ministry officials and to improve their commitment. In this regard, the tragic events that have recently taken place at the central house in Condé-sur-Sarthe must challenge us in pointing to the dangerous nature of the work of prison guards. I note that you are planning to spend $22 million in your category envelope on the upgrading of prison staff. This envelope will have to be accompanied by measures to improve their status. In addition, the funds allocated to the Justice Mission aim to consolidate community justice, within as limited a time frame as possible. This is an essential point in bringing justice closer to our fellow citizens, even though it is done on their behalf. Thus, on the one hand, the budget for legal aid is increased by 15%; On the other hand, assistance to victims will increase by 25 per cent, with initiatives such as the deployment of 3,000 serious telephones or 2,000 point-of-justice throughout the country. The 2022 budget also includes €205 million in IT investments, which are aimed at accelerating the digital transformation of judicial justice, dematerialising procedures and creating 30 jobs within the Ministry's General Secretariat. This modernization will not, however, be carried out at the expense of the physical means of justice, since a vast plan of judicial real estate programming and the renovation of our courthouses is planned in parallel. We also welcome the resources allocated to the implementation of the new juvenile criminal justice code. The judicial protection of young people will thus increase its resources by EUR 45 million. Beyond the figures, this is again a meaningful signal for our society: it is the future of our children and adolescents, often in distress or suffering, that could change. Finally, the 7.4 per cent increase in the prison budget will be allocated to the modernization of sentences and the prison system, in support of the provisions of the Act of 23 March 2019. On the one hand, these appropriations may be used for the implementation of alternative sentences to short sentences of imprisonment or pre-trial detention, such as public service work (TIG), probationary stay or external placement. On the other hand, they will contribute to the development of the 15000 prison places programme by 2027, which is based in particular on a large prison investment plan of EUR 100 million. I want to assure you of my full support, Minister, for the prison project that you are carrying near my home in Magnanville.
ParlaMint-FR_2021-10-25-O1029.u67	Thank you so much!
ParlaMint-FR_2021-10-25-O1029.u68	I am doing so not only because it will, through its economic benefits, reinvigorate this territory, but also because our responsibility imposes on us coherence between our national discourses and our local actions. Calling for the construction of thousands of prison places but preventing any project on its territory, as some are doing, is a duplicity that does not honor the elected officials who do it – they will know how to recognize themselves. So, Mr Hetzel, you should use your energy to convince some of your colleagues to accept such projects rather than invite us to vote against the budget!
ParlaMint-FR_2021-10-25-O1029.u69	But there are seats in my constituency!
ParlaMint-FR_2021-10-25-O1029.u70	The Democratic Movement (MODEM) and related democrats Group fully supports all these actions, which it considers positive for the sense of justice in our country and for the restoration of confidence in an institution indispensable for the proper functioning of our democracy. [[Mr. Vincent Bru applauds]] Still with the desire to raise the major issues for our society, we would like to talk about environmental justice. By Title VI of the Climate and Resilience Act of 22 August 2021, we have adopted new judicial mechanisms aimed at improving the protection of the environment, in particular through the creation of specialized judicial centres. All our attention must now be placed on the measures to be adopted to accompany these poles and to provide them with the means necessary for the successful fulfilment of their tasks.
ParlaMint-FR_2021-10-25-O1029.u71	Mrs Marietta Karamanli has the floor.
ParlaMint-FR_2021-10-25-O1029.u72	This 25 October is the European Day of Justice, the aim of which is to bring justice closer to the citizens: our debates will refer to it. The Justice mission of the 2022 Finance Bill brings together a number of programs that mark a positive evolution in the amount of money allocated to justice for the benefit of our fellow citizens. The payment appropriations for the six Mission programs change by a total of 6.8 per cent. However, the increase in appropriations must be relativised in the light of several elements. On the one hand, inflation in 2021 and 2022, estimated at 1.5% and 1.2% respectively, will mechanically exhaust part of the increase. On the other hand, the increases are significantly different from one programme to another. The Justice Justice program, which is of primary concern to us and represents 36% of the Mission's payment appropriations, is only 3.4% higher. The Correctional Service program, which accounts for 43 per cent of CPs, increases by 2.6 per cent in staff costs and by 16 per cent in other expenditures, including capital expenditures. My colleague Cécile Untermaier, on behalf of the Socialist and Related Group, stressed in his speech in the Committee on Laws the importance of strengthening community justice in the following three areas: the consolidation of legal aid; improving processing times; the development of the territorial grid. It also stressed the strengthening of the fight against domestic violence, with the need for alignment from the top, with the effort made by some of our neighbours, such as Spain. I would like to return to the very important question of the evolution of the judiciary, not only in terms of the actual number of posts created, but also in terms of the evolution of the activities carried out and international comparisons. The representative organisations of magistrates have repeatedly pointed out the situation of the French justice system, which is described as "poor", and have therefore made us consider the ill-treatment that the State has been inflicting on the users of the public service of justice, and therefore on our fellow citizens who use it, for several decades. With regard to the actual number of judicial posts created, the figure of 650 under this legislature corresponds to the difference between the actual strength of 2021 and those of 2017, which takes into account some of the job creations decided under the previous legislature, the duration of training entailing a postponement in the actual creation of the posts to be filled. On the other hand, the work of the magistrates would be impossible without the work of the registrars and their staff. The staff would have increased from 9332 to 10172 between 2018 and 2021. However, the clerks were not the only registrars, and if nearly fifty additional clerks were announced in 2022, the same year, in all categories, there would be about ten less registrars in the French courts. Can you tell us what's going on, Mr. Keeper of the Seals? Let me turn to the numbers reported to the activity. Our system lives under the injunction of permanent reform: that of the organisation of justice and that of the right to apply. To touch on the subject, I will mention the reform of criminal law, the reform of legal aid, the reform of civil procedure and the dematerialization of procedures, but there are others. The means do not really follow and, as it stands, only a repair of the glaring insufficiency is under way. As I suggested in an oral question without debate in February 2021, a precise assessment of the posts needed and the tools necessary to ensure justice could be made within the jurisdiction of each Court of Appeal, and a new type of management dialogue could be established at the level of each court, which would thus be the tool. I note that work to establish a benchmark for measuring needs is still under way without a specific date for their completion. I now turn to international comparisons. The most recent are 2018. According to the data compiled and compared by the European Commission for the Efficiency of Justice (CEPEJ), a Council of Europe body, our country has 10.9 judges and 3 prosecutors per 100,000 inhabitants, even though Belgium has 13.3 and 7.7 with a comparable wealth respectively – and the gap is even greater if we consider the median. To return to the draft budget for 2022 of the Justice mission, the evolution is generally positive, but you know that, Mr. keeper of seals, questions and concerns remain, which must lead us not to satisfy ourselves with the present, but to speed up the movement for justice with magistrates, registry staff and material means to the height of what our justice requires. [[The draftswoman for opinion applauds]] Hoping that the effort will be made and further amplified, the members of the Socialist and Related Group will support the proposed increases.
ParlaMint-FR_2021-10-25-O1029.u73	Mr Dimitri Houbron has the floor.
