ParlaMint-FR_2021-06-11-O1301.u1	The next item is the debate on the draft amending finance law for 2021 (No. 4215, 4227).
ParlaMint-FR_2021-06-11-O1301.u23	It's not new!
ParlaMint-FR_2021-06-11-O1301.u24	[[Mr. Eric Woerth applauds]] Nevertheless, Members of the Republican Group will vote for this PLFR, which is expected by the economic players, and hope, of course, that you will adopt a number of amendments which we propose and which we believe are essential.
ParlaMint-FR_2021-06-11-O1301.u25	Mr Jean-Noël Barrot has the floor.
ParlaMint-FR_2021-06-11-O1301.u26	Day after day, we are emerging from a health, economic and social crisis that seized our country, like the rest of the world, a little over a year ago. It is an opportunity to recall several successes and to greet those who were the artisans. This is first of all a success in health, which we owe to the extraordinary commitment of our caregivers, who have tested and now vaccinate, both massively and free of charge. Soon, half of the French will have received their first dose of vaccine. Reactor doctors, city doctors, nurses, ambulance attendants, stretchers, life attendants, firefighters and so many others have contributed to this effort, while Segur's agreements will strengthen and strengthen our health system, that the rest of the world envy us. It is also a success in economics, thanks to your mobilization, Minister, Minister Delegate, and your services, from Bercy's offices to the DDETS – Directorate of Development and Employment, Work and Solidarity. As part of the mission on the territorial economic rebound that you entrusted to me, I saw with my eyes and then attest to the effectiveness of the support measures and France's revival. At Safran Nacelles in Le Havre, or at Continental in Sarreguemines, partial activity and long-term partial activity have kept skills that are usually so difficult to find. At Michelin in Saint-Doulchard, near Vierzon, at Pequiniet in Morteau, or at Corsica Comptoir in the Corsican Eastern Plain, calls for projects launched by France's relaunch allow us to accelerate investment, maintain employment in the territories and relocate production. In Villeneuve-sur-Lot, or in Pamiers, in Ariège, the wasteland fund, which you have usefully reloaded, Minister and Deputy Minister, will allow to requalify and recapture some wasteland, which are all markers of the industrial decline of certain territories of our country.You said, Minister, yes, we will gradually emerge from the "no matter what it costs". We're going to move from ready-to-wear to tailor-made. This is the purpose of this draft law on amending finance: to accompany the rebound, while supporting the sectors and French in difficulty, with 15 billion euros dedicated to emergency measures, 3 billion euros to the new transitional fund which comes along with the remarkable scheme that you have just announced relating to the treatment of the difficulties of small businesses, 700 million for emergency accommodation, 100 million for young people and access to sport, and 400 million for aid for farmers. The text also contains strong measures, which the Members of the Democratic Movement (MODEM) Group and related democrats have been defending for more than a year, such as the postponement of deficits. We will make a number of proposals again this year, which we hope they will convince you. Together with Jean-Paul Mattei, we will propose to facilitate changes in activity and to apply the levy at source to certain income from capital, in particular property income. With Mohamed Laqhila, we will propose to go further in the area of VAT self-liquidation, in order to facilitate the lives of businesses. With Christophe Jerretie, we will propose to facilitate the mobilization of precautionary savings for farmers. And with Jimmy Pahun, we'll make pole proposals. We also believe that it is necessary to activate the savings of the French, which has accumulated in accounts with a view, so that the latter can finance the companies of France and thus enable them to innovate and invest. One of the great successes of the PACTE law – the law on business growth and transformation – is the retirement savings plan, which has become the preferred retirement savings product of the French.
ParlaMint-FR_2021-06-11-O1301.u27	That's right!
ParlaMint-FR_2021-06-11-O1301.u28	We will propose to give him a little boost to make him even more attractive. On the other hand, it said by others before me in this rostrum, our group was, is, and will be attentive to the recovery of public finances. The EUR 20 billion in covid-19 debt, we will repay them, first of all thanks to the return of growth, for which the recovery plan is a major tool – I have already said so; Then thanks to the mobilization of the French, who immunize themselves and participate in this effort through their consumption and savings. For the second consecutive year, France is Europe's most attractive country for foreign investment. In the same spirit as the one that has been leading us since 2017, it is therefore necessary to continue the reforms – which bear fruit – which must also concern the laws of finance. In this respect, multi-annual budgetary programming, which will be submitted to us in the context of a proposal for an organic law, is a good thing that we very much welcome. Finally, as far as the deficit and debt are concerned, the fight against tax fraud and tax evasion must continue. In this area, the agreement you reached in the G7, the President of the Republic and yourself, Minister, is absolutely historic. [[Applause on the benches of the Dem group and on some benches of the LaREM group]] For all these reasons, and in a constructive spirit, the members of the Dem Group will vote for this amending finance bill.
ParlaMint-FR_2021-06-11-O1301.u29	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2021-06-11-O1301.u30	The correction of a budget is an important moment: it is even a moment of truth, a moment that tells us a lot about your ability to anticipate the expected cost of the measures necessary to safeguard our businesses and support families and associations. It is a time that also speaks volumes about your ability to anticipate economic recovery and estimate the needs to ensure a smooth transition between emergency measures and accompanying recovery measures. It is a time that speaks volumes about your ability, or willingness, to correct social or territorial injustices. Finally, it is a time that says a lot about your will – or stubbornness – to keep, rather than correct, your ultraliberal political line.
ParlaMint-FR_2021-06-11-O1301.u31	Four hundred billion is ultraliberal?
ParlaMint-FR_2021-06-11-O1301.u32	Four hundred billion euros, it's expensive for ultraliberalism!
ParlaMint-FR_2021-06-11-O1301.u33	Bruno Reagan!
ParlaMint-FR_2021-06-11-O1301.u34	And to address this moment of such importance, you impose on us the month of June. What a timing! This happens when the Finance Committee is largely occupied by the spring of the evaluation of public policies and by the examination of the draft bill for the regulation of the budget and approval of the accounts for the year 2020, when the general rapporteur of the budget is fishing – in the votes of course –...
ParlaMint-FR_2021-06-11-O1301.u35	Ah, I was scared!
ParlaMint-FR_2021-06-11-O1301.u36	...and when the country is in an electoral period and the Government is on the run.
ParlaMint-FR_2021-06-11-O1301.u37	I'd have done well!
ParlaMint-FR_2021-06-11-O1301.u38	Anyway, it's a very bad time. It's not very serious: it's even irresponsible. There is every reason to believe that the debates are determined according to the electoral issues. You are announcing good intentions for the departmental and regional elections, but in reality these do not take shape in this text. In the end, your opportunism is to wait for the budget for 2022, so that the aid eventually arrives during the presidential campaign – as if by chance. You are obsessed with electoral issues and, as many opposition elected officials point out, you are locked in dogmatism that makes you blind and plunges our country into inequity and injustice. To bring you back to your senses, the Socialist and Related Group will defend several amendments, dealing with three essential points. The first aims to generate new revenues to limit our debt. Indeed, the debt situation is such that the solvency of France will tomorrow be a major issue. As you know, growth will not do everything. We will not allow you to be engulfed in the near future in austerity, synonymous with a drastic fall in spending, with structural reforms on the backs of the most fragile, namely the unemployed and pensioners. We need these revenues to make it easier to raise the wages of home helpers, launch the old age plan, or even further strengthen the hospital – the subjects are not lacking. We offer you the exceptional contribution of some – the richest –, those who have best emerged from the crisis. We ask you to re-establish the ISF – a solidarity tax on wealth – whose removal has led to the loss of €3.2 billion in revenue. This amount would make it possible to distribute 1000 euros to 3.2 million pensioners with modest pensions, i.e. a sort of thirteenth month. You see, at the end of the day, it takes little to be happy! We also ask you to introduce an additional income tax tranche and remove the flat tax. We ask you to increase the digital services tax – the GAFA tax. These big digital players have benefited greatly from the crisis, but the tax has finally brought back only half of what was planned: go and understand something! Similarly, we ask you to increase the tax on financial transactions. Our second series of amendments aims to make your budget waterproof, so as to close "holes in the snowshoe", as we like to say. First of all, these amendments concern young people, about whom we have constantly alerted you. In the end, it is a right to employment and training that we owe to them. Everything must be done in that direction, failing which we owe them compensation. Because while you're lying on semantics, so you don't have to admit that we're right, the kids are standing in line in front of the food banks. I hope you hear the demands we make on their behalf. Also in response to the social emergency, we ask you to release EUR 100 million for emergency shelter for victims of domestic and family violence: EUR 50 million for minors and EUR 50 million for victims of sexual and gender-based violence. Finally, our third set of amendments will deal with state aid. All CAC40 companies received aid during the crisis. If it was necessary to prevent them from crashing, so much the better! Except that they announced 62,500 job cuts worldwide, half of them in France, while showing profits for thirty-four of them – even more than 2 billion euros for ten of them. However, 42 billion euros of dividends were distributed during the crisis and 51 billion euros are expected to be distributed this year. Total, for example, removes 2,300 items, but pays 7 billion euros to its shareholders. Of course, capital must be paid, but not with public money.
ParlaMint-FR_2021-06-11-O1301.u39	We must conclude, Mr. Member of Parliament.
ParlaMint-FR_2021-06-11-O1301.u40	If the expenditure on young people is to take place under conditions, then we must admit that social and ecological compensation is required for public aid to larger companies. That is the minimum that can be desired for a more just and equitable society, without slowing down the necessary growth.
ParlaMint-FR_2021-06-11-O1301.u41	Mrs Lise Magnier has the floor.
ParlaMint-FR_2021-06-11-O1301.u42	This amending finance bill once again demonstrates, if necessary, the violence of the crisis not only in our economy, but also in our public finances. These have been mobilized, probably as never before in modern history, to cushion the impact of the crisis on our citizens, local authorities and businesses. This situation and this bill lead us to two observations. The first concerns the state's response throughout the crisis. I believe that this has been recognised quite unanimously: France has quickly taken a series of effective support measures for economic actors. The objective was twofold: first, to safeguard the jobs of the French, because the support of the companies is intended to prevent our citizens from experiencing unemployment; Then, and perhaps we have not said enough, to accompany the efforts of the superheroes of this country, those who, in the first or second line, led the fight against this epidemic. I am thinking of caregivers and, more broadly, all those who have mobilized. We all know, personally, one or more of these superheroes and it is a question of telling them that their efforts to save lives and that the energy they have devoted to them have not been in vain and that the State also ensured that the other sectors affected by this crisis were preserved. This PLFR is of particular importance as it is the tool to support the exit from the crisis. We cannot make any mistakes on this phase as important as the previous one, because a poorly controlled or too brutal exit could destroy the colossal work that has been done for more than a year to keep our economy afloat. It is therefore necessary to replenish the support mechanisms which have proved their worth, whether they are the solidarity fund, the partial activity or the exemption from contributions. These additional appropriations, amounting to EUR 15.5 billion, will allow suitable support until the end of the summer, or even later. However, sectoral accompaniment, sewn in line with the real constraints of the sectors most affected and whose activity is seasonal or requires time for recovery, must be given priority. Let's try to avoid the holes in the snowshoe right now. I would add that the Government should pay attention to the ultramarine territories, so that they can benefit from an appropriate timetable. Among the other emergency measures contained in this PLFR, the Action Together Group welcomes the extension of the PGE scheme until the end of the year, the welcome relaxation of the mechanism for the carry-back of profits – the carry-back – and the introduction of a mechanism for compensating the losses of the municipal block authorities. The renewal of the exceptional purchasing power premium for the third consecutive year is also noteworthy. This premium, which is valued by employers and employees, is a very good tool for recognizing and valuing work, as well as a boost to purchasing power. In our view, it is not just a crisis response, and we will also propose, by way of amendment, that employers continue to be able to pay it to their employees. In addition to these specific measures to respond to the crisis, there are also redeployments of funds within the "Recovery Plan" mission, which shows that disbursement is proceeding quickly and effectively. Finally, measures to support the most affected sectors and public sectors will make it possible to finance, among other things, emergency accommodation, sport passes or the first aid for the agricultural sector. The list of all these support measures and the billions of euros they involve brings us to our second observation, on the state of our public finances. The figures give the turn: the government deficit and debt will reach respectively 9.4 and 117.2 % of GDP, while the government's forecast deficit is € 219 billion. Of course, we have supported the strategy to do everything possible to protect the French and the economy "no matter what" but we are also fully aware that we will have to establish, more than quickly, the strategy necessary to remedy this situation. Minister, Minister Delegate, perhaps you have already made assumptions: know that we are ready to work with you. The Group of the European People's Party will vote, you will understand, in favour of this PLFR 2021.
ParlaMint-FR_2021-06-11-O1301.u43	Mr Philippe Dunoyer has the floor.
ParlaMint-FR_2021-06-11-O1301.u44	While the covid-19 pandemic has squandered entire parts of our economy with many job cuts and bankruptcies, some of which may still be coming, this PLFR is part of a stimulus that the Government has wanted to drive in the country while moving towards a prudent path of growth. This PLFR intervenes in a context of maximum protection of our economic fabric and of return to progressive but sustained normal. We welcomed the additional EUR 15.5 billion that will abound the exceptional support arrangements until the end of August. It was difficult, if not impossible, to do otherwise, except by ignoring the reality that still affects entire parts of our economy. This budget, which presents itself as an exit from the health, economic and social emergency regime, wishes to begin to mark the end of the "no matter what it costs", even if it actually continues to increase it. We regret the lack of clarity between the recovery measures and those urgently needed. Throughout this challenging year, the IDU and independent group has endeavoured to support our country's businesses by making proposals to the Government: abolition of the privileges of public creditors, introduction of a reduced rate of 5.5% of VAT in the hotel sector, for example – ideas that we will once again defend, for some of them, in the context of the review of this PLFR. Of course, we can only strongly support the new social measures and the effort to extend the accompanying arrangements for businesses, which have been particularly difficult in a year. It should be remembered, however, that with the €7.2 billion of appropriations added at the beginning of May during the pre-decree and the $15.5 billion released by this amending budget, the cost of emergency measures reached €43.1 billion in 2021: exceptional support to deal with an unprecedented situation that has marked this legislature indelibly. We welcome the €3.4 billion increase in the solidarity fund's appropriations, the new €4 billion exemption from social contributions and the extension of the partial activity scheme to €6.4 billion. Given the uncertainty of the current context, I would like to welcome the new appropriations, in particular the EUR 82 million in exceptional aid for New Caledonia. This aid is the result of a long process initiated from the beginning of the health crisis in March 2020. On 14 April 2020, Philippe Gomès and I asked the Prime Minister that the State undertake to transform the cash loans granted to New Caledonia which it guarantees into exceptional financial assistance. Last March, we also stressed to the Prime Minister the need for national solidarity towards the territory, both economically and in terms of the vaccination strategy. We are pleased that the State has been able, as is necessary under exceptional circumstances, to go beyond the question of the strict division of powers, particularly in New Caledonia, and to make national solidarity, with this exceptional assistance of 10 billion MFF, not a mere incantation but a concrete reality; Thank the Government for that! There are, however, some emergency measures in this PLFR which are inadequately adapted to the realities of the overseas countries and territories: I will defend amendments which aim to take better account of the additional constraints facing these territories. We can only be astonished by the gross cancellation of €20 million of commitment authorisations and payment appropriations from the Security Mission. This decline is in contradiction with the objective, shared across the board, of combating crime and terrorism. We have tabled two appeal amendments on this subject. As the High Council for Public Finance rightly pointed out in its opinion, the deterioration of public finances is worrying, since the deficit is expected to grow slightly more than the already high level of 9% planned so far. We are convinced that the issue of debt remains one of the major issues in the coming years, not to say the next few months. It will be necessary to face more concretely this sword of Damocles hanged above our heads. In addition to the establishment of the Arthuis Commission, there are a few questions about the Government's debt reduction strategy, the possibility of keeping the promise not to increase taxes and the timing of a strategic plan to reduce or sustain – to resume your term, Minister – public spending, which will have to be based on a hunting for waste and bureaucracy. In spite of these few reservations, the IDU and independent group will, you will understand, support the adoption of this PLFR.
ParlaMint-FR_2021-06-11-O1301.u45	Mr Michel Castellani has the floor.
ParlaMint-FR_2021-06-11-O1301.u46	In the face of this crisis that is beyond all of us, the Government has decided to maintain its financial commitment, which is positive. Indeed, there can be no question of abandoning economic actors at a time when the recovery we are waiting for begins. We are also aware of the difficulty of adapting aid according to the vitality of the sectors and the variations in growth. We therefore agree with the decision to reallocate appropriations to certain essential arrangements, in particular the Solidarity Fund. Looking at the architecture of this collective budget, we see that the appropriations finance the emergency more than the transition and the recovery, since you grant €9.8 billion to the emergency plan alone. Of the EUR 100 billion, 40% must come from the European Union, but aid is still waiting. It took a full year to validate the EU's €750 billion plan. Mr Minister, we all hope that European money will arrive as soon as possible; In committee, you told us that we should quickly receive 5 billion euros: why such a small amount? The start-up of the recovery plan remains affected by the slow pace in Europe. As we have already mentioned, the Libertés et Territoires Group regrets that aid does not adapt – or not adapt – to local specificities. Our economic fabric is heterogeneous and the current response is too uniform: why not rely more on communities, especially regions? My constituency offers a compelling example of this: Corsica, the territory most affected by the crisis, will be least helped by the recovery plan. The impact of the EUR 20 billion reduction in production taxes will be very limited: only a few companies will receive aid.
ParlaMint-FR_2021-06-11-O1301.u47	But we pay taxes!
ParlaMint-FR_2021-06-11-O1301.u48	This is the typical example of a measure forged in a global logic, uniform and far from local needs. The transition fund you are setting up is a necessity: why not decline it territorially? We will propose an adaptation of the devices to Corsica, in order to optimize the impact and prevent the undue slippages that we regret. All schemes must promote business creation, employment and not speculation. In addition, there are some credit movements that are perplexing: EUR 4 billion of the recovery plan has been used to finance the emergency and we are being dragged into a waltz of more than EUR 16 billion, which leaves only a short time to build another plan. The High Council for Public Finance is already alerting us: public spending exceeds EUR 1470 billion in 2021, an increase of 66 billion compared to 2020. Debt exceeds 117 per cent of GDP, surpassing the 2008 record. In 2020, negative rates supported this increase, but an increase in rates, which is not excluded, would expose us to a brutal shock. The question is recurrent: who will pay for the addition of the budget open bar? You always answer with the formula "growth will pay": we all want to believe it, but will that be enough? Since 2020, many large multinationals have made unprecedented profits: how would it be indecent to make use of them? Why not take up the proposals of the International Monetary Fund (IMF) and the OECD in this regard? You want to avoid any tax increases, but you're going to extend the contribution for social debt repayment until 2042, which is an implicit tax increase. We rest the question of the difficult choices raised by the President of the Republic; Minister, we know you are in favour of a pension reform before 2022: will it come about? We regret that, as in previous finance bills, the social component remains the weakest: I want to welcome the commitment to emergency accommodation, but other promises are slow to materialize. I will mention only one example, that of the food cheque: I regret that our proposal to deploy it without delay was considered inadmissible. It remains to be hoped that the growth forecasts on which your policy is based will be realized in practice. I suppose that wish is unanimous.
ParlaMint-FR_2021-06-11-O1301.u49	Mr François Ruffin has the floor.
ParlaMint-FR_2021-06-11-O1301.u50	[[Exclaims on the banks of the LaREM Group]] Finally! Finally, a good news: the carry back! In fact, I should have been wary of that English word. This text allocates EUR 500 million to the carry back; I didn't know what it was: I thought "carry" means "carrying" and "back" means "back", so that's a measure for those who put us on their backs at the heart of the crisis.
ParlaMint-FR_2021-06-11-O1301.u51	Excellent!
ParlaMint-FR_2021-06-11-O1301.u52	...– the first of chores, the essential workers. They have been waiting in vain for a year: indeed, it has been a year since the President of the Republic said: "We must remember [...] that our country [...] relies entirely on women and men whom our economies recognize and pay so badly. »
ParlaMint-FR_2021-06-11-O1301.u53	What about the Segur?
ParlaMint-FR_2021-06-11-O1301.u54	No, no, no, no, no, no, no, no, Carry back is actually a tax gift. If a company has a year of deficit, the tax authorities allow it to carry it over to the previous year, thus reducing the profit and recovering money. Isn't that clear? Let's give examples! Total claimed €7 billion in losses in 2020, probably because people rolled less: this did not prevent the group from paying the same amount of €7 billion in dividends to its shareholders this spring, as much as last year and the penultimate one. We feel sorry for them, so we're planning on carrying back to relieve their corporate taxes. The carry back will help other unfortunate ones: Engie, who paid 1 billion euros in dividends, the Société Générale, who distributed 467 million, Unibail, Renault, etc. I don't want to tire you with that list of miseries. This pledge to our poor will cost 500 million euros, or about 14 euros per French household. This morning, each French household pays 14 euros to Total, Engie and the others. The carry back is in addition to the tens of billions of euros of tax credit for competitiveness and employment, the exemption from charges, the reduction of productive taxes, etc. All this is sprinkled blindly without conditions, counterparties or guarantees. It's really pure generosity! You will tell me that "today, for 500 million, you have nothing" because of the cost of living, notably by the euro. What could this droplet be for? Last Thursday, the accompanying students of students with disabilities (AESH) were on strike: I met about 20 of them in Amiens, who explained to me their misfortunes and, above all, the weakness of their pay – from 700 to 800 euros at best, therefore under the minimum wage of national education. Valérie told me that she accompanied her student to the canteen at lunchtime, but that she did not have the means to eat, the cost of 3.70 euros of the meal being too high for her. I have done a tabletop calculation: if we increase the monthly salary of 400 euros of the AESH 100,000 so that they can receive more than the SMIC, it would cost 480 million euros per year. We could, you could, do this for them this morning: transform the lives of 100,000 women, get them out of poverty and fully recognize their profession for about 500 million euros. But, for them, it's been dragging for years and it's going to go on, as we're going to vote for the carrier back at the stand. [[Exclaims on the banks of the LaREM Group]] The situation is the same for social auxiliaries (AVS): during the health crisis, they continued, without masks or gloves, to visit the elderly: they never abandoned them, while they received wages of misery, lower than the SMIC, and went through hard work. Last autumn, we voted for a EUR 200 million envelope for them: it was the ola in the Chamber, we applauded and we kissed each other. Hallelujah! This represented 25 euros per auxiliary, which has not yet been paid. Finally, only €56 million will be allocated to AVS income; For the following years, we will have to deal with the departments, the associations and the social security: for them, it is immediately difficult to find the circles. Are we going to do the ola for the carry back? Are we going to applaud each other and kiss each other? Probably not, because it's the routine here to give money to firms. Last example: this Wednesday, in the Committee on Social Affairs, as part of the examination of the bill on various social justice measures, we discussed a reform of the AAH – the allowance for disabled adults – so that it guarantees the disabled person a real autonomy, that its payment ceases to depend on the income level of the spouse, that the love stories cease to break down on the decline of income, on reproaches, of the "You live on my hook! " Everyone agreed – the Senate, the right, the IDU and independent groups, Liberties and territories, Socialists and related parties, Democratic and Republican Left, France unsuspecting. Everyone, except the La République group on the move. The summary statement of the amendment which prevented such a reform began as follows: "Beyond its very high cost of EUR 730 million [...]". But it's the same order of magnitude as the carry back, of which no one will find the "very important" cost on these benches! [[Exclaims on the banks of the LaREM Group]] [[Applause on the benches of the FI and SOC groups]] Anyway, your priorities haven't changed, it's always the money before people. But who was on the front line last year? The managers of Total, the shareholders of Engie?
ParlaMint-FR_2021-06-11-O1301.u55	Ladies and gentlemen, I invite you to respect the speakers, regardless of their point of view. Mr Stéphane Little has the floor.
ParlaMint-FR_2021-06-11-O1301.u56	This first amending finance bill for 2021 could have been called "PLFR 5", as it is in keeping with the measures taken since the beginning of the crisis. The Group of the Democratic and Republican Left will oppose it, as it opposed the previous drafts of the amending finance law, less for the measures it contains than for those it does not contain. This PLFR is similar to the previous ones: you are once again abounding with the appropriations of the programmes aimed at supporting companies, among others, those who finance the solidarity fund and the partial activity. You are fine-tuning certain schemes and deploying new ones that will make it possible to cancel a portion of the debt of companies in financial difficulty, albeit viable. Yes, we believe that business support is essential. We have always said so, but we regret that it has not been more targeted, that it has not been made subject to social, ecological and, at times, simply ethical requirements. It is difficult for many French to imagine that companies can at the same time benefit from part of state aid, apply social plans and distribute dividends. We regret that you insist on refusing to give conditionality to state aid. However, these aids have had merit in showing that public accounting does not necessarily take precedence over political will and that, where the situation so requires, constraints, which are usually presented as insurmountable, can be lifted in order to act effectively and achieve results. The famous "whatever it costs" and your policy are variable geometry. How can we explain, if not, that you have not introduced a social policy of equal magnitude for households, sometimes in very difficult situations? Leaving close to 1 million more people below the poverty line is a political choice that increases inequality and poverty in our country. However, we have alerted you to the difficulties caused by the loss of 14% of income related to partial unemployment, for low wages. We have alerted you to the situation of many employees who rely not only on their basic wages for living, but also on overtime, extras and tips and who, with partial unemployment, sometimes lose almost 50% of their earnings. We also alerted you about the situation of precarious students, often forced to perform small jobs and, therefore, violently affected by their disappearance. As health constraints gradually rise and economic activity appears to be returning, the social crisis is far from over. With the 763 social plans of 2020, one can fear that the wave of redundancies will continue in 2021, with the fault, as I said, in part returning to the non-conditionality of the aid. While it is more necessary than ever to protect our most fragile citizens, you do not anticipate the fourth wave, which will be social. Yet the future is not dark for all. When some fear that they will not be able to pay their rent or their bills, the billionaires' wealth explodes and the CAC40 allows itself a record distribution of dividends, of 51 billion euros. It is indecent, as you are, you who always give up making use of these riches. However, we had made many proposals to that effect. Even though we all know that no tax, no exceptional contribution will fully cover the cost of the crisis, committing ourselves to a proportionate contribution by all to the national solidarity effort is a moral and political requirement. Ladies and gentlemen, if we are gradually emerging from a major health crisis, the social crisis is still so acute. However, this amending finance bill does not attempt to improve our response on this point. Unless our new warning leads you to a revelation and a radical paradigm shift, during the examination of the text, we will therefore oppose it.
ParlaMint-FR_2021-06-11-O1301.u57	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2021-06-11-O1301.u58	The draft amending finance law for 2021 shows the need for national representation, in the continuity of its past action, to invest in organizing the support of the State and the public authorities during this extraordinary crisis. We Members must respond to our citizens and economic actors. We therefore take note of the maintenance of public expenditure aimed at maintaining activity in our country. We have all supported partial unemployment aid, the solidarity fund, or the cancellation of the tax and social charges for the most severely affected TPEs, these necessary measures. Yes, we must provide financial resources to support our economy and our fellow citizens. However, the "whatever it costs" is beginning to be expensive for our public finances and the money is not necessarily paid out to the right places. We cannot, in the aftermath of a vote that has brought so high an environmental emergency, remain so timid in terms of the eco-conditionality of aid granted to large companies, or even absolutely inactive when it comes to encouraging large fortunes to participate in the national effort, in the time of the reconstruction of our economy. We have therefore put proposals on the table: to assimilate assets included in the current IFI base – property wealth tax – liquidity and life insurance contracts not invested in units of account, i.e. in shares of companies; Regulating the mother-daughter scheme, a particular source of erosion of the SI taxable bases for groups with subsidiaries outside the European Union; modulate the mechanism of the tax on surplus provision of damage insurance undertakings; modulate the Copé niche, in order to avoid the increase of its cost; increase the tax share of the PFU – a single flat-rate levy – by three points for dividends and transfers of securities, therefore for income from capital; increase the exceptional contribution of very high incomes; Finally, to establish a demanding follow-up, with clearly defined ecological counterparts, for all the aid and subsidy schemes established by the State. With these few measures, let us take the opportunity to reorient aid and green our political and financial action. The collective Ecology democracy solidarity proposes to do more and better: I hope that our debates will convince you to follow this direction. In the case of debt, one cannot simply commit the State at record levels, without intervening on fiscal optimisation, disproportionate. There are still far too many opportunities to escape from the IS for some large companies, but also for sectors that have benefited mechanically from the crisis, such as finance and, more specifically, insurance. As such, I think that the carry back system, which has been deplorable in this bill, is quite worrying: we will have to go back to its encryption. On the other hand, we cannot let the most affluent taxes go: it is an issue of tax and social justice. Of course, the G7 agreement is a first step. Our amendments respond to a need for fairness, without damaging competitiveness, contrary to what the rapporteur-general claims, during his various public statements. Moreover, like 2020, 2021 will be a black year for young people, if we do not exceptionally extend many rights to them. I hope that, from now on, much stronger structural measures will be drawn up urgently to support them, especially when they are in a precarious situation. Our amendments aim, moreover, to reduce the niches that only very large groups, not SMEs, benefit from and which distort and increase unfair competition, to the detriment of companies that create jobs in France. Some of the proposals of the Citizen's Climate Convention would also deserve to be taken up. I have therefore again tabled an amendment calling on large companies to make a full carbon balance if they wish to be supported by the State. You will understand that I am in favour of the measures of this amending finance bill for 2021, while wishing to enrich it with massive measures of social justice, in accordance with the proposals that I have been supporting for months, as well as revenue measures, so that everyone contributes to the national effort to the extent of his capacity. While it is true that State investment has helped to alleviate a large number of enterprises during this economic crisis, thanks to partial unemployment and State-guaranteed loans, gaps persist. I regret to tell you that the deployment and effectiveness of aid during this pandemic for young people and the most vulnerable must be re-examined. And what cynicism! Those who refuse these aids at the national level reserve announcements for their campaign in the regional elections. [[Applause on the benches of the FI group]] As speeches become increasingly violent, there is an urgent need for the Government to listen to the opposition's proposals, in order to appease a society in spite of which a government with a real plan for social progress is waiting.
ParlaMint-FR_2021-06-11-O1301.u59	The general discussion is closed.
ParlaMint-FR_2021-06-11-O1301.u60	I now call the clauses of the Financial Amendment Bill for 2021.
ParlaMint-FR_2021-06-11-O1301.u61	Mr Charles de Courson's amendment No 129 is being defended.
ParlaMint-FR_2021-06-11-O1301.u62	We are addressing the consideration of the first part of the amending finance bill for 2021.
ParlaMint-FR_2021-06-11-O1301.u63	I call Mr Michel Castellani to support Amendment No. 130, which contains an additional Rule before Rule 1.
ParlaMint-FR_2021-06-11-O1301.u64	This amendment, proposed by Charles de Courson, aims to make the title of the first part more realistic. In view of the deteriorating state of public finances, "financial balance" is only an illusion beyond reach for the state. In view of the Government's proposals, the additional appropriations and the total lack of control of expenditure, it is preferable to call the first part: "General conditions of financial imbalance".
ParlaMint-FR_2021-06-11-O1301.u65	What is the opinion of the committee?
ParlaMint-FR_2021-06-11-O1301.u66	We will have ample opportunity to talk about the future of the balance of our public finances when we consider the proposal for an organic law that the Chairman of the Committee on Finance and I will table in July. So I'll give you an appointment on this point in a few weeks. Unfavorable opinion.
ParlaMint-FR_2021-06-11-O1301.u67	I have before me three amendments, Nos 413, 447 and 317, which may be submitted to a joint debate. Amendments Nos 413 and 447 are identical. The President of the Committee on Finance has the floor to support Amendment No. 413.
ParlaMint-FR_2021-06-11-O1301.u68	It aims to increase the maximum value of the restaurant ticket from 11 euros to 15 euros, the cost of such an increase being shared between the employer and the employees. This is a measure to support the revival of the catering sector. It is also quite natural, since the coverage share of restaurant tickets is increasingly low in the field of food. In addition, it complements the increase in the ceiling for the payment of restaurant tickets from 19 euros to 38 euros in restaurants – not supermarkets – decided by the Government. If the employer or employees do not want such an increase in the value of the restaurant ticket, they could negotiate a lower value. This would in any case be a good stimulus.
ParlaMint-FR_2021-06-11-O1301.u69	I call Mrs Emmanuelle Ménard to support Amendment No. 447.
ParlaMint-FR_2021-06-11-O1301.u70	As part of the reopening of restaurants, the restaurant title can be used as a real stimulus mechanism, in order to increase the purchasing power of employees and to support the food and food sectors. Some, as you know, need it, the situations are very disparate in this sector. The maximum value of the restaurant title would be raised to EUR 15 and the exemption ceiling would increase from EUR 5.55 to EUR 7.50. This is a very simple measure to apply, consensual and quite virtuous, for both the beneficiary employees and the funders of restaurant tickets and, of course, for the 200000 restorers concerned. If you remain reserved for this measure, you should be aware that similar mechanisms have already been established outside our borders, in Austria, Romania or Bulgaria, to deal with the consequences of the health crisis.
ParlaMint-FR_2021-06-11-O1301.u71	I call Mr Michel Castellani to support Amendment No. 317.
ParlaMint-FR_2021-06-11-O1301.u72	Proposed by Charles de Courson, it aims to increase the maximum value of the exemption ceiling from 5.55 euros to 7.50 euros. The restaurant title is the preferred social advantage of the French. Raising this value to 7.50 euros offers the possibility of increasing the restaurant title up to the symbolic sum of 15 euros, in order to raise the purchasing power of the employee. The aim of the amendment is to open up this scope of negotiation for companies who wish to do so.
