ParlaMint-FR_2021-06-09-O1296.u1	The next item is the continuation of the discussion of the bioethics bill (No. 3833, 4222).
ParlaMint-FR_2021-06-09-O1296.u27	Identical amendments Nos 1359 by Mr Marc Le Fur, 1548 by Mr Julien Aubert and 1567 by Mrs Josiane Corneloup are defended. Mrs Coralie Dubost, rapporteur of the Special Committee, has the floor to give the committee's opinion on these deletion amendments.
ParlaMint-FR_2021-06-09-O1296.u28	Mrs. Blin, don't be offended by an eyebrow movement! It may be a disagreement, but it shows above all that I am listening to you. In any case, you may observe it again in the next few hours. Focusing on words and their meaning is perhaps more important. The amendments seek to reverse the re-establishment, in committee, of filiation for children from LDCs by heterosexual, homosexual or single-female couples. You prefer the solution of the Senate's adoption. We maintain that the right solution is the one proposed by the Government – it has undergone some changes since then but has not changed in nature – that of Title VII of Book I of the Civil Code and of filiation by birth. There is no hierarchy between filiations, whether they fall under Title VII – begetting – or Title VIII – adoption – but their meaning varies.
ParlaMint-FR_2021-06-09-O1296.u29	That's right!
ParlaMint-FR_2021-06-09-O1296.u30	As you know, filiation by adoption means that a first filiation has been broken, for one reason or another.
ParlaMint-FR_2021-06-09-O1296.u31	Not necessarily!
ParlaMint-FR_2021-06-09-O1296.u32	A second filiation is then established for the child. A breakdown occurred at least with the mother who gave birth, Mrs. Genevard.
ParlaMint-FR_2021-06-09-O1296.u33	No!
ParlaMint-FR_2021-06-09-O1296.u34	At least listen to my words if you want to make sense, Mrs. Blin!
ParlaMint-FR_2021-06-09-O1296.u35	What you're saying is wrong!
ParlaMint-FR_2021-06-09-O1296.u36	The filiation within the meaning of Title VII is based on the birth, which is the operative event that brought the child into the world.
ParlaMint-FR_2021-06-09-O1296.u37	Yeah!
ParlaMint-FR_2021-06-09-O1296.u38	Rest assured: the cause of the child's coming into the world can always be a love embrace under the duvet: there is no prohibition, it will not disappear, it will remain the responsibility of gentlemen and ladies. Biological birthing is not called into question; It only happens that scientific progress now makes it possible to produce something else. The AMP first benefited heterosexual couples and will now be open to homosexual couples: it allows children to come to the world in a way other than under the duvet. Does that make their birth less important? Does that make parents less responsible? Not at all! They deserve this filiation, which can obviously be established, since it is obvious that the parents who have engaged in an MPA are the cause of the child's coming into the world. [[Exclaims on the benches of the LR group]] As for your concern about the erasure of the father, I told you in a special commission: pay attention! By saying this, you harm men engaged in a heteroparental AMP. Just as there is no erasure of the father in a heteroparental AMP there is no one in a homoparental AMP. I don't think men are upset not to be part of a lesbian couple, let's say things as they are.
ParlaMint-FR_2021-06-09-O1296.u39	It's absurd as a reasoning, answer the question!
ParlaMint-FR_2021-06-09-O1296.u40	That's what we do!
ParlaMint-FR_2021-06-09-O1296.u41	A lesbian couple can become a parent through an MPA and get a parentage: this is the progress promoted by the majority and defended by the political groups that will vote for the adoption of this article. We are committed to this progress. We disagree with your assertion that this filiation would be based on a social theory – we have heard, like you, some speeches from another part of the House. This argument is not valid because the so-called natural or carnal biological procreation will continue to engage and empower their perpetrators: filiations will always be established in this way and the rights that exist to date for the benefit of children will be maintained. For heteroparental couples, whether the begetting is biological or MPA, absolutely nothing is changed and what existed before will last. We simply plan to establish a parentage for a child born from an AMP undertaken by a couple of women. In this connection, Mr. Brindeau, I am surprised to hear you say that these provisions should have been included in another text: the consequences of the opening of the LDC to women's couples had to be taken into account when it comes to filiation! We would have harmed the children and we would have been irresponsible if we had followed your recommendation! However, we do not go further. The so-called artisanal LDCs are not recognized, for example, or any other form of filiation. We remain within the scope of the text and are only drawing the consequences of the opening of the MPA to women's couples and single women. I am therefore very opposed to these amendments to delete Article 4. We wish to maintain the mechanism developed with the Government.
ParlaMint-FR_2021-06-09-O1296.u42	Mr. Custody of the Seals, Minister of Justice, has the floor to give the Government's opinion.
ParlaMint-FR_2021-06-09-O1296.u43	Contrary to what you said, the heart of the battle is not Rule 4 but Rule 1 which the House adopted yesterday...
ParlaMint-FR_2021-06-09-O1296.u44	No!
ParlaMint-FR_2021-06-09-O1296.u45	Not at all, that's what you're trying to make us believe.
ParlaMint-FR_2021-06-09-O1296.u46	... and which gives women's couples and unmarried women the right to appeal to the LDC. I am totally opposed to the drafting of the Senate and I will give you a simple example to support my position. If the mother who gave birth dies, the child has a sonage; But if the mother who did not give birth dies before the end of the adoption procedure, what happens? I would like to make four points, which will allow me to be briefer in the discussion of the following amendments. The Government's objective, which reflects a presidential commitment, is to provide a new right for women, especially women's couples. It is, in my view, the choice of progress and equality, and in 2021 it is also life, whether you want it or not.
ParlaMint-FR_2021-06-09-O1296.u47	Life?
ParlaMint-FR_2021-06-09-O1296.u48	Yes, life, as you do not conceive it, for moral reasons that I respect infinitely.
ParlaMint-FR_2021-06-09-O1296.u49	We're talking about the child's interests!
ParlaMint-FR_2021-06-09-O1296.u50	Mrs. Blin, you're doing worse than raising your eyebrows, you're interrupting the speaker! If you want to show your caution,...
ParlaMint-FR_2021-06-09-O1296.u51	We're having a hard time following you!
ParlaMint-FR_2021-06-09-O1296.u52	... it would be more correct with regard to the one to whom the word was given, to stick to eyebrow movements. Allow me to tell you that there are several morals. They coexist, they overlap; I respect yours, but respect the morals of those who think differently. I think that in 2021 women have the right to have a child, that they have the right to be lesbians and to live together; they have the right, in essence, to choose the life they want to live. It's no more complicated than that.
ParlaMint-FR_2021-06-09-O1296.u53	And what rights do the children have?
ParlaMint-FR_2021-06-09-O1296.u54	[[Exclaims on the benches of the LR group]] The Government's commitment is first and foremost that children should have a parentage. And, since you're always talking about paternity, I remind you that the psychological studies that are at our disposal...
ParlaMint-FR_2021-06-09-O1296.u55	Don't go on that land, Mr. Seal Guard!
ParlaMint-FR_2021-06-09-O1296.u56	[["It's obvious! » on the benches of the LR group]] ...have clearly – yes, say – that a child who is loved, even by two women, or should I say by two women, is better off than a child who is hated by heterosexual parents.
ParlaMint-FR_2021-06-09-O1296.u57	With such banalities...
ParlaMint-FR_2021-06-09-O1296.u58	Lapalissade!
ParlaMint-FR_2021-06-09-O1296.u59	[[Protests on the benches of the LR group]] Yes, banalities, of course, are banalities! You, in your morals, cannot conceive that a child is raised by two loving women. But these aren't banalities, they're old moons, Mr. Hetzel!
ParlaMint-FR_2021-06-09-O1296.u60	Ladies and gentlemen...
ParlaMint-FR_2021-06-09-O1296.u61	I respect your morals, I respect your beliefs, religious or not. I respect all this, but whether you like it or not, in today's society, there are women who live together, who want to have a child and who will raise it wonderfully, whether you like it or not. It's life.
ParlaMint-FR_2021-06-09-O1296.u62	There are men, too!
ParlaMint-FR_2021-06-09-O1296.u63	The Government wishes to offer children born under these conditions the same rights as other children: it is the choice of equality, you see, one of the elements of the motto of our Republic. The Government also wishes to provide legal certainty to these mothers and their children. Parenthood will be established with respect to both mothers on the basis of a common commitment. This bond of filiation must be legally sound, of course. Finally, the Government did not wish to revisit the law applicable to heterosexual couples. On the basis of all these explanations, which you are not obliged to share, I express an opinion which is totally unfavourable to the amendments tabled.
ParlaMint-FR_2021-06-09-O1296.u64	I call on you to listen to each other without interrupting. There are still 800 amendments to be considered. I will, of course, give the floor to those who have asked for it, but it would be desirable to sum up the speeches and, above all, not to tear us apart in our expressions. Mrs Annie Genevard, who will be the first to demonstrate to us that we can look at this dossier in a calm manner.
ParlaMint-FR_2021-06-09-O1296.u65	Of course, Mr. President. First of all, on psychological studies, I am quite shocked, Mr. Keeper of the Seals, how you present things by opposing good homosexual parents to the wrong – or possibly bad – heterosexual parents. It is, unfortunately, something shared: bad parents, there are, and of all sides, if I may say so. Then you addressed the issue of the right of homosexual couples to raise a child, but we are not on that ground, Mr. Keeper of Seals. Do not take us there, for this is not the purpose of Article 4. The proposal we are making concerns a child raised by two women, one who gave birth, the other who adopted. We are not here to do morals or sociology, we are here to do law – in this case, to rewrite the law of filiation. I remember very well what Mrs Belloubet said in her time: "We cannot touch this at the risk of putting militant associations out of them." It is clear from this that the Government is in their hands, that they held the pen.
ParlaMint-FR_2021-06-09-O1296.u66	No!
ParlaMint-FR_2021-06-09-O1296.u67	Which ones?
ParlaMint-FR_2021-06-09-O1296.u68	Yes, I do! Mrs Belloubet told me: an amendment to the text would cause a bronca, a lifting of shields. There is, as we can see, a willingness to comply with the demands of influence groups.
ParlaMint-FR_2021-06-09-O1296.u69	Which ones? Give the names.
ParlaMint-FR_2021-06-09-O1296.u70	[[Smile]] On the other hand, I understand that a bill on adoption is, in a way, in the process of being drafted by you.
ParlaMint-FR_2021-06-09-O1296.u71	That's the case!
ParlaMint-FR_2021-06-09-O1296.u72	This text, if I have understood correctly, aims at speeding up the procedures. If you had the will to do so, I am convinced that satisfactory solutions could be adopted in this area. In fact, the idea behind your position is that you must make no difference and above all that the child must be that of two women. But you know that this is not possible. I would add – since we are doing law, let us go on the strictly legal ground – that by introducing into Title VII of Book I of the Civil Code provisions using the term "recognition" to describe an implausible filiation – two women cannot, in fact, jointly claim to be the mothers of the child – the bill will inevitably give rise to litigation. Why? Either the act carried out by women will be weakened by recourse to the common law of recognition, or recognitions falling under Title VII in general will have their basis of likelihood replaced by a voluntary basis, to the point of no longer being attacked by the production of biological evidence. On the latter point, however, France's condemnation by the European Court of Human Rights in the Mandet v. France judgment of 14 January 2016 made it very clear that the primacy of the best interests of the child necessarily led to its filiation being established in relation to biological truth. In order to avoid any risk of a judicial challenge to filiation, our proposal is therefore intended to use the term "joint declaration", less legally responsible, to refer to the act carried out by the couple of women.
ParlaMint-FR_2021-06-09-O1296.u73	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2021-06-09-O1296.u74	I would like to return to two elements of this debate. Mr. Keeper of the Seals, it's very interesting, what you tell us, when you ask, "What happens when one of the two women dies? » Why do you not apply this reasoning when it comes to extending the LDC to single women? That is precisely what we are talking about, because we fear that this can happen. If we draw the thread from your argument, we must not extend the LDC to women alone.
ParlaMint-FR_2021-06-09-O1296.u75	No, no, no, no, no, no, no,
ParlaMint-FR_2021-06-09-O1296.u76	On the other hand, can you explain to us how the solution you support would be better, in terms of legal certainty, than the one proposed by the Senate? In fact, it is not, and you know it; We can see that you are extremely embarrassed on this issue.
ParlaMint-FR_2021-06-09-O1296.u77	Ah? How do you see that?
ParlaMint-FR_2021-06-09-O1296.u78	It smells!
ParlaMint-FR_2021-06-09-O1296.u79	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2021-06-09-O1296.u80	We're going to be lit up...
ParlaMint-FR_2021-06-09-O1296.u81	There are at least two statements of bad faith in the words of the rapporteur and in those of the guardian of the seals, if not two counter-truths.
ParlaMint-FR_2021-06-09-O1296.u82	Ah?
ParlaMint-FR_2021-06-09-O1296.u83	You tell us, Madam rapporteur: "Heterosexual couples can continue to procreate under the duvet. All right, but that's not the point at all.
ParlaMint-FR_2021-06-09-O1296.u84	Yes!
ParlaMint-FR_2021-06-09-O1296.u85	This is not the problem; This is not the reason why a filiation must be established by recognition or adoption. The real subject, which you never mention, is that recognition is based, if not on reality, at least on biological likelihood.
ParlaMint-FR_2021-06-09-O1296.u86	No.
ParlaMint-FR_2021-06-09-O1296.u87	It is a foundation of the law of filiation in the civil code, and you know it at least as much as we do. To satisfy militant demands, because it is this and nothing else, you undermine this foundation of the law of filiation. From then on, the whole castle of cards collapses.
ParlaMint-FR_2021-06-09-O1296.u88	No, no, no, no, no, no, no,
ParlaMint-FR_2021-06-09-O1296.u89	Tomorrow, for other social constructions, you will again be brought to the right twist of filiation, or at least to what will be left of it; It will probably be more of a jurisprudential right, resulting from court decisions, than a "hard" right derived from the civil code. You will need to build a whole building to allow four people to establish a bond of filiation with the same child. It'll end like this. In fact, this is the answer I want to give to Mr. the Keeper of the Seals: we are very conscious of living in 2021 and that there are recomposed families, homoparental families, single parent families. The law must constantly adapt to this reality, we say to you; and not only must we understand it, but also we must do it quickly, in case the mother who has not yet adopted dies. But when a single mother dies after the child is born, he is made a social orphan, since no paternal parenting link will have the possibility of being established. But then, Mr. Keeper of the Seals, what do you answer to the two men who come to knock at the door of your ministry and say, "We want recognition of the filiation of a child that we have done by GPA abroad"? We are in 2021, it is the social reality of this country: there are men who raise children. So the law has to adapt? What do you say to these people?
ParlaMint-FR_2021-06-09-O1296.u90	I've already answered.
ParlaMint-FR_2021-06-09-O1296.u91	Mrs Coralie Dubost, rapporteur, has the floor.
ParlaMint-FR_2021-06-09-O1296.u92	Mrs Genevard, I know your wish to use just arguments. I cannot believe that you can still, in good faith, quote the Mandet judgment, which – as you well know, we mentioned in committee and in the previous reading – concerned a case of adultery. This decision imposed the biological recognition of the father because the child was the result of adultery, so it clearly could not be abandoned in his filiation. This has nothing to do with it.
ParlaMint-FR_2021-06-09-O1296.u93	Yes, I do!
ParlaMint-FR_2021-06-09-O1296.u94	In the AGP, under section 311-19 of the Civil Code, no biological filiation can be established between the so-called biological donor and the future child. Fatherly filiation is indestructible for the parents who have engaged the AMP, and it will be the same in a lesbian couple. There is no difficulty: the filiation of the child born of an MPA will not be subject to any judicial challenge. It's totally secure, and it's all the benefit of the mechanism of early joint recognition. We must not fear the effects of this, but instead encourage its use, because it secures both the child and each of the two mothers. This is very different from an adulterine situation – I am sure you will not amalgamate on this point. Mr. Brindeau, there is an inconsistency in your reasoning. You say that Title VII is strictly based on biology, but that is not the case. The legal doctrine is very diverse on the subject. Some scholars note that when a man commits himself, through marriage, to recognizing all the children to come, it is already a declaration of will, long before biology. Biology was only a way of establishing or challenging paternity; At the time of filiation, there was no biological meaning, at least for men.
ParlaMint-FR_2021-06-09-O1296.u95	Presemblance!
ParlaMint-FR_2021-06-09-O1296.u96	So no, Title VII is not just organic. Part of Title VII deals with biological likelihood, which establishes or disputes judicially as a method of proof. But it is only a method of proof, it is not the basis for the establishment of filiation.
ParlaMint-FR_2021-06-09-O1296.u97	Yes!
ParlaMint-FR_2021-06-09-O1296.u98	In addition, there are other types of filiation – notably since 1994, the heteroparent AMP – that completely evacuate biological character, since article 311-19 of the Civil Code excludes any bond of filiation between the donor and the child. The civil code building on filiation did not collapse after 1994, nor will it happen after this text. Be completely reassured, you can vote the article in peace.
ParlaMint-FR_2021-06-09-O1296.u99	Mrs Annie Genevard has the floor.
ParlaMint-FR_2021-06-09-O1296.u100	Madam rapporteur, I return the compliment to you: do not pretend to ignore the relationship between the Mandet judgment and the subject we are talking about. What are we talking about? The common law of recognition is now based on the production of biological evidence. You will change this foundation, do not deny it, since the mother who does not give birth will be able to recognize the child without any biological connection between her and the child. Is that to say that there will be some kind of recognition for some couples and other foundations of recognition for other couples? Because that is what the Mandet decision means by reaffirming the biological link between the child and his father. It has nothing to do with adultery, it is not the subject.
ParlaMint-FR_2021-06-09-O1296.u101	Oh, yes!
ParlaMint-FR_2021-06-09-O1296.u102	The subject is the modification of the law on recognition.
ParlaMint-FR_2021-06-09-O1296.u103	These statements were of good quality and it seems to me that the Assembly is now enlightened – I am not an expert on these issues, but I listen to you with great attention and respect. I therefore propose that you put the deletion amendments to the vote and consider the following amendments more quickly.
ParlaMint-FR_2021-06-09-O1296.u104	I have before me a number of amendments, Nos 600, 1108, 1158, 1507, 1590, 604, 970 and 1534, which can be discussed jointly. Amendments Nos 600, 1108 and 1158 are identical. Amendments Nos 600 by Mrs Annie Genevard and 1108 by Mrs Agnes Thill are being defended. I call Mr Patrick Hetzel to support Amendment No. 1158.
ParlaMint-FR_2021-06-09-O1296.u105	Unfortunately, our colleague Thibault Bazin cannot be with us, even though he has made a strong commitment to work on this text. He proposes here to re-establish the balanced version of section 4 adopted in the Senate at first reading, which ensures true consistency, while avoiding the disruption of the civil code. In fact, how was it necessary to change this version? The Government has not provided us with any response on this point.
ParlaMint-FR_2021-06-09-O1296.u106	Oh, there!
ParlaMint-FR_2021-06-09-O1296.u107	Mr Julien Ravier has the floor to support Amendment No. 1507.
ParlaMint-FR_2021-06-09-O1296.u108	It is similar to the previous ones and aims to restore the essence of the version adopted in the Senate at first reading. Madam rapporteur, I have listened to you well and I have become more acute. In your words, I understand that you are prepared to question the foundations of parentage by birth.
ParlaMint-FR_2021-06-09-O1296.u109	No, it's the other way around!
ParlaMint-FR_2021-06-09-O1296.u110	Assume it clearly. Currently, it allows recognition by a man and a woman, but cannot allow recognition by two persons of the same sex,...
ParlaMint-FR_2021-06-09-O1296.u111	Well, yes!
ParlaMint-FR_2021-06-09-O1296.u112	...because, as Mr. Brindeau pointed out, it is based on likelihood.
ParlaMint-FR_2021-06-09-O1296.u113	No, no, no, no, no,
ParlaMint-FR_2021-06-09-O1296.u114	So say it loud and clear: you question the sonage by begetting and you invent a new one,...
ParlaMint-FR_2021-06-09-O1296.u115	No!
ParlaMint-FR_2021-06-09-O1296.u116	Say it!
ParlaMint-FR_2021-06-09-O1296.u117	...which is consistent with your reasoning. For our part, we consider that it is much more appropriate to retain the current right, based on biological likelihood. Rights can be granted to the second woman through adoption, so as not to destabilize the building.
ParlaMint-FR_2021-06-09-O1296.u118	But what building is destabilized?
ParlaMint-FR_2021-06-09-O1296.u119	Amendments Nos 1590 by Mr Robert Therry and 604 by Mrs Annie Genevard are defended. Mr Gérard Leseul has the floor to support Amendment No. 970.
