ParlaMint-FR_2021-06-09-O1297.u1	The next item is the continuation of the discussion of the bioethics bill (No. 3833, 4222).
ParlaMint-FR_2021-06-09-O1297.u25	I would remind you that it is out of the question of creating de novo embryos. All we can do, all we do is produce cell models – you can call them "emryoids," "blastoids," or "gastroloids." These artifacts, which collapse on their own, help us understand and analyze early embryonic development mechanisms. They are only scientific models far removed from embryos. Since ethics reigns, of course, they can never be implanted and have no vocation to be. I therefore find these amendments unnecessary. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u26	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u27	The amendments are satisfied. Request for withdrawal; Failing that, adverse notice.
ParlaMint-FR_2021-06-09-O1297.u28	I have before me a number of amendments, Nos 261, 447, 945, 1434, 262, 467, 947 and 1436, which can be discussed jointly. Amendments Nos 261, 447, 945 and 1434, 262, 467, 947 and 1436, are identical. I call Mr Patrick Hetzel to support Amendment No. 261.
ParlaMint-FR_2021-06-09-O1297.u29	We suggest inserting the following paragraph after paragraph 23: "The creation of gametes from embryonic stem cells or from the derivation of somatic cells is prohibited. Without this addition, we are moving towards the least-so-called ethical. We must be more rigorous than the Government wishes to be.
ParlaMint-FR_2021-06-09-O1297.u30	Amendments Nos 447 by Mr Xavier Breton, 945 by Mrs Anne-Laure Blin, 1434 by Mr Marc Le Fur, 262 by Mr Patrick Hetzel, 467 by Mr Xavier Breton, 947 by Mrs Anne-Laure Blin and 1436 by Mr Marc Le Fur are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u31	These amendments are not consistent with the current version of the text, nor with recent amendments to the Senate by the Republicans. They would pose a problem for the research we talked about earlier, aimed at understanding gametogenesis, that is, how gametes appear and how meiosis unfolds. It would be harmful to ban this type of analysis, because, as you said yourself, our focus is the understanding of much of the infertilities. I do not deny that this raises ethical questions – you are right. For this reason, the differentiation in gametes of embryonic stem cells, which is dealt with in this article, and that of induced pluripotent stem cells, – the famous IPS, induced pluripotent stem cells, of Article 15 – are subject to a very specific framework regime, with a mandatory declaration to the Agency for Biomedicine and a control system, which includes public notices from the Agency's guidance board. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u32	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u33	Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u34	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2021-06-09-O1297.u35	When we see how this debate is taking place, we understand the statement made by Professor Didier Sicard, the former Chairman of the National Ethics Advisory Committee, in Le Figaro of the day before yesterday: "I am saddened to see these bioethics topics treated as a reform on public finances or road safety. We are witnessing a drift in dealing with these issues. Tonight again, we'll have to go on a forced march. Really, it's not very serious, to the opposite of what a bioethics law should be.
ParlaMint-FR_2021-06-09-O1297.u36	That's posture. That's not good!
ParlaMint-FR_2021-06-09-O1297.u37	Identical amendments Nos 64 by Mrs Emmanuelle Ménard, 264 by Mr Patrick Hetzel, 479 by Mr Xavier Breton, 951 by Mrs Anne-Laure Blin, 1320 by Mr Thibault Bazin and 1439 by Mr Marc Le Fur are defended.
ParlaMint-FR_2021-06-09-O1297.u38	Amendment No 77 by Mrs Emmanuelle Ménard is not supported.
ParlaMint-FR_2021-06-09-O1297.u39	I have before me several identical amendments, Nos 263, 471, 949, 1322 and 1438. I call Mr Patrick Hetzel to support Amendment No. 263.
ParlaMint-FR_2021-06-09-O1297.u40	The purpose of this amendment is to clarify that the research provided for in Article I must be prohibited if, "as far as scientific knowledge is concerned, it cannot be carried out without the use of human embryonic stem cells". It is again a matter of setting up an ethical guard, but I have the impression that it will be swept away in a few moments.
ParlaMint-FR_2021-06-09-O1297.u41	Mrs Caroline Fiat has the floor for a point of order.
ParlaMint-FR_2021-06-09-O1297.u42	It is based on Article 101, paragraph 1, on second deliberations. I read in yesterday's press article the following statement by Minister Frédérique Vidal: "We found that we lacked regulation and legislation regarding the body's donation centres. The only existing law dates from 1887. The bioethics bill, currently under review, will allow us to recast all of these regulations. But tonight, the minister replied that the Act of 15 November 1887 satisfied my request. It's unacceptable...
ParlaMint-FR_2021-06-09-O1297.u43	Mrs Fiat, this is not a point of order. It will therefore be counted from your speaking time.
ParlaMint-FR_2021-06-09-O1297.u44	According to Rule 101, paragraph 1, of the Rules of Procedure: "Before explanations of vote on all drafts and proposals commence, the Assembly may decide, at the request of the Government or a Member, that a second debate on all or part of the text shall be held. I would ask that Amendment No. 593, which would enable Mrs Vidal's promise to be fulfilled, which several press articles testify to, be the subject of a second debate.
ParlaMint-FR_2021-06-09-O1297.u45	Thank you.
ParlaMint-FR_2021-06-09-O1297.u46	I'm asking for an answer!
ParlaMint-FR_2021-06-09-O1297.u47	Identical Amendments Nos 471 by Mr Xavier Breton, 949 by Mrs Anne-Laure Blin, 1322 by Mr Thibault Bazin and 1438 by Mr Marc Le Fur are being defended. What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2021-06-09-O1297.u48	These amendments bring us back to the question of the regime, declaration or authorisation, of the research protocols, which we discussed earlier. You wish to re-submit the authorisation of embryonic stem cell research to the absence of an alternative, in the state of scientific knowledge. I repeat that we wish, like you, no longer to have to resort to human embryonic stem cells. But this wish, for the time being, is not achievable. Induced pluripotent stem cells, which we will have the opportunity to discuss in Article 15, cannot, as all specialists will attest, replace embryonic stem cells, which constitute a standard, a necessary standard. In any case, it is not realistic at all to claim to use induced pluripotent stem cells as a therapeutic agent, as the risks involved would be too great. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u49	Amendments Nos 1323 and 1325 by Mr Thibault Bazin are defended.
ParlaMint-FR_2021-06-09-O1297.u50	I have before me several identical amendments, Nos 575, 1131, 1135, 1326 and 1518. Amendment No 575 by Mrs Emmanuelle Ménard is being defended. I call Mr Patrick Hetzel to support Amendment No. 1131.
ParlaMint-FR_2021-06-09-O1297.u51	I see that we are increasingly in a shambles of debate. We don't want to give ourselves time to debate these bioethics issues, it's pretty annoying. Paragraph 25, which we wish to delete, provides for the authorization of the creation of artificial gametes from human embryonic stem cells. Such a provision requires the utmost caution. Whatever their name, these 'embryoids' you are talking about, rapporteur, can develop as human embryos. After a few days, we do not see the difference between the two when we look at them under the microscope. This type of process raises ethical questions. France should continue not to cross these ethical red lines, but I have the impression that once again the Government has taken care of them.
ParlaMint-FR_2021-06-09-O1297.u52	Identical Amendments Nos 1135 by Mr Xavier Breton, 1326 by Mr Thibault Bazin and 1518 by Mr Julien Ravier are being defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u53	You wish to delete paragraph 25. You say that this paragraph authorizes this research. I think you don't understand the text, or at least you interpret it backwards. Today, nothing prevents the law from carrying out any type of research on stem cells, embryonic as induced pluripotents, including gametes. Tomorrow, thanks to this bill, the Biomedicine Agency will have an opposition faculty. This paragraph therefore provides a better framework for such research. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u54	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u55	The Government has planned to frame research that did not exist during the discussion of the last bioethics law; It was then impossible to have IPS cells. In view of the ethical issues that they pose, I confirm to you, honourable Member, that we wish to frame this type of research.
ParlaMint-FR_2021-06-09-O1297.u56	Amendment No 535 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-06-09-O1297.u57	I have before me a number of amendments, Nos 1132, 1136, 1327, 574 and 1429, which can be discussed jointly. Amendments Nos 1132, 1136 and 1327 are identical. I call Mr Patrick Hetzel to support Amendment No. 1132.
ParlaMint-FR_2021-06-09-O1297.u58	The aggregation of human embryonic stem cells with extra-embryonic tissue precursor cells consists of creating human embryos without the fusion of gametes. These copies of human embryos are sometimes called "blastoids", sometimes embryonic models for scientific use (MEUS), sometimes parthenotes. Whatever their name, these embryoids require the utmost caution, because they can develop as human embryos – as we said a few moments ago. Why don't you want to pay a little more attention to what the law will allow in this area? It is quite worrying not to have an answer to this question.
ParlaMint-FR_2021-06-09-O1297.u59	Identical Amendments Nos 1136 by Mr Xavier Breton and 1327 by Mr Thibault Bazin are being defended. Amendments Nos 574 by Mrs Emmanuelle Ménard and 1429 by Mrs Annie Genevard are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u60	I insist: it is not embryos that we are talking about, but embryoids, that is, cell clusters that are simply models for basic research for understanding early development. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u61	I have before me several identical amendments, Nos 266, 474, 743, 954, 1330 and 1442. I call Mr Patrick Hetzel to support Amendment No. 266.
ParlaMint-FR_2021-06-09-O1297.u62	The aim of this amendment is to show that the Biomedicine Agency is deprived of decision-making and control powers. Why? Again, explain to me how, by doing this, you wouldn't do at least the so-called ethics.
ParlaMint-FR_2021-06-09-O1297.u63	Identical amendments Nos 474 by Mr Xavier Breton, 743 by Mr Philippe Gosselin, 954 by Mrs Anne-Laure Blin, 1330 by Mr Thibault Bazin and 1442 by Mr Marc Le Fur are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u64	You still want to go back to what we have discussed, the choices that are made and the distinction to be made between stem cells and embryos. The opinion therefore remains, of course, unfavorable.
ParlaMint-FR_2021-06-09-O1297.u65	Amendment No 553 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-06-09-O1297.u66	Amendment No 573 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-06-09-O1297.u67	Amendment No 576 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-06-09-O1297.u68	On Article 14, I have a request for a public ballot before the La République en marche group. The vote is announced in the National Assembly. Amendment No 80 by Mrs Emmanuelle Ménard is not supported.
ParlaMint-FR_2021-06-09-O1297.u69	I call Mr Patrick Hetzel to support Amendment No. 1331.
ParlaMint-FR_2021-06-09-O1297.u70	This amendment calls for the deletion of paragraph 29, which provides that the Agency for Biomedicine will no longer itself have to verify, in an application for the importation of embryonic stem cells, that these cells have been obtained in accordance with the ethical principles respected by France. Again, an ethical red line is crossed.
ParlaMint-FR_2021-06-09-O1297.u71	What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u72	Unfavorable opinion. In my view, you are making an error in the scope of the amendment introduced by paragraph 29, which you are referring to. This paragraph amends the control regime for imports of human embryonic stem cells. The principle of authorisation by the Biomedicine Agency remains, of course. Under paragraph 29, a certificate of obtaining such cells may be required in accordance with the fundamental principles of the Civil Code. This will provide the Agency with a binding document that will enable it to further improve its control capacity in the future.
ParlaMint-FR_2021-06-09-O1297.u73	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u74	This subparagraph effectively reinforces the control exercised by the Agency. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u75	I have before me several identical amendments, Nos 268, 475, 745, 835, 976, 1332 and 1447. I call Mr Patrick Hetzel to support Amendment No. 268.
ParlaMint-FR_2021-06-09-O1297.u76	It is surprising to see that many import permits issued by the Biomedicine Agency relate to stem cell lines from the United States, Israel and England – all of which have refused to sign the Oviedo Convention. This is an incredible situation! Hypocrisy is total. In fact, the French regulations are being circumvented, since the criteria of the Oviedo Convention do not apply to these imports.
ParlaMint-FR_2021-06-09-O1297.u77	Identical amendments Nos 475 by Mr Xavier Breton, 745 by Mr Philippe Gosselin, 835 by Mrs Annie Genevard, 976 by Mrs Anne-Laure Blin, 1332 by Mr Thibault Bazin and 1447 by Mr Marc Le Fur are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u78	I gave the answer five times, I'll give it a sixth time... We can very well be a signatory to the Oviedo Convention and yet not produce stem cells in accordance with our French ethical rules. Conversely, one may not be a signatory to the same Convention and may fully respect the ethical principles of French law. The drafting of the bill therefore seems to be the most appropriate, as it sets out well-identified criteria. I ask you to withdraw your amendment; Failing that, adverse notice.
ParlaMint-FR_2021-06-09-O1297.u79	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u80	It is the very purpose of the rigorous control exercised by the Biomedicine Agency to verify that the cells have been derived in accordance with our ethical principles. The amendment is therefore satisfied: request for withdrawal, failing which adverse notice is given.
ParlaMint-FR_2021-06-09-O1297.u81	Amendment No 81 by Mrs Emmanuelle Ménard is not supported.
ParlaMint-FR_2021-06-09-O1297.u82	Amendment No 1334 by Mr Thibault Bazin is being defended.
ParlaMint-FR_2021-06-09-O1297.u83	Amendment No 1123 by Mrs Agnes Thill is being defended.
ParlaMint-FR_2021-06-09-O1297.u84	Amendment No 1124 by Mr Pascal Brindeau is being defended.
ParlaMint-FR_2021-06-09-O1297.u85	I put Rule 14 to the vote.
ParlaMint-FR_2021-06-09-O1297.u86	The result of the vote is as follows: Number of voters 81 Number of votes cast 81 Absolute majority 41 For adoption 56 Against 25
ParlaMint-FR_2021-06-09-O1297.u87	The deletion amendments No 706 by Mrs Emmanuelle Ménard and No 1367 by Mr Thibault Bazin were defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u88	Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u89	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u90	The Government is, of course, very supportive of the idea of regulating, through the bioethics bill, the research protocols on induced pluripotent stem cells. I am surprised that this is not supported by all Members who complain about what they call our least-so-called bioethics. Very clearly, we are doing better than the previous law allowed.
ParlaMint-FR_2021-06-09-O1297.u91	Identical Amendments Nos 273 by Mr Patrick Hetzel, 482 by Mr Xavier Breton, 984 by Mrs Anne-Laure Blin and 1452 by Mr Marc Le Fur are being defended.
ParlaMint-FR_2021-06-09-O1297.u92	Mrs Emmanuelle Ménard's amendment No 83 is being defended.
ParlaMint-FR_2021-06-09-O1297.u93	I have before me several identical amendments, Nos 93, 274, 483, 747, 986, 1368 and 1453. Amendment No 93 by Mrs Annie Genevard is being defended. I call Mr Patrick Hetzel to support Amendment No. 274.
ParlaMint-FR_2021-06-09-O1297.u94	The main objective of pharmacological research is the development of medicinal products. It includes screening molecules, modeling pathologies and testing drug toxicity. There is now a consensus that human embryonic stem cells can be replaced for the research of the pharmaceutical industry. This is what the National Academy of Medicine, the Agency for Biomedicine and the National Institute of Health and Medical Research (INSERM) advocate. If IPS cells can replace embryonic stem cells for pharmacological research, why not prefer them? Here too, we would like to understand your logic.
ParlaMint-FR_2021-06-09-O1297.u95	Amendments Nos 483 by Mr Xavier Breton, 747 by Mr Philippe Gosselin, 986 by Mrs Anne-Laure Blin, 1368 by Mr Thibault Bazin and 1453 by Mr Marc Le Fur are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u96	As soon as possible, we prefer to use the famous IPS cells instead of human embryonic stem cells. Unfortunately, as the minister said, the two models are not identical. Thanks to the work of Shinya Yamanaka, Nobel Prize in medicine in 2012, the cells induced by the addition of different genes, including SOX2, OCT3/4 and especially c-MYC, which is a problem because it is an oncogene: it promotes the occurrence of cancers. IPS cells distance us from a model closer to in vivo. We are, for the time being, in the model stage that needs to be further improved. We also need to figure out how to get rid of the risk of teratoma. These very complex cells cannot be considered to be identical to embryonic stem cells, let alone to be used for therapeutic purposes. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u97	I have before me five identical amendments, Nos 101, 275, 484, 987 and 1454. Amendment No 101 by Mrs Annie Genevard is being defended. I call Mr Patrick Hetzel to support Amendment No. 275.
ParlaMint-FR_2021-06-09-O1297.u98	A moment ago, I was surprised by an argument, Mr rapporteur: you said that we can find ourselves in a situation where human embryonic stem cells from countries that have failed to comply with the rules of the Oviedo Convention are imported, even though they have signed it. It's pretty amazing and I'm having trouble following the reasoning. I now come to the amendment. Stem cell research is not exempt from ethical questions when considering differentiating them into gametes. A little more guarantees should be provided on this point. I am surprised that as the amendments we are defending, we have not achieved any progress in terms of ethical guarantees.
ParlaMint-FR_2021-06-09-O1297.u99	Identical amendments Nos 484 by Mr Xavier Breton, 987 by Mrs Anne-Laure Blin and 1454 by Mr Marc Le Fur are being defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u100	To clarify and clarify again, I would point out that the creation of in vitro embryos in a Petri box is strictly prohibited, whether the gametes used are "classic", say it like that, or artificial – it would probably have to be defined. So the problem does not arise. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u101	I have before me twelve amendments, Nos 485, 988, 1455, 99, 276, 281, 491, 995, 1374, 1460, 1520 and 570, which can be discussed jointly. Identical amendments Nos 485 by Mr Xavier Breton, 988 by Mrs Anne-Laure Blin and 1455 by Mr Marc Le Fur are being defended. Amendments Nos 99 and 276 are also identical. I call Mr Patrick Hetzel to support Amendment No. 99.
ParlaMint-FR_2021-06-09-O1297.u102	Madam President, allow me to defend your excellent amendment. It is justified by its very text: "in no way can gametes derived from induced pluripotent stem cells be fertilized or fertilizable".
ParlaMint-FR_2021-06-09-O1297.u103	[[Applause on several benches in the LR group]] Thank you, Mr Hetzel, for defending my amendment rather than yours, it is very elegant. Amendment No 276 by Mr Patrick Hetzel is being defended. Identical amendments No. 281 by Mr Patrick Hetzel, No. 491 by Mr Xavier Breton, No. 995 by Mrs Anne-Laure Blin, No. 1374 by Mr Thibault Bazin, No. 1460 by Mr Marc Le Fur and No. 1520 by Mr Julien Ravier are defended. Amendment No 570 by Mrs Emmanuelle Ménard is also being defended. What is the opinion of the committee on all these amendments?
ParlaMint-FR_2021-06-09-O1297.u104	The answer has already been given: it is forbidden to create embryos from "normal" gametes or artificial gametes. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u105	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u106	The prohibition has been in force since 2004. Same opinion.
ParlaMint-FR_2021-06-09-O1297.u107	I have before me three identical amendments, Nos 98, 563 and 1569. I call Mr Patrick Hetzel to support Amendment No. 98.
ParlaMint-FR_2021-06-09-O1297.u108	[[Applause on a few benches of the LR group]] I would like once again to defend your amendment, Madam President. The techniques envisaged in Article 15 are different. The rules that prohibit them have in common to ensure the protection of the integrity of the human species. The stakes are not trivial: an interspecies crossing, mixing man with the animal, constitutes a strong attack on human integrity; It is often referred to as "chimers". Again, we would like to know why the text is not more stringent on this issue, which concerns many of us.
ParlaMint-FR_2021-06-09-O1297.u109	Identical amendments No 563 by Mrs Emmanuelle Ménard and No 1569 by Mrs Josiane Corneloup are defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u110	Your amendment, Madam Chair, is to delete paragraphs 4 to 7. That would be a step backwards! We would remove any legal framework and control over induced stem cells, which is not at all the objective of the text. On the contrary, he wants to define a framework similar to that of embryonic stem cells. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u111	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u112	Unfavorable opinion for the same reasons: these amendments remove any specific framework.
ParlaMint-FR_2021-06-09-O1297.u113	I have before me four identical amendments, Nos 277, 486, 989 and 1456. I call Mr Patrick Hetzel to support Amendment No. 277.
ParlaMint-FR_2021-06-09-O1297.u114	I come back to the comments made on the previous amendment: we have a problem with the question of interspecies crossing, mixing man with the animal, but you act as if there were none. That would deserve clarification from you. The creation of artificial gametes has never been allowed in France, because it is known that the consequences of this research are dizzying. They would lead, in the long run, to the creation of embryos for research. The research carried out by some Japanese researchers is evidence of this. A red line is crossed.
ParlaMint-FR_2021-06-09-O1297.u115	Amendment No 486 by Mr Xavier Breton is being defended. Mrs Anne-Laure Blin has the floor to support Amendment No. 989.
ParlaMint-FR_2021-06-09-O1297.u116	Mr rapporteur, you are not responding at all to our concern. Paragraph 4 allows the creation of artificial gametes from induced pluripotent stem cells. The creation of artificial gametes has never been allowed in France. We need further explanations.
ParlaMint-FR_2021-06-09-O1297.u117	It's never been forbidden!
ParlaMint-FR_2021-06-09-O1297.u118	Amendment No 1456 by Mr Le Fur is being defended. What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u119	The production of artificial gametes from induced pluripotent stem cells has never been banned in France. The purpose of this text is precisely to frame it. We are debating a law of French bioethics: the production of embryos with this type of gametes is strictly prohibited. What is being done in Japan is a matter of Japanese ethical problems, but we are not legislating for the Japanese. We are debating the French-French bill. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u120	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u121	I stress that researchers are really asking for this guidance: there is nothing about it in the law because, during the last revision of bioethics laws, we could not do it. For researchers, it is safe to know where they can pursue their research or not. It is important that we respond to this request, that you insist on deleting with these amendments.
ParlaMint-FR_2021-06-09-O1297.u122	Mrs Anne-Laure Blin has the floor.
ParlaMint-FR_2021-06-09-O1297.u123	Minister, rapporteur, you act as if there is no problem, but reread section 15(4): it clearly states that these cells can be inserted into an animal embryo before it is transferred to the female. It will certainly be accompanied by a statement to the Biomedicine Agency, but the inclusion of gametes in an animal embryo will be possible.
ParlaMint-FR_2021-06-09-O1297.u124	So what?
ParlaMint-FR_2021-06-09-O1297.u125	As if there was no subject...
ParlaMint-FR_2021-06-09-O1297.u126	I have before me three identical amendments, Nos 566, 1369 and 1519. Amendment No 566 by Mrs Emmanuelle Ménard is being defended. I call Mr Patrick Hetzel to support Amendment No. 1369.
ParlaMint-FR_2021-06-09-O1297.u127	[[Brigitte Kuster applauds]] I would like to go back to what Anne-Laure Blin has just said. Read Article 15(4): "Research protocols conducted on human induced pluripotent stem cells for the purpose of differentiating these cells into gametes, obtaining models of embryonic development in vitro or inserting these cells into an animal embryo for the purpose of their transfer to the female, shall be subject to notification to the Biomedicine Agency". This clearly shows that the question arises – or the words no longer mean anything.
ParlaMint-FR_2021-06-09-O1297.u128	Amendment No 1519 by Mr Julien Ravier is being defended.
ParlaMint-FR_2021-06-09-O1297.u129	Amendment No 565 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2021-06-09-O1297.u130	Mrs Blandine Brocard has the floor to support Amendment No. 1639.
ParlaMint-FR_2021-06-09-O1297.u131	Minister, rapporteur, I am listening very carefully, but I am not as confident as you and I do not share your reading. We are talking about the creation of animal-human chimeras, through the insertion of embryonic stem cells or human-induced pluripotent stem cells into an animal embryo. Chimera is perhaps a great word; It's not about centaur, but it's not about science fiction either! I have inquired and I hear you: from a scientific point of view, it can be interesting. However, the experimental tests are inconclusive. On the other hand, the questions are dizzying: how can we ensure that human cells do not cannibalize the animal embryo, leading to a more human-than-animal progeny? How can we prevent the migration and development of human cells in the animal brain beyond the thresholds accepted by scientists? What mutation of the human species causes xenotransplantation? In a study adopted on 28 June 2018, the Council of State identified three main risks: "the risk of causing a new zoonosis", i.e. "an infection or infestation which is naturally transmitted from vertebrate animals to humans and vice versa; the risk of human representation in the animal, if the animal acquired visible aspects or attributes specific to humans; the risk of human consciousness in animals if the injection of human pluripotent cells produced collateral results inducing changes in animals in the direction of a consciousness with human characteristics." [[Applause on the benches of the LR group and on some benches of the IDU-I group]] In view of these health risks and the risks of conscience and human representation in animals, it seems to me that we must expressly prohibit animal-human chimeras, in the same way as man-animal chimeras.
ParlaMint-FR_2021-06-09-O1297.u132	Exactly!
ParlaMint-FR_2021-06-09-O1297.u133	What is the opinion of the committee?
ParlaMint-FR_2021-06-09-O1297.u134	We just heard the display of all the fantasies that can hang out here or there.
ParlaMint-FR_2021-06-09-O1297.u135	No!
ParlaMint-FR_2021-06-09-O1297.u136	Perhaps it is the use of the word "chimer" that causes these reactions... It's probably a mistake to use it.
ParlaMint-FR_2021-06-09-O1297.u137	He's in the law, it's not us!
