ParlaMint-FR_2021-12-10-O1094.u1	The next item is the debate on the draft finance bill for 2022 (No. 4709, 4787).
ParlaMint-FR_2021-12-10-O1094.u12	Please conclude, Mr. Chairman of the Committee.
ParlaMint-FR_2021-12-10-O1094.u13	That was also the meaning of the message sent yesterday by the President of the Republic at his press conference on the French presidency of the European Union. Let us never forget that the financial situation of the French is linked, whether we like it or not, to the financial situation of France. Candidates in the next presidential election should meditate more deeply on this point.
ParlaMint-FR_2021-12-10-O1094.u14	I have received from Mrs Mathilde Panot and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-10-O1094.u15	This is probably one of the last — or even the last — interventions in this Parliament that I will make in this forum on a finance bill. So let me go back to these five years of budget debate with you – I say "discussion" but I could say "soliloquis" because that was often the case. I will therefore come back over the past five years to explain this umpteenth motion of rejection. Indeed, like all the previous ones that we have tabled, it expresses an opposition, not in principle but in substance, a political opposition, in the noble sense of the term, to the way society is managed. In this respect, fiscal policy is the policy of policies, the policy that determines all the others, the policy that has direct consequences for people's lives, the policy, above all, that which reflects your vision of society: a society of competition of all against all, which makes the proper functioning of the financialized capitalist system take precedence, whatever it produces, whatever it destroys, and which measures its success in terms of GDP growth rather than that of human well-being, by making it believe that the latter depends on the former. These are substantive political discussions that have never been initiated. Worse still, they have been swept away, as is evident from a reflection by the former rapporteur-general, who once told me about an amendment on the reduction of VAT on water, which he knew by heart our "political amendments" – a lapsus, probably, which, however, says a lot about your conception of the policy, reduced to accounting management, forced by the European framework. We're not Bercy's clerks.
ParlaMint-FR_2021-12-10-O1094.u16	That's too bad!
ParlaMint-FR_2021-12-10-O1094.u17	Yet it is to this role that you reduce us, closing our debates in an accounting vision. Let's look at the balance sheet of these accounts. First of all, there is a weakening of the state, which should, more than ever, be the guarantor of the nation's social cohesion, which is now being undermined. There is also an unprecedented weakening of the state's tax revenues, under the pretext of competitiveness or renewed purchasing power: the abolition of the ISF, the solidarity tax on wealth, and the introduction of the flat tax, at a cost of EUR 5 billion per year; lower production taxes, at a cost of 10 billion per year; lower housing tax, at a cost of 17.6 billion per year. Another effect of your policy is a relaxation of tax consent, due to the growing sense of inequity with tax evasion. Indeed, many have been the financial scandals of this quinquennium, from Panama Papers to the recent Pandora Papers. Mr. Le Maire may have been flaunting on TV sets by announcing that he would be "intractable with those who cheated with French tax", it was almost 10,000 full-time equivalents that were sacrificed on the altar of austerity in Bercy. Bercy's lock would have been loosened by a single turn because of the Government's complacency. Another consequence of this accounting vision is that public services or maltreated local and regional authorities, while they are the only good of those who have nothing. For example, our communities, which have demonstrated their major role in the life of our country during the health crisis, have been thanked for their good services by what is seen as a decline in resources in the light of the new missions that are still a little more important to them. So, our hospitals – do we still have to talk about it? – are still victims of senseless budget cuts, ubiquitous groupings, or even bed closures, in the midst of a pandemic. As a result, our higher education and our research are disadvantaged by your liberal management and petty calculations, as pointed out in a recent report by the Economic Analysis Board, which shows that chronic under-investment is unrelenting. Thus, our school institution – a subject that is dear to me – continues to be stifled after knitting, from high school to the functional authority of the directors, while teachers are still among the lowest paid in the OECD – Organisation for Economic Co-operation and Development – who are struggling to recruit AESHs, accompanying students with disabilities, because of the low attractiveness of their profession, and that the recruitment balance is zero. On the other hand, only broads, nods, soft words smeared at the predators of CAC40 and other big companies! For production taxes alone, there is an average gain of 940 euros for the TPEs, the very small enterprises, compared with 9.1 million for the large enterprises. And I hardly dare mention the kyrielle of tax niches that your majority did not have the courage to abrogate. Nearly 40 billion euros per year evaporate because of the only niche Copé – the mother-daughter system and tax integration – while the annual cost of the research tax credit amounts to 6 billion and that of the ex-CICE, the tax credit for competitiveness and employment, to 20 billion, losses that weaken our social protection. Yet these same CAC40 companies have destroyed 600,000 jobs, half of them in France. I know that the waltz of such astronomical figures is sometimes difficult to understand for the ordinary citizen. I would add, however, that, by way of comparison, the recruitment of 100,000 caregivers that we are proposing is about EUR 6 billion, and this is by integrating the catch-up of the index point. Your majority is angry to highlight supposedly encouraging results, particularly in terms of purchasing power. But what about it? Well, the reality is that Mr. Macron was the president of purchasing power... but of the wealthy! There is no need to read Humanity to affirm it,...
ParlaMint-FR_2021-12-10-O1094.u18	You still have to read it!
ParlaMint-FR_2021-12-10-O1094.u19	...you just have to follow the last conference of the Institute of Public Policy. It was learned that long-term measures played mainly at the top of the distribution and that, for the only reduction in income tax, there was a zero gain for almost 57% of households, but a gain of EUR 1 billion for the most affluent 1% of our citizens. So yes, just a few months from the election, Mr. Macron pretends to be playing Santa Claus, after proudly endowing his costume of Father Fouettard, with the breakdown of unemployment insurance. In the face of the price boom, here he is, like a lady bossess, distributing a few trances to her poor. After the Macron bonus, here's a covid bonus, then a boost to the beneficiaries of the APL, the personalized housing assistance – though planed at the beginning of the mandate – and finally the famous cheques of 100 euros, in the name of the tariff shield and inflation. So yes, ministerial propaganda is reinvigorating multiple plans supposedly "relaunching": MaPrimeRenov', plan "1 young, 1 solution" or plan France 2030, all of which are often only a bad compilation of investments already voted and which still remain largely insufficient. In short, it is the frog of the fable that wants to be beefed, for "every bourgeois wants to build like the great lords". Yet another fiscal and fiscal policy would have been possible. But since I sat on the Finance Committee, it has been at the same rate that our amendments are rejected, rejected, sometimes without a word. Of course, I see that La République en marche does not accept the programme of La France insoumée – and I see that. But finally, in five years of budgetary debate, after the "no matter what" of the health crisis, there are some of our proposals that could have been the subject of a real exchange. I am thinking here of our desire to smooth the tax contribution of the French through the creation of fourteen new tranches, so as not to penalise the popular classes or the middle class. I am still thinking about the re-establishment of the ISF, the removal of iniquitous niches, our plan for the construction, rehabilitation and isolation of social housing, or the investment in freight and rail transport, in order to draw an alternative solution to all-carrying. All of these measures would allow for a real recovery shock, benefiting from the multiplier effect of massive investment in the real economy, as is the case in other major countries such as China and the United States. While the fifth wave is now a reality, we have made concrete proposals to mitigate the most harmful effects of this health and social crisis: to block upstream the prices of energy and essential products; significantly increase the SMIC, since you cherish so much the value of work; Building and strengthening the autonomy of our young people, when almost half of our students are obliged to work to finance their studies or they lengthen the queues of those enrolled in food aid and the poor. However, there is no trace of these human realities in the budgetary bruises. In the face of such evidence, mentioned in expert reports and taken up in forums, I have often wondered: is it out of bad faith or because of indoctrination that you conceal this human reality, which should guide politics? He's probably a wise blend of both. Finally, I would like to testify to my first experience in the Committee on Finance. Sometimes I felt like an elephant in a porcelain store. In view of the complexity of the tax measures, in the face of experienced colleagues in this area, I felt that I was heavy and clumsy, defending our ever-present "political amendments". But sometimes too, faced with your sometimes despicable, sometimes mocking, but always technocratic answers, your silences and your stoned answers, I also felt like a porcelain in an elephant shop. The elephant is the weight of your unique thought: a thought barred with certainties, unable to devise alternative solutions, if not to sneeze about it. Your unique thought is ordoliberalism and its mantras. It is also your blind adherence to all these fadas, yet contradicted by the facts.
ParlaMint-FR_2021-12-10-O1094.u20	Thank you, dear colleague.
ParlaMint-FR_2021-12-10-O1094.u21	I conclude in two words!
ParlaMint-FR_2021-12-10-O1094.u22	Your intervention is over.
ParlaMint-FR_2021-12-10-O1094.u23	[[Applause on the benches of the FI and GDR groups]] Budget debates followed and are furiously similar. We are not subject to your doxa. This is our insubmission...
ParlaMint-FR_2021-12-10-O1094.u24	[[Mrs Sabine Rubin protested]] Thank you, dear colleague.
ParlaMint-FR_2021-12-10-O1094.u25	That's not fair, you left President Woerth another fifty-eight seconds!
ParlaMint-FR_2021-12-10-O1094.u26	Madame Rubin, you spoke for ten minutes and twenty seconds. You were able to express yourself during the prescribed time. It's pathetic to be within a second!
ParlaMint-FR_2021-12-10-O1094.u27	You're the one who's about a second away!
ParlaMint-FR_2021-12-10-O1094.u28	In the general debate, Mr Pierre Dharréville has the floor.
ParlaMint-FR_2021-12-10-O1094.u29	After the Senate's relatively new rejection of the bill, we have to re-read the finance bill for 2022, in a form identical to the one that was passed here a few weeks ago. It is to be feared, knowing your stubbornness, and even if hope always swells our veils, that there are therefore few surprises during our discussion. But there will also be little suspense for the vote of the Communist deputies and the Group of the Democratic and Republican Left. This finance bill closes five years of an economic policy that you are constantly calling for – I deliberately use this term a little bit of an old one – as we sell laundry by boasting its merits, for example by saying that it fights against "clean dirt", to quote a famous sketch. The numbers sorted on the shutter that you put forward cannot hide a much darker reality. The poverty rate still stands at almost 15 per cent, while unemployment is still very high, for example, youth unemployment at 20 per cent. Employment, on the other hand, is increasingly precarious. μ The French and French are not mistaken. They don't share your delusional enthusiasm. In a survey published in October, 58% of respondents stated that they were not satisfied with economic policy since 2017. The effect of your policies has been particularly unequal, the study published by the Institute of Public Policy in November is, in this regard, enlightening. You claim to have returned nearly 25 billion euros to the French thanks to the tax cuts. But it is clear that you have not returned them to all. Apart from the fact that such cuts deplete the State, since it could no longer afford to carry out the major public policies necessary to meet the needs, it should be recalled that taxation is also a redistribution tool that should reduce inequalities. The study carried out by the Institute is unequivocal: the poorest 5 per cent have seen their standard of living decline over the past five years as a result of the economic measures taken by the Government when, at the same time, the richest 1 per cent are the ones who have gained the best out of the game, with an increase in their standard of living of 3 per cent thanks to the gifts of the beginning of the quinquennium, or about 3,500 euros extra per year. In our country, therefore, the poor are increasingly poor and richer and richer. This observation, albeit simple, is perfectly in line with reality. The most modest 5% represent 3.35 million people in acute poverty, whose disposable income after deduction is less than 800 euros per month. Charitable associations are alerting us to the significant increase in food aid, and the departments are telling us that RSA's demands are increasing significantly. This situation, which is already unworthy, is made even more so by the special efforts you have made for other categories of the population. Of course, I am thinking of those who are at the other end of the chain and who have benefited most from your economic policy, that is, the 1% of the richest French, whose monthly income exceeds 10500 euros. There is the "whatever it costs" – in reality, there is the couvac: it costs. The Group of the Democratic and Republican Left often denounces this situation because the concentration of wealth in the hands of a few is both unfair and devastating. This unequal situation is not only detrimental to social cohesion, it is not only counterproductive to the values of solidarity and cooperation that underpin our republican pact: it is also an economic and social countersense. [[Smile on the benches of the SOC and FI groups]] The policy of the first of the ropes, repeatedly praised by the majority – since in reality this year's largest budget item will be that devoted to painting, to paint everything in pink – proves to be an economic and social failure. The evaluation reports are now very clear: the abolition of the ISF and the creation of the flat tax have had no real effect on activity, investment or employment – on the other hand, on agitation and death speculation, yes! At the time of the assessment, you will be able to draw the conclusions you wish to draw and to display the overall economic indicators that you think are positive, but you will not be able to remove from the heads of the French that sentiment, shared and widely verified, that your economic policy has even more fragmented and damaged society. [[Applause on the SOC and FI benches]] Finally, I will not dwell on the way in which this draft budget has been discussed and the last minute amendments have prevented a real discussion.
ParlaMint-FR_2021-12-10-O1094.u30	Mrs Marie-Christine Verdier-Jouclas has the floor.
