ParlaMint-FR_2021-10-11-O1008.u1	The next item is the debate on the draft finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-11-O1008.u23	[[Applause on several benches of the LaREM group. – Mr. Mohamed Laqhila also applauds]] They're incoherent. You, your strength, have been your consistency for almost five years. We restored public finances in 2018 – they had not been in the past eleven years. We will do so in the coming years, according to the timetable you have set. Our public debt will be 114 per cent of GDP in 2022, compared to more than 115 per cent in 2021. Our public deficit will not exceed 5% of GDP in 2022, including the investment plan and measures responding to rising energy prices – which no one here can challenge the urgent need for the most modest households.
ParlaMint-FR_2021-10-11-O1008.u24	Of course!
ParlaMint-FR_2021-10-11-O1008.u25	We will not repeat the mistake of 2008, which has cost the European economies so much: we will not restore public finances to force, austerity or brutality; We will restore them through structural reforms, a renewed budgetary procedure and growth. We are continuing structural reforms: the reform of unemployment insurance entered into force on 1 October, and the President of the Republic has been clear on the need for pension reform. We will also lead the restoration of public finances by applying a more efficient budgetary procedure – notably by applying the multi-year public expenditure rule proposed by Éric Woerth and Laurent Saint-Martin. I hope that, when the time comes, we will give this multi-year rule a constitutional value, because only a constitutional rule will force us all here to make clear choices about public spending, in other words, democratic choices about it. Everything is not possible, and the principle of democracy is the choice: that is what this constitutional rule will allow us to do. [[Applause on several benches of the LaREM group]] Finally, we will lead the restoration of public finances by what is most essential, most effective, most necessary and safest for our compatriots: growth. Growth is back in France. It does not fall from heaven; It does not come as if by enchantment; It is not the mechanical and simple consequence of the decline we experienced in 2020 and the economic shock we experienced. The economy does not function as a spring that would relax and extend mechanically – if not, stop politics! If we don't believe that politics can change the deal, let's move on! We all gather here on one point: politics can change things. Our economic policy has changed things: it brought back growth in 2021 for the French. [[Applause on a few benches of the LaREM group]] [[New applause on a few benches of the LaREM group. – Mr. Jean-Noël Barrot also applauds]] I will go further: if French growth has returned so quickly, it is not simply because of the choice of protection you have made – and we have done with the President of the Republic, with the "no matter what" – in 2020; This is not simply the result of a successful recovery, which we have already disbursed almost half in 2021; It is also – do not have the short memory – the result of your economic policy choices for more than four years. Since 2017, ladies and gentlemen of the majority – sometimes with the support of some members of the opposition – you have thoroughly reformed taxation, reduced household taxes massively and simplified the lives of businesses. This is what allows some people today to have higher purchasing power than in 2019, despite an unprecedented crisis; This is what allows companies to regain the most important margin rate in 20 years – it's because we've held on to the drop in corporate and corporate taxes! This is what allows companies to innovate, invest, and above all, more important than anything else, to hire. INSEE expects us to reach an unemployment rate of 7.6% this half-year, the lowest level since 2008. Some dreamed of reversing the unemployment curve, you, ladies and gentlemen of the majority, did it!
ParlaMint-FR_2021-10-11-O1008.u26	What a self-satisfaction!
ParlaMint-FR_2021-10-11-O1008.u27	Growth is strong; it is solid; It's dynamic. We will therefore revise the growth forecast for 2021 from 6% to 6.25%. In accordance with my promise, in December 2021 we will return to the level of pre-crisis activity. I will therefore refer the matter to the High Council for Public Finance (HCFP) on 22 October, as I had committed myself, to resubmit the updated finance bill, with a revised growth rate of 6.25% for the year 2021. Some tell us: "Okay, unemployment is falling; All right, you've protected the economy well; All right, growth is back, but you've helped the richest, you've neglected the most modest, you've neglected the middle classes, you've made a policy for the rich. »
ParlaMint-FR_2021-10-11-O1008.u28	Yes!
ParlaMint-FR_2021-10-11-O1008.u29	That's right!
ParlaMint-FR_2021-10-11-O1008.u30	[[Applause on a few benches of the LaREM group]] Obviously, there is not only growth that is back, but also demagogy! Ladies and gentlemen of the majority, do not let this untruth pass; revolt against this lie. I know the bigger it is, the more it goes, but now, frankly, it doesn't pass! For the past five years, you have increased the social minimums; you have increased the activity premium by EUR 100 per month to better pay the most modest workers; you have defied overtime – and we propose, in the PLF for 2022, to deficate tips –; you have removed employers' contributions at the level of the SMIC; you have massively developed interest and participation, to ensure more justice and to involve employees in the results of companies; you have reduced household taxes by 26 billion euros, the biggest tax reduction ever made in France in 20 years!
ParlaMint-FR_2021-10-11-O1008.u31	Yes!
ParlaMint-FR_2021-10-11-O1008.u32	You have lowered taxes for the most modest classes and the middle classes; you saved thousands of jobs through partial activity; You have therefore protected millions of paid employees at SMIC, who have not lost 1 euro during the most serious economic crisis that France has experienced since 1929. You have avoided an avalanche of bankruptcies, with its inevitable procession of human tragedies and dismissals. You have relaunched the hiring, learning, growth and attractiveness of France. Finally, after four years of heated debates and struggles, marked by ups and downs, good surprises and disappointments, you have obtained the international taxation of digital giants...
ParlaMint-FR_2021-10-11-O1008.u33	Yes!
ParlaMint-FR_2021-10-11-O1008.u34	[[Applause on the benches of the LaREM group]] ... and the introduction of a minimum tax of 15%: this is a historic agreement, which changes the international tax situation for the 21st century. You are the majority of the tax justice system, that of the working middle classes, that of merit, that of France, which returns to economic success and recovers. Be proud of it!
ParlaMint-FR_2021-10-11-O1008.u35	Perfectly!
ParlaMint-FR_2021-10-11-O1008.u36	However, is the sky clear on the horizon, to resume a fashionable term? No, and that requires us all, the majority as opposed, to remain vigilant about certain risks. I count three immediate ones. The first is systemic: it is that of an exacerbated economic rivalry between nations, at the risk of a conflict between China and the United States. The conquest of rare earths, the desire to master new technologies, the shortage of materials such as wood or steel, or components such as semiconductors, competition over global standards, can lead to a slowdown in global growth or, worse, to power conflicts, particularly between China and the United States. To this long-term risk, I see only one answer: the independence of the nation and Europe. This is what will lead the President of the Republic to present tomorrow an ambitious investment plan for France of 2030. This plan must strengthen our independence in critical areas such as nuclear, biotechnology and space. It must renew our innovation investment policy and create new industrial sectors, such as hydrogen. The aim is to strengthen France's industrial base, beyond its current areas of excellence such as aeronautics, luxury, medicine and agri-food. An amendment to the appropriations required in 2022 for this investment plan will be tabled for this purpose during the first reading of the Finance Bill. The second risk is inflation. We do not fear structurally high inflation. Current inflation in the world is linked to strong economic recovery and shortages. We had anticipated this movement, allowing us to maintain our inflation forecast at 1.5% for 2021 and 2022. What we fear, on the other hand, is the effect of this inflation on the price of certain products of everyday life and its consequences for the daily lives of the French. [[Applause on a few benches of the LaREM group]] I think first of all about the price of energy. The price of gas has blazed in the last few weeks. It's not good news for anyone. This is not good news for the state, which in this case loses at least as much tax revenue as it earns. Do you really believe that the state has become richer during the oil shocks? Do you think he'll get rich with a gas shock? The presidential candidacy does not allow all approximations and demagogies. This is not good news for households, which see their energy bills increase sharply, nor for companies, whose fixed costs are exploding. To respond to this surge in energy prices,...
ParlaMint-FR_2021-10-11-O1008.u37	One hundred percent increase!
ParlaMint-FR_2021-10-11-O1008.u38	...the Prime Minister announced the freezing of the gas price, the payment of an additional EUR 100 energy check in December and a tariff shield on electricity prices. These are costly but necessary measures to protect the poorest households. They will cost EUR 600 million for the energy check and EUR 5 billion in full years for the reduction of taxation, assuming that gas prices – which draw those from electricity – do not increase further. That is the financial effort that is needed to protect the French from rising energy prices.
ParlaMint-FR_2021-10-11-O1008.u39	What about CSPE?
ParlaMint-FR_2021-10-11-O1008.u40	[[Applause on several benches of the LaREM group]] Beyond these immediate solutions, the medium-term solution is European and it is twofold: first, it involves a reform of the European energy market, for which I have been fighting for several weeks. We cannot accept that France – which benefits from a historical cost of producing nuclear electricity at 42 euros per megawatt hour – will pay the marginal cost of operating gas power plants, which currently amounts to 167 euros per megawatt hour! Nor can our Spanish friends accept that they have invested heavily in renewable energy in order, in the end, to pay not the average cost of producing renewable energy, but the marginal cost of producing gas-fired power plants: this system is unfair, inefficient and we need to reform it.
ParlaMint-FR_2021-10-11-O1008.u41	That's right!
ParlaMint-FR_2021-10-11-O1008.u42	The second European solution, which I proposed this morning with several European partners – Romanian, Finnish, Slovak, Slovenian, Polish, Czech, Croatian, Bulgarian and Hungarian – is to relaunch nuclear energy. This energy is decarbonized and available.
ParlaMint-FR_2021-10-11-O1008.u43	What a discovery!
ParlaMint-FR_2021-10-11-O1008.u44	[[Ms. Cendra Motin applauds]] It is a French know-how; It is one of the solutions in the face of rising gas prices and the growing need for electricity in our daily use. In order to face the energy crisis and to deploy the energy transition calmly, we must reinvest in nuclear energy.
ParlaMint-FR_2021-10-11-O1008.u45	Why did you shut down the Fessenheim power plant?
ParlaMint-FR_2021-10-11-O1008.u46	The third risk is the shortage of labour. In your capacity as local elected officials, you can see it in your constituencies: the builders of the building, the public works contractors, the restaurateurs, the hoteliers lack it. This is the paradox of France, which has too many unemployed people and not enough arms. The solution is through training.
ParlaMint-FR_2021-10-11-O1008.u47	And by salary increases!
ParlaMint-FR_2021-10-11-O1008.u48	The €1.4 billion skills development plan, announced by the Prime Minister at the end of September and deployed by Elizabeth Borne, is in addition to the means of recovery mobilized to train in the professions of the future. The solution then lies in the reform of unemployment insurance. Finally, it passes through a strategic objective which, for the first time in half a century, seems accessible and which constitutes the red line of the five-year economic policy: full employment. For the first time since 1970, France can achieve what other major developed nations have achieved for years: full employment, i.e. a level of unemployment of 5 to 6 per cent.
ParlaMint-FR_2021-10-11-O1008.u49	That's the goal!
ParlaMint-FR_2021-10-11-O1008.u50	[[Ms. Cendra Motin applauds]] [[Applause on the benches of the LaREM group. – Mr. Jean-Noël Barrot also applauds]] We must put an end to the national renunciation of this issue. We must put an end to an economy that is satisfied with an unemployment rate of 11% when things go wrong and 8% when things go well. Full employment is now possible, thanks to you, thanks to the offer policy that you were the first to set up in 20 years. No one had yet tried this policy, which is to strengthen the competitiveness of enterprises, to train employees better, to increase the level of qualifications, to lower taxes and to refuse the ease of tax increases. That is what allows you to say today to the French and French: we can achieve full employment within two years. It is thanks to you, thanks to the President of the Republic, thanks to the economic transformation that you have supported since 2017, an accessible goal for the French nation.
ParlaMint-FR_2021-10-11-O1008.u51	The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-10-11-O1008.u52	Let me begin by telling you how pleased I am to meet you in a public session to start this budget marathon, which will undoubtedly occupy us intensely over the next few days and weeks. This finance bill – the last of the quinquennium – that I have the honour to present to you with Bruno Le Maire, Minister of Economy, Finance and Recovery, reflects our main directions for the future, as well as the public finance strategies deployed since the beginning of the quinquennium, and then in the face of the crisis. Last year, at the same time, we approached the review of the budget with the uncomfortable feeling of uncertainty about the evolution of the health situation, the economic prospects or the intensity of the support to be provided. The horizon may not be completely clear, but we have the immense satisfaction of the results of the massive support we have put in place, notably with high economic growth and the return to unemployment below the pre-crisis level and equivalent to that of the end of 2007. We are therefore approaching this PLF in a much better situation, with robust growth; Moreover, the exit of the crisis is an opportunity to think of France in 2030. That is why, as Bruno Le Maire has just said, we will propose that you amend this budget to include the financing of the investment plan that the President of the Republic will present. I, for my part, wish to concentrate on two essential points: firstly, this budget enables the commitments of the President of the Republic, the Government and the majority to be fulfilled; Then, after the first four budgets, I want to underline what it brings about the purchasing power of the French. As we present it to you, this finance bill is above all a promise. It implements the commitments of the President of the Republic and the Government and, first of all, strengthens the resources allocated to the Regalian missions. First, it allows the State to be rearmed, as we had committed ourselves to it. We're doing what we said. We respect and enforce the law of military programming, thanks to an increase of 1.7 billion euros in the appropriations of the Ministry of Armed Forces. We are thus fulfilling our commitments. We are also increasing the resources devoted to the Ministry of the Interior, to the tune of 1.5 billion euros, and we are financing the announcements made by the President of the Republic in the framework of the Beauvau de la sécurité, as well as the commitments made by the Minister of the Interior. [[Ms. Cendra Motin applauds]] We are finally increasing by 8%, and this for the second year in a row, the budget allocated to the Ministry of Justice – I would point out that, if everyone had agreed last year that such an increase was historic because of its amount, it is all the more so this year, with a repetition for the second consecutive year, I repeat, of an increase of 8%. The law of programming for justice is thus respected and our commitments are fulfilled. This budget therefore gives us the means to defend ourselves and enforce the law, thus fulfilling the Government's commitment to restore the functions of the Regalian; Everyone can be happy about it. [[Applause on several benches of the LaREM group]] Secondly, this budget invests in the future: youth and education are indisputable priorities of this budget, as well as precedents. The budget of the Ministry of National Education will grow by 1.7 billion this year. This historic increase will reinforce policies that have already borne a lot of fruit: for 2022 we aim for a target of 200,000 young people on a civic service mission – a mechanism in which we believe. Supporting young people also means paying more attention to the students who need it most: by way of illustration, this budget will also make it possible to recruit an additional 4000 accompanying students with disabilities (AESH) at the beginning of the 2022 school year. On the quinquennium, we will have created nearly 30,000 AESH posts and we are extremely proud of this historic policy on the reception of children with disabilities at school. In order to prepare for the future, by investing in education and research, the appropriations of the Ministry of Higher Education will increase by 700 million euros, of which 550 million correspond to the planned march under the Research Programming Act and 150 million to the improvement of the student condition. [[Mr Jean-MarcZulesiapplaudit]] The third commitment I want to stress: this budget gives us the means to continue the ecological transition. It is an imperative of civilization and we are strengthening our efforts in this area for several years to do so. As a result, we have steadily increased appropriations for the Ministry of Ecological Transition. We are not derogating from this rule again this year: the increase in its appropriations amounts to EUR 1.5 billion, excluding the recovery plan. It should be noted that between 2021 and 2022, the expenses associated with the ecological transition represent one third of the expenses incurred under the recovery plan, to the tune of 30 billion. By combining the efforts made on the traditional budget of the Ministry of the Ecological Transition and within the framework of the recovery plan, the funds allocated to MaPrimeRénov'will reach almost 2 billion euros in 2022, which will allow the State's effort to maintain the energy renovation of housing at the same level as in 2021. Finally, discussions on environmental taxation can often be heated. From this point of view, it must be stressed that the taxation of biofuels is a success. Year after year, we are increasing the level of environmental requirements, which will enable us to achieve the objectives of multi-annual energy programming. We are going even further, integrating hydrogen into this tax system, so that we can be as efficient and as comprehensive as possible. In order to monitor the environmental consequences of the budget, we have pioneered the introduction of the Green Budget, the second edition of which has just been published. With this, you will see that environmentally friendly spending is on the rise again, as it will reach €2022_32.5 billion from the common rights appropriations of the ministries, compared with €31.4 billion in 2021. If this budget prepares for the future, it is also a budget of equality and solidarity – this is the fourth commitment I want to stress. Thus, we will maintain in 2022 the highest level of accommodation we have ever known, that is, 190,000 places throughout the year. From a budgetary point of view, this translates into an increase in emergency accommodation appropriations from €1.8 billion to €2.7 billion between 2017 and 2022, which seems to me to demonstrate our commitment in this area. [[Applause on the benches of the LaREM group]] With this budget, we also propose that you translate another commitment made by the Government before the National Assembly: that of raising the amount of the allowance for adults with disabilities, or AAH, for persons who are beneficiaries and living with them. After having already re-aligned this allowance of 90 euros a month three years ago, we propose today to create a system of allowances that will allow 120000 couples to benefit from an increase of 110 euros a month in the amount of this allowance, for a total amount of 200 million euros. We have said from the beginning of the quinquennium that disability is a high priority of this legislature, and it remains so. We have, it seems to me, collectively demonstrated this and, to all those who tell us that we have not done enough, I will reply that, on the quinquennium, expenditure on the allowance for adults with disabilities will have increased by a quarter, i.e. by 2.4 billion euros. No one had done it before.
ParlaMint-FR_2021-10-11-O1008.u53	There are those who speak and those who do!
ParlaMint-FR_2021-10-11-O1008.u54	This budget is also an equality budget. For example, we will continue to fight tirelessly for equality between women and men, which in 2022 will go through a 25% increase in the budget, which will reach just over 50 million euros. This amount represents directly manageable expenditure per ministry, since the appropriations for equality between women and men, as well as for the fight against discrimination, reach more than EUR 1 billion in cross-cutting terms. This budget will, in particular, fund the opening of 3919 services 24 hours a day since September. This is, again, a commitment. [[Ms Cendra Motin and Mr Jean-Jacques Bridey applaud]] Finally, we present you with a solidarity budget, and we are proud to announce that official development assistance will in 2022 represent more than 0.55% of gross national income, which is in line with the commitment of the President of the Republic. Some doubted it, but here too, we are fulfilling our commitments. This budget will increase by EUR 1 billion in 2022 and, on a quinquennium basis, the mission's official development assistance budget will have increased by 70 per cent. This is an increase that no one had made before. Finally, I would like to stress that this budget pays particular attention to all the territories of the Republic. This is the last commitment I would like to remind you, but it is not the least, since it is a matter of making financial relations between the state and local authorities a priority. This budget is characterised, as it has been for the past five years, by the maintenance of the total operating allocation paid by the State to local authorities at EUR 26.8 billion. We have made the choice to maintain, as a first step, the appropriations for the provision of equipment in rural areas and for the allocation of support for local investment, or DSIL, to the tune of EUR 2 billion, as in previous years. I would point out that, as part of the recovery plan, we have spent EUR 2.6 billion on exceptional support for local government investment, in addition to these 2 billion annuals, but we have also recently taken the decision, under the Prime Minister's authority, to abound these EUR 2 billion with an additional EUR 350 million in DSIL for projects included in the recovery and ecological transition contracts, which will therefore bring the investment of the local block – common and inter-community – to EUR 2,350 billion for the year 2022. In the context of financial relations between the State and local authorities, vertical equalisation will also continue to increase by EUR 95 million for the allocation of urban solidarity, and also for the allocation of rural solidarity. In addition, we will devote some additional appropriations to city and land-use policies. For example, we expect an increase of €47 million in funding for the city's policy to finance the deployment of 200 educational cities. In addition, we will increase by EUR 35 million the appropriations of the National Fund for Regional Planning and Development to support the development of new France services houses throughout the country, as well as the implementation of the measures contained in the rural agenda. Last promise kept: business support, which is our political DNA. The text before you contains the tax component of the plan for self-employed workers announced by the President of the Republic on 16 September. We propose a range of measures that meet the needs of entrepreneurs and all of which, in line with the Government's creed, lead to more simplicity in economic life. You will have the opportunity, during the examination of the text, to decide on an amendment by the Government which proposes, in line with the creation of the single statute provided for a separate bill, to offer individual entrepreneurs the possibility of opting for their subjection to corporate tax. Today, they do not have the right to do so, and this is therefore a very favourable measure of coherence for self-employed workers, which will improve their support in the professionalisation of their activity. I would add that the draft law on the financing of social security (PLFSS) which we tabled with Olivier Véran a few moments ago before the Committee on Social Affairs also provides for other measures in the field of social protection and contributions, in order to implement the commitments made by the President of the Republic in the framework of this plan for the self-employed. Ladies and gentlemen, after first trying to demonstrate that this budget is that of the commitments that have been made, I would like, in a second step, to stress that it consolidates our policy in favour of purchasing power. First of all, there are all the achievements of the quinquennium, which we do not question and which we support: the reduction of the corporate tax (IS), on the one hand, so that all companies are eligible at the rate of 25% next year, and the abolition of a second tranche of the housing tax for households whose principal residence is still imposed as such. This represents a tax reduction of around €6 billion in 2022 and will allow us to achieve a total tax reduction of €50 billion on a quinquennium basis – 25 billion for households and 25 billion for businesses.
ParlaMint-FR_2021-10-11-O1008.u55	All right!
ParlaMint-FR_2021-10-11-O1008.u56	[[Ms. Stella Dupont applauds]] As a result of this policy, the tax burden will be the lowest in the last 20 years, as the mandatory levy rate, with a figure of 43.5%, will be below what it was in 2011. This means that with the tax cuts we have proposed, we will have eliminated the tax increases from 2010-11 following the 2008 financial crisis – I would like to remind those who seem to forget that the increase in taxation covered the two previous five-year period. Combined with the revalorisation of labour incomes, which we guarantee and which we accompany each year, this fiscal policy allows us to give purchasing power to French households. In this respect, I am thinking in particular of the increase in the activity premium, which we obviously support, and of the exemptions from wage contributions which you voted for and which allow this increase in purchasing power. I am also thinking, for the 2022 finance bill, of the defiance of the tips paid to employees in the hotel, coffee and catering sector, announced by the President of the Republic, which will be implemented by an amendment co-signed by the members of the Dem Group and the La République group on the move. It must be borne in mind, in terms of balance sheet, that despite the crisis of 2020, despite the epidemic crisis that we have experienced, the purchasing power of French households will increase during this five-year period twice as fast as the average of the two preceding five-year period. This purchasing power given to the French is virtuous in many respects, as we see in the wake of the crisis with the support of consumption. This determined action is therefore continuing, in this finance bill, with the translation of the commitments made by the Prime Minister to preserve the purchasing power of households in the face of the sharp and global rise in gas and electricity prices. As Bruno Le Maire said a moment ago, the Government has tabled an amendment to put in place the tax component of the tariff shield announced on 30 September. It will be complemented by other measures announced by the Prime Minister, which will in particular ensure that the regulated electricity sales tariff will not increase by more than 4% from its level of 1 August 2021. Let me conclude with a few words on the results we expect and which are already reflected in macroeconomic indicators. The fact that our government deficit will be reduced to less than 5% of GDP, half of what we experienced in 2020 and almost half of what we will experience in 2021, is an important point that is also measured in terms of value. Thus, the government deficit is expected to be around EUR 125 billion in 2022, compared to 210 billion this year and last year. In addition, public debt will be stabilized at 114 per cent of GDP. We also manage, with due caution, to return to a level of public expenditure comparable to that of the pre-crisis period. Thus, we have mastered the evolution of public finances in an exceptional context of crisis. As I said a moment ago, the rate of compulsory levies will be reduced to 43.5% and public expenditure around 55% of GDP. [[Applause on the benches of the LaREM and Dem groups]] In conclusion, I would point out that, despite all these commitments, we are continuing our efforts to control expenditure: out of urgency and out of recovery, ordinary public expenditure will increase in volume by only 0.8%, which is little or no match to the development we have seen in the first three years of the quinquennium, which has enabled us to meet a number of commitments, such as reducing the deficit below 3%, reducing the burden of public expenditure, reducing the burden of compulsory levies, and stabilising and beginning to reduce the burden of debt. It is this serious budget that has enabled us to give ourselves room for manoeuvre in the face of the crisis. It is the same serious budget that this 2022 finance bill illustrates.
ParlaMint-FR_2021-10-11-O1008.u57	Mr Laurent Saint-Martin, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2021-10-11-O1008.u58	This 2022 finance bill is a new piece of legislation given its context, the political choices it contains and its responsibility for the coming years. We are looking at it as our country's economic and fiscal situation improves – which is obviously the result of political choices that we have made since the beginning of this crisis and before. These choices have always been, and continue to be, permitted by the seriousness and control of the budget since the beginning of this legislature. This draft budget is, moreover, in keeping with the policy that we have implemented from the beginning of the legislature – an ambitious, reasonable, responsive and ever-changing policy. As part of a strong economic recovery, this text for 2022 first provides for strong and ambitious budgetary measures, and we demand it. [[Applause on several benches of the LaREM group]] The first of these measures is the end of the "no matter what" era. This principle was necessary and the decisions taken for more than 18 months in this direction enabled our country to go through the crisis, our companies to restore their cash flow, jobs to be safeguarded, local and regional authorities to maintain their level of revenue and to be helped in their exceptional spending, and the most fragile households not to fall into great insecurity. Yes, the "whatever it costs" is a success and, in view of the various collective budgets we have examined in this House, everyone here, in all honesty, can recognize it. It is true that you will still find in this text a mission entitled Emergency Plan. From a technical point of view, there are still some credits to be consumed. However, let us bear in mind that the "whatever it costs" is over, since we have achieved an Act II which is the end of the recovery plan and the beginning of the investment plan. [[New applause on several benches of the LaREM group. – Mr. Charles de Courson also applauds]] First of all, I will mention the recovery plan. This, too, is a promise kept – a promise that was a challenge: to be able to unlock, disburse and invest EUR 100 billion in two fiscal years. We have done so, and I would like to commend the work that Éric Woerth and I have done as special co-rapporteurs for this mission, an example of trans-party work carried out in the interests of the country at a critical moment, and in no way in the direction of political opposition. I would therefore like to thank the Chairman of the Committee on Finance for his very constructive spirit. This plan should lead to a few redeployments limited in this text and in the budget collective that we will be considering in a few weeks, the draft amending finance bill (PLFR) for the end of management. Again, however, the overall envelope and the overall structure are respected: we have said it and we are doing it. This is not only important in terms of budgetary sincerity and political promises: it is also important for all the players who benefit from the credits from the recovery plan. In fact, businesses in your electoral districts first ask for readability, understanding. Things are, of course, sometimes a little complicated, some thematic and sectoral funds are still a little too much Kafkaian and too many forms still have to be filled, but overall, the recovery plan works – if it didn't work, the funds would not be disbursed at this rate and we would not see such a level of investment in our companies and such a level of jobs recovered. The third essential measure of the text is the implementation of the commitments made in terms of priority public policies. On this point again, I have heard for several weeks that this budget would be too expensive, that we would "burn the caisse" with this finance bill and that we would use France's checkbook to campaign. But look more precisely where the spending increases are! Programming laws were passed long before this summer: the military programming law dates back to the beginning of the legislature,...
ParlaMint-FR_2021-10-11-O1008.u59	Yes!
ParlaMint-FR_2021-10-11-O1008.u60	...the law of programming for research well before this summer,...
ParlaMint-FR_2021-10-11-O1008.u61	Yes!
ParlaMint-FR_2021-10-11-O1008.u62	...just like the official development assistance programming law.
ParlaMint-FR_2021-10-11-O1008.u63	Yes!
ParlaMint-FR_2021-10-11-O1008.u64	All sectoral programming laws...
ParlaMint-FR_2021-10-11-O1008.u65	A law of programming, it's changing!
