ParlaMint-FR_2021-11-10-O1057.u1	The next item is the debate on the draft amending finance law for 2021 (No. 4629, 4659).
ParlaMint-FR_2021-11-10-O1057.u12	Mr Laurent Saint-Martin, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2021-11-10-O1057.u13	[[Marie-Christine Verdier-Jouclas applauds]] The Government's proposal for an amended end-of-management finance bill makes it possible to take into account for fiscal year 2021, first of all the increase in the forecast of growth for this year from 6 per cent to 6.25 per cent. This is the first good news we must stop at because it owes nothing to chance. It is of course the translation of the political choices that we have voted for here, it is the result of an effective economic policy, constant since the beginning of the health crisis, and in continuity with that carried out since the beginning of this legislature, based on the liberation of our economy, but also on the protection of the French, in particular by emergency measures and the preparation of our future with the recovery plan. I note, moreover, that, according to many forecasters, growth could still exceed 6.25% by the end of 2021. This economic rebound has a substantial impact on the labour market, visible in a figure that each of us looks closely at, and assiduously: that of the unemployment rate that could reach, at the end of the year, a level that had not been so for almost fifteen years. It is already lower than the pre-crisis level. I sincerely believe that the whole of national representation can and should welcome this situation, which, of course, will need to be consolidated and improved. In terms of public finances, the vitality of economic activity is reflected in an improvement in the forecast of the government deficit from 8.4% to 8.2% of GDP for the year 2021. This update takes place just over a month after the previous forecast, which was associated with the introduction of the 2022 Finance Bill. [[Ms. Zivka Park applauds]] As for compulsory levies, tax and social revenues, they are dynamic, necessarily directly linked to the increase in the forecast of growth. It is a favourable orientation of the labour market that I have mentioned, which allows for the increase of the amounts recovered, in particular those derived from the social levies directly linked and seated on the wage bill. The state's tax revenues are expected to reach nearly $78 billion by 2021, 19 billion more than we predicted and estimated in last summer's first amending finance bill. 19 billion euros of additional revenue for the state between the PLFR of June and November: let us collectively report on what this represents in the capacity for action directly at the service of our citizens – I will come back to it with the exceptional aid linked to inflation – but also dedicated to reducing the deficit, thus at the beginning of our country's deleveraging. I intend to stop for a moment on this point, because everyone considers, far too much, that any new expenditure would be made with constant revenues, as if any new expenditure would be to widen the deficit by definition, to "burn the fund" or to use the State checkbook. The truth is that when you have an additional EUR 19 billion in tax and social revenue through a working economic and social policy that lowers unemployment and increases the revenue of the state, it is obvious that this amount can be used to better protect our citizens, to continue investing and to desist. We therefore see that making the bet of activity to finance our social model is not a view of the spirit: it is a reality, it is a political will difficult to implement but one that bears fruit; the numbers and facts are stubborn. On the expenditure side, the end of the "whatever it costs" is reflected in this text by cancellations, slightly above 3.5 billion, notably under the missions Emergency plan in response to the health crisis and Unallocated credits. There are net openings of payment appropriations for a little more than 3 billion, the minister said, for the creation of the inflation compensation, the amount of which will be just over 3.8 billion, as well as for the increase of 100 euros of the energy check. Among the tools introduced by the Government and the parliamentary majority, these provisions are designed to protect the French against the increase in the cost of living, in particular of fuels, electricity and gas, which accompanies the economic recovery observed in the world and in France. Whether there is inflation in a global economic recovery as powerful as the recession has been, whether there is inflation in the face of so much monetary creation needed in relation to the crisis and the action of the central banks, it is normal, it is natural, it is even healthy enough. What is needed is that we can contain the effects of this inflation, which can obviously have an impact on the purchasing power of our citizens. When the DNA of the majority in this mandate is to protect and strengthen the purchasing power of our fellow citizens, it is natural that exceptional transitional tools such as inflation compensation and the upgrading of the energy cheque are created. I am pleased that these tools are found in the amended end-of-management finance bill and not fully in the 2022 Finance Bill. This also reflects their transitory, exceptional nature and, above all, their rapid and effective implementation. Some had defended fuel tax reductions on all banks rather than inflation compensation. I consider, and have always defended, that this type of budgetary allowance is more appropriate. It will first be paid to 38 million people with a net income of less than EUR 2000 per month; It helps to target smaller households or households with average incomes, while a reduction in taxes, which is difficult to reverse – we know the cliquet effects of tax cuts – would have affected all households, including those in the last deciles, which you so often deplore. This inflation allowance of 100 euros is online, if not more than the loss of purchasing power at the pump of a household with a car compared to the price of fuel recorded in 2018 and 2019, on average – you will find people for whom the effects of inflation will be greater, and others less. It is a simple, efficient, quick to apply and properly calibrated measure. This is similar to the helicopter currency system that was observed across the Atlantic during the crisis. Moreover, it is not said that direct aid to the most modest households will have to be devised in the short term in order to cope, in particular, with the costs of the ecological transition. This increase, if considered temporary, remains of great magnitude, and if you combine the inflation allowance, the tariff shield that we voted for in the review of the finance bill, the increase in the energy cheque, in total, is a considerable financial effort by the community, either in additional expenses or in less revenue. I will not let it be said that there is a state pool on the situation of energy price inflation. In the years 2021 and 2022, if we assume that inflation does not go beyond the revenues and costs that this will generate for the public authorities, it is in the end more than 8 billion that the community will have to pay to protect the purchasing power of households. Eight billion is a little less than the budget of justice. So we are very far from a pool, rather on a colossal financial effort. I say this in anticipation of the many amendments which will want to explain that all the measures are insufficient. To spend 8 billion on purchasing power exceptionally, it had never been seen. The PLFR includes other measures, such as massive aid linked to France skills, the exceptional repayable advance to Île-de-France Mobilitys in the amount of 800 million, which complements the grants granted to it in 2020 in the face of tax losses, and in addition to the first repayable advance of 1.2 billion a year ago. In total, it is almost 2.5 billion that the State unlocks for Île-de-France Mobilitys so that this organizing authority can meet its obligations vis-à-vis its operators and avoid that the user of the public service of mobilitys francilien pays them by an increase in the Navigo pass in particular. We do this well that the management of Île-de-France Mobilitys has been challenged and criticized by the Regional Chamber of Accounts.
ParlaMint-FR_2021-11-10-O1057.u14	A catastrophic management!
ParlaMint-FR_2021-11-10-O1057.u15	Finally, this paper proposes a decline in the debt ratio – in 2021, it is 115.3% instead of 115.6% – directly linked to the new fruits of growth. I hope that we will be able to discuss the issue of debt on a regular basis, once the organic bill that Éric Woerth and I will submit to you is adopted. [[Applause on the benches of the LaREM group]] In total, I invite our assembly to pass the second amending finance bill for 2021, which has all the characteristics of an end-of-management collective, without tax tools – in this regard, I thank the Government for having respected this discipline throughout our mandate – which clearly reflects the need to continue to protect our fellow citizens, the purchasing power of households, and which reflects the very good French economic sequence today, which everyone can rejoice at.
ParlaMint-FR_2021-11-10-O1057.u16	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2021-11-10-O1057.u17	I would like to take this opportunity to address, beyond the PLFR itself, the issue of public expenditure. The recovery of our public finances has become the promise made by all the Presidents of the Republic during the first year of their term of office, giving rise to hope each time. I certainly do not deny the sincerity of their commitment, nor do we deny the violence of the health and economic crisis that our country has been experiencing since 2020, but this must not prevent us from analysing the increase in expenditure since 2017. Because we are able to distinguish between emergency and recovery expenditure and current expenditure, unrelated to the crisis, we have an interesting reading grid of nature and the evolution of public expenditure. Thus in 2022, we should have spent, from all public administrations together and from draft finance law (PLF) to PLF, 172 billion euros more than in 2021, all crisis expenditure included.
ParlaMint-FR_2021-11-10-O1057.u18	[[Charles de Courson applauds]] What questions the most is the 150 billion additional current expenditure. I include in this figure the investment credits of France 2030, or the Youth commitment contract. Thus, in just three years, with an additional 100 billion out of crisis-related expenses, the Government will have led a policy of increasing spending more than during the entire mandate of François Hollande – 90 billion additional expenses. If no one questions the substantial budgetary effort that the executive proposes to save our economy, we have the right to question the level of current spending. Even in times of crisis, we continue to live beyond our means; It may even be said that the crisis has been an acceleration of current expenditure under this legislature. While the needs are acute in many areas where it is legitimate to meet them, especially in the area of health, we regret that no hierarchy has been established in the expenditure to compensate for this increase...
ParlaMint-FR_2021-11-10-O1057.u19	What expenses would you like to remove?
ParlaMint-FR_2021-11-10-O1057.u20	... especially since while some of the new expenditure is not intended to be sustainable, such as the inflation allowance provided for by this PLFR, many will continue to have a lasting impact on our country's public finances. This is the case with the €34 billion commitment authorisations of France 2030, which will weigh on future budgets. It is hoped that they will be an accelerator of growth, but that remains to be seen. This is also the case with measures for the development of skills and integration into employment. There are two keys to controlling this expenditure, which everyone would never really want to achieve without the political will but also the method. The first is the control of the public service payroll. It increased significantly between 2017 and 2022 because the number of public servants has not been reduced. I know that everyone goes with their numbers in the run-up to the presidential election...
ParlaMint-FR_2021-11-10-O1057.u21	Which ones do you delete?
ParlaMint-FR_2021-11-10-O1057.u22	... but I still believe that the increase in administrative productivity through the development of digital technology should make it possible to reconcile improvements in public services, better remuneration and reduction in the number of agents. I would like to say a word about the procedure in this budgetary period, which has made you, Mr Minister, the champions of the last minute's tabling of amendments by the executive. This was, of course, the case of the amendment which Valérie Rabault said was the most expensive one in the Fifth Republic since it allowed the vote of 34 billion euros in additional appropriations, but there are many others. This year, the Government tabled 20 amendments on the first part of the PLF, 46 on non-attached articles, 2 on recapitalisation articles, 57 on budgetary missions, or 125 amendments in total, and others are coming... The Government should finally table 130 amendments under these conditions. It's a lot, it's even much more than usual, especially since they often tend not only to pass additional appropriations but to introduce new articles: while the original finance bill had relatively few articles, we find ourselves with a much heavier text. Some of these amendments are very important, such as the plan for Marseilles and many others. Either this is the result of a particularly rich news, or the Government panics at the idea that the Senate rejects the budget from a block. Fearing that he would not be able to table amendments which he usually tabled late, he is doing so here in the National Assembly. In any case, it is extremely difficult for Parliament to see this clearly. Not only does this damage his good information, but it allows the Government to escape the control of the Council of State and the explanations are reduced to little. [[Applause on the benches of the LR group. – Mr. Charles de Courson also applauds]] Finally, the budgetary balance is roughly equivalent to what was planned, i.e. high. I would point out that Germany planned to permanently reduce its deficit in 2024. So we are not at all on the same line as our neighbour, as usual. Moreover, Germany generally achieves its objectives, if it expects its budget to be balanced in 2024, that is surely what will happen. I would not like this PLFR, and more broadly the whole of this budgetary exercise, to make us forget, especially in the coming years, the imperative of reducing our public spending.
ParlaMint-FR_2021-11-10-O1057.u23	I have received from Mr André Chassaigne and members of the Group of the Democratic and Republican Left a motion to reject beforehand tabled pursuant to Rule 91(5) of the Rules of Procedure. Mr Alain Bruneel has the floor.
ParlaMint-FR_2021-11-10-O1057.u24	This traditional end-of-management budgetary collective closed the year 2021, marked from a budgetary point of view both by the extension of the massive support measures enabling the restrictions to be maintained during the first half of the year and by the famous recovery plan and its so-called EUR 100 billion. It is also part of a pivotal period, marked by an improvement in the main economic indicators, but also a significant recovery in inflation, fuelled mainly by an explosion in energy prices, which particularly affects popular households. In these circumstances, this motion of rejection marks a clear opposition to the economic policy pursued by the Government, simply because the stimulus measures and the measures taken do not address the first concern of the French: purchasing power. This year 2021 was to mark a turning point after the calls to reinvent themselves following a health, economic and social crisis that deeply challenged the foundations of our development models. The budget for 2022 was to set out a new path in the wake of a stimulus plan announced in great pomp; It was intended to enable the transformation of our economy, around a sovereignty finally regained, to take on an ambitious ecological transition, for more solidarity and for a true recognition of all these admirable first chores that have held our country at arm's length since the first confinement. But the reality is quite different. Your policy could be summed up by the maxim "hunting the natural, it comes back to galloping": faithful to your convictions and economic dogmas, you have adopted a stimulus plan based on massive tax cuts and subsidies to businesses, without any conditions. In this way, you have been pursuing a policy of naive and dirty supply for years, which consists of pouring tens of billions into businesses, without any control of their use.
ParlaMint-FR_2021-11-10-O1057.u25	It's working! They're hiring!
ParlaMint-FR_2021-11-10-O1057.u26	The reductions in business value added contributions (CVAE) and business property levies (CFE), which are included in the 2021 budget and which we will propose to abolish by way of amendment, are the same for large companies. For example, 3% of businesses, mainly financial ones, capture two thirds of the decline in the ACVAE. As for the effects on reindustrialization, the French Economic Observatory, OFCE, has recently explained that they are null. The Cohesion programme of the Relance mission also illustrates this policy. It could be thought that it would draw the consequences of the social situation after the health crisis and respond to it through transfers to households, measures which, beyond their social necessity, would enable the economy to be revived. This is not the case: this program focuses on providing grants to businesses that hire young people.
ParlaMint-FR_2021-11-10-O1057.u27	Yes!
ParlaMint-FR_2021-11-10-O1057.u28	This is the famous plan "1 young, 1 solution". The boon effect of this policy, due to the lack of targeting, is enormous for companies that sometimes do not need it. This recovery plan does not respond to the challenges, both in terms of the amounts allocated and how it spends them. What our country needs is a large investment plan that allocates the annual amounts set out in your plan over at least ten years. These credits must not be spilled, but invested and directed directly by the State and the communities, in a planning logic, far from the umpteenth investment plan announced by the President of the Republic. This year 2021 was also a missed new opportunity to adopt the measures of fiscal justice, or at least solidarity, even exceptional, that the French demand in their vast majority. We are even invited by international institutions closer to your dogmas than ours, such as the International Monetary Fund, the IMF. His chief economist stated in June that "countries could consider making temporary contributions in addition to the highest rates of personal income tax. »
ParlaMint-FR_2021-11-10-O1057.u29	Many of us have made proposals on these issues, both during the review of the FLP and during the committee review of this amending finance bill. You have, each time, remained frozen in your certainty, refusing all the proposals, even the most limited and the most targeted. The 358,000 richest families hold a wealth of 1028 billion, half of what France produces in a year. The work of the specialist economists strongly reaffirms that in order to cope with the inequalities that have grown since you came to power in 2017 and that have become stronger during the crisis, it is essential to make an even greater redistribution, and that it inevitably involves progressive taxes that target the richest. Indeed, the concentration of wealth in the hands of a few does not only harm social cohesion, it does not only upset the values of solidarity and cooperation that we love and that underpin our republican pact; It is also an economic and social contradiction. It was still the IMF that declared a year ago that France had reached a level of inequality that was detrimental to economic growth.
ParlaMint-FR_2021-11-10-O1057.u30	A new distribution of wealth is now essential, a distribution that Minister Le Maire has repeatedly called for but for which nothing has been done since any tax measure affecting the richest was refused. At the same time, despite the apparent stability of the number of poor, the Director of INSEE urged "not to confuse the worsening of poverty situations with the increase in the number of poor. An INSEE survey of bank accounts, published on 3 November, shows that the most vulnerable have great difficulty completing their month-ends. Other indicators, such as the use of food aid, which increased by 11% in 2020, show an increase in poverty.
ParlaMint-FR_2021-11-10-O1057.u31	Faced with these challenges, emergency measures have been more than inadequate, and even non-existent in the recovery plan. A few months from the presidential elections, you are trying today, with this PLFR, to cling to the branches...
ParlaMint-FR_2021-11-10-O1057.u32	No, no, no, no, no, no, no,
ParlaMint-FR_2021-11-10-O1057.u33	... by deploying an inflation allowance of EUR 100 for individuals with incomes below the median wage. As it stands, the provision, presented as central by the government and the majority, does not satisfy us and would suffice to justify in itself the removal of this text. While almost all the conditions will be fixed by decree without Parliament being able to intervene, the few elements contained in this PLF raise many questions. The inclusion of individual income, not household income, effectively excluding children from the criteria, poses a number of problems in defining the scope of beneficiaries. How is a single person earning 1900 euros more entitled to inflation compensation than an isolated mother with three dependent children earning 2100 euros? This question has not yet been answered in the ranks of the majority or in the Government. Apart from the technical aspects, this one-time and exceptional allowance cannot meet the current challenges: the risk of a sustainable drop in wages compared to consumer prices is not to be excluded and is a source of real concern for our citizens. To be sustainable, the answer cannot be compensation, albeit praiseworthy but temporary; It will reside only in a new distribution of wealth and an increase in wages. Minister Le Maire has called him of his wishes, but, as usual, the actions do not follow the words. However, there are many tools, such as an increase in the SMIC and an increase in the index point for civil servants. [[Applause on the benches of the GDR and SOC groups]] In the face of this policy, which continues to become accustomed to rising inequalities and poverty, which refuses to question the distribution of wealth, which responds as always, when it comes to people, by a small, piecemeal and ill-fated aid which Parliament will not have the hand over, we propose the prior rejection of this amending finance bill for 2021.
ParlaMint-FR_2021-11-10-O1057.u34	The Minister-in-Office has the floor.
ParlaMint-FR_2021-11-10-O1057.u35	Let us be clear: the adoption of such a motion of rejection would mean that the text would not be adopted. If the text were not adopted, we would at the same time refrain from financing the second call for projects of the fund dedicated to land recycling of wasteland – the wasteland fund –, the investments in the own site of the mobility authorities, the Mountain plan or the extension of aid for the hiring of apprentices and alterns.
ParlaMint-FR_2021-11-10-O1057.u36	A rejection motion is a political act, you know that!
ParlaMint-FR_2021-11-10-O1057.u37	In other words, we would refrain from using the country's economic recovery tools. The adoption of this motion and the rejection of the PLFR would have a second consequence: the commitment of the President of the Republic to finance the inflation allowance of 100 euros would be abandoned and none of the provisions that we are implementing to help France competences and cultural operators would be adopted. [[Applause on a few benches of the LaREM group]] I hear Mr. Dufrègne predict that in any case the motion will be rejected; It's probably true, but in this case, you simply didn't have to present it! In the meantime, the Government is unfavourable.
ParlaMint-FR_2021-11-10-O1057.u38	That's right!
ParlaMint-FR_2021-11-10-O1057.u39	In explanation of vote, Mr Christophe Jerretie has the floor.
ParlaMint-FR_2021-11-10-O1057.u40	Unsurprisingly, we are against the motion to reject, for three reasons. You are opposed to our economic policy in general and above all to what you call our vision of naive offer. I will say the opposite because the indicators show that this year, the "naïve" offer has borne fruit. [[Paul-André Colombani and Carole Grandjean applaud]] Then, as last year, this PLFR foresees tax cuts, both for companies – as you said – and for households. We must adopt them; I do not understand, moreover, that any political group can oppose the reduction of taxation, because it has reached a level which must be reduced absolutely. Finally, it is effective to take specific measures at specific times, as we experienced last year, to deal with the difficulties facing the population. This PLFR adds new measures, in line with our action since the beginning of the crisis.
ParlaMint-FR_2021-11-10-O1057.u41	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2021-11-10-O1057.u42	Our group will support this motion to reject, probably a little in principle...
ParlaMint-FR_2021-11-10-O1057.u43	Just a little?
ParlaMint-FR_2021-11-10-O1057.u44	... because we know that it will not be adopted, even if we do not wish to postpone the entry into force of measures which, for some of our fellow citizens, are survival measures. Nevertheless, we remain convinced that it is possible to do better in keeping with budgetary balances. We understand the concern to limit public spending. Of course, you have made the choice to limit aid to the power to live to the most fragile, but as President Woerth has just pointed out, the control of spending is one thing; As regards the respect of budgetary balances, it also appreciates itself with respect to revenue. This motion of rejection is a new opportunity to try to convince you that we must limit spending to inflation, but also that we must concentrate it in favour of the most fragile by using the most affluent to generate new revenue – the proposals in this direction are not lacking in recent times. On the other hand, article 12 and the corresponding implementing decree are debated. The threshold effects carry their procession of injustices and one can wonder about particular situations: a single mother with two children who earns barely more than 2000 euros, for example, will not be entitled to this aid, while a person earning less than 2000 euros whose spouse or spouse earns much more will be entitled to it. One can also wonder about the period of income taken into account, which runs from January to October 2021; Above all, the measure does not take account of differences in usage since it does not distinguish between those who have the most burdened expenditure, particularly related to work, or – other injustice – those who live in territories without public transport and who, as a result, suffer a greater energy constraint. In short, it is a lot of injustice for an allocation of 100 euros per year, that is to say 8 euros per month – we are far from the account! I do not have time to mention your second recovery plan, which Mr Bruneel pointed out, but in plain terms, there are many reasons why this text should be re-examined!
ParlaMint-FR_2021-11-10-O1057.u45	Mrs Lise Magnier has the floor.
