ParlaMint-FR_2021-07-06-E1003.u1	The next item is the question to the Government.
ParlaMint-FR_2021-07-06-E1003.u23	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] Together – the state, local authorities, businesses and associations – we will all be able to stop this scourge.
ParlaMint-FR_2021-07-06-E1003.u24	I call Mr Pieyre-Alexandre Anglade.
ParlaMint-FR_2021-07-06-E1003.u25	Prime Minister, since 2017, our majority has placed the fight for climate at the heart of its political action: closing coal-fired power plants, greening the car fleet, fighting against the artificialisation of the soil, stopping projects such as the Notre-Dame-des-Landes airport, EuropaCity and the Montagne d'Or. There is no shortage of examples.
ParlaMint-FR_2021-07-06-E1003.u26	That's right!
ParlaMint-FR_2021-07-06-E1003.u27	[[Protests on the benches of the LR group]] Following the Citizen Climate Convention (CCC) launched by the President of the Republic, we decided to further accelerate our commitment to the fight against climate change. One of the CCC's proposals, the amendment of Article 1 of the Constitution to include the fight for climate change, needs the agreement of both Houses of Parliament to be adopted and to give the French the opportunity to decide by referendum. The President of the Republic has requested this amendment; We supported it with our group and our majority partners in the National Assembly. After a first rejection of the Senate, when we voted at first reading, word for word, the text of the Citizen's Convention, we took a step towards the Senate to continue the dialogue. Yesterday, at the second reading and despite the call made by the group La République en marche and its president Christophe Castaner to ensure that senators do not turn away the crucial stakes of the struggle for the climate, the senatorial majority again made the choice to oppose the citizens' proposal and the consultation of the French on this subject. [[Long protests on the benches of the LR group]] [[Same movements]] By closing the door to the referendum, it is sacrificing the climate emergency on the altar of partisan and political interests. By once again opposing in this quinquennium a far-reaching constitutional reform, the Senate right shows that it has done everything in the past four years to obstruct the country's march.
ParlaMint-FR_2021-07-06-E1003.u28	What's the question?
ParlaMint-FR_2021-07-06-E1003.u29	We're not in the Senate!
ParlaMint-FR_2021-07-06-E1003.u30	This deliberate desire to prevent the holding of the referendum is obviously not up to the expectations of our compatriots. Nor is it up to the will of the President of the Republic to make France the first European country to include the fight for climate in its Constitution. Above all, it is not up to the climate challenge that concerns our common future. Also, Prime Minister, my question is simple: finding the Senate's refusal to seize the hand stretched by the majority and to submit the amendment of Article 1 of the Constitution to the French by referendum...
ParlaMint-FR_2021-07-06-E1003.u31	Thank you, Congressman. [[Applause on the benches of the groups LaREM, Dem and Agir ens. – Protests on the benches of the LR group]] Colleagues, we're not going to start this session like this! Everyone keeps calm, listens to colleagues who ask the questions and answers given. The Prime Minister has the floor, and he alone has the floor.
ParlaMint-FR_2021-07-06-E1003.u32	Like you, the Government regrets, while respecting it, the vote yesterday by the Senate on this extremely important subject, aimed at introducing climate protection into the Constitution.
ParlaMint-FR_2021-07-06-E1003.u33	Action!
ParlaMint-FR_2021-07-06-E1003.u34	I regret it all the more because your assembly decided at second reading to take a step, starting from the deliberate text in the Council of Ministers, which was the result of a cardinal proposal of the Citizen's Convention for Climate – you recalled it.
ParlaMint-FR_2021-07-06-E1003.u35	It's just display!
ParlaMint-FR_2021-07-06-E1003.u36	This outstretched hand, in fact, in favour of climate protection has not been seized by the Senate. [[Protests on the benches of the LR group]] My second regret is that, in view of the provisions of article 89 of the Constitution, this vote unfortunately ends the constitutional review process, which we continue to believe is essential for our country. This is deeply regrettable. [[Same movements]] But I tell you, ladies and gentlemen, the fight continues and the majority takes on its responsibilities: those of a demanding and responsible ecology, of an ecology of growth, of an ecological transition negotiated with open eyes, anxious to accompany and help our fellow citizens and not to punish or compel them.
ParlaMint-FR_2021-07-06-E1003.u37	It's low-end marketing!
ParlaMint-FR_2021-07-06-E1003.u38	The bill to combat climate change and build resilience to its effects, defended by the Minister, is a concrete and operational translation of it. I'm sure you'll set a fate for him to live up to his ambitions.
ParlaMint-FR_2021-07-06-E1003.u39	He's got a sense of comedy!
ParlaMint-FR_2021-07-06-E1003.u40	The recovery plan, which you have also voted for, with almost a third of the funds earmarked for the ecological transition, demonstrates our willingness to support all our citizens and all the professional sectors.
ParlaMint-FR_2021-07-06-E1003.u41	Off the subject!
ParlaMint-FR_2021-07-06-E1003.u42	The climate emergency is here!
ParlaMint-FR_2021-07-06-E1003.u43	The emergency for the majority!
ParlaMint-FR_2021-07-06-E1003.u44	[[Long protests on the benches of the LR group]] The risk is real and recognised.
ParlaMint-FR_2021-07-06-E1003.u45	Take action!
ParlaMint-FR_2021-07-06-E1003.u46	Some refuse to see reality in the face, others favour a maximalist ideological approach which can only have results in terms of accessibility contrary to the objectives sought.
ParlaMint-FR_2021-07-06-E1003.u47	What a shipwreck!
ParlaMint-FR_2021-07-06-E1003.u48	Speak in the microphone, we can't hear you!
ParlaMint-FR_2021-07-06-E1003.u49	[[Applause on the benches of the LaREM group and on some benches of the Dem group]] At the same time, we make the choice of ambition and the choice of pragmatism, that is, the choice of efficiency!
ParlaMint-FR_2021-07-06-E1003.u50	At the same time, it doesn't work!
ParlaMint-FR_2021-07-06-E1003.u51	Mr Gérard Leseul has the floor.
ParlaMint-FR_2021-07-06-E1003.u52	Mr. Minister of Solidarity and Health, the Prime Minister consulted with the Assembly's group leaders on the issue of extending the health pass and a possible vaccination obligation for caregivers. As usual, our President Valérie Rabault responded point by point, with precision and proposals. The answer involves method, consultation – particularly with the social partners –, impact assessment and a precise timetable, which we do not have at the moment. Before forcing caregivers and considering sanctions for failure, why not offer them a serological test as soon as possible to detect them and do pedagogy? If the test is negative for covid-19, then vaccination may be offered. The Parliamentary Office for the Evaluation of Scientific and Technological Choices made this midday trans-party recommendations to anticipate and control a new wave of the delta variant. Effective monitoring of the virus would require the maintenance of an ambitious sequencing policy, the promotion of a surveillance network in developing countries that do not have these capabilities and in which the virus is still circulating. I will simply focus on prevention and screening policy. First, a clear and educational communication campaign should be undertaken for the general public to inform about the usefulness of screening campaigns, whether in professional, academic or academic settings. That is what we have been asking for for several weeks now: what do you expect about it? [[Applause on the SOC benches]] Finally, it is necessary to anticipate the strategy for the deployment of self-tests in preparation for the next school year; It is now necessary to take action, sufficiently early to allow industrialists to meet orders and to ensure that all schools are able to offer tests to students. Have you worked on this with the Minister of National Education? Have the orders already been placed?
ParlaMint-FR_2021-07-06-E1003.u53	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2021-07-06-E1003.u54	And pretension!
ParlaMint-FR_2021-07-06-E1003.u55	With regard to the vaccination of carers, the latest data available to me show that the rate of first injection in EHPAD carers has increased in one month from 52% to 60%; So it's better. There is progress, but it is not enough to ensure the protection of residents. Four vaccines are already mandatory if you want to work in the hospital or in an EHPAD: against diphtheria, tetanus, poliomyelitis and hepatitis B. If compulsory vaccination were decided after the Prime Minister's consultation, it would therefore not be a novelty in terms of vaccination coverage mechanisms. You're talking about serological tests. Know that an EHPAD caregiver can, if he wishes, have a serological test before vaccination, like any Frenchman; It's available in all the centers. But if the test is positive, it does not remove the need for a vaccine injection. If serology is positive, one dose is sufficient; If it is negative, two doses are required.
ParlaMint-FR_2021-07-06-E1003.u56	No, two doses are required.
ParlaMint-FR_2021-07-06-E1003.u57	We therefore remain at the same vaccination mechanism. Tomorrow I will receive the hospital conferences of EHPAD and professional orders in the field of health, to participate in the consultation led by the Prime Minister. He will receive parliamentary and political groups on Thursday to move forward on the subject of mandatory vaccination of caregivers. You are asking the question of massive screening: we have the highest screening rate in Europe, with more than two million tests per week. We test in more than 12,000 points, as well as in pharmacies, in doctors, in kines; massive screening continues. [[Applause on a few benches of the LaREM group]] Finally, you are asking me about the deployment of self-tests: several million self-tests are made available to communities, universities and schools. Of course, we are talking about a plan to prepare for school and university, to continue our efforts, in order to stop this epidemic for good.
ParlaMint-FR_2021-07-06-E1003.u58	Four applause, it's not that bad!
ParlaMint-FR_2021-07-06-E1003.u59	Mr Gérard Leseul has the floor.
ParlaMint-FR_2021-07-06-E1003.u60	Even if vaccination is mandatory, you will not be able to have an authoritarian profile. There is therefore a need to develop consultation, in particular with all the social partners in the institutions.
ParlaMint-FR_2021-07-06-E1003.u61	Mrs Karine Lebon has the floor.
ParlaMint-FR_2021-07-06-E1003.u62	My question is for the Minister of National Education. As every year at that time, overseas elected officials are very much solicited by many young people who have taken the risk of succeeding in the second degree teacher recruitment competitions. For for these winners, winning the contest often means leaving thousands of kilometres from their home. For those who have already founded a family, this success involves geographical divorce and painful separation from children. It means double installation, double rent, double expenses. Not to mention these sick, often dependent, parents they leave behind. Of course, no candidate in Réunion or the West Indies is aware that this is a national competition and everyone comes to the tests knowing the rules governing assignments. But they are still so distraught when this translates into the choice they have to make between their family life and their working life. This impossible equation becomes unbearable when at the same time positions are vacant in their discipline and in their academy. This is the reality experienced again this year by many young Reunions who, in order to fill the deficit of some academies, are assigned to the now famous PCV – Paris-Créteil-Versailles – while they could teach and live in Reunion, an island whose language they know and the difficulties associated with illiteracy. Vacancies filled by contractors, but also chased-crossed between young ultramarines posted in mainland France, while hexagonal professors were transferred to overseas academies: these recurrent scenarios were causing more and more misunderstandings. [[Applause on the benches of the GDR group and on a few benches of the SOC group]] These vast movements of personnel, with sometimes dramatic consequences, deserve more transparency and show that the logic of the centres of material and moral interests (CIMM), which is recognized as well-founded, needs to be deepened. Minister, we are waiting for your green light to open these two projects.
ParlaMint-FR_2021-07-06-E1003.u63	The Secretary of State for Priority Education has the floor.
ParlaMint-FR_2021-07-06-E1003.u64	Ultramarine academies present a contrasting situation in terms of attractiveness, both in the first degree and in the second. For example, while Guadeloupe, Martinique and La Réunion have higher than the national average, this is not the case in Guyana or Mayotte. This heterogeneous situation requires differentiated responses. In order to regulate overseas assignments, taking ICES into account is a legal priority of assignment for State officials. It allows them to justify, by objective elements, the existence of particular attachments to an ultramarine territory. The ranking of staff candidates for mobility reflects the voluntarism of national education in the realization of this right laid down by law. We are aware, Madam Member, of the human stakes that these situations represent, that is why Minister Jean-Michel Blanquer wished to place this centre as a legal priority within the framework of the national movement in 2018. Temporary assignments also allow many personal situations to be dealt with, taking into account individual specificities. As a reminder, almost half of the applications for transfer of licensees or new owners to an ultramarine academy are enhanced under the centre. However, as we know and the numbers of attractiveness show, all teachers from the ultramarine academies cannot find as fast as they would like an assignment in their original department. This applies, in particular, to the second degree, the method of recruitment being national and aimed at filling posts throughout the country according to the needs of the pupils.
ParlaMint-FR_2021-07-06-E1003.u65	Mrs Karine Lebon has the floor.
ParlaMint-FR_2021-07-06-E1003.u66	[[Applause on the SOC benches]] There is still the question of positions held by contractors.
ParlaMint-FR_2021-07-06-E1003.u67	Mrs Marguerite Deprez-Audebert has the floor.
ParlaMint-FR_2021-07-06-E1003.u68	My question is to the Minister of National Education.
ParlaMint-FR_2021-07-06-E1003.u69	He's not here! He's passing the baccalaureate!
ParlaMint-FR_2021-07-06-E1003.u70	The beginning of the summer vacation marks the end of a school year that took place under the sign of the pandemic. The exit from the crisis is an opportunity to look to the future. This new breath coincides with the launch of the Conference on the Future of Europe. To talk about the future of our continent, there is no doubt that we must invite young people to speak out. Thus, in the framework of this Conference, the European Union has set up a digital portal that allows citizens to share their ideas. This platform offers all netizens to exchange on different themes that focus on our youth, such as climate change, mobility or education. The Conference's online platform on the future is a great tool for strengthening participatory democracy at European level. We must therefore make the Conference on the Future known to our young people, who need opportunities. Furthermore, on the occasion of the next French presidency of the Union, the Government decided to make the concept of belonging one of the driving threads of its European policy. It is also with the pupils, and without waiting for the third class, that we must develop this feeling of belonging to Europe to which, beyond the MODEM group, a large majority of us are attached. It is therefore necessary to reflect, before the next school year, on an action plan to make Europe live in school, since it is the factory of the citizens of France and Europe of tomorrow. [[Applause on the benches of the Dem group]] How are you going to make teachers and students more and better aware of Europe? Are you planning at least to make available to schools information materials on the Conference on the Future of Europe? How do you plan to create this sense of belonging from primary school onwards?
ParlaMint-FR_2021-07-06-E1003.u71	The Secretary of State for Priority Education has the floor.
ParlaMint-FR_2021-07-06-E1003.u72	Jean-Michel Blanquer, Clément Beaune and I gathered the rectors and ambassadors last week to prepare for the French presidency of the European Union. And I wish, as you invite me to do, to refer more precisely to what will happen to our ministry – the school being more attentive to Europe than ever before. The ministry will mobilize as soon as the coming year with a double objective, the first being that of mobility for all – students and future teachers. We hope that the National Higher Institutes of Professors and Education (INSPE) will finally get to the point of Europe. We have carried out an in-depth reform of the training of future professors. As you know, this demand has emerged largely in the context of the Grenelle de l'Éducation. Our second objective is to bring the European subject to life in all schools and schools. More than half of secondary schools have a foreign partner. Well, we want all schools to be marked at European time.
ParlaMint-FR_2021-07-06-E1003.u73	Oh, there!
ParlaMint-FR_2021-07-06-E1003.u74	[[Applause on a few benches of the LaREM group]] The French Presidency of the European Union will also be a wonderful opportunity to make visible the French model of national education.
ParlaMint-FR_2021-07-06-E1003.u75	Mrs Marguerite Deprez-Audebert has the floor.
ParlaMint-FR_2021-07-06-E1003.u76	The feeling of belonging to Europe must be developed very early in school.
ParlaMint-FR_2021-07-06-E1003.u77	Mr Grégory Labelle has the floor.
ParlaMint-FR_2021-07-06-E1003.u78	[[Murmures on the benches of the LR group]] Madam Minister for Higher Education, when the results of the baccalaureate were published this morning, I would like to ask you about the malfunctions of Parcoursup.
ParlaMint-FR_2021-07-06-E1003.u79	Ah!
ParlaMint-FR_2021-07-06-E1003.u80	Like many of my colleagues, I am sure, I have been questioned by desperate parents who have seen their children get assignments far from their expectations.
ParlaMint-FR_2021-07-06-E1003.u81	She's gonna say it's not true! That this concerns only 0.5% of high school students!
ParlaMint-FR_2021-07-06-E1003.u82	They're called Leo, Ilona, Clara or Bertille, they're 18 and like 95% of their classmates, they've just graduated, often with a mention. These young people, good students, wanted to go into fields as diverse as medicine, science and technology of physical and sports activities (STAPS) or law. However, on May 27, the Parcoursup software offered them two choices that did not correspond to any of their ten wishes. To take just one example, Bertille, who wanted to integrate a first year of medicine, was offered a certificate of higher agricultural technician (BTS) or a certificate of professional fitness (CAP) of aesthetician. These examples are not isolated. On the scoreboard for the follow-up of the admission phase of Parcoursup published daily by the Ministry of National Education, 75729 high school students out of the 634587 enrolled on the platform have not yet received a proposal, while 13626 high school students left the platform before receiving a proposal for admission. Also, some students who had not obtained a place in their courses last year tried their luck again this year, after a very successful first year of higher education, yet find themselves further on the waiting list than the previous year. Such a situation cannot continue. [[Applause on the benches of the IDU-I group]] Madam Minister, students who wish to try their luck in certain fields, even if they are in tension, should legitimately be able to do so because the university's objective is to give everyone a chance. So, how do you intend to solve the problem of those promising high school students who have not yet been assigned?
ParlaMint-FR_2021-07-06-E1003.u83	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2021-07-06-E1003.u84	[[Applause on the benches of the LaREM and Dem groups]] The Pathup platform handles all applications from bachelors. I would also like to extend my warmest congratulations to all the young people who have just obtained their baccalaureate. However, it cannot make any different proposals to the wishes informed by the high school students themselves. If a training course is offered to them, it is still part of the list of choices they have validated themselves. The algorithm is designed in this way and does not present to my knowledge any major dysfunction.
ParlaMint-FR_2021-07-06-E1003.u85	Every year you say the same thing!
ParlaMint-FR_2021-07-06-E1003.u86	However, I will look carefully at the particular cases you are referring to. However, 560,000 scalers received an assignment from the list they had chosen on the day of the bachelor's results. [[Protests on the benches of the LR group]] Moreover, as the recent news, which actually repeats itself year after year, shows, we have put people back in the post in higher education.
ParlaMint-FR_2021-07-06-E1003.u87	Yes, of course.
ParlaMint-FR_2021-07-06-E1003.u88	We have just created 19,000 additional places in the most active fields: more than 5000 in BTS, more than 3000 in nursing training. We also created them in the first year of licensing in the energized disciplines you mentioned. The challenge is to continue to accompany each bachelor's degree. This is what the thousands of professionals who are currently contacting them are doing in order to determine, among the hundreds of thousands of places still available in higher education, which could best suit them. [[Applause on a few benches of the LaREM group]] That's what was made possible by the deletion of the draw! That's right, put the human back on! That's what this majority did!
ParlaMint-FR_2021-07-06-E1003.u89	Mr Thibault Bazin has the floor.
ParlaMint-FR_2021-07-06-E1003.u90	Prime Minister, during the recent election campaign, I was struck by the will of many of our fellow citizens to finally improve the value of work. I wish to convey to you today their legitimate expectations. Indeed, many of them do not live well by working for a salary that is not rewarding when they are sometimes surrounded by contractors who could work.
ParlaMint-FR_2021-07-06-E1003.u91	How long have we been telling you that?
ParlaMint-FR_2021-07-06-E1003.u92	Similarly, I met pensioners who had difficulty living from their small retirement when they worked their whole lives. This gives rise to a deep sense of injustice.
ParlaMint-FR_2021-07-06-E1003.u93	And when you were in power?
ParlaMint-FR_2021-07-06-E1003.u94	I have also met many entrepreneurs in my riding who would like to hire and who do not find people to employ.
ParlaMint-FR_2021-07-06-E1003.u95	Names, Comrade Bazin!
ParlaMint-FR_2021-07-06-E1003.u96	Some have made heavy investments that they cannot optimize due to lack of labour. They could produce more in France but they lack candidates for work. It's very damaging. Our country therefore suffers from a shift between the number of unemployed who remain too large and the thousands of jobs that are not filled. This phenomenon is not new, but it seems to be getting worse.
ParlaMint-FR_2021-07-06-E1003.u97	Absolutely!
ParlaMint-FR_2021-07-06-E1003.u98	And our fellow citizens do not see any improvement in this situation. The candidate Macron had supposedly made work value one of his favourite themes, during his campaign and after the yellow vest crisis.
ParlaMint-FR_2021-07-06-E1003.u99	That's right!
ParlaMint-FR_2021-07-06-E1003.u100	We see the results!
ParlaMint-FR_2021-07-06-E1003.u101	But the results are not there. I am convinced that this failure is part of the disillusionment of our fellow citizens who have largely abstained.
ParlaMint-FR_2021-07-06-E1003.u102	That's not true!
ParlaMint-FR_2021-07-06-E1003.u103	Prime Minister, what the Government is doing...
ParlaMint-FR_2021-07-06-E1003.u104	And what does the MEDEF do?
ParlaMint-FR_2021-07-06-E1003.u105	[[Approvals on the benches of the LR group. – Protests on several benches of the LaREM group.]] ... to ensure better recognition for those who agree to get up early? [[Applause on the benches of the LR group]] What is the Government doing to really encourage those beneficiaries of the RSA who can find and accept a job?
ParlaMint-FR_2021-07-06-E1003.u106	The Minister for Labour, Employment and Integration has the floor.
ParlaMint-FR_2021-07-06-E1003.u107	[[Applause on the benches of the LaREM group]] I confirm that emancipation through work has been at the heart of the President's plan and of the Government's action since the beginning of the quinquennium. It is also at the heart of the social agenda that we have been sharing with the social partners for the past year to respond to the crisis and, beyond that, to the structural challenges of work, employment and training.
ParlaMint-FR_2021-07-06-E1003.u108	That's what's written on the card!
ParlaMint-FR_2021-07-06-E1003.u109	[[Long protests on the benches of the LR group]] Mr Bazin, ladies and gentlemen, you could be glad to hear this, because our policy to protect employment during the health crisis has worked!
ParlaMint-FR_2021-07-06-E1003.u110	Yes!
ParlaMint-FR_2021-07-06-E1003.u111	[[Mr Pierre Cordier and Mr Jean-Marie Sermier protest]] The impact of the crisis on employment has been addressed through emergency measures, in particular partial activity. At the end of May, the number of category A jobseekers increased by less than 6% compared to December 2019, compared to a 25% increase after one year during the 2008-2009 crisis. The recovery was also very dynamic, hirings were in May at the highest for fifteen years. There are 785,000 employment declarations during the month of May. Beyond the emergency measures, the Prime Minister presented the social partners this morning with an assessment of the social agenda. The latter led to significant progress, in particular the reform of unemployment insurance which entered into force on 1 July. Following an unprecedented investment in the training of jobseekers, it should solve the French paradox of high level unemployment co-existing with difficulties of recruitment in many companies. Our objective is to accompany the recovery of the economy, to join the path of falling unemployment committed before the crisis and to ensure the development of quality jobs, as advocated in the report by Olivier Blanchard and Jean Tirole, recently handed over to the President of the Republic.
ParlaMint-FR_2021-07-06-E1003.u112	There's no need for a report to know!
ParlaMint-FR_2021-07-06-E1003.u113	[[Applause on the benches of the LaREM group]] Thus, for the Government, promoting labour value is not a slogan, but the object of our daily commitment.
ParlaMint-FR_2021-07-06-E1003.u114	Mr Thibault Bazin has the floor.
ParlaMint-FR_2021-07-06-E1003.u115	[[Applause on the benches of the LR group]] It's all right to hear you. Go to the field and listen to the economic actors! You multiply speeches, but we must act: it is a question of social justice!
ParlaMint-FR_2021-07-06-E1003.u116	Mrs Fabienne Colboc has the floor.
ParlaMint-FR_2021-07-06-E1003.u117	Mr. Minister of National Education, Youth and Sports, we celebrated Thursday the 120th anniversary of freedom of association. The desire to join forces to carry out collective actions animates every day the 13 million volunteers and nearly 2 million employees who support the associations. They play such an important role for national cohesion that we have very recently voted for the creation of the Republican contract of engagement, in order to preserve the community-based network of drifts. For the past four years, the Government and the majority have been implementing an ambitious strategy to build a true society of engagement, to accompany the changes of associations and to facilitate the development of associations in all territories. [[Applause on the benches of the LaREM and Dem groups]] The crisis has revealed to everyone the great solidarity of the French and the considerable role played by the associations. On behalf of the national representation, I thank all those who have mobilized to support the most fragile of us, all those who have worked hard to maintain a link with their members and volunteers. Thanks to their solidarity actions – social, sports, educational, cultural, humanitarian and environmental – associations are essential to successful recovery. The emerging crisis gives rise to many hopes, but also concerns. Associations must adapt their activities and fear a decrease in the number of their members. They also fear that certain events may have to be cancelled because of the health situation. In this context, it is more necessary than ever for the State and local and regional authorities to reaffirm their support, so that the associative dynamic, so valuable to everyone, can live.
ParlaMint-FR_2021-07-06-E1003.u118	Good thing they're here!
ParlaMint-FR_2021-07-06-E1003.u119	[[Applause on the benches of the LaREM and Dem groups]] What strong measures are you considering to ease their concerns?
ParlaMint-FR_2021-07-06-E1003.u120	The Secretary of State for Youth and Engagement has the floor.
ParlaMint-FR_2021-07-06-E1003.u121	On 1 July, at the request of the Prime Minister, we celebrated the 120th anniversary of the Great Law of 1901. We met in Matignon 120 associations, who fought in particular during the crisis related to the covid-19. Through them, we have honoured and celebrated the 20 million volunteers, the 1.5 million associations and the 1.8 million employees of the associative world, present throughout the territory. Through exchanges with representatives of this sector, we have identified two major needs. The first step was to provide an economic response to the health crisis. Together with Olivia Grégoire, Secretary of State for the Social, Solidarity and Responsible Economy, we have deployed the Emergency Fund ESS, dedicated to associations and companies of the social and solidarity economy, and we have abounded the Fund for the Development of Associative Life (FDVA) of 30 and then 15 million euros. In addition, the composition of the FDVA is changing, as the Prime Minister promulgated two private members' laws on 1 July to accompany and promote community involvement. The law in favour of associative engagement tends to encourage voluntary engagement, in particular by recognising the non-professional status of managers; It was adopted unanimously by the National Assembly and the Senate. The law aimed at improving the cash flow of associations met a desire expressed on all the benches of this assembly: parliamentarians have a thorough knowledge of their territory and accompany the associations that are there. Thanks to this law, they will sit on the departmental advisory board of the Regional Fund Commission, which we hold. [[Applause on the benches of the LaREM and Dem groups]] In addition to these financial support in a period of crisis, we are committed to education, with civic service.
ParlaMint-FR_2021-07-06-E1003.u122	Mr Jean-Félix Acquaviva has the floor.
ParlaMint-FR_2021-07-06-E1003.u123	On 27 June, with a turnout of almost 60%, the voters of Corsica granted almost 70% of their votes to an autonomous or nationalist list, particularly to the list Fà populu inseme, led by outgoing President Gilles Simeoni, who obtained an absolute majority in seats, winning almost 41% of the votes cast. The Minister for Territorial Cohesion and Relations with Local and Regional Authorities is therefore honoured by the dual democratic, parliamentary and elected legitimacy of the Corsican Assembly, which I address to you. For the third time since 2015, the islanders fully adhere to the approach undertaken by the flow of ideas to which I belong: an approach of peace, democracy and political, economic, social and cultural emancipation of Corsica. The project to which the Corsicans have joined is clear: to create, in the years to come, the conditions for the establishment of a status of autonomy of full right and exercise, within the Republic, like almost all the islands of the Mediterranean. Since 2015, and even more since 2017, President Gilles Simeoni and we, parliamentarians, have repeatedly called for dialogue. This has resulted in a series of missed appointments, which must be stopped. A new page must be written; We have to write it together. Dialogue must be initiated according to the aspirations of the islanders, who want to follow a peaceful path towards a comprehensive political solution. This requires defining a framework for discussions, a timetable and a shared method, which involves the whole of society and the political forces of the island. That's our wish. We also solemnly appeal to national representation and to you, President Ferrand, in accordance with your commitment to the democratic and republican tradition of this House, to create the conditions for appeasement and to blow up the last locks of a political block that we have suffered too much. Madam Minister, are you finally ready to change your mind and start such a political dialogue process for Corsica?
ParlaMint-FR_2021-07-06-E1003.u124	The Minister for Territorial Cohesion and Relations with Local and Regional Authorities has the floor.
ParlaMint-FR_2021-07-06-E1003.u125	I would like to reiterate my congratulations on your election to President Gilles Simeoni. As you pointed out, we can only congratulate ourselves on the turnout in the territorial elections in Corsica. You call for dialogue and partnership. I believe that we have been in dialogue and partnership for the past four years. Since the beginning of the quinquennium, the Government has had a strong ambition for Corsica: to recognize its specificity as a mountain island, its historical and cultural wealth and its position as a gateway to the Mediterranean; There is also the ambition to accompany the daily lives of its inhabitants. To do this, we have deployed policies, such as the transformation and investment plan in Corsica (PTIC) and the green recovery and transition contracts that we have just presented. During my last trip to Corsica, in April – you were there, Mr Acquaviva – we already implemented these policies of partnership between the state and Corsica. [[Applause on the benches of the LaREM and Dem groups]] The development of the ICTP is crucial for the future of Corsica and its population. We are always ready to discuss more, to define meeting schedules and to work with all the political forces on the island. Of course, I tell you with an open heart, this is what I wish for Corsica.
ParlaMint-FR_2021-07-06-E1003.u126	Mr Eric Coquerel has the floor.
