ParlaMint-FR_2021-02-05-O1153.u1	The next item is the final reading of the bill extending the state of health emergency (No. 3836).
ParlaMint-FR_2021-02-05-O1153.u12	I have received from Mr Jean-Luc Mélenchon and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2021-02-05-O1153.u13	I'm afraid we don't understand much about it...
ParlaMint-FR_2021-02-05-O1153.u14	Ah!
ParlaMint-FR_2021-02-05-O1153.u15	I'm trying to follow. In the last episode, the Head of State warned only seven minutes ahead of his time on TF1. We have imagined great announcements... and patatras, nothing at all, nothing we already know, no lie that we have not already been served; The aim was to reassure us of the deployment of the vaccination strategy in the country, and not to provide us with more consistent information which, because of our belief in the leaks that the Government had wisely orchestrated on a possible tightening of the rules, we had finally expected. It is therefore not to be understood, which is not without importance, since we are theoretically supposed to discuss all this so that everyone can accept the usefulness of the measures that are taken. But we are asked to validate an exorbitant common law toolbox for a government that does anything. It makes you want to say no! If we do not want to, it is not out of love for the virus, on the contrary, but because the method chosen to fight it seems catastrophic, disastrous, and the more we discuss it, the more we avoid you doing anything. On the vaccine, the logistical question remains full and complete; I'm not even talking about production and sovereignty. We are told that by the end of March, factories – at least four of us are told! – produce vaccines; In fact, as a first step, they will simply distribute the product into the vials that they will then store in the cartons. It is useful, I do not disapprove of it, but it is clear that, every time, colossal efforts are made, to finally see that we are not up to the situation. For sure, when you put all your eggs in the same basket, namely Sanofi's, obviously pierced, you find yourself in a situation as disastrous as the one in which we are. I heard the Secretary of State explain that this text was necessary in particular because we must be able to maintain measures – including curfew – until June. The sentence, as it was pronounced, may suggest that curfew will last until the end of June. It's a hypothesis; Moreover, the new variant justifies this argument. However, I believe that elections are supposed to take place at the end of June; It might be useful to discuss all this, not just in a defence counsel in which the entire Government does not even participate and about which we do not know anything. I hear some colleagues say that it would be good to have at least the report. Yeah, that'd always be it.
ParlaMint-FR_2021-02-05-O1153.u16	Well, we don't have it!
ParlaMint-FR_2021-02-05-O1153.u17	The bodies that are supposed to be representative of the democratic system could also be supported. And now, patatras! Finally the little one had, that is, not much, an information mission with the powers of a commission of inquiry: hop, dissolution! "Circulate, there is nothing to see, anyway, you have other means of control in the Assembly. It's true that when you saw people marching before the board of inquiry, telling what they wanted, sometimes lying, sometimes recognizing it, but never being questioned, you think it wasn't the panacea.
ParlaMint-FR_2021-02-05-O1153.u18	There were not many of us attending this audition!
ParlaMint-FR_2021-02-05-O1153.u19	Even that, you won't let us do it! Because you don't want to hear that alternatives to containment, it's getting ready. It's not enough to say "no, confinement, I don't like it too much," and then nothing, we leave the curfew, which is a kind of "tight confinement," is that what we say? I don't have the language, it changes every day, with this government, so we don't know. What seems amazing is that alternatives to containment are not prepared. Worse still, we're entitled to minister gestures. I am thinking of Minister Blanquer, and there "gesticulations" is probably the best term to describe the situation: he comes to do a gymnastics course, explaining that sport is good, when the gyms are still closed, when everything that is not directly related to the management of the health crisis, such as mental health, is completely neglected, and when the queues of the students who are going to seek food are extended from day to day. But no, it's better to discuss this in defence counsel. It doesn't make sense! [[Applause on the benches of the GDR group]] The Group of the European People's Party will reject this text, of course. Besides, the only tool you have left for people to accept the measures is not that they are all aware of having to fight the virus, it is the 135 euros fine. And we hear Minister Darmanin being pleased to have blocked the road for hours, so that people are outside after 6 p.m. and receive a fine; It then argues an exceptional increase in the number of fines by 53%. To maintain a state of health emergency through repression is probably the worst method.
ParlaMint-FR_2021-02-05-O1153.u20	Mrs Marie-George Buffet spoke in the general debate.
ParlaMint-FR_2021-02-05-O1153.u21	The Group of the Democratic and Republican Left reiterates its opposition to this crisis management system of prolonging a state of emergency without the nation's elected representatives having a real say in the various measures taken in this context. Parliament does not have the function of being listened to from time to time. Parliamentarians have proposals to discuss, other than extending states of emergency every three or four months, or debating under Article 50-1 of the Constitution. The verticality of the decision is pushed to the extreme. The president decides on a curfew at 6 p.m., unprecedented in our history – certainly, perhaps justified – without having been able to exchange scientific data. The president and the group chairmen are regularly invited by the Prime Minister, but these are briefings whose usefulness has not really been demonstrated. The limited management of the crisis is dangerous, because by depriving itself of the collegiality and democratic legitimacy that the Assembly can give, the risks of mistakes and misguided roads are greater. If the parliamentarians themselves feel excluded from the decision-making process, then what about our fellow citizens, swept away with instructions in order, speaking in speaking, waiting for the President or the Prime Minister to tell them whether they will be assigned at home, when they will be vaccinated, etc. - Is that what you're saying? This is not the substance of the decisions that I question; What concerns me is knowing that everything depends on a small group. We are moving towards democratic problems, as measures are likely to be less and less accepted. This goes hand in hand with this slow drift of the Fifth Republic, about which several of us are warning. Collegiality in the construction of standards, even in an emergency, is not a brake on action. The concentration of powers is not synonymous with efficiency, even in the most acute times of crisis. To be effective, measures must be informed, legitimate and agreed upon, all things for which Parliament's close involvement is necessary. Any decision concerning fundamental freedoms must be made by law. We must stop dealing with the debates under Article 50-1 of the Constitution on such important matters. The law is not talkative, the law is not a constraint, even and especially in an emergency. Parliamentarians are responsible people in front of their voters. I am also concerned about the trivialisation of the state of emergency, which replaces the common law in every crisis. It is difficult for us not to see a certain normality, whether the state of emergency is health or safety-related. This text proposes to further extend the legal regime of the state of emergency until December, with periodic discussions to extend it or not; the next one is scheduled for June 1st, that is to say in four months. Finally, I would like to point out that the state of emergency, if it is sanitary, is also social. But I see nothing happening to counter the wave of poverty resulting from redundancies and part-time unemployment; Nothing for low wages; nothing for the SMIC; no real progress on the long-term financial and material autonomy of young people. Our country has more than 20 per cent of child poverty. Beyond the health strategy, we must now deal with these issues urgently. It must be noted that this is not on the Assembly's agenda. [[Applause on the benches of the FI group]] It is time to reconcile the fight against the pandemic with respect for the democratic process. It is time to treat social damage as urgently as health damage. The GDR Group believes that it is time to move on to a system of regular referral to Parliament, to a regime that respects democracy and the principle of separation of powers. For all these reasons, we will not vote in favour of this text.
ParlaMint-FR_2021-02-05-O1153.u22	Mr Guillaume Gouffier-Cha has the floor.
ParlaMint-FR_2021-02-05-O1153.u23	We have therefore reached the end of the discussion on the bill to extend the state of emergency and the state of health emergency itself. How can we qualify our work in recent weeks? I don't really know. At times of sereneness, they have also been hoarse or even unhappy at other times. Convergences exist and agreements could have been reached. We have not succeeded, but we have made progress. The reality of the situation, the harshness of the crisis and the health risks it entails, is in my opinion shared by all, here and in the Senate. We are all aware of the violence of the virus and of the uncertainties that exist around the variants. It has been almost a year since we have been plunged into this crisis, almost a year since our caregivers were mobilized day and night to save lives, almost a year since lives and families were broken or permanently affected by this terrible virus, almost a year since normal life stopped, almost a year since all our fellow citizens are mobilized on a daily basis, in an exemplary way, to cope with and overcome the crisis. As always, there are exceptions, but they remain at the margin. This observation, this daily life, we share. To cope, we must act, make responsible but difficult decisions; decisions that are not necessarily popular; decisions for the general interest, to save lives, to enable healthcare workers to do their work and hospitals to keep up. We are taking these decisions in a democratic framework that we have been building here since March. These decisions lead us to extend the state of emergency until 31 December 2021 and the state of emergency until 1 June 2021. We do not take these decisions out of pleasure, but because we are responsible, fully aware of what they involve for collective life and of the efforts they require of all our fellow citizens. During the debates, I was able to observe that the observation and the need for action were widely shared, both in the Senate and in the Assembly, regardless of the political groups. Differences were expressed as to how the state of emergency was defined and how it was applied; This is normal in the democratic debate. During the debates, I also observed that some were in favour – while perhaps sharing the reality of the crisis – of the exit from the state of emergency and the solution of the discussion, let us say so, to solve all the current problems. I respect this position even if I do not share it – even if we do not share it. I believe that, given the reality of the health situation, we still need to have all the tools available to combat the spread of the virus, in order to protect lives. It's unfortunate, but we still have to hold and we have to hold together. Before concluding, I would like to return to a delicate point that we have had to discuss and to some demagogic accusations that we have heard in these few weeks of debate. I am thinking of the recurrent and easy accusation that Parliament would not be involved in managing the crisis, or that it would be bypassed. Some people like to tell fables and scare.
ParlaMint-FR_2021-02-05-O1153.u24	Yes, quite simply.
ParlaMint-FR_2021-02-05-O1153.u25	In a period like the one we live in, I regret it. Parliament is fully involved. Beyond the various debates recalled by the minister and the existing control mechanisms, we have created here the framework of the state of health emergency regime, which we continue to shape until it is finally enshrined in the law, thanks to the bill on the sustainability of the state of emergency regime. We will do so once we learn all the lessons from the crisis, probably next fall. This is the sixth time since last March that we have had to discuss, as part of a bill, the extension of the state of emergency. Text after text, we are improving this device. In the discussions on this text, we have in particular deleted Article 3, i.e. the transitional period from 1 June to 30 September 2021. We felt that, given the unusual duration of the crisis, the state of emergency, it was essential for the Government to come back to us in due course, in order to determine what decisions we will have to take at the end of spring. The re-visitation clause is therefore set in three months' time. We have also, contrary to the opinion of the rapporteur of the majority and the Government, opened the possibility for chambers to refer the matter to the Scientific Council. I would like to welcome this commitment. [[Applause on the benches of the LaREM group]] I say so solemnly to the Government: when we meet again at the end of spring, I am sure that we will have to go further in strengthening the weight of Parliament. The Group of the Republic on the move will take on its responsibilities and vote in favour of this text.
ParlaMint-FR_2021-02-05-O1153.u26	Mr Eric Diard has the floor.
ParlaMint-FR_2021-02-05-O1153.u27	We are meeting this morning for a final reading of the sixth text on the state of health emergency, following the failure of the Joint Joint Committee and the urgent re-reading on Tuesday, 2 February. At the risk of repeating myself, I will continue to say the same things that are still unheard of, week after week, in a state of emergency after a state of emergency. Yes, in this period of derogation from the ordinary law, we need real control of Parliament; The rights of the latter must be respected, or even strengthened, since the state of emergency is a state of emergency. Democracy has been confined for almost a year. When in March we voted for the first state of health emergency, the situation was not the same; We were all in shock, we were discovering this threat, we were discovering this crisis, we were discovering the need for exceptional measures, in a state of health emergency. That is the context in which we have collectively built an emergency legal framework to manage the crisis, and given all the necessary resources to the Government. A year later, what about it? We didn't change that iota frame. Yet we were ready. We have, however, simply extended a crisis and prolonged a crisis, to extend a regime built in an emergency to deal with a situation that no one had anticipated. Last week, the Government spokesman announced a very tight confinement, and then no, curfew is enough.
ParlaMint-FR_2021-02-05-O1153.u28	Finally, it got loose!
ParlaMint-FR_2021-02-05-O1153.u29	We were told that there was a debate on confinement, and finally no debate. We are reduced to waiting every day for a new member of the Government to speak against the previous one. In terms of legislation, when we make proposals, they are rejected. We want democratic debates, control of Parliament and re-visit clauses, so that every citizen can be heard before it is too late. None of the Senate's contributions have been retained, even when it comes to empowering the Government to act without being too infringing on freedoms, or allowing the prefect to open certain businesses, with a stricter sanitary protocol. Every time, it's swept away with a backhand. In the Joint Joint Committee, we denounced the very strong restrictions on the freedoms of the French, which call for close and regular parliamentary scrutiny. The High Assembly had reduced the expiry date of the state of emergency from 1 June to 3 May 2021, unless further extension, and provided that no containment measure could exceed one month without the authorization of the law. This was one of the reasons for the CMP's failure.
ParlaMint-FR_2021-02-05-O1153.u30	The only reason!
ParlaMint-FR_2021-02-05-O1153.u31	We want to empower the Government, but we need to reconcile the requirement for health security with the uncertainties of the situation; Each time, we've been on the rendezvous and ready to help you. For all these reasons, we will therefore vote against this umpteenth bill extending the state of health emergency. It would be caricatural to conclude that our rejection implies that we refuse to fight the virus.
ParlaMint-FR_2021-02-05-O1153.u32	A little though!
ParlaMint-FR_2021-02-05-O1153.u33	Suffer, Mr rapporteur, democracy, contradiction and separation of powers.
ParlaMint-FR_2021-02-05-O1153.u34	No problem!
ParlaMint-FR_2021-02-05-O1153.u35	[[Applause on the benches of the LR group]] We will therefore vote against this bill, while continuing to be a force for proposals, hoping one day to be heard.
ParlaMint-FR_2021-02-05-O1153.u36	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2021-02-05-O1153.u37	The question of the extension of the state of emergency could have led to a consensus between the National Assembly and the Senate; This has not been the case, and we regret it. In particular, discussions were held on the end date of the state of health emergency and the state of health emergency regime, even though the CMP had made progress on this last point. The Democratic Movement (MODEM) and related democrats Group understands the questions arising from the prolongation of such a restriction of certain of our freedoms, such as those to go and come after 6 p.m., to undertake, when it comes to commerce, or cultural activities. Of course, we understand the concerns about the introduction of an emergency legal regime, such as the state of emergency. That is why we were opposed to the inclusion in the common law of this legal system, the application of which must of course remain temporary. However, we consider it necessary to continue together the fight against a virus that we did not know a year ago, and which evolves, with the appearance of new variants, some of which, like Brazilian, can greatly reduce the effects of the vaccine. It is therefore our responsibility to maintain a legal framework adapted to a particularly erratic situation. This framework should be extended in a proportionate manner; It is not a question, according to the very imaginative comparison of the German lawyer Fleiner, of "shooting the sparrows with cannons", but of finding the right balance. For Aristotle, the proportion is at the heart of the notion of just. Measures restricting rights and freedoms must be both appropriate or appropriate, necessary and proportionate. This is the legitimate objective of this bill to extend the state of health emergency. However, if we share this intention with the Government, it does not mean that we have no demands. My colleague Philippe Latombe also stated them in this same forum a few days ago. One concerns transparency on strategies adopted, both health and economic, social and cultural; Another one is about the numbers. Our fellow citizens are fighting, but to continue to be resilient, they need to know and understand; They need the Government's work to be readable and preserved from any cacophony of communication, and rumours that undermine their morale. As for us legislators, transparency in the answers to our questions and the figures provided to us is the condition of our effectiveness. As such, I welcome the week that has just passed, because, I hope, it closes the door to the uncertainties of reconfinement, particularly strong and anxious. Between the intervention of the Prime Minister a week ago, that of the President of the Republic at the beginning of the week, and the press briefing last night of Jean Castex, accompanied by several ministers, the French heard from the executive a clear speech, with regular points of situation. This transparency was all the more necessary because the Government needs the support of our fellow citizens, in order to fight this virus with them, and the support of Parliament, in order to have an appropriate legal arsenal. This bill is essential to enable the executive to act. As stated in the impact assessment, the situation suggests a potential further outbreak of the epidemic; If this is not the case at the moment, we observe a high plateau, which must be contained and lowered. As we see it, the Government must constantly adjust measures to ensure health security, in line with the evolution of the pandemic. It must therefore be able to adapt the provisions in force with reactivity and relevance, adopt them and announce them quickly. [[Applause on a few benches of the LaREM group]] That is why, as you will understand, the Democratic Movement (MODEM) and related democrats Group will vote in favour of this text, which provides for appropriate, necessary and proportionate deadlines. We note with satisfaction the inclusion in the Act itself of the provisions of article 4, even though it had originally been mentioned, before the transfer to the Council of Ministers, of a reference to a decree in the Council of State. Parliament's role is thus strengthened, which fully satisfies us. The same applies to the abolition of Article 3 by amendment, in the National Assembly's Law Committee, which has led to the unanimity of political groups in Parliament. In this unprecedented health crisis, we must continue to move forward together, in the same direction, with confidence and determination.
ParlaMint-FR_2021-02-05-O1153.u38	Mr Boris Vallaud has the floor.
ParlaMint-FR_2021-02-05-O1153.u39	Please excuse my colleague Marietta Karamanli, who could not be present this morning. She asked me to read her speech. You propose that we adopt as a final reading the extension until 1 June of the current state of health emergency. My group is telling you again, we will not vote on this bill. We do not, of course, question the seriousness of the health situation or the need for an exceptional, temporary legal framework to deal with it. We voted on this framework in March 2020, and we expect measures to be taken to strengthen its implementation. Like the vast majority of the French, we are following the decisions of the Government, while sometimes having difficulty understanding its ins and outs. However, contrary to what was said during our discussions, we are looking at this text in a spirit of responsibility and with great seriousness. Because we are responsible, we are not prepared to extend this state of emergency beyond what is necessary. We are in an exceptional legal framework, the measures and duration of which must remain strictly proportionate to the health context, which means that it must be constantly re-evaluated. We proposed to limit the extension of the state of emergency to two or even three months, in order to ensure a regular appointment for the national representation. Our honourable senators had adopted amendments to that effect, and the deadline for prorogation was reduced to May 3, 2021. We supported these proposals. You went back to this provision again, which, however, was likely to gather a quasi-consensus of national representation. Because we are responsible, we have demanded effective parliamentary control throughout the state of health emergency, as well as an assessment of this control. Your answer was to put an end to the fact-finding mission on the impact, management and consequences of the covid -19 epidemic, set up a few months ago, which would have allowed the national representation to continuously assess the situation, taking into account all the dimensions of the crisis. I don't know what you were afraid of; This mission had produced two reports and carried out a very serious work. A single symbolic measure was finally adopted, and again, against your opinion; It concerns the hearing of members of the Scientific Council by parliamentary committees. Because we are responsible, we have proposed to improve the framework of the state of emergency health, in the absence of text adhoc. These common-sense adaptations identified by the flash mission led by Sacha Houlié and Philippe Gosselin were rejected. Each time, we were referred to the bill, which was to establish a long-term legal framework for health emergencies. The text exists, but it has been withdrawn from the agenda and sent back sine die, after the crisis of which the term is obviously unknown. In other words, it is unlikely that this text will ever be considered. At its hearing by the Law Committee, prior to the first reading of the text, the Minister of Solidarity and Health referred to a "technical text"; Despite our lengthy debates here and in the Senate, that is exactly what you have done with it. This text does not address any of the weaknesses of the legal regime voted in March 2020. It will not allow effective parliamentary control – again, I regret – because this control will be conditional on the goodwill of the committee chairmen, who are almost all of them here from the majority. [[Applause on the SOC benches]] On the pretext of the failure of the Joint Joint Committee on Containment and Parliamentary Consultation, you have come back to all the progress of the Senate, which could have led us to support this bill. Mr Secretary of State, ladies and gentlemen of the majority, the national union is not decreed; It is the result of a patient and demanding political construction. In the fight against the pandemic, and in the face of many other present and future challenges, we must demonstrate daily that democracy is not a disadvantage, not just words that resonate in the silence of your actions. That's where we're at. It is therefore only that this majority will adopt this text. For our part, we will vote against this bill.
ParlaMint-FR_2021-02-05-O1153.u40	Mr M'jid El Guerrab has the floor.
ParlaMint-FR_2021-02-05-O1153.u41	Since this text was registered in the Presidency of the National Assembly on 13 January, we have had in-depth discussions on the very special situation in which we find ourselves. We come to the epilogue of this legislative work, which, if adopted, will lead in particular to the extension of the state of health emergency until 1 June 2021. The exchanges have been rich, much has been said, and some progress is clearly to be noted. I am thinking in particular of the abolition of Article 3 in the Committee on Laws, thanks to amendments tabled by Members from all groups. The time is serious and everyone is aware of it. More than ever before, the Government must make decisions that profoundly affect the lives of our fellow citizens. As representatives of the nation, we know better than anyone how worrying the situation is. Psychological distress, growing precariousness, fatigue and sometimes anger: we need to hear these alert screams and provide the most appropriate responses. Again this morning, I watched a video on the online media Brut, showing young people waiting for the soup kitchen, to feed themselves, on a line of several hundred meters. The Group of the European People's Party has always had the power to propose, with a view to structuring a health policy that will enable us to break the deadlock. If vaccines are an immense glimmer of hope, they cannot be the alpha and omega of our health policy. The threat posed by variants reminds us that it would be dramatic to rely on vaccines to control the epidemic. We welcome the evolution of government health policy, which has taken up several of the proposals we have been defending for weeks, particularly those relating to the strengthening of the triptych "test, trace, isolate". All over the world, borders are closing. Following the announcement of the closure of borders by the Prime Minister last week, thousands and thousands of people are now in dramatic situations: I hope, Secretary of State, that we will be able to talk about it again. In this regard, as a Member of Parliament for the ninth constituency of the French who live outside France, including the Maghreb and West Africa, I want to say to the 3.5 million of our fellow citizens living outside our borders that we do not forget them and that national representation will always be at their side. I thus salute the courage and unwavering resilience of all those who are ambassadors of France's know-how and know-how: their living conditions have unfortunately been complicated for almost a year. France closes its doors to viruses, but never to its nationals. In this regard, I recall all the arrangements that we have put in place for them and for them, including the famous special aid covid-19 in the form of the occasional relief of solidarity, established in 2020 by the Ministry of Europe and Foreign Affairs, in the context of a global pandemic; This mechanism is renewed until next June. The easing of the arrangements for granting such aid in 2020 remains in force, in order to enable the largest number of French nationals living abroad, hard hit by the economic crisis, to benefit from it. I would also like to take this opportunity to pay tribute once again to the voluntarism and dedication of our elected representatives from the field abroad, in particular the advisers of the French abroad, who, despite increasingly difficult conditions, spare no effort to help our fellow citizens. And I would point out, in this regard, that elected officials must be able to have the consular list without hindrance, in order to maintain permanent contact with the French, a fortiori where the security environment is particularly sensitive and where emergency situations can occur within a few hours. The leadership of the French abroad and the consular administration must hear us. Each and every one of us will vote consciously on this text, knowing that the situation obliges us. It obliges us to act together to get out of it together, and definitely turn this complicated page. The extension of the state of health emergency is never a waste of heart, for the representatives of the nation we are, but it is always a responsibility. Let us continue to support the Government in these difficult moments, let us always be strong and constructive in our approach, and we will be more proud of the progress we have made.
ParlaMint-FR_2021-02-05-O1153.u42	Mr Jean-Félix Acquaviva has the floor.
