Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u1	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	-	-	AleksandraGajewska	Gajewska, Aleksandra	F	1989	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u12	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekSuski	Suski, Marek	M	1958	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u13	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u14	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	-	Centre-left to left	RomualdAjchler	Ajchler, Romuald	M	1949	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u15	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u16	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	KonradBerkowicz	Berkowicz, Konrad	M	1984	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u17	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u18	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	KrzysztofBosak	Bosak, Krzysztof	M	1982	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u19	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u20	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	-	-	KrystynaSkowrońska	Skowrońska, Krystyna	F	1954	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u21	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
