ParlaMint-BG_2015-07-21.u1	There is a quorum, I am opening the plenary session. A procedural proposal please, Mr. Kazak.
ParlaMint-BG_2015-07-21.u18	Thank you, Mr. Chairman. Dear colleagues! Dear Mr. Kadiev, I am inclined to accept that this restriction, this explicit text in the Rules, for one reason or another, is violated, but this is not grounds when there is a clear violation, flagrantly, and it is an infringement not only that it violates this text by the Rules of Admissibility of a proposal outside the scope, but it also violates another restriction in the Rules that texts which have already been rejected in the first vote cannot be re-submitted. You know that there is also such a text "some of the proposals currently accepted for discussion by the Legal Committee are one to one text taken by the other bills amending this Law, which have been rejected by the plenary of the first vote. The only bill that was passed was the GERB Bill. All the other proposals contained were the subject of other bills that were rejected, and now you are proposing again through the back door, really in one vote, that they be tabled and discussed again after they have been rejected in principle. Therefore, I continue to insist that the National Assembly still retain its dignity by expressing compliance with the Rules, which only adopted the Rules of Procedure. These all proposals deal with issues that are outside the scope that have nothing to do with the initial votes of the first vote Draft. As far as your thesis is concerned, it's usually wrong, Mr. Kadyev. We can see what's going on through the referendums in general. Then when questions are raised that are not of a value nature, they, instead of solving a problem, deepen it even further. And your thesis: give anywhere to ease the holding, initiating referendums will only complicate the situation. I'll continue with the speech.
ParlaMint-BG_2015-07-21.u19	Thank you, Mr. Kazak. Here you go, Mr. Lazarov. Second line.
ParlaMint-BG_2015-07-21.u20	Dear Mr. Kadiev, I partly agree with your speech. Yes, the direction is correct, to go in a reduction, but we should not go in extremes, because by one tenth to reduce the number of people you quoted the Municipal Council in Sofia. There are municipal councils in which the councillors are 11. One tenth is 1.1, if I think correctly, that is, an advisor should be able to initiate a referendum. No, and you shouldn't really go to such extremes. Yes, there is an offer to reduce the number of signatures. You said: yes, it is somewhere in the middle, 20% is actually reduced from 500 to 400 thousand requirements, because it does not go to another extreme in the form of a petition, the narrow party cores to provoke a referendum and the question to be mandatory for the National Assembly, because in this case the National Assembly cannot reject, unlike the previous hypotheses, whether they will be one fifth or one tenth Members of the National Assembly. We should not go to this extreme, because this is actually distorting the idea of referendums. As for what you said about proposals between first and second readings, I agree with you. And one more thing: last week we voted on the Civil Registration Act, honourable Members. And we went back to the last paragraph, and we reworded texts that I wasn't talking about in a committee, and we had rejected them. In this Chamber, the MPs rejected the texts, but this did not prevent by the will of the National Assembly from voting again on the texts that have already been rejected in this House, so that we do not absolutate the Rules of Procedure. The people's representation, through the vote, manifests its will. It's an opportunity. Thank you.
ParlaMint-BG_2015-07-21.u21	Thank you, Mr. Lazarov. Third line, come in.
ParlaMint-BG_2015-07-21.u22	Thank you, Mr. Chairman. My fellow Members, I would like to make a reply in the part that has not been affected, and this is the proposal to reduce from 500 to 200 thousand. We should have some rather broader sample of the interests of the population, since 200 thousand, in my opinion, can only be done in one area. You set an example, and I will give you one: if in the Ruse region we make a signature for repair of the Ruse road, do you think that any normal citizen or party group, or whoever it is, will not sign under it? Because I know that you have written, but not from one area, two people can be taken from another area, especially not to say that the road is interesting for Tarnovo, and this becomes a national problem. So when we talk in numbers, we should keep a little in mind that there should be representation. Because you're smiling at me very challengingly. [[turns to MP Georgi Kadiev]] Just to let my colleagues know that Mr. Kadiev did not even attend the Legal Committee to give some guidance on what he meant by his proposals. Thank you.
ParlaMint-BG_2015-07-21.u23	Thank you, Mr. Ivanov. Hole, Mr. Kadyev, come in.
ParlaMint-BG_2015-07-21.u24	Colleague Ivanov, I'm smiling not challenging, but because you don't read the texts. In the text it is specifically written: The signature of citizens with permanent address registration from one area cannot represent more than 50% of all signatures. What two people from Veliko Tarnovo?! Are the two people going to be the other 50%?! Of course, everyone else should also be at least 50%, and that's not two people. The same goes for Mr. Lazarov. You didn't understand what I said. The current text of the Law, Mr. Lazarov, says that one fifth of the municipalities in Bulgaria, as a number of 53 municipalities, can refer to parliament with a request for a national referendum. I propose a reduction of one tenth, i.e. 27 municipalities, not one tenth of the municipal councillors in a given municipality to offer. These are completely different things. If you think it is easy to find 27 municipalities to refer to Parliament, it is not easy. The question of numbers is imaginary. No one can tell you if it's right 200, 300, 400 or 500 grand. The main question is the logic that we want to follow, do we want people to say their opinions on some issues that we consider ourselves competent and not them? I think we should ask them, and very often they will be more competent than us. And, yes, sometimes these will be some regional problems that they will try to make national. Another time will be something that we believe they should not vote for, because it is an issue that they could hardly appreciate, but I appreciate what the Commission is doing. Even the reduction from 500 to 400,000 is a step in the right direction, just a tiny step. I wish the step was a little bigger. Here, and Mr. Daniel Kirilov smiles challengingly at me. Make it this big step! Make at least 300,000. If you don't support mine, support the ABB colleagues. Thank you.
ParlaMint-BG_2015-07-21.u25	Thank you, Mr. Kadyev. Personal explanation please, Mr. Lazarov.
ParlaMint-BG_2015-07-21.u26	Dear Mr. Kadiev, my speech in the form of a reply was not specific and just about your proposal. It was about the other proposals, as far as you mentioned, and not just your proposal. On the occasion of your proposal, the topic is slightly different, but I hinted at how much reduction in the requirement for a petition in a citizens' initiative would lead to the tight party cores to challenge this initiative and to oblige. If you look at the figures, in the last election for mayor of the individual candidates in the different cities, if you look at the numbers of the numbers that are collected in the votes cast in the parliamentary elections, you will understand what I mean.
ParlaMint-BG_2015-07-21.u27	Thank you, Mr. Lazarov. Here you are, Mr. Bayraktarov.
ParlaMint-BG_2015-07-21.u28	Thank you, Mr. Chairman. Dear colleagues, over the years many fairy tales have spoken about the so-called "direct democracy" but the truth is one.. hundreds of thousands of collected signatures stand on the dusty shelves in the basement of the National Assembly and who knows where else. Hundreds of thousands of signatures collected, which have not actually reached the goal of hearing the voice of the people, and otherwise we are talking about direct democracy. On the other hand, when we are talking about direct democracy, the solution must be really extremely balanced in order not to go to one extreme or another, such as the ABB of 200 thousand. the signature for holding a national referendum. I'm sorry, but 200,000. The signature somehow does not sound serious for a national referendum. On the other hand, given the amendments made to the Law, which we will probably vote on today, and the parties will be able to recognize the questions asked in an organised referendum, ease the task, but here the approach must be balanced and allow the people to be able to participate, initiate a referendum and, most importantly, hear its word. For this reason, Mr. President, we from the Patriotic Front propose an editorial amendment to the created § 2a, which is expressed in art. 10, para. 2, where the number "six hundred and fifty thousand" is replaced by three hundred and fifty thousand. We believe that this is a balanced approach. This is an opportunity to really hear the voice of the people and, most importantly, a referendum to have representation and to enable the people to be heard. Three hundred and fifty thousand is a compromise option, and I think that all of our colleagues here will come together around this number because, once again, hundreds of thousands of signatures collected over the years stand on dusty shelves, and it has never come to holding a referendum. Thank you.
ParlaMint-BG_2015-07-21.u29	Thank you, Mr. Bayraktarov. First line: Mariana Todorova.
ParlaMint-BG_2015-07-21.u30	Dear Mr. Bajraktarov, from this tribune you very often reprimand the MPs for not getting acquainted with the texts of the laws. Now I take the opportunity to make your remark to you, because we offer a reduction of 500 thousand to 300 thousand, not to 200 thousand. However, in this sense, our proposals are identical, so we can support each other. Thank you.
ParlaMint-BG_2015-07-21.u31	Thank you, Mrs. Todorova. Second line, Mr. Kazak.
ParlaMint-BG_2015-07-21.u32	Thank you. Dear Mr. Chairman, honourable Members! Dear Mr. Bajraktarov, your proposal turns the question of the so-called minimum number of petitions for a mandatory call for a referendum in a tender with obvious bidding "who will offer no more but less this time." The initial text is 500 thousand, GERB have offered 400 thousand, you are now bidding, offering 50 thousand less. I expect to hear who has less to offer. Is this what we are going to turn Mr. Bajraktarov, democracy in Bulgaria into an auction with obvious bidding: who will give less?! The path to the worst troubles, to misery, Mr. Bayraktarov, is paved with populism. The more you give in and we all succumb to populism, the worse the future awaits this country. I would like to ask you a question: who does the National Assembly represent? Why is the name of the National Assembly and not the name of the Assembly? Why is it called the National Assembly?! Because it represents the whole people, the whole Bulgarian people. Three hundred and fifty thousand signatures, 400 thousand signatures, 500 thousand signatures, what are they? These are 500,000 Bulgarian citizens who are part of the people. I say, part of it! They are not the whole Bulgarian people. And you represent a certain part of the Bulgarian people over the people. Is that what you're after with this proposal? I want you to answer me! Thank you.
ParlaMint-BG_2015-07-21.u33	Thank you, Mr. Kazak. Third line? I won't. Here you are for the doppelganger, Mr. Bayraktarov.
ParlaMint-BG_2015-07-21.u34	Thank you, Mr. Chairman. Dear Miss Todorova, and we are sometimes mistaken because many figures you have offered 150,000, and 200 thousand, and 300 thousand. However, you will agree that we are proposing a balanced approach. What we have been talking about for years because, unlike you, we have been trying and we are the first to organise a referendum, we have been able to collect the fruits of the law in force, although the people have said emphatically to implement a large energy helmet by your chief who enslaved Bulgaria with several billion levs.
ParlaMint-BG_2015-07-21.u35	Please don't mix the topics, please!
ParlaMint-BG_2015-07-21.u36	Thanks, but it's my constitutional right to an opinion, Mr. Chairman. It's about Mr. Kazak. Mr. Kazak, you're a lawyer. I assume you've read the Constitution well. The Constitution states that it is the people's representative who represent the sovereign, without distinguishing him by party affiliation, by any other sign and so on. People's representative! This is the answer to your question. As far as the DPS is concerned, you have some strange thinking, subject to the philosophy of the Commercial Law, always subject to the philosophy of making deals and auctioning, there is no way I can answer you, because this is not typical of the behavior of the Patriotic Front. [[Relations and excitement.]] We can't think like this. Perhaps that is why you are worried that at some point the Bulgarian people will decide in a referendum to review the constitutional decision whether the DPS is a constitutional party. I must remind you that the decision is 6 to 6 votes, there is no solution. There's no such solution! And would the people not want to decide that this ethnic party should be closed down?! Thank you.
ParlaMint-BG_2015-07-21.u37	Thank you, Mr. Bayraktarov. Personal explanation, Mr. Kazak.
ParlaMint-BG_2015-07-21.u38	Mine was a doppelganger. He has no right to a personal explanation.
ParlaMint-BG_2015-07-21.u39	You turned to him yourself. He has a right to that.
ParlaMint-BG_2015-07-21.u40	There's no right to a personal explanation!
ParlaMint-BG_2015-07-21.u41	He's entitled to a statement. Here you are, Mr. Kazak, for a statement.
ParlaMint-BG_2015-07-21.u42	When the Rules are broken, I accept that. I will not contribute to its breach, unlike all of you who agree to violate the Rules of Procedure. Mr. Chairman, ladies and gentlemen of the House! I dare say I have a modest knowledge of the Constitution. I will quote you, Mr. Speaker, one of the first texts of the Constitution: Art. 1. (1) Bulgaria is the Republic with parliamentary management. After that: The entire government derives from the people. It shall be carried out by it directly or through the bodies selected by it provided for in this Constitution. After that: No part of the people.......................................... no part of the people.... can take advantage of the exercise of the people's reach.................................................................... Do you know what that means? Do you understand what that means? That no part of it was 350 thousand, 400 thousand, 500 thousand, 800 thousand, the Bulgarian people were much more than that. No part can oblige the sovereign and the authority he has broadcast through direct democratic elections to do something directly his will. The text adopted in the original version of this Law is a flagrant violation of this constitutional text. The very existence of a hypothesis in which a certain number of signatures was 500 thousand, 600 thousand, 350 thousand, to oblige the direct emancipation of the people's sovereignty, the National Assembly must schedule a referendum, is in direct contradiction with the Constitution. This text should rather be dismissed, because it is now violating the Constitution. However, not only are you not pleading for this, you are bidding in the direction of reducing this threshold, you see, 100 000 people are obliged to oblige the representative of the Bulgarian sovereign, the National Assembly, to schedule a referendum. Mr. Speaker, you're not a lawyer. However, I turn to the common sense of everyone present in this Chamber: if we ever want Bulgaria to be the rule of law democratic state, we must not allow such a flagrant violation of the basic constitutional text on which the foundations of the Bulgarian democratic model are based. Even your speech has revealed, has exposed your hidden intentions, you want, through the instruments of direct democracy, to impose a dictation of the majority over the minority. You want to use the instrument of direct democracy in such a way, the referendum, that through it you put under threat the achievements of Bulgarian democracy, the achievements of Euro-Atlantic membership and the Euro-Atlantic essence of Bulgaria, which it has achieved through so much effort for 25 years. We see how this instrument in the hands of populist parties can harm the fundamental national interests of other countries that used it. The last example is from neighboring country south of Bulgaria. Once again, I turn to common sense: reject all these proposals not because of the formal argument that I said, but because they are inherently unconstitutional. Part of the Bulgarian people cannot oblige the National Assembly to adopt any decision. The National Assembly should only, as an expressor of the people's sovereignty, decide whether to schedule, or not, a referendum. He must have the last word. Thank you.
ParlaMint-BG_2015-07-21.u43	Thank you, Mr. Kazak. First line.. People's representative Dimitar Lazarov.
ParlaMint-BG_2015-07-21.u44	Dear colleague Kazak, you are returning the debate in 2009 when the same ones were developed. In 2009, the 40th National Assembly adopted this Bill. By the way, since 2008, it has matured and there the proposal for 500 000 required signatures is valid for your parliamentary group then. Open the transcripts, look at them! I've seen them, I've read them. I will strongly disagree with your thesis that, you see, it is unconstitutional to have referendums at first, let me put it this way. All the government is derived from the people, it is carried out by them immediately. That's what it is. If you believe that this is contrary to some general principles, another is the subject, but let us not put the debate back there. Yes, the people can oblige the National Assembly by 400-500 thousand votes, dear Mr Kazak, and how they will pronounce themselves.............................................................................. is another topic. Whether those who participated in the referendum with the requirements that are currently in force, the last parliamentary elections Five hundred thousand, or other hypotheses, is a completely different subject, but let's not bring this debate back. It is debated, including you, other colleagues who are not here now, but you had the opportunity, first, then not to vote on this bill.. without your votes it would not have gone as it is now acting, and then you had the next opportunity, speaking of unconstitutionality, to refer to the Constitutional Court. You didn't, and you won't, because you know what the result will be. Let's say things one to one. In my previous speech, honourable colleague Kazak, I said that the number of valid signatures to the tight party cores should not be reduced in order to make it mandatory for the National Assembly to schedule a referendum.
ParlaMint-BG_2015-07-21.u45	Thank you, Mr. Lazarov. Second line? National Representative Dimitar Bayraktarov.
