ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u12	The Commission shall support the text of the importer for the name of Section II. Under art. 300 has a proposal from the MP Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 300, para. 1 the words "Personal development support' shall be replaced by the words "out-of-school centres'. The Commission shall support the text of the importer for art. 300, which becomes art. 302. Under art. 301 has a proposal from the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 301 the words "Personal development support' shall be replaced by the words "out-of-school centres'. The Commission shall support the text of the importer for art. 301, which becomes Art. 303. The Commission shall support the text of the importer for art. 302, which becomes Art. 304. Under art. 303 has a proposal from MP Milen Mihov and a group of MPs. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 303 words for support for personal development shall be replaced by the words "out-of-school centres." Proposal by the National Representative Milen Mihov and the National Representative Krasimir Bogdanov, made according to the order of art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 303, which becomes art. 305: Art. 305. (1) The property or parts thereof and the property released as a result of the closure or conversion of state and municipal schools, kindergartens and support centres for personal development shall be used for educational, health, social or humanitarian activities under the Law on State Property, the Law on Municipal Property and the regulations governing their application. (2) The properties or parts thereof and the items released as a result of the closure or conversion of state and municipal schools, kindergartens and centers for support for personal development for which there is no public need for their use for the activities under para. 1 may also be used for other activities under simultaneous fulfilment of the following conditions: 1. no public need to use them for educational, health, social or humanitarian activities has been identified within two years; 2. there is a positive opinion of the Minister of Education and Science prepared on the basis of an assessment of the educational needs in the municipality; 3. The population has a population of less than 5,000 people.
ParlaMint-BG_2015-09-30.u13	Statements under Section II of the Property and the texts that are in this section? Mr. Bayraktarov.
ParlaMint-BG_2015-09-30.u14	Thank you, Madam President. I have a few questions to the importers about art. 301, which has the following content: The public and municipal schools, kindergartens and centers for support of personal development real estate and movable property have the status of private state, respectively private municipal property. Dear colleagues, under the Law on Municipal and State Property, these are two separate laws, by the way, the status of property, which is private municipal or private state property, has a legally different format, if I may say so, because these property, first of all, are not subject to compulsory insurance, which is extremely important for kindergartens and schools. Who will insure these assets, Minister, when they are private municipal and private government property? Moreover, avoiding the publicity of this property enables municipal councils, for example, to sell or dispose of the property at any time. Let's say if this is a yard of a kindergarten and it is necessary to build the relevant facilities for the development of mass sport for children, it can safely be sold without requiring the appropriate procedure, such as for public municipal or public state property. And I'm making an editorial proposal in art. 301 in which after the word "statut" is to be recorded a public state, respectively public municipal property. In this way the interest of the Bulgarian schools is protected, the interest of kindergartens is protected, and most importantly their property is protected because over the years we have seen Sofia fall into deficit, lack, shortage of kindergartens. And for this reason it turned out that at some point the Bulgarian children have nowhere to go to kindergarten and nursery because they are simply not there because the kindergartens were sold, the nursery was sold. Their property has been sold. And, notice, by some strange coincidence, many of them instead of state or municipal became private because they sold the properties that were precisely for this reason, under this Law, private or private state property. I think, fellow Members, that we need to protect property, we need to protect the possibility of it being insured in the event of any unforeseen events such as disasters, such as an accident, that it be necessarily insured, as required by both the Municipal Property Act and the State Property Act. Thank you.
ParlaMint-BG_2015-09-30.u15	Thank you, Mr. Bayraktarov. - What's the line? I won't. Any other MPs? I won't. The debate is closed, we're going to vote. I put to the vote Mr. Zablyanov's proposal for amendment to art. 300. The Commission does not support this proposal. Before that, we vote on the name of Section II. Vote 85 MPs: for 84, against none, abstention 1. The motion is accepted. We are now voting on the proposal of Lord Zablyanov and a group of MPs. The Commission does not support it. Vote 81 MPs: for 7, against 55, abstention 19. The offer is not accepted. We vote on Mr. Bayraktarov's proposal in art. The text shall be replaced by the text of the public. The sentence takes place: with the status of public state, respectively public municipal property. We vote on Mr. Bayraktarov's proposal. Vote 82 MPs: 15 against 7, abstention 60. The offer is not accepted. It's a re-vote.
ParlaMint-BG_2015-09-30.u16	Thank you, Madam President. I want a re-vote. Colleagues, you obviously do not want to understand that the text thus formulated makes it possible for corrupt practices. It will be bought with municipal and state money and then sold, as in those dark times, when the privatisation of much lower prices takes place, the same property that you want to be private state and private municipal property.
ParlaMint-BG_2015-09-30.u17	Mr. Bayraktarov, you're essentially speaking. Revoting is only required if you have failed to vote, or your colleagues have not done so in the group.
ParlaMint-BG_2015-09-30.u18	Yeah, I'm just explaining why I want revoting to know that those who don't support the proposal are practically supporting corrupt practice.
ParlaMint-BG_2015-09-30.u19	Thank you. It's a re-vote. Vote 84 representatives: 17 against 19, abstentions 48. The offer is not accepted. We vote on Mr. Zablyanov's proposal in art. 300 words of support for personal development shall be replaced by the words of out-of-school centres. The Commission does not support this proposal. 90 MPs voted: 10, against 69, abstention 11. The offer is not accepted. Colleagues, we are voting in Section II of the Property. Members with numbers 302, 303, 304 and 305. 305 in the version of the Commission. We are voting on these texts.
ParlaMint-BG_2015-09-30.u20	Vote 85 MPs: 79, none, abstention 6. The motion is accepted.
ParlaMint-BG_2015-09-30.u21	Chapter seventeen. The Commission shall support the importer's text on the name of Chapter seventeenth. Article 304 "A proposal from the National Representative Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 304, para. 2 the words "Personal Development Support Centre" shall be replaced by the words "Out-of-school Centre." The Commission shall support the text of the importer for art. 304, which becomes Art. 304, 306.
ParlaMint-BG_2015-09-30.u22	Statements? I don't see anyone who wants to. We are voting, honourable Members, not supported by the Commission text of Mr. Valeri Zhablyanov and a group of MPs. Vote 81 MPs: 5 against 58, abstention 18. We are now voting on the name of Chapter 17 by importer, supported by the Commission. Vote 79 MPs: 74, none, abstention 5. The motion is accepted. We vote on the text of the importer as art. Article 304 which, according to the Commission's report, becomes art. 306. Vote 75 MPs: for 73, no objection, abstention 2. The motion is accepted.
ParlaMint-BG_2015-09-30.u23	Article 305. A proposal from the MP Boyka Marinska and a group of MPs. The Commission shall in principle support the proposal, which shall be reflected in its systematic place in art. 306, para. 2. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 305, para. 1 the words "Personal Development Support Centre" shall be replaced by the words "out-of-school Centre" and "out-of-school" shall be replaced by the words "out-school Centre." The Commission shall support the text of the importer for art. 305, which becomes art. 307.
ParlaMint-BG_2015-09-30.u24	Statements? I don't see anyone who wants to. First, we vote on the proposal of the MP Valeri Zablyanov and a group of MPs, not supported by the Commission. Vote 81 MPs: 8 against 61 abstentions 12. The offer is not accepted. Vote art. 305 by importer, which becomes art. 307, supported by the Commission. Vote 82 MPs: 77, none, abstention 5. The motion is accepted.
ParlaMint-BG_2015-09-30.u25	Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission supports the proposal! The Commission proposes to establish a new Article 308: Art. 308. (1) The Board bodies shall be the General Assembly and the Board of Governors. (2) Members of the Board of Governors shall be elected by the General Assembly for up to 4 years. (3) The Board of Governors shall elect from among its members the President. Article 306 supposed by the MP Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 306, t. 1, 2 and 6 the words "the Centre for Personal Development Support" shall be replaced by the words "the Out-of-school Centre." The Commission shall support the text of the importer for art. 306, which becomes art. 309. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: Article 2 is created. 306a: Art. 306a. The Director of kindergarten, school or out-of-school center shall provide the Board with a suitable space for free use to carry out its activities.
ParlaMint-BG_2015-09-30.u26	Statements? Here you are, Mrs. Boyadjieva.
ParlaMint-BG_2015-09-30.u27	Thank you. Mr. Chairman, ladies and gentlemen of the House! Indeed, one of the proposals we have made is supported. Regardless of the way in which this has been highlighted, I would like to say that the text is important because the importers had not provided for board bodies and I think it is right to support it. I pay attention to you and I stand here before you to ask you to take a look at this second text proposed by Valeri Zablyanov and a group of MPs from BSP, which concerns the working conditions of the boards. In fact, under the Bill, the board is entrusted with essential obligations, but its rights here at least, in the Law, are not specified. It's a good thing they have rights that are written in the law they register under. Moreover, it is not clear how the association of the board with the school is being carried out because the long-standing practice has shown that it will assist the school in its work. This text helps clarify the relationship between the board and the school and, of course, the relationship with the public council, although our proposal to elect a member of the board in the public council was not heard in this House. When discussing the norms that concern the public council, the texts that have already been adopted, in fact, the importers, and subsequently in the Chamber, it was accepted that the public council is aimed at forming democratic functioning communities. But isn't the board, the ideal society, also functioning for the public benefit, such a democratic functioning community? How is the other body more democratic than the board? In addition to the first text that has been proposed, I appeal to you to support and the second text I think will be in favour of the Law.
ParlaMint-BG_2015-09-30.u28	A line to Mrs. Boyadjieva? I won't. Any other speeches? I won't. The debate is closed. Let's move on to the vote. I put to the vote the proposal of Mr. Zablyanov and a group of MPs, which the Commission does not support for a change in art. 306. Vote 89 MPs: 15 against 57 abstention 17. The offer is not accepted. I put to the vote the proposal of Mr. Jablyanov and a group of MPs for a new article. 306a. The Commission does not support this proposal. Vote 80 MPs: 10, against 58, abstention 12. The offer is not accepted. I put to the vote Articles 308 and 309 on the Commission report. Vote 89 MPs: 80, no objection, abstention 9. The motion is accepted.
ParlaMint-BG_2015-09-30.u29	"Chapter 18" "Operation, transformation, change and closure of institutions in the system of pre-school and school education." The Commission shall support the text of the importer for the name of Chapter eighteen. The Commission supports the text of the applicant for the name of Section I.
ParlaMint-BG_2015-09-30.u30	Anblock, we vote on the name of Chapter 18 and Section I of this Chapter by importer supported by the Commission. Vote 80 MPs: 79, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u31	Under art. 307 s a proposal from the MP Milen Mihov and a group of MPs. The Commission does not support the proposal: In art.307, para. 1 to be added:..................................................................................... 48, para. 1, p. 1 and p. 1, p. 1 and p. 1, p. 1 and p. 1, p. 1, p. 1, p. 1, p. In para. 5 to drop out:.................................................................................... 48, para. 1, t. Proposal from the National Representative Irena Kotseva. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 307, para. 1 is created t. 4. "4." State out-of-school centres. In Article 4 (1) (b), point (c) is replaced by the following: 307, para. 5 words for support for personal development shall be replaced by the words "Municipal out-of-school centres." Proposal of the National Representative Cornelia Marinova, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 307, which becomes Art. 307, 310: Art. 310. (1) The Minister of Education and Science with an order discovers, transforms, changes and closes: 1. state schools; 2. municipal schools; 3. specialized service units; 4. state and municipal centers for special educational support. (2) Schools of Arts and Schools of Culture shall be opened, transformed, changed and closed under the terms and conditions of the Law on Protection and Development of Culture. (3) The order for the detection, transformation, change or closure of state kindergartens under art. 35, para. 2, p. 2 and Bulgarian public schools abroad are issued in accordance with international agreements and agreed with the Minister of Foreign Affairs. (4) State kindergartens under art. 35, para. 2, p. 1 shall be discovered, converted, changed and closed by order of the Minister of Defence in consultation with the Minister of Education and Science. (5) Municipal kindergartens and centers for support for personal development, with the exception of municipal centers for special educational support, shall be opened, converted, changed or closed by order of the mayor of the municipality after a decision of the municipal council.
ParlaMint-BG_2015-09-30.u32	Statements? I won't. The debate is closed. I put to the vote the proposal of Mr. Mihov and a group of Members of the National Assembly "The Commission does not support it. They voted 83 MPs: 8 against 6, abstention 69. The offer is not accepted. I put to the vote the proposal of the MP Valeri Zablyanov and a group of MPs, not supported by the Commission. Vote 85 MPs: 10, against 61, abstention 14. The offer is not accepted. Vote art. 310 in the version of the Commission report. They voted 86 MPs: 76, against 5, abstention 5. The motion is accepted.
ParlaMint-BG_2015-09-30.u33	Under art. 308? a proposal from the National Representative Valeri Zablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: In the case of aid granted under Article 107 (3) (c) of the Treaty, the Commission considers that the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. 4 the words "Personal development support" shall be replaced by the words "out-of-school Proposal of the National Representative Cornelia Marinova, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. 308, which becomes art. 311: Art. 311. (1) State and municipal institutions in the pre-school and school education system shall be transformed by infusion, merger, separation or separation. Non-specialized schools shall also be transformed by changing the type under art. 38, para. 1 and 2. (2) Changes may be made in state and municipal kindergartens and schools related to: 1. the name; 2. the official address; 3. the address of the buildings where the training takes place. (3) A change of the funding body may also take place in vocational schools and sports schools. (4) In the specialized service units, except the changes under para. 2, p. 1 and 2 may also be made changes related to the subject of activity under art. 50. (5) In the centers of support for personal development, except for the changes under para. 2, changes relating to the subject of activity under art. 2 may also be made. 49 in accordance with art. 49, para. 6................................................
ParlaMint-BG_2015-09-30.u34	Statements? I won't. We are voting on the proposal of Mr. Zablyanov and a group of MPs, not supported by the Commission. Vote 79 MPs: 12, against 53, abstention 14. The offer is not accepted. Vote art. 311 on the Commission report. Vote 71 MPs: 65, none, abstention 6. The motion is accepted.
ParlaMint-BG_2015-09-30.u35	Under art. A proposal from the MP Milen Mihov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: Directive 2009/65/EC of the European Parliament and of the Council of 26 June 2009 on the protection of individuals with regard to the In para. 6 to be added:............................................................................................ 48, para. 1, t. 1's and 1's, and 1's, and 1's, and 1's and Proposal by the National Representative Cornelia Marinova, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. The Member State shall inform the Commission and the other Member States of any changes in the scope of this Directive. 312: Art. 312. (1) The procedure for issuing the order for the opening, transformation, change and closure of state and municipal schools, the public and municipal centers for special education support and the specialized service units shall begin on a written proposal of the funding body. (2) For public schools with the exception of Bulgarian schools abroad, as well as for the public centers for special educational support for which the funding body is the Minister of Education and Science, the procedure for issuing the order for opening, transformation, change and closure shall begin on his initiative or on a written proposal from the Head of Regional Education Management. (3) For the Bulgarian schools abroad the proceedings for issuing the order for detection, transformation, change and closure shall begin at the initiative of the Minister of Education and Science under the conditions of international treaties to which the Republic of Bulgaria is a country. (4) For schools to the places of imprisonment the proceedings for issuing the order for detection, transformation, change and closure shall begin at the initiative of the Minister of Justice. (5) The procedure for issuing an order to change the name of a public school may also be initiated on the basis of a written reasoned proposal made by the Director on the basis of a decision of the pedagogical council and agreed with the funding body where it is not the Minister of Education and Science. (6) The Mayor's proposal for the initiation of proceedings under para. 1 for municipal schools, as well as for municipal centers for special educational support, shall be submitted after a decision of the municipal council and after verification and opinion of the regional management of education.
ParlaMint-BG_2015-09-30.u36	Statements? I won't. I put to the vote the proposal of Mr. Milen Mihov and a group of MPs. The Commission does not support it. Vote 80 MPs: 18 against 7, abstention 55. The offer is not accepted. Vote art. 312 in the version of the Commission. Vote 79 MPs: for 71, against none, abstention 8. The motion is accepted.
