ParlaMint-NO_1998-11-05.ana.ud1513e42	The representative, Harald Tom Nesvik, will make a private proposal.
ParlaMint-NO_1998-11-05.ana.ud1513e574	The Council of State also has three minutes' speaking time afterwards.
ParlaMint-NO_1998-11-05.ana.ud1513e577	I thought that was more for summation. But when the president says so, I'll see myself done now.
ParlaMint-NO_1998-11-05.ana.ud1513e582	I am very pleased that the Minister for Children and Family takes this problem seriously, and that she sees that already in the very early childhood, body and food can be an unnatural and difficult thing for many. I very much agree with what she says about values, and that getting new values can have value in itself for the one who's hit by this. But we can't see ourselves blind to it, because I think that just action and an action plan are what many are now asking for. With regard to concrete proposals for action, I would like to challenge the Council of State a little. To launch an awareness-raising campaign or an information campaign specifically aimed at kindergarten professionals and parents could be an opportunity. According to the State Institute of Consumer Research, SIFO, our dietary habits are changing, and our eating habits are changing as we see changes in society around us. Both availability, time pressure and increased contact with other food cultures will contribute to changes in our diet. An important measure to make children integrate and get healthy and good eating habits is to give them two meals at school. We know that today there are a lot of people who start school and kindergarten without lunch. Focusing also on fruit and vegetables in kindergarten and school may be the right response. But focusing on healthy activity is perhaps the most preventive one can do in terms of child obesity. Furthermore, I would like to receive an answer on how the Council of State looks at and assesses a ban on slim products. We know that many of the people who are hit can do anything and use large sums to lose weight, and many swallow such an advertisement raw. I would like the Council of State to address very specifically what an action plan can contain.
ParlaMint-NO_1998-11-05.ana.ud1513e595	To include some of my other points before I go to the challenges of the representative Bekkelem Orheim, I would like to mention: As part of the parental guidance program directed by the Ministry of Children and Family, we will issue a theme issue on eating disorders. They may be helped primarily to gain basic knowledge about how they can participate in and prevent eating disorders. There is also a little bit of the challenges that Bekkelem Orheim's representative gave me in relation to the behavioral work with kindergarten staff and chairpersons. We want to publish information about this theme directed at young people, including young people. through the Young magazine, about which several departments are united and which reaches all the 9th and 10th grades in the country. The ball and the health care service are important in preventing eating disorders, as is the representative of the beckeck between Orheim mentioned in his post. Strengthening the health care service and the school health service, which the Minister of Health will say more about later today, will include: increase the chances of early insertion of help in this problem area. It is also important to continue to strengthen the skills of professionals working on these difficult issues. We'll do that. In December of this year, we will start our own follow-up training for those treating eating disorders. The aim is precisely to increase the competence of those working on such issues. This educational provision transcends professional and social skills. So I would like to comment on some of the other challenges that Mr. Bekkelem Orheim gave me. Firstly, cooperation with the Food Council of the State is in full swing when it comes to scholastic food and fruit. This cooperation exists, we do what the representative challenges us to get started. I have also said a little about staging campaigns. There's something we want to go on with. Finally, the representative, Mr Bekkemel Orheim, asked about my attitude in prohibiting slim products. I have to say that I'm meant to be able to do that, because we actually also have some obese people in this society who need a slim product to get a healthy lifestyle. We do not need to look away from that page altogether when we discuss this with eating disorders – anorexia and bulimia. But the way in which it is advertised for these products, and the way in which it is lured in relation to the various slim products, I would like to discuss with you. I would warn against prohibiting a slim product. But what's interesting to discuss is how the values of the slender product that you want to distribute are passed on. It has something to do with devices, what group it's going on, and whether it's just going through medical consultations. There's a good way to engage in a dialogue with people who don't actually need these products in the advertising campaign today.
ParlaMint-NO_1998-11-05.ana.ud1513e614	President! It was a little misunderstanding. I didn't mean bans on slim products, but against advertising for that.
ParlaMint-NO_1998-11-05.ana.ud1513e621	All right!
ParlaMint-NO_1998-11-05.ana.ud1513e626	As both Karita Bekkemelm Orheim and the Council of State have pointed out, the causes of eating disorders are complex. No one believes that politicians alone can solve these problems. But we have to do what we can, and I'm especially concerned with two areas where we can actively contribute to preventing eating problems. We may have to admit that many teachers have too little knowledge of eating disorders. Therefore, we need to have targeted work in school, and the competence of teachers needs to be strengthened. Here are the centres of excellence that the Workers' Party will propose today, a central task. At the same time, the school health service is an important offer for those who want to talk to. But in many municipalities it is simply not a good enough offer today. Therefore, it is good that the Council of State now says that the Government will strengthen the school health service. This is a very important measure to prevent eating disorders and increase knowledge among health professionals. Today there are a number of slim products on the market: powder, pills, tea, creams – we have all heard about them. The advertisement for these products often conveys that 3 cm for wide thighs or 5 kg too much is a beauty problem. Advertising often conveys a message of wonders: You can go down 5 kg in three weeks. Or, now you can slim down without eating less. Prohibiting the use of advertising that conveys an unhealthy image of the body is very problematic, as the international fashion, model and advertising industries may not be stopped by bans. But just as we have a ban on advertising alcohol and tobacco in Norway, I think we need to be able to introduce a ban on advertising slim products. We have to remember that it is not only adults who see this commercial, but also children, and many young children have parents who eat powder at home instead of dinner. It's not natural, and it can't possibly be healthy. Those who need the products, those who have major weight problems, can get help from their doctor or pharmacist. But it's an important signal if we don't see the advertising of these products. The Council of State opened it up, and I would like the Council of State to confirm that she will seriously consider imposing a ban on slimming.
ParlaMint-NO_1998-11-05.ana.ud1513e638	A wave of tragedies where children and young people are the victims blame our country. Eating disorders, suicides, sexual abuse and drug abuse seem to increase in the extent of our enlightened and rich welfare society. While eating disorders in the past were considered a special problem for teenage girls, we now see that even young children and both sexes are affected. The causes seem to be complex and often psychological. But isn't anorexia and eating disorders primarily an unconscious call for help, a symptom that something is wrong? Research and trying to identify the complex cause complex may be a good idea to leave to the researchers. However, I would like to point out some basic needs of children and young people. This is no charge against parents who from now on bear great burdens, and who want their children the very best, rather a reminder of simple truths. Children need security and love – knowing that they are loved as they are, by those who are closest to them. This is not always expressed in clear words, but also through the small and large signals we give them along the way, consciously and unconsciously, by our attitudes and priorities. Children can be difficult on such signals as to the position they have in the hearts of their neighbors. People who have experienced anorexia in their youth have told me how they thought and reacted to their surroundings. Common to them was that they should slim down to improve their exterior, but the basic reason they conclude today is rejection from some of their closest. The necessary certainty that they were loved as they were was missing. It passed into performance thinking to be accepted. Could they become smarter, brighter, more beautiful – slimmer? That was at least something they could do with. The slimming and later anorexia became a way of getting control of your own body and your own life. These matters primarily concern the inner life of the family and must be resolved there first and foremost. Authorities may assist with professional information and guidance, but must also, through policy, provide framework conditions, choose solutions and prioritize resources in order to carry them in the right direction. We know that the need to be loved is not limited to any age group — it concerns young children and pre-school children, schoolchildren and young people in the vulnerable youth age where they really get to grumble on the outside world. For most of us, it may be that someone cares about us, which makes life worth living. And given the power of advertising, I think that a person who is safe on himself and has a positive self-esteem, will also stand stronger armed against the ideals of advertising trying to give us.
ParlaMint-NO_1998-11-05.ana.ud1513e655	It is commendable that the theme is on the Stortinge agenda. I guess you could also say it's high time. After all, it is a number of doctors who claim that eating disorders are the fastest growing people’s disease in today’s Western world. But what characterises this population disease is that it devastates with full weight in a particular life phase and age group, and it is – to relate it now to the wording of the interpellant’s questions – really neither children nor adults, but it is those who are in the middle of it, who, in our social form today, are neither unique children nor unique adults. And that's necessarily the most vulnerable phase of human life. Especially in the case of physical identity, it is without comparison the most vulnerable phase of human life. What characterizes the life cycle of our society today is that this transition period is inexorably much longer than before. In the old days, in pre-differentiated societies, each played two roles in life. The first part was a child, and for the rest of your life you were an adult. Both parts were unique roles, which were clearly defined, and the transition could be fixed even at the time: When you went into the service of confirmation, you were a child, and when you got out again, you were an adult. Today, people spend almost 15 years repatriating that distance, and in those years, they are neither children nor adults, but are alternately treated as one and the other – without ever realizing why. You're treated in one moment as a child and in the next moment as an adult. This is a very difficult challenge for both our education policy, our family policy and all the policies of this society. We have to take seriously that the life cycle is simply different in today's society than it was a generation ago and beyond. There's no simple handle that can solve this problem, and it's obviously because the eating disorder isn't really the disease, but the symptom of the basic disease, that identity, natural self-respect, is super difficult to win in this transition phase in our society today between childhood and adult age. If we are not able to solve the fundamental communication problem that lies here, all measures will be surrogate measures. After all, eating disorders are a taboo of a much more comprehensive problem, namely the increasing violence in modern society. For destroying one's own body is also a form of blind violence. I'm going to try to continue this, because we're getting a new interpellation debate on the same issue next time.
ParlaMint-NO_1998-11-05.ana.ud1513e670	It is an important theme to address today. Food intake and eating that should be the most natural and pleasant, has unfortunately become for many people a serious, morbid condition with difficult healing procedures. In March this year, I had an interpellation about the importance of the school meal based on the fact that very many students don't eat lunch or have lunch at school. The Nutrition Council has also called for caution on this and has proposed measures to improve the situation. Poor eating and eating habits can be one contributing factor in young people having an unnatural food intake relationship. It is tragic to see that more children and young people are unable to deal naturally with their diet and body. The fact that obesity is seen as a health problem can also in some cases cause young people to have abnormal attitudes to normal food intake, and slimming agencies to put time on expensive preparations and courses. I agree with the interpellant, which points out that, in addition to poor eating habits in the home, advertising and the search for ideals can be strongly contributing to children and young people experiencing eating disorders. It is not easy to be young and to meet all the demands and expectations of the environment. We who are so lucky to be able to cope with our everyday lives, have an obligation to focus our attention on all aspects of social development. I think it is particularly important to have a good health and social counselling service in school. We haven't been able to do these services well enough for now. I can't miss mentioning the sport either. Unfortunately, some training courses have been such that some practitioners have had problems with natural food intake and, for that reason, have been in the group of eating disorders. It is frightening to read that about 40,000 people under the age of 18 have serious problems with their food. It's actually two thirds of a school year's school year's school! This is a disgraceful figure for the rich of money in Norway. And it's not a simple answer to correct these disorders, which I understand is a combination of psychological and physiological disorders – but it was very interesting to hear the representatives of Inge Wohnung's reflections. It's important that eating disorders get their rightful place in the psychiatry plans. Having said that, I assume that the plans must be followed up by concrete measures, such as: information campaigns aimed at different youth settings and schools, refresher training of teachers and kindergarten staff, strengthening of health centres, building expertise in specialist health services, etc. In parallel with this, I think that we need to spend more time with our children and give them security, so that they get a good self-esteem despite the fact that not all body measurements meet the greedy demands of advertising and models. Furthermore, it is very important that the staff involved with children be trained to observe abnormality in relation to food intake at an early stage. However, the prevention side is the most important. Here attention must be paid to all levels where children and young people are located.
ParlaMint-NO_1998-11-05.ana.ud1513e696	I would first like to thank the interpellant for addressing this important question, and the debate shows that this is a very complex question that requires lighting from many sides. What I think is obvious is that one cannot discuss eating disorders in children without one at the same time looking at the diet and beauty controls also in adults. This is a growing boy problem, but still there is a predominantly girl and woman problem. 80 pst. of women and girls are dissatisfied with their bodies. So if you're a girl, a teenager and on a diet, you have the best chance of developing eating disorders. And slimming mom, the danger is that the 7 or 11-year-old will also slim down. Find Skårderud has once said that it must be as important to hide the slim powder as AG 3 in the family, if then there is an AG 3. Obviously, this is a lot of pressure in many areas. The interpellant pointed to it, and many others have also mentioned the pressure around it to be successful. But one must also look at the driving forces, who is interested in the fact that girls and women view themselves as defective, on which someone can repair it. Then one sees that there are big economic interests behind it, which would like to conquer new markets. The advertising industry is a lot of people who have thought about it here, and also the beauty industry, the slim industry and other powerful forces that unfold through the media. Among other things, I heard that Coca-Cola in the Drama announced: Cola light for one year for the one who could slim down the most in two weeks! The advertisement was fortunately stopped by ascending teenagers, and it turns out it is useful to do something. That's why, like the interpellant, I want to give tribute to the IKS, the interest group for women with eating disorders, to the girls who don't find themselves in the annual wall-to-wall tyranny from Hennes & Mauritz, and also to the Boys against Barbie, who have their origins in SU. We have to go to drastic measures and get a consciousness to stop the economic forces behind the slender press and the beauty rule. I see that time goes by, but I want to say a little bit about lack of physical activity. Slimming can often be a compensation for lack of physical activity, lack of good body experiences. Then it's a paradox that the school has reduced gymnastics both in scope and content. It must be right to give the children good habits and experiences with the body, both at school and in sport. That is why sport plays an important role here, and sport must see its responsibilities.
ParlaMint-NO_1998-11-05.ana.ud1513e711	It is a very important debate the inter-pellant has put on the agenda today. It is really strange that this debate has not come into the political environment both earlier and more strongly, in line with other societal problems, such as: alcohol and drugs — things that actually affect young people’s health and even take their lives. It is shocking to read in newspapers and reports about tens of thousands of people who have eating disorders, about young children who are slimming, about girls who are even starving to death. The fashion industry, the advertising industry, the image of success related to how slender one is, how nice one looks, how the body is, is part of the cause image – the body ideal and the slender culture created by the big community. But this is not just a women's debate, not just a debate on girls, which is about girls, and which girls should participate in. There is a debate in which men too should engage, for several reasons – firstly because we men can not only sit and watch that our girlfriends, spouses, daughters or girlfriends have major problems with their self-image and the relationship to food, but also because this is not just a girl's problem. Many boys are also hit by eating disorders. A recent study showed that one in ten in the first time military service had a low self-esteem and food problems. In particular, boys active in sport are affected. Performance pressures, pressure from trainers and pressure to achieve high results are often the driving force behind these problems. A few weeks ago, we were shaken by a statement about a boy of eleven years who was admitted to a hospital with eating problems. It turned out that, if possible, treatment and support services for boys are even worse than for girls. Although there is also a need for enormous expansion and investment for the treatment and support services for girls, it may be worse for boys, not only because the organisations and interest groups that exist for girls do not have the capacity to help the boys affected, but also because boys and men have greater problems admitting that they have problems with food, more problems admitting that they need help. Therefore, it is important that the Government, if the inter-pellant's proposal to make a plan to help those who have a food refusal, is adopted, also puts the boys' situation on the agenda. So finally just a few words about slim products. I would like to ask whether the Council will assess whether slim products can only be sold in pharmacy. Then you wouldn't get the pressure, maybe even the advertising press, that you have in relation to slim products.
ParlaMint-NO_1998-11-05.ana.ud1513e724	Eating disorders are increasing. It is worrying when children slim down to the age of seven, and there is something serious wrong when there is not enough treatment for those who need it. Suffering if there are a few who get seriously ill, there are many who are in danger. This is why prevention is also very important in this area. There are many and complicated causes of eating disorders, but there can be no doubt that the pressure that has arisen about body fixation and slimming is an important reason why children and young people often develop an abnormal relationship with body and slimming. The models used by both the major fashion cabinets in Europe and in magazines and magazines at home often look both ill and undernourished. The thinner you are, the better. The fashion and slender press has reached small girls, and many experience the pressure from a fashion industry that increasingly makes baby clothes that are miniature editions of youth or adult fashion. Pop stars with bare stomach and longing dresses are often idolatrous for little girls. I also think that parents who are still on a diet, with slim powder as a natural part of the diet, often contribute to giving children a somewhat unnatural relationship to food. When the attitude is that H-milk is not good for children, but it is okay to drink light shower, we are on the wrong track. The fact that some children to some extent have a somewhat unhealthy relationship with normal food, whether it goes in one direction or another, is worrying. Teachers tell us about children who come to school without having lunch and without bringing a lunch. The alternative is to buy something in the kiosk, or at the bakery, or not to eat. Some schools here in Oslo have now introduced the old school lunch. Maybe there should have been more of the country's schools. There is a lot that needs to be done in the prevention of eating disorders, and we need to improve treatment provision considerably. Today, there are only 16 treatment sites on a national basis, and that is, of course, far from enough when we know that this disorder is the most common cause of death among young girls. And it's not just those who have become serious and life-threatening sick, who have to get an offer. Without treatment, many people will be struggling with eating disorders, and some people with mental problems, for the rest of their lives. I would also just like to refer to the proposal put forward by the Labour Party that centres of excellence should be set up in all regions. It is also appropriate to establish a single centre of excellence, which should be used by the outlying centres of competence. It's something that I also hope there'll be excitement, so you'll get a better grip on this problem than the case is today.
ParlaMint-NO_1998-11-05.ana.ud1513e739	I also want to commend Karita Bekkemelm Orheim for addressing the problem. It's an important question that engages many, both politicians and people in the thousands of homes. There have been many different ideas about the cause and the possibilities of solving the problem here today, and I think everyone who has heard the debate agrees that the problem is serious and that it is important that it was put on the agenda. There is a need for action beyond the range of politicians, and action is needed that goes beyond sections, in order to achieve something that can improve the situation. However, I will be allowed to point to one thing that has not been mentioned here. When you talk about teacher training, you talk a lot about teachers having to be taught to see the symptoms, but it's just as important that teachers are taught not to trigger. When, for example, look at today’s high school education, with a high performance requirement already in high school — boys and girls have gymnastics in the same classroom, and after that they have to go through a shared shower — it is clear that there is also a germ for eating disorders for some people who are initially having problems. There is no doubt that children compare with others. And when you're going to act with others, the demands for success increase in relation to yourself. Therefore, teachers also need to be trained to be at the forefront of the problem and not just to detect symptoms, and they should be a little cautious about what demands they make to children in a gymnastics situation. It has also been suggested that there should be a ban on the marketing of lean products or that lean products should be sold in pharmacies. I don't think this is the way to go. I don't think we're going to get the problem through the ban on the marketing of slim products. Nor should we forget that overweight is also a major problem in our society, both among children and adults, and that many can benefit from the marketing of slim products. It is not a ban we need, but a framework for marketing, so that those who need information get information that is factual and sober. Finally, I would like to point out the responsibility that should lie at health centres, by following up children who have abnormal deviations in weight from their infancy. Obesity or underweight trends are often imposed while children are quite small, and by being at the forefront and having close contact with families, it is likely to prevent the problem from occurring – too many at least.
ParlaMint-NO_1998-11-05.ana.ud1513e750	I think that the debate on this matter has shown that there is a great political understanding of this disease. As Inge Wohnning correctly said, this is a challenge for both our education and family policies. I also agree with the representative of Tingelstad that we need to build special skills around the country. In this debate, we have talked a lot about what the disease is, and the reasons for it, but, as Pride-Nielsen said correctly, the action is going to take and must now take place. Next interpellation, from the representative of Marit Nybakk, will just focus on treatment and post-protection, so we'll hope that the political consensus is the same in the next interpellation debate.
ParlaMint-NO_1998-11-05.ana.ud1513e757	First, I would like to comment briefly on the advertising of a slim product. I'm going to evaluate what kind of tool is good in that way. I think it's dangerous to draw conclusions here and now, but the way the information about the products might come out is very important. Assessing whether the slim products are only to be sold in pharmacies is a rather complicated matter, which at least I cannot draw the conclusion at present. Many healthcare stores also sell some products. This is a large and complicated area, but I'm going to promise to evaluate the different sides of the sales of the slim product. I also want to highlight the importance of further work with voluntary organisations – as I said at my introduction – and I especially want to bring out the stakeholder organisations in this area. They're good partners, and they can join in and chisel out very safe methods of how we can meet the problem. Eating disorders, as many have said here, are also an increasing problem among boys. We have to be very conscious here. The girls are no longer the only girls who are tired. The good guys have the same pressure, and of course we have to think about it in relation to the different measures we have seen and we are going to start. Some people have pulled out the school here, and I think maybe we have a little too negative view of what the school does when it's about physical birth. There are many children's balls today where they actually go out in nature one day a week, and use it as part of the physical birth. This is something that will increase more and more. I think the school is conscious of what's going on physically in relation to the students. But one should, of course, include this in the further work. This is an important debate, and I think it is good that the interpellant has seen this on the agenda. I am also pleased with the cross-political agreement we have with regard to the issues. But we are not just coming forward with debate, we must also put in action. I'm glad of everything we've already seen -- we've started a process. The government is in the process of taking action on many of the areas that have emerged in the debate today, and of course we will continue this work. In the next interview, the Minister for Health wants to highlight some concrete things when it comes to health, health, etc., so I should not comment on the part of the challenges that go out of hand on an action plan or on the health page. But I'm happy to negotiate, and I'm pretty sure one in the next debate will also agree that there is action that is now required, not just talk about the problems.
ParlaMint-NO_1998-11-05.ana.ud1513e772	The interpellant debate is therefore closed.
ParlaMint-NO_1998-11-05.ana.ud1513e786	It's with joy I take over the staf stick. I think it's been a great debate in the last hour. I want to start by telling you about Lise, the niece of a friend of mine. She had anorexia when she was 11 years old. She was just skin and bone and a hair breadth from the dead when she finally received psychiatric and medical treatment. Everyone was relieved when Lise started eating again – the doctors, the family, the community. But that was when the girl got really sick. To prevent food from entering her body, she began to vomit and develop bulimia. She's now 28 years old, and she's still as bad. This may be the main reason why eating disorders are so difficult to treat. Health professionals are concerned about making the anorectists eat — naturally enough. They rarely understand that if the patient is not followed up with systematic after-care, they wonder the environment by what they eat is thrown up again. In the last hour, Stortinget has discussed prevention measures to prevent children and young people from developing anorexia and other eating disorders. Treatment provision and knowledge among different types of professionals are, if possible, even worse than prevention. It is essential that both the school health service, the primary health service and the specialist health service are able to do their part in diagnostics and treatment. First of all, there is a need for a significant build-up of skills in these disorders — in addition to strengthening treatment provision and aftercare. The few girls – and the boys – who today receive professional help either do not receive the support and treatment they really need, or fail in post-protection. Often, as I said, the competence of auxiliaries fails. Have we thought that an alcoholic, a smoker, or a drug addict can stay away from the drug that has caused addiction? A person suffering from eating disorders, however, must relate to food for the rest of his life. Have we thought through how difficult it must be to develop a natural relationship with food for one who has either had anorexia, developed bulimia or, for that matter, used food as a drug — overeating? Of course, the competence of health professionals, child protection workers and teachers must also include the various causes of eating disorders in order to be able to treat the disorder properly. A young woman who suffered from bulimia, as a child, had been assaulted by her father in the form of having to perform oral sex. The only way she could forget the taste in her mouth was to put food in her mouth absolutely 24 hours a day. Fortunately, the inhalants are only part of those that are affected by eating disorders. In our jets, more and more people are attaching their identity to the body, as the previous debate showed very clearly. Eigenvalue is going to be inversely proportional to the number of kilograms. We associate a voluptuous body with control, success, high moral and willpower, which I have written in the interpellation text. And in the weekly magazines, the little girls and teenagers can read that those who look good are also the ones who get the best grades, and who are also the easiest to get a job. A year ago, the pictures of the then demagogued Swedish Crown Princess went all over the world. My generation then remembers the strange female party in the song duo 'The Carpenters' died of anorexia. A growing number of successful and reverent young women suffer from eating disorders. Now, the ideals of beauty have been tough at all times. A hundred years ago, the girls were sneaking in with corsets, had to stand after each meal and fainted at the slightest effort. We remember how Chinese girls got their feet deformed. Still, it's getting grotesque when female actors in the U.S. are operating away from the lower ribs and getting the silicone pumped into the breasts to get the artificial barbucking figure. This is also about the social control of women. Women are valued as objects and are to be held in places where the power structures want it. In many countries, male elites use culture and religion as a basis for keeping women down. Small girls are circumcised and mutilated to prevent sexual pleasure. We can hardly imagine the pain and suffering, including: at intercourse and birth. To take eating disorders seriously, we need to make the right diagnosis and provide adequate treatment. We have to recognize that anorexia and bulimia as a mastery strategy in a body-fixed culture are perhaps as restrictive and inhibiting as twisted feet, use of veils and corsets or, for that matter, intersections – perhaps not to the fullest extent. The development of skills and offers is slow. I went through some question-time questions that have been asked earlier, and very many of the same issues have gone on again. Today, Modum Bad is considered to have the best treatment offer in Norway — with the risk of insulting others; it is not my opinion. They have 14 spaces. Hospitals and psychiatric institutions also offer services, but most hospitals can provide little more than coercive feeding and a few hours at psychiatrists a week. However, I believe that the worst thing is the total lack of knowledge on this subject among those who are first involved – in general practitioners, in primary doctors, in health sisters, in child protection workers. I could actually bring teachers, even though I think they're doing a pretty good job in this field. Eating disorders were a focus of the Action Plan on State Stimulation of Mental Health Protection and Mental Health, 1991-95. This should be done in a combination of prevention and treatment. In this context, in 1992 the then Health Directorate investigated the treatment provision for patients with eating disorders. There was also a ‘Project for eating disorders 93-95’. In the examination of the psychiatry report in 1997, it was proposed to strengthen the psychiatry of children and young people, which is also important in the context we are talking about here. Nevertheless, we still miss the concrete proposals that can show that Norwegian society recognises that eating disorders are a disease, that the numbers of darkness are large, that the causality is complex, and that there is a need for knowledge and competence. That is why I want to challenge the Minister of Health to improve the provision of treatment and the protection of patients and to increase their competence. I am sure – also seen in the light of the previous debate – that on these issues there is a cross-political consensus. I think it is important to stress that it should be, and that we should be together to try and get concrete action in the health sector. – How do we ensure early treatment in the local environment? How do we get long-term treatment and follow-up? How can we develop multi-disciplinary treatment that is targeted? How can we increase the competence of health services and other professional groups? How can we gain more knowledge about symptoms in the community, school, organisations and sports? – for the symptoms are very important in this case. If that's what I saw in a question-time question from Ellen Christine Christiansen in the previous period, that in 1995 the medical students at the University of Oslo had one – one – lecture on the problems of eating disorders, then it is necessary that the theme gets stronger into all the education of health professionals. The Labour Party has today made proposals to take the initiative to set up centres of excellence in all health regions and to strengthen nursing and medical training in this field. At the end of the day: Karita Bekkemelm Orheim has spoken before today about the responsibility of the model and advertising industry. After having browsed through several fashion magazines the last day because of this debate, I have to say that we, who look something like normal, don't have a chance there in the yard. It's spike-thin, flat-breasted 14-year-olds, 1.80 high and 45 kg. “I had almost said Marilyn Monroe would have been kicked off by today’s talent scouts. But to pretend that we have a counterweight to these monsters, there are a few other models, but they are in return so obese that they are not of the category most of us can identify with either. This is going to be a cross of thought. It should be a main task, as also the representative Orheim stressed, to really take up the fight against this category of fashion industry.
