ParlaMint-NO_1998-12-15-2.ana.ud360e26	We will continue in the debate on the 3th Framework Ministry of Culture.
ParlaMint-NO_1998-12-15-2.ana.ud360e300	The representative, Mr. Breimo, said that the Right was very nice about culture, and I agree with that. But I get a little worried when he says that if the Right had run the country, the culture would have gone soft. The right has shown before and will show later that if we're in position, we give priority to the cultural effort. We have our firm cut on the cultural budget, and I have just explained that in my post, namely the press support. We have a fundamental explanation for that: we're going to go against it. Besides, there are some cuts, but it's not about large sums. Then ask the representative, Mr. Breimo, why could not the Right be involved in this remark on target and result management. We could've been on it, but now it's going to make the comment that's in front of it, that's what a whole committee is behind it, that's what I wrote, and it goes on the exact same thing: ‘The Committee has noted that a number of complaints have recently been raised by artists and organisers about bureaucracy and forms in relation to the various cultural support schemes. The Committee considers that it is important to strike a reasonable balance between the need to have a reasonable control over the use of the funds for their purposes and the consideration of a smooth and non-bureaucratic application and control procedure. The Committee asks the Ministry to review the aid schemes for this purpose. Such a review could also contribute to a greater proportion of cultural resources being devoted to cultural activities and less to administration.’» This was a unanimous committee that joined, and I feel in many ways that that signal is clear enough. The signal given there simply means that the Minister of Culture now has to go through and look at the support schemes in place and try to reduce bureaucracy. So you could say that the cultural committee might have a tendency to write long comments. Occasionally it may be appropriate not to enter into all.
ParlaMint-NO_1998-12-15-2.ana.ud360e314	In its draft budget, the Progress Party has reduced the position of film production because we think it seems wrong. As this support works today, millions can be given to film projects that only gather a handful of spectators at the premiere. It is also the case that aid is granted in proportion to the number of tickets sold, so that e.g.: Cash benefits such as ‘Olsenbanden’ may be SEK 7.5 million. kr in ticket support and the film «Solan, Ludvig and Gurin with reverompa» even more. Does the Right agree with the Advance Party that this item can be significantly reduced and that the conditions for obtaining aid need to be reconsidered? The production aid and the ticketing aid are in the same bag allocation.
ParlaMint-NO_1998-12-15-2.ana.ud360e321	I can agree with Mr Bredvold on a certain point on the road. The right has used to propose a small cut in support for the production of Norwegian films, but in no way such giant cut as the Progress Party suggests. I believe in many ways that the film support schemes are relatively comprehensive and complicated. But if we look at our neighboring country and the investment in film production, it is clear that Norway is far behind. It's not a goal to make movies that nobody sees, but it's not just a goal to make movies like the 'Olsenbanden'. It must be a goal to be able to produce quality films that may reach a larger and international audience. Remember that Olsenbanden has his brothers and sisters both in Sweden and Denmark. It is not the type of film that Norway can sell internationally. I therefore believe that we need a nice mix of what are publicists in Norway, and what can have a potential to give a picture of Norway abroad. Films are just a full start at the height of many others and should therefore be supported by the public. But, of course, it can be discussed how this support is used, how the funds are distributed. That discussion would be a good idea to take part in, and I also hope that the Progress Party will see that there may be a need to support quality films, even though that term probably does not sound good in Bredvold's ears.
ParlaMint-NO_1998-12-15-2.ana.ud360e328	One would think that the answer given by the representative to Bredvold in the case of production proposals for films had become the opposite in relation to what Right would give in its alternative budget, not reducing it further, but increasing it, because Trond Helleland argued well when it owed him the right to provide production support for Norwegian films. Right says in a note in the budget setting: ‘It is valuable for society to have a pattern of free and independent local, regional and national newspapers. This should be ensured through competition in an open market. The press shall be independent of the authorities and the Right is therefore in principle in favour of the winding-up of the State press aid.’ Then it's not a gradual decrease. But in their alternative budget, they propose to remove the entire support. And isn't the representative of Greece afraid of what consequences it will have if you want to remove all the ideas? So we're going into the equation with the Right and the Advance Party for a reduction of 35 million. And we also see what noise it creates. It would be a pretty big rackad if everything were removed, and I also believe that it would have an impact on the ability of hard-to-reach newspapers to maintain the basis for publishing and maintaining the basis for alternatives to the leading daily newspapers at local and national level in the same way as today. Otherwise, I would like to thank the Right for a good and constructive cooperation within the Committee on the treatment of cultural frames. It has been a positive cooperation, but when it comes to the press support, I wonder that Right wants to remove everything.
ParlaMint-NO_1998-12-15-2.ana.ud360e342	There should be a relatively well-known position on the right when it comes to the press stand, namely that we want to wind up. What is gratifying is that when, together with the Progress Party, we now hold up the pressure to remove the press support, it seems that the center parties are gradually beginning to come after – 15 million. kroner last year and 35 million. kr in year. If that rate continues, the press support has been removed during the period. Then it's fairer to say that the press support is something we're basically opposed to and want to wind up, instead of doing like the center parties, and traveling around at all Norwegian congresses where newspaper people are gathered, and saying that one is a member of the press support, and then cut it afterwards. I don't think that's particularly fair. Then it's much better to say it actually means, and stand for it, instead of taking some turns in the budget and then cutting off the press support. I have great respect for – and I also said that in my speech – that the Government and the Minister for Culture chose to cut off the press support and justified it because it was more important to protect cultural resources than to protect the media. I have great respect for that, and I hope that the centre parties will gradually come to the realization that the press support is not the one that keeps alive in the diversity of Norwegian newspapers that are also occupied with the Right. We have a number of local newspapers in this country that go very well, we have a number of regional viewers in this country that go very well, and we have a number of national newspapers, national newspapers that go very well. I'm sure with the emergence we also see of new media, for example. Internet newspapers that have a potential coverage across the country, as when all households, who get out of the country, etc., we will gradually get more and more questions about whether it is important to maintain a press support of over 200 million. kr from the public sector. Could the money have been used for anything else? Could the money have been used for something more reasonable?
ParlaMint-NO_1998-12-15-2.ana.ud360e349	The cord shift is over.
ParlaMint-NO_1998-12-15-2.ana.ud360e352	There is no doubt that cultural policy is the pillars of better quality of life, creativity, identity and well-being. When we are happy, we will also be able to spend more, for the benefit of everyone. Culture is developed both in individuals and between people in common. If part of us is very, very, very close to the ground, we need both roots and wings. Roots in their own culture provide a foundation for opening up to unwatery and forward-looking culture. Knowing their own culture also makes it easier to deal with influences where market, advertising and money interests are driving forces. We can only conclude that, through cultural activities, creativity and development are stimulated by the individual and otherwise in society. In addition, it provides a basis for good Community experiences that in turn trigger self-activity. At the same time, we have to stop and think about what values we want to build on, and what kind of communities we really want. There is also a link between the use of cultural services by people and the availability of cultural services. Therefore, it is so important that a cultural policy allows everyone to experience and participate in cultural activities, from sport to rock to opera, and theatre for that part. In the lack of cultural debate, which focuses on individual details, important areas can drown. I would therefore like to highlight the draft budget for strengthening the decentralised museum supply in the counties. These cultural institutions carry out important work in terms of disseminating local cultural history and caring for local cultural heritage. These museums have had the economic difficulty for many years. One increase of 9 pst. now will therefore be able to remedy this. I would also like to mention that a sum is now being set aside for the launch of a three-year project with sign language theatres for the deaf and the deaf. The Norwegian Federation of Deaf People and the deaf organisations have worked for many years to get their own theater, set up at the deaf’s premises. There is a cooperation project between, among others. The Riksteatret and the Norwegian Federation of Deaf Persons, which are to form the starting point for this. Such an action will open the culture of groups for which little has been done so far. It's nice that the government, in spite of an orphanage, can find room for such a measure. It is also important to look at libraries and public information as the basis for local cultural work. Here libraries must be developed to become a meeting place and an information centre by using new technologies, preventing people from being separated from those who can't. Elles looks forward to receiving a big message next year when it comes to libraries, archives and museums, among others. This will be recorded. Otherwise, I'm glad that Norway's Gållag and the Norwegian Association have now returned to their own budget post in order to make a basic institution for innovative cultural work visible. For over a hundred years, the team has been working for the government to allow the new Norwegian authors to use their own languages. In addition, it is positive that the Landssamansludninga For Nynorskkommunar – LNK – has made such a fine mark in order to improve the language and procedures in the municipalities with a course for the administration and the rule of law. This is a work that requires further follow-up. We can also benefit from culture in a broader context, and I am thinking of cooperation between culture, the environment and health. Human beings must be viewed in health and depend on a broad cultural and biological diversity in order to live. I believe that in order to avoid depression and diseases that follow in the footsteps of it, we need to focus on the forces that cultural deprivation gives. Nor is it without reason that the Swedish business guru Professor Kjell A. Nordström in his teaching of business stoppages asks them to put away the trade books and to go to the theater and read the literature to work better. Menneska has always shown that different forms of art such as music, theatre, art and literature have a healthful effect. We must also take this further into account in our work on the cultural front.
ParlaMint-NO_1998-12-15-2.ana.ud360e378	It's going to be line change.
ParlaMint-NO_1998-12-15-2.ana.ud360e381	I'm gonna have to plague the Center Party on this with the press support. I'm very shocked that the Center Party is being conducted by the Right Party and the Advance Party in terms of the press policy. We've just heard the right say the goal is that the press release should go away, but it looks like the strategy is that it should be bitwise taken. Then it's no wonder that Trond Helleland, in an earlier article, cheered that they were succeeding in the strategy. The Central Party has previously participated in defending the newspaper diversity, No. The 2 newspapers, the local newspapers and the national opinion papers that do not have many powerful owners in their back. And the only way to limit the power that the biggest newspapers have over the social debate and to set the agenda is that there are alternatives. I am asking the representative of Aarrestad to imagine an EU debate without newspapers such as the Nations and the Class Struggle. We have tried to refer to alternatives in terms of the cut in the press release. It's not fun to cut into other heart matters either, but priorities are sometimes painful. And it would have been possible for the Center Party to follow us in exactly that priority if they thought it was important to preserve the press support. Last year, the Central Party shared SV's concerns about the development of the prison libraries, and Unn Aarrestad is the case rapporteur for this particular field. Prisons that have been waiting for years must be provided with library services. Prison inmates borrow far more books than is usual in society. Providing such an opportunity to several prisoners is one of several measures that can give the soning a substance. When I was visiting Oslo County Prison this fall, I saw the importance of the prison library in prison everyday. We have a proposal for more resources for the prison library and for the multicultural library within the budget frame. When will the Centre Party comply with the promises they have made in the past in exactly these areas?
ParlaMint-NO_1998-12-15-2.ana.ud360e391	First, a little bit about the prison libraries. I think last year we're talking about exactly this, and we'll come back to this when we get the message that deals with library, archive and museum, in the year that comes. So to the debt of removing the press support bit by bit. It's certainly not the opinion of the Center Party, and I also believe that the representative Valle is fully aware of that. But since we were forced to cut down – not influenced by the Right and the Advance Party, but one place had to take the cut-off on the cultural budget – one did so to screen the rest. That's what I think I've also come up with quite clearly. Therefore, there is one who will look at the devices of this, so that there should be at least possible damage to the newspapers. We want to keep up the small locals and national newspapers and make sure that there is a variety of newspapers around the country. Then we need more than one newspaper, to put it correctly. Therefore, we ask the Government to bring down a public selection to look at all of this in the context. It has been known as VAT, government ads, postage and press support in the context. One also needs to look at some of the details in this, which are really complicated so that we can't deal with it directly in Stortinget, but we ask the ministry to come back with this. Then I think we'll be able to get something everyone can live with, which might also be positive.
ParlaMint-NO_1998-12-15-2.ana.ud360e398	The representative Aarrestad stresses that the cut in the newspaper support is not influenced by the Right and Advance Party, but is a separate centre party choice. We've noticed that with surprise, the rest of us too. So the representative Aarrestad said we have to protect the national newspapers and local newspapers. I have just one small question in that context: what is the reason why the representative Aarrestad wants to put down Rogaland's newspaper?
ParlaMint-NO_1998-12-15-2.ana.ud360e405	I've never expressed any desire to shut down Rogaland Avis, or any other number. Two papers for that part. I never said anything like that, so I don't know where Alstad's representative got it from. I know that the paper was presented as an example during the debate on the corresponding budget last year. I'm very concerned that we shouldn't be running political censorship, and so at least we shouldn't take away newspapers from special political parties. No. The two newspapers consist after a while of some rather independent newspapers and newspapers, among other things. in Northern Norway, which at least has our right-wing friends. But I've never said anything about Rogaland's newspaper or other newspapers that are or have been related to the A-press. I think it is positive that we have a varied press just to show the lack, and as a corrective where we have a single big newspaper that dominates completely. The big newspaper also enjoys the fact that there are several maybe small and oxygen terriers that bite sometimes, when needed. That's my vision.
ParlaMint-NO_1998-12-15-2.ana.ud360e410	The representative of Aarrestad was somewhat startled when I wondered why she would lay down Rogaland's newspaper, and claimed that she had never said that. - No, there's no need to speak. It will be the consequence of the policy recommended by Unn Aarrestad and the Central Party that national newspapers and local newspapers should be protected. Then there's only one group of newspapers left, that's the number. The two papers. There aren't so many of them left around the country. If they're 35 million. kr shall be taken there only, this will be the consequence of the policy of the Centre Party.
ParlaMint-NO_1998-12-15-2.ana.ud360e415	I think I had said quite clearly now in my previous post what I meant about this. When you cut down, first of all you look at the whole device that applies to the press release. It's e.g. Nor is there any doubt that the individual newspapers, such as the Financial Newspaper, had received 6-7 million. kr alone. We must be allowed to ask ourselves the question: Is this the right use of the press support? There may be other newspapers that, if they go over to Sunday newspapers, get $5 million. kr alone. May there be a proper use of the press support? There are such things you also have to look at, at the same time, looking at the number of single newspapers, whether it's the right number you have now, or whether it would be wiser to put on a different number of pages. At least I don't want to know that it's going to be insinuated that I want to put down the cork Rogaland newspaper or other number. 2 newspapers, because I see the importance of having several newspapers that can follow up and take care of what has to happen around the community. That's why we're trying as hard as we can, to take care of the newspaper problem that we have here in the country. But there may be areas that need to be re-examined – whether there is a proper use of public money.
ParlaMint-NO_1998-12-15-2.ana.ud360e422	The cord shift is over.
ParlaMint-NO_1998-12-15-2.ana.ud360e425	In all budgetary procedures, SV will fight some battles to secure the place of art and culture in society, to ensure a diversity of cultural voices around the country, to ensure innovation and innovation. In cultural life, there will always be dilemmas and contradictions, but it's giving room for the contradictions, for tension, that creative forces can unfold. There is, in contrast, between the professional culture and the amateur culture, between the established culture and the experimental, between institutional and free groups, between projects and operating aid, between metropolitan and rural culture, between the national and international development of art and culture. If the art is to live, the artists must also live. Therefore, it is so important for SV to ensure good grant schemes that can give newly established young artists the opportunity to establish, develop and secure the free position of art, and strengthen the guarantee income scheme that has proved to have a positive effect by allowing artists to live and live outside the big cities. Living artistic environments throughout the country are an important prerequisite for living settlements. But if artists are to be able to live and thus flourish their cultural life, artists must also be given tasks, whether they are through decorating schemes, through schemes that can ensure that Norwegian authors get their books published, through theatres and TV showing newly written Norwegian drama, through the fact that we have orchestras playing Norwegian contemporary music, by the fact that dancers also get tasks outside the two institutions we have, by the fact that Norwegian film gets a chance, and by the fact that there is room for communication, both in terms of resources and arenas. Close budgets and increasing demands for own resources and profitability may threaten diversity and hinder innovation. Then we believe in SV that it is timely to ask: does not culture deserve greater space than 0.7 pst. by the State budget? That is why, in our primary proposal, we have proposed an increase of 223 million in the cultural budget. kr more than the government proposal. Everyone – including the Minister of Culture – knows that this modest increase would bring creativity both in the professional and the more popular culture to flourish. The 1,300 applications for the thousand-year projects just testify to that. They make more visible than any need for more money for culture. Creative people, institutions and organisations had earned the cash support that increased cultural appropriations would be. Efforts at art and culture certainly do not lead to overheating of the Norwegian economy – to those who say it. Nor does it invest in those cultural buildings that are now waiting for a trip. They've got their place in our primary budget. This concerns the Youth Centre, the Rogaland Theatre, the Hålogaland Theatre, the National Scene – to name a few. So there's also something to enjoy in this budget. Norwegian stage art use is one measure. The fact that the majority have adhered to our view that strict target and result management is easily a coercion for cultural life is another. This note obliges the Government to go through the governance of cultural life and look at the form tyranny. To Trond Helleland, I would like to say that it is precisely this strict result management that leads to the form tyranny of cultural life. The collapse of the press support by the night settlement partners made it extra necessary for SV to refer to re-priorities within the frame, because we now see that the right side gets the government party with it on a gradual closure of the press support, which we see is absolutely vital for a newspaper diversity and a prerequisite for freedom of expression and for the visibility of local organisational and cultural life. We are very shocked at the government party and at the Minister of Culture. We have shown that it is possible to save the press shock on other cuts if it is to be cut. So cutting it is the responsibility of the night-time settlers. It's not with a light heart that I'm pointing at the funds that are set aside for the Millennium, but we think it's worse to go into the next millennium with closed newspapers. We propose other repriorities: more to Oslo Sinfonietta, to the prison library and the multicultural library, to the Youth Centre, to the Hordaland Theatre, which almost lives on buttons and gloss pictures, and to the BIT and Falstad Museum. All these are priorities within the cultural budget. Otherwise, the budgetary position is full of our views and remarks, which I recommend for further reading. On behalf of SV, I take up the suggestions set out in the setting.
ParlaMint-NO_1998-12-15-2.ana.ud360e448	Ågot Valle has taken up the suggestions she herself referred to. It's going to be line change.
ParlaMint-NO_1998-12-15-2.ana.ud360e453	Through these budgetary negotiations, the Progress Party has been called a rabiat and different because we cut the cultural budget. I am not going to use the same vocabulary to Ågot Valle and SV – it had to go in the other direction in the case. Finally, Ågot Valle starts on the list and more – if she had taken care of that whole list, it probably wouldn't have been an early evening for any of us. SV wants to spend more money on culture, 223 million. kr in this case, inter alia. Fifteen million. kr extra to millennia celebration, extra to Nordic Black Theater, 2 million. extra kr for the decoration of public buildings, etc. All of us would have preferred to have enough SV to have seen that we had used 2 or 3 pst. of the budget for culture. 223 million. kr is equal to, rapidly calculated, approx. 8 500 kindergartens a year. The party of progress is severely criticised for doing so. Is it not also now natural that SV should begin to see its priorities in a way related to all the budgets? Had it not been more natural that SV had initially granted this money, among other things. to more child protection, if that's what they want, to more nursery places, since they go so high on the track in that area?
ParlaMint-NO_1998-12-15-2.ana.ud360e462	Yes, it's perfectly understood that we want more for culture and art. And it's not like a million dollars increase in art and culture leads to overheating in the Norwegian economy. For those who justify cutting down on the fact that we now need to tighten up the Norwegian economy: go look at what economists now say, there are completely different reasons than public consumption that lead to problems for the Norwegian economy! Thus, some more funds do not lead to overheating of the Norwegian economy. On the other hand, it had enabled us to use creative forces, to give people better quality of life and good experiences in everyday life. If we had given culture more space, it wouldn't have been at least a good and effective buffer to commercial simplicity. But I assume that the Progress Party does not care so much about it. So Per Sandberg must have followed very poorly with earlier today, because within the framework of the Ministry of Children's and Family Affairs, we just showed that there was room for more funding for child protection and for kindergartens, for reducing parental payments, etc. That distribution/priority was different from that of the Progress Party, but we certainly see the context of what we do – therefore also more resources for culture.
ParlaMint-NO_1998-12-15-2.ana.ud360e469	The representative of Ågot Valle is a committed and initiative-rich cultural politician. When a person sits and listens to the representatives of the Party of Advancement and SV in a row, one in a way experiences two straight contradictions. That's where the Progress Party cuts, plus the SV on. I have in front of me SV's list of additions – one and a half sides for all kinds of good purposes across the country, together approx. 280 million. kr extra, if I am not mistaken, for cultural purposes. Who wouldn't want to spend so much money on culture? And when you hear Ågot Valle describe what culture can accomplish, a whole thing gets touched. But the reality isn't even that we can spend so much money. I would like to ask the representative Valle if it is a wise strategy of SV to waving as much SV kroner as one does not get anything for. The suggestions create many expectations around, but nothing comes out of them. And if they had now been adopted in a given case, we know that it would have to be continued at a much higher level in next year's budget. And at least that would in the long run lead to an unfortunate situation for the Norwegian economy. My question is, without me getting too involved in SV's political strategy: wouldn't it be wise if SV operated a little more on the same wavelength as the rest of us?
ParlaMint-NO_1998-12-15-2.ana.ud360e477	I would first like to say thank you for your words. So it's asking what kind of wavelength we're going to operate on. I've made it quite clear both that we see the need and that there is room for more cultural crowns. And if there's something that we get a lot out of, it's just the cultural heads. Just by the thought that money can go out for some thousand-year projects, creativity flourishes all over the country – they think that if we just get $100,000, we're going to take a roof and make a lot of effort, and that's exactly what cultural life is. So we mean there's room for more interest in culture. It will give us a richer Norway, which will enable us to meet future and all the challenges that lie there. And then it's like we're actually putting funds into culture over funds into weapons. The majority would in the agreement have 450 million more weapons, and I'm pretty sure that Ola T. Borrowing and Christian People's Party really believe that it would be much more right to bet on culture and all that we're burning for together. I'm sure of that.
ParlaMint-NO_1998-12-15-2.ana.ud360e486	Several have not asked for the word for a line.
ParlaMint-NO_1998-12-15-2.ana.ud360e489	It was kind of fun for someone who's been sitting on the cultural committee for over a year, to hear the last line change, when you think that it's not that many years since the Senter party was also out there and suggested 200 million more to culture than the government had originally planned, so here it goes in waves how much you want to add. The cultural budget that came in October was basically not fit to surprise so much. Here everything was largely carried on as it was, and there were no new ideas about the further development of culture. Culture in the districts, in which the Workers' Party has been involved, was given little attention. And the signal projects that we started, which would contribute to different exciting bets across the country, were cut, offers for children and young people were toned down – a rather boring and conservative cultural budget. So the center took 10 million before the agreement took another 35 million in cuts. Now no one had called for cutbacks in support of the newspapers, it was the Minister of Culture himself who chose it. It could have been cut elsewhere, for example. within the 148 million increase in the budget. When the Minister of Culture says that the alternative was to shut down two theatres, it doesn't call for sympathy. On the contrary, there is an attempt to make its own policies poor. If the Minister of Culture had reduced the increase to 113 million, there would be no dramatic consequences. By contrast, this year's cut will mean that newspapers are laid down, and from experience we know that nothing is as dead as a dead newspaper. The press has played an important role as one of the building blocks of our democracy, and we have been proud that we have managed to maintain a diverse and differentiated press pattern. Whenever changes are made to the minimum subsidy scheme, the production grant, there may be consequences for the long-term pressure pattern. The VAT exemption, the ads and the press support have benefited from various newspapers. In the long term, when one aid is severely affected, the legitimacy of the other schemes will also be weakened. But I expect the minister to have a full overview of the significance even a small cut in the press support could have. And there's no need to minimize the significance of that. It has also been realised by the newspaper organisations, and they have now recommended that the cut be evenly distributed to all. The Minister of Culture has been out there with the signals to protect the newspapers that stand her almost politically, leaving to the other newspapers to take the whole cut. In this way, one can help further exacerbate the effects of today’s cut. It is very serious in a democracy if we get a political system that ‘rewards’ our own newspapers, and kisses others. If questions can be asked about this, the legitimacy of the entire press support will disappear, and with it the support will also disappear. It is serious if we get a Minister of Culture who can be compared to more totalitarian systems, where politicians decide which newspapers to publish. Such a minister of culture has not deserved Norwegian democracy. It's been wondering why the Minister of Culture cut and who she was listening to. Now everyone is free to choose their advisers, so I find that in a letter to the committee she takes full responsibility for the assessment that has been made. But when the head of the Central Party jumps the honors of the major interests, it is also natural that questions are asked about the process, at least when it happens in the enclosed spaces, without the possibility of transparency and debate. And it's not going to stick under the chair that big market actors like that. Orcs in the short term serve the grip of the state councils. And by letting some newspapers take everything cut and shield others, Orkla and other major participating interests will serve further. Since the Council of State has not yet been available for comments on this budget cut, I will now take the opportunity to ask why the Council of State cuts in the press support, how the cut will happen, and what newspapers will die. Because I expect the Council of State to be aware of how her policy will turn out. So finally, in a line change, the Committee's chairman tried to minimize the importance of the cut in the press support earlier today. It tells me one thing: here's little knowledge about the situation of the papers and how well the press support hits. It makes me even more concerned, if possible, than if you were with knowledge and will and declared goal cutters in the press support.
ParlaMint-NO_1998-12-15-2.ana.ud360e510	As Minister of Culture, I am concerned with the conditions of art and culture in our country. A cultural nation must be willing to give priority to both creative and performing arts, cultural protection and heritage and dissemination. As a cultural nation, we both have to set high quality requirements across a broad spectrum and stimulate public engagement, community and participation. We must ensure both peak, breadth and diversity. It provides the basis for a richer life, it helps to give the growing generation strength to meet the future, to take responsibility and be creative in the face of new challenges. Artists and cultural workers need to think a lot about their efforts. And there's also a lot of exciting and creative going on across the whole country. Nevertheless, it is my opinion that over the years we have not prioritised art and culture highly enough. It could be related to a lot of relationships. There is no law here to ensure appropriations, tight economy has led to small and vulnerable cultural budgets having little to do with school, health and roads. And what are we really going to do with opera for the few and with failed film projects, maybe someone asks. Is that how it is, or do we finally see an increasing understanding of the importance of art and culture for our society? I think so. The government's proposals for the 1999 government budget were tight. During the autumn, it became clear that the Workers' Party and the Right agreed to take from the growth of private consumption for the benefit of the community. This led, as you know, to a process in which the Government's proposals for increased revenues were zeroed out and replaced by new cuts. It was a painful process, of course. I have registered that the Workers' Party in its arrangement did not cut the cultural budget. Looking away from the press stand, which the Right would completely remove, was also the Right more detention with cuts in the cultural budget now than before. There is therefore a large majority on the Stortinget that will protect the cultural area against cuts. The wish to protect one partially vulnerable and underprioritized cultural life against cuts was also the reason why I found myself able to take a cut of 35 million. kr on the production grant for the press support. There have been strong reactions, and I have a great deal of understanding of that. Let me therefore point out that in the government's arrangement there was an increase in the production grant of 6.4 million. kr, and I would also like to stress the press policy objectives of maintaining the basis for newspaper publications and a differentiated press. This is firm. It is therefore necessary to review the legislation in order to achieve its objectives. And as for the suggestion of totalitarian regimes, it falls on its own unreasonableness. We're in front of a thousand-year change. It's coming anyway. The government has stressed the need to seize this unique opportunity for a cultural boost for the whole country. I'm glad that, in addition to the ordinary cultural budget, a majority of 55 million has been established. for this purpose in 1999. The work on the marking has triggered a joyful activity all over the country, and I would like to elaborate on this, among other things. by pointing out that 1 200 applications for project funding have now been received. Creativity and diversity are impressive. And although SV and the Workers' Party have decided to cut 45 million. kr in this post this year, I choose to believe that we will work together in the future for a collective and worthy marking of this historic event. Let me do a couple of points in the configuration. With regard to the comments made by the majority of committees on rock, I expect that part of it is based on misunderstandings. And I'm waiting for comments, among other things. from the representative of Alstad to it in the course of the debate, because what the majority has done will have untold consequences. With regard to the question of the Rikspolitische Zenter on Eidsvoll, which I was told about by the representative Grethe Fossum, it is true that there were problems with the basic conditions. I chose to attend a meeting with the municipality, the county council, the centre and State Building, and we have got this matter into a good water, and come back to Stortinget with it during the spring. With regard to the sport on the state budget, it is that there are gambling revenues that form the basis for funding sport and coordination of the games, which was agreed at Odelstinget yesterday, will mean that there is actually an increase in gambling revenue. An annual debate on sport I think it is important to add up, and that is why it will be based on the annual budgets, even though there are not a few million in the state budget in a separate budget line that you have had in the past. I would also like to point out that we want to provide a notice in 1999 on sport and the money for sport. I would say that it was right to put this up wide and focus on both physical birth, on the local outdoor life and on the ratio of top to width.
ParlaMint-NO_1998-12-15-2.ana.ud360e529	It's going to be line change.
ParlaMint-NO_1998-12-15-2.ana.ud360e532	The Minister of Culture chose to cut off the press support. In the cultural sector it could have been cut in the increase that had been introduced. However, if one calculates all the transfers, there was an increase of 48 million. kr. Why don't you cut here? It may be interesting for us to know whether the Government supports the proposal for an investigation that is on the table as a joint proposal by the Progress Party, the Christian People's Party, the Right and the Centre – a proposal that was promoted today and where the only difference in relation to the Labour Party's proposal is that it is not explicitly stated that the press policy objectives remain valid, as the Labour Party wants them to do also in the context of a new investigation of the press support. Why is a proposal promoted where this is not one of the starting points? So I'm going to give the Council of State the chance to answer my challenge in my post: Why is it cut in the press support, how should it be cut in the press support, and what newspapers have to take the consequences of it and go in?
ParlaMint-NO_1998-12-15-2.ana.ud360e541	I am glad that I got this line, because then I can elaborate on what Alstad also took up in his post. Let me first say that I made it clear that the policy objectives of the press are firm. I therefore expect that it will be almost unanimous to get a public investigation into all aspects of the relationship for the press, both the press support schemes, the VAT exemption, the advertisements and developments on the postage side. So the question is, why are we cutting in press support? I don't like it, I'd like to admit it. I increased the production grant by 6.4 million. kr, but saw me not able to take this anywhere else, when the cut was a reality, than here. And no one can say that there is a small speaking group I have challenged to take this cut. So here it's 35 million. kr. I want to say that it can be distributed so that I think we can save what is the goal of the press support schemes. Of course, I distance myself from the assumption from Right Greece that this should be the beginning to the end of the press support system. There is no majority for that in this Chamber – on the contrary. So there's a question of how we're going to cut, and this time I have fortunately avoided a majority who have imposed the form of how this is to be done. But it is not easy to explain how to do such a cut. It's a big cut, it's problematic, and it'll be noticed by all the newspapers that get press support. But I will come back with that, at the end of January I expect. Press support is based on accounting figures from the previous year, so it is impossible for some to figure out how this will turn out at the present time.
ParlaMint-NO_1998-12-15-2.ana.ud360e550	The challenge actually went to Alstad in terms of Total Norwegian Rock. The Progress Party, together with the Workers' Party and SV, has provided a majority of comments here. I have received today a letter from the Norwegian Music Council, which makes it clear that there may be a danger in the majority proposal. It's probably because of some ignorance and you haven't got into the intentions with the comments. For the Progress Party, there is at least a clear direction in some of the wishes we have with cultural policy. It must never be, or continue, as it is in the case of the Rikskonserten, that it is in a way up to representatives of the popular singers to decide how to use the instruments of popular singers, to promote culture that others have determined to contain more quality or more high-quality music than popular singers. That's what's going on. Back to what the Council of State was about when it came to the press. I asked the former representative Lånke about the same thing, and now I hear that the Council of State is very concerned about clarifying that the objectives of the press policy should be saved. Now the government parties, the Advance Party and the Right have agreed on a unified proposal that has a different content. Is it still very important for the Council of State and the Government to pursue the press policy objectives that I consider to be political media governance?
