ParlaMint-NO_1998-12-07-2.ana.ud94e44	The called alternate of the Mora and Romesdal counties, Eli Sollied Överaas, has taken the seat.
ParlaMint-NO_1998-12-07-2.ana.ud94e178	Governments mentioned environmental interventions in a number of areas other than the Ministry of Environment budget, including: Ministry of Transport and the Ministry of Oil and Energy. Of course, I fully agree that important environmental decisions are being taken in the budgets of other departments. The more alarming it is that the Council of State does not mention in a single word perhaps the most dramatic environmental decision we are about to make in this budgetary process, namely the very dramatic cuts in nuclear safety and improved environment efforts in North-West Russia. Nuclear pollution in Kola is not one of the many environmental problems we face, it is perhaps the most acute, the most serious and the most pressing environmental problem we face, and so there is a massive decline that the Environment Council should have dealt with when she chose to mention the efforts of other departments. Initially, the Government tried to justify the cut – from well over 400 million. Last year for proposals of 100 million. kr this year – because it was difficult to spend the money. That in itself is a problem for the Government. And then you're going to halve the proposal by 100 million. NOK 50 million. kr, the Minister of Foreign Affairs acknowledges in a letter to the Grand Duchy of Great Britain of 1 December that there will be a loss of activity, that more applications will have to be refused, and that more projects in progress will be reduced. It means less effort for a cleaner environment in Kola and North-West Russia, and then my question is: how can an Environmental Council defend our stepping down that effort? I would also like to say that we understand that the number of issues the Minister for the Environment promotes is not the only objective of whether an active environmental policy is pursued, but what we criticise the Government for is that even they informed matters, such as: the promised report on the state of the state of the state of the state of the state, did not make it possible for the Government to come forward, and then there is a point that it is quite thin with other matters as well.
ParlaMint-NO_1998-12-07-2.ana.ud94e185	Let me first admit that even if this council speaks very quickly, it should be done to get into all matters in five minutes. However, I fully agree that the situation in Russia, which is mainly served by the Ministry of Foreign Affairs budget, is very important. Unfortunately, we have seen in recent years that it has been difficult to spend money in Russia because, among other things, the agreements. on customs and other types of administration have not been in place, so that we have been able to implement measures. This has led to a number of times we have had to transfer appropriations from one year to another. What the government has now proposed is that we have a commitment authority to continue planning in 1999 of 200 million. kr, which may be disbursed in the year 2000. I also want to stress that in terms of my own department, there are still 270 million. kr in the undertaking authorisation to Nikel and will be paid if it is possible to put in place a contract agency to enable this. With regard to the report on the government's environmental profile and the state of the state of the state, it was my clear ambition to get it to the budget this year, but it turned out when we started working on this, that it became difficult when we had such high ambitions. We want this document to be far more thorough than what the Government has so far achieved through the Green Paper and the budget description. And as I hadn't gone out any stronger than saying that I was “seeing” from the Storting Speaker's Chair, we chose to inform the Storting about this in the budget proposition. It is possible that we should have done it another way, but I think we have ours relatively dry. Then I also want to say that there are a number of things the government has done, although the Stortinget has not received more than one message from us. I mention the crossroads of Upper Otta, the crossroads of Lofast, the proposition on green taxes, national air quality targets, no to pucks in the Jondalen and the Stavanger soil protection case – the key to showing that this Government is taking environmental protection seriously.
ParlaMint-NO_1998-12-07-2.ana.ud94e196	I'm not going to get involved in the dispute between the Workers' Party and the Centre parties about who is the biggest environmental sink, Thorbjørn Berntsen or Guro Fjellanger, but it's striking that when the Council of State and others in the Centre parties are going to prove that this is an environmental government, it's almost consistently shown to be proposals promoted by departments other than the Ministry of Environmental Protection. It is clear that the transition from opposition to position has also been a transition from vision to environmental policy administration. I think it is particularly disappointing that there appears to be a further red tape of environmental policy. The Council of State was largely concerned with the so-called node structure linked to Local Agenda 21. Local Agenda 21 should be a local and voluntary work, where the voluntary organisations, the well-being, the community enthusiasts, the business community and the municipality are in the picture. The Council of State says that this structure, which is linked to the Communes' Central Association, does not go at the expense of the voluntary organisations, but that is exactly what it does. When the Government proposes to grant $18 million kr., and most of the million will go to more bureaucrats, it is a red tape of environmental policy. And we have enough bureaucrats – in the municipalities, in the counties, related to the county environmental protection department and the large flora of state environmental protection networks. Now the Stortinget has put its foot down, and I ask the Council of State to confirm that the nine planned hub stations to be set up in 1999 are being scrapped, and that the money is used instead for voluntary organisations, as the Stortinget has said.
ParlaMint-NO_1998-12-07-2.ana.ud94e203	I don't want to repeat myself, but of the things I mentioned instead of taking an offensive environmental position, there are up to several that are under my department. Let me mention five of them very briefly. Firstly, we have been given speed on the agreement with Norwegian Forest in the case of blackout plants, so a recycled paper factory is being built in Norway. Secondly, we have an agreement that regulates the dumping of platforms. This is because this government was prepared to change the starting point – compared to the fact that we used to go against a general ban, now we have a ban, but with exceptions. My department is also responsible for the new national air quality objectives. It's my department that's in charge of the puck shop in Jondal. And as Stortinget is well known, it is also my department that is responsible for the soil protection business in Stavanger. With regard to the other two questions raised by the representative Sanner – I think I said that in my post, but I would like to repeat it – we have clearly understood the Stortinget's wish that we should only continue the regional nodes that have been agreed upon, and of course we should follow that up. I would like to stress that once we have chosen this organization, it is because we believe that close cooperation between the county, county and KS is important, and that is also what we have offered these actors. KS is important because it is quite right to anchor such a process into the usual planning processes in the municipality in order not to get a process entirely on the side of the leaders that are otherwise put on what is happening. I think we have a common desire not to build too big an administration, but when, among other things, we do. had proposed 5 million. NOK over the Riksantikvaren budget to the county council, it is because the county council has been charged with new tasks, and then I think it would be natural to follow up these demands on new tasks with money. But of course, we should follow up the Storting's wish at this point.
ParlaMint-NO_1998-12-07-2.ana.ud94e218	As I said earlier today, the criticism that the Labour Party has today in the media against the Ministry of the Environment and the Minister of Environmental Protection is hot. But I also mean that it frames the party that speaks, because they're actually worse in this area than the government and the partners, they've cut bigger. As a tip to the Labour Party, I can suggest that they do as SV and make own proposals that the Minister for the Environment must follow up after decisions in Stortinget. We can only see, because it's a little passive itself, that the Committee sympathizes with raising offensive environmental issues. A tight and, in the opinion of SV, a little ambitious environmental budget was provided by the Minister for the Environment. Resources for cultural memory protection, environmental research, information work, biodeficiency, liming, PCB remediation, efforts in the north were weak, etc. Overall, there was a low environmental budget that was presented to the Stortinget. And when it was initially scarce and it looked after negotiations was cut by 20 million. kr, it corresponds badly to what is stated in the Adultås Declaration. My first question to the Minister for the Environment is whether this will enable one to implement any of the statements in the Adultås Declaration in this field – not in the field of energy. Question no. 2 applies to climate. We are able to return to this in an interpellation debate on 12 January. It was said by the Environment Minister that one had a target of a 50 pst reduction. domestic. Can the Minister for the Environment confirm this number?
ParlaMint-NO_1998-12-07-2.ana.ud94e229	I understand that it is easier to spend more money both on the Ministry of the Environment's budget and on the Ministry of Oil and Energy's budget when SV in its alternative approach chooses to halve the contraction. It is clear that then there will be more money for distribution. However, I must allow myself to ask the wiseness of such a proposal – not least because the ambition to reduce interest rates, which is very much at the root of the constraints we have proposed, is important at all levels of administration, both at municipal, county and central level, and will also be important in relation to how much resources are available for environmental action. When, in comparison with the Advance Party and the Right, it's cut 20 million. In the Ministry of the Environment's original draft budget, this is something I do not have problems living with – at least not when I know that in the layout of the Workers' Party originally presented, the cut was almost twice as large. And it's also like, whether SV likes it or not, that a prerequisite for a draft budget to become a budget is that it can have a majority in the Stortinget, and that's something a government has to deal with. I believe that we have a good basis for saying that we are doing well to follow up the Waxenås declaration, also within my area. You'll see that if you look at the reviews we provide at regular intervals, the last time we'd been sitting for a year. I'm not in doubt that we're going to get into good shape with this in the four years we have at our disposal. As regards the climate debate, we will have time to take it thoroughly and really on 12 January. What I allowed myself to refer to in my post in Buenos Aires were the proposals that the Government made to the Storting, which would cover half of the gap between our commitments and the reference path, and to which the Storting essentially joined. That point Stortinget didn't join, you chose to replace it with another one that you thought would cover up as much. The size also agreed that action should be brought back both nationally and internationally.
ParlaMint-NO_1998-12-07-2.ana.ud94e240	State Council Fields ask questions about the wisdom of SV's additions to the Ministry of the Environment's budget. Then I would like to remind the Council of State that it is not long – just two budgets – since her comrades in the government were also on these bidding rounds. I think it's right to remind you that there are only two budgets since the Central Party proposed adding half a billion more to the Ministry of the Environment's budget than Thorbjørn Berntsen provided. And there are only two budget rounds since the Christian People's Party proposed to add 350 billion kroner to what Berntsen proposed in its budget. There is also a point that today you can read out of the budget proposed by the Government, that there is almost a blueprint of the budget that Thorbjørn Berntsen presented at the time. It is that the Centre has put the list high in relation to what we can expect of them in environmental policy and in terms of alternative energy. What is quite clear is that I can very clearly document the claim that they have failed their environmental objectives by pursuing such an environmental policy as they do. In the Adult Declaration, they thus put up an environmental policy reverse operation, and the Minister for the Environment's colleague Anne Enger Lahnstein expressed himself so strongly as to say that they would have a fundamentally different environmental idea. I would then like to ask the Council of State this question: does she think that the environmental policy she is now facing is a fundamentally different environmental idea, and that the lack of new initiatives by the Ministry of the Environment – initiatives that go hand in hand with her absence – is part of the fundamentally new environmental thinking? And does she look at the result, which, after a year of central government, is a solid growth in consumption and an increase in electricity consumption by 5 TWh, as a fundamental change in environmental policy?
ParlaMint-NO_1998-12-07-2.ana.ud94e247	My starting point for asking questions about the wisdom of the SV's proposal was that they finance it by halving the budget's tightening-up – and here I think I was quite clear in my previous answer. I don't know about the comparison with the situation two years ago, not least because you didn't add up to a tightening of NOK 8 billion. I'm a little confused about what the Workers' Party really thinks about the Government at the moment, when two of the most central ones in the Energy and Environment Committee say that the Government's policy is a hard stop and a blue copy of the Workers' Party. I don't know how to interpret it, but I think it might be important to mention some features of this budget that are different from those of the Labour Party budgets earlier: there has never been any proposal for such money for liming as this Government has done, we have increased the appropriations in the case of predatory game – not least for stock registration – we have increased the effort in the area of environmental taxes and clean-up measures, we have increased the effort on energy savings, and we have followed up the proposal on green taxes. I think this must be a good step in the right direction in a decade. Like other speakers from the centre team who have been up on the pulpit today, I am a little surprised at the criticism raised against the Government regarding the increase in electricity consumption. One of the main reasons why the government proposed to increase the electricity charge was that we know that even with the increase we proposed, the price of electricity in Norway would not have gone higher than it was in 1996. But even this means of working was not the Workers' Party willing to join. It could be an important tool to do something about the electricity consumption we have in Norway today.
ParlaMint-NO_1998-12-07-2.ana.ud94e256	There can be no doubt that the Left Party and the Center Party – the centre party at all – two years ago had a completely different environmental profile from what they currently have in position. There's something else you don't have to tell this room -- everyone who's here knows they had it. At that time, the centre-left and centre parties were special – more in line with SV, and they had offensive environmental policies. Initially, the Adultås declaration was also positive when thinking about the environment. But then it's the practical policy, that's what we're talking about. What happens when a person comes to position? Well, then the environmental policy disappears, then the environmental effort is no longer here. So one can say that SV doesn't tighten that much. SV is streaming into where one should stream, especially in relation to those who have enough money – stock speculators and other people who really need a tightening. There's an SV streaming in. It was also part of the central section profile when they were in opposition. So this being in position seems to be annoying. Then, as a matter of fact, the whole political base that one had before disappeared. So to a very concrete matter – a matter that I have challenged the Council of State several times in Question Time, but that the Council of State has forwarded to the Minister of Fisheries. It is biological contamination associated with salmon farming. Now one in Hordaland had 60,000 salmon – 300,000 to 400,000 kg – that escaped from the meridians, and it goes beyond the wild axis by spreading lice to the wild. This lacks knowledge; there is a great deal of pollution associated with farming facilities in general. What will the State Council do with this? SV believes one should research it and have suggestions on it. What did the Council of State think of that?
ParlaMint-NO_1998-12-07-2.ana.ud94e267	I think I might repeat myself and say that what was important to me was that SV increased, among other things. The environmental budget by halving the contraction – which is 8 billion kroner. And that tightening we think is important because a high interest rate is one of the most unsocial we can have, and some of it is the worst in terms of distribution policy, which is another area I know SV is concerned about. Then the Left is taken to income for having been in line with SV in previous budgetary periods. There's one thing I know, and that's that the party I belong to has always provided budgets that have been balanced, and have always had at least as much tightening as the government has proposed. It was a principle that the Left even lived after the time it was not on the Stortinget. So if you try to take the left's environmental exposure – whether it's in position or opposition – to income because we've previously driven overbidder policy, I'm going to strongly distance myself from it. So over to the salmon: On the way down from the pulpit, the representative of Langeland whispered to me: «The salmonfish, you know». I have to admit that after being around and looking at some of this, I have among other things. learned that what you need to become a good salmonid is patience, patience, patience and orange fly. And I tend to say that I don't have any of the parts. But I still have a lot of interest in the field, because I think it's important. In addition to spreading lice problems, there is of course a problem with genetic contamination, which unfortunately may be so important. What is happening now is that the reduced salmon sample is presenting its setting in the new year. There is a setting I am happy to get, and of course I will follow up. To the representative's question as to whether it's arduous to sit in the position, I'll say, No, it's really quite polite, and it's recommended.
ParlaMint-NO_1998-12-07-2.ana.ud94e281	So the chord change is over.
ParlaMint-NO_1998-12-07-2.ana.ud94e284	At the outset, I just want to comment on something that emerged in the line change between the Council of State of Flanders and Jens Stoltenberg, where the Council of State of Flanders in a way pushes under the carpet the consequences of the cuts on the allocations to Eastern Europe. It was claimed in the reply that it can continue as before, because of the possibilities of transfers from the previous year. But it's not like that. In a letter from the Minister for Foreign Affairs, it is said: ‘However, in the case of 1999 in isolation, the project activity is clearly negatively affected by the reduction of the allocation to such a low level as is now proposed. In addition to the need to reject a number of project applications, other projects will reduce their support. ‘... It's clear that the greatest environmental threat that we have on Kola, with the lack of proper storage of nuclear waste, and the dangerous threats we also have, does not take this government seriously and inwardly. And that's just sad to admit. The environmental budget of the year is the first budget prepared by the central government from the beginning. Throughout the 1990s, the centre parties have expressed deep dissatisfaction at the lack of environmental efforts by the workers' party governments and have created high expectations for their own efforts. Until the change of government, the central parties claimed that they had a fundamentally different environmental policy. The head of the centre party even sent out a press release in July 1997, promising that a central government would become an environmental government that said no to continued strong growth in consumption, yes to a stronger commitment to climate action, yes to a major shift to green taxes and yes to a stronger commitment to public transport. In all these areas, the Government has failed its ambitious objectives: Resistance to continued strong growth in consumption has turned to a detachment of consumption and historical growth in electricity consumption. The criticism of the Labour Party's climate policy has turned to an overall resolution on the Labour Party's climate strategy both in Kyoto and in Buenos Aires. The conversion to green taxes has become a marginal adjustment. The effort on public transport has been cut off from railway investment and cut from public transport. At least the fundamental change in environmental thinking is not found in this environmental budget. This budget is essentially a blueprint of the latest budgets presented by Thorbjørn Berntsen as the Minister for the Environment, budgets for which Thorbjørn Berntsen received a number of criticisms from the central parties. With the center parts, there was no environmental revolution, but an environmental pause. One who had expected many new environmental initiatives with a central government has unfortunately been disappointed. The central government and the Environment Minister Guro Fjellanger have also noted the lack of environmental initiatives. Apart from the Kyoto message, there has not been a single political initiative from the Government. The paradox is that the opposition in Stortinget is taking the initiative. On two occasions, the Stortinget has instructed the Government and the Minister for the Environment to find new environmental policy solutions. In our charge, the Government issued a new paper on waste policy. Sickness with figures from the Statistical Central Bureau shows that we are recycling more and more waste for every year, does little when each citizen produces ever more garbage. We need new instruments and measures that reduce the amount of waste itself and oblige producers to reduce the use of packaging. We need a new waste policy. In the setting we are dealing with today, we are instructing the Government to present a new news report on outdoor life. In recent years, the potential for outdoor activity has been significantly weakened by the reduction of attractive natural areas in both size and quality. At the same time, they have become more difficult to access. More and more Norwegians live in cities and densely populated areas and do not have daily access to forests and land. The working party believes that it is an objective that everyone should have the opportunity to participate in the experiences and enjoy nature. If we are to meet this objective, we need to develop new instruments in the field of open air policy. The Communication on the State of the State of the State was announced to be the jewel of the central government's environmental policy. Since the budget debate last autumn, we have repeatedly been promised a report on the government's environmental profile and state of affairs. In the March 18 question mark, the Council of State promised that it would come to the harvest. In a press release on 23 April, she further raised her expectations with the following opinion: ‘In addition, the cross-sectoral environmental protection policy will become more offensive in the introduction of sectoral environmental action plans and a national performance monitoring system, i.e. regular reporting on the state of the Kingdom’. Now this report is postponed – perhaps to next year's budget? Where did the central party's promises go? From changing environmental policy fundamentally, they have fundamentally changed their own policies.
