ParlaMint-NO_1998-12-17.ana.ud456e36	The representative Anneliese Dørum, who has been licensed, has again taken the seat.
ParlaMint-NO_1998-12-17.ana.ud456e161	This was not part of the fish argument, i.e. the fish argument that the fish spokesperson had in mind, I would like a little bit more depth. The very starting point for an agreement to be negotiated is that of Norwegian fish exports. That's what Jagland said, and that's what the Bondevik government says, even though the current government party said something completely different in the opposition. Then we thought in SV that this argument would be properly distributed in the landfill proposal and in the hearings. But that hasn't happened. There is therefore no evidence of the need for this agreement. On the contrary, the EU would find itself in a conflict with the EEA Agreement as well as with the WTO agreement on Norwegian fishing exports, which was discriminated against in border controls. So I simply have to ask the case spokesperson whether there is really a need for this agreement, or whether there are other needs that the majority of people have in this matter. The second question: the objective of the EEA Agreement is to increase trade both ways, and it is clear that we have a large trade in salmon, on which Gabrielsen was involved, but not a particularly large trade with the EU. Anne-Lise Bakken says today to some newspapers that it is hesitated by the Labour Party if they think that there will be no more trade. And when the case spokesperson is aware that there is more salmonella and other food-borne diseases in the EU – can the spokesman for this case, who says that control will now be better, promise the Norwegian people that there will be no more food-borne diseases in Norway?
ParlaMint-NO_1998-12-17.ana.ud456e168	First, until the Consumer Council’s head said in open consultation – and I did not have time to reply to the representative Jakobsen – that this was ‘gambling’. I then told her that I thought this was strange – it was specifically about border control – because the Consumer Council meeting in August went through this and said that in order to accept, recognise or understand this agreement, they and those things had to be in place. All that's in place, so we've met the things that were there. It is claimed that the only reason why this agreement was negotiated is because of our fishing exports. Now it is very important, but it is so that when Annex I came into force in July 1994, there was a provision in it that these conditions should be negotiated during 1995. And on this issue of fish exports, and that the EU cannot discriminate against us, it is not discrimination that Norway is in the same situation as other third countries. That's the situation. We have exceptions to this right now because we are working on this agreement, and if we adopt it, we will not be a third country. If we do not adopt it, we are a third country and naturally have the same type of control over our exports as other third countries. So to the question of whether I can guarantee that there won't be any more foodborne diseases. What I can say is that this system, as far as I can understand, as far as our professional authorities can understand, is a better system than what we have today. And then I would think that this will also eventually lead to better food quality, not only in Norway, but throughout Europe.
ParlaMint-NO_1998-12-17.ana.ud456e177	The cord shift is over.
ParlaMint-NO_1998-12-17.ana.ud456e181	This is a matter of free trade, which is a very important principle for the Progress Party. It involves an international division of labour serving the consumer as a whole. It also involves the most rational and best use of resources, including internationally. It's also a fair arrangement, for those who produce the best and cheapest goods, get the reward that they get to sell them. It is also very important that trade does not depend on administrative decisions, which often invite corruption. It is also important for poor countries to have the opportunity to compete in areas that best match their production assumptions, which are cheap labour. Free trade also contributes to the failure of the major powers to use their political weight to squeeze through special advantages. Free trade guarantees against it. That is why free trade is an essential principle for the Progress Party. We are fully aware that there are reasons that can be stated against free trade, I mention only the quick sale of weapons, the protection of human and animal health, preparedness, employment, rural policy considerations, environmental protection and consumer protection. In the case of the veterinary agreement, health policy considerations are invoked to restrict free trade. Since, as I said, free trade is an important principle for the Progress Party, the Progress Party requires clear evidence, or at least a strong likelihood that significant health interests will be at stake if we extend free trade. It is now that so-called technical barriers to trade are often invoked — and often in vain — to limit free trade. Often, these technical barriers to trade are a shield of entirely different interests, namely to protect their own business. I could mention a curative example: the Belgians had a rule that margarine could only be sold in square cubes. As a result, other countries could not export margarine to Belgium. Belgium therefore stated that consumer considerations – in order for consumers to see the difference between butter and margarine – were necessary. It is a rather unfamiliar example of how consumer concerns can be expressed, in order to protect their own business. Today, the interests that are opposed to this agreement are essentially those that are rooted in agriculture and those that are very strongly opposed to the EU. Then one suspects that there may also be other arguments and interests behind the opposition to the agreement. It has also been found to be a pretty good rootstock of the population's conservatism in things like food, fear of the unknown, the stranger, and also some Norwegian self-satisfaction. It was not long ago, for example. suggested almost a disaster on the medical market if it ended on the Norwegian Medical Pot. We have a number of examples that Norwegian monopolies and schemes can in a way be equated with 17 May and the Constitution. I would like to point out an interesting contrast with the Norwegian people's attitude towards mass tourism. Now consider how large parts of the Norwegian people go to the South every year, where there is a much lower level of nutrition control than the EU, and many of the Norwegians go to the EU and eat the lust of the heart without any worries. You don't fear eating there. But if the food comes up here, you're afraid! A better sign of irrational attitudes in the depths of the people can hardly be imagined. I would believe that the parliamentary leader of the Central Party must now eventually also warn against this mass tourism, because there you eat food that has not been subject to the additional control that imported food under the agreement is to be subject to here in Norway. So it has to be even more risky to eat the food where it is made than to eat it here. I said as a starting point that we are strong followers of free trade. We want to place great emphasis on the fact that our professional authorities have accepted this. Personally, I'm not an expert on this question, and that's what the few are. In such situations, of course, there is reference to trusting the professional authorities. And not enough, almost even more important is that we have two central government councils who have accepted this agreement. It must be a bit of a guarantee – also that the entire agreement has a Christian People's Party in its back, which until those degrees are concerned with what we drink, and also with what we eat. When you add all of this together, I think it's a picture of security that shouldn't be disturbed by the fact that someone scares with salmonella, Trichinella and what's worse. Finally, I'm just going to mention the proposal of the Socialist Left Party, which reads like this: ‘The Government is asking the Government to investigate the use of referendums on essential issues relating to the relationship between Norway and the EU and to provide it to the Storting in an appropriate manner.’ We are opposed to this proposal. We do not think there is any reason to point out precisely these EU issues as the subject of a referendum. We have proposed that something which we think is far more important, namely the issue of immigration into Norway, be the subject of a referendum. But it has gone against SV. We are opposed to such selective use of referenda, but if anyone wants to follow us in our Constitutional proposal on the general use of referenda in certain circumstances, we can continue with the SV on this matter.
ParlaMint-NO_1998-12-17.ana.ud456e207	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e210	I think it was a very good post Fridtjof Frank Gundersen made for this agreement, but there are some things that I still want to address. Free trade is an essential principle of the Progress Party, said the representative Gundersen. He's against technical barriers to trade. Those who oppose this agreement are very strongly opposed to the EU, he said. Then he had an excellent example of the impact of tourism on society, where I fully support him. He also relied on the professionals who recommend the agreement, and on the two central party councils who agree to the agreement. All of this reflects a picture of security," said Fridtjof Frank Gundersen. Nevertheless, you can read in the setting on page 7: ‘The Group of the Party of European Socialists has decided to support the agreement without binding its representatives during the vote.’ It is quite strange that a party whose representative has made such an excellent contribution to the agreement is able to express itself so vaguely in relation to its own representatives. It's almost like hearing the representative Hagen in the EU debate when they were supposed to have both legs in the loose air, as the Left used to have in its time. But that the Progress Party was going to end up in the same booth, I think it's strange, especially after the excellent post to Fridtjof Frank Gundersen. My question will then be: Is it that there is not entirely unanimity in the Advancement Party, as Fridtjof Frank Gundersen has said from this pulpit? Is it so that we can expect great slippages when the vote comes?
ParlaMint-NO_1998-12-17.ana.ud456e226	I think the last article testifies to one thing, and that is that at least the right is not a liberal party. The party of progress does not have the right to bind the big group. I myself waited nine years before I became a member of a political party, after I was elected to the Stortinget. What in the world are we going to do with good heads here in the Storting, if the only thing that's going to be expressed is a cooked-up point of view? Then we actually deserve nothing but a poor salary. What do we need for good heads if they are to drown in the last national meeting decision? I just want to say that it can be thought that the Group of the Party of Advancement is also being bound, but then we must have a special decision by a large majority – I always vote against such decisions, it happens that I lose – but whether there are any, and how many, of the representatives of the Party of Advancement who have, after careful consideration, found that they will support the Central Party in this matter, I do not really know.
ParlaMint-NO_1998-12-17.ana.ud456e233	It was not surprising that the leading free trade spokesman hailed this agreement. In the Committee, the Progress Party argues that we should conclude the agreement, including: due to nervousness to make the export of fish more time-consuming and costly. At the same time, the Committee also calls for: ‘The majority consider it difficult to say exactly how much and how often the delays will be.’ So there's nothing exactly here. No numbers added on the table, no documentation presented. Everything may indicate that the claims about the disadvantages of fish exports are bluffy. And it doesn't have a lack of requests according to the facts. Then it appears that the details are known, that the agreement can nevertheless be dramatic in some areas for the fishing industry, but in very different directions. The agreement requires vessels from outside the EEA to be checked at EU approved control stations. They're ten of them along the Norwegian coast. This is mostly the case for deliveries of Russian fish that must enter a control station before the fish can be delivered to a Norwegian port, with the results it receives. In addition, the Agreement opens for imports of live fish. Experience with the fish disease furunkulose in the 1980s shows how vulnerable the fishing industry is to such imports. A derogation was then granted for imports of smolt from farms in Scotland. It costs over $1 billion to get rid of the disease. This shows that the veterinary agreement can quickly become expensive also for the fishing industry. So finally, what is the concrete thing that makes the Progress Party believe that the export of fish will be harmed by any refusal to the veterinary agreement?
ParlaMint-NO_1998-12-17.ana.ud456e249	I have to say that with regard to the last article, which was probably written in advance – and that is not exactly a line – I can only refer to what the rapporteur has said on this matter. He has addressed this question in an excellent way. Moreover, I have to say that in this matter I have particular confidence in the Minister for Fisheries and the Minister for Agriculture – especially when these agree.
ParlaMint-NO_1998-12-17.ana.ud456e254	I had not intended to take any lines at Gundersen. His glittering posts are probably on his own legs. What I would like to ask has not much to do with this agreement. But since the Progress Party is based on liberal ideas – you do not bind your members etc. – it could be a bit exciting to hear Gundersen explain why in this case it is explicitly stated in his remark that the members are not bound. What is the reason for doing so in this case? I'm asking because I'm trying to get the idea of what the liberal basic ideas really are.
ParlaMint-NO_1998-12-17.ana.ud456e261	I can inform the case rapporteur that this remark crept into one of my many stays abroad! [[Laughter]]
ParlaMint-NO_1998-12-17.ana.ud456e266	The cord shift is over.
ParlaMint-NO_1998-12-17.ana.ud456e269	It will be a little difficult to follow up the entertainment value of what was presented in the last article, but I'll try to take my monn back in content. The background to the negotiated agreement amending Annex I to the EEA Agreement – the veterinary agreement – which we are currently dealing with is the desire of the majority of people to have such an audit, among others. in the light of Norwegian exports of fish to the EU internal market, which were linked to the veterinary border inspection case. When the matter was debated in Stortinget on 23 January last year, the Christian People's Party supported a proposal to continue the existing veterinary checks. However, this proposal was defeated. It was the government of Harlem Brundtland and the government of Jagland that negotiated the agreement. However, the Bondevik Government has worked to complement the agreement with a number of so-called national compensatory measures to ensure that controls on imports of animal products and live animals are kept as high as possible. The Norwegian public and animal health standards are internationally high and there has been an important objective throughout the work on various control measures under a new veterinary regime to ensure that this high standard could be maintained. In the view of the Christian People's Party, the Government has done a good and thorough job of developing the necessary control measures so that the safety of public and animal health will now be ensured in at least as well as with the current system. At the same time, it is ensured that there will be opportunities for further development of the new control system in line with the needs that may arise. In the proposition, the Government has made clear the main measures as a precondition for the Government's positive recommendation in the case: Firstly, sufficient resources shall be allocated to the effective implementation of the control measures. Secondly, the safeguard clause shall be applicable if necessary. Thirdly, the measures and control system shall be continuously evaluated. And finally, fourthly, an evaluation report on the new Storing Code will be submitted by the end of 2001 together with any proposals for changes and improvements to the system. In the opinion of the Christian People's Party, the new control regime will be satisfactory in relation to the important objective of safeguarding public and animal health in our country. Here I am based on the clear statements available, including: by the State Health Authority, the State Institute for Public Health and the State Food Authority, which, in my opinion, remained as a main conclusion after the consultations with the professional communities, stakeholder organisations and the relevant expert councils. In this context, I think there is reason to note that, in addition to the national control, the authorities and suppliers in the country of dispatch will also have a greater obligation to ensure that the goods meet specific veterinary export requirements. In addition, a separate import register shall be kept, in which all establishments shall have internal controls in place and importers shall be obliged to notify the Norwegian veterinary authorities within 24 hours of importation. Customs and border registration will be maintained, a number of new national surveillance and monitoring programmes will be implemented and a corresponding control regime will be required from the manufacturer. If this is not in place, Norway may refuse to introduce the product. Overall, the revised agreement combined with the new national control measures will provide Norway with a satisfactory control system in relation to public and animal health, as assessed by the relevant competent authorities. There is no doubt a significant uncertainty in large sections of the population as to the implications of this new veterinary regime. This must be taken seriously and requires further follow-up. The impression created by the fact that a person goes from something that is completely safe and safe in terms of the risk of infection to something that is more risky and unsafe has no foundation in any professional assessment or justification. On the contrary, there is reason to claim that the new regime is at least as good as the existing regime. Therefore, it is important that the decision of the Storting today is followed up with the necessary factual, good and relevant information, which I hope the Minister of Agriculture can comment further. The importance of fish exports is, of course, central in this context. When exports to the EU internal market alone can reach DKK 20 billion, it is essential to contribute to solutions that do not weaken this important export market of such importance to the coastal population, not least in the north. But we do not sell out either public or animal health for increased exports of fish! Therefore, it is important and deserving that the Government has undertaken such a considerable effort to present as well and professionally sound a structure as is currently available.
ParlaMint-NO_1998-12-17.ana.ud456e299	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e303	So, as the representative Steensnæs himself explained, the Christian People's Party has changed its position from last year to this year. I think it serves them to the honour of being able to have the self-recognition that they have come to the conclusion that the new control regime, as it is explained, will in fact not only be as good, but at least as well as the regime we have until today. What I could like to get the representative Steensnæs to come up with some thoughts about is simply the close and close cooperation they have with the Center Party. How does the Christian People's Party react to the fact that their partners in the Government and also here in Stortinget do not share their views on such an important matter as this? Is it because the views of the Central Party are black-and-white in relation to everything that has to do with the EU? What does the representative Steensnæs think about it, when he, for his part, takes the entire Christian People's Party to income so that we now have a better control regime than what we actually have today?
ParlaMint-NO_1998-12-17.ana.ud456e313	The Christian People's Party's position on the veterinary agreement was determined by the question of whether Norway would change the veterinary regime. That debate had taken place on 23 January 1997. At the time, the Christian People's Party opposed this and voted in favour of a proposal that the current veterinary regime with border control should be maintained. But a clear majority went against this. On that basis and on that basis, the position of the Grand Duchy has been taken, and the Government has then followed up this with the so-called compensatory measures. The Christian People's Party today assesses whether, on the basis of the foundation created by the Stortinget, an agreement has been negotiated with control procedures which makes it appropriate to recommend this. There's this Christian People's Party in government has stood behind, that's this Christian People's Party's big group, with a few exceptions, will join. In our view, this agreement is good enough, yes, it is on several points better – as I also said in my article – than the existing control regime. This, of course, does not prevent the improvement of the existing control regime. This will constantly be a question of how much additional action will be taken to improve a control regime. So this comparison that the representative Frost Sterri invites me to do, it's not easy to implement. When it comes to the relationship with the Center Party, I can assure the representative Frost Sterri that it is excellent. I would also like to remind you that the central party in the government has different views on this. And that the Center Party's big group will go against this, I also have great respect for it.
ParlaMint-NO_1998-12-17.ana.ud456e320	It's a little difficult to get what the representative Steensnæs really thinks. On the one hand, he runs a disclaimer by referring to the majority of the population. On the other hand, he immediately says that the new control regime is better than the old one. Unn Aarrestad from the Senterpartiet has also been doing this with disclaimer today. I will quote from the press release that the Ministry of Foreign Affairs sent out on 17 July 1998 – at 1 p.m. 20.14 it's on my fax. It says: ‘The new agreement ensures Norway’s export interests while taking into account safe food and good animal health. Without such an agreement, fish exports in particular would be affected, but also parts of the export-oriented agricultural production and food industry.» At the open hearings, the Minister for Foreign Affairs said, inter alia:\t\t You can change the settings of the grid. \t\t \t ‘It would seem unfortunate to the EU to doubt Norway’s willingness to comply with the obligations of the EEA Agreement if, after a agreed draft agreement was in place, it chose to reject it.’ Is it so that the Christian People's Party, on its own initiative, as a leading government party, recommends this agreement with the amended and improved control regime in the veterinary field, or is it still such that it is the majority of the population who have conducted the Christian People's Party?
ParlaMint-NO_1998-12-17.ana.ud456e337	The Christian People's Party takes full responsibility for the agreement as it now exists. But I have little sense of Marit Nybakk's attempt to write about the story. The fact is that on 23 January 1997, the Stortinget held this debate, and the vote of the Christian People's Party in that debate I have made known in a previous line. On that basis, the majority of Stortings took a decision, namely that a revised Annex I to the EEA Agreement should be negotiated and that is the starting point of the Government of Bondevik. That agreement was finalised by the governments of Harlem Brundtland and Jagland. What the Bondevik government has provided is to complement the agreement with national control measures to ensure sound public and animal health. The issue today and the issue to be addressed by the Stortinge in my opinion today is therefore: Is this agreement sound and good enough to ensure this important objective, namely good public and animal health? For my part I have then said: I can take responsibility for that with a good conscience, I can recommend the Stortinget to join. That's what the matter is. I would also like to remind the representative Nybakk that the first government that Bondevik did when it came to the government offices was trying to renegotiate the veterinary agreement, in order to make it work in a different way if possible than through a loss of border control. That those negotiations did not take place, the bodies of Storting have been informed. What is now available as a result is a very good result. Professional bodies have confirmed that the agreement is fully sound, and it is in important areas better than the regime we have today.
ParlaMint-NO_1998-12-17.ana.ud456e344	The representative Steensnæs from the Christian People's Party, Rogaland, now greets Rogaland. After two years, he has shifted his diametrical position from what was said to the voters. In 1992, the Stortinget concluded an assessment of the Norwegian border control that it was crucial for the protection of our favourable animal health. In 1997, the Christian People's Party said its chief spokesman on the impending workers' party government: ‘It is... an expression of a conciliatory lack of history when the Government now enters in order to remove the veterinary border control against EU countries.’ It's only been two years. The Christian People's Party, together with SV, supports a proposal from the Center Party to cancel the negotiations on the veterinary agreement because he was not needed. Today, therefore, the Christian People's Party recommends its representatives Steensnæs and Are Næss, who were also the main speaker in 1997, and the plurality of the Christian People's Party recommends this agreement, which was therefore unhistorical to support. When the Christian People's Party makes a fall for the yes party and fails its own positions so fundamentally, it is clear that they are involved in increasing political contempt enormously. My question to Steensnæs is as follows: When one two years ago said that there was no need for this agreement, why is this idea now completely insane? Is this something totally uninteresting to the Christian People's Party? Isn't it true one such thing before, that it's historyless to support such an agreement?
ParlaMint-NO_1998-12-17.ana.ud456e362	I believe that what might be involved in increasing the political bias out there among people is when politicians want to close their eyes to the reality that surrounds us, and hold to principles from yesterday and past situations with completely different framework conditions, a completely different starting point, and bite themselves into this without being able to orient themselves in a new reality. I honestly believe that it is a problem for us politicians to be able to see with healthy eyes and take inward the reality of today's political challenge. That is the responsibility of the Christian People's Party in this situation. We had a position on January 23, 1997, that's right. We were against the change in the veterinary regime because we thought what we had was safe and good, and we were uncertain about the new thing that came. Now there's a reality that we've put behind us. The size of the population is a clear decision to amend the Annex – I – of the EEA Agreement to link fish with imports of animal products. From that point of view, the Bondevik Government has negotiated the control measures and the veterinary regime of the Stortinge. From that point of view, I take the responsibility of assessing the proposal that exists, and I say in the light of the evaluation of the professional authorities: this is good enough, this is responsible, this will ensure us the public and animal health that is so important – as we had under the old regime – and that we can now actually continue in the new, even with greater certainty and greater security in important areas than the old regime did. It's not promoting political contempt, it's taking responsibility on behalf of our voters.
ParlaMint-NO_1998-12-17.ana.ud456e371	The cord shift is over.
