ParlaMint-NO_1998-10-28.ana.ud1702e27	: The called alternate of the Rogaland County, Helge Solum Larsen, has taken the seat.
ParlaMint-NO_1998-10-28.ana.ud1702e160	There is a broad view that should apply. And when it relates to teaching arrangements that are designed, it is entirely relevant to have it assessed in relation to age and to the objectivity of education in the school versus in smaller groups. If you want it to be used in the firm education, you have the full opportunity to buy this game from the Health Authority. We've had a review in relation to age and some others. It's the department of ours that's been in contact with the højskull when it comes to the report that's been made. It's thorough, it's broad, and it's the recommendations -- which are unanimous -- that we're largely following up on. When you go in and look at the setup and read it in relation to the report that's made, I think it's going to come in the way that was before class nine, which is now class ten, will be a good solution to this case, and I feel perfectly sure that here will [[President clubs]]
ParlaMint-NO_1998-10-28.ana.ud1702e165	Synnove Konglevoll – for follow-up questions.
ParlaMint-NO_1998-10-28.ana.ud1702e168	Norwegian and international research shows that good sex skills are needed to develop a secure sexual identity. It postpones the onset, it prevents unwanted pregnancy and abortion among young people, it reduces the incidence of sexually transmitted diseases, and it is important to prevent sexual abuse. Research also shows that this type of knowledge must be disseminated at an early age, i.e. in good time before sexual activity. I think it's naive to think that you can spare young people a knowledge of sexuality by postponing school education until they're 16. In fact, 1/3 have debuted before that time. The video and computer game have been based on the questions young people from 13 years of age and up have asked on the so-called SUSS phone, a green line where young people can ask about sex and life. The material has also been tested and developed in cooperation with young people. On what basis has the Council of State chosen to question not only the professional competence of the Health Authority but also the experience of young people to whom this material is directed?
ParlaMint-NO_1998-10-28.ana.ud1702e175	Governments have not used their personal view of this. Governments have asked one of the heavy educational environments in this country to go through it, and have received a report. That's the report I use as a state council relative to how I recommend it used – whether I consider it suitable for use in school. It is quite right that the representative, Mr Konglevoll, says that an early education is needed. That's why we've also said that we want to make more material that fits the curriculum at lower levels. But what we also say when it comes to this video is that we're some of the people who make a unanimous recommendation from the high school, that it fits best in the highest class in the high school. We have a holistic pedagogical view of this, and I refer safely to the material that leads.
ParlaMint-NO_1998-10-28.ana.ud1702e180	Let's go to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e183	I have a question to the State Council. The Government of State Council has appointed a sample to investigate a system of greenhouse gas emission allowances. Any climate agreement with the trading of allowances could have serious economic consequences for Norwegian industry and business, so we in the Progress Party strongly respond to the fact that neither the NHO nor the Land Association of the Process Industry are represented in this sample. And then my question is to the Council of State: why are employers' and employees' organisations not included in this sample, so that you can be sure that Norwegian companies and thousands of jobs are being looked after in the best possible way?
ParlaMint-NO_1998-10-28.ana.ud1702e190	The government has appointed an allowance selection both on its own initiative in the Climate Change Communication, in the follow-up to the Kyoto Agreement and following the Storting Recommendation. We have appointed this in line with what the Stortinget asked for, namely a selection of professionals. We have not understood that it is right that this sample should be a sample of representatives from different environments, and therefore neither employers' representatives, the employees' side nor the environmental movement are appointed by virtue of such representation. Nevertheless, we thought it was important to have professionals from these environments. This is why, among other things: the environmental director of Statoil appointed in this panel as a professional. In addition to this sample of professionals, we want a close and good dialogue with business, environmental organisations and others who are interested in these issues. That's why the government has said quite clearly that we're going to appoint a reference group in parallel with this, where all of these interests are represented, just to ensure that the interests are heard, and to ensure a good dialogue with them.
ParlaMint-NO_1998-10-28.ana.ud1702e198	I thank the Council of State for the answer. When appointing a selection of professionals, I would like to remind the Council of State that there is considerable professional expertise in both the NHO and the Land Association of Process Industries on the issue of quota trading. And I just want to ask the Council of State at the end: isn't there any chance that the NHO and the National Association of Process Industries can join this sample, so they're in the process right from the start?
ParlaMint-NO_1998-10-28.ana.ud1702e203	I am not least in doubt that both in the NHO, in the PIL, in the LO, in the environmental movement and in the General Organisation of the Commerce and Service Industries there are professionals who could contribute to this work. But we've seen it important to appoint a sample that's not too large, and also have a reference group that can work alongside this, so that all these interests and professionals are heard and represented, and that their experiences benefit the selection. We consider the appointment of the sample to be completed. I have received an enquiry from the NHO to supplement the sample, and of course I will evaluate it. But I see it as pretty complicated to include representatives from that side without also supplementing the sample with others.
ParlaMint-NO_1998-10-28.ana.ud1702e208	Then we move on to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e211	I want to ask the Minister of Church, Education and Research a question. Earlier this year, the government has requested the work of the Fifth Framework Programme in the EU on research. The special feature of this programme is that it concerns advanced technologies. The Council of State has also reported on the budget in the budget budget's pro posal that this work is under way. In general, Norway is involved in the preparation of these programmes, both because we are a contributor and because we are interested. Is it correct that Norway is now excluded and does not sit and prepare a programme to which we show initiative, because Spain blocks the EEA Agreement because of a financial contribution in another area?
ParlaMint-NO_1998-10-28.ana.ud1702e218	It is right that the representative, Mr Knudsen, says that the Stortinget has asked us to work for the Fifth Framework Programme, and we have alerts in St. pp. No 1 how we do it. The final decisions in the EU in relation to this will, after the last messages I have received, probably take place on 10 or 11 December. It is obvious that the EEA Agreement gives us the right to full participation, but it does not give us the full right to participate in all preparatory processes in the EU internal organs. But I can then row the Council of State Knudsen – cause, the representative Knudsen! [[Laughter]] I don't know how to interpret that people lie! Then I continue – I say I am sorry for the mistalion: – Last Friday I was at a meeting between the EU Minister of Education and the EEA Ministers where this was a topic. And it is quite obvious that we have no reason to believe that we will not be fully able to participate in the Fifth Framework Programme, and that they will also accept the signals we have in relation to it, without the EEA Agreement giving us full rights to participate in all internal work in the EU.
ParlaMint-NO_1998-10-28.ana.ud1702e225	I have an additional question: does this mean that Norway is not now excluded, as has been made known in research environments, because Spain has a negative relationship with the EEA Agreement due to financial contributions that are now cancelled? I have another supplementary question: if Norway is now excluded in any way, what will the Government actively do? This is not just a framework programme, it concerns the wider scope of the EEA Agreement.
ParlaMint-NO_1998-10-28.ana.ud1702e232	From the side of Spain, this is quite clearly about trying to push Norway to something they are not under contractual obligation in relation to the transfer of funds through the EEA Agreement, which ends this year. I don't want to get any closer to it. When it comes to participation in the preparation of programmes and other things, it will always be up to the EU's own bodies. We can't refer to a right that we don't have. It'll be a little bit different within the different cases. But as I said, I had contact with the government councils in this area, as late as Friday, and I was going to believe that it is reasonably active that we in the research area make sure that we leave our voice on the right, and I also have the impression that it will be heard.
ParlaMint-NO_1998-10-28.ana.ud1702e239	Let's go to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e242	I'll have to ask the Minister for the Environment. For approx. A year ago we had quite fresh fights here in the Storting around the Kyoto conference and the Norwegian government's role as an environmental brake there. What remained after that was a clear assurance from the Minister for the Environment that the next round would be to help from Norway close the loopholes that remained after Kyoto. They will be known at the Buenos Aires conference in a few days' time. The most important thing is to prevent a system of international quota buying-in that effectively deprives industrialised countries of responsibility, for example. by purchasing allowances from the abandoned Russian industry. In order to ensure such a system, it is necessary to introduce a ceiling on how much of the quotas of developed countries can be withdrawn abroad. This is also crucial in order to put sufficient pressure on Western industry for technological transformation. Technological change is crucial to solving the climate problem. [[President clubs]] It can only happen in the West for how much can be taken abroad. [[(President clubs):]] So the question is, will the government go in for a roof?
ParlaMint-NO_1998-10-28.ana.ud1702e249	The President stresses the need to stay within speaking time.
ParlaMint-NO_1998-10-28.ana.ud1702e252	There's no doubt that what's going to be the most important thing in Buenos Aires is bringing the process forward. It means, first of all, putting in place a regulatory framework for the flexible mechanisms to ensure that these do not become loopholes. Then I and the representative Solheim have a different view of how we ensure it. I have understood that the representative Solheim believes that it can only be done by putting a roof in the form of a number. I believe that at least as much can be done by ensuring that national reports are improved, by working to avoid simplification, as a number of countries would like, by working to ensure that national reports also have to describe what is being done at home, and not least by linking this to what is stated in the Protocol that countries must have demonstrated progress in reaching their commitments by 2005. I believe that this, together with full transparency about who participates, both in joint implementation, in the Clean Development Mechanism and in the trading of allowances, will be the main contribution to preventing loopholes. In addition, I think it is important to stress that when you buy and sell allowances, it should not only be the seller who is responsible if it turns out that you have sold allowances that you did not have the right to sell, but the buyer should also have a liability. I feel that these measures are the most effective to close loopholes.
ParlaMint-NO_1998-10-28.ana.ud1702e258	State Council Lilletun was obviously somewhat in doubt about who was in government at the moment, and I can understand that when I hear this answer, because here there is certainly no change in relation to the previous government – rather, the level of ambition is now in the process of being lowered. One question could be whether the government will ask Thorbjørn Berntsen for an apology for the strong words that were used for a long time on the environmental policy of the Workers' Party. But now leave it. More importantly, the process in Buenos Aires. The Waksenåsen Declaration states that the Government’s objective is to ‘bring its emissions of CO2 and other greenhouse gases down to 1989 levels by Norway by 2005’. It remains to be heard how to get Western countries, including Norway, to bring their emissions down to such a level without the pressure for technological development in a roof. I would like to repeat the question in a slightly different form: if the EU or others raise the question of hold in Buenos Aires, is it so to understand that Norway will then prevent a roof from being introduced?
ParlaMint-NO_1998-10-28.ana.ud1702e265	I don't think we agree on the objective of the meeting in Buenos Aires, namely to pass on the process. I wonder that you might think that the only way to secure yourself against dirt holes is to put a roof. No one has yet given a good answer to how to calculate such a ceiling, nor has anyone come up with clear wording as to whether there should be an overall ceiling or a single thank-you for each single mechanism, which would lead to a very bureaucratic and complicated system without the roof itself ensuring that it is actually dealt with, for example. ‘hot air’. It is far more important to ensure that mechanisms such as: national reports, full transparency in the process, full transparency about who buys and sells, and there is no doubt that it must be the most important contribution in relation to not dealing with anything that should not be dealt with. In fact, it is in the Minutes that this should be a supplement, and I take the Minutes seriously. This means that we need to implement measures at home, and this must also be demonstrated in relation to the protocol by 2005. So we don't want to go in for a roof.
ParlaMint-NO_1998-10-28.ana.ud1702e272	There will be follow-up questions – Hallgeir H. Langeland.
ParlaMint-NO_1998-10-28.ana.ud1702e275	SV is not allowed to join Buenos Aires, and we think we're sorry, because we're the only environmental opposition on Stortinget again. I want to follow up a little of what Erik Solheim said in relation to the national obligations and the requirements to be met. It is quite clear what is stated in the Waksenåsen Declaration in relation to CO2 and 1989 levels, and I thought the Council of State was somewhat unclear in its answer. The objectives are so far not followed up by anything specific by the Government. The Energy and Environment Committee has identified Norway as having to implement a monthly part of national commitments. Now the legislation to be negotiated must require each country to implement 85 pst. as national measures. How does the Council of State respond to this concrete requirement of 85 pst. ?
ParlaMint-NO_1998-10-28.ana.ud1702e284	Let me first say that the department has invited Stortinget to stand with five representatives, and that the Stortinget itself decides who they should be. As far as I know, we are also among the countries with the highest number of parliamentarians, and I think that is important and useful. We have good experience with that from the Kyoto meeting last year. I don't think it's going to be particularly surprising to the representative Langeland, when I've already said that I'm against setting a thank-you, that I don't see the great sense of putting that ceiling to 85 pst. I don't think that's the way you actually get control of dealing with real emissions, you have to have good control arrangements for the measures themselves, and the concept of who buys and sells allowances. That's the only way to make sure that this is real cut we're talking about.
ParlaMint-NO_1998-10-28.ana.ud1702e291	There will be follow-up questions – Øyvind Korsberg.
ParlaMint-NO_1998-10-28.ana.ud1702e294	On climate change, more and more researchers are both internationally and nationally critical of the Intergovernmental Panel on Climate Change and the alleged CO2 problem. I can refer to Professor Øystein Nordeng, Svein S. Andersen, Per Anker-Nilssen, Bjørn Lomberg and also the University of Oslo, which is critical of the CO2 problem. My question to the Council of State is: Should we not be careful at first to launch very costly and uncertain measures with such a long time horizon before we know much more about the climate issue?
ParlaMint-NO_1998-10-28.ana.ud1702e301	I would like to stress that the Intergovernmental Panel on Climate Change is very broadly composed of our leading climate scientists globally. They have expressed concern that we are in the process of getting climate change as a result of anthropogenic influence. We can't afford to take the chance that they're wrong. If it turns out that we have climate change, the consequences will be very large. There are many who believe that we who are from North Norway, then will be blessed with warmer weather, but unfortunately that is not so. The consequences may include, inter alia: be that the Gulf Stream no longer goes where it now goes. Especially ill will the consequences of climate change be for the poor part of the world. We know that there is a danger that it can lead to more storms and more floods. We can't afford to take these challenges seriously. I have no doubt that, in a long-term perspective, money will also be much more expensive.
ParlaMint-NO_1998-10-28.ana.ud1702e306	Let's go to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e309	I have a question for the Minister of Agriculture. I would like to give the Minister of Agriculture the opportunity to clarify the confusion created by the revised EEA agreement, the so-called veterinary agreement. After an intention and a round with the EU to renegotiate the agreement – where nothing happened – the government came back and made the impression that they also thought this was a good agreement. And in a press release by the Ministry of Foreign Affairs after the EEA Committee had taken its decision in July, it said: ‘The new agreement ensures Norway’s export interests while taking into account safe food and good animal health.’ A number of new national control programmes have been identified and further developed: ‘These programmes, together with the new EEA provisions, will provide the basis for the continuation of good Norwegian animal and public health.’ In advance of the proposal on this issue, the discussion has now come to an end, and at the latest two days since the visit of the Vice-President of the Centre Party, Odd Roger Enoxsen, to this agreement. [[The President clubs.]]
ParlaMint-NO_1998-10-28.ana.ud1702e326	Number is Out
ParlaMint-NO_1998-10-28.ana.ud1702e330	My question: Will the Minister of Agriculture agree, or will he support Enoxen?
ParlaMint-NO_1998-10-28.ana.ud1702e335	The size has previously debated the EEA Agreement after a statement by the Minister of Agriculture at the time. The decision has been taken by the Storting against the Government on the way in which this is to be carried forward. The government has, of course, been loyal to the decisions taken by the Stortinget and, through consultation with the Stortinget, completed this work, which has resulted in the decision of the EEA Committee to which the representative Rudihagen refers. In the near future, there will be a proposition to the Storting where the Government presents the agreement with the measures that are also necessary to meet the control needs that we refer to. So I would like to say to myself that it will be impossible to go to Stortinget with such a proposition without being sure that the measures being taken ensure that we take care of what has to do with health and animal health safety in the future. I must admit that part of the debate that is going on in the media seems to me to have a fairly high level of noise. But me, who knows these three letters EEA pretty well from before, doesn't surprise it! But it is right and important when we first move into these kinds of issues, that we ensure that we meet the requirements of safe food quality that Norwegian consumers have, and also safeguard animal health, which we have a high standard in Norway today. We have already tried to add up through several control programs to document our own standard. I just have to say as Minister of Agriculture that I am a little worried that we have actually discovered that there are some diseases within our livestock that I thought we were free of, but that we have discovered through the control programmes we have now started.
ParlaMint-NO_1998-10-28.ana.ud1702e348	This is a strange situation in many ways. One has a sense that at least some councils are on the move, but protests to all the world. Government Council Gjønes has previously expressed that it is a good agreement. I have a press release from the Ministry of Agriculture where the Gjønnes strands realize that there is nothing in the revised agreement that prevents Norwegian authorities from doing what is necessary to ensure safe food for Norwegian consumers. In the debate we are now seeing going on in the media, there is a fear and a perception in the Norwegian people that the new agreement will now almost open up to the free movement of animal products and live animals, so that the risk of infection will increase enormously. Is it not because a responsibility of the Minister of Agriculture now has to go out and calm this down, perhaps also a little in cooperation with his good colleague, the Minister of Fisheries? We know that fishing industries need this agreement – they export a total of 15 billion dollars to the EU.
ParlaMint-NO_1998-10-28.ana.ud1702e355	There is a need for the Minister of Agriculture to say that this is first and foremost a matter that lies before the Minister of Foreign Affairs and that the proposition will be promoted from there. But, of course, as Minister of Agriculture, I have a responsibility in relation to the questions raised by the representative Rudihagen. In relation to when the Council of State is going to actively go out with its argument and participate in debate, I have chosen as the Council of State to do this work internally in the Government as long as the Government has this matter under consideration. The Minister of Agriculture will clearly take part in this debate when the Government has promoted the proposition towards the Stortinget. I think it's the most correct way for a Council of State to participate in the debate. In relation to the pressure on imports, the volume of imports is not primarily regulated by this agreement. It is regulated by the customs regulations we have in relation to the WTO Agreement. But we can imagine a situation in which we meet new WTO negotiations, where a larger volume of imports as such will also make the challenges of control the greater.
ParlaMint-NO_1998-10-28.ana.ud1702e364	There will be follow-up questions – Jan Petersen.
ParlaMint-NO_1998-10-28.ana.ud1702e367	The first part of the Minister of Agriculture’s answer left a question, namely why the Council of State would recommend the Stortingen to adopt this agreement. I can well see that when the Minister of Agriculture will recommend the Stortinget to approve this agreement, it is simply because the agreement is good enough.
ParlaMint-NO_1998-10-28.ana.ud1702e372	Firstly, it is the government that comes up with its position towards the Storting, which will be present in the proposition promoted by the Government towards the Storting. It is not the task of the Minister of Agriculture today to say what it is all about as such, but it is clear that neither the Minister of Agriculture nor the Government is presenting a proposition here in the Stortingen with the conclusion that one must draw, without the Government taking responsibility for what is in that proposition, and, where appropriate, the measures to be taken then to provide safe food and animal health in Norway. It's clearly a government obligation.
ParlaMint-NO_1998-10-28.ana.ud1702e377	It will be another follow-up question – Kristin Halvorsen.
ParlaMint-NO_1998-10-28.ana.ud1702e380	I would like to ask Mr Angelsen a follow-up question on this matter.
ParlaMint-NO_1998-10-28.ana.ud1702e385	It's possible.
ParlaMint-NO_1998-10-28.ana.ud1702e388	I understand the answer that the Minister of Agriculture has now given, that he goes very far in saying that this is an agreement he can recommend, and that he does not push the bulk of the population in front of him, but that we are going to have a proposition that the Government will recommend that Norway go in to extend the EEA Agreement in the veterinary field – i.e. with the Government's recommendation. I would like to know if the Central Party State Council Angelsen, the Minister for Fisheries, believes that this is a good agreement in the veterinary field for Norway, and whether the consequences for fish are so great that it is necessary to accept major deterioration in public health in order to get such an agreement in place.
ParlaMint-NO_1998-10-28.ana.ud1702e396	As explained by the Minister of Agriculture, the Government will bring the matter before the Storting in a proposition where the Government is in favour of the extended EEA Agreement with the EU. I think it might be right to await the debate on the content of the agreement itself until the Government has been presented with its proposal to the Stortinget, where the whole of the Government's assessment of both measures and the impact of the agreement on Norwegian industry, animal health and to the extent that food safety will be demonstrated. I can only briefly say that, in terms of the situation of the fishing industry, Norway is a major exporter of fish food, and of course we have to deal with the changes that are taking place in the markets. The reason why we have to decide on this EEA Agreement is the changes that have occurred in the Union market. We have to deal with that, and it's going to be explained in the proposition that will be presented to the Storting.
ParlaMint-NO_1998-10-28.ana.ud1702e403	Karl Eirik Schjøtt-Pedersen – for follow-up questions.
ParlaMint-NO_1998-10-28.ana.ud1702e406	In that case, it is not surprising that the Minister for Fisheries is in favour of an agreement of fundamental importance for the Norwegian fishing industry. But I would like to supplement Mrs. Halvorsen's question. The Minister of Agriculture made it clear that to the extent that he promotes such a proposition on behalf of the Government, there is no pen from the Stortinget. The government then has an independent belief that this is a good deal for Norway. Can I perceive Angelsen's response so that he also sees this agreement as a good agreement for Norway?
ParlaMint-NO_1998-10-28.ana.ud1702e413	As I said in my previous reply, the agreement that we are now going to present to the Storting implies that there have been changes in the EU market that Norway has to deal with. While there are not only positive aspects to the changes that have occurred in the EU market, Norway has to deal with this, and from an overall assessment it would be beneficial for the Norwegian fishing industry to join the agreement.
ParlaMint-NO_1998-10-28.ana.ud1702e418	Dag Terje Andersen – to the last follow-up question.
ParlaMint-NO_1998-10-28.ana.ud1702e421	Then I'll be allowed to go back to the one to which the main question was addressed, with my follow-up question. The representative, Halvorsen, suggested that the agreement we are discussing would cause ‘great deterioration in people’s health’. There has been a starting point for some — I would say — trendy look-up in the newspapers recently, most recently in the newspaper for a few days back, where it is among other things. is startled with various bacteria that in themselves have such difficult names that it might be enough to scare most of us. But the reality is that there are some bacteria that we do not control today under today's import legislation. I could imagine asking the Minister of Agriculture if that is the case when, for example. Campylobacter and E-Colibacteria — to use the names; it is what is most alarmed in propaganda by day — that there is control at all for those bacteria according to today’s control system, and whether the new control system prevents us from controlling for this.
ParlaMint-NO_1998-10-28.ana.ud1702e428	We can deal with today's legislation and the checks we carry out, and then compare with that. I kind of think it's a little irrelevant. We can also put more resources into today's system. We can extend the control program, we can extend the sampling to other fields than those that we have today. But what is our responsibility, we can say, is that the control measures that we have at any time are good enough for us to offer Norwegian consumers safe, good quality food. Whether it happens within one or the other contractual system, our responsibility is to facilitate this in terms of control systems and the financial resources we need to put in to do that task. And this we will discuss in the proposition and present to the Grand Government both what is, and the great new challenges such an agreement may – if it is now adopted – bring with it, and also the way in which the Government sees that we are going to add up to mastering these problems. This is no easy matter for the Government, and I don't think it should be for the Storting. We have to be clear that here we have both positive and negative sides that we have to balance out, and that's really the role of politicians.
ParlaMint-NO_1998-10-28.ana.ud1702e435	Let's go to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e438	I have a question for the Minister of Fisheries. Fisheries and the fishing industry are crucial for employment and coastal settlement, and not least in the national districts of the Council of State. It is a large export industry and, of course, market access is crucial for maintaining this high level. This with border crossing and veterinary directives is, of course, important in this context. I have a question for the Council of State that doesn't go on the content of the proposition that we get to the Stortinget. The fishing industry fears what will happen to any Norwegian veto. What I could imagine asking the expert councils about is what are the actual consequences of a possible veto, and that we get a border crossing there compared to 50 pst. Norwegian fish to be opened for border control?
