Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e178	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e181	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UE	Evje, Ursula	F	1944	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e190	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e203	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e219	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e226	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e229	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e240	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e243	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e250	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.JL	Lilletun, Jon	M	1945	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e259	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e267	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e275	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e325	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e406	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e418	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ANH	Høegh, Annelise	F	1948	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e423	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e428	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ARN	Næss, Are	M	1942	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e435	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GO	Øyangen, Gunhild Elise	F	1947	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e440	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e451	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e484	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e582	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e616	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e623	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e629	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e863	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e870	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
