ParlaMint-NO_1998-12-18.ana.ud1256e102	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1998-12-18.ana.ud1256e339	It is true that we in the Ministry of Finance have for a long time had an application from Export Finance to acquire municipal credit. That case has otherwise been dealt with in the Ministry of Finance earlier, and was decided by the previous government with negative results at the time. We have now gone very thoroughly through the legislation and the possibilities to allow export finance to take over municipal credit, and have come to the conclusion that the legislation does not open up an exemption from the 10 pst. rule. However, access to export finance has now been granted to local government credit, but a few assumptions have been made, including: a premise that during a two-year period they will adapt to the 10 pst rule, i.e. that four of them – as far as I remember – twelve who are today the owners of export finance have to sell down to 10 pst. It is true, as Per-Kristian Foss mentions, that the largest owner has a holding of up to 30 p.m., 29 and something, and there are also three other owners who have ownership positions of between 20 and 30 p.m., and for these they will be required to make sure to sell down to 10 p.m. during a liberal period in our opinion. Then there are eight other owners who have relatively small holdings, which I assume must be able to contribute to the purchase of some of the shares that remain with the four largest owners. I expect that this will be an acceptable condition for export finance so that this is now going to work out, and you get this new institution. It is also true, of course, that Per-Kristian Foss points out, that export finance today has a derogation, but it is on the basis of the business that export finance operated when they received the exemption and so far still operates. I will not hide the fact that the Credit Authority has allowed itself to question whether export finance, with the extended activity they have assumed after receiving a derogation, still meets the condition for exemption. But it hasn't been the theme this time. We therefore assume that they will do so if they only operate the business they have before they may take over municipal credit, but in the opinion of the Ministry of Finance, it is quite obvious that when local government credit also comes in and gives a new activity within export finance, it is no longer possible to dispensate. But we've given a very liberal deadline for them to adapt to the 10 pst. rule.
ParlaMint-NO_1998-12-18.ana.ud1256e346	I hear what the Minister of Finance says, but I did not understand in the answer he now gave, some clear and concrete reason why the department does not grant a derogation from the 10 pst. rule. What I noticed was that he said, after a thorough review, there was no basis for an exemption. But then my question becomes to the Minister of Finance: What are the specific circumstances of the department that make it impossible to find room for an exemption from the 10 pst rule? I would like to have a very clear and clear answer to that, because, in the opinion of the Advancement Party, it is very little that argues against such a derogation being granted in this case.
ParlaMint-NO_1998-12-18.ana.ud1256e351	I thank the Minister for the answer. The Minister of Finance, after I had drawn up the following statement: ‘I expect this to be acceptable conditions.’ This can't be done by the Minister of Finance, because only the exchange of letters with Export Finance suggests that they cannot accept such a condition. The owners can't do that either, they've given a fairly clear statement. Export finance is simply owned by banks in Norway according to their size. With this government's policy, there have not been any more banks, so there are not enough banks in this country to own export finance on condition of the ten pst. rule. That will require too much of some and too little of others. The ratio is that the largest bank owns the largest share, the second largest owns the second largest share, and the smallest banks have shares of less than 10 pst, i.e. relative to the size of the banks, and I actually think that has given quite a reasonable result. What's interesting here is that after this merger, export finance should have entered the credit market for municipalities. What kind of market is that? Well, it's a market where the state itself is the most dominant player, and it's a market where the state itself owns and has granted a derogation from the 10 pst rule, because the state owns 100 pst. Here we feel that the same government is out to protect itself and its business because others come in and compete. This must be contrary to all competitive thinking, including in the field of the financial sector. To be quite precise, I would like to ask the Minister of Finance this question: is it really that a concession clause in this context is that the new bank, the merger Export Finance – Municipal Credit – if it had become any of it – is not allowed to apply for a derogation, as the law provides for access to? I have to say that I think it's a relatively strange concession to take in. I also have to say that I find it difficult to see any good reason why you cannot get a derogation here, among other things. having regard to the fact that others in the area of local government credit have a derogation from the restriction rule and that this will obviously increase competition in granting loans to municipalities, And it's an area that truly needs more competition than it is today.
ParlaMint-NO_1998-12-18.ana.ud1256e367	To begin with, Per-Kristian Foss concluded: I agree that there would be greater competition for lending to municipalities. This would probably lead to a more reasonable loan for municipalities, and the money would extend further. That is also why, as Minister of Finance, I have gone as far as I think is possible from the law we are going to administer, once I have now accepted that export finance can take over municipal credit. As I said in my previous post, today there are four large and eight small owners of export finance – that is, twelve owners. Even if you were not to take in new owners – I do not say that there should be any prohibition – but stay within the twelve, it is enough that you can distribute the shares so much that no one exceeds the 10 pst. rule. I don't want to interfere in how this is to be done, it's going to be up to the parties involved, but the possibility is there. So to Siv Jensen's question about why you have found that you have to demand that you relate to the 10 pst. rule. The very reason for this is that we do not find that the activity that the new institution is now going to do is so special that it allows for a derogation. The activities shall include, inter alia: include the granting of credit to municipalities, as the Municipal Bank today does to a large extent. Besides, it's not just the Municipal Bank that provides loans to municipalities, there are also many other banks that do, so there's nothing special about lending to municipalities. Such activities will not be eligible under the two requirements, inter alia: on specific cases referred to in the Act, where there is a possibility of exemption from the 10 pst rule. This is the simple reason why one has found it necessary to demand that one adapt over time to the applicable law. If the new bank had been granted a derogation with the activity of the new bank, it would have provided a good basis for criticism here in Stortinget – in the legislative assembly, which has given laws that, in the opinion of the best experts in the Ministry of Finance, do not allow exemption of the 10 p.m. rule.
ParlaMint-NO_1998-12-18.ana.ud1256e376	Per-Christian Foss has had the word twice, and gets the word for a brief remark.
ParlaMint-NO_1998-12-18.ana.ud1256e379	I just want to say in the end that I want to advise the Minister of Finance to seek the view of the Grand Duchy on the ten pst rule, because this is about the interpretation of a rule that there has been political disagreement about also in the past, then perhaps in other directions. But it shows that the law gives good room for interpretation, and the strict interpretation that the department now uses, I have to say that I disagree. Interestingly, the local bank has a derogation, and if there is no access for export finance and local credit to obtain a derogation, the logical consequence is that the local bank cannot receive a derogation either. I expect that the state will soon sell itself into 10 pst. in the municipal bank as soon as it is converted into a limited liability company, and seek to find private owners or other owners of the remaining 90 pst. That is a logical consequence of the Minister of Finance's presentation. It might seem a little bit funny, but I think it shows that the assessments are going in the wrong direction.
ParlaMint-NO_1998-12-18.ana.ud1256e386	Several have not asked for the floor on case No. 9th@item: inlistbox At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 10 and 11 are treated as a whole. [[Fotation, see page 1444]] – It shall be deemed to have been adopted.
ParlaMint-NO_1998-12-18.ana.ud1256e412	I have a few comments on case no. 11th@item: inlistbox There is little to add in relation to this option, as it is largely a collective committee behind the Government's proposals. When I still ask for the word, it is to correct the setting. An incubation has proposed changing some of the lower taxes in the recent ageing of the State budget, including population benefits for 1998. There is no basis for modifying these fees, and therefore the following suggestions for decisions in the resolution should be deleted: cap. 5527 Item 73 The monopoly charge, etc., chap. 5545 item 71 Environmental taxes, pesticides, cap. 5571 Item 70 Totaliser charge and cap. 5577 item 70 Fee to the State of the placing on the market of pharmacies. Overall, this means that revenue from the State budget will be reduced by 24.5 million. kr. Attenuation from Staten kerosene fund under cap. 5800 must therefore be increased accordingly. The new proposal for a promise decision will then be: ‘Chap. 5800 State Petroleum Fund [[(see section 4.4). cap. 2800):]] With these changes I will recommend your setting.
ParlaMint-NO_1998-12-18.ana.ud1256e454	The President will take these corrections into account during the vote.
ParlaMint-NO_1998-12-18.ana.ud1256e457	I find no reason to make any special comments on case no. 10, it is, in so far as it exists. This also applies mainly to case No. 11, so it should not be the basis for any major debate here either. I just point out that the Workers' Party in its comments under case No. 11 indicates the need to adopt an economic policy that has a long-term perspective and can thus also create stability. There has been considerable concern about Norwegian monetary policy recently, a monetary policy which has, in fact, been backed by a broad majority in the UK. During the last few days, the majority of the Grand Duchy has also expressed its clear support for the monetary policy pursued. It is with some wonder that we have followed the press discussion between the Minister of Finance and the Governor of the Central Bank over the last few days on how to understand the current currency regulation. It is in itself a remarkable situation that the Minister of Finance and the Governor of the Central Bank communicate through the media, and that at a time when there is considerable concern about us, considerable uncertainty – and that in itself is a problem of trust in the Norwegian economy. Now is the last day the Storting is gathered before Christmas, and I think it is natural to encourage the Minister of Finance to try today to clarify the ambiguity created by the recent media debate between the Minister of Finance and the Governor of the Central Bank. I would like to ask this question to the Minister of Finance: is it the case, as it has been made clear in recent days, that the Minister of Finance of the Ministry of Finance and the Bank of Norway have different perceptions of our currency regulation? I don't need the Minister of Finance in Stortinget to interpret the currency code, but it's important for Stortinget to know that those who pursue monetary policy have an equal understanding of the regulations that actually form the basis. It is important for Stortinget, I think, to clarify whether it is correct, as the media says, that Minister of Finance Restad believes that Norway's Bank interprets the current currency regulation completely incorrectly, as expressed. Finally. Does the Minister of Finance think that such a debate between the Minister of Finance and the Head of the Central Bank of the media helps to strengthen confidence in Norwegian monetary policy?
ParlaMint-NO_1998-12-18.ana.ud1256e470	Case No. So 11 is about rebalancing the budget for the current year, 1998. 1998 has been a year of quite considerable concern, not least in the money and currency markets, where the market has been indifferent to the views of political authorities. It is rare for a finance minister in a country to go out and tell us that the market is wrong and the market is responding back by saying that we confirm our opinion. The finance minister's perception of the Norwegian economy does not match the market's perception. That's enough to live with. What's worse is that the interpretation of the monetary policy to which there is broad support in the Storting is complicated by the actors themselves, and then I'm not talking about the market. It is such that whenever the Prime Minister or the Minister of Finance is out and has to tell us what Norwegian monetary policy really is, the market understands less and less. Of course, it may be due to the market, but in the long run, I think it is a difficult job to persuade the market, especially when you bring increased ambiguity to the market. Those who sit between the market and the political actors are like the press, and of course it can also be thought that a common press is wrong, nor should it be excluded. I assume that the Minister of Finance will now say that it is making an overall Norwegian press, for the comments on yesterday's statements by the Minister of Finance and the Prime Minister, and also those given the day before, give a rather unambiguous impression, namely that the Minister of Finance and the Governor of the Central Bank have different interpretations of the currency regulation. I would like to take this opportunity, like previous speakers, to ask the Minister of Finance for clarification. I'll ask you two concrete questions. Why not the Prime Minister and the Minister of Finance – I am now aiming for the opinion given in connection with the conference with the social organisations yesterday – now to make the Norwegian krona payroll in relation to the ecu index, as the Prime Minister did in public as late as October this year? Is this a new attitude and policy on the part of the Government? I also want to quote the following from a newspaper comment today, which ends up as a question: ‘How shall we understand it when the Governor of the Central Bank is at 1 p.m. 11.00 reports that the original rental for the Norwegian krona is between 103 and 105 measured against the ecu index, while Restad insists a few hours later that the initial rental is much wider.’ ‘It is ‘total error’ to understand the monetary policy guidelines, as the Bank of Norway does’, is the Minister of Finance's opinion, according to the newspaper. My question is then: Is it possible from the pulpit to confirm – or cancel – whether there is disagreement and, if so, what is it? I just have to add a comment at the end: I think it is unacceptable that this kind of question is made the subject of newspaper polemics. Actually, it should be unnecessary to address it in the Storting, but taking into account the uncertainty that has now been created, I believe that the Minister of Finance should use this last opportunity – probably – this year to further clarify what is the Norwegian government’s vettua policy in a way that can also be understood by actors outside this room.
ParlaMint-NO_1998-12-18.ana.ud1256e490	The government’s view of monetary policy was thoroughly presented in the revised national budget. I therefore refer to it for those who want to read in detail what the Government's view of monetary policy is. It is true, as pointed out by both Hill-Marta Solberg and Per-Kristian Foss, that recent media attention has been paid to monetary policy, and that there was a look in today's business that there was alleged disagreement between the governor and me about monetary policy guidelines. There is no such discrepancy, and the notice is therefore due to the business of the day. And those who have read the business of the day thoroughly will, of course, have discovered that the finance minister has never said that the governor is wrong. It's a statement from the paper's side. In addition to that, I will not comment on what is said, either in today's business or in other newspapers, because it does not serve the matter. I agree with Per-Kristian Foss that a public debate on monetary policy is only harmful. So I don't want to do that. And to clarify: the currency regulation does not specify a central rate of fluctuation margins and the corresponding obligation on the Bank of Norway to intervene in the foreign exchange market, as we had under the fixed-rate regime that applied until 10 December 1992. The regulation therefore provides for flexibility in the exercise of monetary policy. However, the currency regulation obliges the Bank of Norway to keep its exchange rate stable against European currencies. Moreover, the level of interest rates needs to be adjusted to avoid persistent and extensive interventions. At the same time, the strength of the instruments in terms of interest rate changes and the purchase and sale of the currency that the bank can use to keep its price stable is limited. As a result, if the price pressure on the krone should be particularly strong in one or the other direction, the bank shall allow the krone price to change in the short term, but shall arrange for the use of the instruments in order to return the price to the initial rental – as it is called in the regulation. The regulation thus takes into account that the exchange rate may differ from the initial rental, such as the situation. recent, and as it was also at the beginning of 1997. The regulation states that: «The continuous exercise of monetary policy by the Bank of Norway shall be directed towards stability in the value of the krona measured against European currencies, on the basis of the price path since the start of the krona flow on 10 December 1992.» Thus, the original rental for the kroner price is not numerically fixed in the regulation. The Bank of Norway shall exercise monetary policy on this basis. It is up to the Bank of Norway to set the interest rate for the purposes of its monetary policy instruments. Let me also say that it is adopted in the government budget, and a monetary policy aimed at stable exchange rates provides a basis for moderate income settlement next year. In this way, it also facilitates a normalisation of the exchange rate and a lower interest rate. The government attaches great importance to the continuity of monetary policy. The monetary policy regime is firmly established and is an important part of the basis of income policy cooperation. That's what I feel I should say – I don't think I skipped any of the questions asked by the two representatives.
ParlaMint-NO_1998-12-18.ana.ud1256e508	I understand that the Minister of Finance wants to create peace and trust in Norwegian monetary policy, but it is therefore the case that the last few days' statements have in no way contributed to it. It is well known that the Progress Party disagrees with today's monetary policy, but nevertheless it is when the Minister of Finance and, in particular, the Governor of the Central Bank express their views on these issues, of overwhelming importance that they are clear, consensual and consistent. I haven't realized that has been the case in the last few days. I noted that the finance minister said that there was no disagreement between him and the governor, and that if you read the paper carefully, you would see that the disagreement was not there. Yes, I have read the Business of Today very thoroughly – both yesterday and today – and have not been able to see that what is there would provide the basis for agreement between the Minister of Finance and the Governor of the Central Bank on this issue. So the finance minister says that the currency regulation doesn't fix the original rental for the Norwegian krona. No, that's right. However, it is time-bound in relation to the starting point of when the krone price should be as stable as possible in relation to the ecu. And if it does, yeah, then it'll probably also numerically fix the output at the same time. What I need to ask the Minister of Finance about is: Is it the Norwegian Bank that is now exercising the practice of the currency regulation and Norwegian monetary policy, or is it the Ministry of Finance that does it – or is it a mixture of the Ministry of Finance and the Bank of Norway, a little dependent on when the Department finds reason to interfere in this issue? The council said that the currency regulation would open up so that the krona could be floated freely in the short term. My second question is, what is the short term? Now the krona has moved for relatively many weeks, and the only result we've seen of it is that interest rates have remained high, and that the krona price has further weakened compared to what you obviously think is a natural rent for the Norwegian krona according to this stability. So if "short term" is the term you're using here, it would be interesting to know what kind of delimitation you think this aspect has. But the most important question I would like to have answered was the first, namely, who is now pursuing Norwegian monetary policy? And will the Storting and the market listen to what the governor says, or to what the finance minister says about this question?
ParlaMint-NO_1998-12-18.ana.ud1256e526	The Minister of Finance said that any public debate on monetary policy is harmful. I don't want to go that far, but I agree that it may be harmful for some types of actors to at least hold a debate on this which increases the ambiguity. But I have to remember that it was not representatives of the Stortinget who started by speaking in a way that provided the basis for a significant newspaper debate, that was the Minister of Finance himself who did it, as expressed in today's Business yesterday. Once the matter has been brought up, I believe it is also our duty to contribute to the search for possible clarity. To me, it still seems to be a considerable disagreement when you read the Governor's statements and hear the Minister of Finance. And these are the following: The Minister of Finance says that the guidelines are described in particular. the revised national budget does not define as narrow an exit rent as 103-105. At the same time, it is clear that it is Norway’s Bank’s right to interpret the existing guidelines. Norway’s Bank interprets the guidelines in such a way that the initial rental is 103-105 and that the krona should return there at some point. There are two versions. There is not one version - there are two versions. I don't want to interfere in a debate about what's right or wrong – I think that's not the Storting's job in this context, but I find that we still haven't got the necessary clarification on these two interpretations. It is possible that I am poor to understand, but I find that all so-called market players, economists, who have different perceptions, such as: The Right Party and the Progressive Party agree on monetary policy as such, despite differing positions, that they do not understand what the Minister of Finance says about monetary policy. All of those who are represented both in the Financial Newspaper, in the Business Today and in the Evening Post today have this opinion. And then I think the Minister of Finance has a problem. It is possible to say that the market also has it, but it is, after all, the market that determines. And if you can't make it so clear that the actors understand it – if there's still an impression that Norway's Bank and the Minister of Finance have two different versions of what's going on, or the freedom to define the initial rental – Norway also has a problem, and I had hoped that the Minister of Finance would use this opportunity to clear up the ambiguity.
ParlaMint-NO_1998-12-18.ana.ud1256e535	I take note that Restad in his reply here confirmed that there is no disagreement between the Minister of Finance and the Governor of the Central Bank on how to understand monetary policy and how to interpret the regulations. Nevertheless, opinions have been issued in recent days that suggest the opposite. However, when the Minister of Finance uses the opportunity he has here – which he is encouraged to do – to clarify this, we have to assume that what the Minister of Finance stresses in the Storting is also the case. Nevertheless, there remains a significant problem when opinions given to the press and statements that, as I understand, have not been withdrawn indicate otherwise. Finally, I would like to stress that I fully share the view expressed by both the Minister of Finance and others here that our situation is at all unworthy of an ongoing debate on our monetary policy. The working party has also tried to comply with it and has not been an actor in the discussion that has taken place, either in recent days or in the past. But I would also like to use the occasion I have right here and now on behalf of the Workers' Party to establish that we believe it is right to stand on the policy that is being pursued. We think it's right not least in troubled and turbulent times to have peace and ice in your stomach, as it's called, to stand through the gusts of wind. We think that makes Norwegian economy, and we would like to express our full support for that.
ParlaMint-NO_1998-12-18.ana.ud1256e542	I mean the Council of State with what he said, has made it clear that there is nothing bad between the Governor of the Central Bank and the Minister of Finance in the understanding of the currency regulation that Norway Bank is going to govern. To be on the safe side, I would like to point out how it sounds: «The continuous exercise of monetary policy by the Bank of Norway shall be directed towards stability in the value of the krona measured against European currencies, on the basis of the price path after the start of the krona movement on 10 December 1992.» In other words, monetary policy is fixed and will be governed by Norway Bank according to the guidelines given, and as I have quoted here, i.e. the 1994 currency code. There is a broad majority in the Stortinget – Labour Party, Right and Center Party – who have expressed support for this through the financial settings, both revised last year, revised in the spring and no later in the latest financial setting. It is also important for us, as big-scale representatives, to help create the complacency of monetary policy that is necessary for the country to be cared for.
ParlaMint-NO_1998-12-18.ana.ud1256e556	I think I'll comment on the posts in the opposite order of what they were held. I'm not going to give too much praise to the committee's chairman, because of course he's going to stand up, and he always does, so that's what they say. It should now be lacking, because we fully agree on the monetary policy to be pursued. Let me also say that I value Hill-Marta Solberg's posts. It is a good contribution to creating the peace that I assume most of us want about monetary policy. Now there's not so much pressure here, but it's so far represented, so I have to assume that what's said by all of us here and now can be mentioned in the media. You know how little is going to happen before you start a public debate. I'm just pointing out that Per-Kristian Foss not many days ago came to speak in a way that made him have to go into today's business to clarify what he really meant. It's not easy to understand the way you want. I guess I don't have so much more to say than what I said in my previous post, which otherwise was more or less words for words exactly the same as I said to a big press basket on Thorbjørnrud yesterday, but which obviously hasn't been understood, from the headlines in the media today. Then you'll see if what I've said here, which is the same thing as was said on Thorbjørnrud yesterday, is of a kind that gives rise to a lot of misunderstanding. I again point out that the currency code does not contain any numerical fixing of the original rental. I quoted, and the chairman of the committee quoted even more thoroughly, the currency code in the field in question. That is the rule on which the central bank administers monetary policy. Of course, it is right for the central bank to define how this regulation is to be understood and to pursue monetary policy on the basis of it. So I guess there were a couple of questions that Siv Jensen asked, which I haven't answered, among other things.: How long are you going to accept that the crown is outside the original rental? There's no defined answer to that either. Now it has been approx. four months outside the rental. In 1997, it was probably about twice as long outside the rental, but it came back again. In addition to that, I do not want to define what is an acceptable period, how long the crown may be allowed to swing outside the original rental until it has to return. So it's right that Siv Jensen started with, that the Minister of Finance wants to calm down on monetary policy. I also think that other politicians should wish to contribute to the peace of monetary policy, regardless of what one might think of it. All of us, not least the country, will benefit from that.
ParlaMint-NO_1998-12-18.ana.ud1256e576	Several have not asked for the floor for case No. 10 and 11. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e584	Then we're ready for voting.
ParlaMint-NO_1998-12-18.ana.ud1256e602	A vote is taken on the proposal by Mr Ågot Valle, on behalf of the Socialist Left Party, submitted by Mr Odelstinget's meeting on 14 December 1998: ‘The government asks the Government to take into account that the period of duty of civil guardians may not be extended as a result of any increase in the number of applications for exemption.’;»
