ParlaMint-NO_1998-11-23-lower.ana.ud2382e42	The representative, Jan Simonsen, will present two private legislative proposals.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e223	There is little political insomnia that is expressed in the Innst. O. No 14th @item: inlistbox The entire committee has accepted that this cleanup done here was necessary, and has accepted a need for the principal legislative provisions and forms of organisation for the various activities that are being carried out here. The reason for this large, seemingly superior deal is that the policy is moving far by the way to other arenas. The proposition and setting have no bearing on the action to be governed by the respective law. Quite rightly, it is decided that one of these should not provide organisational forms that are customizable for authority and management in a narrow sense. The organisation of key welfare tasks has wanted the Ministry to come back to a special arrangement. However, the draft law on inter-municipal tasks has no reservation for some areas of activity. Right will continue on a continuous basis the stock laws as the relevant business and service production framework. Therefore, our view will be that the specific legislative provisions on municipal enterprises and intermunicipal companies should in practice have very limited use. Only in those companies where management tasks and service production are integrated, there is a real basis for this law on municipal enterprises and inter-municipal companies. However, even if business should be at the heart of the distribution and legal process, it is still the mixing management tasks that legitimize any special public opinion and management audit assessments. The Committee's doubts concerning the administrative director in a double role, i.e.: also as a daily renter in municipal enterprises, I believe that companies with a high level of service production, and therefore commercial activity in municipal enterprises, must be included. The Right Party and the Advance Party shall make the proposal for local freedom in the event of the grant of employee advisory rights. This is necessary since the Committee's plurality has gathered on another proposal, contrary to the Board of Directors. The Right and Advance Party sees no danger in the partial privatisation of inter-municipal power plants without renewal of concession treatment, and therefore goes against the second sentence of the fourth paragraph of Section 41. We also want to point out our remark together with the Progress Party on effective free competition in public procurement. As I said, most of the policy has shifted to how to use the laws or how a political governs disentangled activities against municipal corporations, intercommunal companies and limited liability companies. Therefore, sometimes there is uncertainty as to what would be the best legal formulation, simply related to the lack of clarity of local policy use.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e238	The President will take note that the time for the morning meeting is running out, but will propose that the meeting continue until the agenda for today is completed. - It's seen as a confirmation.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e242	It has been said that there has been little political disagreement in this matter, and that is probably true, but in some areas there is some disagreement. I'll say a little bit about it, but the starting point here is that there is a need to change, renew, improve and strengthen the public sector, and that this is part of that work. For SV, it is important to find good mechanisms that can dampen the increase in the outsourcing of competition and AS-certification in the municipal sector, because it results in a significant weakening of democracy – by democratic control, by democratic responsibility and governance. It has been stressed that, in the case of the municipal enterprise model, it is not used for key welfare tasks, at least not until further investigation has been made. And we agree. But we see that it can also be used that way, and that's one of the reasons why we have found it necessary to reinforce the view that municipal companies can have the opportunity to choose the accounting form of the Accounting Act, because we see that part of the reasoning around and wanted to use AS is the visibility of the costs that arise in such an operating form. It may also be that it is actually appropriate to make the costs visible in a different way from now. So it has been said that you perceive it so that most of what is done in this law now has been neat. I guess we disagree with some of the points, and that's the points that we've picked up, and that I'm going to refer to. One goes on publicity as a principle. Before today, the size has been the subject of the public disclosure. As you know, SV is not in the Judicial Committee and is therefore a bit difficult to put forward. However, we have promoted a principle proposal in the Chamber today which has been turned into a transfer proposal and which is based on the same principles, namely that public activities should be covered by the Public Service Act. The point of that is not that we believe that all things should be conducted for open doors. There are legal barriers that can exempt matters relating to business considerations that cannot or should not be made known to the public, and there are also in general government, which is governed by the Public Service Act, bodies which almost always lead their cases to closed doors, and which also have documents which are exempt from public disclosure by the nature of the case. So we think it's more right to have publicity as a principle, and then use the possibilities of exception. That's why we're making proposals to this effect based on a comprehensive view that applies to all forms of organisation. We also want to make use of the proportionality principle in the municipal law rules for elections to bodies under the two new laws if a member of the bodies to choose board or representation here wishes to do so. For municipal enterprises, this is okay. In the case of intercommunal companies, we propose this because we believe that this is the right principle. In terms of employee representation, the Workers' Party has also referred to SV's view, so we just stick to it. That's another side of the change we don't think is neat. It is the relationship between a municipality/municipality and this law if parliamentary form has been chosen. I am aware that the Government has intended to return to this issue in its full scope, but just as far as who is to appoint the board of directors when organising it in this way, it cannot be done in any other way than that it is the council, whether it is the council of municipalities, county councils or city councils, which must have that authority, otherwise the system will become completely undefiled. I have also understood that the letters received from the department, that there is no disagreement about this, but that in a way they are asked to wait to see it as a whole. I'm afraid that if you leave this piece standing, it could claw to relationships in some municipalities that are now about to want an AS model. And now, if you say that this insolence is allowed to exist in relation to the business model, I'm afraid that those who want the AS model will get another good argument for choosing it, so I ask the Stortinge to consider this proposal in the light of it. We have also been concerned about the role of the control committee and that it should be maintained within the various forms of organisation. I am very pleased that a unanimous committee also wants to be able to find out about this, and that you are concerned about keeping the role of the control committee. I will then be allowed to record the suggestions from SV, which are referenced in the setting.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e261	The representative, Karin Andersen, has drawn up the proposals she referred to.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e264	There have been two main objectives with the draft legislation we are dealing with today. One is to clean up a unclear legal situation related to the alternative organisation of municipal activities. The second is to provide appropriate forms of organisation for those parts of the activities of municipalities that have a commercial character. The need for such a review was highlighted in the examination of the new municipal law in 1992. The municipal law commission, which proposed the law on new municipal law, did not find it possible within the framework of its work to do this job. It was therefore recommended that this be investigated later. The need was obvious. In particular, this applies to inter-municipal cooperation. For intermunicipal cooperation, no substantial investigation work has been carried out since the 1920s. In the proposal for the law on intercommunal companies that the Government has now promoted, a substantial part of the need for the form of organisation will be covered. For the forms of organisation offered, emphasis has been placed on a balance between the consideration of municipal governance and control on the one hand and the consideration of the freedom of corporate governance on the other. This applies to both municipal and intermunicipal corporations. It goes without saying that such a bill will contain some compromises. To a large extent, the principles of company law have been taken into account. However, there has also been a need to make modifications to take account of the need for political governance. It is therefore not the way to understand this bill that it has intended to offer forms of organisation adapted to the exercise of public authority and management activities in a narrow sense. Here there is reason to place greater emphasis on considerations other than those underlying this bill. In particular, inter-municipal cooperation on key welfare tasks may provide a basis for further investigation. The legislative proposal implies freedom for the municipality to choose between an offer of forms of organisation. Whether these forms of organisation can be used for tasks assigned to municipalities by law will be based on an interpretation of the law that assigns the task to the municipality. If a hospital can be organised as a municipal enterprise, this will be due to an assessment based on the hospital law. However, a municipal enterprise will represent an alternative that is closer to the county government than the form of a limited liability company will. I noticed that the committee has made a few changes to the bill. One concerns the question of whether the employees are required to be represented on the board of municipal corporations. In this respect, the Committee has agreed that employees should have an unconditional right of representation. My proposal is based on the municipal law's general rule that no employees are entitled to representation in municipal bodies when we ignore the administrative committee. I therefore requested that the local council decide whether the employees should be represented in the company's board of directors. I don't have any bastant opinions about what's the best solution here. That could be good arguments for both of these solutions. As I said, I have been concerned that the employees of the entity should not have a special job with better rights than other employees in the municipality. The enterprise is part of the municipality as a legal person, and it is the municipality that is an employer. At the same time, however, there is reason to stress that the enterprise should serve as an alternative to, among other things. organisation as a limited liability company, and there may be grounds for emphasising the solution of company law, where employees are entitled to representation when the activity is of a certain size. As indicated in the amendment tabled by the Committee, employees may require that up to one fifth be chosen by and among their employees. This implies, at the same time, that employees are not entitled to representation unless the Municipal Council decides that the Board of Directors shall have a minimum of five members. The Committee has also made a change in the legal regulation of the accounts of intermunicipal companies. My suggestion was that such companies should initially keep accounts under municipal law. The Committee has here returned to the legislative committee's proposal, which required the company to have an accounting obligation under the Accounting Act. On this issue, too, there is a choice between private-law business and more municipal administration. The crucial issue here is not what legislation should apply. The most important thing is that the Ministry of Finance is authorised to make such adjustments as are deemed necessary in the Accounting Act. The rules on financial management in an intermunicipal company are closely linked to those applicable to municipalities. Adjustments to the accounting system will therefore be necessary if the company is to have an accounting obligation under the Accounting Act and not under municipal law. The consequence of the Committee's proposal is that inter-communal companies must be included among those subject to the Accounting Act, while providing for the basis of the Accounting Act to make the necessary exceptions to this Act for inter-communal companies. I have noticed that the rapporteur in this case, Mr Solholm, has today confirmed on behalf of the Committee that this is the last thing Stortinget wants.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e285	No more people have asked for the floor on case No. Add User-ID Succeeded [[Footing, see next column]]
ParlaMint-NO_1998-11-23-lower.ana.ud2382e299	No one has asked for the floor. [[Footage, see page 50]]
ParlaMint-NO_1998-11-23-lower.ana.ud2382e313	No one has asked for the floor. [[Footage, see page 50]]
ParlaMint-NO_1998-11-23-lower.ana.ud2382e326	Seven proposals have been put forward during the debate. It's proposal No 1, by Signe Eye on behalf of the Labour Party and the Socialist Left Party, the proposals No. 2 and 3, by Lodve Solholm on behalf of the Progress Party and Right-wing Proposal No. 4 – 7, by Karin Andersen on behalf of the Socialist Left Party. The suggestions are entered on pages 15 and 16 of the option. Proposal No. In accordance with the fourth paragraph of Section 30 of the Rules of Procedure, 3 will be sent to Stortinget. Karin Andersen – for explanation of vote.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e345	I would ask that proposal No. 4, from the Socialist Left Party, the Government, as the Government has announced that they will come back with this matter, and I think they will come back with this wording. I therefore do not want the proposal to be put to the vote. With regard to the other proposals, I ask that it be voted separately, so that it is possible to vote in favour of proposal No. 5 and 6 individually, because I've been signaled that someone might think so.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e352	The President wants to ask whether it applies to whole proposal No. Four, which is made up of a lot of things.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e355	This applies to whole proposal No. 4th@item: inlistbox
ParlaMint-NO_1998-11-23-lower.ana.ud2382e360	The President would then point out that in proposal No. There must be more proposals for transmission and the wording of those proposals must be changed so that there is a wording in line with the transmission. Is that how Karin Andersen thought it? - It'll be nod. Then the president will try to bring it in during the voting.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e365	As far as I can see, it is in the proposal No. 4 and 5 proposed texts of the ordinary law. They do not contain a'request to the government', which is the requirement of the Rules of Procedure if proposals are to be sent from there to the Stortinget and put on a map, as I see it, there is no possibility here. Either the proposal is drawn up and promoted in another way as a normal proposal in the Stortinget, or it has to be voted on in the Odelstinget, when the proposal is formulated as a legal text. I can't remember that it's ever been sent to the government's proposal from Odelstinget, which is actually a legislative text proposal.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e370	That's probably right, what's being said now. My question is then – I am asked for the President’s guidance: Is it that if this proposal is voted on today, and falls, the Government does not have the opportunity to come back with a similar proposal to the Storting in the current session and get it voted on?
ParlaMint-NO_1998-11-23-lower.ana.ud2382e375	In the regulations, there are limitations for large-scale representatives when it comes back with proposals similar to those that have been put down in the same session – the limitation applies to large-scale representatives.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e378	I would then like to maintain the proposal and have it voted on today.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e383	The President then perceives that voting becomes as the starting point, that proposal No. 4 is going to be over as it is in the setting. Mr Morene has not asked for the floor for an explanation of vote.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e489	To the second paragraph, there is an aberrant proposal, No. 7, from the Socialist Left Party. The proposal reads as follows: «In the law on intercommunal companies, the following changes are made: § 6, second paragraph, is replaced by:In the choice of representatives of the local government or county council, § 35 paragraph of the municipal law applies. Four is equal to. ‘... First, the vote will be alternated between the recommendation from the Committee to the second paragraph of Section 6 and the proposal from the Socialist Left Party.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e507	So it's going to be over the first, third and fourth paragraphs of Section 6.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e559	For § 9, there is a proposal, no. 1, from the Labour Party and the Socialist Left Party, to the new eighth. The proposal reads as follows: «The law on intercommunal companies makes the following change: § 9 eighth paragraph is replaced by:The meetings of the representative are held for open doors, unless the representative decides that meetings are to be held for closed doors, or that certain types of cases are to be dealt with for closed doors. ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e576	President! I have advised my group to vote incorrectly. I'm asking for cause!
ParlaMint-NO_1998-11-23-lower.ana.ud2382e583	Then we take the vote again.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e624	To the second paragraph there is an aberrant proposal, No. 7, from the Socialist Left Party. The proposal reads as follows: « Paragraph 10, second paragraph, shall be replaced by the following:The members of the Governing Board shall be elected by their representatives, except as provided for in this paragraph. In the election of members of the board of directors, Section 35 of the Local Government Act applies. 4 equivalent. The representative cabinet may remove at any time a member of the board that it has elected. ‘... The President suggests that the recommendation of the Committee be replaced by the recommendation of the second paragraph of Section 10 and the proposal of the Socialist Left Party.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e640	So it's going to be over the other sections of Section 10.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e676	Paragraph 12 contains a proposal for a new fifth subparagraph, proposal No. 6, from the Socialist Left Party. The proposal reads as follows: «The law on intercommunal companies makes the following change: § 12 fifth paragraph shall be replaced by the following:The meetings of the board shall be held for open doors unless the board provides for meetings to be held for closed doors or for certain types of cases to be dealt with for closed doors. ‘...
ParlaMint-NO_1998-11-23-lower.ana.ud2382e691	President! I voted wrong! I had to vote in favour of the proposal.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e696	President! I should also vote in favour of the proposal.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e701	The proposal from the Socialist Left Party is then against 7 votes not accepted.
