ParlaMint-NO_1998-11-18.ana.ud1731e27	The called alternate of the Troms County, Ruth Stenersen, has taken the seat.
ParlaMint-NO_1998-11-18.ana.ud1731e209	Carl I. Hagen can't be serious about the fact that the vast majority of acts of violence are committed by people who are addicted to alcohol, by accusing someone of wanting to return to the prohibition period. It's a total bomb shot. Neither the Prime Minister, the Christian People's Party, nor the Government for that matter has such thoughts. But one must be willing to see the context, one must be willing to see that Oslo is now among the world's most liberal alcohol policy capitals, and that this results in violence. The Progress Party must soon take the consequences of this. Then we also have to do other things, for example. insert immediate measures. The government will discuss it. I'm e.g. for my part, to also make parents responsible in relation to the children and young people who unfortunately contribute to violence and also to make Oslo insecure for, among others. older people. And in the second bill that can remedy the situation, we like to promote it, but I don't think we should believe in the simple solutions. This is also about prevention, and we need to get into the gangs and also into the immigrant communities that contribute to this.
ParlaMint-NO_1998-11-18.ana.ud1731e215	Björn Hernæs – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e218	I am pleased that the Prime Minister is now stressing an old Right demand for more visible police. We appreciate that. When the Prime Minister refers to the action plan that has been put forward, I would like to stress that there are many fine words, but it is an action plan that totally lacks money. This was also underlined during the hearing – which it must be called – that the Committee had yesterday with a cross-political sample from the Oslo City Council. Finally, there is a concrete proposal on more police in Oslo, because this is the main problem. But that proposal is then bound to take the police from District Norway. But it's not like there's a lot of police and laymen in the districts, and they're out of work waiting for new assignments. In parts of District Norway, there is some balance between the number of police officers and the work required of them. Will the Prime Minister maintain this proposal that it is the districts that are going to solve Oslo's police problem?
ParlaMint-NO_1998-11-18.ana.ud1731e227	Measures have been requested immediately, including: by Carl I. Hagen. If there are police districts that think they can deal with the police in an acute transitional phase, it should also be possible to do so. In fact, there have been police officers who have taken a positive view of it. But then there are other police officers who have been negative and who believe that they need the crew there, and then we have to respect it. It is not right that the action plan against violence presented by the Government is just full of talk. It actually contains concrete measures. And I think that herenæs should be careful with such a characteristic when Oslo's chief of police says that the plan is a good tool for her in the work in Oslo. In fact, I listen as much to her as to the representative hereafter in this case, because she is closer to the problem – with all due respect for the representative hereafter. This action plan refers to more visible police, more rapid criminal reactions, cooperation with non-governmental organisations [[President clubs]]
ParlaMint-NO_1998-11-18.ana.ud1731e236	The President recalls that the time for reply is one minute. Jan Simonsen – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e241	The number of gun threats has increased by 36.1 pst. from the first six months of last year to the first six months of this year. On this basis, the Advocate General has requested that the police be authorised to search for juvenile objects suspected of possession of weapons, if there are reasonable grounds for doing so. So you don't have to be able to search anyone, it has to be reasonable. The Minister of Justice has so far said no to the Advocate General and has reason to believe that such a search will be uncomfortable for some young people with dark skin colour, and that it may be contrary to Article 8 of the European Convention on Human Rights on the Right to Privacy, which is strange as long as the Customs Administration can demand that people dress naked without violating the same article. Is it really that the government wants to refuse the police to do their job effectively to prevent the use of weapons and knife use in Oslo, just because it can be uncomfortable for some people who are being investigated?
ParlaMint-NO_1998-11-18.ana.ud1731e250	The government does not want to reduce the effectiveness of the police in the fight against violence and the use of firearms. For a time, a tightening of the Arms Act was adopted, and that was also a step towards increasing control of the extensive possession of weapons in different environments in the Norwegian community. If the measures outlined here by Simonsen do not conflict with other important considerations, it is clear that we are willing to assess it. I do not think the Minister of Justice will be reluctant to do that either, but we have to make sure that in this case it happens in a way that does not appear discriminatory or is contrary to international conventions. I must have the opportunity to study something more closely. But as I said in my previous answer, we have to go into the crowds that contribute to the violence, in order to split them in this way and to prevent them.
ParlaMint-NO_1998-11-18.ana.ud1731e259	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e262	I want to ask the Prime Minister three concrete questions about the increasing use of violence in Oslo. There are issues that I have noticed that the Progress Party is little concerned about, so I think it is important to make them visible. Does the Prime Minister see that there may be a link between the opening hours at the points of entry and the possible prior closure of them in relation to achieving less violence, especially violence in the state of alcohol consumption? Furthermore, in relation to the Arms Act and the access to weapons — partly also unregistered weapons available in youth gangs: does the Prime Minister see that it can be a point to prevent the easy access to weapons as part of bringing down crime, in a society that has become colder, and where we see that youth gangs are formed, partly among immigrants, because they are outcast and are not accepted as part of Norwegian society? Sees the Prime Minister that there may be a link between increasing violence, among other things. among immigrants and, in part, the racist approach that politicians can also have in relation to immigrant groups, which makes them feel excluded in society?
ParlaMint-NO_1998-11-18.ana.ud1731e273	On the first question, my answer is unconditionally yes. In my view – which I also had in a line-up with Carl I. Hagen – there is a clear link between a liberal alcohol policy and violence, and the very liberal opening hours you have in Oslo, and the many appropriations that have been granted, increase alcohol abuse in the evening and night in Oslo. The police officer of Oslo has made it quite clear that this is a problem and that it is involved. With regard to the availability of weapons, as I said, changes to the Arms Act have taken place that would make this more restrictive. But it's clear that if you can also reveal that this is a problem, I'm willing to review it again. I also believe that immigration policy is important in view of the development of violence in Oslo. We need to integrate immigrants in a completely different and better way, so that they don't feel like groups that are somehow excluded from Norwegian society. It's a responsibility for them, and it's a responsibility for us.
ParlaMint-NO_1998-11-18.ana.ud1731e282	Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e285	I have a question for the Prime Minister. Today, interest rates in Norway are about twice as high as in our neighbouring countries, and in order to reduce interest rates, the government has proposed a fiscal arrangement that tightens up about 9 billion kroner. The government parties here in Stortinget have now significantly weakened that contraction, reducing it from about 9 billion to well under 8 billion, and the government itself estimates that the contraction is being reduced from up to 1 pst. up to about 0,75 pst. of the national product. The Prime Minister justifies and argues for the deterioration that the Ministry of Finance has received new reports that suggest that a deterioration in fiscal policy is warranted, as the government parties now propose. What new reports have the Ministry of Finance received to suggest a weaker fiscal policy?
ParlaMint-NO_1998-11-18.ana.ud1731e291	The Government and the Ministry of Finance are continuously assessing economic developments. Some new information has emerged since the submission of the national budget, and it has been reported in the Ministry of Finance's monthly cyclical report for October. In particular, it shows that there is a significant uncertainty about economic development, including: related to wage developments, international conditions, exchange rates and interest rates. It also shows that we have had a reduction, for example. in the case of car sales and housing investments, which may be due to the high level of interest rates. The last — i.e. housing investment — affects the situation in construction. Therefore, the parties to the Government have considered it appropriate to reject the proposal for an cyclical tax. Overall, however, there is still a great deal of pressure in the Norwegian economy. It implies a tight fiscal policy – I also said that in the radio programme that Stoltenberg probably refers to – and the main objective is to bring down an excessive level of interest so that it does not get stuck when we have so low an oil price. In response to the Labour Party in the Financial Committee, the Ministry of Finance has said that the new information does not indicate any significant changes in the assessment of the Norwegian economy since the national budget was submitted. I agree. However, the situation in the Grand Duchy has shown that it is difficult to obtain a majority of the government budget as originally proposed. Therefore, the centre batches have submitted an adjusted proposal to try to find a solution. Providing the country with a responsible budget is an independent task which, if successful, will help stabilise the situation and trust in the Norwegian economy and reduce uncertainty. In view of this, I see it as right that the centre parties have put forward the proposals they have made. They've gone a long way to find a solution. My hope is that others too will stretch to get a solution.
ParlaMint-NO_1998-11-18.ana.ud1731e298	I thank you for your answer. It is true that there are some signs in the Norwegian economy that show weaker developments than those envisaged in the national budget. But as the Prime Minister himself points out, there are signs that are primarily due to the high level of interest rates. And that's the high interest rates that we want to bring down, and then we can't take that into account. In addition, in the economic review published by the Ministry of Finance, there are many signs that there is at least as much need for tightening up now as in the past. Among other things, the growth in private consumption is clearly higher than assumed, the growth in imports is still very high, the labour market is still very tight and the exchange rate is still very weak. All of this implies at least as much tightening as in the past and does not imply the deterioration it has now brought about. My question to the Prime Minister is therefore whether he shares the Ministry of Finance's assessment that there have been no significant changes since the national budget was presented.
ParlaMint-NO_1998-11-18.ana.ud1731e305	As I said in my first answer, I shared the view that there was no reason to significantly change the assessments of economic development. But since the Workers' Party's Jens Stoltenberg is so concerned with the severity factor, there is also reason to put a critical search light on the Workers' Party's arrangements in this way. The Invention The Workers' Party has for its addition suggestions, means that they want to get cash support from families with children in the middle of a nursery year – a cash support they have based on. How realistic and responsible is this? Secondly, the Workers' Party's proposal proposes the introduction of a completely different tax regime for our shipping companies in November/December with effect for 1998. The Ministry of Finance says that it is hardly technically or practically possible. The working party also operates with a cut-off in cash. It does not affect the tightness of the budget, so I think Mr Stoltenberg should ask his members of the Financial Committee to go through the Labour Party's rigour in terms of rigour.
ParlaMint-NO_1998-11-18.ana.ud1731e310	Hill-Marta Solberg – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e313	I can assure the Prime Minister that many have gone through the budget of the Labour Party critically, among others. the Ministry of Finance has done so at the invitation of the Christian People's Party. That review concluded that the Workers' Party's alternative budget actually has a reduction of approximately NOK 9 billion. The Ministry of Finance has answered the Workers' Party's questions about the rigour, is that there are no significant changes that imply a strictness other than that of the national budget, of NOK 9 billion. Does it mean, then, that the Prime Minister defines a slight tightening of approximately SEK 1.3 billion, as in the adjusted scheme, as a slight change in the national budget? Does this also mean that the Prime Minister can imagine an even lower contraction in the economy to next year?
ParlaMint-NO_1998-11-18.ana.ud1731e318	No, the Prime Minister doesn't intend to add up to an even lower tightening, so this isn't the beginning of a slide, if that's what Solberg asked for. I have read the letter from the Ministry of Finance to the Workers' Party, and it is not quite as pink as the representative Hill-Marta Solberg now expressed. The Ministry of Finance shows what I said myself, that it is hardly technically or practically possible to make as fundamental a change in taxation towards an industry as proposed by the Workers' Party in the case of shipping companies. And if that can't be done, the Ministry of Finance writes that the tightening up of the Workers' Party's arrangements is about 0.8 pst., i.e. approx. $8 billion. In addition, the Workers' Party has to exercise the practice of exempting small children's parents from cash support in the middle of a nursery year, as the representative Hill-Marta Solberg himself has said earlier that there may be concerns. In addition, the daily allowance is cut, which does not have a tightening effect, and the Workers' Party has proposed only about half of what is needed to increase the yard support to 9 pst, as the Workers' Party enters.
ParlaMint-NO_1998-11-18.ana.ud1731e325	Per-Kristian Foss – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e328	In order to prevent the Prime Minister from responding to the request from the Right, I can only state that our severity effect after the figures entered in the submission of the suspension and after the last response from the Government is stronger than the original arrangement of the Government and the adjusted arrangement. But my question therefore concerns the Prime Minister’s own statements – if it is possible to get an answer to that question. The Prime Minister has stated on the radio that he has been informed of the latest reports that have been received and that it is possible to make a minor adjustment to the arrangement – i.e. a minor tightening. I have read the answer from the Minister of Finance. That answer does not explain any reports that warrant this, rather on the contrary. I would ask the Prime Minister to be concrete and say what reports he refers to that gives him the basis for drawing a different conclusion from that of the Minister of Finance. He himself quoted it, namely that there are no significant changes in the assessment of the Norwegian economy since the national budget. The Prime Minister then said that the severity effect should be NOK 9 billion. Now he means something else. What is the basis for this? The report is unknown.
ParlaMint-NO_1998-11-18.ana.ud1731e335	I'm not hiding that we'd rather have seen that the tightness could have been maintained at NOK 9 billion. I agree with the representative Foss that there is no report that, in isolation, suggests that it is desirable to weaken it. But a government or government party also has a responsibility to contribute to the adoption of a budget. This in itself can have such a positive effect on the confidence in the Norwegian economy that it more than offsets the reduced tightening. And with those things in context, I think this is proper. I'm going to be happy to study the Right-Last Constitution for the State Budget. Because according to the answer given by the Ministry of Finance on the Right, it ends with a decrease of 1.1 billion compared to the Government’s proposal in the Yellow Book — that is, 0.75 pst. tightening and not 1 pst. But if the Right has changed its final phase arrangement or got the Ministry of Finance's word that they have a 9 billion curtailment, I'm going to study it with interest.
ParlaMint-NO_1998-11-18.ana.ud1731e342	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e345	It is interesting to hear that there are no reports to show that there is a need to tighten up, as the Prime Minister has previously referred to. My starting point is that we have always known that the tightening that the government proposed, and that was so important, was too strong; that means that when the government now tightens a little less, it's positive, because it could mean less unemployment. But it is not particularly credible when the Prime Minister refers to reports that do not exist. The reports that probably show what the Prime Minister wants to say were already known at the time of the presentation of the State budget. There were two things about the government's presentation that were important to the government. There was a budget tightening of 9 billion, and it was getting a quick clearance of the budget in Stortinget. None of the things we can say that the government has done very well. My question to the Prime Minister is this: first, we should think of the number 9 billion that had been taken from what I know – at least 9 billion were tightened. Now we're going to think about a new number that's seven point something, and that's obviously the right number to get a fiscal tightening. Is there any reason to believe that the Prime Minister will stand on that number, and is there any reason to believe that the Government will actually put its position on it, or will it be likely that in the next round you will be able to get a budget that has even less rigour? [[President clubs]]
ParlaMint-NO_1998-11-18.ana.ud1731e355	The President asks the representative, Mr Djupedal, to stick to the timetable.
ParlaMint-NO_1998-11-18.ana.ud1731e358	In my first answer to questions about rigour, I referred to the Ministry of Finance's cyclical report for October. What it emphasises in the first place is the uncertainty of the economic development associated with several factors: international conditions, oil prices that appear to be persistently low, wage developments, crown prices and interest rates. That is why there is an important point in itself, whether the Storting can help to reduce that uncertainty, and it can best do so by adopting a budget as quickly as possible. Therefore, government parties have sought to meet other parties in order to adopt a budget if possible. That's why we've also felt good about that reduction in tightening up. But it still has to be a tight budget, I have underlined that. The business cycle reports also show in isolation that there may be slightly less pressure in the construction industry, so we have found it appropriate to propose that the business cycle tax should not be imposed. This is not the beginning of a slide against a weaker tightness.
ParlaMint-NO_1998-11-18.ana.ud1731e363	Ranveig Frøiland – for follow-up questions.
ParlaMint-NO_1998-11-18.ana.ud1731e366	I note that the Prime Minister has agreed with the Minister of Finance that nothing has happened since the government budget was presented to cause significant changes in the rigour. The reports to which the Prime Minister has referred also show that there are no significant changes. The Prime Minister actually confirmed. So my question is, when a now also refers to the situation in Stortinget, what situation in Stortinget is it that causes less rigor? Both from the Labour Party and from the Right's side, it's clear that there's a need for tightness in the size of 9 billion kroner, and the center government has added up to it. Then the situation in the Storting is so that the parties representing the Government do not detect that rigor, and then they present a new adjusted scheme that shows less rigour. Now the Prime Minister has to decide. Is that the tightness that the center part has put in now, that's right, or is it 9 billion?
ParlaMint-NO_1998-11-18.ana.ud1731e373	The situation in the Grand Duchy shows first of all that it has not been possible to obtain a majority of the Government's budget as originally presented. We have, like previous governments, been willing to extend to get a solution. It is in itself important to reduce uncertainty. We must note that there has not been a similar willingness on the part of other parties to extend. But of course, we still hope for the longest. So Ranveig Frøiland says that the Workers' Party and the Right believe it must be a 9 billion tightening. But does the representative of Frøiland really believe – now I have to ask back – that this should be done by taking out people's cash support in the middle of a kindergarten year, changing a shipping tax at the end of the year with effect for the current year – which is hardly technically or practically feasible? That's why I think there's reason to look at the tightness of several budget lines.
ParlaMint-NO_1998-11-18.ana.ud1731e380	The Prime Minister is asking me...
ParlaMint-NO_1998-11-18.ana.ud1731e385	The President must refer to the regulations, even if the question then has to hang in the air. Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e390	I have a question for the Prime Minister: When Thorbjørn Jagland took over after Gro two years ago, he was one of the more popular prime ministers in Norwegian history. In a single year he was driven into a political game and almost ended up as a washcloth as a result of an overcritical opposition and a critical press. When Prime Minister Bondevik took over, he was even the most popular prime minister ever in the history of our country. He has now been through exactly the same process, and we see this pictured in the newspaper today. Now it is Thorbjørn Jagland that appears ostrich of self-confidence with glimpses in the eye, even in colors, while Bondevik on the side of it is produced as a little grimet troll inside the darkness. I think these processes are dangerous, because they make the prime minister, and those in the government of Norway, never put any long-term plans, but they are constantly being driven into a political game where it's all about surviving from day to day. My question to the Prime Minister is whether he has any thoughts about how we can get out of this in the longer term.
ParlaMint-NO_1998-11-18.ana.ud1731e397	The President will ask Solheim's representative to stick to both a language that is suitable here, and also to the time frame, and will suggest that a little less time spent on washcloths will provide a better room for questions.
ParlaMint-NO_1998-11-18.ana.ud1731e400	I will also allow myself to distance myself from the expression that Thorbjørn Jagland ended up as a washcloth last fall. I thought that was too disrespectful. But Erik Solheim is concerned about something important: what we can do to create greater long-term policy. And it's a question I want to take deeply seriously, because the media are faithless friends, and we can't control after gallup. What surprises me about the media is how they go in a pack. If someone's made up their mind, the media are exactly the same -- just look at today's newspapers. So we can't control it. The pictures they take, and of course they use to illustrate their articles, we can't be guided by them either. Neither can we be guided by gallupes, whether it's partiality or popularity measurements. I think that as politicians and maybe also with respect to reporting the media, we should think in a little bit longer lines. I think the only way we can get out of this is that we politicians show the will to discuss more fully the fundamental issues: the environmental and resource crisis, globalisation, technological development and what it does to us, the materialism that has spread also in our society. What we need is a real fundamental value debate. And then we get to keep it, even though it doesn't always give the big headlines in the media. They're refugees from day to day, so they're faithless friends, whether it's one prime minister or another.
ParlaMint-NO_1998-11-18.ana.ud1731e409	I'm not primarily looking for a media debate, because the media we sit here have very little hand. On the other hand, we have a little more hand in reducing the political game in such a way that the media can't keep digging into political games, but have to refer to some of the important issues the Prime Minister is now drawing up. But when we let ourselves drift into a situation where we have an extremely weak government, which gets no other starting point than to survive from day to day, there won't be any room to discuss the long-term questions. Let me mention two structural issues that would solve some of these problems, and I would like the Prime Minister's comment. It is obvious that a majority government that can count on a long-term outlook in relation to the Storting is in a completely different situation when it comes to making long-term plans and raising the kind of debate the Prime Minister mentions, than a very weak minority government like the one we now have. And besides, when we allow ourselves to drift into a situation that is unique across Europe, where the party that is on the absolute extreme right wing has decisive influence in politics, we are also in a very special situation.
ParlaMint-NO_1998-11-18.ana.ud1731e417	I have never concealed that there are great advantages to a majority government. I myself have been in both majority and minority governments, and in this way I have experience with both. A majority government, as the party policy pattern is in Norway, will have to contain greater tensions within the government, but of course it will have greater opportunities in the UK once it comes to a policy. A minority government has the advantage that there is greater conformity or less tension within the government, but it has bigger problems in the Storting. As far as I can see, there is no majority government option in Norway today. That's why we have to rely on minority options. That's the situation. In that situation, I believe that a central government is the one with the greatest freedom of action to obtain support from various parties, which this government has also done for the first year.
ParlaMint-NO_1998-11-18.ana.ud1731e426	Trond Giske – for follow-up questions.
