ParlaMint-NO_1998-11-13-lower.ana.ud413e36	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_1998-11-13-lower.ana.ud413e128	In the opinion of the municipal committee on changes to the law on housing structures, housing law and ownership sections currently under consideration in Odelstinget, the majority, all with the exception of the Progress Party, will agree that municipalities, counties and state will be granted the legal right to purchase up to 10 pst. of the dwellings of Norwegian housing law. The aim of these changes shall be to provide more rental homes in the existing housing environment for refugees, immigrant families, drug users, criminals, social clients and other socially disadvantaged individuals. And of course, some of these individuals that are targeted by the law also need a place of residence. But increasingly wanting to place partly heavily burdened people living very closely with older and lonely people, along with children and families with young children, is mildly a frightening idea. For the question is, are some of these individuals looking for changes in the law, at all, into a living environment with children, families with young children and the elderly? More fear and insecurity, more troubles and much more stressful conflicts between residents of the housing laws can be the sad result of the adoption of these legislative changes today. The right to live in a pleasant, quiet living environment is a very important prerequisite for people's quality of life, and this right, in my view, will be weakened for many people by these changes in law. Many who live in housing camps are deeply concerned about what may happen, and surely for good reason. The responses from the housing laws to the proposed changes to the law that we are dealing with today have also been many and powerful. Unfortunately, during the examination of this case, it turned out that only the Progress Party has been willing to take account of the clear signals that have come from the housing camps around the country. The Progress Party then also rejects the entire legislative amendment, with only a few minor exceptions. A collective housing cooperative has also opposed all or part of the proposal from the Government, but this has not made any particular impression either on the Workers' Party, on the Government, on the Right or on the SV in their view of this matter. It is indeed a worrying democratic paradox that no more attention has been paid to the clear points of view that have emerged from the many changes in these laws that will primarily affect them. In Norway, there are currently about 250,000 apartments organised in housing and housing laws. Of these, the municipalities today own almost 2 pst., corresponding to approx. 5000 dwellings. Mathematically, this number can now increase up to the three-four-five-fold, to 15 000-20 000-25 000, by legislating to increase the municipal ownership from 2 pst. to 10 pst. in housing laws. The applicable right of residence law states that only natural persons are initially allowed to acquire shares, i.e.: apartments in a law of residence. But the same law nevertheless opens up so that the housing laws themselves, on a voluntary basis, can fall into their statutes that non-physical persons, so-called legal persons such as the municipality and state, can buy up to 30 p.m. of the shares of the residency team. Therefore, on such a voluntary basis, several of the country’s around 4000 housing laws have already opened up a 10 pst. municipal ownership or more in its statutes. But then they control this for themselves. I believe that this must continue to be based on this right of self-determination and the free will of the law of residence. And there would be good reason to believe that as long as the municipalities continued to acquire housing in the housing laws on a voluntary basis, this would help to create a better atmosphere for a constructive dialogue between municipalities and housing laws in order to create the best possible management of the housing that the municipality could be allowed to purchase in the housing law on a voluntary basis. To date, as mentioned above, this has been a voluntary scheme in which the individual housing law itself has been able to determine whether they want the municipality to purchase apartments for rent. On the other hand, the imposition of a coercive system that deprives residents of a substantial part of the right of self-determination and of the right of governance over whom they wish to sell could therefore be very provocative on the regimes and residents of the housing laws. Going from civil volunteering to public coercion is by no means a good strategy if the aim is to create the best possible climate for cooperation between the housing laws and the municipalities. This new coercive mechanism may make good cooperation between municipalities and settlements difficult to facilitate a more successful integration of the individuals it is primarily talking about in this context. With these unpopular legislative changes, municipalities can get the housing laws against each other, and this is a very poor starting point for necessary cooperation on the most combustible realities of the case. Another aspect is that an apartment in a housing bed with a poor living environment could be significantly reduced in price and the owner would have to bear the loss of any sale. This is going to be unfair. Nor do you ever know who will become the new property owner in the municipal housing companies. I would like to say that with these legislative changes, at least more of the tenants will be alien cultural refugees and immigrants, drug addicts, criminals and antisocial troublemakers, all of whom will be able to contribute to creating problems and to complicate the existing living environment and create major challenges for residents in many settlements. These problems are already big enough as they are several places with a modest municipal ownership of maybe only 2 pst. The question is whether the problems will increase accordingly and in even more housing laws when municipalities can increase their holdings to a total of 10 p.m., yes even, as I was in a line, up to 20 p.m. in a housing law where there are five apartments. In the past, local authorities have not shown any particular action and willingness to take responsibility in cases where the municipality has placed problem-creating individuals in municipally owned apartments in housing law. The municipalities now need to take their responsibilities far more seriously than before when this new law is introduced, and we hope that this is at least partly ensured by providing our support for a proposal to establish more formalised cooperation between municipalities and housing law. The Progress Party will therefore inform us that we will agree to a new fourth sentence in the fourth paragraph of Section 10 of the Housing Building Law in order to oblige the municipalities to take more responsibility. But it's anyway with a bad and bad feeling I see that the other parties are drumming through these changes when you know how much resistance there is to this around in many of the country's 4,000 settlements with maybe half a million inhabitants. As legislative politicians, it should be our first duty to listen extra well to all those who can unsuspectingly be affected in an unlucky way by the laws we adopt. I cannot see that the number of committees has listened very well to the most interested parties in this matter. I can't, even with my best goodwill, see that any parties other than the Advance Party have been willing to take the reactions of whom these changes of law will hit in the first place, in full seriousness. The Progress Party has done this by taking a clear approach to the main points of the legislative amendments that have been tabled. It is therefore with a clean and good conscience the Progress Party today as the only party, at least the only large party, on the Norwegian Grand Prix, will vote against the proposed legislative changes that we are now discussing.
ParlaMint-NO_1998-11-13-lower.ana.ud413e166	It's going to be line change.
ParlaMint-NO_1998-11-13-lower.ana.ud413e170	It's good this weekend. You can easily get a little sad when you hear the articles of the Progress Party in such a difficult case. I think the broad majority of the committee can agree that this is no simple matter, and there are no parties that have taken light of the challenges we have faced. It is actually wrong when the representative Andersen points out that the housing laws go against the changes in the law proposed by the Government. In fact, several of the housing laws and agencies that have expressed opinions on the bill through hearings understand the bill, and from the general point of view of housing policy, they are generally in favour of measures that could lead to more orderly living conditions for those seeking housing, as stated in the proposition. So that's how Andersen's representative is wrong. He says, do these individuals fit in normal living environments with young children, older and lonely? Yes, what kind of individuals is Andersen's representative talking about? I'm talking about a wider range than what he defined as multicultural and immigrant. In a society where economic cycles are rising and falling, there will be variations in individuals who are in a difficult situation and who need support and assistance to obtain their own housing. There may be young families with children who have problems getting owner-occupied housing and where the municipality has been given responsibility to provide accommodation for them. And if they couldn't live in an environment with other families with young children, or older and lonely, then I don't know! Where is the Progress Party going to start when they're going to place these individuals if you don't want them located in normal living environments? Do you want to place them on Jan Mayen? That must be the question for the representative, Andersen.
ParlaMint-NO_1998-11-13-lower.ana.ud413e175	I can assure the representative Odd Eriksen that if there were only small children's families, the type of residents, there was no big problem, of course. But the point is that it is clear in the proposition that the purpose is to provide housing, among other things. to refugees, immigrants, drug users, and of course to many who currently live in housing camps. And of course, this is a difficult matter. As far as the representative Odd Eriksen was concerned, that the law of residence has approached the municipal committee and been positive, it does not harmonize with the requests I have received. They have said that they will still have this on a voluntary basis, as several housing laws have stated in their statutes that they are in favour of the municipality being able to take over shares of perhaps 10 pst. Thus they believed that the intention of the law had already been fulfilled for many settlements, and that it was superfluous, but they wanted to preserve self-determination and self-determination. It's not being taken care of, and it provokes the law of residence. I absolutely agree with the representative that this is a difficult matter, but perhaps the representative, Odd Eriksen, should have thought a little more about it and possibly heard more about the signals that, after all, have come from the law. For they are not at all positive to the law, they are essentially negative to the law and the changes in the law that we are dealing with today.
ParlaMint-NO_1998-11-13-lower.ana.ud413e184	I think the Progress Party should think through its answer to one specific question: where do they think that those who have problems in our society should actually live, and will there be a better urban environment by placing the immigrants in the ghettos, the drug addicts in the shelters, the children of drug users in the shelters of other drug users and not integrating them into the usual living environment? I understand that you can choose to say that it is voluntary, you have to try to find other solutions. I think that's right. It should always be the main device, in any case. But I think it's the post that Torbjørn Andersen had, to me, poses a big question about what the Progress Party really thinks about where those who have problems in our society are going to live, whether they're not going to be integrated into the usual living environment, and how, for example. Immigrants and aliens must learn Norwegian if they are not to live in the vicinity of Norwegian neighbours and in normal living environments, so that they can actually be integrated, learn Norwegian – work in our society. The different messages the Progress Party is trying to use are not related. But what I think is most strange in this case is that the Progress Party, when we dealt with the law of the same, was in favour of a much more radical position when it was about how many apartments in a community a municipality could buy. They went in too freely. The majority of the population went in to have a 10 pst. limit there, which is the starting point for equality now, but the Progress Party and the Right went in for, from the free market’s thinking, freely ahead – the municipality could buy half the house. Why should those who live in housing camps have greater protection over who becomes neighbours than those who live in a joint? It is not linked in the view of the Progress Party.
ParlaMint-NO_1998-11-13-lower.ana.ud413e193	The representative Erna Solberg addresses an extremely important, timely question. I would like to divide my answer into two. First of all, I would say that with our policies maybe the problem wasn't that big. We had far fewer refugees and immigrants with our policies, and it had reduced the number that today needs housing. We want to speed up the expulsion of asylum seekers and want fewer people to stay on a humanitarian basis. So our policy would reduce the number of people who need access to these municipal housing. In general, I would like to say that when it comes to placing people who, under social law, need housing that the municipality needs to provide, some of them should be placed first and foremost in a more unfamiliar environment outside typical residential areas. That's my opinion. And we have to respect that people want to live in peaceful surroundings. It is not possible to just place anyone in normal accommodation. It has to take all of the games inwards. We must respect the fact that those who live there have the right to live peacefully. And when, for example, For criminals, our party will have a more stringent criminal policy, which might have led to more people staying longer inside the walls. In the case of some drug users, I would say that residential settings with treatment facilities would be a better alternative than placing them out among young children, older and young children’s families.
ParlaMint-NO_1998-11-13-lower.ana.ud413e204	I understand that parts of the Housing Policy of the Advance Party are about keeping people in prison longer, and that it is going to solve this situation. To look at that side of it, I think we should have other criteria. But I want to take some of what Torbjørn Andersen said, namely the right to live. We have the right to live – even in safe and good residential areas. Is it so that this right is just for someone, or is it about the right to live well and through it maybe get a better life, for everyone? I could also imagine asking if Torbjørn Andersen has any numbers that can verify that most of those who will be affected by such a scheme will actually have such problems that it will be difficult for them to live in a common settlement? I don't have any numbers to show it. On the contrary, these are small exceptions. Then the representative made some very special claims and also wants those who have problems in society to be sent to unseen areas outside common residential areas. I do not know if you intend to get this into the regulation law or how you intend to attack this. Where in the policy of the Progress Party can we now expect to find such proposals? Is it when we deal with the gross domestic product of housing for disadvantaged and young people? Finally, I would like to address some of the things the Progress Party has done now, and as they always do, namely that they mix crime with multiculturalism, and even use terms such as ‘social troublemakers’. Can the Progress Party today say whether it is possible to judge or estimate, on an ethnic basis, that a person is a social or a criminal and therefore not fit to live in settlements with others?
ParlaMint-NO_1998-11-13-lower.ana.ud413e217	I noticed that the representative from SV, Karin Andersen, followed up what Erna Solberg from the Right was inside. To start with, when I mentioned prison, it was just a marginal, small contribution. In the case of criminals, they should probably be inside the walls for a little longer than they do. When it comes to the right to live, I was asked about the right to live for everyone. It does, of course, but it's not that the right to live is the same as the right to bother others. That's got to be pretty important. The right to live is not the right to offend others in the places where they had to live. There's an important distinction, and there's a consideration that we can't get out of. The representative, Andersen, grasped some of the things I was in my post, about crime, about the multicultural, and the word "social" was mentioned. Of course, when it comes to mixing multiculturalism and crime, it is premature to claim that there is a firm link between these two things. But at least it is so that multicultural people have a different way of acting that can create problems in housing laws, regardless of whether what they do is criminal. It doesn't have to be at all. But some things can actually create conflicts, I personally have some examples of that. Of course, these are things that you have to try to find solutions to. [[The President clubs.]] To stop, I would like to say that I believe that what I have been involved in my post has absolutely its importance and reality.
ParlaMint-NO_1998-11-13-lower.ana.ud413e230	The cord shift is over.
ParlaMint-NO_1998-11-13-lower.ana.ud413e233	Most of us will probably receive us to have neighbors who create problems for us in everyday life. That's how much we should admit, and I understand that very well from many of the letters we've received from housing companies that don't want to get social problems into themselves, because it creates stress in everyday life, it creates problems, and it also causes you to get yourself a degraded living environment. On the other hand, we live in a complicated society where there are people who fall outside for various reasons, who have mental problems, who have drug problems and who are simply in an economic situation that makes them need help to get a home. There are quite a few of those who get help from housing offices around the municipalities, who just got into an unhappy situation and have a bad economy and need help, they're lonely caregivers and others. So the question is, what is the answer to that? Should our answer be that we want to have a housing policy where the municipalities have a responsibility, but where they only build different institutions, own furniture, own homes, and isolate them from the usual living environments? I think it's right what you've said, that you place as many people as you can out there as you can. The starting point is that you don't place people in a normal environment you're sure they can't work, but that those who can should be there. In the case of refugees, it has an impact on integration. If they don't get in touch with other Norwegians, they don't learn Norwegian, and you have to take the consequences of that. So in the case of refugees and in the case of immigrants, we see the problems if there's too much ghetto. As far as the reform we are working on in the field of psychiatry is concerned, it is a question of trying to integrate these people as much as possible into normal living environments, into normal working environments and trying to get them out of the institutions — treating them and making them work as best they can. Then we have to have housing policy tools to provide them with housing. Although the Right agrees with the principle that housing cooperation should preferably be found on a voluntary basis, we see it that when all municipalities that have expressed themselves in connection with this proposition report on the need for such a legal support because they feel that more and more people say no, we must give the municipalities an instrument, because we do not want the ghettoization, the furniture houses and the shelters as housing options for all those who have difficulties in our society. But in the opinion of the Right, this at the same time places a great deal of responsibility on the municipalities, because it is the municipalities that are responsible for ensuring that the living environments around us are good. And here we know that the municipalities have failed in the follow-up of those who are outposted. The fact that this section of the law does not have to become a sleeping pad was quite essential for us during the discussion of the question of giving the municipalities such access. Municipalities can't just get a place and then forget these people. We know that people have different living capacity, different ability to function in a living environment. There must be simpler mechanisms to get out those who are unable to function in a normal living environment than it is today, where some housing laws have reported that they have to go to court for expulsion, because they do not meet anyone in the municipality who takes responsibility, they are just sent from office to office. This is why the majority have agreed to create a cooperative body to deal with these problems, not because the creation of a new body necessarily solves the problems, but because at least it provides a responsible and committed place to deal with the problems. The right has distinguished at one point, and this relates to the size of the right of residence in relation to the right to purchase the share. Here we think you need to have a little bit more mathematical organization in terms of the 10% rule. Or rather, we believe that giving the municipality the right to buy one of five apartments in a small housing law can be too tough if problems arise first. It is too few to deal with the work in relation to the municipality and others, and we therefore believe that this is a change in law that fits better in the larger housing laws than in the very small housing laws. Now there aren't so many settlements that only have five dwellings, but in some of the rehabilitated settlements in the cities, there are old settlements that have been converted into settlements. I do not think it will have such an impact in relation to the municipality's offer to buy. But it's going to be a pretty heavy burden if someone first creates problems, and there are only four others in the housing team who are going to deal with it, and you can't distribute it to any more people. Therefore, the right has a separate bill in the setting that I will be allowed to record. We want a balanced living environment, and that's why we think we need to have this paragraph. We have to make sure to have a social policy in this country that can work in a way that doesn't seem stigmatizing, but that can treat those who have problems, and living in a normal living environment will actually help to do it better. As a consequence of the Right's right-to-freedom in the case of the condoms, because we don't want the kind of restrictions that the majority of the Stortinget put into the law of the communion, namely that legal persons couldn't buy more than 10 pst, we also think it logical that the housing laws should not be the only ones that have this exclusive right to choose away neighbors who could create problems. I think that the Progress Party in this context is very illogical, because they stood on the same free arrangement as us when it comes to the joint – and the majority of the tenements in Norway are organized as joint – while in the case of housing laws you want to have an exclusive right to choose from neighbors you don't like. We think that everyone here has to be involved in taking a load. But we think it is important to stress the responsibility of municipalities to ensure, when they have a means of not making ghettos, that this tool is not used to take over too many social and housing problems in the same narrow area. We have to give this responsibility to the municipalities that they follow it up with good living environments. I feel that both Oslo and Bergen, which are the cities I know, have come to recognize that some of the social policies that were pursued in the 1970s and 1980s, where people in some parts of the city, including municipal homes, are now on their way back, because they see that creating poor living conditions for the whole area, making it impossible for a living environment to function, not only for those who are direct neighbours, but for the whole area, the school community. These problems have to be distributed a little better in urban environments.
ParlaMint-NO_1998-11-13-lower.ana.ud413e261	The representative Erna Solberg has drawn up the proposal she herself referred to. It's going to be line change.
ParlaMint-NO_1998-11-13-lower.ana.ud413e266	What disappoints the People's Party on the Right's position in this matter is that, contrary to what has been traditional Right's policy, the Right's aim is to strengthen the public's demands to follow up those who lack housing and to pursue a better and more offensive housing policy, now, instead, the problems are affecting those who live in the housing laws, the problems that the public has created. Now, notice, here's an ideological reorientation in the right. Earlier, when the Right was to be revitalized in the 1970s, self-ownership democracy was the fundamental position in the Right. Lindebräck, Syse, and other central right - hand politicians all called for the Right to promote self - ownership democracy. And the argument here is very important to notice. The crucial thing is to have ownership, because it increases the commitment and sense of responsibility when you own something and are responsible for something. What the right is doing here today is going the opposite way: you allow the number of legal unit-holders to increase. My question to Solberg's representative is therefore: does this imply an ideological new orientation from the Right?
ParlaMint-NO_1998-11-13-lower.ana.ud413e275	This does not imply ideological reorientation by the Right. What has been the difference between the views of the Progress Party and the Right for all years has been that when we talk about freedom, self-democracy and everything else that is important, we have also always talked about social responsibility, about a social security network and about taking responsibility for the weak in our society. Sometimes you have to weigh some issues against each other, and this time we have assessed it so that even the weak in our society have to get the best possible offer so that they can function in society. Giving them the opportunity to live in an ordinary living environment is the best thing we can do for most people to work well. I think you should never forget to talk about social responsibility in a conservative ideology. What we're doing in this context is strengthening the public demand. We are now introducing a requirement for a body to address the questions, where to follow up those who have poor living capacity, and where to follow up much more closely than what the municipalities have done today. Then I will come back to what was not answered from the Progress Party in the previous round – self-ownership democracy. Is it just people living in housing camps? Does it not also apply to those who live in the same home? The progress party meant something quite different when we dealt with it two years ago – that is, freely rather than buying. So then the municipality could own e.g. 50 pst. of a joint.
ParlaMint-NO_1998-11-13-lower.ana.ud413e283	I would like to say, via the President, to the representative of Solberg that my point here is that you already have very bad experiences with 2 pst. And then, in my opinion, it makes it worse by raising to 10 pst. A relatively loose opinion has been formulated on the need to have a cooperation committee to look at this. The solution must be, to show social responsibility, to put stronger leadership on the public and not to push this on those who are often in a social housing trap. The problem is that there are large social distortions in this area already today, because most of those who have social problems etc. are located in the areas where there are lowest prices of homes, they become concentrated, and then you get the getto effect that Erna Solberg says she doesn't want.
ParlaMint-NO_1998-11-13-lower.ana.ud413e288	I do not believe that a law paragraph is a loosely worded comment in a setting. It is a legal paragraph that establishes this body as a mandatory cooperation body between municipalities and housing law. In addition, we have asked the Council of State to follow up on this matter, both in terms of concentration in the various urban areas or cities and areas, the use of local authority purchasing opportunities and the follow-up of local authorities to the responsibility they have to ensure that those living in a municipal rental dwelling do not impair the living environment. We expect that if there are major problems with this paragraph, we will come back to the Storting with an assessment of the additional measures to be taken. I trust that local politicians around take responsibility for their living environments and take responsibility for what they do. These areas have been much more focused in recent years, and I have experience, among other things. from my home town of Bergen where there was a reasonable degree of renovation in a part of the city where you had had too much accumulation of social clients. There was simply a separate action plan for the Loddefjord district, just to limit the municipality's ability to use it as an area to place its social clients, because there was the lowest cost of buying apartments throughout the city. I also feel that the City Council in Oslo today thinks in greater terms about the issue of managing the housing environment, among other things. as part of the action program we have for Oslo in the inner east, so I feel that the vigilance in these areas is much better. Back to the Progress Party: The problem for the Progress Party is that they have no answer to what we are going to do with the concrete problems we have, namely that there are people who are going to need help from the municipality to find housing. It may be easy to be critical of others, but the Progress Party has no answer to the most important questions of responsibility for the weak in our society.
ParlaMint-NO_1998-11-13-lower.ana.ud413e295	No more words have been asked for.
ParlaMint-NO_1998-11-13-lower.ana.ud413e298	The housing situation of many disadvantaged people — whether they have poor advice or there are other reasons why they need help to obtain housing — is problematic. There are too few dwellings available, and there are too many prices in terms of both purchase and rental. That's why the law we're dealing with today is just a little bit of what's needed to make the housing situation for disadvantaged people better than it is today. The people we're talking about now are people who have bad advice, often combined with other problems, and people who have so complicated problems that they need help getting a living. But the starting point must be that everyone has the right to live, that they also have the right to live well, and that they have the right to live with others if they want to – that is. that society does not have the right to isolate people in uninhabited areas if they have problems. SV is in favour of this amendment, but we will warn against believing that it will be essential to bring about a real and big change for those involved. There's a lot that needs to be done. There are several issues in the municipal committee to be dealt with over the winter, and consideration of these issues will determine whether there will be a comprehensive policy in this area. We are about to start examining the 1999 budget, and part of the local authority's ability to discharge its responsibilities in this area will also be determined. The responsibility is great, and some of the problems that have been raised today come from the fact that the municipalities have not followed up the responsibility they have to help people live in a way that creates the least possible problems. Very many people need follow-up, housing guidance, treatment and rehabilitation. That's why they've come into the situation they're in, and they don't get out of it just by getting hold of their heads. It is therefore important that we point out this responsibility from the Committee and that we point out that the municipality has a responsibility before the problems arise. There's a point to be leading was here and assisting, so you can avoid conflicts – that must be the best. The municipality is also responsible for providing housing and spreading it – it is very important. In order to achieve this, we need to bring in completely different arrangements with regard to loans and grants in order to raise a sufficient volume, so that the municipality has enough housing and the ability to buy them where they are now expensive. It has been pointed out before today that there have been trends in ghetto formation. Yes, it does, because it is more expensive to buy homes in so-called better strips of the city than in others. And if we want to avoid ghettoing, we have to make sure that the municipalities can afford to buy homes and spread the housing purchase beyond so that we reach the goals we want. The size is also responsible for housing support schemes in addition to loan and grant appropriations. It must then be possible to create a fairly large non-profit rental market – much larger than what we see today. The construction of student housing will also be important. If you get a proper volume on the student housing market, it will significantly ease the pressure on the rental market. The size has a great responsibility for the arrangement we are now adopting, not for the problems to be pushed from the municipality to the individual housing law and to neighbours, as some claim have sometimes happened – and so it does. The experience of some types of housing law is poor, and therefore a system of cooperation has been proposed for municipalities to deal with the conflicts that arise. It may be difficult to live together, so the responsibility of the municipality must be emphasised, and it is preferable to get in before the problems have arisen. Few of those who receive housing receive housing, get or create problems — no more than most of us do. It's different ability to live as good neighbors, it's fairly evenly distributed among the population. Some conflicts may also be caused by the fact that the so-called normal neighbours can also be a little difficult to deal with. However, treatment, follow-up, rehabilitation and social policy instruments are the responsibility of society, and this needs to be strengthened. Humanity is important and we have no right to choose away and choose not to relate to those who have problems.
ParlaMint-NO_1998-11-13-lower.ana.ud413e314	It's going to be line change.
