ParlaMint-NO_1998-12-10-upper.ana.ud2094e110	This case is deleted.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e306	With reference to the consideration of this matter at Odelstinget, I would like to make the following proposals on behalf of the Workers' Party: ‘The decision of the nodule is not accepted.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e330	Erik Dalheim has taken up the suggestion he referred to. Several have not asked for the word.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e340	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e352	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e366	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e381	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e397	With reference to the debate in Odelstinget, on behalf of the Labour Party and the Socialist Left, I would like to make the following proposal: ‘The decision of the nodule is not accepted.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e430	Erik Dalheim put forward the proposal he referred to.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e433	I should like to refer to the debate in the Odelstinget and the views of the Progress Party on this major and important issue of the tax regime and the amendments to the laws contained therein. We made a number of proposals. We didn't get a majority for anyone. We stand firm on what we said in Odelstinget, and we want to work on these issues, but we see no need to re-open proposals here in Lagtinget today, because we don't have a majority for any of them.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e438	It is with a certain risk that we must again note that we have co-existed with the Progress Party in Odelstingen on amendments and must only take note that, as the largest of the two parties, the Progress Party has not failed to make proposals here, nor has it informed the Right. So we just want to refer to the debate in Odelstinget and our vote there.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e443	This is the second time this is happening during the Lamentations treatment today. It's okay that you should be a big brother and have a responsibility. We have assumed a responsibility in these matters. Up through the time we have had joint proposals in the Creation, the Progress Party has, of course, taken the position and we have put forward proposals. The main reason why we have not promoted these proposals today is that we have had a discussion – I have to repeat it – with our fraction in the Financial Committee, and that a settlement has been reached with the intermediate parties, which have also been on the Right. If the Right had been of a different opinion in these areas, it would have been possible to pick up a phone and contact our team. We just haven't heard a pipe from the right as long as we've been doing it here in Lagting. If it is to be understood that we in the Progress Party are to be criticised for having dealt with the agreement we have concluded with the Centre parties, the Right will be strengthened for later and give notice through a dialogue. In the media world we live today, it should not be difficult.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e452	I don't want to risk this becoming part of the Christmas entertainment for Lagtinget when we first have such a long case list. I just think that it's in place at least to point out what we're experiencing here today. We're going to check, of course, that the Progress Party behaves as we usually do in the Stortinget, Odelstinget and Lagtinget in terms of the size of the party, and who is responsible for making proposals. But for security reasons, we will check with the Progress Party in front of each meeting that they have done the job we expect them to do.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e457	Several have not asked for the word. There will be a vote on the proposal tabled by Erik Dalheim on behalf of the Labour Party and the Socialist Left Party.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e467	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e479	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e493	I should like to refer to the debate in Odelstinget on this matter. I do not think there is a risk that I will get the representative Bastesen on my neck even though I am not promoting the joint proposal we had in Odelstinget regarding changes in the fourth paragraph of Section 23-3. It was rejected. I would refer to the debate, and the Progress Party will of course, through its political work, take this up again in appropriate forums, but we see no need to re-examine this proposal.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e500	To what extent, sir. The Bastisen is briefed on the attitude of the Advance Party, I will not interfere with it. On the other hand, I am delighted to refer to the debate in Odelstinget and to make the following proposals on behalf of the Right: ‘The decision of the nodule is not accepted. Note: the fourth paragraph of Section 23-3 is assumed to be replaced by the following:‘No charge shall be paid if the income does not exceed NOK 25800. The fee shall not exceed 25 pst. of which part of the income exceeds NOK 25800.»
ParlaMint-NO_1998-12-10-upper.ana.ud2094e514	Siri Frost Sterri has put forward the proposal she has now referred to. Several have not asked for the word.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e524	The President will draw attention to the need for a vote.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e527	Erik Dalheim went before case no. 13 was taken up for voting.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e534	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e546	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
