ParlaMint-ES-GA_2019-06-26-DSPG122.u1	Good morning. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u17	Thank you, Mrs. Pontón.
ParlaMint-ES-GA_2019-06-26-DSPG122.u18	Of course you're not the president that Galicia needs.
ParlaMint-ES-GA_2019-06-26-DSPG122.u19	Your time is up.
ParlaMint-ES-GA_2019-06-26-DSPG122.u20	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u21	Thank you. Close the question, president of the board.
ParlaMint-ES-GA_2019-06-26-DSPG122.u22	Certainly, to listen to Mrs. Ana Pontón ask the advisors for respect for what she says, after calling the president anonqui, as you can imagine... you contradict yourself every thirty seconds! Mrs. Pontón, talk about the Bipartite... look, I have a lot more respect for the president and vice president of the Bipartite than you, no doubt. It is true that on one occasion the Council met to approve the celebration of the daughter of Boqueixón of Greek interest - that is true - as the only item on the agenda. I criticized him when he was in opposition. That you criticize me for the advice of the Board is a surprising thing, Mrs. Pontón. Do you think a president can't meet with counsellors and can't hold a meeting with high government officials? Does that sound like a propagandistic proposal? Do you think the government's coordination meetings are propaganda? I understand you've never been in a government, and you don't know what the coordination of a government is and what the government is. That's a big difference between you and this government. [[Applause]] In any case, Mrs. Pontón, since she talks about terrorism, last week you missed a great opportunity to change your mind within German nationalism. Instead of taking advantage of the arrests of the fugitives of justice, suspected terrorists of Galician Resistance, the only terrorist band that exists in Spain, you last Monday, instead of congratulating the state's security forces and bodies, asked for presumption of innocence, which I think is good, but you were far more prudent toward those two alleged terrorists than towards any political rival who is accused or called to declare a trial in Galicia. And in his press round, Your Honor, he deserved more reproach from a BNG candidate for accepting PP votes than those alleged terrorists. That's why, Mrs. Pontón, speaking of the BNG of terrorism in this House is simply not to remember, and to the Greek nationalism so goes, Your Honor. [[Murmurs.]] He's talking about changes in criteria. But what are we talking about? Since 2004, when the BNG was in electoral coalition with the Basque Nationalist Party and with Convergence i Unió, that is, the bourgeois right, to understand us, in Basquedi and Catalonia? Now it turns out that this same BNG goes into an electoral coalition with Bildu and the Republican Left of Catalonia, that is, Catalan independence and the heirs of Basque terrorism. Yes, Your Honor, there are militants in Bildu who have firm sentences for terrorism. [[Protests.]] Yes, Mrs. Pontón. Terrorist lessons to the People's Party, the BNG, none, Mrs. Pontón, none! Could not connect with command "%s": %s. [[Applause]] But, Mrs. Pontón, what kind of change of mind do you talk to me about? In 2015, when they arrived at all the deputies - after losing the elections, as the BNG always does - they said that they had to break down these deputies and move their powers to the municipalities and the Autonomous Community. And now it turns out that in 2019 they return to the Deputy of Lugo and the Deputy of Coruña — after they have lost the elections cryingly — and the exclusive dedications are distributed? What are you talking about? From what Mr. Orozco said he couldn't be mayor of Lugo, and now it turns out they're co-governing in Lugo with an equally accused mayor like Mr. Orozco? What kind of change of mind are you talking about, Your Honor? [[Murmurs.]] From the change of criterion of ruling with Citizens in Malpica de Bergantiños? Or don't you remember where the Spice of Bergantiños is anymore, Mrs. Pontón? Look, Mrs Pontón, it is ironic that a Member who voted against the transfer of the freeway from the Atlantic comes here to speak of a change of opinion. [[Protests.]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u23	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u24	I know he's laughing. BNG always laughed at everything that bothers him. Could not connect with command "%s": %s. [[Applause]] Yes, Your Honor. Or to speak of a change of opinion of a party that blessed the Government of Spain to invest 8% of the general budget in Galicia...
ParlaMint-ES-GA_2019-06-26-DSPG122.u25	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u26	and that was all a historical event, and then he took us back because that same government of Spain invested a ten, a twelve, a thirteen and a fourteen percent of the State budget in Galicia.
ParlaMint-ES-GA_2019-06-26-DSPG122.u27	Thank you, your time is up.
ParlaMint-ES-GA_2019-06-26-DSPG122.u28	That's why, Your Honor, for criteria, yours.
ParlaMint-ES-GA_2019-06-26-DSPG122.u29	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u30	In the campaign, in a coalition with Left and Bildu, and then they rule with the Spanish Socialist Workers' Party.
ParlaMint-ES-GA_2019-06-26-DSPG122.u31	Thank you, thank you. Your time is over, President.
ParlaMint-ES-GA_2019-06-26-DSPG122.u32	Look, Your Honor, those criteria for this party and Galicia I don't want them. Nothing else. Could not connect [[Applause]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u33	Thank you. [[Mrs. Pontón Mondelo asks for the floor.]] What do you want the word for, Mrs. Pontón?
ParlaMint-ES-GA_2019-06-26-DSPG122.u34	Mr. President, I think it is very clear that the president of the board has just slipped some accusations that are very serious, not only about my person...
ParlaMint-ES-GA_2019-06-26-DSPG122.u35	No, no, sorry...
ParlaMint-ES-GA_2019-06-26-DSPG122.u36	...insidious...
ParlaMint-ES-GA_2019-06-26-DSPG122.u37	No, no, no...
ParlaMint-ES-GA_2019-06-26-DSPG122.u38	...yes, yes, yes, in relation to [...]...,
ParlaMint-ES-GA_2019-06-26-DSPG122.u39	No, no, I'm sorry, Mrs. Pontón. No, no...
ParlaMint-ES-GA_2019-06-26-DSPG122.u40	...and I want it to be very clear...
ParlaMint-ES-GA_2019-06-26-DSPG122.u41	No, no, you don't listen, Mrs. Pontón. Could not connect with command "%s": %s. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No, no, I'm sorry, because I was attentive to the debate and the debate was an absolutely political tone debate and there was at no time... [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No, no, I'm sorry, I won't give you the floor. No, no, I won't give you the floor. In that sense, I won't give you the floor. I didn't appreciate... yes, yes, I've already spoken to you, but you're telling me there were serious accusations here and they were in all terms political expressions... You have no word, Mrs. Pontón. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No, you don't have the floor. No, no, you don't have the word and I call it by order. Mrs. Pontón, you don't have the floor. No, no, Mrs. Pontón, I'll call you in order for once. I'll call her in order. No, no, I'm sorry, I call her by order... yes, I call her by order. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] It's over... call the order. It's over, it's over. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] You have a call to order. No, no, no. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No, no, I don't keep... Mrs. Pontón, I don't hold on to a matter that I have clear. He's got a call to order and he's done here. No, you don't have the floor. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] You don't have it... that you don't have it because I didn't appreciate it... it's over. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] [[Mrs. Pontón Mondelo speaks words that are not perceived.]] Your time is up. It's over. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No, sorry, no... I'm not going in. [[Murmurs.]] I'm sorry. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] I've been careful, the debate is hard many times. In all the debates we can give, but we must also be able to fit in, and here the debate was a political debate. It's over, it's over. [[Protests.]] The debate is over. It's over. It's over. And I don't want to keep calling order, please. Let's go on. No, you don't, Mrs. Pontón. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] You don't have the floor. It is Mr. Fernández Leicega's turn. It's over. He didn't listen, he didn't record. [[Applause]] Everything he said wasn't recorded because you don't have the word. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] I'm sorry, I'm sorry. Well, it's not recorded. [[Mrs. Pontón Mondelo speaks words that are not perceived.]] No one heard him. Besides, you don't have the use of the word. Yeah, if you want to do that... yeah, all right. [[Murmurs.]] No, no, sorry. [[Speak words that are not perceived.]] Ask Mr. President of the Galician Council of D. Xoaquín Maria Fernández Leiceaga of G.P. of the Galician Socialists, on the global balance of the more than ten years of exercise of the Presidency of the Galician Union
ParlaMint-ES-GA_2019-06-26-DSPG122.u42	Question by Mr Xoaquín Fernández Leiceaga, of the Socialist Parliamentary Group. Whenever you want.
ParlaMint-ES-GA_2019-06-26-DSPG122.u43	Mr. Núñez Feijóo, you have just over a year left to finish your third and I hope that last term, and you have passed more than ten since you took the presidency of the Council of Galicia. You should be able to tell us already what was the central axis of your government action, what priorities you had, which are resolved after ten years and which you intend to leave Galicia as a legacy of your eleven years when you finish this government legislation. Look, Galicia is getting smaller in demographic terms. Since 2008 94,000 people have been lost in Galicia. This year 2018, last closed, has the highest negative crop balance known. So we have a demographic problem. Today, fewer family projects are being launched in Galicia than in recent decades, and families have one child when they want to have two. Mr. Fraga and yourself said that the demographic crisis was a priority. Is it still a priority? Because their worsening in these years testifies to the failure of their family policies. We've got more and more seniors, but you've kept the pharmaceutical co-op, you've failed residency policy, creating undeclared taxes on older people and their families, and in addition to the cuts in primary care, it's just difficult to attend to an age group that needs you much more than any. Was it the priority of their government action to pay attention to older people, to strengthening public services? We have a Galicia with less work base. We have less than 90,000 busy since 2018 compared to 2008, and a drop of 16% in the hours worked in the same period, 16%! The number of young people dropped by 43%, but the number of busy boys dropped by 45%. We have less work base. Was employment a priority, as you said in your contract with Galicia? Have you solved that problem yet? With less productive base. One out of three jobs lost in Spain in agriculture, fisheries or industry, one, a third of the total, was in Galicia in these three major sectors. Are agriculture fishing and industry the priorities of its government action at this time? And he was unable to create the conditions to capture the investments Galicia needs. We're still in R+D+i below the GDP percentages of 2008. Was R+D+i a priority and that's why we're under there? With the MOVE Plan still on the horizon of 2013, despite the European funds that continue to reach Galicia. With an offer of very late industrial soil in relation to Portugal. And with the training management for the job that deserves to be reviewed from the bottom. These are the circumstances. Was this the priority for Galicia? Was it a priority for the assumption of competences, the consolidation of self-government? Where were the priorities and what did you solve, Mr. Núñez Feijóo? What was the central axis of your government action? We don't need any more propaganda, we don't need more marketing, we need results, and for the results we need an effective government option, but it's based on a paradigm shift that you, of course, are not willing to give. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u44	Thank you, Mr. Fernández Leiceaga. Answer by the president of the board.
ParlaMint-ES-GA_2019-06-26-DSPG122.u45	Thank you very much, Mr. President. Mr. Leicega, what remains of my government is more than Mr. Sánchez has ruled in Spain, so look at what has happened since Mr. Sánchez is ruling after the motion of censure and what may still happen in Galicia. But the truth is, you never know what's left of government to everyone because it's the citizens who decide the governments that extend and those oppositions that continue to extend them for a long time in the opposition. This question sounds to me like goodbye, but not mine, but yours. You seem to take advantage of it to try to make a balance of what your spokesperson was. I'm very sorry, because you know I have personal appreciation and respect for most of the things you say. There's a part I don't respect because you just don't believe it. That's why, Mr. Leicega, I'd like to tell you that you should be more careful about the balance of the ten years because we made it public. We compare in front of the media on March 1, 2019 to make public what we achieved, because the Greeks wanted it on March 1, 2009. I know you'll understand that this was an act of propaganda, but your question is not, your question is a concrete and clearly powerful question. Yes, Mr. Leicega, yes. But it doesn't matter, we're going to see each other in Parliament, perhaps for longer than you believe. Mr. Leicega, after three consecutive absolute majority, I suppose the first eight years have already been balanced, the unappealable decision of the Greeks in the polls. And now there's still the balance that the Greeks are going to make in 2020. We therefore refer ourselves to the balance sheet of the Greeks of the year 2020 while you and I cordially disagree. Look, this government as long as it has been ruling, and is ruling, has had to manage the most important crisis worldwide since the mid-20th century, also aggravated — as not! — by the policies of the Spanish Socialist Workers Party, both in Galicia and with the Bipartite and especially in Madrid with Mr. Rodríguez Zapatero. In the context of autonomous communities, why would the autonomous community change? Which autonomous community has better ratios than Galicia? Is there any autonomous community in the common system that has better economic, social, health and educational data? Is there any autonomous community that can say in Spain that the greatest convergence of all autonomous communities in this decade has corresponded to it? No, that autonomous community is Galicia. Is there any autonomous community in Spain that can say that the income per capita per citizen where he's risen was in that autonomous community? [[Applause]] No, no, no, no. Of all the autonomous communities in Spain, where the highest per capita income in the last decade was in Galicia. So why would the autonomous community change? Is there any autonomous community of the Spanish Socialist Workers Party that we should copy? Is there anyone? Is there any alternative proposals? Look, Your Honor, you tell me about health. The smallest waiting lists in history, the greatest infrastructure in history, the best investment in history technology and the biggest public health budget in history. [[Applause]] You tell me about education. Your Honor, in education we have more teachers per student than anywhere in Spain. We are within the first four autonomous communities in international reports, PISA reports, and we have the most accessible universities in Spain. You tell me about well-being. There are 61,000 addicts who charge every month, 61,000! And the largest percentage of the increase in social public squares in history.
ParlaMint-ES-GA_2019-06-26-DSPG122.u46	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u47	You talk to me about inclusion, let's talk about inclusion. We have the poverty rate below that the Bipartite had in 2008, and you're still talking about inclusion. And now you want to talk about unemployment. Twenty-four percent less unemployment than when we got to the government. Twenty-four percent less unemployment, 60,000 less unemployed. And you're talking about Social Security. Look, when I got to the government...
ParlaMint-ES-GA_2019-06-26-DSPG122.u48	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u49	...the social security affiliations were down 54,000 affiliates less than a year; in the last year, we've been bringing more than 21,000 new members to Social Security. Mr. Leiceaga, tell me that the autonomous community of Spain, governed by the Socialist Labour Party Spanish or that the autonomous community of Spain can present this balance sheet.
ParlaMint-ES-GA_2019-06-26-DSPG122.u50	Thank you, Mr. President.
ParlaMint-ES-GA_2019-06-26-DSPG122.u51	Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u52	Replica, Mr. Fernández Leiceaga.
ParlaMint-ES-GA_2019-06-26-DSPG122.u53	Mr. Núñez Feijóo, I think you didn't answer the central issue. It is clear that I appreciate that such a positive reference to Government Sánchez, which is changing in a year - as you have well said - what Mr. Rajoy has not done for so long. I think it's a recognition that honors you. [[Applause]] But I'm asking you to do what he does. Do as he does and change. Look, you, and Mr. Fraga Iribarne used to say that demography was Galicia's main concern, but the demographic decline has not grown since you were president of the board. Was that your priority? Tell me if it was, yes or no. That's your legacy, what are you going to leave us? And in employment, look, it turns out that all of Spain has already recovered the employment levels of 2008, and at this rate we need five more years. That's your legacy. I compare myself to the set of Spain, with the average, so there's no problem, with the average of Spain. Spain has already recovered its job, we need five more years. That's your differential legacy, Mr. Núñez Feijóo. Tell me about it, tell me if it's like that or not, so I can't talk about the quality of the job anymore. And in the care of the territory, but don't you realize that the territorial imbalances have only done more than sharpen since you are president, that we have a Galicia that is left aside, while much more is concentrated on the wealth and population in the Atlantic axis? And in terms of protecting the territory, how many additional hectares have you incorporated into the natural parks in Galicia since you are president? And are laughter healthy, after so many European funds for this, or are we still awaiting sanctions that Europe can apply to us? And in self-government, Mr. Núñez Feijóo, you can't say anything because it turns out you haven't received any competition because you haven't claimed it, and even voted against an agenda for this which we just proposed not to oppose, say, possible voters from VOX. In terms of language or promotion of culture, you are limited to accompanying the decline that exists in Galicia without placing on the table any decisive but tax-free initiative, inclusive of the families, understanding with the people, that you are able to give the Greek the status you deserve. Call me the attention you're talking about health. His legacy here seems to be disappointing to everyone, because it is an explosive cocktail of strategic foresight, cuts and the promotion of precariousness that has also side effects. That's your legacy in this matter, Mr. Núñez Feijóo. Will the housing be its central axis, when we know you haven't done anything about promoting public housing these years? These are the issues that interest citizens who are interested in citizenship. And now it's a duty for 2027 and it discovers that the accent must be put in the families...
ParlaMint-ES-GA_2019-06-26-DSPG122.u54	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u55	...on Thursday, in innovation and in the territory. That's the best synthesis of your failure as president these years. Those matters are the best synthesis of their failure. Mr. Núñez Feijóo, the inertia, the mere administration, do not replace a well-orientated government action. You're actually not dressed — metaphorically — and you're not going to be able to cover up with the leaves of the DOG, for a lot of them produce...
ParlaMint-ES-GA_2019-06-26-DSPG122.u56	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u57	...in the months that remain in San Caetano. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u58	Thank you. Close this question, Mr President.
ParlaMint-ES-GA_2019-06-26-DSPG122.u59	Mr. Leicega, you are very proud of what Mr. Sánchez has done in the past year. Yes, we have a great discrepancy, especially with Galicia, Mr. Leicega! You say why I don't copy Mr. Sánchez. Do you want us to get into an atmosphere of absolute instability in the Autonomous Community of Wales? He didn't even transfer us the percentage that corresponds to our deliveries to account; 300 million euros without transfer. It doesn't even transfer to us what corresponds to the IVE; 200 million euros without transfer. And it doesn't transfer to us, nor does it correspond to the negative liquidations. Altogether, 700 million euros of Mr. Sánchez's poof with Galicia. And you say you copy. Would you copy this lack of respect for the Greeks? I'm sorry we're not going to debate the state of Autonomy, because it seems like you just anticipated it. Don't worry, you have a lot more data than you can replace. That's why it's going to be a loss for me that I can't argue with people who have data, but what I'm surprised is that you're taking the data, like, you have to say something about housing, water, etc. Vegetative balance. Is it the fault of the German Government? That we've spent 40 years with a vegetative balance and a decrease in the number of births the blame is on Mr. Feijóo. When Mr. Feijóo was in primary school, he was already starting to have a birth problem in Galicia. Yes, ladies, yes. [[Laughter]] Yes, yes. I was studying in the Pearls and I was already guilty of birth problems in Galicia. [[Applause]] Anyway. You, however, don't applaud that we finally have the best migration balance in the last decade, which we know yesterday. They entered Galicia 13 thousand more than they left. So that permanent smoke curtain of the Socialist Party and the BNG, as always, goes away. You do not accept that GDP per capita had grown in Galicia in the last decade more than in any other autonomous community, in no other autonomous community!, would be our presentation card. The presentation card for the Galician People's Party is: we pulled Galicia out of the economic recession, we didn't create any problems for the Greeks, we tried to keep the Greek society united, and we managed to make the per capita income of the Greeks as historic as possible and that it was the one that grew most from Spain in the last decade. That's our presentation card. [[Applause]] You're talking about unemployment. I mean, 50,000 unemployed less, 24% less unemployed, you think it's a joke. You're talking about the occupancy rate. Why don't you say that the employment rate for children under thirty-four is exactly the same as for the Bipartite? Why don't you say that? And why is it now beginning to stain the active population, knowing that underage 16 to 34 are less than there was with the Socialist Party. Well, the employment rate of children under 34 is exactly the same as there was at the time of economic kindness. Why don't you say that we have the most important positive balance in our history, and that together with the Basque Country we are the two autonomous communities with the most competitive of our economy, having a positive balance of clear and powerful imports and exports in Spain that has a negative balance of their imports and exports in the last decade? Why, Mr. Leicega, don't you congratulate us because we finally have the best data in the last ten years of the number of people entering Galicia on those coming out? Thirteen thousand people entered Galicia on the ones that came out. Look, we create jobs, we don't cause problems to the Greeks, we invest more, we have a social policy that reaches more people and we pay less taxes. That's Galicia's stability. I know what matters to the Galician Socialist Party. You know why? Because I've been in government for ten years.
ParlaMint-ES-GA_2019-06-26-DSPG122.u60	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u61	And in those ten years of government, no president of the Spanish Socialist Workers Party visited Galicia as president. None. Not Mr. Zapatero, not Mr. Sánchez. They've come to rally, yes, but to have a meeting or a meeting with the German Government in ten years.
ParlaMint-ES-GA_2019-06-26-DSPG122.u62	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u63	In ten years, Your Honor, the Socialist Party presented the worst budget in history from an investment point of view, with 30% decline, while we saw autonomous Mediterranean communities with 60% increase.
ParlaMint-ES-GA_2019-06-26-DSPG122.u64	Thank you, President.
ParlaMint-ES-GA_2019-06-26-DSPG122.u65	What matters to the Socialist Party in these ten years I know perfectly well. What I care about Galicia not only I know, but I feel it every day. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u66	Thank you, President. We continue with the fourth point of the agenda, proposals not of law. G.P.'s non-legislative proposal. of the Galician Socialists, at the initiative of Mr Juan Manuel Díaz Villoslada and seven other Members, on the development by the Galician Union, with the participation of the most representative trade union organizations, of a proposal for the implementation of child school services for the staff of the autonomous administration
ParlaMint-ES-GA_2019-06-26-DSPG122.u67	Amendments have been tabled by the Parliamentary Group on the Galician Nationalist Block and by the People's Parliamentary Group.
ParlaMint-ES-GA_2019-06-26-DSPG122.u68	To formulate the non-law proposal, Mr. Díaz Villoslada has the floor.
