ParlaMint-FR_2019-09-26-E2015.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-26-E2015.u48	When we talk about embryos, we talk about becoming beings. I take your own words, Mr rapporteur: incomplete beings, therefore, but in the process. However, when one speaks of a being in the process of becoming, some terms are not appropriate: that of "quality", for example, as well as "mass of cells" or "genetic material". I prefer the term "dignity", which you yourself have used, rapporteur. One can understand that one speaks of an "unviable" embryo: it means that it will not come to an end, that it will not be a baby. But why talk about "quality", "cell clusters" or "genetic material"? All these questions, we must ask ourselves in the state of predictive medicine today and tomorrow. In concrete terms, what's going on with the Down syndromes? I often meet a young Down syndrome in my street: he goes to his occupations, greets me and smiles at me. What about a possible selection of children with dwarfism? When you use the terms "quality", "cell piles" and "genetic material", you have to prepare something. I therefore ask that this vocabulary be definitively broken and that we show humanity towards an unfinished being, but that we become one.
ParlaMint-FR_2019-09-26-E2015.u49	What is the opinion of the committee?
ParlaMint-FR_2019-09-26-E2015.u50	Talking about the "cell quality of an embryo" is a pleonasm since the embryo, at its stage of development, contains only cells.
ParlaMint-FR_2019-09-26-E2015.u51	So it's just a pile of cells!
ParlaMint-FR_2019-09-26-E2015.u52	I have cells, too!
ParlaMint-FR_2019-09-26-E2015.u53	[[Laughs]] [[Same movements]] You, Mr. Le Fur, have something more than embryonic cells that are, at this stage, undifferentiated. They are all the same: identical, they have not yet embarked on the path of differentiation in order to form a brain – yours is particularly developed – or other organs that I do not know about you. In fact, the expression "cell quality of the embryo" is redundant. Besides, I put myself in your place and I adopt your reasoning. You fear that a genetic-based sorting will be carried out. In the cell, there is a nucleus that includes chromosomes and genes. So when we talk about cell quality, we also talk about the quality of genes, chromosomes and everything inside the cell, for example mitochondria. This does not provide the answer to the question you are asking yourself. That is why I propose that this expression be retained, which is used by doctors and researchers working in embryology laboratories.
ParlaMint-FR_2019-09-26-E2015.u54	What are the quality criteria?
ParlaMint-FR_2019-09-26-E2015.u55	What is the Government's opinion?
ParlaMint-FR_2019-09-26-E2015.u56	I understand your questions perfectly. The term "quality" is very vague, but it is very difficult to find another. What should reassure you is that we are looking at articles related to medically assisted reproduction, a practice in which we limit ourselves to observing the appearance and development of embryos under microscope. We do not discuss articles on pre-implantation diagnosis and all the techniques that would be used to go further, including research on chromosomes and genes – these aspects are dealt with in other parts of the text and regulation. As soon as techniques other than those of medically assisted procreation are used, pre-implantation diagnosis is used. Again, the part of the bill that we are currently looking at is only about times when we are looking at the appearance of the embryo under the microscope. Therefore, the word "quality" should not give rise to the fears you have expressed. We are not talking here about other tests mentioned in other parts of the text. According to international classifications, at this stage a visual observation of the embryo is carried out and a score is calculated based on its morphology, location, number, size, rapprochement and symmetrical axis of cells, monitoring of its growth, rate of fragmentation, stage of its development, volume and appearance. This is the international definition of the score: we are left with something visual. I understand your concern, but the provisions for other analyses are not included in this part of the text. The word "quality" based on AMP techniques to decide on the non-use of embryos has been used since 2004; it is defined in a decree published in the Official Journal of 8 July 2017 and concerns only the visual aspect of the embryo likely to compromise its implantation.
ParlaMint-FR_2019-09-26-E2015.u57	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-09-26-E2015.u58	Thank you for that clarification, Minister. You are right, the expression 'cell quality' is not enough, but the purpose of my amendment was to allow this exchange. [[Mr. Marc Le Fur applauds]] I will withdraw my amendment, while making a proposal to you. Would it not be possible to table a governmental amendment to clarify that the information you have just read on your card is referred to as visual quality or to introduce into the law the information you have just read, which would then move to a higher normative level? You say that these clarifications are of a regulatory nature, but could we not ensure that the fact sheet you have just read us is the element of precision that we are asking for? I don't doubt for a moment what you're saying, but it would reassure us a lot of us to see these elements set out directly in the bill. This clarification should be minimal by decree: if you could tell us that the information you have just read will be the subject of a decree, that would reassure everyone.
ParlaMint-FR_2019-09-26-E2015.u59	The minister has the floor.
ParlaMint-FR_2019-09-26-E2015.u60	I understand your inquiry, Mr Hetzel, but your proposal would be very difficult to implement. At this stage, these details are the subject of an order. You want to include them in the law, but it would make it considerably more complex, as a large number of morphological anomalies would have to be described. On the other hand, the international classification could be subject to changes, such as the addition or removal of a criterion,...
ParlaMint-FR_2019-09-26-E2015.u61	It would then be enough to amend the law!
ParlaMint-FR_2019-09-26-E2015.u62	...which would force us to amend the law every time. As soon as this bioethics law is enacted, we will revise the order and everything I have just said will be at the regulatory level. That's the commitment I can make. Introducing such clarifications into the law would go too far.
ParlaMint-FR_2019-09-26-E2015.u63	Mr Xavier Breton has the floor to support Amendment No. 1536.
ParlaMint-FR_2019-09-26-E2015.u64	This amendment-by-amendment discussion is interesting: it allows us to go a little further. If all these amendments had been the subject of a joint debate, we would have moved very quickly on these issues. The fact that these clarifications are included in an order does not reassure us, because governments are changing and there may be pressure. It is important for us to be able to define embryonic quality in the law, but since this concept is not specifically defined, it should at least be pointed out that reference is made in paragraph 12 to a "major" quality problem. In other words, this problem cannot relate to minor concepts or secondary characteristics: it must be a major quality problem. It would be an additional lock that would be included in the law and that would be likely to reassure us, while affirming our unanimous will to protect us from the eugenic drifts that could come to light through the selection of embryos.
ParlaMint-FR_2019-09-26-E2015.u65	What is the opinion of the committee?
ParlaMint-FR_2019-09-26-E2015.u66	Let our colleagues not sue us for intent by seeing eugenic wills where there are none!
ParlaMint-FR_2019-09-26-E2015.u67	I wasn't talking about you, I was talking about your successors!
ParlaMint-FR_2019-09-26-E2015.u68	I understand, Mr Breton, but we just want to find ways to avoid such drifts. I no longer know whether it was you or Mr Bazin who said earlier that we were talking about very serious, rapidly fatal diseases, but that we were covering Down syndrome.
ParlaMint-FR_2019-09-26-E2015.u69	I'm the one who quoted Trisomy 21!
ParlaMint-FR_2019-09-26-E2015.u70	There is a whole spectrum of genetic diseases, ranging from immediately fatal diseases to much less severe diseases. Today, Down syndrome 21 does not prevent you from living up to adulthood...
ParlaMint-FR_2019-09-26-E2015.u71	Only the survivors, the ones we let live!
ParlaMint-FR_2019-09-26-E2015.u72	... and even to have an ever longer life expectancy, which is approaching a normal life expectancy. It is obvious that everything must be done to ensure that the lives of these patients are equivalent to the lives of other people – we all agree on this.
ParlaMint-FR_2019-09-26-E2015.u73	From the moment they were designed?
ParlaMint-FR_2019-09-26-E2015.u74	Let us now look at the state of our current law. All pregnant women are offered, from the first months of pregnancy, a diagnosis of Down syndrome and the possibility of interrupting their pregnancy if they so wish. I am not judging this – it was decided several years ago – and we just have to take it into account. Is it better that these women, faced with an early diagnosis of Down syndrome 21, stop their pregnancy if they do not want to prolong it, or if a pre-implantation diagnosis is made and the affected embryo is not implanted? As the minister has suggested, we will address this issue at the appropriate time. We do not have to discuss this under Article 1: I therefore suggest that we refer these questions to the corresponding article. The introduction of the word "major" would not address your concern, as no one can precisely define the boundary between what is minor and what is major. Unfavorable opinion.
ParlaMint-FR_2019-09-26-E2015.u75	What is the Government's opinion?
ParlaMint-FR_2019-09-26-E2015.u76	Same opinion.
ParlaMint-FR_2019-09-26-E2015.u77	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-09-26-E2015.u78	You have not defined embryonic quality, rapporteur.
ParlaMint-FR_2019-09-26-E2015.u79	Mr Philippe Berta has the floor.
ParlaMint-FR_2019-09-26-E2015.u80	You put your finger on the difficulty: you cannot define the quality of an embryo because you lack a lot of criteria. This concept is totally dependent on the operator: two different biologists in two different in vitro fertilization centres will not necessarily have the same appreciation. There's nothing molecular, there's only visual. The notion of quality can only be imprecise.
ParlaMint-FR_2019-09-26-E2015.u81	We are not reassured!
ParlaMint-FR_2019-09-26-E2015.u82	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-26-E2015.u83	Mr President, I haven't started talking yet, but the chronometer has already started!
ParlaMint-FR_2019-09-26-E2015.u84	I thought you wanted to speak on the amendment, Mr Bazin.
ParlaMint-FR_2019-09-26-E2015.u85	I will talk about the amendment, but don't count my speaking time until I say a word!
ParlaMint-FR_2019-09-26-E2015.u86	I will personally take care to correct the three seconds of the gap.
ParlaMint-FR_2019-09-26-E2015.u87	That was already the case for Mr. Le Fur earlier, Mr. President. Minister, I have found a solution for you – we will then be able to move on to the next subject. It should be pointed out that the quality criteria will be specified by decree.
ParlaMint-FR_2019-09-26-E2015.u88	By decree in the Council of State!
ParlaMint-FR_2019-09-26-E2015.u89	Mr. Touraine will be delighted.
ParlaMint-FR_2019-09-26-E2015.u90	[[Smile]] I would like to reassure you, Mr Bazin: the chronometer appearing on the screen is simply indicative, it does not translate the counted time. Our management is very rigorous! Mr Aurélien Pradié has the floor.
ParlaMint-FR_2019-09-26-E2015.u91	[[Protests on the benches of the LaREM group]] I am not a specialist in these matters at all, but, to tell you everything, since the beginning of our discussions, the less I hear the rapporteur, the better I am.
ParlaMint-FR_2019-09-26-E2015.u92	That's sad!
ParlaMint-FR_2019-09-26-E2015.u93	A little respect!
ParlaMint-FR_2019-09-26-E2015.u94	On this subject! Our colleagues have a legitimate concern. I am not an expert, but, by observing and listening to the debates, I have the same concern about the issue of embryonic quality. No one here suspects you to have eugenic intentions – you are quite sincere. However, we do not write the law of the Republic only for the laborers, for whom the word "quality" means something, but also for our fellow citizens, who need to understand the social stakes we are discussing, as well as for tomorrow's laborers, who will not have the same appreciation of quality, as Mr Berta has just said. If I say that the more I listen to the debates, the more worried I am and the more it seems to me that you have to make a gesture to clarify your position, it is because our colleague rapporteur started a discussion on the quality of the embryo and ended it by referring to Down syndrome 21.
ParlaMint-FR_2019-09-26-E2015.u95	No, it was your colleague Marc Le Fur who raised this subject!
ParlaMint-FR_2019-09-26-E2015.u96	We cannot begin by saying that embryonic quality will only be subject to visual observation and finish by talking about another quality sorting that is that of trisomy 21. Similarly, Mr Berta has just explained to us, with a science and technology which I do not dispute, that embryonic quality is not appreciated in the same way according to the laboratory. You began by saying that the concept of quality was particularly secure because it was uniform, but, after the statements by the rapporteur and Mr Berta, we find that there is no guarantee of uniformity in the assessment of that quality. [[Applause on several benches in the LR group]] Minister, I say this with great serenity: if you do not want these debates to raise concerns, which surely seem to you illegitimate, but which may be less so for others, you must clarify things. I understand that this is technically complicated and that your advisers legitimately explain to you that our requests are difficult to satisfy, but it is now necessary to reassure both Members and all our fellow citizens. Let us not forget that it is also for them that we write the law of the Republic, and not only for the technicians.
ParlaMint-FR_2019-09-26-E2015.u97	The minister has the floor.
ParlaMint-FR_2019-09-26-E2015.u98	I hear your questions and your concerns perfectly. Indeed, the term "quality" may seem very generic, but it is used, I repeat, only in the part of the draft law on medical assistance in reproduction, a practice which in no way involves biological tests other than visual inspection. Then, the term "quality" meets one of the international definitions that sets a score and I read to you. It seems logical to me to include this definition in the decree rather than in the law, because it can evolve over time: so, to take an imaginary example, one can suddenly discover that the red color of the cells is a criterion of quality while, until then, one relied only on the green color. Science is evolving, and scholarly societies that define a visual quality score of embryos can make corrections. It is therefore necessary to have relatively flexible definition elements, which are permitted by the decree, whereas it is obviously more complicated to adapt the law to the evolution of scientific knowledge. I repeat that this provision is purely in the visual and that we have a tool, the said Order, which very precisely defines – it must make about 60 pages – the rules of medical assistance in reproduction, which will be reviewed after the examination of this bill, and the Government undertakes to clarify the score to be specified in the international definitions. I understand that the word "quality" shockes you, but I recall that biologists have been using it since 2004, about fifteen years. But you are right to say that it could be confusing in the eyes of the French. That is why its hard definition, in this case in a decree that regulates all the rules of good practice of the MPA, will make it possible to clarify all that I have just stated, I am committed to it. That should reassure you. In addition, the addition of an adjective to "quality" would introduce complexity: if the word "quality" is already blurred, what about the words "major" or "minor"? And if we add the term "cell", the overall aspect of the embryo is not taken into account. As soon as we try to characterize it, the word "quality" becomes even more confused. There is obviously no eugenic drift in this provision, since quality is understood as the ability of an embryo to implant itself, a point that is all: it is neither chromosomal analyses, nor genetic analyses; We don't do any sort. This is only a verification of embryo viability. We are very far from all the other tests carried out in the context of pre-implantation diagnostics, which are the subject of other rules of good practice which have nothing to do with the content of this text.
ParlaMint-FR_2019-09-26-E2015.u99	Mr Xavier Breton has the floor to support Amendment No. 2273.
ParlaMint-FR_2019-09-26-E2015.u100	We are making progress, which proves that it would have been a shame if all these amendments were the subject of a joint debate, as our colleague from the Republic was asking. Of course, the notion of quality is difficult to define and varies according to the territories – rapporteur Berta mentioned it – and according to the teams that define the criteria, but all this makes it very random, which does not reassure me. That is why I have proposed to clarify this concept by stating that the quality problem must be of major importance, because it still needs a threshold. I understand that it was complicated to determine, but it could have been within the scope of the order you referred to, minister. But even the insertion of the word "major" in the text was refused. I therefore now propose an amendment to the wording of paragraph 12, which supplements paragraph 12 with the following sentence: "Quality is independent of the genetic characteristics of the embryo. Indeed, as the minister has confirmed to us that the reference to the quality of embryos involves sorting only on the basis of their visual aspect, this means that under no circumstances should it be based on their genetic characteristics, in order to avoid entering into a system of genetic norms and, obviously, in a eugenic drift. This must therefore be made clear in the law. That's really the minimum that could reassure us. And if even this one is not accepted, there are other intentions. Perhaps not yours, minister, but if we know that governments and majorities are passing, we never know what the future will be made of, and if we do not specify in law the term "quality" can open the door to all interpretations.
ParlaMint-FR_2019-09-26-E2015.u101	What is the opinion of the committee?
ParlaMint-FR_2019-09-26-E2015.u102	I'm really sorry, Mr. Breton, to have to disappoint you.
ParlaMint-FR_2019-09-26-E2015.u103	At least it's clear!
