ParlaMint-FR_2019-10-09-O1016.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-09-O1016.u12	This amendment rewrites an amendment discussed in committee in order to propose coordination with the law on the organization and transformation of the health system, within the framework of the "my health 2022" strategy. Genetics advisors who work in a multidisciplinary team are seeking a secure path that associates them with biologists and geneticists. They consider the network organisation to constitute their work. They expressed their concern that the objectives of the France médecine genomics 2025 plan will generate more consultations, as their specialty, like all medical specialties in France, will experience a decline in demography. To allow, after the advice of the National Academy of Medicine and the decree of the Council of State, the delegation of results to genetic advisers in certain disciplinary teams seems to me to be a mere pragmatism.
ParlaMint-FR_2019-10-09-O1016.u13	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1016.u14	Opinion against the amendment, as well as Amendment No 1252, which will be called in a moment. You propose to open up to genetic advisors, in addition to the possibility of prescribing certain genetic examinations, which is not called into question, that of communicating the results of the examinations to the persons concerned. The presentation to the person of the results, if any, prescribed by an advisor under the responsibility of a geneticist is the responsibility of the geneticist, even if there are no anomalies. The communication of negative results is informative in itself. When announcing to the family, as part of a family survey, there is an emotional and psychological burden, regardless of the results of the tests. I would add that the adoption of the amendment would create a difficulty in organising genetic services, because the positive or negative nature of the results should be taken into account when organising appointments. I do not go back to the somewhat caricatural example I had cited, but I do not know how in practice consultations with negative results would be attributed to genetic counsellors, while the others would be reserved for genetic physicians. If we can expect difficulties in caring for patients and families in genetic services, given the plan you mentioned and a possible decrease in medical demography, should we create a situation in which geneticists would give up doing their job? We discussed it together. Given that hospital genetics practitioners must devote themselves to routine medicine and care, it would be awkward for genetics advisors to take over for the disclosure of results. Finally, I am thinking of the general balance of the text. We agreed that since genetic data are extremely sensitive, their prescription, such as the announcement of results, must be surrounded by precautions. The data are not transmitted directly to patients but presented by geneticists, given the importance of their announcement. The adoption of the amendment would unbalance the text. I therefore express an unfavorable opinion, for the sake of measurement.
ParlaMint-FR_2019-10-09-O1016.u15	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1016.u16	In committee, Mrs Mauborgne, you had defended an amendment before Mrs Buzyn, who had found it interesting, even if she had asked you to rework on certain aspects of it. First of all, your amendment seemed to offer guarantees and balance. Indeed, the communication of the results by the genetics advisor would not be systematic: it could only be done within a framework of trust, in agreement with the doctor and under his responsibility, genetics advisor and doctor working in the same team. I would add that you had planned, in addition to a regulatory framework, an advance notice from the National Academy of Medicine. That is why we have shown interest in your proposal. However, the rapporteur pointed out some difficulties, for example, in distinguishing between positive and negative results when transmitting them. Perhaps you will answer us on this point. In the meantime, the Government is inclined to rely on the wisdom of the Assembly. That said, we are committed to continuing to work, during the shuttle, on this subject, which is part of the momentum we are putting in place as part of the "My Health 2022" strategy, which your assembly has validated.
ParlaMint-FR_2019-10-09-O1016.u17	Mrs Sereine Mauborgne has the floor.
ParlaMint-FR_2019-10-09-O1016.u18	We agree, Mr rapporteur: the question of deadlines must be asked. When one knows what emotional burden is associated with the expectation of a result, one cannot afford to extend the delays that put pressure on the family. I recall that this is about individuals who discover within their families a disease, without knowing who is carrying it, who is carrying it healthy, or whether all children will ever be ill. These situations are heavy, difficult. The purpose of this amendment is to accompany these families, to find solutions that make life easier for them – I am thinking in particular of the case where other family members are not affected by the disease. I hear what you say, Secretary of State, and I am ready to discuss these issues again at the next reading of the text. However, I sincerely believe that this issue cannot be left aside. I rehearsed the recordings of the auditions of genetics advisors and geneticists. The latter recall that their core business is to treat sick children and not the masses of data from genetic tests. If geneticists are to advance their research work, care for sick children and find solutions to help them, we cannot ask them to carry out so-called administrative tasks. Geneticists consult with genetics advisors on multidisciplinary teams. They work together with confidence, as they have repeated in a special commission. Genetics advisors and genetics doctors share the same wish.
ParlaMint-FR_2019-10-09-O1016.u19	Would you like to maintain or withdraw your amendment, Mrs Mauborgne?
ParlaMint-FR_2019-10-09-O1016.u20	[[Applause on several benches of the LaREM group]] I withdraw it in order to study the dossier again, together with the rapporteur, with a view to the new reading. I ask you to think wisely about these questions. In my view, this amendment is of crucial importance: the decisions we make must be enforceable. It's a matter of efficiency.
ParlaMint-FR_2019-10-09-O1016.u21	I ask for the floor, Mr. President!
ParlaMint-FR_2019-10-09-O1016.u22	As the amendment has been withdrawn, I can no longer give the floor to it. Unless you wish to take him back, Mr. Vigier?
ParlaMint-FR_2019-10-09-O1016.u23	I'll take it back.
ParlaMint-FR_2019-10-09-O1016.u24	In that case, I shall put it to the vote directly, as the debate has already taken place.
ParlaMint-FR_2019-10-09-O1016.u25	No, the debate didn't take place!
ParlaMint-FR_2019-10-09-O1016.u26	Let me speak, Mr. President!
ParlaMint-FR_2019-10-09-O1016.u27	Mr President, you have not responded to requests for your floor!
ParlaMint-FR_2019-10-09-O1016.u28	Yes, Mr. Le Fur!
ParlaMint-FR_2019-10-09-O1016.u29	Mr Thibault Bazin has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u30	My point of order is based on Rule 49(6). The programmed time is insufficient for this text, which is very provided and important. There are only eight minutes left for Members of the Republican Group. The chairman of my group, Christian Jacob, who did not co-sign the remaining seventy amendments, also delegated me thirteen minutes. We have requested this morning the meeting of the Conference of Presidents in order to obtain, on an exceptional basis, additional time to properly examine the remaining arrangements. Paragraph 12 of section 49 of the Regulations permits this. Since the beginning of the debate, we have used our speaking time very carefully. We have often simply pointed out that our amendments were being defended. We didn't obstruct.
ParlaMint-FR_2019-10-09-O1016.u31	That's right!
ParlaMint-FR_2019-10-09-O1016.u32	That's right!
ParlaMint-FR_2019-10-09-O1016.u33	We do not wish to delay the progress of the discussions; We are simply asking for a serious discussion of all the clauses in the bill. The provisions relating to the role of genetics advisors, the health security of certain treatments, the missions of the Agency for Biomedicine, the governance of bioethics and the revision of the law remain to be examined, not to mention the second discussion on GPA. [[Applause on the benches of the LR Group and among non-attached Members]] If the time devoted to the debate is not extended, we will not be able to debate these subjects seriously. Both the majority and the main opposition groups have less than one hour of speaking time. We are at risk of easing our consideration of this bill. I regret the decision taken by the majority in the Conference of Presidents: it is not up to the challenges presented by this bill. That's deplorable!
ParlaMint-FR_2019-10-09-O1016.u34	This is outrageous! It's a stain on our debates!
ParlaMint-FR_2019-10-09-O1016.u35	Absolutely, Mr. Hetzel! It's a stain!
ParlaMint-FR_2019-10-09-O1016.u36	And the Constitutional Council will seize this question!
ParlaMint-FR_2019-10-09-O1016.u37	Mrs Emmanuelle Ménard has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u38	On the basis of section 49, paragraphs 7 and 15, Mr. Chair. Marie-France Lorho, Agnès Thill, Jean Lassalle and I seized last night the Constitutional Council...
ParlaMint-FR_2019-10-09-O1016.u39	Yes!
ParlaMint-FR_2019-10-09-O1016.u40	... because we consider that we are seriously and flagrantly affected by the principle of equality in the allocation of parliamentary speaking time. By its decision to grant only one hour to non-registered deputies, the Conference of Presidents deprives part of the national representation of an active and effective participation in the debate on the bioethics bill, which is essential for French society. This makes it almost impossible for a non-registrant parliamentarian to defend his point of view in a reasonable and consistent manner.
ParlaMint-FR_2019-10-09-O1016.u41	There have been three weeks of debates!
ParlaMint-FR_2019-10-09-O1016.u42	According to my information, which Mr Bazin has just confirmed – I would remind you that the non-attached Members are not involved in these decisions or kept informed – the Conference of Presidents, again seized today, has refused once again to extend the speaking time allocated for the consideration of the bioethics bill. We have therefore decided to refer the matter to the Constitutional Council, as this imbalance undermines the constitutional requirement of clarity and sincerity in the parliamentary debate...
ParlaMint-FR_2019-10-09-O1016.u43	That's right!
ParlaMint-FR_2019-10-09-O1016.u44	... and risks to vitiate the said debate, like voting operations elsewhere.
ParlaMint-FR_2019-10-09-O1016.u45	It's all said!
ParlaMint-FR_2019-10-09-O1016.u46	[[Applause on several benches in the LR Group and among non-attached Members]] For the record, ladies and gentlemen, 347 amendments have been tabled by the non-attached Members, 180 of whom by myself. We have had, in everything and for everything, only an hour to defend them, as I have already said. Do the calculation: this is ten seconds per amendment. I do not believe that it can be said that the parliamentary debate on the bioethics bill was sincere, much less that it was democratic. It is simply called gag the words that bother you.
ParlaMint-FR_2019-10-09-O1016.u47	I will not enter into the debate on these issues. The Conference of Presidents met today. She recalled that the debate had already lasted for seventy-five hours and that the public examination of the previous bioethics law in 2011, while the Republicans group belonged to the majority, had lasted twenty-eight hours, thirty hours having been allocated under the scheduled legislative time procedure.
ParlaMint-FR_2019-10-09-O1016.u48	The 2011 Act did not contain a provision on the LDC!
ParlaMint-FR_2019-10-09-O1016.u49	She didn't call it filiation!
ParlaMint-FR_2019-10-09-O1016.u50	The text was not the same size at all!
ParlaMint-FR_2019-10-09-O1016.u51	Let me finish, please! For this text, fifty hours have been scheduled for the scheduled legislative time, which is ten hours longer than the usual high limit. I should like to inform you that the Conference of Presidents has therefore decided not to allocate any additional time.
ParlaMint-FR_2019-10-09-O1016.u52	It's a denial of democracy! You are marking the debate on bioethics with an indelible stain!
ParlaMint-FR_2019-10-09-O1016.u53	Mrs Ménard, I must also point out to you that the rule on the allocation of speaking time to non-attached Members, which is based on a principle of proportionality, has been validated by the Constitutional Council.
ParlaMint-FR_2019-10-09-O1016.u54	[[Protests on several benches of the LaREM group]] That speaking time is not proportional!
ParlaMint-FR_2019-10-09-O1016.u55	You filed an appeal with the Constitutional Council. Of which act. Mrs Emmanuelle Ménard has the floor for a second point of order.
ParlaMint-FR_2019-10-09-O1016.u56	[[Claims on several banks of the LaREM Group]] According to Rule 49(7) of the Rules of Procedure, in the context of the scheduled legislative time, the Conference of Presidents must grant non-registered Members a time proportional to their number. However, the group of the Democratic and Republican Left, which has sixteen deputies, was allocated four hours and twenty-five of speaking time when the fourteen non-attached deputies had only one hour.
ParlaMint-FR_2019-10-09-O1016.u57	It's easy to protest when you always have the word!
ParlaMint-FR_2019-10-09-O1016.u58	I could explain in detail the rules for calculating scheduled legislative time. The opposition has 60% of the time – more, therefore, than the majority.
ParlaMint-FR_2019-10-09-O1016.u59	What about the speaking time of the Government and the rapporteurs?
ParlaMint-FR_2019-10-09-O1016.u60	The principle of proportionality is not an arithmetical rule. It is applied according to rules laid down in the regulations of the National Assembly and validated by the Constitutional Council. I will not go into the details here, when you have brought an appeal to this institution, but if you wish, we will be able to talk about it in part, for example tonight. In any case, you should know that the regulation has been scrupulously observed. Mr Gilles Le Gendre has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u61	I'll be brief.
ParlaMint-FR_2019-10-09-O1016.u62	What rule do you base yourself on?
ParlaMint-FR_2019-10-09-O1016.u63	Of none, they're above the law!
ParlaMint-FR_2019-10-09-O1016.u64	I am speaking under Rule 52 of the Rules of Procedure. The use of the scheduled legislative time procedure was decided unanimously by the members of the Conference of Presidents.
ParlaMint-FR_2019-10-09-O1016.u65	This has nothing to do with Article 52!
ParlaMint-FR_2019-10-09-O1016.u66	This procedure gives groups more freedom in the management of speaking time than the new provisions of the Rules of Procedure do. The latter limit the speaking time of parliamentarians, both in the general discussion and in the discussion of the articles. From the beginning, we all knew the rule. We also knew exactly what subjects would arise from oppositions, divisions, hard points that should be stressed because they are important political markers. We knew this very well since these points were absolutely clear from the time the Special Committee examined the text. You cannot pretend to discover during the debate the rule of the game or even the rhythms, the strong and weak moments of the debate. [[Applause on several benches of the LaREM group]] Very early on, you complained that you didn't have enough speaking time, without changing the way you used it – we didn't change ours either, by the way, so that in the end, we don't have much more time than you do. Let everyone assume their responsibilities! The rule applies in the same way to everyone.
ParlaMint-FR_2019-10-09-O1016.u67	Several Members wish to make points of order. I will allow a reasonable expression on this subject,...
ParlaMint-FR_2019-10-09-O1016.u68	All right!
ParlaMint-FR_2019-10-09-O1016.u69	[[Applause on a few benches of the LaREM group]] ... but I remind you that, in the context of the scheduled legislative time, if the points of order are abusive – whether they are too repetitive or not – the speaking time used by their authors is charged to that of the groups. I will abide by this rule without any aggressiveness, but rigorously. Mr Hervé Saulignac has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u70	[[Applause on the benches of the LR and UDI-Agir groups as well as among non-attached Members]] [[Same movements]] Under Article 49(6). I will be brief and will not abuse my speaking time. I am rather embarrassed by this debate: while the Socialist and related Group still has quite a lot of time to speak, I do not understand the arguments put forward by the Conference of Presidents to justify its refusal to allow more time to speak. It is to give a very bad image of the National Assembly, while we are debating an absolutely major text, for which we cannot gush over time.
ParlaMint-FR_2019-10-09-O1016.u71	That's the rules!
ParlaMint-FR_2019-10-09-O1016.u72	The truth, with regard to the refusal of the Conference of Presidents, is that this house is overwhelmed by the flow of texts; It is caught in an absolutely untenable calendar. This explains the choice to quickly evacuate the discussion of this bill when it is probably one of the most important pieces of legislation in this Parliament. [[Applause on the benches of the LR and UDI-Agir groups as well as among non-attached Members]] Although my group still has time to speak, on behalf of the democracy that must prevail in this House, I regret that. I wanted to say that and to express my solidarity with my colleagues.
ParlaMint-FR_2019-10-09-O1016.u73	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u74	It is based on Article 48(6) on the progress of our work. First of all, you may note that we have spent our speaking time sparingly. As far as I am concerned, by doing the best I could, I was only able to defend one in four amendments; For all the others, I had to simply mention a word that they were forbidden, because of the time programmed. Do you think that's normal? On Friday afternoon, discussions on embryo research and human embryonic stem cells were dispatched in record time.
ParlaMint-FR_2019-10-09-O1016.u75	Yes!
ParlaMint-FR_2019-10-09-O1016.u76	It's not serious. Comparison is not right, Mr. President, for a simple reason. From the beginning, OPECST – the Parliamentary Office for the Evaluation of Scientific and Technical Options – and we ourselves launched an alert, stressing that we should not mix issues of society and bioethics. But what was to happen was that we had to discuss a major social issue, the expansion of the LDC, four articles,...
ParlaMint-FR_2019-10-09-O1016.u77	For four days, all the same!
ParlaMint-FR_2019-10-09-O1016.u78	[[Applause on the benches of the LR Group and among non-attached Members. – Protests on several benches of the LaREM group]] ... after which we still needed to discuss bioethics calmly. In such a situation, we say loud and clear, the majority has an indelible stain on the debates on bioethics.
ParlaMint-FR_2019-10-09-O1016.u79	Three weeks of debate!
ParlaMint-FR_2019-10-09-O1016.u80	It is not serious to confiscate the word to the opposition in such a situation!
ParlaMint-FR_2019-10-09-O1016.u81	This is a point of order, Mr. Hetzel...
ParlaMint-FR_2019-10-09-O1016.u82	[[Protests on the benches of the LaREM group]] [[Applause on the benches of the LR Group and among non-attached Members]] It is true that you wanted to move this debate forward by forced march to cross certain red lines without us being able to debate it! This is outrageous! It's not up to the stakes!
ParlaMint-FR_2019-10-09-O1016.u83	Mr Xavier Breton has the floor, provided that this is a genuine point of order.
ParlaMint-FR_2019-10-09-O1016.u84	This is the case under Article 48(6). Let me look back at President Le Gendre's words, which speak of markers and political divisions. If you had listened to our debates, my dear colleague,...
ParlaMint-FR_2019-10-09-O1016.u85	He wasn't here!
ParlaMint-FR_2019-10-09-O1016.u86	...you would know that this is not at all the logic we have adopted. We have defended our amendments by going as far as possible to the substance of the issues. On a bioethics text with so many articles and dealing with so many problems, we did not follow a logic of political markers.
ParlaMint-FR_2019-10-09-O1016.u87	That's not a point of order!
ParlaMint-FR_2019-10-09-O1016.u88	It seemed important to me to clarify in what spirit we defended our proposals and deepened the subjects. As Mr Hetzel said, we have not defended all our amendments, so much so. We have managed our time in a cost-effective manner. Let's be very careful. On Sunday, you saw tens of thousands of demonstrators marching against the conditions in which all this is going on.
ParlaMint-FR_2019-10-09-O1016.u89	I gave you the floor for a point of order, Mr Breton!
ParlaMint-FR_2019-10-09-O1016.u90	You add further dissatisfaction with our operating conditions.
ParlaMint-FR_2019-10-09-O1016.u91	That's not a point of order!
ParlaMint-FR_2019-10-09-O1016.u92	First of all, there has been a vote and now we cannot defend our amendments until the end, whether it is the non-attached Members or ourselves. The opinion is outraged!
ParlaMint-FR_2019-10-09-O1016.u93	Thank you, Mr. Breton...
ParlaMint-FR_2019-10-09-O1016.u94	[[Mrs. Agnes Thill applauds]] To prevent us, on an issue as important as bioethics, from defending our amendments to the end is dangerous for democracy and will only amplify discontent.
ParlaMint-FR_2019-10-09-O1016.u95	I ask for the floor for a point of order!
ParlaMint-FR_2019-10-09-O1016.u96	You have already made two points of order, Mrs Ménard. I give you the floor for a very brief statement.
ParlaMint-FR_2019-10-09-O1016.u97	Thank you, Mr. President. My point of order is based on Rule 48(6) and Rule 49(7) and 15. I just wanted to react in my turn to President Le Gendre's comments that the rules had been set from the start. As a non-attached Member of Parliament, I was planning in the early summer what would happen in the Chamber over the last two weeks. That is why I wrote to Mr Richard Ferrand, President of the National Assembly, as well as to all the group presidents from the beginning of the summer in order to alert them to the dangers posed by the use of scheduled legislative time on such an important subject of society. I do not think I have received any reply from you, Mr. Le Gendre.
ParlaMint-FR_2019-10-09-O1016.u98	Thank you, Mrs. Ménard. I understand that you are opposed to scheduled legislative time.
ParlaMint-FR_2019-10-09-O1016.u99	Indeed!
ParlaMint-FR_2019-10-09-O1016.u100	If your point of order concerns a case of non-compliance with the rules, you can tell us, but reiterating your opposition to the scheduled legislative time is out of the question.
ParlaMint-FR_2019-10-09-O1016.u101	One more minute, Mr. executioner!
ParlaMint-FR_2019-10-09-O1016.u102	So finish your sentence...
ParlaMint-FR_2019-10-09-O1016.u103	That's the demonstration of what I just said!
ParlaMint-FR_2019-10-09-O1016.u104	You have received three points of order, Mrs Ménard, which is much more than all the other Members present.
ParlaMint-FR_2019-10-09-O1016.u105	Me, much more time than the others? Unbelievable!
ParlaMint-FR_2019-10-09-O1016.u106	Mr Bastien Lachaud has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u107	[[Applause on several benches in the LR Group and among non-attached Members]] That is based on Rule 49(6), Mr President. Indeed, issues relating to the LDC should never have been dealt with in the context of this bioethics bill.
ParlaMint-FR_2019-10-09-O1016.u108	We agree!
ParlaMint-FR_2019-10-09-O1016.u109	This is a question of equality which has no place in this text. Furthermore, according to Mr Le Gendre, we should welcome the implementation of the scheduled legislative time, which would be very advantageous compared to the ordinary management of the debates.
ParlaMint-FR_2019-10-09-O1016.u110	That's bullshit!
ParlaMint-FR_2019-10-09-O1016.u111	[[Applause on several benches in the LR Group and among non-attached Members]] However, when the scheduled legislative time was introduced, everyone realized that this was a new way to gag Parliament and reduce its rights. Since then, you have adopted such a restrictive regulation on the rights of the opposition and the speaking time of Members that we have come to consider the scheduled legislative time to be better. By your words, you have just demonstrated the Kafkai situation in which we find ourselves, where we should be happy that the scheduled legislative time applies. This is a real democratic problem!
ParlaMint-FR_2019-10-09-O1016.u112	Mr Le Fur has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u113	Under Article 49, paragraph 12. We are looking at an exceptional text, which will mark our mandate, whether we are a supporter or an adversary of the LDC. Texts of this nature remain; Several years after their adoption, they still give rise to exchanges. They therefore deserve exceptional treatment. In addition, this text deals with ethics, a topic that can lead to divisions within each group. It is therefore very difficult for each group to exercise the police of time. Finally, it is a very technical text that takes time. You have rightly recalled the allocation of time between the groups, Mr President. I would also like to remind you that most of the time devoted to our discussions is taken by the rapporteurs and by the Government – which I thank, both of them, for responding substantively to our questions, since we ask for it. Let it be clear, however: this situation has an impact on the whole debate. [[Mrs. Agnes Thill applauds]] [[Laugh. – Vif applause among non-attached MPs]] [[Applause on the benches of the LR Group and among non-attached Members]] What will be retained when our speaking time is exhausted? It should be noted that the main opposition group is treated as non-attached MPs, i.e. as pariahs. In the name of the logic that must prevail in this House, I refuse to be treated like this.
ParlaMint-FR_2019-10-09-O1016.u114	It will remain in history!
ParlaMint-FR_2019-10-09-O1016.u115	Mr Guillaume Chiche has the floor for a point of order.
ParlaMint-FR_2019-10-09-O1016.u116	This point of order is based on Rule 48(6). Allow me a few factual reminders. We have had rich debates on complicated issues, and the time schedule has offered us a chance not to limit the debate to two minutes, including to introduce the amendments. Over the course of our exchanges, interventions exceeding four, five or six minutes were not uncommon; This is a good thing, which the application of scheduled time allows. For these purposes, the Conference of Presidents has set the time for debate at fifty hours, much more than usual. In addition, and in keeping with the facts, Mr President, I would like to point out that the main opposition group, the Republican Group, has benefited from the most important speaking time.
ParlaMint-FR_2019-10-09-O1016.u117	Thank you, my lord! How generous!
ParlaMint-FR_2019-10-09-O1016.u118	It has sometimes been helpful to us!
ParlaMint-FR_2019-10-09-O1016.u119	Furthermore, ladies and gentlemen, you say that the time used by the rapporteurs is not counted against the time programmed. That's right. However, still in a logic of overcoming partisan divisions, we have proposed to all opposition groups to appoint a rapporteur, which is why one of them, Mr Saulignac, comes from the Socialist and related group, and another comes from our MODEM allies, so that the time used by the rapporteurs is not the sole responsibility of the majority group.
ParlaMint-FR_2019-10-09-O1016.u120	We're still not going to bring back a text that we're fighting!
ParlaMint-FR_2019-10-09-O1016.u121	[[Applause on several benches of the LaREM group]] Finally, as regards non-attached Members, apart from the fact that their rights and time of expression have changed profoundly since the adoption of our new regulation, I would point out that, by definition, these Members do not constitute a group and are valued individually. However, ladies and gentlemen, you have the capacity to form a new group or to join an existing group in order to benefit from the scheduled time allocated to it. This is what our colleague, Matthieu Orphelin, has decided to do, and when he joins a group, he has the time to speak and the freedom he has given to the group to which he has associated himself.
ParlaMint-FR_2019-10-09-O1016.u122	The issue of scheduled legislative time has been addressed in many interventions. You haven't spoken yet, Mrs. Chill; I therefore give you the floor briefly, at your request.
ParlaMint-FR_2019-10-09-O1016.u123	[[Claims on several banks of the LaREM and SOC groups]] I have simply stated, as the record of the debates will show, that this will remain a stain on the quinquennium, to which I have heard our colleague Anne-Christine Lang reply: "You too! " I wanted to know if she was talking about me.
ParlaMint-FR_2019-10-09-O1016.u124	That concludes the series of points of order.
ParlaMint-FR_2019-10-09-O1016.u125	Was it about me?
ParlaMint-FR_2019-10-09-O1016.u126	Please, Mrs. Chill.
ParlaMint-FR_2019-10-09-O1016.u127	If some Members start insulting their colleagues, this is not going to go well! Was Mrs. Lang talking about me?
ParlaMint-FR_2019-10-09-O1016.u128	Let's get back to our calm, Congresswoman...
ParlaMint-FR_2019-10-09-O1016.u129	I'm calm! Was it about me?
ParlaMint-FR_2019-10-09-O1016.u130	I would remind you that it is up to the Conference of Presidents to set the framework for our debates and that it is up to me to ensure that it is respected.
ParlaMint-FR_2019-10-09-O1016.u131	Is Amendment No 977 defended, Mr Bazin?
ParlaMint-FR_2019-10-09-O1016.u132	He's going to be!
ParlaMint-FR_2019-10-09-O1016.u133	Let us, however, seriously debate the amendments, even if I know that you want to go fast, Mr President! This interesting amendment by our colleague Jean-Pierre Door aims to strengthen the conditions for the protection of the carrying out for medical purposes of a genetic examination on the deceased, whose dignity must also be respected, by requiring the doctor to possess a specific qualification in genetics.
ParlaMint-FR_2019-10-09-O1016.u134	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1016.u135	In line with the provision which has just been adopted in Article 23, I express an unfavourable opinion, as in the Special Committee.
ParlaMint-FR_2019-10-09-O1016.u136	Mr Jean-François Eliaou has the floor to support Amendment No. 2061.
ParlaMint-FR_2019-10-09-O1016.u137	This semantic amendment, in a way, aims to define somatic genetics, which analyses characteristics that cannot be passed on to descendants. This definition is followed by several paragraphs of consistency with the text as a whole.
ParlaMint-FR_2019-10-09-O1016.u138	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1016.u139	This amendment is timely. Favourable opinion.
ParlaMint-FR_2019-10-09-O1016.u140	I have two identical amendments before me, Nos 2193 and 2335. The Secretary of State has the floor to support Amendment No. 2193.
ParlaMint-FR_2019-10-09-O1016.u141	Does a parliamentarian want to defend Amendment No 2335, which is identical? Otherwise, I will defend the Government's amendment.
ParlaMint-FR_2019-10-09-O1016.u142	Mrs Aurore Bergé has the floor to support Amendment No. 2335.
ParlaMint-FR_2019-10-09-O1016.u143	This clarification amendment tabled by Mr. Jacques Marilossian, after consultation with the Government and the rapporteur, is intended to insert the concept of parenting in paragraph 7.
ParlaMint-FR_2019-10-09-O1016.u144	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1016.u145	Very favourable opinion. This is an amendment which I myself had tabled and which was retold under Article 40 of the Constitution, which I had challenged. It is in line with our discussions with the Government.
ParlaMint-FR_2019-10-09-O1016.u146	Mr Jean-François Eliaou has the floor to support Amendment No. 2062.
ParlaMint-FR_2019-10-09-O1016.u147	This is an amendment of consistency with the definition of constitutional and somatic genetics.
ParlaMint-FR_2019-10-09-O1016.u148	Amendments Nos 2178 and 2179 by Mr Jean-François Eliaou are drafting.
ParlaMint-FR_2019-10-09-O1016.u149	Mrs Carole Bureau-Bonnard has the floor to support Amendment No. 2429.
ParlaMint-FR_2019-10-09-O1016.u150	This amendment by my colleague Anne Brugnera is intended to insert, in paragraph 6, the words "public and private" after the word "organisms", in order to clarify that all organizations may participate in the activities mentioned in article L. 513-11-1 of the Public Health Code.
ParlaMint-FR_2019-10-09-O1016.u151	What is the opinion of the committee?
