ParlaMint-FR_2019-10-09-O1017.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-09-O1017.u38	Let me respond to some of the arguments put forward to justify the rejection of our amendment. However, it seems to me to be bordered since we have specified that it is deposited in reaction to the absence of reimbursement of the costs of self-conservation, apart from pathological situations. Moreover, it seems to me contradictory to pretend to want to prevent employers from offering to pay back gametes and using this argument to put pressure on them, while deciding to expose their employees to this risk when the problem could be solved by providing for reimbursement by social security. Rather, your concern should be in the direction of reimbursement, which would free the people concerned from economic constraint, probably minimal for some, less for others. The question of techniques has often been addressed in the course of the discussions. I don't think it's a superficial comfort choice: we don't say, "Here, why don't we keep my gametes? » for pleasure. These decisions are considered; It cannot be considered that they are taken lightly by giving examples of imaginary people who would be denied the freedom to keep their gametes for their mere pleasure.
ParlaMint-FR_2019-10-09-O1017.u39	Why imaginary?
ParlaMint-FR_2019-10-09-O1017.u40	[[Applause on the benches of the FI group]] This discussion deserves reflection. If it is not possible to take direct action in the bill, it is the purpose of a report to go to the end of a reflection; It is therefore fully justified.
ParlaMint-FR_2019-10-09-O1017.u41	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-10-09-O1017.u42	Forgive me for taking the floor again...
ParlaMint-FR_2019-10-09-O1017.u43	He's been talking since Friday!
ParlaMint-FR_2019-10-09-O1017.u44	...but I wanted our exchanges to be perfectly clear and sincere.
ParlaMint-FR_2019-10-09-O1017.u45	They didn't forget to do politics!
ParlaMint-FR_2019-10-09-O1017.u46	Social security reimburses the act of collection aimed at the self-conservation of oocytes, which is, with ovarian stimulation, the most expensive act. It is therefore wrong to claim that there is no support. [[Exclaims on FI banks]] No one, Mrs. Fiat, suggested that 40 euros did not represent much. Perhaps I have been misunderstood or misrepresented, but no one here despises the fact that a sum of 40 euros can be substantial for a person or a home. The object of the rest, as I explained to you, is the need to reconsider the continued conservation of the oocytes. Finally, Mrs. Obono, we are not talking about imaginary people. All the strength of the amendment I have quoted, which aims to prevent an employer from financing the self-conservation of oocytes of its employees, does not come from anywhere; practice exists in particular across the Atlantic. Some companies such as Facebook or Amazon offer their employees to finance the conservation of their oocytes, including to get a delay in pregnancy. I have not personally been confronted with this situation, but I imagine that many colleagues here have been involved, and that, despite the prohibition in force, many female citizens face a tragic and illegal question in their interview as to whether or not they are planning a pregnancy, a factor that may hinder hiring. This practice, which is strictly prohibited by law, is unfortunately widespread. While we allow the self-conservation of the oocytes, we must anticipate the drifts; This practice is one of them.
ParlaMint-FR_2019-10-09-O1017.u47	[[Smile]] Can you explain again?
ParlaMint-FR_2019-10-09-O1017.u48	I call Mr Thibault Bazin to support Amendment No. 1858.
ParlaMint-FR_2019-10-09-O1017.u49	[[The speaker spoke very quickly. – Applause on the benches of the LR group – "What a performance! » on various other benches]] This bill often uses the words "discontinuing the conservation of embryos". However, the manner in which these embryos are destroyed is not defined. This gap needs to be addressed by seeking the most ethical way. This is the objective of the report requested by the Government to disseminate the most respectful practices.
ParlaMint-FR_2019-10-09-O1017.u50	Would you like to give the committee's opinion on the same pace, Madam rapporteur?
ParlaMint-FR_2019-10-09-O1017.u51	[[Smile]] Unfavorable!
ParlaMint-FR_2019-10-09-O1017.u52	The amendment deserves an answer!
ParlaMint-FR_2019-10-09-O1017.u53	What a contempt! We spend the last seconds of our speaking time on this amendment and you are content with an "unfavorable"! No!
ParlaMint-FR_2019-10-09-O1017.u54	Even the minister wanted it...
ParlaMint-FR_2019-10-09-O1017.u55	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u56	Your amendment, Mr President, is aimed at producing a report on the conditions for the destruction of embryos. This debate has been settled for a long time, I am convinced that you know that...
ParlaMint-FR_2019-10-09-O1017.u57	What happens to the embryos? Are they swinged? Incinerated? Practices differ!
ParlaMint-FR_2019-10-09-O1017.u58	...by the jurisprudence of the Constitutional Council, which has often been discussed during debates in public sittings and in committees. I assure you: the law strictly regulates the conditions under which the preservation of embryos can be terminated without it being necessary to return to it. That is why I am against your amendment.
ParlaMint-FR_2019-10-09-O1017.u59	Mrs Geraldine Bannier has the floor to support Amendment No. 1572.
ParlaMint-FR_2019-10-09-O1017.u60	It is not easy to defend an amendment in this atmosphere less relaxed than tense... I regret that it was postponed to the end of the text because of Rule 40, because it contains an important idea. It is intended that a report be submitted within six months of the enactment of the law concerning the three-year experiment of a digital device to connect a donor with a person from the donation. We have authorized access to the origins of section 3. I wonder how this access will be realized and how it will be implemented. What will happen, for example, in the following case? A former donor agrees to make himself known and goes to the commission for access to non-identifiable data. On the other hand, a major person from the donation wants to know the identity of the donor. He will be given a name and surname, possibly a place of birth; He then manages by calling the donor, or even by going to the donor in person. It's an extremely intrusive process. The amendment aims to reflect on the introduction of a digital tool using modern techniques. It is sometimes easier to send an e-mail, and more convenient to access the non-identifiable data of a folder via a digital tool. Clearly, it is about making the contact between the former donor and the donor more humane by means of a digital tool, and providing a credible alternative solution to the American platforms, which are widely used today. This amendment therefore seems to me to deserve reflection, despite the fact that it is at the end of the discussion.
ParlaMint-FR_2019-10-09-O1017.u61	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u62	She's entitled to a detailed answer!
ParlaMint-FR_2019-10-09-O1017.u63	As discussed in the discussion of Article 3, the purpose of the text is to provide access to the origins of individuals from MPAs, not to facilitate the linkage between donors and those from the donation. However, I understand the intention that you express in your amendment and, since it is a report to consider a possible solution, I express a wisdom opinion.
ParlaMint-FR_2019-10-09-O1017.u64	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u65	Unfavorable opinion. As you know, honourable Member, this bill creates a secure mechanism for legal access to unidentifiable data and the identity of the gamete donor. In particular, we plan to create a commission, one of whose tasks will be to inform and accompany third-party donors, under the 6° of the proposed text for article L. 2143-6 of the Public Health Code. In addition to the elements mentioned by the rapporteur, your proposal does not seem to us to be sufficiently secure and too parallel to the reform we are advocating.
ParlaMint-FR_2019-10-09-O1017.u66	Mrs Aurore Bergé has the floor.
ParlaMint-FR_2019-10-09-O1017.u67	I would not like to reopen a debate that we have already had, but we did not want the bill to enshrine a right to the relationship between donors and those from the gift. The rapporteurs, the Government and the deputies of the majority recalled this position during the discussion of the text. The bill does not remove anonymity, but only recognizes the right of access to its origins. The prospect of a report that would look at the potential relationship between donors and donors would be a breach of the principle of no right to the relationship that we have included in the bill. That is why we will vote against this amendment.
ParlaMint-FR_2019-10-09-O1017.u68	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2019-10-09-O1017.u69	This principled position is far from reality!
ParlaMint-FR_2019-10-09-O1017.u70	I call Mrs Emmanuelle Ménard to support Amendment No. 1577.
ParlaMint-FR_2019-10-09-O1017.u71	It is defended because of the time programmed.
ParlaMint-FR_2019-10-09-O1017.u72	I have before me three identical amendments, No 258 corrected, 515 corrected and 1303 corrected. Mr Alain Ramadier has the floor to support Amendment No. 258, as corrected.
ParlaMint-FR_2019-10-09-O1017.u73	He's forbidden.
ParlaMint-FR_2019-10-09-O1017.u74	I call Mr Patrick Hetzel to support Amendment No. 515 as corrected.
ParlaMint-FR_2019-10-09-O1017.u75	Because of the time schedule, I'm just saying that he's being defended.
ParlaMint-FR_2019-10-09-O1017.u76	I call Mr Thibault Bazin to support Amendment No. 1303 as corrected.
ParlaMint-FR_2019-10-09-O1017.u77	The time programmed prompts me to express myself soberly: defended.
ParlaMint-FR_2019-10-09-O1017.u78	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u79	He's unfavorable. The subject has been widely discussed in our debates, and article 19 also makes room for foetal medicine.
ParlaMint-FR_2019-10-09-O1017.u80	I have before me three identical amendments, Nos 259, 516 and 1304. Mr Alain Ramadier has the floor to support Amendment No 259.
ParlaMint-FR_2019-10-09-O1017.u81	He's forbidden.
ParlaMint-FR_2019-10-09-O1017.u82	I call Mr Patrick Hetzel to support Amendment No. 516.
ParlaMint-FR_2019-10-09-O1017.u83	Because of the time programmed: defended.
ParlaMint-FR_2019-10-09-O1017.u84	I call Mr Thibault Bazin to support Amendment No. 1304.
ParlaMint-FR_2019-10-09-O1017.u85	Because of the time programmed: defended.
ParlaMint-FR_2019-10-09-O1017.u86	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u87	[[Exclaims on many benches in the LR group]] Colleagues, I will still give you an answer. The subject has been widely discussed in our discussions, and we have seen that there is a lot of research on trisomy 21. For example, a study group on this pathology is funded by the Hospital Clinical Research Program – PHRC – which has also funded epidemiological studies. The opinion is unfavourable.
ParlaMint-FR_2019-10-09-O1017.u88	I call Mrs Vanceunebrock-Mialon to support Amendment No. 1823.
ParlaMint-FR_2019-10-09-O1017.u89	Mrs Ramlati Ali is the first signatory of the amendment. Sickle cell disease is a combination of genetic diseases that affect hemoglobin. It is one of the five diseases included in the national neonatal screening program. In France, the detection of this disease has been widespread among all newborns since 1989 in the overseas departments and regions. In metropolitan France, it has only been carried out since 1995 and only for newborns who are at particular risk of developing the disease, depending on the geographical origin of their parents – the West Indies, Africa and the Mediterranean. [[The speaker interrupts, takes a crazy laugh]] In 2014, the High Health Authority (HAS) was seized of the question of the possible extension of screening to the entire population, regardless of the origin of the parents. This amendment is forbidden, please excuse me.
ParlaMint-FR_2019-10-09-O1017.u90	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u91	The topic had already been discussed during the consideration of article 9 of the draft law, during which the Committee and the Government had provided all the necessary clarifications. The opinion is unfavourable.
ParlaMint-FR_2019-10-09-O1017.u92	What a sectarianism!
ParlaMint-FR_2019-10-09-O1017.u93	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u94	[[Rires on a few benches of the LaREM group]] Madam Member, you have set out very well the chronology of public policy in this area – to a certain extent, at least. As you recalled, in 2014 the High Health Authority examined the hypothesis of a generalization of neonatal screening for sickle cell disease in metropolitan France, but did not conclude that it was necessary. As she said in committee, the Minister of Solidarity and Health decided to refer the matter to the HAS again to determine whether certain recent medical data led her to revise the opinion given five years ago. We await the High Authority's response before the end of the year and will act on its basis. I propose that you withdraw your amendment, which is somewhat satisfied; Otherwise, my opinion will be unfavorable.
ParlaMint-FR_2019-10-09-O1017.u95	I call Mr Patrick Hetzel to support Amendment No. 130.
ParlaMint-FR_2019-10-09-O1017.u96	Because of the time schedule, I'm just saying that he's being defended.
ParlaMint-FR_2019-10-09-O1017.u97	We really would have liked to support your amendment, Madam President!
ParlaMint-FR_2019-10-09-O1017.u98	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u99	This topic was widely discussed in the discussion of article 10. The opinion is unfavourable.
ParlaMint-FR_2019-10-09-O1017.u100	I have two identical amendments before me, Nos 330 and 558. I call Mrs Emmanuelle Anthoine to support Amendment No. 330.
ParlaMint-FR_2019-10-09-O1017.u101	Because of the time programmed: defended.
ParlaMint-FR_2019-10-09-O1017.u102	I call Mr Patrick Hetzel to support Amendment No. 558.
ParlaMint-FR_2019-10-09-O1017.u103	Because of the time programmed: defended.
ParlaMint-FR_2019-10-09-O1017.u104	I call Mrs Michèle de Vaucouleurs to support Amendment No. 2017.
ParlaMint-FR_2019-10-09-O1017.u105	Many of us have asked about the value of legalizing gene testing for genealogical purposes. This amendment, the first of which is my colleague Bruno Fuchs, asks the Government to submit to Parliament a report on the interest of legalizing genetic testing in France, in order to stem the flight of French data abroad. I hope he finds an echo in our ranks.
ParlaMint-FR_2019-10-09-O1017.u106	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u107	As with the previous amendments, this topic was widely debated and then decided upon during the discussion of Article 10. The opinion is unfavourable.
ParlaMint-FR_2019-10-09-O1017.u108	Amendment No 218 by Mr Xavier Breton is being defended.
ParlaMint-FR_2019-10-09-O1017.u109	Mr Gilles Lurton has the floor to support Amendment No. 837.
ParlaMint-FR_2019-10-09-O1017.u110	Because of the time programmed: defended.
ParlaMint-FR_2019-10-09-O1017.u111	Mrs Danièle Obono has the floor to support Amendment No. 2355.
ParlaMint-FR_2019-10-09-O1017.u112	This is a new request for a report on the procedure for the collection of consent to donation and the procedure for early joint recognition in reproductive health care. We would like to see an assessment of the average cost of these steps in order to determine whether lesbian couples, to whom the bill imposes two different acts, will not incur an additional expense compared to heterosexual couples. The report would also examine the financial consequences of the removal of the judge's role. We had already raised the issue during the review of the Justice Programming and Reform Act, when the Government and the majority decided to privatize a large number of approaches. Previously conducted before a judge, which made it possible to ensure easy and free access to the services concerned by the court, they are now partly outsourced to private actors. We find the same idea in this text and we hope that the Government will study the consequences for lesbian women's couples of the procedure you have absolutely wanted to submit to establish prior consent for the donation and early recognition of the unborn child. [[Applause on the benches of the FI group]] The decline of the judge results in new costs for families, which must be known if we are to be able to limit them. Similarly, the choice of having two different acts for women's couples could lead to additional costs, which could lead to inequalities.
ParlaMint-FR_2019-10-09-O1017.u113	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u114	The opinion is unfavourable. The amendment refers to early joint recognition before the judge, whereas under Article 4 this recognition will be given before a notary. In addition, the 2018-2022 programming and justice reform law of 23 March 2019 exempted these registration fees. Your amendment therefore seems to me to be satisfactory, hence the unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u115	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u116	Same opinion.
ParlaMint-FR_2019-10-09-O1017.u117	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2019-10-09-O1017.u118	The law of reform for justice has in fact abolished the registration fees: couples whose consent is collected must no longer pay only the act itself, whose cost is 72 or 75 euros – I no longer have the exact amount in mind. [[Ms. Coralie Dubost applauds]] I am told that, in some cases, notaries are asking for a higher amount of money because of the advice they would give when collecting consent. I say here that such practices are not ethically correct. I will therefore draw closer to the High Council of the Notariat, which we know well, so that these rules are clearly reaffirmed to the notaries, who, moreover, are doing a very remarkable job.
ParlaMint-FR_2019-10-09-O1017.u119	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-10-09-O1017.u120	[[Caroline Fiat applauds]] Thank you, Minister, for your intervention, which confirms the relevance of our request for a report. This problem goes beyond ethics and affects equality. Indeed, you have introduced a second act, joint recognition, which we believe – and we are not the only ones – was absolutely unnecessary. You have chosen to privatize these procedures and transfer them to notaries for budgetary reasons. You have just confirmed the problems posed by this transfer, so the need to address the issue. I have no doubt that you are speaking to the notaries, but we must accept our request for a report, since the justification for your opinion against our amendment shows, in fact, its usefulness and therefore sounds like a favourable opinion.
ParlaMint-FR_2019-10-09-O1017.u121	The next speaker is Ms. Keeper of the Seals.
ParlaMint-FR_2019-10-09-O1017.u122	I would like to respond briefly to Mrs Obono, so that things are very clear. We say clearly here that in cases where two acts – consent to donation and early joint recognition – are necessary, they will be charged at a single price, at a cost of 75 euros. I will check again with the notaries that this is the case. Furthermore, it seems to me that this subject does not call for a report to be submitted. Overall – I have had the opportunity to say so in other contexts – I am not very in favour of the multiplication of reports – but this is not the subject on which I am speaking here.
ParlaMint-FR_2019-10-09-O1017.u123	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2019-10-09-O1017.u124	We understand that people don't like relationships, but there is a real problem here. Minister, you have just said that you are going to conduct an audit. This is the purpose of a report: to verify that a provision is being applied. Therefore, I do not understand how you can give an unfavorable opinion to the amendment, even though the report we are asking for includes the verification that you are about to do. In my view, the opinion can only be favourable.
ParlaMint-FR_2019-10-09-O1017.u125	Mrs Coralie Dubost has the floor.
ParlaMint-FR_2019-10-09-O1017.u126	The loop is closed with our debates this afternoon, during which we created – Mrs Romeiro Dias, rapporteur – a parliamentary delegation on the application of bioethics laws.
ParlaMint-FR_2019-10-09-O1017.u127	We created it, not the rapporteur!
ParlaMint-FR_2019-10-09-O1017.u128	In this context, this topic can be dealt with. It may also be carried out in the context of the monitoring of the implementation of laws by the Law Commission and the Social Affairs Commission. Of course, we will ensure that the current pricing, which the Minister recalled, is applied. There is no doubt about that.
ParlaMint-FR_2019-10-09-O1017.u129	In that case, vote in favour of the amendment!
ParlaMint-FR_2019-10-09-O1017.u130	I call Mr Reiss to support Amendment No. 204.
ParlaMint-FR_2019-10-09-O1017.u131	Because of the scheduled legislative time, I'm just saying it's forbidden!
ParlaMint-FR_2019-10-09-O1017.u132	I have before me two identical amendments, Nos 52 and 376. Mr Alain Ramadier has the floor to support Amendment No. 52.
ParlaMint-FR_2019-10-09-O1017.u133	Defendant.
ParlaMint-FR_2019-10-09-O1017.u134	I call Mr Patrick Hetzel to support Amendment No. 376.
ParlaMint-FR_2019-10-09-O1017.u135	Because of the time schedule, I'm just saying it's forbidden!
ParlaMint-FR_2019-10-09-O1017.u136	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u137	Colleagues, Article 1 provides for the submission of an evaluation report on its provisions. Your amendments are therefore satisfactory. Unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u138	Mrs Danièle Obono has the floor to support Amendment No. 2409.
ParlaMint-FR_2019-10-09-O1017.u139	This is again a request for a report.
ParlaMint-FR_2019-10-09-O1017.u140	How come they still have time to speak?
ParlaMint-FR_2019-10-09-O1017.u141	It is often said that we are asking for too many reports, but with regard to this bill, it seems to me that we can agree that many issues remain outstanding. The discussions raised many questions, which remained unanswered due to lack of sources of information. This text should provide for a greater number of reports, because we will need them, and our successors too, for their work. The question of the establishment of the filiation of children of persons who have made a change in the mention of their sex in the civil register is one of those subjects on which we will have to – this will be a necessity – look again. We propose that a report should already be drawn up to make proposals for amending the common law in order to simplify the establishment of the filiation of children from couples of which at least one of the members is a transgender person. To the extent that the present bill leaves difficulties in establishing filiation to them in law, such a report seems particularly relevant. It would allow consideration of the issue of transgender persons. In particular, it could raise the issue of amending the law of filiation, so that the common system of filiation could be applied to persons who had children without medical intervention or through reproductive medical assistance without third-party donors. The more work we have done, the better the conditions under which future parliamentary debates on bioethics will take place, and the more we move forward on these issues, which are not merely theoretical and abstract, but affect daily realities for some of our fellow citizens.
ParlaMint-FR_2019-10-09-O1017.u142	What is the opinion of the committee?
ParlaMint-FR_2019-10-09-O1017.u143	If the subject covered by the amendment is interesting, its link with bioethics seems somewhat tenuous to me. The issue of the filiation of children from transgender individuals is outside the scope of this bill. Of course, we have referred to filiation, but only – we have had the opportunity to say so on several occasions – to draw the consequences of the opening of the LDC to all women. There is no question at all of having a full debate on the subject, nor of reshaping the law of filiation. Dear colleague, I do not see the report of your amendment with the law of bioethics. Unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u144	What is the Government's opinion?
ParlaMint-FR_2019-10-09-O1017.u145	Unfavorable opinion.
ParlaMint-FR_2019-10-09-O1017.u146	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2019-10-09-O1017.u147	It becomes complicated to know – even if you guess – who decides whether or not the amendments are relevant to the text. Thus, medically assisted procreation has a bearing on the text, whereas it is a subject of society. Euthanasia, which is also one, has no euthanasia. And the question raised by this amendment would not have anything to do with the text!
ParlaMint-FR_2019-10-09-O1017.u148	Absolutely!
ParlaMint-FR_2019-10-09-O1017.u149	At some point, we have to show some consistency! If it is decided that the reports requested by the opposition are unrelated to the text under consideration, the debates will soon be completed! Some may be relieved, but we're not here to escape the debates, we're here to get some! I would therefore like to know who decides whether or not the amendments relate to the text.
ParlaMint-FR_2019-10-09-O1017.u150	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-10-09-O1017.u151	I would like to add to our colleague's statement. The rapporteur's answer is somewhat surprising. Many amendments were rejected for inadmissibility on the grounds that they had no direct or indirect link to the text. The one we are debating has not been declared inadmissible by the Assembly's services. It is therefore in fact related to the text. As for the very purpose of our request, a report on this issue is necessary. Our discussions have brought to light the problems of filiation, in particular that of children of transgender persons, whether or not they have registered their gender changes in civil status. We discussed it at length; Agreements and disagreements were expressed. It cannot be said that this issue has been absent from our debates. Frankly, the rapporteur's argument falls into question. To push back our amendment is to refuse to give ourselves the means, when we have these debates again – because we will have them again – to have some substantial data; It's refusing to start work. We had a debate earlier on short time and long time...
ParlaMint-FR_2019-10-09-O1017.u152	And now it's starting to take a long time!
ParlaMint-FR_2019-10-09-O1017.u153	... and on the work that needs to be started now with a view to future discussions. This is typically a subject, filiation, about which we say, not that we need to debate it now, but that we need to provide ourselves with the means to have a debate based on data that is not very convincing. To push back our amendment seems to me to be truly counterproductive, regardless of the rejection of all requests for opposition reports,...
ParlaMint-FR_2019-10-09-O1017.u154	That's not true! Some applications have been adopted!
