ParlaMint-FR_2019-02-14-O1149.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-14-O1149.u12	Like Mr Pupponi, I can testify to the gap between the State's commitments and their practical application on the ground. On the separation of the classes of CP, I confirm his words. But it is worse: we were told that the amounts paid would be subtracted from the appropriations of the city's policy. The fact that a municipality is eligible for the DSU will therefore not change its situation. In addition, the sums paid to the communes are not related to the amounts to be committed to divide the classes. The municipalities belonging to the priority education network which, being not the first years in the reinforced priority education network – REP + – have not doubled the classes of CP, will now do so. In the municipality of Drancy, which I know well, the separation of classes of CE1, which represents considerable amounts, will take place this year. At the same time, we are told that, at the beginning of the school year, kindergarten children will have to be accommodated not only in the morning but also in the afternoon, while some of those who currently go to kindergarten in the morning do not return in the afternoon. I'm sorry to admit that, but we will not be able to do the necessary – neither in terms of budget nor time – to accommodate all the students. The aim of the amendment is to point out that, if the State fails to comply with its commitments, the obligations it imposes are obsolete. In short, we are seeking legislative contracting. Minister, I ask you to draw the attention of the Prime Minister and the Minister of Finance to one last point. Our operating expenses will increase. However, the increase in public expenditure is limited to 1.2% per year in municipalities with more than 50,000 inhabitants. We already encounter a difficulty, given the end of the personalized accompaniment in REP +. We're picking up the kids. We take them to school in the evening. We charge the parents and commit an additional expense. At the very least, this expenditure should not be included in the calculation of operating expenditure, which is capped at 1.2 per cent. Otherwise, an equation will be created that local elected officials will not be able to solve.
ParlaMint-FR_2019-02-14-O1149.u13	Ladies and gentlemen, so that we can move forward in the debate, I would point out to you that, on each amendment, only two speakers will speak, which will not prevent the expression of each of the sensitivities represented in the House. The Minister has the floor.
ParlaMint-FR_2019-02-14-O1149.u14	Mr President, since we are at the beginning of the discussion and the speakers are going to go right to the point, I shall draw up a picture of the situation, even if it is a little long. During the rest of the session, I will be more disciplined, so that we can go faster, as you wish. Mrs Descamps, thank you for having tabled this amendment, because I share your objective. To cover the investment and operating costs of the reform, a good alliance between the municipalities and the State is quite possible, including taking into account the constraints mentioned by Mr Pupponi and Mr Lagarde. Allow me a brief historical reminder to put our action in perspective. We have repeated it sufficiently in the last few days: we are in line with compulsory education, created by the Ferry Acts of the 1880s, which today have constitutional value and have imposed the presence of a school in each municipality. The existence of primary education near each child is still a duty for us. The Debré law added that private schools under contract are of the same logic, because they perform a public service and contribute to this proximity. Decentralization laws have also been an important step, highlighting the idea of a lump-sum scheme, thus taking into account possible additional costs when there are more children attending school in a municipality. In the end, the Carle law is to the laws of decentralization what the Debré law has been to the Ferry laws: it tends to consider that private education under contract renders a public service, which creates for it a duty of the same kind for the communes as that which binds them to public education. In this connection, I would point out that the sums we are talking about concern both public and private schools under contract. In the previous debates, I had the impression that the discussion was only about the latter. However, the amounts involved – I am talking only about operating expenses – will mainly concern the public school. We draw the constitutional and legal consequences of a decision – that of making education compulsory from three years on – which is at the heart of the bill. What logic do we pursue? The simple and clear application of Article 72 of the Constitution, which obliges us, the State, which includes us, because we are the State, to accompany the communes when an extension of jurisdiction creates additional burdens. I'm talking about extension, not transfer of skills. To accompany this extension, we must evaluate it. This will be done in n+1, i.e. from the difference between the year 2019-2020 and the year 2018-2019. I would like to make another clarification. The decisions we make by making education compulsory from three years old will have no effect on the amount of the package. This one remains intact. It is a matter of the freedom of the municipalities to discuss it in the current framework, which does not change. On the other hand, our discussion may have a potential impact, which will be zero in many municipalities, on the increase in the number of pupils going to kindergarten, thus on the change in the number of packages. We are in a position to assess this increase. In fact, we presented this principle to the National School System Assessment Board, which we received prior to the bill, which shows that the elected officials who looked at our proposal found it honest. We propose that all municipalities which, as a result of the reform, will have to pay an additional cost be reimbursed on the basis of the comparison between the expenditure incurred between 2019-2020 and 2018-2019. This simple rule, which respects the Constitution, will enable the municipalities to be accompanied from a collaborative perspective. We are in the same boat, as we have been in the REP and REP + system, despite the difficulties you have cited and which we have been able to solve every time, because we want to accompany the action that the mayors carry out with enthusiasm, aware that it is good for their commune. Yesterday, I talked about investment, you called her back, Mrs. Descamps. In addition to the operating costs which I have just mentioned and which may raise other questions on your part, this aspect must also be taken into account. [[Applause on the benches of the LaREMet UDI-Agir groups]] As for the increase in the costs resulting from the application of the reform, as a result of the increase in the number of packages, Mr Lagarde, you will not only be reimbursed, but it will not be included in the amounts recorded to calculate the expenditure of municipalities of more than 50,000 inhabitants, capped at 1.2% per year.
ParlaMint-FR_2019-02-14-O1149.u15	That's good news!
ParlaMint-FR_2019-02-14-O1149.u16	On this point, I will not have to question Bercy, because I have already done so. That's information that might free minds. As you can see, it is a matter of initiating a virtuous logic by creating a partnership for a national and communal public policy in kindergarten. [[Applause on the benches of the LaREM group]] This refers to investment issues, but as these are not at the heart of the article, I will not talk about them at this stage at very long notice. For the time being, we are considering the reimbursement of operating costs. But it is obvious that we want to initiate a policy of partnership between the state and the communes to create the kindergarten of the twenty-first century, which requires compulsory education at three years and with equipment that is always modernized.
ParlaMint-FR_2019-02-14-O1149.u17	I put to the vote Amendment No. 1137.
ParlaMint-FR_2019-02-14-O1149.u18	The result of the vote is as follows: Number of voters 57 Number of votes cast 56 Absolute majority 29 For adoption 22 Against 34
ParlaMint-FR_2019-02-14-O1149.u19	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2019-02-14-O1149.u20	[[Protests on the benches of the LaREM group]] [[Same movements]] My point of order is based on Rule 58(1). Mr President, we have heard your opening remarks on the progress of the proceedings, but it is clear that the debate must be able to take place and that we must be able to express ourselves. So we rely on your wisdom to apply with some flexibility the rule you have made. Otherwise, you know that we have tools, such as sitting suspensions, sub-amendments, which would allow us to express ourselves, in the event that the Presidency seeks to gag opposition groups. I repeat that it is important that wisdom prevails, and that is the case, Mr. President, since your wisdom is at hand. Thank you for making sure that we can express ourselves, when the topics discussed are particularly sensitive.
ParlaMint-FR_2019-02-14-O1149.u21	[[Laughs and applause on the benches of the LaREM group]] I have taken note of your point of order and I am glad that you can rest on my wisdom, as long as I rest on yours...
ParlaMint-FR_2019-02-14-O1149.u22	I have before me an amendment No 3, which is the subject of a sub-amendment No 1118. Mrs Brigitte Kuster has the floor to support the amendment.
ParlaMint-FR_2019-02-14-O1149.u23	This editorial amendment by my colleague Sébastien Leclerc aims to clarify that the resources corresponding to the compensation we are talking about will be allocated directly to the community responsible for schooling, either the municipality, which can assume this competence directly or entrust it to an inter-municipal union, or the inter-municipality, which may have been delegated jurisdiction by the commune.
ParlaMint-FR_2019-02-14-O1149.u24	The rapporteur, Mrs Anne-Christine Lang, has the floor to support sub-amendment No. 1118.
ParlaMint-FR_2019-02-14-O1149.u25	It's editorial. Subject to its adoption, I give an opinion in favour of the amendment.
ParlaMint-FR_2019-02-14-O1149.u26	What is the Government's opinion on the sub-amendment and on the amendment?
ParlaMint-FR_2019-02-14-O1149.u27	Favourable.
ParlaMint-FR_2019-02-14-O1149.u28	On Amendment No 1138, I am seized by the UDI Group, acting independently, of a request for a public vote. The vote is announced in the National Assembly. Mrs Beatrice Descamps has the floor to support it.
ParlaMint-FR_2019-02-14-O1149.u29	It aims to ensure that the compensation is calculated each year, not once on the basis of the increase in compulsory expenditure for the school year 2019-2020 compared to the previous school year. In this way, municipalities already having an agreement with private schools in their territory will not be penalized.
ParlaMint-FR_2019-02-14-O1149.u30	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1149.u31	The actual additional cost for the municipalities of the three-year education obligation will be limited, as the Minister has indicated. The scope will be constant, i.e. excluding the impact of the requirement of instruction at 3 years. The number of children attending school is expected to decrease by about 155,000 by 2022. I would like to remind you that it is estimated that only 26,000 additional students attend school at the age of three. The annual adjustment mechanism you are proposing therefore does not seem to me justified. My opinion is therefore unfavorable.
ParlaMint-FR_2019-02-14-O1149.u32	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u33	Same opinion.
ParlaMint-FR_2019-02-14-O1149.u34	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-14-O1149.u35	I do not understand that we are opposed to this common-sense amendment. The ideal would still be to make an annual assessment, because some situations would be unfavourable to the municipalities, while others would be unfavourable to the State. If the calculation is frozen over time based on the increase in compulsory expenditure for the school year 2019-2020, taking into account the evolution, each year, of the number of students from 3 to 6 years will be impossible. This amendment makes it possible to estimate the annual cost, thus compensation by the State. If we freeze the calculation according to the year 2019-2020 alone, the losers will necessarily be either the State, the municipality or the intercommunality. The annual evaluation makes it possible to recalculate according to the reality of the expenditure.
ParlaMint-FR_2019-02-14-O1149.u36	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-14-O1149.u37	First of all, I would regret that limiting the number of speakers prevents certain groups from speaking: by giving the floor only to the right and the left, my group may be forgotten. Turning to the amendment, we too are in favour of calculating the additional cost or the reduction in costs each year: this would be more in line with the reality of the municipality's expenditure and would ensure the sustainability of compensation which would be balanced each year.
ParlaMint-FR_2019-02-14-O1149.u38	Mr Pierre-Henri Dumont has the floor.
ParlaMint-FR_2019-02-14-O1149.u39	I find it difficult to understand the argument put forward by the rapporteur, who neglects the fact that a new subdivision or social housing has been built in a commune, but also that the reduction in the number of births that we see across the country is not always true at the local level. In such cases, a re-evaluation will be necessary to adjust and allow the municipalities to enrol children from 3 years of age. I would add that operating expenses are often incurred in the long term. When a municipality hires a specialized territorial officer from additional nursery schools to accompany more children, or rather classes, this expenditure will persist even though the number of pupils would fall, if only because the ATSEM cannot be dismissed overnight. For all these reasons, we must support the amendment tabled by Mr Béatrice Descamps.
ParlaMint-FR_2019-02-14-O1149.u40	Mrs Agnès Firmin Le Bodo has the floor.
ParlaMint-FR_2019-02-14-O1149.u41	It is an amendment of common sense. Minister, I have no doubt about your willingness to accompany the communes. That is what this amendment will allow! It adheres to the reality of the pupils welcomed by the communes, it adheres to the demographic reality. And this applies to the opening and closing of classes as well as to the reception of children at the age of three.
ParlaMint-FR_2019-02-14-O1149.u42	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-14-O1149.u43	I will subsequently defend an amendment to remove private nursery schools from the scope of the new compulsory expenditure of the municipalities. I take it from these exchanges that he is unlikely to be adopted... [[Applause on the benches of the LR and UDI-Agir groups]] It must be noted, however, that the situation is not the same in the countryside and in cities like mine, in the near suburbs of Paris, where the construction of new neighbourhoods can lead to the installation of between 1500 and 2000 inhabitants, often young couples with young children. In three or four years, the situation can therefore fluctuate sharply and it is important to adapt to the logic of the territories, as this amendment would allow.
ParlaMint-FR_2019-02-14-O1149.u44	All right!
ParlaMint-FR_2019-02-14-O1149.u45	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-14-O1149.u46	To go in the same direction, it goes without saying that the article must be corrected. In particular, I hope that the school attendance of three-year-olds will enable the public to regain ground in the private sector, by ensuring that parents who have previously schooled their children in the private sector choose public school. We need to refine compensation year after year, regardless of demographic effects.
ParlaMint-FR_2019-02-14-O1149.u47	The Minister has the floor.
ParlaMint-FR_2019-02-14-O1149.u48	Some arguments may appear attractive, but common sense is not always where it appears. First, what is advocated by this amendment is not consistent with practice. Thus, when the technicians, workers and service personnel were transferred, a photograph of the number of agents was taken. Then, of course, in the following years, each municipality lived its demographic life and the transfers of the State took account of these developments.
ParlaMint-FR_2019-02-14-O1149.u49	That's the problem!
ParlaMint-FR_2019-02-14-O1149.u50	Secondly, I do not think of the demographic trends in the coming years, and I do not think that the measure proposed by this amendment is really in favour of the municipalities, unlike the current wording. Finally, the calculation of the DGF, like all the transfer criteria, takes fully into account demographic changes and their consequences. In short, we change the situation by taking a benchmark year marked by the possible influx of new students, then life continues its course and the rules take into account demographic changes. This pragmatic method is consistent with usage in transfers or extensions of competence. I therefore maintain my opinion is unfavorable.
ParlaMint-FR_2019-02-14-O1149.u51	I put to the vote Amendment No. 1138.
ParlaMint-FR_2019-02-14-O1149.u52	The result of the vote is as follows: Number of voters 66 Number of votes cast 60 Absolute majority 31 For adoption 32 Against 28
ParlaMint-FR_2019-02-14-O1149.u53	I ask for a suspension of the sitting.
ParlaMint-FR_2019-02-14-O1149.u54	The meeting was suspended.
ParlaMint-FR_2019-02-14-O1149.u55	The meeting was resumed. The Minister has the floor.
ParlaMint-FR_2019-02-14-O1149.u56	I ask for a second debate on Amendment No 1138.
ParlaMint-FR_2019-02-14-O1149.u57	Friday night's gonna be long!
ParlaMint-FR_2019-02-14-O1149.u58	The second deliberation shall be de jure; It will take place at the end of the discussion of the text.
ParlaMint-FR_2019-02-14-O1149.u59	Mr Patrick Hetzel has the floor for a point of order.
ParlaMint-FR_2019-02-14-O1149.u60	My intervention is based on Rule 58(1) of our Rules of Procedure. The unpreparedness of the Government is evident. On such an important subject, you ask for a suspension of the sitting and then a second debate on an amendment voted here, solemnly, by national representation. Proceeding in this way is extremely serious: you want to go back to the fair compensation obtained by the municipalities.
ParlaMint-FR_2019-02-14-O1149.u61	It's an aberration!
ParlaMint-FR_2019-02-14-O1149.u62	You're going to create great injustices. Where's trust?
ParlaMint-FR_2019-02-14-O1149.u63	Amendment No 1119 of the Committee on Cultural Affairs is drafting.
ParlaMint-FR_2019-02-14-O1149.u64	Mrs Marie-George Buffet has the floor to support Amendment No. 918.
ParlaMint-FR_2019-02-14-O1149.u65	He's forbidden.
ParlaMint-FR_2019-02-14-O1149.u66	On Amendment No 296, which we shall be considering in a few moments, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Amendment No 594 by Mrs Marie-George Buffet was withdrawn.
ParlaMint-FR_2019-02-14-O1149.u67	I have before me an amendment No 296, which is the subject of two identical sub-amendments, Nos 1120 and 1132. I call Mr Reiss to support Amendment No. 296.
ParlaMint-FR_2019-02-14-O1149.u68	Article 4 had already evolved considerably since the beginning of the session: the Government and the majority had clearly not measured all the consequences of lowering the age of compulsory education to 3 years. You have a good feeling, since it was a matter of offsetting the new costs of municipalities or intercommunalities with academic competence. But there will be real difficulties on the ground. An annual reassessment will result in much fairer compensation. I would now like to highlight the issue – already mentioned by some last night – of municipalities that had signed agreements with private kindergartens under contract and – although it was absolutely not compulsory – set up a package. With the current drafting of the bill, it is the right students who will be punished! It is therefore necessary to clarify the text. I had tabled an amendment on this subject in committee, but it was found inadmissible under Article 40 of the Constitution. That is why we are proposing a new version for you today.
ParlaMint-FR_2019-02-14-O1149.u69	On identical sub-amendments Nos. 1120 and 1132, I have a request for a public vote before the Republicans Group. The vote is announced in the National Assembly. I call Mr Pupponi to support sub-amendment No. 1120.
ParlaMint-FR_2019-02-14-O1149.u70	He pointed out that voluntary lump-sum payments by some municipalities to private schools were part of the expenses which were taken into account in calculating the compensation.
ParlaMint-FR_2019-02-14-O1149.u71	Mrs Nadia Essayan has the floor to support sub-amendment No. 1132.
ParlaMint-FR_2019-02-14-O1149.u72	By setting the age of compulsory education at 3 years, we voted for a historic measure. This move towards more social justice will have financial consequences that go far beyond simply building premises, since kindergarten schooling is much more expensive than that of subsequent cycles. [[Applause on the benches of the MODEM and LR groups]] The State has committed itself to permanent compensation for the real additional cost of lowering the age of compulsory education. This measure also makes it compulsory for municipalities to pay a grant to private schools under contract: for each child, they will have to pay what it would cost to the public. It is not a question of discussing the merits of this provision – parents have the freedom of choice – but of ensuring the same compensation from the State to all the municipalities concerned, regardless of any agreements made prior to the vote on the law we are discussing. By this amendment, we therefore call for equal treatment in order to ensure equality before the law. If this poses a financial problem to the State, then a solution must be found; but unequal compensation is not one. One might think, for example, of a gradualisation of the compensation to the municipalities, hence of the allocation to private schools, with a spread over three years, so as to integrate this additional cost into the budget of the State as well as the budget of the municipalities. We have found a similar flexibility for kindergartens. [[Applause on the benches of the MODEM group]] Whatever solution we are going to find, it will have to be fairer than the current situation. The financial and political implications on the ground will obviously be significant. That is why I hope that a solution will be found in the majority rather than elsewhere.
ParlaMint-FR_2019-02-14-O1149.u73	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1149.u74	Opinion against both the amendment and the sub-amendments. Some local authorities have entered into agreements with private establishments under contracts established in their territory, within the framework of free administration. There is no reason why the State should take these conventions, signed in a completely free manner, into consideration.
ParlaMint-FR_2019-02-14-O1149.u75	But that doesn't make any sense!
ParlaMint-FR_2019-02-14-O1149.u76	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1149.u77	Same opinion.
ParlaMint-FR_2019-02-14-O1149.u78	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-14-O1149.u79	Madam rapporteur, Minister, I would like to ask you for clarification. It may happen that the amount paid due to an agreement between the municipality and a private establishment does not reach the legal package; However, once the law has been passed, the municipality will pay the legal fee. In these cases, I imagine there will be compensation for the difference.
ParlaMint-FR_2019-02-14-O1149.u80	It's not clear!
ParlaMint-FR_2019-02-14-O1149.u81	There was an agreement, but the enforcement of the law costs three times more: will you say "so much for you, it is your right"? That's not right! Do we agree that the State will take into account in its calculations the lump sum previously paid by the municipality? It's far from neutral!
ParlaMint-FR_2019-02-14-O1149.u82	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-14-O1149.u83	Two subjects must be distinguished. On the one hand, some municipalities already contribute money to private institutions. Tomorrow, the law passed, the communes that paid nothing will receive compensation from the state, but not the others: you are creating an injustice. If you want a school of trust, then you have to create the conditions for this trust!
ParlaMint-FR_2019-02-14-O1149.u84	Yes!
ParlaMint-FR_2019-02-14-O1149.u85	On the other hand, there will be a cash flow problem. Mr de Courson had said in committee that the municipalities would be subject to this charge as early as 2019, but the financial compensation would not arrive until 2021. There are two problems! You may have lost an arbitration in Matignon against Bercy, minister, but you have to go back to the niche. Your role as Minister of National Education is to win the arbitration against Bercy: that's how you will create confidence!
ParlaMint-FR_2019-02-14-O1149.u86	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-14-O1149.u87	[[Applause on the benches of the LR and MODEM groups]] The system is totally unfair: a paying municipality must be reimbursed for children in private schools elsewhere, whatever its previous choice. It must not be penalized for having done a gesture of goodwill in the past. There is no legal reason to treat identical situations differently.
ParlaMint-FR_2019-02-14-O1149.u88	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-14-O1149.u89	This is a conflicting point in this bill, which is very important because it is making great progress for children. It would be a pity if that provision would spoil the text. It will weigh on the finances of the communes and create a regrettable inequity. All of us Members are already seized of these matters. The impact will be greater in large cities than in small municipalities. You have to look at things in the face and ask the mayors about the solutions to be found. I would like the answer to emerge from the ranks of the majority, for fear that the situation will degenerate because of a provision that tarnishes the assessment of the whole law.
ParlaMint-FR_2019-02-14-O1149.u90	Mr Marc Le Fur has the floor.
ParlaMint-FR_2019-02-14-O1149.u91	I spoke on this issue yesterday. It is of extreme importance in some regions, especially the one I know well, Brittany, where 40% of primary and kindergarten children are enrolled in Catholic education. The municipalities have adopted different attitudes: some, few, have given private schools nothing, others have taken part in the communal package, and the latter have granted less than the package. I would like, minister, to have government responses documented: how many communes do they give? How high? For what amount?
ParlaMint-FR_2019-02-14-O1149.u92	All right!
ParlaMint-FR_2019-02-14-O1149.u93	This debate must be objectiveed! I fear that a feeling of injustice will spread in all the municipalities that have so far provided funding. They will say that if they had done nothing, they would now be largely reimbursed, because their positive action is condemned. [[Applause on the benches of the LR group]] Minister, from your point of view you are carrying out a great reform: do not spoil it! It is not the advancement of the age of compulsory schooling at the age of 3 that one will remember – even because most children already go to school at the age of 3 – but the fact that some communes are helped when others are not. But France is the country of justice.
ParlaMint-FR_2019-02-14-O1149.u94	Mrs Agnès Firmin Le Bodo has the floor.
ParlaMint-FR_2019-02-14-O1149.u95	This is a matter of justice between the municipalities.
ParlaMint-FR_2019-02-14-O1149.u96	Of course, it's so obvious!
ParlaMint-FR_2019-02-14-O1149.u97	[[Applause on the benches of the LR group]] That is the same principle as the amendment that has just been adopted. We know that you are very attached to a fair compensation that does not penalize certain communes: now, prove it! These amendments are common sense and pragmatic. Most municipalities have already voted their budget for 2019, and some of them are expected to bear this additional cost as early as September. It is a matter of justice between the communes, to which you are, as we know, very attached.
ParlaMint-FR_2019-02-14-O1149.u98	Mr Alexis Corbière has the floor.
ParlaMint-FR_2019-02-14-O1149.u99	This subject is complex. Let us go back to the principles that we have already outlined: our group supports compulsory schooling of children from the age of 3, but since this measure is not accompanied by a desire to build public schools to accommodate them, it will create a systemic effect that could benefit private schools, particularly in the departments that our colleague Le Fur spoke of, where the Republic is lagging behind guilty. We do not want a systemic effect to endorse the current situation, even if we can understand the damaged communes, who have financed private schools because of the absence of public schools. The issue is complex. For our part, we will abstain from this amendment, but there would be room for the subject to be flattened, so that the obligation to attend school from the age of three goes hand in hand with the construction of public buildings and that there is no systemic effect of public financing of the private sector, induced by the measures that we are taking.
ParlaMint-FR_2019-02-14-O1149.u100	Mrs Anne Brugnera has the floor.
ParlaMint-FR_2019-02-14-O1149.u101	This Article 4 is eminently technical.
ParlaMint-FR_2019-02-14-O1149.u102	No, he's political!
ParlaMint-FR_2019-02-14-O1149.u103	He's political!
ParlaMint-FR_2019-02-14-O1149.u104	Gentlemen, I think I listened to you, thank you.
ParlaMint-FR_2019-02-14-O1149.u105	Oh, it's okay!
ParlaMint-FR_2019-02-14-O1149.u106	Mrs. Brugnera, don't be intimidated by Mr. Minot!
ParlaMint-FR_2019-02-14-O1149.u107	Today, two situations coexist: some town halls do not finance private nursery school, but will finance it tomorrow, with the state fully compensating for this aid; Other town halls have chosen to finance their private kindergartens and will therefore have no new skills, since they are already providing this financial support. The debate is on the second category of communes. What about these town halls? We all know mayors in this situation – I know a city that is in this case – who have made this choice in partnership with private kindergartens, a dimension that I have not heard in the interventions. These contracts with Catholic education management organizations – OGEC – are sometimes very old and are often re-discussed each year to evaluate the package paid. This package is very variable from one town hall to another and is the subject of discussion with the OGEC which manages the private nursery school. Tomorrow, this contract may be renegotiated in some municipalities and will not be renegotiated in others. This will depend on the town hall's relationship with its OGEC, the nature of the partnerships and how they work together. I did not hear in previous interventions the trust in the mayors and mayors to manage their partnership with private schools.
ParlaMint-FR_2019-02-14-O1149.u108	That's not the point!
ParlaMint-FR_2019-02-14-O1149.u109	We will follow the opinion of the rapporteur and the minister.
ParlaMint-FR_2019-02-14-O1149.u110	The Minister has the floor.
ParlaMint-FR_2019-02-14-O1149.u111	Many elements of my answer were in my initial speech, but he is not deafer than the one who does not want to hear. I'd like to repeat what I said, but I've already said it. I explained why and how the reimbursement was made, and I explained its compliance with the Constitution as well as its fairness. What amounts are at stake? The municipalities spend more than €6 billion on primary school, and this is about €100 million.
ParlaMint-FR_2019-02-14-O1149.u112	100 million is huge for the communities!
ParlaMint-FR_2019-02-14-O1149.u113	Are all the communes of France concerned? No. We know very well that the subject will be concentrated in the territories where the advancement of the age of compulsory education will have the most effect. The subject we are talking about must therefore be put into perspective. The expenditure of all the communes of France will not suddenly increase to incredible proportions. I have already explained it yesterday: very often, the change will not even be seen, because the 25,000 additional students that will lead to the advancement of the age of compulsory schooling will not compensate for the loss of 600,000 students that will result from the demographic effect next year in France. Let us not have the image of an influx of children into kindergartens: unfortunately this will not be the case, if I may say so. Let's put things in their right perspective. We may have had the impression of a common front against the Government on this amendment, but the famous Latin adage that serves me a lot right now, in media stat virtus – you can translate "virtus" by courage or virtue – is worth more than ever. Indeed, you did not say the same thing at all, both of you; It would be a misunderstanding to believe otherwise. If we follow the recommendations from the right, you would be outraged on the left benches: you said it a little bit, Mr Corbière, but you should go a little further than abstaining. But, in addition to Mr Corbière, this would also shock the Constitutional Council, which would point to an imbalance in favour of private schools.
ParlaMint-FR_2019-02-14-O1149.u114	It's the opposite!
ParlaMint-FR_2019-02-14-O1149.u115	Yesterday I was told that I was going to social-communism by forcing children to go to school and I was sometimes accused of unduly favouring the private sector: again, in medio stat virtus.
ParlaMint-FR_2019-02-14-O1149.u116	Don't try to stand against each other!
ParlaMint-FR_2019-02-14-O1149.u117	It is precisely a principle of justice that is involved: the reimbursement of the extra cost found between year n+1 and year n follows this principle! The municipalities that have provided funding in the past have done so under local freedoms. To deny this is to deny the free administration of local authorities, to which you are so firmly attached. Let us try to be consistent with our principles and to propose, at least, measures consistent with the Constitution. Let us also try to respect the principle of justice, what Article 4 does: one of you pointed out that the municipalities had already prepared their budget for this year, this photograph being precisely useful to see the extra cost. There's no problem with that. This is a wise and balanced measure, which does not benefit the private sector more than the public.
ParlaMint-FR_2019-02-14-O1149.u118	But it puts some communes at a disadvantage!
ParlaMint-FR_2019-02-14-O1149.u119	[[Applause on the benches of the LaREM group]] This balance would be broken if we followed the reasoning that has been held. We speak to Bercy and the representatives of Catholic education, who fully perceive our reasonable logic. You qualify, ladies and gentlemen of the Republicans Group, this measure of improvisation, while it is the result of months of work. Don't make us this totally unfounded trial! It is consistent with practices that have always been followed in the transfer of skills. Yes, she is benevolent to the communes! Yes, she obeys justice, because we will compensate for the extra costs! Yes, it will be accompanied by what I called earlier a "partnership matrix", as it will lead us to lead a benevolent policy, accompanying investments in kindergartens!
ParlaMint-FR_2019-02-14-O1149.u120	I put to the vote identical sub-amendments Nos. 1120 and 1132.
ParlaMint-FR_2019-02-14-O1149.u121	The result of the vote is as follows: Number of voters 82 Number of votes cast 75 Absolute majority 38 For adoption 29 Against 46
ParlaMint-FR_2019-02-14-O1149.u122	I put to the vote Amendment No. 296.
