ParlaMint-FR_2019-10-02-O1005.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-02-O1005.u12	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-10-02-O1005.u13	We are looking at provisions which, you will agree, have little to do with bioethics, but which are made indispensable by the adoption of Article 1 and the extension of the LDC to single women and women's couples. You have tried, both in the initial version of the text and in the version resulting from the work of the special commission, to solve an equation in reality that is almost impossible to solve: to stick the new conception of the relationship of parents to the child with the rather implacable logic of the law of filiation. Indeed, through the expansion of the LDC, one can, because individual will or the will of couples prevail over biological reality and likelihood, imagine two parents or a single woman raising a child in very good conditions – material, of love – conditions through which it can flourish. It is this social contract, as described by President Mélenchon, that must take precedence over the older conception of the family, based on biological reality and likelihood. All this holds up until we get to the questions of filiation. At this point, reality catches up with you, regardless of the theoretical legal structure that you are trying to develop to allow a single woman or two women to use the MPA for reasons other than the need to compensate for infertility. In the end, you create situations that never lead to respect for equality, especially between two women, one of whom could be called a "organic" mother. As we have seen in the special committee and during the debates that preceded its work, a first mechanism, the early declaration of will, created a form of discrimination. Only women's couples would have used it and, when mentioned on the civil registration document, this indicated a different relationship of filiation, for example, from that in force for heterosexual couples using GPA with third-party donors. Of course, it was not the purpose of the device, which was, on the contrary, to protect the bond of filiation in the same way, regardless of the nature of the couple using the AMP. We were at the point where associations called for the early declaration of will to be extended to all couples in order to eliminate the discrimination in question, which would eventually discriminate against heterosexual couples using GPA with third-party donors. I recall that, for the latter, the act before notary does not create filiation: it makes it irrefragable and indisputable unless one manages to demonstrate that the third party donor is not... I would have liked to use the word "father," but it's better to talk about "person who makes the child born." You have ruled out this problem, but you will find the same difficulties with the device you are proposing. You impose on the couple's two wives an early recognition of filiation that makes the latter indisputable. Yet, for the woman carrying the child, that is not what normally creates filiation. It goes back to the principle of biological reality. There is obvious discrimination between, on the one hand, the single woman who will resort to the AMP, for whom the filiation stems from the fact that she bore the child and that she gave birth – pregnancy and childbirth mean that a woman becomes a mother, so there is no act of recognition, as well as in a heterosexual couple, whether or not there has been recourse to the AMP – and, on the other hand, the couple of women for which you are going to impose on the woman who carried and gave birth the child to recognize it. Thus, we see that biological reality and likelihood always have a voice in the chapter: that is why it is still possible to contest that the third-party donor is the real parent of the child. You probably have only a coherent solution, which some will haveten to defend. It involves applying the common law to women's couples, i.e. to ensure that they are treated in the same way as a heterosexual couple using an MPA per third party donor. In the case of heterosexual couples, acceptance of the gift before the notary means that the mother giving birth is the mother in the civil register and that if the couple is married, the presumption of paternity is applied to the father. If the couple is not married, an act of recognition is used, as can be done in other situations, but the whole remains based on biological likelihood. The limits of the possibility are reached in the case of women's couples, since the reality of the law of filiation from biological reality has been completely disconnected. The principle of presumption cannot be applied to the second mother. In essence, there can be no "presumption of maternity" – and even less one can imagine a presumption of paternity within women's couples. In the end, whatever your choice, you will have to face situations where filiation will be established on the basis of will – it will remain questionable if the biological reality of the third-party donor is not the biological reality of the breeder – and other situations where the woman will remain the mother in the sense of civil status, because she will have borne and delivered the child naturally, I was going to say, in any case in conformity with current law. You will not be able to find the right balance, and I believe that, unfortunately, we must prepare ourselves for a number of disputes related to the inability to deal with a purely theoretical situation together and a reality that a child is ultimately the product of a man and a woman.
ParlaMint-FR_2019-10-02-O1005.u14	All right!
ParlaMint-FR_2019-10-02-O1005.u15	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-10-02-O1005.u16	The examination of article 4 must still allow us to make progress in our journey towards the opening up of a new right, so that it is truly effective in terms of equality, security and protection of children. That said, the road already covered is enormous. As I did in the general discussion, I welcome the courage and determination shown by all those who fought to achieve this today. For years and years, women and men have been fighting bravely for us to get there. In my view, this moment is not annoyance, and we do not address a small article; We are looking at an extremely important article related to Article 1. Article 1 has established a right to which Article 4 ensures full effectiveness. Although our debates will probably be a little more agitated tonight than this afternoon, I can see how much, in essence, they are soothed. After all these years of fighting and struggle, society is ready. It even invites us to continue our momentum, to pass this bill and to improve legislation so that equality is full and effective. Among the issues on which we need to move forward, I would like to refer to what Mrs Vanceunebrock-Mialon has told us about the situation of children already born in LDCs to lesbian couples or to women living alone abroad. We must ensure that the filiation of these children enjoys the same assurance, the same legal basis as the children who will be born tomorrow. I do not think the joint and advance statement is entirely necessary – we will have time to discuss it tonight and tomorrow. The withdrawal of this system would most certainly lead to greater equality or, in any case, to a reduction in discrimination between children born to LDCs with third-party donors of heterosexual and homosexual couples. [[Murmures on the benches of the LR group]] I have chosen a proposal to which I would like us to move on to another occasion, as it may help to resolve Mr.Brindeau's problems. Rather than referring to the presumption of paternity or maternity, we could introduce the notion of "presumption of kinship". That would solve the problem of the squares that we are faced with. Let's face it, this question of biological likelihood does not really stand up! This is an artifice conceived by the 1994 legislator to allow filiation, which has nothing biological but everything from a legal construction, to fit well with the introduction of the new right of a LDC with third-party donor. This allowed couples who came out of the carnal procreation to benefit from the same legal basis as others. That said, in my view, the idea of biological likelihood does not mean anything, not more for a heterosexual couple passing through the LDC with third-party donors than for a couple of women. We will have to move forward on this subject, which will certainly be possible by coming out of both a biological vision of the family and an extremely general view of society.
ParlaMint-FR_2019-10-02-O1005.u17	You're confusing inequality with difference!
ParlaMint-FR_2019-10-02-O1005.u18	[[Applause on several benches of the LaREM, SOC and FI groups]] This will ensure greater equality, but also greater security in terms of the legal basis for children's status.
ParlaMint-FR_2019-10-02-O1005.u19	Mr Pierre-Yves Bournazel has the floor.
ParlaMint-FR_2019-10-02-O1005.u20	I would like to mention two points relating to Article 4. First of all, after voting for the LDC for all women, we must now adapt the civil code. Birth can no longer be the only prerequisite for the recognition of filiation. The Special Commission has improved the initial arrangement by agreeing to exclude the early declaration of will, thus eliminating first discrimination, but others persist in the current arrangement, between heterosexual couples and women's couples, on the one hand, and between women, on the other. Indeed, while a woman who is single or married to a man becomes a mother by the natural fact that she gives birth, a woman who is married to another woman will only be a mother by recognition before a notary. [[Ms. Jeanine Dubie applauds]] In the interests of the child as well as of the parents, in order to avoid any form of discrimination, it seems to me right to extend the common law of filiation to all married or single women using the LDC. The aim is to ensure the safety of the child and all parents, whatever they may be – in short, to ensure equal rights. I would then like to raise the issue of the filiation of children born to LDCs abroad. In my view, a posteriori signature of consent would make it possible to secure filiation for couples of women who resorted to the LDC before the final vote on the bill we are considering. The fact that the production of evidence revealing the bond of filiation between the child and his or her second mother is a prerequisite for the recognition of filiation is important. We will be able to be vigilant in setting this evidence by decree. [[Applause on several benches of the LaREM and LT groups]] A good amendment by our colleague Hervé Saulignac would make it possible to secure the naturally existing bond of filiation with the second mothers who were unable to adopt their child, for example in couples of unmarried women. Again, I believe that this is about the protection of the child and the equal rights of all parents.
ParlaMint-FR_2019-10-02-O1005.u21	Mrs Clementine Autain has the floor.
ParlaMint-FR_2019-10-02-O1005.u22	Article 4 goes back to the heart of the topic as it deals with the consequence of the opening of the LDC to all women on the law of filiation. It is the issue of filiation that poses a problem to those who still oppose the opening of the LDC to lesbian couples. When we hear the arguments against the bill, we see how much the shift over the past century in the order of gender and sexuality disturbs – and it makes sense – those who are committed to the preservation of a family model, a model of male-feminine identity that should be sustained. For our part, we are deeply committed to the principle of equality – I will return to the issue of equality and difference. We believe that the provisions that we are adopting today are the result of decades of social battles that have enabled us to defend, in this House, a considerable step forward in terms of gender and sexuality equality. So first and foremost, I want to rejoice. I am also pleased that at the last moment the Special Committee adopted a new version of Article 4, which is more favourable from the point of view of equality. However, not all our wishes have been met, but we will come back to them later when we consider the amendments. I would also like to point out that the first law we passed on the civil solidarity pact, the PACS, did not guarantee full equality with marriage. Equality was built up as the demands of PACS-related couples, who demanded the same rights as married couples, led to the opening of the marriage to same-sex couples. Today we are continuing this process, and I want to see progress on it. For all those on our benches who have been waging this battle for a very long time, the moment is important. Allow me a personal memory a little moved, that of the wedding celebrated by Noël Mamère in Bègles in 2004, not so long ago! This marriage was not legal and we were a few to want, with this event, to question society. The latter was at the time mostly opposed to the opening of marriage to same-sex couples because it feared its consequences on filiation and the patriarchal system – rightly! For my part, I fully assumed that the opening of marriage to same-sex couples would call into question and upset the traditional family as it existed and was thought for a very long time. I remember having received at my office then a lot of shit, excrement, and letters of insults like never before in my life I had received. When I open the newspaper today and read that a majority of French and French people are in favour of opening the LDC to lesbian couples, I think that time has passed quickly and that we have been able to evolve.
ParlaMint-FR_2019-10-02-O1005.u23	You're in the majority?
ParlaMint-FR_2019-10-02-O1005.u24	[[Exclaims on the benches of the LR group, on several benches of the UDI-Agir group and among non-attached MPs]] I want to say to the opposition Members who remain committed to their beliefs that they have the right of course to be reactionary and conservative.
ParlaMint-FR_2019-10-02-O1005.u25	You have the right to be a libertarian, then!
ParlaMint-FR_2019-10-02-O1005.u26	[[Same movements]] This is how democratic life goes! [[Same movements]] I have respectful comments on you, and I see that makes you smile.
ParlaMint-FR_2019-10-02-O1005.u27	You don't respect us!
ParlaMint-FR_2019-10-02-O1005.u28	Ladies and gentlemen, only Mrs Autain has the floor. Let her speak!
ParlaMint-FR_2019-10-02-O1005.u29	[[New exclamations on the benches of the LR group, on several benches of the UDI-Agir group and among non-attached MPs]] On the contrary, Mr. Brindeau, it's very respectful...
ParlaMint-FR_2019-10-02-O1005.u30	Please proceed, Mrs. Autain.
ParlaMint-FR_2019-10-02-O1005.u31	[[Mr. Erwan Balanant applauds]] I will end with the question of equality and difference, which for me is a very fundamental philosophical and political issue. Throughout history, and I speak to you in centuries, it is always in the name of the gender difference that women have been oppressed and the order of gender and sexuality has been justified. Two registers are confused: equality is a political register, while the difference is inherent in the human race. We are different individuals but, as Simone de Beauvoir said, "we are not born a woman, we become a woman".
ParlaMint-FR_2019-10-02-O1005.u32	Oh, no!
ParlaMint-FR_2019-10-02-O1005.u33	What we do not want is to be locked in a supposedly biological destiny that would assign us to a rigid order and prevent us from becoming fully free individuals. Of course, it is a considerable interference with traditional, historical norms, and I understand how upset it is! We have probably not measured how far this other logic, based on equality and the rejection of traditional orders, which have produced so many injustices, so many bans on women, so many discriminations against lesbians and homosexuals... We must therefore move forward in our minds and be consistent in the area of justice and equality, especially with regard to children. What children need is not to have a dad and a mom in good shape, pink for boys and blue for girls,...
ParlaMint-FR_2019-10-02-O1005.u34	It's the other way around! But it's normal, you're in the confusion of the genres!
ParlaMint-FR_2019-10-02-O1005.u35	...with perfectly framed roles. What children need is to have parents who give them attention, care, love. If our eyes change, then we will promote the development of those born in different families of hetero-patriarchal families as we have always known them. What these children suffer is our gaze, the difference we make between them and other children, our a priori. All this is changing. [[Applause on the benches of the FI and GDR groups as well as on several benches of the LaREM and SOC groups]] Let us also think of all the families who are already not in the mould. In some of the comments I have heard in our discussions on the LDC, I have seen a judgment. Many single-parent families, who do not respect the classic "paternity and mother" model, are doing very well, and their children are sometimes much happier than in more traditional families.
ParlaMint-FR_2019-10-02-O1005.u36	Mrs Marie-Noëlle Battistel has the floor.
ParlaMint-FR_2019-10-02-O1005.u37	Article 4 has given rise to many debates in committee and each has evolved its positions. With this text, we create a new right, many of which we are proud of. There would be nothing worse than to associate it with inequality between people and children. We all want this text to create new rights, which give rise to genuine equality. You have also evolved, Madam Keeper of the Seals, since this article originally provided for the creation of a new method of establishing filiation, which you had called "joint declaration of will", exclusively applicable to children born to a LDC within a couple of women. Many criticisms have been made by associations and academics, and you have tabled an amendment, which was adopted in committee, aimed at reintegrating the children born to a couple of women into Title VII of Book I of the Civil Code. This connection to Title VII is obviously more relevant than the creation of a special mechanism, but the new wording does not seem satisfactory to us: on the substance, nothing really changes from the original bill. Indeed, it is always planned to introduce a new derogatory legal regime, applicable only to women's couples. The latter should make a joint and early recognition of the child before the notary responsible for obtaining consent to the AGP. It is this joint recognition that would establish filiation with both mothers, once the child comes into the world. It seems to us to be very much like the joint declaration of will, which leads to double discrimination – I dare not speak this word any more, Madam Keeper of the Seals, since you have taken over me, but it is difficult for me to find another word. I could talk about a "different treatment," but I don't think it's strong enough. In any event, this difference in treatment makes us doubt whether the measure conforms to the Constitution. In the case of a woman giving birth, whether in marriage with a man or a single person, filiation would be established by mentioning her name in the birth certificate of the child. In marriage with a woman, she would establish herself by the effect of early recognition. Yet the relationship between the child and the mother is indifferent to the mother's marital situation. Since the difference in treatment is not justified by a different situation, it is therefore discrimination. In the case of a woman who does not give birth, her filiation would be established exclusively by the effect of early recognition. On the other hand, a man who has consented to an MPA with gamete donation could benefit from the presumption of paternity or make a recognition after the birth of the child. Again, this is a difference in treatment since, in both cases, filiation is based on consent to insemination or embryo transfer. In order to remedy these discriminations while securing the filiation of children born within a couple of women and while preserving the right currently applicable to couples composed of a man and a woman, it is sufficient to extend to women's couples the legal regime currently applicable in couples composed of a man and a woman. Under article 311-20 of the Civil Code, this legal regime already bases the filiation of children born to an MPA on the consent expressed by their parents before the notary. The extension of Article 311-20 to the benefit of women's couples would therefore not imply any theoretical upheaval. It would simply be a matter of providing that the same responsibility with regard to the coming into the world of the child shall be governed by the same method of establishing filiation, subject to the same legal regime. Since article 311-20 of the Civil Code already bases the filiation of children born through a gift on the consent of their parents and since the new law would allow two women to consent to an MPA, it would be quite consistent to extend to women's couples the same legal regime currently applicable to couples composed of a man and a woman. Such filiation would thus be established with respect to the woman who gives birth by mentioning her name in the birth certificate of the child. She would establish herself against the other woman who has consented to the AMP by recognition made before or after birth, without the need to provide proof of consent to the assistance to the registrar. We see only advantages in this proposal. The text changes would be very minimal. This would not change the situation of couples made up of a man and a woman, who, of course, could still benefit, when married, from the presumption of paternity. This would not introduce any hierarchy between parents, but would not erase the importance of pregnancy and childbirth. This would make it possible to secure the filiation of children born within a couple of women by basing this filiation on the consent to the realization of the assistance, as is already the case in couples composed of a man and a woman. [[Applause on the SOC, FI and GDR benches as well as on several benches of the LaREM and LT groups]] This demonstration, which many agree with here, I think – at least I hope – has been presented to us on numerous occasions at the hearings of the Special Committee. To build it, we took up a large number of elements presented by the lawyer Victor Deschamps, which allowed us to understand what we thought intuitively: an opening of rights leads to equal treatment for all. This idea has become obvious. I hope that our demonstration will have convinced everyone, and that we will create a new right without creating discrimination.
ParlaMint-FR_2019-10-02-O1005.u38	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-10-02-O1005.u39	I would like to welcome the method by which this new version of the text was presented, which has been greatly modified by the Special Committee. All those who participated in its proceedings and hearings heard criticism of the initial version of article 4 which had just been removed from the Council of State. I would like to welcome the work of the rapporteur, Mrs Coralie Dubost, and of the keeper of the seals, Mrs Nicole Belloubet, who has led to the proposal of a new wording to the committee. It is particularly important, in our parliamentary democracy, to be able to work in this way and to submit to our House a text drawn up by iterations in committee. Once it is not customary, ladies and gentlemen, our discussion escapes the usual partisan divisions. There are people on each bench of this assembly who support the current wording of section 4 and others who are against it. Similarly, some of us strongly oppose the opening of the LDC to all women, while others fully support it. With regard to the deletion amendments tabled by some of our colleagues, notably Mrs Annie Genevard, Mr Xavier Breton and Mr Patrick Hetzel, I see a strong opposition to the opening of the LDC to all women. However, ladies and gentlemen, I also want to welcome the spirit of responsibility that you have shown: some of your amendments tend to amend Article 4 – deeply, certainly – and, from your point of view, to enrich it. This is very important because, on this subject as on all those affected by the bioethics law, no one can claim to have absolute truth. In this context, I would like to respond to previous speakers with regard to the concept of equality. It is a significant issue that the introduction of equality between the two members of a couple, in this case a lesbian couple, with regard to the establishment of filiation. It is important that, as proposed in article 4, the two women of the couple be recognized in a strictly identical manner in this respect and exercise without distinction parental authority over the child.
ParlaMint-FR_2019-10-02-O1005.u40	What about the men's couples?
ParlaMint-FR_2019-10-02-O1005.u41	Finally, some criticise the introduction of a distinction, from the point of view of the establishment of filiation, between two women who gave birth, depending on whether they belong to a couple of women or to a heterosexual couple. For my part, I believe that this version of the text is quite balanced: on the one hand, it provides maximum security for women members of the couple and children; On the other hand, it enshrines in our civil code the recognition of the parental project without mechanically associating it with a donor who has nothing to do with the function of father. [[Applause on several benches of the LaREM group]] Rich debates await us. We will see if it is possible to enrich the text; In any case, we can be particularly proud of what has led us here and of the good conduct of our exchanges so far – that they will, I hope, retain in the future.
ParlaMint-FR_2019-10-02-O1005.u42	Mr Cyrille Isaac-Sibille has the floor.
ParlaMint-FR_2019-10-02-O1005.u43	Many of us here have celebrated marriages, and then have spoken these words that we know by heart: "The spouses owe each other respect, fidelity, help, assistance. Together, they provide the moral and material direction of the family. They provide for the education of children and prepare their future. These sentences are spoken in front of young couples, called to have children, as in front of older people, of whom it is obvious that they will not have them together, and from now on in front of heterosexual and homosexual couples. So, when you marry two people, when these two people commit themselves – and it is the meaning and the interest of marriage to be a commitment – you talk about the family and the children. It does not seem absurd to me, therefore, to recognize the same filiation of heterosexual and homosexual couples when they are married, since marriage is considered from the outset from this perspective.
ParlaMint-FR_2019-10-02-O1005.u44	The next speaker is Ms. Custody of Seals, Minister of Justice.
ParlaMint-FR_2019-10-02-O1005.u45	In reply to the speakers, I will begin by recalling, as many or all of them have done, that Article 4 is an extension of the provisions adopted in Article 1, i.e. the opening of the LDC – with third-party donors, I will not always say so – to women's couples. This is an inextricable consequence, since there is obviously no question of opening this right without establishing the filiation of the children who will be born in this context. However, as I said in my opening remarks, this is not a law on filiation. The method of establishing filiation is the consequence of the new right that we open.
ParlaMint-FR_2019-10-02-O1005.u46	It's all ambiguous!
ParlaMint-FR_2019-10-02-O1005.u47	It's DIY!
ParlaMint-FR_2019-10-02-O1005.u48	No, it's not DIY at all, Mr. Bazin: it's a new right that we open to women;...
ParlaMint-FR_2019-10-02-O1005.u49	The right to the child!
ParlaMint-FR_2019-10-02-O1005.u50	... personally, I don't call it DIY. Then, as many of you have pointed out, this is indeed progress.
ParlaMint-FR_2019-10-02-O1005.u51	No! Any novelty is not progress!
ParlaMint-FR_2019-10-02-O1005.u52	That is what we must remember: it is a positive point. Of course, we must see all the debates that we are going to have on the text as contributing to the writing of a new right that constitutes progress. I would also like to return to three major points. First, as we have made clear, this novelty has no consequences for the establishment of already defined filiations for heterosexual couples according to the current law. The existing law remains stable as it is written. Secondly, we wish above all to guarantee the legal certainty of the women and children who will be born of the couples of the women in question. This is a very important point on which I will have the opportunity to return. Finally, and this is essential, we also want to ensure the equality of all children. Finally, I would like to say a word about the use of a term that I have heard here or there in the mouth of the Members who have spoken, and which you have noted, Mrs Battistel, because I myself have already answered on this subject: that of "discrimination". I still want to say here that what we have written, with the very valuable help of the rapporteur, since the text you have before you is the result of a compromise,...
ParlaMint-FR_2019-10-02-O1005.u53	Very bad!
ParlaMint-FR_2019-10-02-O1005.u54	...has no discrimination. What is discrimination, in fact, if not less rights, or more constraints? But there is no less right for anyone – neither for children, nor for women – nor any further coercion.
ParlaMint-FR_2019-10-02-O1005.u55	Without the text, it was the same!
ParlaMint-FR_2019-10-02-O1005.u56	In order for filiation to be established following an MPA, couples, whatever they may be, must all go to the notary to consent to the MPA; This formality is the same for everyone. And, at the time the child is born, all couples must present a paper to the registrar, in addition to the birth certificate: the family booklet for married couples, the declaration of recognition for unmarried heterosexual couples, or the joint recognition for women's couples, as we propose here. Thus, all these couples are subject to the same legal constraints and enjoy the same rights. That is what it is important to stress. We have therefore not established any discrimination. I do not want to be longer at this point because I will have the opportunity to revisit these provisions, but I believe that the word "discrimination" is really not appropriate. It is really excessive – you said it yourself, Mrs Battistel, although others, whose reasoning you share, used it – and absolutely does not correspond to what we wanted to do. [[Applause on several benches of the LaREM and MODEM groups]] I would like, at the outset, to retain the idea that this is first of all a step forward, and a great step forward for women's couples.
ParlaMint-FR_2019-10-02-O1005.u57	We come to the amendments, starting with the deletion amendments. I have before me six identical amendments, Nos 4, 9, 150, 574, 1208 and 1482. Mr Xavier Breton has the floor to support Amendment No. 4.
ParlaMint-FR_2019-10-02-O1005.u58	With Article 4, we turn to the core of the subject: it is now a matter of translating into law the major general declarations of political scope, defining the method of establishing filiation. And it's at this point that things get complicated. When we begin our consideration of Article 4, we still do not know how it will be drafted. However, the question has arisen for months. During the fact-finding mission I conducted on the subject with our colleague Jean-Louis Touraine, we heard the Council of State say that there was no perfect scenario, that each had its own advantages and disadvantages. The Government has made a choice; I therefore thought that he had thought well and that he was firmly camping on his position, conscious of pros and cons, determined to assume what he had chosen – for that is also politics. In the bill he introduced to us, it was the advance declaration of will that was retained. Of which act. But no, it's not enough: associations go up to the niche, colleagues relay concerns and discontents, and hop! We change everything, without asking for any study from the Council of State on a subject – the law of filiation – as essential in our law and for the stability of society. The change is presented and discussed in a special committee. All of this is a bit of a brink, a little bit of a scabreous, but finally, a text is voted on. However, in order to defend amendments – it is in the interests of not being limited by the time of legislation planned as we are now – and to confront the provisions laid down, we end up hearing Mrs. keeper of the seals declare that, for some women, childbirth will no longer be filiation – that is exactly what you said in the special committee, Mrs. keeper of the seals. And here, we realize that there is a problem: because we want to guarantee equality within the women's couple, we eliminate equality between women in society. And here we go again for a ride! This is how we still don't know tonight how filiation will be established. Of course, there are small attempts: one invokes such an amendment on which we are going to work... Do you realize? On such an essential subject? I repeat, these are no longer political slogans, general statements about progress – progress on what, by the way? It is a matter of law, and it is to make the law that we are here. [[Applause on the benches of the LR Group and among non-attached Members]] Those are the reasons why we are calling for the deletion of the article.
ParlaMint-FR_2019-10-02-O1005.u59	I call Mr Patrick Hetzel to support Amendment No. 9.
ParlaMint-FR_2019-10-02-O1005.u60	Our colleague has just recalled that the new wording of Article 4 is the result of an amendment by the Government adopted in a special committee. At the very least, this shows that the Government may not have taken the measure of all the upheavals that its desire to open access to the LDC to women alone or in marriage with another woman is introduced into the law of filiation. The inclusion of the new provisions in Title VII of the Civil Code and your declarations, Madam Keeper of the Seals, tend to trivialize this new mode of filiation, which is rather unfortunate. Indeed, it rests mainly on the will, relegating the carnal bond to the second plane. In particular, while members of the Government usually have only the word of parity in their mouths, how do you justify the reduction of man to his gametes, as if they were the only thing that mattered? For it is good, in reality, what you mean.
ParlaMint-FR_2019-10-02-O1005.u61	Exactly!
ParlaMint-FR_2019-10-02-O1005.u62	In conclusion, this new proposal shows the scramble towards which we are heading and whose consequences on fundamental human relations will be quite harmful. The real stake of all this is not the opening of the LDC to certain categories of the population, but the upheaval, unprecedented in the history of humanity, of the mode of filiation. Moreover, Mr Mélenchon, with whom we are also in deep disagreement, insisted on the fact that you are developing a new filiation; In a very coherent way, his group wants it and demands it, but in just as consistent a way, we do not want it. [[Claims on several banks of the LaREM Group]] No, Mrs. Seal Guard, what you're doing is not a great step forward. We miss out on the best interests of the child.
