ParlaMint-FR_2019-09-24-E2010.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2243, 2187).
ParlaMint-FR_2019-09-24-E2010.u12	That's right!
ParlaMint-FR_2019-09-24-E2010.u13	Today, despite the gap between me and the government and the majority in this House, I have chosen to support this bill, because it bears the seeds of values that shape my daily struggle: universalism, fairness, altruism. Far from the philosophical quarrels that this subject can bring, I am above all a pragmatic one. I refuse to keep my eyes closed in the face of these complex and growing situations. At present, when single women or couples of French women wish to become parents, they are forced to leave because of our restrictive legislation, with the risks and consequences involved. They visit one of the 14 European countries that have opened the LDC to women's couples, or one of the 26 Council of Europe member countries for single women.
ParlaMint-FR_2019-09-24-E2010.u14	That's right!
ParlaMint-FR_2019-09-24-E2010.u15	Having to travel several hundred or even thousands of kilometres to join foreign countries such as Belgium, Denmark or Spain, these women spend several thousand euros in order to carry out an artificial insemination that will offer them, if it works, the happiness of being parents.
ParlaMint-FR_2019-09-24-E2010.u16	That's right!
ParlaMint-FR_2019-09-24-E2010.u17	These LDCs are effectively creating administrative inequalities and complexities, which would be mitigated by legislation. This discrimination had been denounced in the context of a manifesto published in Le Monde in March 2016 and whose first words were: "We doctors, biologists, recognize that we have helped, accompanied certain couples or single women in their project of children whose realization is not possible in France". In this manifesto, signed by a collective of 130 doctors led by Professor René Frydman, these health professionals claimed to have challenged a discriminatory law in order to help these unmarried women have children in France. It is becoming urgent to legislate rather than allow this legislative blurry around these births abroad to persist. How can our country resolve to forget these "phantom children of the Republic"? Their legal status must finally be recognised. [[Applause on a few benches of the LaREM group]] This bill, since it provides that the extension of the LDC to all women will be taken care of by social security, effectively ends a situation that must no longer be allowed in a country like ours. [[Applause on the benches of the FI and LaREM groups, as well as on a few benches of the LR group. Mrs. Elsa Faucillon also applauds]] Some are offended on the grounds that this would not be an illness. I will answer them with a simple question, perhaps shocking: should we go back to the reimbursement of the pill or the IVG? The answer is no: society is changing, the family too. Don't disappoint the advocates of the equation, according to which a child equals a father plus a mother, it turns out that the family is no longer a patriarchal social institution, it is the place of a free and voluntary agreement.
ParlaMint-FR_2019-09-24-E2010.u18	He's right!
ParlaMint-FR_2019-09-24-E2010.u19	All opinion polls show that the vast majority of our citizens are in favour of extending the LDC to all women. [[Applause on the benches of the GDR, FI, SOC and LaREM groups, as well as on some benches of the LR group]] This text is therefore perfectly in line with a progressive evolution of mentalities and responds to a real concern for freedom, equality and fraternity among all citizens. The challenge is simply to recognize this form of parenting, without discrimination. When a parenting project manifests itself in the head of a couple, whether heterosexual or not, a scale of desire or suffering is not to be established. Parentage is not natural: as with adoption, the legitimate parent is not the parent, but the one who has the child's project, who welcomes him, educates him and loves him.
ParlaMint-FR_2019-09-24-E2010.u20	He's right!
ParlaMint-FR_2019-09-24-E2010.u21	In addition, I will vote in favour of this law, since it will now allow France to freeze its gametes, both for men and for women, without any medical reason. Once again, this represents a major step forward that goes hand in hand with the evolution of our society, especially for women who, increasingly pressed by their biological clocks, must be able to delay their motherhood and thus control their fertility, in order to be able to become mothers at a time that they consider more appropriate for them. In general, I believe that this bill to revise bioethics laws is a step in the right direction. It responds positively to societal developments desired by our fellow citizens and is in line with the favourable opinion of the National Ethics Advisory Committee. However, I remain vigilant on several points of this bill that could maintain discrimination based on sexual orientation, which would not be included in this bill. How could it be justified for some women to benefit from advances in reproductive medicine and not others? In terms of principles, that is impossible. There should be no criteria for distinguishing between those who may resort to it and those who are deprived of it: these are the egalitarian implications of the principle of reproductive freedom, made possible by previous feminist conquests. [["Congratulation" and applause on the benches of the GDR, FI and LaREM groups, as well as on a few benches of the LR group]] In conclusion, I would like to recall how these societal issues transcend political parties and I very sincerely regret that the majority has chosen to lock oppositions in such a binary way. I refuse to be locked in a particular right. On the contrary, I would like to defend another word. In supporting this bill, I have felt – I must admit – pointed and sometimes even marginalized, but I will always refuse to flout my convictions to please a camp or to seduce an electorate. Let us all get out of our partisan divisions, make this law a fair and fair law, faithful to our republican and progressive ideals.
ParlaMint-FR_2019-09-24-E2010.u22	Mr Cyrille Isaac-Sibille has the floor.
ParlaMint-FR_2019-09-24-E2010.u23	Eight years have passed since the last bioethics bill, eight years of medical, technological and biological progress, which has infused into our society by expanding the scope of possible. The text, which we are considering today, aims to take these developments into account and to establish the necessary limits to achieve a balance between what science makes possible and what is desirable for our society. Finding such a balance is not easy. It is incumbent upon all of us to make every effort to bring us closer to it, based on the principles of equality and dignity that constitute our right. The many insights provided by the witnesses interviewed and the three ministers present throughout the committee discussion were useful and informative. Thank them for that. I would like to welcome, on behalf of the MODEM Group, the very high quality of the discussions held in the Special Committee two weeks ago. All opinions, doubts and questions could be heard and discussed. Our Assembly has been able to be worthy of the issues raised by this text: it must be stressed. Let us therefore beware that the three weeks of public examination continue the constructive spirit that emerged from the hearing cycle and from the work in committee. This text is both dense and multiple, in that it covers a wide variety of topics. While public opinion has crystallized its attention to the extension of the LDC to all women, many other subjects seem just as important, as those relating to the conversion of scientific progress and discoveries – very fast – into our law. Some of the major advances in this bill are insufficiently mentioned. To be precise, I am thinking of articles to promote scientific advances in embryonic stem cells, while laying down clear limits and strict framework. Our country has safeguards that are robust enough to allow for ambitious and ethical research. On the basis of this fact, also established by our distinguished colleague Philippe Berta, I would like to highlight the issues of neonatal screening and pre-implantation diagnosis. The status quo does not seem to us to be the most relevant option in this area, given the therapeutic and medical potential – I stress these terms – that are available to healthcare professionals. As we have done in committee, we will defend amendments whose aim is to provide more information, both to the medical profession and to the parents, without it drifting towards any risk of manipulation. I repeat, our ambition is in two words: to detect and diagnose – nothing more but nothing less. Since the beginning of the legislature, the MODEM group has been working to put health prevention issues at the heart of public debate. However, if this text gives priority to the treatment of infertility, it does not offer anything, or little, to prevent it. However, we know that age and many environmental factors play a major role in reducing fertility, both female and male. The numerous hearings have demonstrated the low level of knowledge of our fellow citizens – especially the younger ones – on this crucial issue. The subject of infertility prevention has therefore been raised with amendments tabled in a special committee and has generated a very broad consensus. Our group welcomes the fact that all the political groups have pooled their intelligence in order to arrive at a trans-party proposal for measures to be taken on information and awareness-raising on infertility. Thank you all! Finally, this text addresses the issue of the framework for artificial intelligence. We will now have to get used to legislating on this technology, which is rapidly developing. While it gives rise to much hope, both in terms of epidemiology and public health, it can be dangerous and even intrusive. Misused, it inevitably leads to drifts, as in the United States, where health data become one commercial good like another, without the patient's interest being taken into consideration. Our country must protect itself from these risks now, by strengthening the arsenal of guarantees offered to our fellow citizens, so that artificial intelligence develops with respect for the rights of everyone. The Group of the Democratic and Related Movement will participate fully in today's debates. We will, without a doubt, sometimes have opposing opinions, but we will have to remain worthy. Our group will have only one watchword: respect, respect for all opinions,...
ParlaMint-FR_2019-09-24-E2010.u24	All right!
ParlaMint-FR_2019-09-24-E2010.u25	[[Applause on the banks of the MODEM group and on some benches of the LaREM group]] ...the dignity of everyone and the dignity of republican law.
ParlaMint-FR_2019-09-24-E2010.u26	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-09-24-E2010.u27	Eight years after the 2011 Act, this House is considering this bioethics bill. It is important to recall that France has a particular model in this field,...
ParlaMint-FR_2019-09-24-E2010.u28	That's right!
ParlaMint-FR_2019-09-24-E2010.u29	...since bioethics legislation needs to be reviewed every seven years. This method of reflection differs from what can be observed in other countries, particularly in the United Kingdom and Germany, where there is no comprehensive law: the texts concern a particular subject; They do not allow for an overall reflection on bioethics, as we do today. This new bill is part of a particular context, given the increase in biomedical knowledge and the considerable acceleration in the pace of scientific progress over the past few years. Because the field of bioethics involves problems with complex issues, with the confluence of science and our conscience, this text raises, like all those who preceded it, many questions: is any scientific progress a progress for man? How to articulate the consideration of individual desire with the definition of a collective vision? What should be the place of medicine in the consideration of these individual desires? I also welcome the work of the Special Committee: its discussions have been very enriching and it has already decided on several points. The text before us today, therefore, contains a great deal of progress. To sum up the debate that we are beginning, I shall cite two men, each forerunner in his time, one pretending to respond in echo to the other four centuries apart. In 1532, in Pantagruel, François Rabelais wrote: "science without conscience is nothing but the ruin of the soul." Then Albert Einstein said, "Science is a powerful tool. The use we make of it depends on the man, not the tool. » It is on the basis of these questions that the debate that will be taking place in this House over the next two weeks begins. We could sum it up as follows: how can we take advantage of the advance of science and the progress it brings, while inventing a regulatory model that is sufficiently robust to frame new techniques? Let me turn to the specific provisions of the bill. The main objective of the programme is to extend the LDC to include women's couples and single women. The Socialist and Related Group is in favour of this. We will also make a number of proposals to strengthen this right, which are the subject of amendments that we have tabled. The first is to allow the post-mortem LDC. We consider that it would be legitimate to allow a widowed woman to continue the parental project initiated with her deceased spouse. Indeed, how can we open the LDC to single women and deny a widowed woman the continuation of her project?
ParlaMint-FR_2019-09-24-E2010.u30	That's right!
ParlaMint-FR_2019-09-24-E2010.u31	How can we ask a widowed woman to give up the parenting project with her deceased spouse and make her pursue it with a third-party donor? We then ask that the gift directed to women's couples be authorized. Your bill tends to make use of the double donation of gametes, that is, the possibility for a woman to receive a sperm donation and an egg donation. Therefore, it would be desirable for a woman to be able to receive oocytes from her companion, rather than using oocytes from a third party.
ParlaMint-FR_2019-09-24-E2010.u32	Absurd!
ParlaMint-FR_2019-09-24-E2010.u33	The extension of the LDC to include women's couples and unmarried women raises the issue of filiation as a corollary. Rather than extending the current common law to women's couples and single women, i.e. consent to the gift registered at the notary, you had chosen, ladies and gentlemen, to create a new procedure for the recognition of filiation specific to women's couples, the "early declaration of will", made before a notary, with mention on the full birth certificate. In the Special Committee, several of us considered this to be a discriminatory concept of filiation against women's couples, since two procedures for the recognition of filiation would have coexisted: one under ordinary law for heterosexual couples, the other under derogation for women's couples. Finally, in the face of the criticisms raised by this choice, you have partly reversed the path, proposing a new procedure for the recognition of filiation for women's couples. While this new procedure is an improvement on the advance declaration of will, it is not entirely satisfactory, since it is still a procedure which differs from the ordinary law. Another topic addressed by the text is access to origins. The draft law will provide all children from LDCs with third-party donors with access to their origins. Once they have reached the age of majority, they will be able, if they so wish, to obtain non-identifying or identifying information about the donor. Again, the Socialist and Related Group will defend several proposals to strengthen this right, including the possibility of extending the transmission of non-identifiable donor data to recipient parents who request it.
ParlaMint-FR_2019-09-24-E2010.u34	All right!
ParlaMint-FR_2019-09-24-E2010.u35	Your bill also opens up the possibility of self-conservation of gametes for women and men, without the need to provide a medical reason. Based on the impact assessment, the minimum age for women should be 32 years. We support the measure while proposing to extend it to all major women. Indeed, many women suffer from pathologies, such as endometriosis or premature ovarian insufficiency, which can occur very early in a woman's life. However, while current law allows for the conservation of gametes for medical reasons, these women are too often denied this possibility. Therefore, if gamete self-conservation is opened from only 32 years of age, many women may be excluded from the scheme.
ParlaMint-FR_2019-09-24-E2010.u36	That's right!
ParlaMint-FR_2019-09-24-E2010.u37	That's right!
ParlaMint-FR_2019-09-24-E2010.u38	On the other hand, the bill is intended to facilitate research on embryos and embryonic stem cells, while creating two separate regimes, because the issues are not the same. It also limits the duration of cultivation and conservation of embryos. From now on, a researcher will only have to declare his research protocol in advance, when he was previously required to apply for an authorisation from the Biomedicine Agency. We support this measure. Finally, the bill deals with pre-implantation diagnosis, the famous IPR, a technique that consists of analyzing an embryo before implanting it in the uterus, to determine any anomalies. The DPI was authorized by the Act of 29 July 1994 only for couples with "a high probability of giving birth to a child with a genetic disease of particular gravity recognized as incurable at the time of diagnosis", a provision which was not amended by the Act of 6 August 2004. So far, unless we make a mistake, this practice has not led to any drift. However, thanks to advances in science, it is now possible to determine the viability of embryos or the risk of miscarriage. However, the law does not permit examinations to be carried out for this purpose. By an amendment, we will therefore propose to extend the IPR to chromosomal aneuploidies – anomalies in chromosome numbers – under conditions set by decree. This would reduce the rate of miscarriage and medical interruption of pregnancy. [[Applause on the SOC benches as well as on a few benches of the LaREM and MODEM groups]] I have indicated in the preamble, thanks to the intensive and enriching work of the Special Committee, the text has evolved, in our opinion, in the right direction. Of course, we hope that the amendments that we have tabled will be adopted, but whatever the outcome of our work, the Socialist and Related Group will vote on the bill.
ParlaMint-FR_2019-09-24-E2010.u39	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-09-24-E2010.u40	In this general discussion, I would like to pay tribute to those without whom we would not be gathered here today to debate and vote – finally! and by a very large majority, I hope – the restoration of a right or, at least, a part of a right. I want to pay tribute to the combatants of equality, dignity and pride in being who we are, who we are, without fear, without shame, without embarrassment – the dignity and pride of living and loving, equal and equal in our common humanity; to lesbian, gay, bis, trans, intersex, queers,...
ParlaMint-FR_2019-09-24-E2010.u41	She's right.
ParlaMint-FR_2019-09-24-E2010.u42	... to women who are said to be "alone", with an air of pity, because they are not married, whereas in reality they are often the strong links of countless networks of solidarity. I want to pay tribute to all those who do not return to the squares where a narrow vision of the world tries to lock them up, whose very existence is sometimes, on its own, a daily struggle, and whose victories do not only benefit them, since they advance the whole society by pushing further the chains of oppression and alienation. I want to pay tribute to all the families who have certainly not waited for our permission to love each other, to compose and to recompose each other, outside the imposed schemes; to exist simply, to live, in happiness and joy, the failures and successes, the happiness and misfortunes of everyday life. I want to pay tribute to the associations and collectives who, for decades, bill after bill, government after government, giving up after giving up, debate, argue, demonstrate to affirm the right to love – or not –, to marry – or not –, to have children – or not; the right to live, in the body or identity of one's choice. So that loving a person of the same gender or gender, or being anywhere, in the middle or outside of the male and female, is not a contraindication to parenthood. I want to pay a tribute to them all the more strongly and supported because it is not, as I said, the battles of a small number; These are the battles for the free and equal society to which we aspire, battles for all of us and all of us. Today and over the next three weeks, this assembly will therefore finally debate – it was time – and vote for the restoration of a universal right, which exists in many countries without creating a major anthropological rupture. These parliamentary discussions come after years of citizen mobilization, associative, political, scientific; years of research, analysis, studies, in which all points of view were heard. But these have not always been issued from the same positions of power and privilege, nor with the same force. Above all, these views have not all had the same consequences for the people concerned. They were already denied their rights; Moreover, the moulting, renunciation and political instrumentalizations that have punctuated this process have fueled and even legitimized insults, attacks, stigmatizations and discrimination against them, their children and their families. Even today, some of the terms used in our debates and relayed throughout media stations work as triggers of unbearable symbolic violence. In the coming days and weeks, more than ever before, it will be our duty, as parliamentarians, representatives and representatives of the people, of all the people, to be exemplary in the conduct of our exchanges. To the defenders of equality – many among us, I believe, as in the rest of the country – to the citizens of justice, to the activists and activists against all discrimination, it will also be necessary to draw strength and courage from this moment. For the fight is not over: in the current state of the text, for example, the mode of recognition of filiation for couples of homosexual women remains discriminatory; Trans-persons remain excluded from the universal right to reproductive health assistance; The protection of intersex children against mutilation is not yet fully implemented. And beyond this text, more generally, other rights, new rights remain to be conquered. At the end of this debate and of our vote, I believe we will have done a joint work; We will have taken a step, certainly small, still too small, but still advanced, in the sense of history, the great and beautiful history of human emancipation. [[Applause on the benches of the FI and GDR groups. Ms Pires Beaune and Mr Hutin applaud]] And to give us courage in the long way that remains to be traveled, I will end with the words of the Afro-United States poet Audre Lorde – a black woman, lesbian, equality activist and mother of family. In Sister Outsider, a dense and intense collection of her essays published between 1976 and 1983, she confides: "When I look at the future, I think of the world that I ardently desired for my daughters and sons. I'm thinking about the survival of species: I'm thinking about life. True, there will always be women who will walk with women, women who will live with men, and men who will choose men. I work for a time when women with women, women with men, men with men will work together to build a world where no one will sell his soul to get dedication, beauty, or love. And in this world, we will raise our children so that they are free to choose how to fully thrive. [...] All our children are the promise of a kingdom that is still uncertain. »
ParlaMint-FR_2019-09-24-E2010.u43	Mrs Elsa Faucillon has the floor.
