ParlaMint-FR_2019-02-14-O1150.u1	The meeting was suspended.
ParlaMint-FR_2019-02-14-O1150.u17	Mr Christophe Bouillon has the floor to support Amendment No. 707.
ParlaMint-FR_2019-02-14-O1150.u18	It emphasises the essential nature of initial teacher training, as there are significant disparities between the various academies and training centres. There are numerous accounts of the difficulties experienced by some teachers who have to accommodate a student with a disability in order to understand the nature and degree of the disability. Thus, teachers themselves must be accompanied in this process. That is why we want to develop real training for all teachers rather than just information. This must be done not only at the time of initial teacher training but also in the context of continuing training. Currently, these are referred to a digital platform. Unfortunately, this is not enough, as stated by the associations advocating for the inclusion of persons with disabilities and the National Advisory Council for Persons with Disabilities. Efforts should not be concentrated on the only reference teacher who is certainly the pillar of the scheme, but should involve the entire educational community in the inclusive school approach.
ParlaMint-FR_2019-02-14-O1150.u19	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u20	The amendment is satisfactory since the Government's amendment we have adopted provides for a decree to define the content of the initial training of the AESHs. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u21	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u22	I share your intention – this will probably be the case for each of your proposals. We all agree: the training must take place before the beginning of the school year, be of quality, have a guaranteed number of hours and rely on a repository. Some of these requirements fall under the law, others under the regulation or an order – the rapporteur has just said so. I can assure you that we are going to take these measures, but not through a decree in the Council of State because they do not fall within this category of legal acts. For this reason, unfavorable opinion despite agreement on the substance.
ParlaMint-FR_2019-02-14-O1150.u23	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-14-O1150.u24	It would be preferable to talk about disability rather than disability, as HSEAs have to deal with disabilities that have nothing to do with each other. It is not possible to imagine the difficulty for the young people concerned and the people who are confronted with very different situations and impossible to manage. I noticed a little contradiction in your remarks, minister. You affirm that, thanks to you, everything will begin and, at the same time, you acknowledge that, in the past, all oppositions have agreed to advance the cause of disability. We must stick to the healthy idea that we are all trying to advance the cause of disability. It is not today that things start, it seems to me.
ParlaMint-FR_2019-02-14-O1150.u25	All right!
ParlaMint-FR_2019-02-14-O1150.u26	Mrs Martine Wonner has the floor to support Amendment No. 476.
ParlaMint-FR_2019-02-14-O1150.u27	This is an editorial amendment, but it is of great importance. It clarifies the concept of health by adding to it the qualifiers of "physical or psychic". Screening for mental health problems among younger people must be an objective of public policies in order to allow for early support and to limit any loss of opportunity for them. The findings of the flash mission I presented last week confirm that the identification of mental disorders among the youngest is totally inadequate. The role of the school in this detection is essential. As long as we do not hammer the term "psychic" in school, we will continue to leave out too many young patients who could be quickly and effectively accompanied.
ParlaMint-FR_2019-02-14-O1150.u28	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u29	[[Applause on a few benches of the LaREM group]] Favourable opinion.
ParlaMint-FR_2019-02-14-O1150.u30	All right!
ParlaMint-FR_2019-02-14-O1150.u31	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u32	Your proposal is important, Member. It is, in fact, more than editorial. Thank you for the improvement you are suggesting, because the problems you are raising are considerable. Studies show that the identification of mental disorders is insufficient. The precision you bring deserves to be incorporated both legally and psychologically so that all actors in education take it into account. [[Applause on a few benches of the LaREM group]] Your amendment will find a translation quite quickly since the Ministry of National Education and the Ministry of Solidarity and Health have begun a reflection to develop the intervention in schools on this subject. Favourable opinion.
ParlaMint-FR_2019-02-14-O1150.u33	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-14-O1150.u34	I will vote for this amendment. Mrs Wonner has submitted a very good report on the financing of psychiatry. The Government should take a close look at it. In particular, it should look at the results of work-assisted institutions and services – ESAT – with psychiatric patients, in particular in addressing very difficult situations. The Act on the freedom to choose one's professional future could deprive many TSAs of the possibility of being given tasks by companies, thus preventing psychiatric patients from performing their work in these institutions.
ParlaMint-FR_2019-02-14-O1150.u35	I have before me two amendments, Nos 36 and 159, which can be discussed jointly. I call Mr Patrick Hetzel to support Amendment No. 36.
ParlaMint-FR_2019-02-14-O1150.u36	The purpose of this amendment is to supplement Article L. 122-1-1 of the Education Code with the following provisions: "disabled pupils may receive assistance and benefit from appropriate arrangements for the acquisition, at their own pace, of this common base. These aids and devices are indicated in the personalized project for the schooling of pupils with disabilities. In accordance with article 37 (1) of the Constitution, an experiment may be initiated..." This change is necessary in order to take account of the particular learning difficulties of pupils with mental disorders, who may need more time to master the common base.
ParlaMint-FR_2019-02-14-O1150.u37	Mr Xavier Breton has the floor to support Amendment No. 159.
ParlaMint-FR_2019-02-14-O1150.u38	Disabled students cannot be asked to acquire mastery of the common base at the same pace as other students, nor in the same way. Nor should such mastery be a condition for the continuation of their schooling in regular schools.
ParlaMint-FR_2019-02-14-O1150.u39	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u40	Unfavorable opinion, as these amendments are satisfied by Article L. 112-2 of the Education Code, according to which: "In order to ensure that each child, adolescent or adult with a disability is provided with an appropriate training course, each child, adolescent or adult with a disability is entitled to an assessment of his or her skills, needs and measures implemented in the course [...]. Depending on the results of the evaluation, each child, adolescent or adult with a disability, as well as his or her family, is offered a training course which is the subject of a personalized school enrolment project with the necessary adjustments by promoting, whenever possible, training in the ordinary school environment. »
ParlaMint-FR_2019-02-14-O1150.u41	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u42	These amendments give me the opportunity to discuss the exchanges within the framework of the consultation on the personalized school education project – PPS. The SPP responds to your concerns, of which I recognize the importance. The amendments are therefore satisfied. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u43	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-14-O1150.u44	I hear the rapporteur's answer. However, the amendment mentions the specific aids and devices which the SPP must indicate. This clarification is intended to take into account the particular situation of each child. Can you confirm that it will be integrated?
ParlaMint-FR_2019-02-14-O1150.u45	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-14-O1150.u46	The intentions were laudable, but they were not commensurate with the difficulties on the ground, which were far greater. The PPS is welcome, but are staff able to handle the difficulties? The transition from specialized structures to school is really complicated. Rather than multiplying structures, it would be desirable to assess each other's difficulties and skills. It is to be feared that the lack of training and the grouping under the guise of an "inclusive school" of very diverse realities will make us lose sight of the need for knowledge of disabilities in all their forms – we are far from it. The gulf between our ambitions and the reality of a disabled child's life is still immense. We need to go further than just a project. Training is needed to deal with difficulties.
ParlaMint-FR_2019-02-14-O1150.u47	With this, we've made great progress!
ParlaMint-FR_2019-02-14-O1150.u48	I have before me a number of amendments, Nos 35, 160, 221 and 472, which can be discussed jointly. Amendments Nos 160, 221 and 472 are identical. I call Mr Patrick Hetzel to support Amendment No. 35.
ParlaMint-FR_2019-02-14-O1150.u49	National education must meet the needs of students with sustainable school difficulties, particularly those with "dys" disorders that affect between 6 and 8 per cent of the population. The amendment seeks to clarify that the acquisition of the common foundation is gradual in order to enable pupils who are experiencing difficulties to receive assistance and to benefit from appropriate arrangements.
ParlaMint-FR_2019-02-14-O1150.u50	Mr Xavier Breton has the floor to support Amendment No. 160.
ParlaMint-FR_2019-02-14-O1150.u51	This amendment is intended to supplement the first paragraph of Article L. 122-1-1 of the Education Code with the following sentences: "The acquisition of the common foundation is progressive. Pupils who experience difficulties in this acquisition receive assistance and receive appropriate facilities. The strengthening of the requirement of the common foundation is accompanied by measures to adapt the schooling of pupils to special educational needs". This wording clearly sets out the requirement to adapt means to specific situations.
ParlaMint-FR_2019-02-14-O1150.u52	Mr Gilles Lurton has the floor to support Amendment No. 221.
ParlaMint-FR_2019-02-14-O1150.u53	This amendment was tabled by our colleague Marc Le Fur, who cannot defend it...
ParlaMint-FR_2019-02-14-O1150.u54	He's forbidden!
ParlaMint-FR_2019-02-14-O1150.u55	[[Smile]] ... since he's detained. It concerns children with "dys" disorders – dyslexia, dyspraxia and dysphasia – who are part of cognitive learning disorders and affect between 6% and 8% of the population. We hope that the education code will meet the needs of students with sustainable school difficulties.
ParlaMint-FR_2019-02-14-O1150.u56	Mrs Constance Le Grip has the floor to support Amendment No. 472.
ParlaMint-FR_2019-02-14-O1150.u57	In line with those defended by my colleagues, this amendment, at the initiative of Emilie Bonnivard, underlines the progressive nature of the acquisition of the common foundation. We hope that the learning difficulties of some children, especially those with a "dys" disorder, will be truly taken into account. We have to burn it in the marble of the law.
ParlaMint-FR_2019-02-14-O1150.u58	Excellent amendments!
ParlaMint-FR_2019-02-14-O1150.u59	What is the Committee's opinion on the various amendments?
ParlaMint-FR_2019-02-14-O1150.u60	Unfavorable opinion. Article L. 321-4 of the Education Code states: "In schools, special facilities and support measures are provided for pupils who experience difficulties, in particular pupils with specific disorders of oral and/or written language, such as dyslexia. When these difficulties are serious and permanent, students receive appropriate education. »
ParlaMint-FR_2019-02-14-O1150.u61	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u62	As the rapporteur has just pointed out, the education code already contains the legal tools to do what you want. The amendments are therefore fully satisfied. This topic has been discussed in the framework of the consultation, and there will be practical developments in this area. Thank you very much, Mrs Victory, for your very fair words. In all our discussions, we must adopt the approach that has just been yours, that is to say, to examine the concrete reality and see how the texts that we draft can draw this reality up. That is precisely our approach. As you said, we must recognize the reality, namely the very concrete difficulties of teachers on a daily basis. Hence the need for training, it has been said a lot, but also for personalized approaches and paths. The amendments, which dealt with the latter point, were satisfied.
ParlaMint-FR_2019-02-14-O1150.u63	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-14-O1150.u64	Clearly, there is one point that is not included in the education code: the idea of the gradual acquisition of the common foundation. She'd deserve to be registered. In view of the unfavourable opinions you have expressed, that will not be the case, and that is a shame.
ParlaMint-FR_2019-02-14-O1150.u65	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-14-O1150.u66	"Dys" disorders may be even more difficult to take into account than disability or disability. For teaching in college and high school, I can tell you that the situation has become explosive and very annoying, because the difficulties associated with the "dys" disorders concern a large number of students, six to seven out of a class of twenty-five. It is assumed that teachers are trained and have the tools to respond to them, but that is not true. They studied their subject matter, didactic and a lot of other things, but surely not how to go to children with a "dys" disorder. We will return to what we wanted to avoid when we looked at the previous articles: too load the teachers' boat. The question may seem to be annexed, but the situation is annoying and requires remedies that we do not necessarily have. Again, I don't know how to do it. In any case, the difficulty is great.
ParlaMint-FR_2019-02-14-O1150.u67	Mr Xavier Breton has the floor to support Amendment No. 235.
ParlaMint-FR_2019-02-14-O1150.u68	I have the honour to present this amendment, which was tabled by our excellent colleague Marc Le Fur and co-signed by more than thirty members of our group. The success of a child intellectually early or with special skills sometimes requires, as we know, particular adjustments in his or her educational background. Article L. 321-4 of the Education Code, which came out of the 2007 Act, provides in its third paragraph: "Appropriate arrangements shall be made for the benefit of students who are intellectually early or have special skills, in order to enable them to develop their full potential. » The implementation of this article is the subject of a 2007 circular, which provides for "a set of coordinated measures at the academic and departmental levels" and stresses the need for "significant efforts in the area of information and training for first- and second-degree staff". Unfortunately, however, we note that this circular is applied in a very diverse manner according to the academies: some rectorates take all necessary measures; Others are rather lagging behind in this regard. We therefore propose that the legislator intervene in order to standardize practices, to raise the standard of care for early childhood and to give a real and national scope to the third paragraph of article L. 321-4 of the Education Code. It is essential to take appropriate measures within the framework of the common foundation for students who are intellectually at an early stage or who have special skills.
ParlaMint-FR_2019-02-14-O1150.u69	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u70	Unfavorable.
ParlaMint-FR_2019-02-14-O1150.u71	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u72	Disadvantaged too.
ParlaMint-FR_2019-02-14-O1150.u73	That's too bad!
ParlaMint-FR_2019-02-14-O1150.u74	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-14-O1150.u75	You cannot sweep the amendment with a back of your hand by simply issuing an unfavorable opinion without giving any justification. It is to ignore the concrete situations on the ground and the expectations, which are very strong. Far from wanting to introduce repetitions into the law, we are looking at how the legislation is being enforced in practice, and we see that inequalities are being created. We therefore expect something other than an unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u76	The Minister has the floor.
ParlaMint-FR_2019-02-14-O1150.u77	To satisfy you, Mr. Breton, I will give you a full argument, but in part redundant with my previous answer. Once again, the amendment is satisfied: the concept of progressivity of apprenticeships is already included in the Education Code, in Article L. 122-1-1. Students with special educational needs already benefit from appropriate aids and devices, as part of a personalized support plan – PAP – or a personalized educational success programme – PPRE. As you know, they can also benefit, where appropriate, from the assistance of RASED's specialist teachers. Teachers are already implementing these adaptations and educational arrangements in the light of the special needs of their pupils. I am providing you with additional information, which I believe is important: in order to help teachers, we are creating a digital platform, called "cap école inclusive", which will be operational next year. It will help them analyse the needs of students and provide them with appropriate answers and teaching tools for each student. We presented this platform at an international seminar. It is considered to be at the forefront of global practices in this area. It will be a very important tool for moving forward in the direction you want, that of the progressivity of learning, a concept already enshrined, I repeat, in the code of education. International comparisons, I would remind you, have inspired a great deal of the different measures we are taking. You will not be looking at all these measures this week, because not all of them fall within the scope of the law, but they have been widely discussed in consultation.
ParlaMint-FR_2019-02-14-O1150.u78	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-14-O1150.u79	[[Smile]] I do not feel empowered to withdraw the amendment, since it was tabled by Marc Le Fur. I know that we need to go quickly, but it is a pity that we are obliged to revive you, Minister, in order to obtain information on these important issues that will shed light on the efforts made. Their relevance and sufficiency can then be judged. In any case, thank you for your answer.
ParlaMint-FR_2019-02-14-O1150.u80	Mr Gilles Lurton has the floor to support Amendment No. 555.
ParlaMint-FR_2019-02-14-O1150.u81	Presented by Vincent Descoeur, it focuses on the problem of children who have to follow diets. It is intended to introduce the following paragraph in the Education Code: "Registration of a child with allergies inducing a specific diet is mandatory when the parents so request. Depending on the situation, an individualised reception project can be set up. » School is the first place of socialization, and metabolic disorders should not be a source of exclusion at this essential stage in a child's life. In addition, a child with food allergy cannot be excluded from school catering or regular class discovery activities. I would point out that the amendment was inspired by the association Les enfants du jardin, which provides support to families whose children are suffering from a hereditary disease of metabolism, treated with very strict hyperprotein diets.
ParlaMint-FR_2019-02-14-O1150.u82	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u83	Children must be able to be accommodated in the canteen. Those who suffer from a serious allergy such as those you mentioned may be affected by the signature of an individual reception protocol – IAP – between the family and the school. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u84	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u85	Disadvantaged too.
ParlaMint-FR_2019-02-14-O1150.u86	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-14-O1150.u87	I know it's a traditional practice, but it's not the case everywhere. The purpose of this amendment is precisely to make it mandatory each time.
ParlaMint-FR_2019-02-14-O1150.u88	Mr Christophe Bouillon has the floor to support Amendment No. 708.
ParlaMint-FR_2019-02-14-O1150.u89	It corresponds to the "inclusive shift" and the policy that you and Sophie Cluzel defend, Minister. I explain his philosophy: tomorrow we will have to imagine schools capable of welcoming more students with disabilities to ordinary classes and, at the same time, more adapted classes such as the EEUs, outsourced teaching units – but there are many other structures. In order to prepare for this, future schools must, from the outset, incorporate accessibility requirements, in a universal sense, but also, beyond that, functional requirements. To welcome more students with disabilities is also to welcome more actors from the medical and social field, multidisciplinary teams that are coming within the institution itself, in particular to consult each other. It is therefore necessary to set up institutions by conducting a much broader reflection. The proposal you made this afternoon is to refer to the National Observatory for the Safety and Accessibility of Educational Institutions. However, there are two shortcomings, and that is why I would like to insist on this amendment. First, it takes into account the construction of buildings, but not the reconstruction of them. Secondly, the Observatory is simply being asked for an opinion. However, I think that we need to go further, because it would be a pity to see that tomorrow we did not think the schools properly, that we do not have the space to accommodate a much larger number of children with disabilities and to allow all the actors who accompany their schooling to work in good conditions within these institutions.
ParlaMint-FR_2019-02-14-O1150.u90	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u91	The provisions proposed by the Government to incorporate into the law by its amendment refer to construction and renovation. I am not convinced that the term "reconstruction" should be added, especially since reconstruction is a form of construction. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u92	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u93	I addressed the issue this afternoon when I introduced new chapter IV. This is an important subject, and we obviously share the same intention. I should like to add a few points to what the rapporteur has just said. As you know, projects must take into account the rules of the Construction and Housing Code regarding accessibility of buildings. Pursuant to these rules, any establishment receiving from the public that was not in compliance with the standards on December 31, 2014 must be subject to a scheduled accessibility agenda. This applies, of course, to the construction of schools, which fall within the competence of local authorities. We will support communities in their reflections. To go in your direction, the device that I presented earlier shows our partnership capacity, not only through consultation, but also through action. This is the meaning of the school building cell that we are creating in the ministry, in conjunction with the Caisse des dépôts et consignations, to accompany local authorities who wish to do so – since it falls within their competence – in their reflections and projects on accessibility. In my view, the amendment is therefore satisfactory.
ParlaMint-FR_2019-02-14-O1150.u94	Mr Aurélien Pradié has the floor.
ParlaMint-FR_2019-02-14-O1150.u95	I'll give you the thought I've given myself right now, Minister. In 2005, when MPs and senators debated the major bill on disability presented at the initiative of the then President of the Republic, Jacques Chirac, they surely conducted a reflection similar to ours. They had the choice between two options: either a policy of small steps, of pragmatism, of waiting, or a revolutionary policy. The 2005 law was at the time absolutely revolutionary and if we are dealing today with these issues, including the accessibility of buildings, if the handicap is physically present in front of each pedestrian crossing, it is because in 2005 the President of the Republic, the Government and the parliamentarians showed absolute courage. That must be a lesson: we would certainly not be there if national representation had not shown great courage a few years ago. [[Exclaims on the banks of the LaREM Group]] It is clear that the determined force of the law is needed to advance issues such as disability. Clearly, today we would not be able to pass a law like the one in 2005. In 2019 we would not have one-tenth of the political courage to vote for such a law, it says without a spirit of controversy.
ParlaMint-FR_2019-02-14-O1150.u96	Oh, come on!
ParlaMint-FR_2019-02-14-O1150.u97	[[Applause on several benches in the LR group]] If your dinner weighs on you, it's your business, but that must not prevent you from hearing certain truths! France was not born in 2017 with the renewal of this assembly. I repeat, therefore, that this law of 2005, we would be today, or rather you would be – you are right to correct me – quite unable to vote for it!
ParlaMint-FR_2019-02-14-O1150.u98	The Minister has the floor.
ParlaMint-FR_2019-02-14-O1150.u99	I don't know how old you were in 2005, MP, but it turns out that I was already rector of the academy...
ParlaMint-FR_2019-02-14-O1150.u100	So what?
ParlaMint-FR_2019-02-14-O1150.u101	[[Applause on the benches of the LaREM group]] ...and I remember perfectly well that at that time no Member of Parliament used the kind of arguments that you are using today, none! History will judge the progress we are making, which I have announced to you and which will indeed take place next year, and people will see that it is better. Of course, it will not be perfect but the current situation is not perfect and yet it is the result of what Jacques Chirac has done, with courage, efficiency and visionary spirit, indeed. You're looking for a contrast where there's continuity. I will then stop answering this type of argument since everyone has understood what logic we are in. Beyond your person, I call on all Members to play with dignity the role that is theirs and that is a role of co-construction, not only with national representation, but also with associations. Don't try to create polemics that don't have to be when the intention is the same on either side. [[Applause on the benches of the LaREM group]] It is not enough to put something in the code for it to be miraculously accomplished, as our predecessors have seen, as effective and courageous as they were, otherwise we would have found a perfect situation. But that is far from the case. Let us therefore admit that we are moving forward in stages; Let us be humble to each other as much as possible and show our country's collective spirit, love, concern for the general interest and that of students with disabilities.
ParlaMint-FR_2019-02-14-O1150.u102	I have before me a number of amendments, Nos 39, 157, 181, 224, 473, 982 and 234, which can be discussed jointly. Amendments Nos 157, 181, 224, 473 and 982 are identical. I call Mr Patrick Hetzel to support Amendment No. 39.
ParlaMint-FR_2019-02-14-O1150.u103	We have obviously entered a tunnel where the Government and the majority do not want to hear the opposition, when we do not embark on invectives that are not necessarily necessary. We must remember that we have the right to defend certain things and that it is important to be able to do so in a calm manner. The aim of this amendment is to ensure that at all times of schooling, after evaluation of the educational team and on the possible recommendations of paramedical professionals, a personalized accompanying plan can be put in place to arrange the schooling of pupils who experience lasting difficulties in school learning, but do not first require the establishment of a personalized school education project. The aim is to satisfy a demand from families by complementing the arrangements already in place. The amendment provides for this to be done on an experimental basis. All of this is in the children's interest and that is why we are defending this amendment.
ParlaMint-FR_2019-02-14-O1150.u104	Mr Xavier Breton has the floor to support Amendment No. 157.
ParlaMint-FR_2019-02-14-O1150.u105	This amendment is forbidden. I pay tribute to the minister for recognizing that the old world was still good, and especially to our colleague Pradié for the breath of youth and renewal he brings to our debates!
ParlaMint-FR_2019-02-14-O1150.u106	I call Mr Maxime Minot to support Amendment No. 181.
ParlaMint-FR_2019-02-14-O1150.u107	Dys disorders are part of the cognitive disorders of learning disorders and affect between 6 and 8% of the population. But not only does the de facto bill not explicitly refer to the Convention on the Rights of Persons with Disabilities, but its drafting does not reflect the major ideas of the Convention. While the project is aimed at all students in general, it does not give their place to students with special educational needs. It is essential that this text responds to the needs of students with long-term educational difficulties. The aim of this amendment is to enable the implementation of a personalized accompanying project to take account of the majority of pupils with specific learning disabilities within a legal framework. The implementation of such projects would help to avoid school failure, illiteracy and dropping out of school for 3 to 5 per cent of pupils with "dys" disorders.
ParlaMint-FR_2019-02-14-O1150.u108	I call Mr Patrick Hetzel to support Amendment No. 224.
ParlaMint-FR_2019-02-14-O1150.u109	The aim of this amendment by Mr Le Fur is to put in place a specific support mechanism corresponding to the request of the families who wish the school institution to take account of these difficulties and to be able to exchange information with it in order to ensure that this system is in place. This concerns extremely diverse situations which may be linked to situations of drop-out or school failure. The aim of this amendment is to make it possible to go further than what is being done today in national education and to include it in the education code.
ParlaMint-FR_2019-02-14-O1150.u110	Mr Frédéric Reiss has the floor to support Amendment No. 473.
ParlaMint-FR_2019-02-14-O1150.u111	This amendment by our colleague Émilie Bonnivard proposes the implementation of a personalized accompanying plan for children with special educational needs.
ParlaMint-FR_2019-02-14-O1150.u112	I call Mr Vatin to support Amendment No. 982.
ParlaMint-FR_2019-02-14-O1150.u113	This amendment by our colleague Isabelle Valentin has the same objective: to allow students whose situation does not a priori call for the implementation of a personalized school education project to benefit from specific arrangements aimed at remedying the difficulties they encounter before setting up the "big means". I would like to remind colleagues that these disorders affect 5 to 7 per cent of children.
ParlaMint-FR_2019-02-14-O1150.u114	Mrs Valérie Bazin-Malgras has the floor to support Amendment No. 234.
ParlaMint-FR_2019-02-14-O1150.u115	This amendment by our colleague Marc Le Fur aims to allow the implementation of an appropriate planning plan to take account of the needs and expectations of students who are intellectually young or who have special skills within the meaning of article L. 321-4, paragraph 3, of the Education Code.
ParlaMint-FR_2019-02-14-O1150.u116	What is the opinion of the committee?
ParlaMint-FR_2019-02-14-O1150.u117	The arrangements you are talking about, ladies and gentlemen, are already possible: they are mentioned in Article L. 311-7 of the Education Code and Article D. 311-13 specifies their objectives: "Students whose difficulties are the result of a learning disorder may benefit from a personalized accompanying plan provided for in Article L. 311-7 after the advice of the national education doctor. It replaces a possible personalized program of educational success. The Personalized Accompaniment Plan defines the educational measures which enable the student to follow the teachings provided for in the programme corresponding to the cycle in which he or she is enrolled. It is reviewed annually. » Improvements are also planned for the examinations. Unfavorable opinion.
ParlaMint-FR_2019-02-14-O1150.u118	What is the Government's opinion?
ParlaMint-FR_2019-02-14-O1150.u119	I agree with the rapporteur's arguments. In addition, I would point out that there has been a great deal of work on the subject of the organization of examinations, carried out by the Inspectorate-General with the Directorate-General for School Education. This is again a subject which is not covered by the law but which will see significant progress as of the end of this school year and especially at the next school year. In any case, the legal basis for moving forward on this issue has already been laid. The opinion is therefore unfavourable to all of these amendments.
ParlaMint-FR_2019-02-14-O1150.u120	Mr Patrick Hetzel has the floor.
