ParlaMint-FR_2019-11-28-O1087.u1	As the Government was not represented, the meeting was suspended.
ParlaMint-FR_2019-11-28-O1087.u25	I am very pleased to be with you this morning to discuss the bill to reduce the cost of land. This work is the result of a shared will, in particular by the parliamentarians of the majority, and of Mr Lagleize's strength of conviction, which has been putting this issue forward for many months. You agreed, Mr rapporteur, to carry out the mission that the Prime Minister and I had entrusted to you, and you did give me your report a few weeks ago. I would like to take this opportunity to thank the services of my department, who accompanied you, your parliamentary attachés and yourself, in the drafting of the text. This bill is very important to me, because it is fully in line with the vision of housing policy that we have been trying to implement over the past two and a half years. This vision can be summed up by a very clear objective: housing must no longer be an impediment. He must no longer be prevented from finding work because he is too far away or from raising his children with dignity because he is too degraded. In a word, it must no longer prevent the mastery of the destiny to which one aspires. The achievement of this objective depends on two main areas: the production of affordable housing; Renovate housing wherever it is necessary to do so. These are the two compasses of my action for the past two years, with the support of the majority. The implementation of these two components is now fully effective on the ground. Much has already been done to promote the production of affordable housing. I am thinking of the stabilization of financial aid, despite the many debates on this subject every year during the examination of the finance bill – it is quite normal that there is one. I am also thinking of the adoption of the law, known as ELAN, on housing, development and digital development. I thank all parliamentarians, not only those of the majority, but also those who sit on the other benches of this House, for the constructive work we did then. The ELAN law first allowed the construction code to be rewritten. In a few weeks' time, I'll present a prescription that will rip one page out of four of this code! I let you imagine the domestic work that it represented. In what sector is such a huge change taking place? This will give more freedom to the players in the sector and allow them to innovate more. The ELAN law has also made it possible to get out of the whole process to get into the whole project, which is essential to me. This took the form of the partnership development projects – PPP – which we discussed at length here. In Marseille, just a few months after the tragedy on Rue d'Aubagne, we have put in place a PPP, at the request of local authorities. This proves the relevance of the devices you had adopted a few months ago to speed up urban planning, renovation or reconstruction projects. You have also approved provisions to combat abuses, not only speculation, of course, but also so-called unfair remedies, which all too often lead to the freezing of projects. At the same time, we have worked a lot on the renovation, which I have done, as you know, a very strong marker of my action. On the first day, I said that I wanted to be as much the minister of renovation as the minister of construction. Let us mention the many actions we have taken together in this area: the national action plan at the heart of the city; urban renewal; energy renewal; the voluntary investment plan, recently launched with our partners, Housing Action and social donors. Despite all these measures, there was still a hole in the racket, which we had collectively identified when we examined Bill ELAN: the land issue. We all share the observation that you have made, Mr rapporteur: land today accounts for a far too large share – 20 to 60 % – of the cost of an operation, and that cannot be sustained any longer. Before insisting on some of the very relevant measures that you propose, I would like to point out that solutions exist and are already being implemented. I am thinking in particular of the role played by solidarity land organizations – OFS – in social ownership. We worked on this issue for long months and we all agreed that these SFOs were certainly the best solution of the moment for social ownership to cost our fellow citizens as much as possible. We have made considerable progress. Under the ELAN Act, housing that is the subject of a real joint lease – BRS – established by an OFS is now included in the quota of social housing set by the SRU law on urban solidarity and renewal. That is the political priority we attach to SFOs. As I speak to you, some 20 OFS are in the process of being created, and the city hall of Paris has also announced the establishment of such an organization. I'm glad to hear that, because I've been fighting in this direction. Consider that we had introduced the BRS when Emmanuel Macron was Minister of Economy, into the law that bears his name. The question now is whether we can go further, by extending the SFO model to create free land organisations – LFOs – I am deeply in favour of it. Nevertheless, care must be taken to preserve what founded the success of SFOs, in line with their primary objective: to be able to circumscribe operations in order to avoid speculation on land. [[The rapporteur agreed]] In order to combat land speculation, the example is also used: finally, we are providing a solution to the problem of auctions. How many of us have experienced the experience of being solicited by people denouncing the whole bid! In fact, it has only one consequence: the French are paying higher and higher prices. You are proposing very significant progress in this area. If this bill is passed, the state will have to be exemplary, and I welcome it. Another issue is community ownership of land. I believe that your proposal concerning the right of urban preemption is relevant; it is an indispensable tool for putting in place a controlled cost policy. This is another area in which we can work in a profitable way. Finally, there is the question of community support in the development of land strategies; The aim is to adopt the most pragmatic approach possible, in order to define how the state and the legislator can empower communities to do so. To achieve this, we will need to consider many aspects of these strategies and their inclusion in the HLP. Your bill invites us to discuss it. [[Applause on the benches of the MODEM and LaREM groups]] Thus, the examination of this text is an important moment for me, because it brings solutions to build the top floor of the rocket: the ELAN law had made it possible to identify the need for it, we had then referred its completion to the execution of additional works. You have agreed to do this, Mr rapporteur, in cooperation with many of your colleagues, and I am very pleased that we can now bring new solutions to the land problem, which are fully consistent with our strategy: to rehabilitate housing and build new, affordable housing for the benefit of the French.
ParlaMint-FR_2019-11-28-O1087.u26	Mrs Isabelle Florennes spoke in the general debate.
ParlaMint-FR_2019-11-28-O1087.u27	The text defended by our colleague Jean-Luc Lagleize, the fruit of his report on land, is a continuation of the first three bills that the Group of the Democratic and Related Movement is presenting today. These complementary texts try to respond, each in its own way, to the concerns that the French have raised in recent months, particularly with regard to purchasing power. Housing has become, in recent decades, one of the first items of household spending – and even the first in so-called tense areas. At the same time, it is an absolutely decisive factor in access to employment, in the development of a professional career or in the choice of modes of travel, and hence in the ecological footprint. In short, housing irrigates all aspects of the daily life of the French, and the rise of its prices has a direct impact on the purse of our fellow citizens. This flight, we know at least one of the main factors: the speculative game on land, now well installed. All the professionals in the sector make it known: what is expensive is the land. This applies even more to the tense areas, where it is sorely lacking. Our colleague Jean-Luc Lagleize has therefore courageously tackled the root causes of the problem and – with great wisdom, it must be said – has interacted with all the players in the sector in order to draw up his report and to draw up this bill. But the great sensitivity of the subject also called for consultation of all the political groups in this House. Again, I believe that we can welcome the attitude of our colleague, who has done everything possible to ensure that everyone can speak about this text and propose amendments in order to extend its scope. The result of these exchanges is a comprehensive toolbox made available to elected officials and citizens. It is a question of encouraging virtuous practices that, we hope, can stop the price increase and allow mayors to better develop their territory and better meet the demand for housing. The proposed measures are structured around these two main objectives. The first, one of the most important, is indicative of the movement that this text aims to drive; It is a ban on the sale of land by auction to the state and communities, and a reaffirmation of the need to be exemplary in this regard. The State and the communities are indeed among the players in the speculative game and have their share of responsibility in the rise in land prices. In order not to contribute to this harmful development, they must make an effort and adopt more virtuous practices in the management of their domain. Another key measure, which we hope will be preserved, is the creation of free land bodies. Without further detailing the mechanism that you have already presented, Mr rapporteur, I will merely recall that the future LFOs, directly inspired by the OFS created by the law for access to housing and a renovated urban planning – ALUR – are thought of as tools for communities to decorate the price of land from that of construction to encourage social accession to property. This is a measure of which we are convinced that it is in the right direction and that is why we strongly hope that the order to define the leases suitable for the products proposed by the future LFOs will be designed in consultation with the parliamentarians, while being published quickly enough to ensure that its effective implementation takes place in the wake of the promulgation of the text. New tools, of which we also expect a great deal, the future observatories of land are established by Article 3 of the text. They will provide strong support for the schools, which will facilitate the planning mission by providing them with a comprehensive scoreboard of land and housing information in their territories. They should be perfectly adapted to solve the difficulties that mayors encounter in tense areas in collecting information. As far as mayors are concerned, we wanted to give them the opportunity to use approved private expertise for certain operations. I shall turn for a moment to this subject, which has given rise to many discussions. The State Real Estate Directorate – DIE – has made significant efforts that we welcome. In this way, it has begun a review of the way in which it operates – I am thinking in particular of the method of pricing and their justification. This is a good thing: such measures are likely to give the edicles greater visibility in the implementation of their projects, and give a significant example of the transparency towards which all actors must strive in the area of housing. However, it is not forbidden to question the hierarchical remedy which we will examine in the course of the discussion. Is this new remedy not going to make it more complex, where we wanted to simplify? Moreover, how can we imagine that the appeal to another internal body to the DIE will lead to a decision disavowing the decision already made by the DIE itself? These are real questions which I hope will be answered in our discussions. Transparency, which I mentioned at the moment, also inspires the last measure proposed by this text: the obligation to draw up an annual report on the construction of housing. Presented in municipal council, this milestone will serve both citizens, for whom it will provide an overview of past, ongoing and future projects on the municipality, and elected officials, who will be able to assess their own progress against the objectives they have set themselves. New tools, virtuous practices, transparency: all the slogans that guided the construction of this text, which we hope will create a new emulation within the land sector. I say "emulation" because it is a question of producing a driving effect among the actors, of empowering them and of asking the question of the consequences of their attitude on the prices of land and therefore of housing. [[Applause on the benches of the MODEM group. – Mrs Pascale Boyer also applauds]] But it is also a question of giving elected officials, in particular, the means to adapt to this development and to mitigate its adverse effects. This dual desire for encouragement and accompaniment must lead to a balance and must not allow speculative play to prevail in determining housing prices. It is imperative that we all work together in this direction.
ParlaMint-FR_2019-11-28-O1087.u28	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-11-28-O1087.u29	I would like to thank the Group of the Democratic and Related Movement for this particularly visionary, intelligent and solutions-oriented bill, but also for the spirit behind its elaboration, during parliamentary information work, through consultation with all political groups. On behalf of the Socialist and Related Group, I solemnly express our gratitude for instilling such a state of mind in the House. We had seen it with Jimmy Pahun's proposed law for the protection of agricultural activities and marine crops in coastal and mountain areas; We have found it with that of Erwan Balanant for an effective ban on electric fishing: on matters that could bring us together, consult us, work together, seek consensus and compromises enlighten our House and respond to a strong expectation of today's society. Unfortunately, the niche of the Socialist and related group will not have the same fate next week; We felt a contempt for our proposals in the lack of work, collaboration, listening. Our proposals are almost systematically rejected; Yet they were – at least I believe deeply – in exactly the same state of mind, if we look back at them by freeing ourselves from political considerations. I can only regret this difference in treatment; There is a school of peaceful and constructive democracy that could inspire the majority.
ParlaMint-FR_2019-11-28-O1087.u30	Yes!
ParlaMint-FR_2019-11-28-O1087.u31	Another area of satisfaction, Mr. Rapporteur: you cited Edgard Pisani, touching on a sensitive rope, that of happy days when different groups of political and spiritual inspiration were able to converge in the sense of social Gaullism. I would also like to mention Edgard Pisani, who, in the 1990s, said that he admired the dynamism of the company, but without being able to prevent himself from thinking about the problems of man and society that the company does not solve directly or indirectly. "Who will think of the distant future," he said, "if politics, as a watchman in the night and as a visionary, does not propose a future and prepare the species and the nation to solve them so that they remain masters of their destiny?" That's exactly what you wanted to do. Another quotation from Edgard Pisani is more directly related to the question of land, which brings us together today: "The maintenance of the goods of nature among the merchant goods will lead us to the acceleration of threatening phenomena, of which we are already witnesses. That was thirty years ago and this acceleration has only increased. Thank you therefore for your bill, which contributes to two achievements to which the Socialist and related group is very attached: the power to live – to take the name of the set of pragmatic and precise proposals defended by Nicolas Hulot, Laurent Berger and a coalition of associations in order to reduce social and territorial inequalities – and the protection of the planet's ecosystem, our common home. With regard to the latter, I cannot fail to refer to the trans-party colloquium that Jean-Michel Clément, Jean-Bernard Sempastous and I met yesterday; The Victor Hugo room was full of cracks. All the organisations present, the agricultural unions, the Regions of France, the ADCF – the Assembly of the Communities of France – and five environmental NGOs have signed together an appeal to the Government for a move to action in the area of land reform and regulation. It is high time, there is an urgent need to ensure generational succession and to protect agriculture and land as a common good. In short, as you have understood, this call converges with your proposals to rebalance public and private power, which is at stake for political action at the beginning of the 21st century. More precisely, our group has been able to make a proposal, as we have resumed, in agreement and in discussion with you, some of our expectations, which have not been successful in recent months. Some have been able to join the fifty proposals of the report to the Minister. I am proud that Ms. Battistel and I have helped create the opportunity for communities to build land reserves without having to justify a short-term project. More generally, I regret that we have not had time to simplify the collective organisation, in particular of FTEs, public land establishments, and SAFER, land development and rural establishment companies, in connection with SCOTs, territorial coherence schemes. These planning tools, which have become tools of local programming and experience, which we have had in Nancy and which I had the honour to co-build in previous years, show that articulation, planning and programming would require more effective political objects than the current dispersal of the organisation of decision-making centres. Perhaps we will return to this point. I am also dubious with regard to private property counter-expertise, preferring to reform areas, to avoid any risk of speculation. Similarly, the SAFE must accompany the rise of the agricultural land market, including when it is the result of people bypassing their right of preemption – a scandal that we will have to solve one day.
ParlaMint-FR_2019-11-28-O1087.u32	Please close.
ParlaMint-FR_2019-11-28-O1087.u33	[[Applause on the SOC and MODEM benches]] Our call for a large consolidation, encompassing all the public goods of the various ministries in the different territories, in order to clean up the man-made soils and put them back on the market for the benefit of the communities, is an extraordinary bet on the future. The proposals we have put forward in this direction have not been successful, but we will take them back when the time comes.
ParlaMint-FR_2019-11-28-O1087.u34	Mr Paul Christophe has the floor.
ParlaMint-FR_2019-11-28-O1087.u35	First of all, we would like to congratulate our colleague Jean-Luc Lagleize, for the quality of his work, as well as the Group of the Democratic and Related Movement, for placing this text on the agenda of his parliamentary niche. Mr rapporteur, on 4 April the Prime Minister sent you to study the control of the cost of land in construction operations with a view to ensuring a balanced planning of the territory. You have identified two priority objectives. The first is to break the spiral of rising housing prices by banning public auctions, providing more transparency on price setting and halting land speculation. The second strategic objective is to free up more land and optimize available land by giving mayors tools to effectively conduct their housing policy. Your work has made a significant contribution to these goals. That is why the IDU, Action and Independent Group supports the proposals you make to strengthen communities in their prerogatives. In particular, the proposed law aims to generalize the dissociation between land and buildings by allowing local authorities to create a free land organisation through which they could propose real free leases – BRL – on the land they develop. We welcome the fact that the debates in committee limited this possibility to companies which are predominantly owned by public capital. The use of experts accredited to appeal courts would also speed up procedures for communities. I regret that the Government is trying to remove this facilitating measure for local elected officials, as we have all been forced to wait for the assessments. Another interesting provision is that local land observatories will aim to provide greater transparency in the sales operations of individuals. We welcome the fact that, renouncing the creation of new urban planning agencies to carry out these new tasks, you have entrusted them to the existing agencies. With regard to the housing construction data which these observatories will have to transmit to the local authorities, we will propose, together with you, the rapporteur, to amend Article 7 in order to make it more efficient. Another problem is the control of urban sprawl. The clean-up and conversion of wasteland is a real challenge for spatial planning. Article 4 creates a fund for the clean-up of wasteland, which seems to me an excellent initiative. This fund should also cover the asbestos removal operations of certain agricultural buildings. Indeed, the persistence of these unhealthy buildings remains a concern for the balanced planning of the territory and compliance with ecological requirements. Only the regions are not armed enough to meet this challenge; It is the responsibility of the State to assist them. The IDU, Action and Independent Group has always proposed and supported initiatives to simplify housing policy. In this area again, Mr rapporteur, you have made a number of relevant proposals in the report you have submitted to the Prime Minister. I would like to ask the Minister responsible for the city and housing about the follow-up that will be provided by his administration. In conclusion, while the text focuses on the issue of land, let us not forget that the rise in housing prices is also due to the complexity of standards and to our policy on land use. We said that during the review of the ELAN law. I welcome your intervention, Minister. She has informed us about work that will be completed in the coming days, and that is expected to significantly improve the situation. [[Applause on the benches of the MODEM group]] Priority should be given to a territorialised housing policy, adapted to the 400 living areas identified. Rather than building more through a centralized policy, we need to promote "building better" through territorial anchoring. I repeat: we support all initiatives that will contribute, like this text, to the simplification of housing policy.
ParlaMint-FR_2019-11-28-O1087.u36	Mrs Sylvia Pinel has the floor.
ParlaMint-FR_2019-11-28-O1087.u37	The text is driven by an ambition that we all share: to facilitate access to housing for our fellow citizens who, in many cases, find it difficult to implement their real estate projects. The first to lose their illusions in this area are the inhabitants of the tense areas, where demand for housing is exploding, while the supply of goods available for rent or sale is tarnished. The worrisome inflation of the cost of land contributes to this general increase in prices. This issue, at the heart of the concerns of our fellow citizens, is also, as we know, an essential subject for local elected representatives. So we often find it at the heart of the election campaign for the March municipal elections. I also welcome your work, Mr rapporteur. As part of your mission, you have conducted numerous hearings, and you have produced a high quality report. I also appreciate your method of involving all parliamentary groups in the co-construction of a consensus text. A balance has been found. I hope that we will retain this compromise or consensus during the consideration of the bill. You are advocating complementary arrangements, rather targeted at the middle classes, to enable them to access housing in the tense areas, of course, but also elsewhere, especially in the peri-urban areas. To do this, it is essential to control the cost of land. The text proposes several operational and pragmatic improvements, to which we broadly agree. In particular, I am thinking of the ban on auctions of land in the private domain of the State and local authorities. This measure, provided for in Article 1, will limit the inflationary effect of auctions that we regularly observe on the ground. Moreover, amicable divestitures allow the planning policy to better abstract itself from purely financial arbitrations and to value the quality of projects, social mix and architectural, landscape or environmental quality. The creation of local land observatories also receives my full approval. First, because knowledge of land markets is essential for effective public action. I am convinced, therefore, that their work will enable communities to act in favour of the development of their territory and to deploy relevant land strategies. Secondly, because access by individuals and professionals to information on real estate and land transactions is a condition for combating land speculation. Finally, because the provision that these bodies can rely on urban planning agencies, FTEs, and be linked with local housing programmes, guarantees both their scope and their effectiveness. On the other hand, I am sure that a good knowledge of the land reserves is also useful in the relaxed areas. In my view – as you know, rapporteur – we could have pushed this logic further by giving land observatories legitimacy equivalent to that of rent observatories. I will therefore defend an amendment aimed at establishing a process for the approval of housing and land observatories by the representative of the State in the region. Similarly, I support the possibility of using experts approved by the call courts, whose estimation is both rapid and reliable. It's a demand from the communities. You have to hear it. I, too, regret that the Government has tabled an amendment to maintain the monopoly of the State's real estate management, the former domain department. With regard to the creation of a third right of ownership, I have communicated my reservations. Currently, the dissociation between land and buildings introduced by the ALUR Act is limited to social housing, in accordance with the arrangement of the real solidarity lease – the BRS. Its expansion to the private park could be misunderstood by our fellow citizens: they could see it as an attack on property rights, whose constitutional value and social dimension we know. No one ignores the French commitment to this right. It was a pity that the Government had chosen to make an order to establish that mechanism. Parliamentarians are able to legislate on this point, by improving the text during the shuttle. [[Applause on the benches of the MODEM group]] As you have understood, the Liberties and Territories Group is approaching the bill rather favourably, hoping once again that the compromise or the balance reached in committee thanks to the rapporteur's work will allow us to debate it in good conditions.
ParlaMint-FR_2019-11-28-O1087.u38	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-11-28-O1087.u39	It's the dream team of housing!
