ParlaMint-FR_2019-02-11-O1143.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1143.u12	That's not the case!
ParlaMint-FR_2019-02-11-O1143.u13	On this and other issues, if people are disillusioned by believing that the Government is pursuing objectives other than those it has set itself, then we are contributing to a pessimism that can be self-realizing. On the other hand, if we all share the desire to see rural schools bounce back, and if we hold this speech, all political tendencies combined, we will bring a fine demonstration that, from time to time, a little unity can create the virtuous circle of trust. Now, there are times when there are no more children in a village, or when it becomes negative for the village as well as its population to maintain a school with too small a number – as is sometimes seen – or when it is necessary to move from four to three classes, for obvious demographic reasons. Nevertheless, the rates of supervision are much more favourable for rural schools than for urban schools. I recall figures that I quote frequently: there are fourteen students per class in Lozère, fifteen in Vendée and sixteen in Cantal – not in CP or CE1, but from the small section to the CM2. After returning home, there is a benevolence for rural school. But because this benevolence will not suffice if we continue to observe a demographic decline, our strategy of alliance between the municipalities and the state in favour of a demographic rebound is the key to everything. That's what we have to do. In the meantime, we will continue to improve the management rate in each department, returning after re-entry. I have allowed myself such a development, because the bill does not really address this issue. I said: the text is not intended to deal with everything, but it makes pedagogy in primary school a priority. I share a common conviction among speakers from all groups: the rural world must be at the forefront of a successful primary school. The measures that you may adopt in the field of basic knowledge, teacher training or digital education can be particularly evident in the rural world. The rural school can show the way, because it already achieves better results. In the background of the law, we also set out the budgetary priorities that we have decided and which I fully assume. You have touched on other points that I will answer on an article-by-article basis.
ParlaMint-FR_2019-02-11-O1143.u14	I now call, in the text of the commission, the clauses of the bill.
ParlaMint-FR_2019-02-11-O1143.u15	Mr Maxime Minot has the floor.
ParlaMint-FR_2019-02-11-O1143.u16	Let us go beyond certain partisan divisions, let us avoid any dogmatic thinking to deal with the deep crisis that the school is going through and to which your text intends to remedy. To reach the school of trust that we all call for, we must first make sure that it is present everywhere and for all. A school of trust consists of increasing dialogue and no longer putting parents, staff and elected representatives in front of the accomplished fact of class closures from year to year. A school of trust is re-establishing a little authority, responsibility, but also common sense. A school of trust is to respect those elected on the ground who work to attract families in order to make their commune live and give it a future. A school of trust is the one that allows the social elevator while generating the support of students who see it as a chance to succeed. A school of trust is to promote merit and work, where too often the policy of excuse and levelling down have been practiced. [[Applause on the benches of the LR group]] The text before us lacks breath and, above all, a little ambition to respond to what its title suggests. It's up to us to legislate to fix it. Minister, you seemed to have a kind look at my call for consistency and consistency; I will recall these principles, like mantras. Colleagues, Minister, I dare to believe that, despite our differences, we can find ourselves on the fundamentals of the school, on which our country so much needs to rely.
ParlaMint-FR_2019-02-11-O1143.u17	Mrs Sylvie Tolmont has the floor.
ParlaMint-FR_2019-02-11-O1143.u18	An article 1e r whose wording is criticized by the Council of State, which calls on the Government not to maintain its provisions, is not trivial. To this is added a chronology that is at best clumsy, at the worst unfortunate – your ministry wants to introduce it at the moment when the hashtag "no wave" spreads, by which many teachers denounce the abandonment of their hierarchy in the face of violence. Strange application of your promise to hear the malaise that the profession expresses on social networks! This reference to the duty of exemplaryness, it did not take any more to raise shields on the part of teachers who, to say the least, did not need it. They felt it more as a sign of distrust, a sign of a desire to muzzle their freedom of expression than as a simple way to recall the principle of exemplaryness – to which, moreover, they adhere. They are not wrong: legally, a publication on the Internet can be considered, according to the judge who appreciates it, as a breach of the duty of obedience. [[Mrs. Elsa Faucillon applauds]] In the face of the many reactions that the provisions of this article provoked, on January 8, you stated on France Culture, that you wanted to modify its wording in order to remove the misunderstandings and to remove any ambiguity that might cast doubt on the sincerity of your speech. However, during the examination in committee, you refused to do so, which explains our concern. And the reference, in your recent interview in the Sunday Journal, to Jules Ferry, known for being hostile to the collective expression of teachers, did not help to reassure us. Therefore, Minister, we ask you not to create an obligation for national education officials not provided for in the general statute of civil servants.
ParlaMint-FR_2019-02-11-O1143.u19	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-02-11-O1143.u20	The law stipulates that students and their families must respect the school institution and all staff. The link between families and school seems to me essential, but it is not enough to proclaim it: a policy must be developed with regard to families, especially those furthest from school. Very often, it is said that parents are not sufficiently present, are not sufficiently interested in school and have no relationship with her. However, it has been realized, particularly in the context of educational success policies, that this link can be created by allowing parents to come to school more easily, and not only when their child has committed such or such nonsense. That should be imperative. Yet, despite the intentions set out in Article 1, it is not clear what policy you intend to pursue to facilitate relations, outside of any conflict, between the family and the teaching team. Parents are indeed part of the educational community. Consideration must be given to how to make them truly involved in what is being done in schools. Too often, especially when they have themselves been poorly rated students, this link is not created or hurts. It is up to the authorities to ensure that this essential link can be established.
ParlaMint-FR_2019-02-11-O1143.u21	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-11-O1143.u22	Minister, this first article runs counter to what, if I am not mistaken, your intentions are to restore confidence in the school. You call on us to read the second sentence of paragraph 2, which deals with "respect for students and their families for the school institution and for all its staff", but there is one reason why so many actors have focused on the first sentence. The sacrosanct example that you are calling for suggests that the majority of teachers are not able to do the part of things, to tend like each of us to the greatest possible neutrality and objectivity. Teachers serve their institutions with loyalty and conviction; They are, in their own way, the hussars of the Republic. However, by urging them to follow increasingly binding guidelines, we are building a mini-society within the school where commitment, contrary to what you say, becomes suspicious and where convictions and passions are confused with irresponsible biases. The model we offer to our youth is that of an aseptic world, far from the real world, and unwilling to promote the spirit of free will that we constantly boast. What then becomes of our commitment, such as union membership? How does one come to the situation where teachers and heads of institutions no longer dare to speak the word "political" without being called dangerous activists? The defiance of parents towards teachers reflects that of society as a whole. The job is not well considered. As a young teacher told me yesterday, this cruel lack of trust cannot be redeemed: money does not cure exhaustion. We ask our teachers a lot; As a result, they experience possible failures with violence. What is crumbling is trust, replaced by the terrible sense of guilt they feel in the exercise of their mission. Mr Minister, I assure you with the utmost sincerity, what the teachers expect from you is the unequivocal affirmation of your confidence in them, and certainly not an umpteenth warning that they will interpret, as you know, as a sign of great distrust.
ParlaMint-FR_2019-02-11-O1143.u23	All right!
ParlaMint-FR_2019-02-11-O1143.u24	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2019-02-11-O1143.u25	First of all, I would like to welcome the spirit of this bill, which aims to re-establish the bond of trust that has severely deteriorated in recent years between all the players in the educational community and the school institution. How do I define the school of trust? It is first of all a school that offers a caring, inclusive and serene environment for all the children of the Republic, because the pleasure of learning and the well-being in class are two pillars of the success of all. The school of trust is a school that guarantees equal opportunities, regardless of its environment of origin, by transmitting a common foundation of values and knowledge. Nevertheless, this founding quest for equality must not lead to uniformity. Republican universalism has led too long to blindness; The specificities of each child have not been sufficiently taken into account: I want proof of this: the fight against school harassment, which affects 700000 children each year, i.e. one in ten children. This figure, considered in isolation, masks a reality which the school institution is confronted with. The "pede" insult remains the most widely used in recreation classes; an overwhelming majority of LGBT youth – lesbian, gay, bisexual and transgender – suffer from harassment. I must pay tribute, Minister, to the courage you have shown in taking an initiative on this matter. National education has long dealt with the fight against discrimination in a generalist and disembodied manner, in terms of tolerance and respect for others, without taking into account the specific needs of these young people. However, the experience of harassment by gay or trans youth is not quite the same as that of children who are victims of anti-Semitism or racism – simply because, often, they cannot talk about it to their parents or teachers, who are not always listening, which reinforces their sense of isolation and uneasiness. Similarly, applying the same rules to everyone, mechanically and rigidly, can be a source of violence. This is the case for trans children in school.
ParlaMint-FR_2019-02-11-O1143.u26	Please conclude, my dear colleague!
ParlaMint-FR_2019-02-11-O1143.u27	[[Applause on the benches of the LaREM and MODEM groups]] Because we apply ourselves to using the pronoun that corresponds to the sex registered in the civil state, without always worrying about the gender identity of the child, we reinforce situations of ill-being. It is therefore important to name things well and to provide an inclusive, caring and child-friendly school environment.
ParlaMint-FR_2019-02-11-O1143.u28	Mr Dino Cinieri has the floor.
ParlaMint-FR_2019-02-11-O1143.u29	The school of trust... The word "trust" is recurring in the titles of your bills. Method Coué or not, trust is earned, minister, but is not decreed. And trust doesn't rule out control. As you said, Madam rapporteur, this article should be read as a preamble, a statement of principles. It aims to place trust among the main principles that govern our education system. But what are you going to do, minister, so that all this doesn't remain beautiful words or attractive promises? Many teachers in the Loire have told me of their concerns about this article, which they believe will limit their freedom of expression. Will they be subject to disciplinary sanctions if they express themselves on social networks or if they insurrection against a particular project within their institution? On the basis of the opinion of the Council of State, we suggest that you withdraw this article, which certainly expresses some of the indisputable values around which the school of the Republic must be built, but which does not by itself produce any legal effect.
ParlaMint-FR_2019-02-11-O1143.u30	Exactly!
ParlaMint-FR_2019-02-11-O1143.u31	He's right!
ParlaMint-FR_2019-02-11-O1143.u32	Mr Yannick Kerlogot has the floor.
ParlaMint-FR_2019-02-11-O1143.u33	In this first article, Mr Minister, you wished to recall the reciprocal confidence pact that binds teachers, students and parents around the school. In recent days, I read Idiss, by Robert Badinter, this testimony of a grandson's love to his Jewish grandmother in Bessarabie, who arrived in Paris at the beginning of the 20th century. In particular, I have taken from this shocking reading a valuable testimony about the Third Republic school, which allowed integration, social ascent. Yes, Minister, the emphasis on trust is necessary in this time of doubt. The school of 2019 has of course evolved, starting with the profile, personality, behaviour of the students it welcomes. However, its missions remain the teaching of basic knowledge, which is a challenge to reinvent in a renewed society. Trust is necessary to rehabilitate, reinvent the taste for effort, investment, commitment, which are all essential values. This bill does not intend to be a new piece of legislation that would defend "education to...": the content taught is in the regulatory field. However, many amendments are intended to draw your attention to this point. The finding is that too many pupils do not develop in a school environment conducive to their development. Skin colour, disability, gender, sexual orientation are always pretexts for discrimination, harassment. Call for trust, therefore, to assume and live its difference. In committee, I had the opportunity to greet the campaign "That's enough! you have launched to fight homophobia and transphobia in high school and high school. National education today agrees to take its part in this cause; primary school must also be associated with it, particularly in the foundation of initial and in-service teacher training. The proposed measures are in the right direction. They should be greeted and encouraged. [[Applause on the benches of the LaREM group. – Mr. Erwan Balanant also applauds]] Trust is part of diversity. In this regard, Minister, you will not be surprised to be questioned about the issue of regional languages. Together with other colleagues, I plead for a multicultural France brought about by a new humanism. France, born mosaic of terroirs, has built one and indivisible in uniformity. The time has come, without touching the foundation of republican principles, to consolidate a Republic of diversity, a multicultural Republic finally assumed. Several amendments are intended to encourage the involvement of municipalities in favour of regional languages.
ParlaMint-FR_2019-02-11-O1143.u34	Mr. Alexandre Freschi has the floor.
ParlaMint-FR_2019-02-11-O1143.u35	This article anchors in the law the bonds of trust that must unite the different members of the educational community. These links, as you pointed out, Minister, are the foundation of the school we are calling for. Article 1 is addressed to both staff and users – families and students. In other words, the main word of the article is "reciprocity": all must respect one another – which will be the subject of an amendment by the majority. The school of trust cannot be done in one direction; It must be based on a relationship of respect due to both families and national education staff. By emphasizing the exemplaryness and commitment of teachers, this section demonstrates how central they are to the bill. Without them, the school of trust is impossible. This is therefore not a mistrust of the system vis-à-vis teachers, but rather a consideration of their responsibilities. Article 1e r values them, recalls that they are the pillars of the school system and attests to a sign of the institution's deep confidence in them. [[Applause on the benches of the LaREM and MODEM groups]] Finally, contrary to what has been said, this article has a real normative scope. It places the protection of the bond of trust at the expense of both the families, the teaching staff and the public service of the school. It may be invoked in disciplinary cases involving national education personnel who have committed acts that undermine the reputation of the public service, but they may also invoke it if they are subjected to violence.
ParlaMint-FR_2019-02-11-O1143.u36	Mr. Francis Chouat has the floor.
ParlaMint-FR_2019-02-11-O1143.u37	This article on the commitment of the entire educational community is an opportunity for the national representation to know if it is able, in its diversity, to deliver to teachers, families and young people a strong message about the urgent need to come together so that the school can regain its place as a fundamental pillar of our republican and secular foundation, and its promise of equality and liberation. It would be a lot of blindness, and probably a lot of bad faith, to suggest that this article would carry liberticide germs. I have known well the years when teacher unionism was flamboyant, the federations of parents of pupils were massively representative, the rooms of teachers were inflamed, the general assemblies of teachers and high school students were frequent, and yet the sacred union existed between society, the institution and the educational community on the emancipatory and liberating role of the school. [[Applause on the benches of the LaREM and MODEM groups]] Today, the threat does not weigh on these freedoms, but comes from breaking the link between school and society, the gap of incomprehension between those who passionately engage in the transmission of knowledge and the students or their families, and pressures – we must say so! – of all kinds, anti-secular, community-based, and even verbal and physical violence. In the popular city of which I have been mayor, education and the transmission of knowledge can be particularly undermined when teachers and families do not act hand in hand; I measure the weariness and anxiety of the staff of the educational community, who sometimes feel prevented in the proper conduct of their mission and who wonder about the deep meaning of their commitment when their function, status and protection are no longer guaranteed. That is why, minister, I fully endorse clause 1 of your bill.
ParlaMint-FR_2019-02-11-O1143.u38	Mr Michel Larive has the floor.
ParlaMint-FR_2019-02-11-O1143.u39	Was that helpful, minister? The provisions of section 1, as you know, are among the most rejected in this bill by teachers. As you speak of a strengthening of the bond of trust, the officers of your ministry fear that this article will censor them and serve to impose disciplinary sanctions against them. The anger in the country continues to rise against your government's policy, and national education officials are no exception. At this very moment, a mobilization is underway a few meters from here, with those who have baptized themselves the red pens. France strongly opposes the main provision of this article, the application of which may limit the freedom of expression of educational staff. It is inconceivable to include in the law a duty of exemplarity of the staff, a notion sufficiently blurred to serve I do not know what authoritarian drift. Your trust bill is received as an act of distrust towards the educational community. Was that helpful, minister?
ParlaMint-FR_2019-02-11-O1143.u40	The question deserves to be asked!
ParlaMint-FR_2019-02-11-O1143.u41	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-11-O1143.u42	Between the Government's original bill and the text we are debating this evening, the work in committee has led to a change in section 1. It should be remembered that this is part of a chapter entitled "The commitment of the educational community". However, when one wants to gain the trust of this community, two issues are essential. The first is this question: how can the teaching profession be made attractive again? Unfortunately, we have not discussed this subject sufficiently in committee. Minister, you said you would pay attention to it, but we would like to know how you intend to do it. The second, of course, relates to revalorisation.
ParlaMint-FR_2019-02-11-O1143.u43	That's right!
ParlaMint-FR_2019-02-11-O1143.u44	You say you do some things so that students still in training can turn to the profession of teacher: a gesture is made, but what about entry into the career? You are a lawyer and know that the words used in a piece of legislation make sense; Indeed, in response to some of our comments, you reminded us just now of the meaning of words. The words "engagement", "exemplarity" and "trust" are inscribed in this text: I don't want to play the master and put you in a student situation, but could you tell us how these three concepts should be considered?
ParlaMint-FR_2019-02-11-O1143.u45	He's right!
ParlaMint-FR_2019-02-11-O1143.u46	These concepts remain extremely vague;...
ParlaMint-FR_2019-02-11-O1143.u47	That's right!
ParlaMint-FR_2019-02-11-O1143.u48	They're very subjective!
ParlaMint-FR_2019-02-11-O1143.u49	[[Applause on the benches of the FI group and on several benches of the LR group]] ...and you know it, when it's blurred, it's that there's a wolf! [[Applause on the benches of the LR group]] We would like to know how the three concepts of commitment, exemplaryness and trust will be legally dealt with.
ParlaMint-FR_2019-02-11-O1143.u50	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2019-02-11-O1143.u51	You are asking us today to rule on a law for a school of trust. Unfortunately, the account is not there. Your flagship measure, compulsory education from the age of 3, is based in part on a lie. Indeed, as my colleague Hetzel rightly pointed out earlier, in countries such as Estonia or Finland, among the best in the international programme for the monitoring of pupils' achievements – PISA – education is only compulsory from the age of six to seven. However, we are taking a totally opposite direction. A school of trust? Certainly not to families: those who choose to enrol their children from 3 to 6 years of age at home will have to be checked, in your opinion, at least once a year. A disproportionate measure, at the very least, that shows the distrust of those who are in the best position to know the needs of their children. Not to mention, I shall return to that, the difficulties which these hasty measures will pose to the communes. There will be significant extra costs, that's for sure, hence the question: who will pay? A school of trust, but almost nothing about authority or violence against teachers. I had tabled an amendment on this subject, which was rejected on the grounds that it was not linked to the text. Admit it's starting wrong. Yet in my city, in Béziers last Thursday, a teacher from Mermoz High School was violently assaulted by the father of a 15-year-old student. The correctional court has just sentenced the aggressor to two years in prison, which is happy; Nevertheless, the student in question will return to his class on Wednesday, while his violence against his teachers and comrades is no longer to be demonstrated. How do we respond with this text? None, unfortunately. A school of trust, but nothing concrete to facilitate the schooling of children with disabilities. Forget the inclusive school and break the trust of the parents of these children! [[Mr. Dino Cinieri applauds]] I could go on for a long time, but I do not want to be cheerful, Mr.Minister, because our country would need a little bit more ambitious text.
ParlaMint-FR_2019-02-11-O1143.u52	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-11-O1143.u53	[[Rires on the benches of the LR, SOC, FI and GDR groups]] [[Same movements]] The school of trust bill is the third piece of legislation that has used this term in its title that we have been considering since the beginning of the quinquennium, after the law for confidence in political life and for a state in the service of a society of trust. As if your Government doubted we could trust him! I have to tell you, minister, he's not wrong. Georges Wolinski, in his album Les Pensées, wrote that he had never trusted people who want to be trusted. With Article 1, you wish to engrave in the marble of the law the need for a pact of trust, which must unite all members of the educational community and govern their relations with the school institution. A surprising article with no normative significance, to the point that the Council of State calls for the retention in the text of "provisions which, on the other hand, have their full place in its explanatory statement". No, this article doesn't bring anything. It has no other effect than to make the law too talkative, especially since its application can only be subjective. How, Minister, will you assess tomorrow the lack of confidence of a teacher or a group of teachers in his school or in the education system? My biggest disappointment with reading article 1, which you call a foundation, is that at no time is the inclusive school, which we all call for. However, you posted this policy with a great deal of communication at the beginning of the quinquennium, but you now realize that it will take a lot of time. [[Applause on the benches of the LR group]] I have noted, Mr Minister, in your preliminary statement that this matter remains in your eyes essential and that you are prepared to accept amendments aimed at greater and better inclusion. Yes, we want disability to be dealt with as effectively and as quickly as possible. There is clearly, through this objective, a real project of society, which should have been fully integrated into Article 1.
ParlaMint-FR_2019-02-11-O1143.u54	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-11-O1143.u55	This article recalls the prerequisites without which there can be no trust in the school institution. Trust: this term alone gives a soul to the bill. Be confident. To act in confidence. Listen to each other in confidence. Transform into confidence. We need it today, as our country has lost confidence in itself in recent years. Yes, trust is necessary to carry out one of the most essential tasks of any state: the education of its future citizens. Building this trust requires the exemplaryness and commitment of the staff of the educational community, but also requires the respect of the students and their parents. It is therefore not a question of limiting teachers' right of expression, since the contours of their freedom of opinion and their duty of neutrality are already sufficiently clear. Article 1 recognizes, on the contrary, their dedication. They do a often difficult job and bravely address the challenges it entails, despite often limited means. They deserve our gratitude. [[Applause on the benches of the MODEM and LaREM groups]] The MODEM Group wishes, by voting this article, to show its confidence and support for the members of the educational community.
ParlaMint-FR_2019-02-11-O1143.u56	Mr Pierre Dharréville has the floor.
ParlaMint-FR_2019-02-11-O1143.u57	I will probably repeat in my own way arguments that have already been put forward. Minister, this bill is getting off to a bad start. You say you want to seek trust, but article 1 sounds like an act of distrust on its own. What's his purpose? We still do not have a clear answer to this question. It also sounds like a reminder of a form of moral obligation: you call for commitment and exemplaryness, which appears, in deceit, as a challenge to some teachers. In any case, they can receive it that way. You will only be able to judge the reality of commitment and exemplaryity on subjective grounds, which, it is to be feared, will constitute the basis of questionable disciplinary measures. This is not a trial of intent: the statement of reasons states that this article will sanction facts that affect the reputation of the public service. We see, therefore, that it will be possible, with this article, to try to circumscribe the right of expression; However, the freedom of opinion of civil servants is guaranteed by the Act of 13 July 1983, adopted at the initiative of Anicet Le Pors. [[Applause on the benches of the GDR group]] We invite you to step out of the blurred law to produce a committed and exemplary law. To that end, we must start by going back to article 1 and, no doubt, to some of the other articles.
ParlaMint-FR_2019-02-11-O1143.u58	Mr Frédéric Reiss has the floor.
ParlaMint-FR_2019-02-11-O1143.u59	Much has been said at a time when we are dealing with section 1, which includes provisions in the Education Code to justify the title of the bill. Trust in the educational community is not decreed, but lived on a daily basis. Article L. 111-1 of the Education Code lays down the principle of a construction of the school with the parents, "regardless of their social origin. He says that the school is "enriched and strengthened by dialogue and cooperation among all actors in the educational community." In terms of accountability and exemplaryness, school principals play an essential role. The bill is silent about them. The principal of the school does not simply hold a position, he is a full-fledged professional. It is founded around the educational project, as a privileged interlocutor, the teachers of his school, the parents of pupils and the local elected representatives. Of course, minister, this bill does not deal with all matters, as you have said and repeated. However, I would like to recall here the daily difficulties of school principals and principals in the exercise of their work, regardless of their weekly discharge. I wish to pay tribute to them, hoping for future progress in giving them a real status.
ParlaMint-FR_2019-02-11-O1143.u60	Excellent!
ParlaMint-FR_2019-02-11-O1143.u61	Mr Jean-Claude Bouchet has the floor.
ParlaMint-FR_2019-02-11-O1143.u62	A bill for a school of trust, why not? In EC1, one in two pupils has difficulties in mental calculation; 20% of students leave primary school without mastering basic knowledge; Each year between 110000 and 140000 young people leave the school system without any diploma and without basic knowledge. Article 1 recalls the general principles of the public education service. It states: "...by their commitment and exemplaryness, the staff of the educational community contribute to the establishment of the bond of trust that must unite students and their families with the public service of education. » [[Applause on the benches of the LR group]] Commitment, exemplaryity, respect: beautiful formulas! Hopes created! Why not? However, we must ask ourselves: how can this be achieved, in practice and without the effects of a handle? I fear that the text – in particular Article 1 – will not provide any concrete answers.
ParlaMint-FR_2019-02-11-O1143.u63	Mrs Brigitte Kuster has the floor.
ParlaMint-FR_2019-02-11-O1143.u64	Minister, in your early days, you announced that there would be no Blanquer law. First of all, you said, the school does not reform only by law. Second, education is first of all a matter of dialogue between the members of the educational community. Finally, the school has undergone enough dogmatic laws in recent years to be able to claim some stability. It was not to mention the irresistible need of every minister to engrave his action in the marble of the law, at the risk of writing laws chattering and stuffing. However, you have called in committee for a concise and clear bill. Clearly, this laudable intention has not inspired the authors of article 1, which is a true model of abstraction, the very one in which our laws are too often drawn. Where is the legal norm in the midst of these absolute and undisputed truths? Where is the rule that an administrator can object to the administration and a defendant can invoke before the courts? Who can translate into law the notions of exemplaryness, commitment, respect and trust? All this blurry is likely to create legal uncertainty. Moreover, even if we use heavy words of meaning, why have we excluded the one who is probably the most lacking in contemporary school, the authority? Let us put ourselves for a moment in the place of a teacher reading clause 1 of this bill. What feeling does he have, who, of all the civil servants, should be the most important, yet who feels ill-considered, ill-paid and often despised? In the country, a movement has risen, that of red pens. It expresses common sense claims, such as the thawing of the point of index, the decline of the CSG and the consideration of all these invisible hours spent correcting the copies and talking with the families. [[Applause on the benches of the LR group]] This bill could have been an opportunity to respond, at least in part. That's not the case. Can we build a school of trust if so many teachers no longer trust the school? Unfortunately, I doubt it. Minister, it is up to you, through the proposed provisions, to answer this question.
ParlaMint-FR_2019-02-11-O1143.u65	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-02-11-O1143.u66	Mr.Minister, we could have addressed many issues this evening, as you suggested at the opening of the sitting, and perhaps re-establish some truths about class closures. In this regard, you are sheltered behind a rate of supervision measured at the departmental level, taking into account the duplication of classes of REP – priority education network. This macro approach does not reflect the reality of school in our rural areas. For some children with a large kindergarten section, the daily bus transport time may exceed two hours. In addition, rural areas that are not classified as REP suffer from class closures and a degraded supervision rate. Above all, inequality of opportunity is increasing in favour of children attending school in rural areas, even compared to children attending school in the suburbs. Their chances of social upswing are lower than those enjoyed by their parents. We could also have referred to the reform of high schools, which will create social inequalities by destructing education to the detriment of children from the least favoured backgrounds. Above all, it will strengthen territorial inequalities. In fact, peripheral territories are the great forgotten of certain options, such as digital or languages. That's the point, at a time when we regret the digital divide! [[Claims on several banks of the LaREM Group]] We have therefore reached clause 1 of the bill. You start the text with your strong point, minister: it's a pure communication article – the only subject where you get the average since your appointment!
ParlaMint-FR_2019-02-11-O1143.u67	That's pathetic!
