ParlaMint-FR_2019-03-05-O1164.u1	Like all Vice-Presidents, I preside over the meetings of our Assembly every week.
ParlaMint-FR_2019-03-05-O1164.u44	Minister of the Economy, on 14 February, employees, farmers and elected officials were amazed to learn of the decision of the German group Südzucker to close in 2020 its factory, subsidiary Saint-Louis Sucre, located in Cagny, in the constituency of which I am elected – a brutal decision, taken without any consultation, in catini, at the supervisory board of this company, at the end of January. It is a method which, unfortunately, becomes usual: everything should therefore pass over the interests of shareholders, who are always demanding more dividends and do not care about the impact on the territory concerned – in this case, Calvados. This impact is the elimination of five direct jobs and seventy-five seasonal jobs at the sugar factory, and about five hundred indirect jobs. It is also a serious threat to the activity of the more than 1,000 beet producers who supply the site. It is therefore a real earthquake for employment, for a whole industry and for the whole territory. Yesterday, at a meeting in the prefecture, where I regretted the absence of the employees, the site manager is far from convincing us – state, elected and beetkeepers – of the economic justification for this announced disaster. Worse, we have all understood that the Germans' choice is to prevent any resumption of activity, since part of the plant will be converted to a storage site, with eight employees: as for Ford in Blanquefort, it is declared that a site is not profitable, but it is refused to sell. It is an assumed cynicism, denounced by the President of the Republic. However, there is a shared determination of employees, elected representatives and local authorities to support the plan to take over the betteravier union and save the site of Cagny. There is an urgent need to hold a meeting with the German leaders of the group in the coming days. [[Applause on the SOC benches and on a few benches of the LaREM group]] Minister, help us open the door to this negotiation with the Germans. This is another concrete case which shows that a true policy of maintaining industry in France is needed.
ParlaMint-FR_2019-03-05-O1164.u45	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2019-03-05-O1164.u46	Madam Member, your question is very serious:...
ParlaMint-FR_2019-03-05-O1164.u47	It is the lethargy of the Government that is grave!
ParlaMint-FR_2019-03-05-O1164.u48	... it depends on the strategy of a German company, consisting of closing sites in France – there are three of them – to damage a whole sugar industry and the entire better-sector. We were immediately concerned about the situation, which the President of the Republic and the Prime Minister discussed with those responsible for the sector last week. As of this week, I receive from the Ministry of Agriculture all the representatives of the sites concerned in Calvados, the Somme and Bouches-du-Rhône, and next week, Bruno Le Maire and I will receive the President and CEO of the German company Südzucker, in order to see what is happening. This situation is absolutely dramatic, because in France there is a desire of the sugar sector, in particular the better sector, to move forward and to restructure itself. The end of sugar quotas is a real problem, and that is what this is all about. Today, the German company chooses to keep a few employees per site, which, you have just said, prevents any recovery and any possible restructuring. It was therefore with the utmost seriousness that we worked all weekend with those responsible for the sugar sector and the national beef sector. This week, I told you, we receive all the structures, one after the other and, at the beginning of next week, Bruno Le Maire and I will receive in Paris the president of the company, to see what possibilities exist. [[Exclaims on the banks of the GDR Group]] [[Applause on the benches of the LaREM group]] This unilateral decision, taken without regard for the agricultural and economic situation, is completely unacceptable. Be sure, honourable Member, that we are doing our utmost to ensure that things are moving in the right direction.
ParlaMint-FR_2019-03-05-O1164.u49	Mrs Laurence Gayte has the floor.
ParlaMint-FR_2019-03-05-O1164.u50	My question is to Mrs Muriel Pénicaud, Minister of Labour. Since 1972, the Labour Code provides that every employer is obliged to ensure equal pay for the same work or work of equal value between men and women. The Act of 23 March 2006 on equal pay for women and men introduced a bargaining obligation, both at the branch and enterprise level, to eliminate wage differentials between women and men before 31 December 2010. Unfortunately, it has not had the desired effect: more than ten years after its adoption, the wage gap between women and men has not yet disappeared and remains around 25 per cent over the entire career. The reasons are many: first, part-time work, which is more of a concern to women, second, occupational segregation and, lastly, an unexplained part-time gap of about 9%. These inequalities begin from the first job, increasing with age, and especially with the arrival of children, to a difference of 37% in retirement pensions. [[Applause on several benches of the LaREM group and on a few benches of the MODEM group]] The law of 5 September 2018 on the freedom to choose your professional future proposes an approach based on the obligation of result. It introduces an index of equal pay for women and men: this score of 100 attributed to enterprises is determined on the basis of five criteria. Companies with more than 1000 employees had until Friday 1 March to publish their index. Minister, can you tell us whether all these companies have responded favourably to their reporting obligations and what are the first trends that are emerging?
ParlaMint-FR_2019-03-05-O1164.u51	The Minister for Labour has the floor.
ParlaMint-FR_2019-03-05-O1164.u52	For forty-six years, the law has required women and men to receive equal pay for equal work; This law has not been respected for forty-six years. We wanted, in the law for freedom to choose one's professional future, to change scale, to change ambition to a real obligation of result, so that there would be no more than 9% of the gap for equal work or 25% of the gap in career. We have imposed a performance obligation with a system of measurement, as progress is only being made in this way. For four months, we worked with the social partners to define an index of occupational equality measuring both equal pay and equal opportunities for promotion, thus objectifying the glass ceiling. Since 1 March, all companies with more than 1000 employees must publish their index. The same will apply to companies with more than 250 employees on 1 September and to companies with more than 50 employees on 1 March 2020. The first results show that 732 companies, i.e. one in two, fulfilled their reporting obligations. More than 500 are in the process of being declared or have not yet finalized it: the requirement of awareness and transparency that we have included in the law is in itself a subject. Of the 732 companies, 14 earn 100 points and are therefore of real equality; 118 of them, or 16%, are on red alert, i.e. they have less than 75 points required. The vast majority still have a lot of progress to make and must commit themselves to this. [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] According to the feedback we have received for the last two days, we find that many companies are discovering their results with shock, either positive or negative, because they did not have measuring instruments. I am confident that this will serve as a real lever, as the social dialogue will take hold, as will management, the media, public opinion and the House. There is no fatality: we will succeed together!
ParlaMint-FR_2019-03-05-O1164.u53	Mrs Valérie Lacroute has the floor.
ParlaMint-FR_2019-03-05-O1164.u54	[[Exclaims on the benches of the LR group]] My question is for the Prime Minister. A few days ago, your minister responsible for equality between women and men spoke in an interview of an ideological convergence between Manifa pour tous and Islamic terrorism.
ParlaMint-FR_2019-03-05-O1164.u55	Bravo!
ParlaMint-FR_2019-03-05-O1164.u56	Scandalous!
ParlaMint-FR_2019-03-05-O1164.u57	And she laughs!
ParlaMint-FR_2019-03-05-O1164.u58	[[Exclaims on the benches of the LR group]] This truly scandalous amalgam shocked the French a lot. A few days later, one of the deputies of the March majority did the same by daring to put on the same plane the wearing of the Islamic veil and the wearing of the headband by the girls.
ParlaMint-FR_2019-03-05-O1164.u59	It's a shame!
ParlaMint-FR_2019-03-05-O1164.u60	[[Applause on the benches of the LR Group and among non-attached Members]] How blindly guilty! Beyond a profound denial of reality, holding such public statements is a moral error that recalls the worst hints of Islamo-leftism. [[Same movements]] How can we put Islamists and Catholics back to back? I want to have a thought about the two guards brutally assaulted this morning by a radicalized inmate. [[Applause on many benches in the LR group]] In trying to compare the incomparable, this Member, like others of the majority, still refuses to open his eyes to the communal threat. By minimizing the drifts of political Islamism, these statements go totally against our visceral attachment to secularism, respect for the dignity of women and equality between men and women. Prime Minister, these statements have cast a deep trouble among our compatriots and in your own majority, while defending secularism should be a common cause on all of our benches. The President of the Republic himself is extremely silent and ambiguous on this issue of secularism.
ParlaMint-FR_2019-03-05-O1164.u61	Otherwise, you're an accomplice.
ParlaMint-FR_2019-03-05-O1164.u62	[[Applause on the benches of the LR Group and among non-attached Members]] We therefore ask you to solemnly condemn these scandalous amalgams and to clarify very explicitly your government's position on secularism.
ParlaMint-FR_2019-03-05-O1164.u63	[[Hued on the benches of the LR group. – Applause on the benches of the LaREM group]] The Secretary of State to the Prime Minister, spokesman for the Government, has the floor.
ParlaMint-FR_2019-03-05-O1164.u64	[[Applause on many benches of the LaREM group. – Mrs Frédérique Meunier also applauds]] Madam Member, I would like to point out that strict respect for the republican framework and secularism is the only and only compass of this government. [[Exclaims on the benches of the LR group]] In this area, as in others, we must not give in to the mood of the moment.
ParlaMint-FR_2019-03-05-O1164.u65	It's too easy!
ParlaMint-FR_2019-03-05-O1164.u66	Tell that to the prison guards!
ParlaMint-FR_2019-03-05-O1164.u67	We must listen to the wisdom of the Council of State, which, in constant jurisprudence since 2004, recalls the three fundamental principles of our secularism. The first is the neutrality of the state. The second is the principle of religious freedom.
ParlaMint-FR_2019-03-05-O1164.u68	Answer the question!
ParlaMint-FR_2019-03-05-O1164.u69	[[Protests on the benches of the LR group]] The third is respect for pluralism. These three principles, I am sure, call for more than vain polemics and rostrum effects!
ParlaMint-FR_2019-03-05-O1164.u70	Please, ladies and gentlemen! Only Mr. Secretary of State has the floor!
ParlaMint-FR_2019-03-05-O1164.u71	I know that these three principles that the Council of State constantly recalls are shared on these benches beyond our political sensitivities.
ParlaMint-FR_2019-03-05-O1164.u72	That's not the point!
ParlaMint-FR_2019-03-05-O1164.u73	[[Applause on a few benches of the LaREM group. – Exclaims on the benches of the LR group]] You come back to the two polemics of the weekend about comments made by Marlène Schiappa and Aurélien Taché: Marlène Schiappa immediately brought a correction and Aurélien Taché immediately acknowledged an unfortunate expression. So, Madam Member, do not unnecessarily have vain polemics! [[Applause on several benches of the LaREM group]] This battle for secularism is the basis of the common struggle that drives us. There is no ambiguity in this government or in this majority in the fight for women's freedom: let it be very clear!
ParlaMint-FR_2019-03-05-O1164.u74	The next speaker is Mr Michel Castellani, for the Libertés et territoires Group.
ParlaMint-FR_2019-03-05-O1164.u75	My question is for the Prime Minister. "Do I have to die to be heard, to be taken seriously? Julie Douib exclaimed before being shot. A woman has just been murdered by her companion, once again, once again. This drama challenges us, and our Freedom and Territory group, like our entire assembly, can only bow to his memory and mourn his two children and all his loved ones. Clearly, the issue of violence and harassment against women arises. We must think and act in the direction of taking account of situations, alas! too usual, women hunted, humiliated, beaten and even shot. This tragedy should help us to avoid others, when we know that since the beginning of the year almost thirty women have died under the blows of their spouses. The Act of 4 August 2014 on real equality between women and men enshrined the generalization of the high-risk telephone. Since then, more than 600 victims have benefited from this telephone, even though the device remains insufficient. The Libertés et Territoires Group wants police services to be better trained in listening to and protecting women victims of physical and psychological violence. Are you ready, Prime Minister, to give instructions to the prosecutor's office to systematically take measures to remove the perpetrators of violence? Having made violence against women a major national cause is a good thing, but this must be translated into an increase in the resources allocated to support victims and child witnesses. [[Applause on the benches of the LT group and on the benches of the SOC and GDR groups]] My question will be simple: how do you intend, Prime Minister, to accompany the liberation of the word of women?
ParlaMint-FR_2019-03-05-O1164.u76	[[Huties on the benches of the LR group]] The Secretary of State for Equality between Women and Men and the Fight against Discrimination has the floor.
ParlaMint-FR_2019-03-05-O1164.u77	Let her apologize!
ParlaMint-FR_2019-03-05-O1164.u78	[[Applause on the benches of the LaREM group]] You recalled, Julie Douib of Île-Rousse, Corsica, is the thirtieth woman to have been killed by her spouse or former spouse since the beginning of the year. I would therefore like to begin by addressing our thoughts of solidarity to the whole of Corsica, to her two sons and more generally to all the relatives of the twenty-nine other women who have been killed by their spouse or former spouse since the beginning of the year. A woman is never responsible for the violence she suffers, for this reason the Government acts tirelessly against this violence, in particular by training health professionals, police, justice, through the inter-ministerial mission for the protection of women and by ensuring the presence of social workers in the police stations even more because it is unbearable and unjustifiable to think that a woman who had the courage to speak and file a complaint is found dead in her home despite her or her complaints. Local anti-violence contracts have been signed, involving prefects, emergency workers, social workers in all departments and we have launched an increase in funds for 3919, the telephone number which can now answer 100% of calls.
ParlaMint-FR_2019-03-05-O1164.u79	Not enough!
ParlaMint-FR_2019-03-05-O1164.u80	The Ministry of the Interior has also launched a platform for dialogue with police officers and gendarmes trained specifically for this. [[Applause on the benches of the LaREM group]] To alert witnesses, we spent four million dollars on a campaign to say that when we witness a burglary, we must also call the police when we witness domestic violence. An amendment tabled this summer by MP Alexandra Louis recognizes children who witness this domestic violence as victims of this violence and 5000 emergency places have been reserved for these women. [[Applause on the benches of the LaREM group]] While France has been a world champion of equality between women and men by the World Bank and a champion at the UN in this field, these femicides are a real shame for our country and it is our collective responsibility.
ParlaMint-FR_2019-03-05-O1164.u81	The next speaker is Mr Raphaël Schellenberger, for the Republican Group.
ParlaMint-FR_2019-03-05-O1164.u82	[[Exclaims on the banks of the LaREM Group]] Mr Minister of Economy, this morning the President of the Republic decided to be himself a candidate in the European elections. Forgetting that he is the least well-accepted Head of State in Europe, forgetting that all his attempts at European negotiations have been defeated, forgetting that he has braided France's strategic interests, particularly in agricultural matters, this is the lesson for Europe as a whole. But the French are not fooled. You are only trying to hide your renunciation of any economic and industrial ambition for France. We no longer count the strategic issues on which you have been unable to listen to the players in our industry. Alcatel-Lucent, or the abandonment of the telecom market: 400 jobs; Ford, which saw its plan to take over the factory in Blanquefort rejected: 850 jobs; Ascoval or abandonment of the raw materials market: 300 jobs; Arjowiggins, or the abandonment of our sovereignty for secure documents: 250 jobs; Alstom or abandoning the strategic nuclear and rail transport sector; Safran has given up opening two factories in France in the face of administrative constraints: 600 jobs. Let us not be mistaken, these failures are those of the logic of the development of the economy by the only mergers and acquisitions imposed by Emmanuel Macron since he was banker and then deputy secretary general of the Elysée under François Hollande. This strategy dismantles everything French industrial excellence has been able to do better. You're giving up our territories for immediate stock market profits. But the worst is in front of us! Minister, the humiliation you suffered last week with the rise of the Dutch state to the capital of Air-France KLM to the tune of 14% must open your eyes! Even our most liberal European partners can't afford your small-week management of the industry! [[Applause on the benches of the LR group]] When are you finally going to hear the will of the French to maintain a true industry in our territories? When will you finally understand that we will provide answers to this challenge by listening to our European partners rather than by giving them lessons?
ParlaMint-FR_2019-03-05-O1164.u83	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2019-03-05-O1164.u84	You have selective memory, Congressman.
ParlaMint-FR_2019-03-05-O1164.u85	You too, Minister!
ParlaMint-FR_2019-03-05-O1164.u86	[[Applause on the benches of the LaREM group]] You forgot that in 2017 France was the first industrial investment land in Europe. [[Same movements]] You have forgotten that, for the first time in ten years, while in ten years a million industrial jobs have been destroyed and 100 industrial enterprises have closed a year, we have been creating industrial jobs in our country since 2017.
ParlaMint-FR_2019-03-05-O1164.u87	Thank you Holland!
ParlaMint-FR_2019-03-05-O1164.u88	You forgot, honourable Member, that not far from your region, Daimler is investing 500 million euros in the Smart plant. Toyota invests 400 million in Valenciennes; General Mills invests $15 million in Arras. [[Same movements]] You have forgotten the successes of our industries, because in essence you have sad pessimism and want our failure and the failure of France, while we want the success of the French industry, the workers and our nation. [[Same movements]] You have forgotten that, thanks to Dassault systems, we are the leaders of augmented reality. You forgot that we are going to create the first nanoelectronics industry on March 15, with 700 million public investments that will trigger billions of private investment. You forgot that we have created the electric battery industry with Germany to be masters of an essential technology for tomorrow's car. You forgot that we are going to pass 10000 French SMEs into the BPI accelerator so that they are robotic, digitalized and our entire industrial fabric is revitalized. [[Same movements]] I understand that you can have the sad passion for French industrial failure. We are fighting to ensure that French industry has a future, that it creates jobs, that factories do not close. Whether you like it or not, we are going in the right direction and we are going to succeed.
ParlaMint-FR_2019-03-05-O1164.u89	Mr Philippe Latomb has the floor.
ParlaMint-FR_2019-03-05-O1164.u90	Madam Minister for European Affairs, yesterday the President of the Republic wanted to address the peoples of Europe through a forum published and disseminated in all the countries of the European Union. His remarks sound like a speech of mobilization, as we are in an emergency with the rise of populism, doubts as to the very survival of the Union in its integrity, with Brexit, and an intense international competition which obliges Europe to act together more than ever. For all these reasons, the European elections that are approaching are a moment of choice, not only for our country, but above all for the idea that we have of Europe. The President of the Republic recalled this: we must take advantage of these elections to propose to the European peoples an ambitious project, in line with the ideal which was that of the founding fathers and summarized by the formula of a "European renaissance". As we know, the challenges are immense: protection of the continent, defence of our freedoms and common progress. France has long supported the idea of a Europe concerned with the security of its borders, well-being and progress for its citizens, the preservation of its civilizational principles, starting with freedom. The Group of the Democratic and Related Movement is fully committed to this ambition and philosophy, in particular with the proposal to create a social shield, an idea which alone summarizes the three ambitions set out by the President of the Republic. By this measure, it is a matter of protecting workers while allowing them the freedom to work in the Community area and to be able to evolve in their professional career through the technological and economic exchanges that this makes possible. This social shield would make certain principles of the European foundation of social rights proclaimed by the European institutions on 17 November 2017 binding, and would even go beyond them. [[Applause on the benches of the MODEM group]] Moving forward on this issue would be an important step forward. How does the French Government intend to place it at the centre of European discussions?
ParlaMint-FR_2019-03-05-O1164.u91	[["The best! » on the benches of the LR group. –(Exclaims on the banks of the LaREM Group]] The Minister for European Affairs has the floor.
ParlaMint-FR_2019-03-05-O1164.u92	[[Applause on several benches of the LaREM group]] It's very elegant, thank you! This is the week of International Women's Rights Day! For the past two years, the President of the Republic has defended the project of a Europe that protects, first and foremost, the rights of workers exposed to the excesses of globalization. For the past two years, we have contributed to major advances for the European Union in social matters. It was said that it was impossible to reform the system of posted workers: we did it.
ParlaMint-FR_2019-03-05-O1164.u93	What about transportation?
ParlaMint-FR_2019-03-05-O1164.u94	It was said that it was impossible to create the European Labour Authority to combat fraud: it was becoming a reality. As we speak, we are working to further secure the working conditions of road hauliers. [[Applause on a few benches of the LaREM group]] As you recalled, two years ago, the Heads of State of the European Union proclaimed the European foundation of social rights in Gothenburg. Proclaiming is good; It's better to act. We propose to set up a European minimum wage...
ParlaMint-FR_2019-03-05-O1164.u95	400 euros!
ParlaMint-FR_2019-03-05-O1164.u96	... taking into account differences between countries, but collectively negotiated. We also propose to improve the social benefits of posted workers by providing for them to be introduced from the host countries when they are more generous.
ParlaMint-FR_2019-03-05-O1164.u97	Blah, blah, blah, blah, blah,
ParlaMint-FR_2019-03-05-O1164.u98	Finally, we propose to allow all Europeans to work towards social convergence, by ensuring that European funds can no longer be paid to a country which does not fit into a logic of social convergence: minimum wage, social dialogue, protection of workers. We will defend this at the summit on the future of the European Union in Sibiu; This will be defended by the majority in the European elections, so that the European Parliament itself will be irrigated by this social ambition.
ParlaMint-FR_2019-03-05-O1164.u99	Thank you.
ParlaMint-FR_2019-03-05-O1164.u100	[[Applause on the benches of the LaREM group and on several benches of the MODEM group]] It is no longer possible to say that the European Union does not deal with poverty: the European Union is also the social ambition!
ParlaMint-FR_2019-03-05-O1164.u101	Mrs. George Pau-Langevin has the floor.
ParlaMint-FR_2019-03-05-O1164.u102	My question is addressed to the Minister of Solidarity and Health and concerns women's lives at the highest level. Throughout the territory, we have seen a significant decrease in the number of medical gynaecologists in the field for years. For a long time, the associations, and especially the Committee for the Defence of Medical Gynaecology, have been mobilising themselves against the negative consequences of the abolition of the speciality "medical gynaecology", while it allows the accompaniment from the earliest age of women in all aspects of their life and their health, sexual and physical. Of course, following numerous petitions and demonstrations, posts were reopened – 41 in 2013, 68 in 2015 and 82 in 2018 – but this is not enough to meet the needs. Today, 62% of practising medical gynaecologists have reached the age of 60 or older, and it is difficult to replace them because of the insufficient number of trained young people and the lack of recognition for this diploma. Neither general practitioners nor midwives are really able to ensure proper gynaecological follow-up of patients. Students who wish to become generalists must choose, during their training, between an internship in gynaecology or paediatrics, i.e. they spend only a few months in a gynaecology department at the public hospital. [[Applause on the SOC benches. – Mr Jean Lassalle and Mr Maxime Minot also applaud]] This situation is all the more serious because more and more maternity hospitals are closing in the province, which is difficult to justify, both in terms of health and in terms of accompaniment or planning of the territory: patients will be forced to increase the number of trips to be followed. [[Applause on the SOC benches and on a few benches in the LR group. – Mr. Jean Lassalle also applauds]] What do you intend to do to ensure the quality of gynaecological medical follow-up that the French, and especially the youngest of them, are entitled to hope for?
ParlaMint-FR_2019-03-05-O1164.u103	The Secretary of State to the Minister for Solidarity and Health has the floor.
