ParlaMint-FR_2019-12-19-O1111.u1	The meeting was suspended.
ParlaMint-FR_2019-12-19-O1111.u12	I have received from Mr Jean-Luc Mélenchon and from members of the La France group a motion to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-12-19-O1111.u13	I will not fail either, Mr rapporteur-general, to welcome the work you have done and the way in which you have done it, even if our disagreements remain complete. For more than a year now, the country has been in a social boil and you are trying vainly to put the lid back on the coconut-minute in which the pressure continues to rise. I imagine how you're going to try to do it now, about pension reform. Perhaps you will make a gesture by removing the pivotal age for those born before 1975, hoping thus to divide the social movement, and hoping above all that the French do not see that it is for everyone that point retirement will lead to a decline in the retirement age and a fall in pensions. You will certainly also continue to try to divide the French by throwing the drivers of the SNCF and RATP...
ParlaMint-FR_2019-12-19-O1111.u14	They are the ones who throw the French into pasture!
ParlaMint-FR_2019-12-19-O1111.u15	But there are many special retreats that you have chosen to defend: those of the police – and I am not against it – so much so that your regime is held only by them; others that we are talking about less, such as funded pensions, to which you have granted many exemptions in the PACTE law – on business growth and transformation – or like hat pensions, which your project does not even mention. And for good reason! Behind these choices, it is the very engine of your policy that is hidden and must be denounced. This country does not suffer from having given too many gifts to the employees, to the workers; It suffers from the fact that the capitalist rent paid to shareholders weighs more and more heavily. Thirty years ago, an employee worked nine days for shareholders; Today is forty-five days. You continue to increase these benefits for the rich, on the pretext that they will eventually spill over into the entire economy, but we see that this is not the case. It is the very essence of your policy, which inevitably leads to inequalities. Oh, I know, I won't be able to convince you, nor will I be able to convince the social sphere that you are defending, the one that prevails, the one that thinks that we have to appoint HRDs to the government to settle social conflicts, the one that last year passed another 400,000 French under the poverty line, while you distributed 400 million euros more to the richest 60,000 of our fellow citizens. Everything is there: to give to the richest, you must take to the whole of society, especially, in an iniquitous way, to the poorest 10%. We must compensate for the exemptions, not to mention the 20 billion CICE – a tax credit for competitiveness and employment – which we know does not create a single job. So you're attacking the retreats. You are attacking the unemployed: with the reform that you have been implementing for a few months, you will lead to poverty, next year, more than 1 million of them, deprived of compensation. You're attacking the APLs, the personalized housing aids. You're attacking the AME, the state medical aid, for the most underprivileged. This is the movement that this PLF prolongs because the tax you reduce is the redistributive tax par excellence, because you remove the housing tax for the richest, because you do not touch the gifts you have offered them for three years, by removing the ISF – solidarity tax on wealth – or by lowering the corporate tax, for a cost of 30 billion! And as you compensate for these revenue cuts by cuts in public spending, with accounting targets that no one can understand anymore, it is all public missions that you are attacking, with budget cuts for ministries as essential as those of health, labour, finance, etc. In essence, by pursuing this policy of breaking the social state as it was built after the Liberation and reinforced by major social struggles, especially in 1968 and the 1980s, you weaken all the mechanisms of equality and solidarity of our country. You're putting the country in tension, always to the benefit of the same people. You're pursuing a policy that is so unequal that you're going to press the lid as much as you like, the cocotte-minute will eventually explode, I tell you!
ParlaMint-FR_2019-12-19-O1111.u16	That's your business!
ParlaMint-FR_2019-12-19-O1111.u17	One day, you won't control anything, because you don't understand that you have to stop mistreating the French. In conclusion, I will quote...
ParlaMint-FR_2019-12-19-O1111.u18	Karl Marx?
ParlaMint-FR_2019-12-19-O1111.u19	[[Applause on the benches of the FI group]] ... a specialist of this world, which he sometimes tries to criticize as he promotes it to the government, the minister of action and public accounts: "A capitalism that leads to the increase of inequalities and the depletion of the resources of the planet leads nowhere. Dear colleagues of the majority, your policy does not lead anywhere, or rather it leads to the misfortune of most French people. That is why we call for rejection of the PLF.
ParlaMint-FR_2019-12-19-O1111.u20	Bravo, Mr. Coquerel!
ParlaMint-FR_2019-12-19-O1111.u21	In the explanations of vote on the motion to reject the motion, Mr Stéphane Peu has the floor.
ParlaMint-FR_2019-12-19-O1111.u22	I will be brief because the debate on the finance bill has already been lengthy. I too would like to express, after Éric Coquerel, the feeling that, since you came to power, a huge social malaise has been growing in the country. An anger is expressed regularly, and very strongly at the moment about pension reform. One of the functions of a finance law is to try to regulate a little, especially on an issue that is at the heart of the French's concerns: the sharing of wealth. But you make the choice not to go towards more fairness, but to impoverish the majority of the people to enrich others. For this reason and for many others, the Group of the Democratic and Republican Left will vote in favour of the motion to reject it beforehand.
ParlaMint-FR_2019-12-19-O1111.u23	Mrs Anne-Laure Cattelot has the floor.
ParlaMint-FR_2019-12-19-O1111.u24	I will not surprise you: the La République en marche group will not vote in favour of Mr Coquerel's motion to reject it beforehand. We believe that the measures included in the PLF will have a positive effect on our territories, and I will take a few examples. Since the beginning of the quinquennium, in my constituency, which is one of the poorest in France, unemployment has increased from 16.5 to 13.5 per cent.
ParlaMint-FR_2019-12-19-O1111.u25	We're rubbing people from Pôle Emploi!
ParlaMint-FR_2019-12-19-O1111.u26	Oh, no! We create jobs. You'll see, it works, it's fantastic: 35% industrial employment! On the other hand, corporate taxes will fall by 28% for our SMEs and TPEs, and I think we can be proud of that. Lower income tax. Increase in the allowance for adults with disabilities. Lower housing tax. As far as the area of regalism is concerned, there has never been so much attention paid to the real estate assets of police officers and gendarmes, who finally regain dignity at work. Mr Coquerel, the debate on the PLF lasted 253 hours. It is a democratic exercise that has allowed national representation to look at all the public policies that underpin our society. We really disagree. For my part, I strongly and vigorously support the Finance Bill for 2020. [[Applause on several benches of the LaREM group]] Finally, thank you to the rapporteur-general, for his work and listening, for the serenity with which he moderated the debates, and for the way in which he sometimes managed to find compromises with the oppositions.
ParlaMint-FR_2019-12-19-O1111.u27	Mr Jean-Luc Mélenchon has the floor.
ParlaMint-FR_2019-12-19-O1111.u28	I can see Mr. Coquerel didn't convince you. Moreover, we are on final reading, and I agree that there is something a little formal to suggest that you reject the budget at this last stage. The intention of the group of La France, you understand, is political. If we could, we would reject the budget to resume the zero copy, because we believe that your project is not leading anywhere. Of all the explanations that everyone can give here, there will remain only one thing: 400,000 more people are poor in the country, and the state budget does not play the countercyclical function that can be expected of it, in the French tradition and in the tradition of state interventionism in the economy. Could we do otherwise? You should ask yourself the question. Since nothing works, we could try something else! This is what we are trying to do at the moment in Portugal, where the Government is led by socialists, supported by the Communist Party and the Bloco, that is, the insoumis of Portugal.
ParlaMint-FR_2019-12-19-O1111.u29	In Portugal, the SMIC is 635 euros! That's a good example.
ParlaMint-FR_2019-12-19-O1111.u30	However, just out of curiosity, they restored four holidays, re-aligned pensions, re-established 35 hours in the public service, restored salaries to the level they were before they were reduced to deal with the crisis.
ParlaMint-FR_2019-12-19-O1111.u31	And the SMIC is 635 euros!
ParlaMint-FR_2019-12-19-O1111.u32	As a result, unemployment rose from 12.5 per cent to 6 per cent. These are facts, not theories like the one on whose behalf you set the state budget! You are organizing the budget to reduce public services everywhere, with the hope that the private sector will replace them and that it will cost society less. That's not what's going on!
ParlaMint-FR_2019-12-19-O1111.u33	And the fall in unemployment, you don't count it for anything?
ParlaMint-FR_2019-12-19-O1111.u34	The best example of this is what you do in health, where you have removed 160 emergency services; Only 60 or 70 have been created in the private sector, and everyone is ill-treated. [[Applause on the benches of the FI group. – Protests on several benches of the LaREM group]] The facts should still interest you, from time to time – it is hardly if I dare to quote Lenin, who said that they were stubborn. They are catching up with you: if you believe that all these people are on the street for something other than to show their opposition to all this, then you also don't understand when you live!
ParlaMint-FR_2019-12-19-O1111.u35	Mr Jean-Paul Mattei spoke in the general debate.
ParlaMint-FR_2019-12-19-O1111.u36	Mr rapporteur-general, thank you for allowing the Members of Parliament who were novices to introduce us to budgetary techniques. You and the chairman of the commission made you our teachers, and we all made progress: it was a very pleasant time. So here we are at the time of final reading, ready to pass the Finance Bill for 2020, which, I say in turn, marks the end of the budget marathon – a classic in this season. [[Smile]] Despite the threats to the stability of the world, to European and global growth, as we committed ourselves to it before the French, the finance bill introduced by the Government and enriched by parliamentary debates – I would certainly like, like the chairman of the committee, to see more of our adopted amendments, but we will do without –...
ParlaMint-FR_2019-12-19-O1111.u37	Even the MODEM complains!
ParlaMint-FR_2019-12-19-O1111.u38	... is marked by the seriousness of the budget, to which, as you know, the MODEM Group attaches particular importance. We also continue to follow the line of tax justice set two years ago. It has gone a little unnoticed, but the French will see as early as January that the tax cuts we have voted for are all but negligible. And it is the middle classes that will reap the greatest benefits, it should be stressed. They have been waiting for him for a long time, after having been subject, year after year, to tax increases without being able to say anything. In the context I mentioned above – European growth in the dark and the world in crisis – France resists, it resists well. The measures adopted in previous years are working. The members of the MODEM Group also welcome the continuation of the reform of local taxation. The compensation provisions adopted, in particular for the municipalities, are a good method; Mayors can, I think, be reassured. Again, tax justice is the key word! I do not forget the incentive policy on ecology. We are making great strides in this area, and it is happy: the French are asking us, how they are asking us for an effort to clarify. The course is set, and we are moving in the right direction. [[Applause on the banks of the MODEM group and on some benches of the LaREM group]] So, in a few words, these two months of work of the Finance Committee and of our House. Of course, the MODEM Group strongly supports this text and invites our House to adopt it.
ParlaMint-FR_2019-12-19-O1111.u39	Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2019-12-19-O1111.u40	We are finally at the end of the budget marathon. At this moment, I would like to pay tribute to the rapporteur-general for the last two and a half years. We have worked in confidence, intelligently, on a few issues that are of mutual interest to us. I wish Mr. Saint-Martin the same success in this demanding position. I would then like to thank the National Assembly's services for their valuable assistance and advice, and finally Minister Gérard Darmanin for improving access to data – although much remains to be done, for example with regard to inheritance and donation databases – and for listening to it, as well as to his office and services, particularly on the particular file of tax advisers. I'm coming to the PLF. Unsurprisingly, the SOC Group will vote against this budget for three main reasons, which may surprise you: the reduction in income tax; the removal of the housing tax; the non-compensation of the exemption from charges for the social security budget. It is certainly easy to vote for reductions in taxes or social contributions. It is positive, laudable, to reduce compulsory levies in order to make purchasing power available, but I do not agree with the political choice of reducing income tax. This tax is just because progressive: the more you earn, the more you contribute; The less you win, the less you contribute. This is obviously not the case for all taxes, some of which affect everyone without distinction: whether you are a smicard, unemployed person or a millionaire, you will pay the same VAT, which, for example, represents about 15% of your electricity bill. Where's tax justice? According to the barometer published this week by an institute, a majority of French people – 53% – indicate, for the first time, that they prefer an improvement in public services rather than a reduction in taxes. Never had the 50% bar been crossed. More than one Frenchman in two wants to improve public services, even if they pay more taxes. The French are committed to their public services, to their social model, which means that our country has the least number of pensioners in Europe: 7.5 per cent. This is already too much, but the proportion is 18.7% in Germany and 14.7% in Sweden. Reducing compulsory levies is not a policy in itself; having only the country's GDP or debt ratio as a compass is dangerous. Our tax system needs to be rethought; a fair and efficient tax is possible. You made a bad choice about the national tax, but you also made a bad choice about the local tax. Of course, I am referring to the removal of the housing tax. This terrible promise by the President of the Republic to exempt 80% of those subject to housing tax on the grounds that this tax is unfair is a mistake. Yes, the plate had to be revised, and the work was well advanced. Why didn't you sue him, which would have made that tax fair? Because it is easier to remove a tax, especially when its product does not absolve the budget of the state but that of the local authorities: we make gifts with the portfolio of others! Moreover, you go far beyond the presidential promise by abolishing TH for all, including the 20% of the richest French. Definitely, with you, the first ropes are well served: after the removal of the ISF and after the introduction of the flat tax, they will benefit from the complete abolition of the TH. Don't throw any more, the basket is full! Finally, I would like to end my remarks by referring to the non-compensation of the exemption from charges for the social security budget, a major mistake which alone would justify a vote against. Why? Because this is an attack on our social model that I was talking about right now. Whether metropolitan, peri-urban or rural, the primary concern remains health, in front of employment, then education and the environment. What are you doing? You are weakening the social security budget, even though there are no longer any emergency services, hospital services or EHPADs – a housing establishment for dependent elderly people – on strike, not to mention the majority of French people who protest against your pension reform. For the second year in a row, in application of the new Charpy-Dubertet doctrine, you are organising significant financial transfers from social security to the state, which will represent a loss of more than €4 billion for the social security budget. [[Applause on the SOC and GDR benches]] When you want to kill your dog, you say he's rabid. When you want to kill your social model, you organize your deficit. It will then be easy to demand new sacrifices from the French and local authorities in order to correct the public accounts. The song is known and the potion will be bitter for the vast majority of French. But beware: who sows the wind reaps the storm! I wish you all the best at the end of the year.
ParlaMint-FR_2019-12-19-O1111.u41	Mrs Lise Magnier has the floor.
ParlaMint-FR_2019-12-19-O1111.u42	That's it, we're here: we're coming to the end of the review of the Finance Bill for 2020 and we're going to be able to make a final decision. Like last year, we are going to vote on this budget in a particular context of social grunt. Our fellow citizens express strong concerns about their future and their standard of living, with a view to pension reform. In our view, this reform is indispensable, balanced and fair, but we need to explain it better, to show ourselves more pedagogue, so that everyone can be reassured for his old days. We must also explain to the French that, this year, after the emergency measures of the end of 2018, we are continuing the effort to restore purchasing power to them, particularly with regard to taxpayers in the first instalments of income tax. As at first and second reading, the UDI, Agir and Independent Group will vote for the 2020 budget, which provides for a reduction in income tax of €5 billion, for an average gain per household estimated at €303. In addition, 80 % of tax households in 2020 have been removed from the housing tax, which in 2023, at the time of its total disappearance, will generate an average gain per household estimated at 723 euros. While this removal of the housing tax still raises questions about its possible consequences for the resources of our communities, we have another year to identify them and make the necessary adjustments. Another major focus of the budget is the ecological transition. On this point, the balance sheet is more mixed. We are concerned about the impact, scope and acceptability of certain so-called "environmental" measures. The creation of a premium to replace ISCED is a good measure, but it is truly regrettable that households in the last two deciles do not benefit from it. Many are landlords, and we consider that the fight against energy insecurity and thermal colanders must concern all the French. As for the gradual abolition of the reduced tariff of the TICEP – internal energy consumption tax – for non-road diesel and the reduction of the reimbursement of the TICEP applicable to road freight transport, we regret that you did not agree to smooth them over a longer period of time, as we proposed. For my part, I remain sincerely appalled by the red tape-induced administrative burden created by a government amendment for agricultural works companies: frankly, with such a measure, we have lost sight of the spirit of the law for a state at the service of a trustworthy society. Finally, the PLF contains measures to accompany our territories, which we consider to be particularly important, whether it concerns the preservation of the means of the chambers of agriculture, the maintenance of the PTZ for new housing throughout the territory or the fiscal levers left to the communities to revitalize their territories, in rural areas as well as in the heart of the city. Before concluding, I shall in turn have a special word for our dear, seasoned rapporteur-general, who has been able to be the rapporteur of the Committee on Finance as a whole and not just one part of the majority. Thank you, rapporteur-general, for your openness, sincerity, good humour, uncontrollable laughter and support. [[Applause on the benches of the UDI-Agir group and on several benches of the LaREM group]] In conclusion, since the end-of-year holiday period is conducive to the formulation of wishes, we hope that the next PLF will focus on two major issues that are missing from this 2020 budget: the so-called "production" taxes and the real choice of reducing public spending, in order to achieve a balance in our public finances. In the meantime, to finish 2019 well, our group will support the PLF, as at first reading.
ParlaMint-FR_2019-12-19-O1111.u43	Mr François Pupponi has the floor.
ParlaMint-FR_2019-12-19-O1111.u44	It is my turn to say a nice word to our rapporteur-general, with whom I have sometimes had a somewhat tense relationship in recent years when I was trying to explain to him the problems of the suburbs. Our relationships were always passionate: when two strong personalities meet, it sometimes sparks. This year, we had a little more pacified relations; It's so much better and I'm very happy about it. And I will never forget, Mr rapporteur-general, your crazy laugh – there have been many – when our dear colleague from Courson left in a crazy speech on the COCO, the correcting coefficient.
ParlaMint-FR_2019-12-19-O1111.u45	[[Smile]] That's enough!
