ParlaMint-FR_2019-07-23-E1019.u1	The next item is the question to the Government.
ParlaMint-FR_2019-07-23-E1019.u17	Thereafter, they will retain the latter. With regard to operating costs, the change will take place on 1 January next. Currently, regions receive 100% of the learning tax revenue. They use only about 60% to finance learning, which is one of the reasons for the statutory change in the freedom to choose one's professional future. It turns out that a few regions, and not the least – such is not the case in the Centre-Val de Loire, where President Bonneau is part of an approach to accompany the reform and the transition –...
ParlaMint-FR_2019-07-23-E1019.u18	What about the Hauts-de-Frances?
ParlaMint-FR_2019-07-23-E1019.u19	... have planned to abruptly abolish some funding at the start of the year, which explains the concern of some CFAs. I am in contact with the regional presidents concerned. It is unacceptable for young people and businesses to be penalized in September, even when we are in a transition year, and for the regions to have all the necessary funding.
ParlaMint-FR_2019-07-23-E1019.u20	It's a little easy to play fools! It's not up to your responsibilities!
ParlaMint-FR_2019-07-23-E1019.u21	The Chambers of Crafts and Crafts raised a second topic: the new method of financing apprenticeships is much more favourable to CFAs than the previous one. They asked – which is a good sign for its reception – for permission to speed up the implementation of the reform, in order to benefit from the new system earlier than expected. We are thinking about how to satisfy them. [[Applause on a few benches of the LaREM and MODEM groups]] In any event, for Members who support the development of learning, regardless of the bench on which they sit, there is only one thing to do: to ask the regions not to break or damage the transition. Everything will be done smoothly next year.
ParlaMint-FR_2019-07-23-E1019.u22	Mrs Sandrine Josso has the floor.
ParlaMint-FR_2019-07-23-E1019.u23	Arms at the handle, banners on the barracks, 85% of the professional firefighters are on strike from June 26 to August 31. They're done. They feel destitute in the face of an increase in the number of interventions they have to provide with resources that do not increase, and violence against them that is increasing considerably. For example, since the beginning of 2019, some 40 firefighters from the Rezé rescue centre near Nantes have been subjected to violent attacks and theft. The Libertés et territoires group is concerned about this intolerable violence, which is becoming recurrent. Our firefighters will continue to devote themselves this summer, fighting in particular the ever-increasing number of forest fires linked to canicular episodes and climate disruptions. That is why, Minister, there is an urgent need to act. Add to this the European directive on working time, which still threatens the French emergency relief model, and the lack of response to the request for the creation of a single emergency number, 112, while firefighters are the first to intervene in personal accidents. One can only understand the crisis of vocations that strikes firefighters and the strike they lead. We have a duty to protect those who protect us. [[Applause on the benches of the LT group]] Can you tell us, minister, what new means and tools are you planning to use to protect our firefighters and, more broadly, our public services to help our fellow citizens?
ParlaMint-FR_2019-07-23-E1019.u24	The next speaker is the Minister for the Interior.
ParlaMint-FR_2019-07-23-E1019.u25	First of all, let me point out that the rate of strikers among professional firefighters is about 5%, not 85%. But that does not change the many difficulties that you said they are facing. We all have to answer that together. All together, because, as you know, the departmental fire and rescue services – SDIS – are financed by departments and municipalities. It is therefore to them that the firefighters' requests are addressed, in particular that of an indemnification. All together also because the State, through the prefects, provides operational fire control. You rightly recalled the catastrophic and extremely risky situation in which we find ourselves: at the beginning of this month, more than 3200 hectares had already gone into flames since the beginning of the summer. It's more than last summer. And then there are these daily violences that you mentioned: firefighters are victims of almost three attacks a day, at times when they intervene to help or even save victims. However, 80 per cent of these attacks are committed by rescued persons or their entourage. In any case, this is totally unacceptable. That is why we are acting on several levels. By establishing, first of all, departmental protocols that combine all the services: the SIDS, of course, but also the national gendarmerie, the national police and local authorities, in order to identify specific methods of action according to the territories at risk – we know, unfortunately, that there are some in our communities. Secondly, we give clear instructions: such violence must systematically be the subject of a complaint and judicial investigation. [[Applause on a few benches of the LaREM group]] Finally, I am pleased to announce that, under the authority of the Prime Minister, we have issued last Friday the decree which will now allow the volunteer firefighters of the SIDS who wish to do so to equip themselves with pedestrian cameras. It was a strong demand from our firefighters. We did it right and the measure came into effect a few days ago.
ParlaMint-FR_2019-07-23-E1019.u26	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2019-07-23-E1019.u27	[[Applause on the benches of the FI group, whose members rise, as well as on the benches of the GDR group and on certain benches of the LaREM group]] I welcome Greta Thunberg's presence today in the National Assembly. With it, it is hundreds of thousands of young people you must see and hear, like all those who tell you to stop your march towards chaos. The ecological and climate emergency is there. All the data from tens of thousands of scientists are on the table. Have you read these data? Do you know that the permafrost is melting seventy years ahead? That 60% of mammals have disappeared in the last 40 years? Do you know that a third of the birds have disappeared in 20 years from European campaigns? That the survival of the whole human species is now committed? [[Applause on the benches of the FI and GDR groups]] In this situation, inaction is criminal. As Greta Thunberg said just an hour ago, "the greatest danger is when politicians and business leaders pretend to act when nothing is done except good communication campaigns." [[Applause on the benches of the FI and GDR groups, as well as on a few benches of the SOC group]] How can you claim to solve the problem from the system that produced it? How dare you applaud the youth climate movement and, on the same day, vote for this free trade agreement with Canada? [["Very good!" on the benches of the LR group]] [[Applause on the benches of the FI and GDR groups]] This symbolic day will reveal the true face of those who favour it: that of impostors who claim to make ecology, but above all they delight lobbyists. That of sacred baratiners champions of the Earth, while their policy increases greenhouse gas emissions. That of tartuffes who claim to protect biodiversity, but defend a pesticideed world. The hypocrites who applaud Greta and will vote for CETA! The reality is that we do not have to bring goods from the other side of the world that we do not need, and surely not goods full of pesticides, animal flour, antibiotics and other shale oil. Hear that it is in this model where all must consume anything for the enrichment of some that is the source of all our present and future evils. How long are you going to keep covering your face and fooling the French? The only possible ecology is ecology that regains control of the economy. [[Applause on the benches of the FI, GDR and SOC groups – Ms Frédérique Meunier also applauds]] Between CETA and Greta, you have to choose. So, colleagues, choose now. Future generations are watching you. And if you vote for CETA, history will judge you.
ParlaMint-FR_2019-07-23-E1019.u28	The next speaker is the Secretary of State to the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2019-07-23-E1019.u29	Where's Rugy?
ParlaMint-FR_2019-07-23-E1019.u30	[[Long exclamations on the benches of the LR group. – "That's not true! » on the benches of the FI group]] [[Long exclamations on the benches of the LR, FI and GDR groups]] Thanks to the work done over the past two years, the agreement between the European Union and Canada has been improved and completed. In particular, we have included an environmental and climate component, which is a considerable step forward, simply because we have obtained a black-on-white climate veto. Canada has agreed to this. This is crucial: it will allow no company to come to attack our standards – our environmental standards, but also our social standards. Moreover, as the Constitutional Council has recognized, the precautionary principle is fully respected by the agreement. Naturally, we have ensured that the Paris agreements are also taken into account. ("That's not true! » on the benches of the FI group.) [[Long exclamations on the benches of the LR group]] [["Laughter! » on the benches of the LR group]] It is the whole trade policy that we now place under this sign: that of an environmental and climate ambition. You said last week, at the conclusion of the debates, "homeland or death! " I believe that it is precisely patriotic to allow our channels of excellence to continue to export; It is patriotic to allow protected geographical indications, which are the fruit of the labour of women and men of our terroirs, to be recognized everywhere... [[Applause on the benches of the LaREM group]] You're making Mrs. Greta Thunberg talk, looking at us. But I listened to her, and what did she say? That she had no opinion on this treaty. So don't make us choose: yes to Greta, yes to CETA!
ParlaMint-FR_2019-07-23-E1019.u31	Anything!
ParlaMint-FR_2019-07-23-E1019.u32	I ask you to listen to the answer without calling, otherwise, next time, I will simply interrupt it. That way, you'll be at your expense.
ParlaMint-FR_2019-07-23-E1019.u33	That's not an answer!
ParlaMint-FR_2019-07-23-E1019.u34	Mr Jacques Maire has the floor.
ParlaMint-FR_2019-07-23-E1019.u35	[[Claims on several benches in the LR group]] Minister for Europe and Foreign Affairs, twenty months! Twenty months that we have been involved in the process of ratification of CETA, twenty months that the Schubert Committee has presented its recommendations, twenty months that we have asked for an action plan to address the concerns of the French. [[Smile]] Some stayed there, as if nothing had happened since then. Then, dear Mathilde, with friendship, do not fall into the sign.
ParlaMint-FR_2019-07-23-E1019.u36	I've been entitled to it since elementary school!
ParlaMint-FR_2019-07-23-E1019.u37	We have asked to hear the Minister responsible for trade before each Council of Ministers in Brussels: we are doing so; we have asked for quarterly monitoring of the application of CETA: we have it; We have asked for impact studies for all the sensitive sectors: we have them; we have requested an assessment of the impact of CETA on CO emissions: we have it; we have called for a strengthening of health controls in Europe and Canada: we have it; We have called for a climate veto to protect our right to legislate: we have it. Thanks to you, ladies and gentlemen, on all the benches of this House, we have changed the rules of the game and, here in this House, we have real control over trade policy.
ParlaMint-FR_2019-07-23-E1019.u38	That's a lie!
ParlaMint-FR_2019-07-23-E1019.u39	So, yes, minister, the vote on ratification of the treaty comes in time. We've never been so ready. Yet the crisis of confidence between the French and trade agreements has not disappeared – everyone has seen it. [[Applause on the benches of the LaREM group]] So, Minister, are you prepared to submit all the agreements in force to the same discipline and control? Are you ready to organise a follow-up of future agreements, including a systematic climate and biodiversity impact assessment? Finally, are you ready to denounce trade agreements with countries that would emerge from the Paris agreement?
ParlaMint-FR_2019-07-23-E1019.u40	The next speaker is the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2019-07-23-E1019.u41	You are asking me about the continuation of the CETA's evaluation, transparency and monitoring effort. I had the opportunity to speak on this subject during the debate and the Secretary of State, Jean-Baptiste Lemoyne, confirmed my remarks during the discussion by responding to the question raised by the Chairman of the Committee on Foreign Affairs, Mrs de Sarnez. [[Applause on several benches of the LaREM group]] Yes, the method that has been introduced for the evaluation of CETA will be renewed for future agreements as well as for the monitoring of existing agreements.
ParlaMint-FR_2019-07-23-E1019.u42	Tartufferie!
ParlaMint-FR_2019-07-23-E1019.u43	Yes, we will continue to improve our methods of analysis and monitoring, in particular to assess the impact of the provisions on biodiversity, and as usual we will report to you, in particular to the Committee on Foreign Affairs. Yes, as we have been committed to it for some time, we will refuse trade agreements with states that would have left the Paris Agreement or that would not have signed it. That is why we recently voted in the Council of the European Union against the opening of negotiations with the United States. [[Applause on several benches of the LaREM group]] As I said in the debate, we will be working with the new European Union bodies to encourage them to take into account sustainable development issues early in the process of negotiating the new trade agreements. Thus, the work you have done here for the past two years will serve the entire European Union.
ParlaMint-FR_2019-07-23-E1019.u44	Mr. Gabriel Serville has the floor.
ParlaMint-FR_2019-07-23-E1019.u45	Last Wednesday, Master Sergeant Edgar Roellinger, Master Corporal Cédric Guyot and Master Corporal Mickaël Vandeville of the 19th Besançon Engineer Regiment lost their lives during Operation Harpie to fight against illegal gold mining in Guyana. [[Mrs. and Mr. Members get up and applaud at length]] On behalf of all, I would like to pay tribute to them and to express our gratitude to the armed forces engaged against the Garimpeiros. We also wish a speedy recovery to the five other soldiers injured in the operation. It's time for recollection. However, we will have to wonder differently about all the tragedies caused by the illegal ordeal. For nearly thirty years, thousands of Garimpeiros have looted, destroyed, poisoned and killed in a wild rush to Guyanese gold. Despite the efforts made, the figures are catastrophic: up to 1,000 sites employing 15,000 men who fly about 10 tons of gold each year and pour 1500 kilos of mercury into our rivers. On the eve of the tragedy, the GDR Group submitted a request here for a commission of inquiry into the fight against illegal gold mining in Guyana, which, 20 years after the start of operations, still fails to eradicate this phenomenon. To ask for explanations is not to question the commitment of men in the field. On the contrary, it is to worry about the modalities of their intervention and the conditions of their security in the face of heavily armed garimpeiros who have nothing to lose. [[Applause on the benches of the GDR and SOC groups as well as on several benches of the LR group]] Mr. Prime Minister, in view of the loss of military personnel and the irreversible poisoning of the mercury of the Amerindian populations, is your Government prepared to take stock of this war which does not say its name and finally to commit means commensurate with the challenges of maintaining our national sovereignty?
ParlaMint-FR_2019-07-23-E1019.u46	The Minister of the Armed Forces has the floor.
ParlaMint-FR_2019-07-23-E1019.u47	On 17 July, it was with great emotion and sadness that we learned of the accidental death of three French soldiers involved in Operation Harpie in the fight against illegal orpainting. [[Applause on all benches]] Let me, as you did right now, pay tribute to Sergeant Edgar Roellinger, Master Corporal Cédric Guyot and Master Corporal Mickaël Vandeville. My thoughts and condolences go to their families, loved ones and brothers in arms. These soldiers had been engaged since 11 July in an operation to destroy the gold-plating sites. They were operating in a particularly remote area, inaccessible by river or land. As you know, the armies are resolutely engaged in the fight against illegal gold mining. Operation Harpie, which was launched in 2008, is conducted under the authority of the Prefect of Guyana and the Public Prosecutor. Mine and gold mining operations are carried out on an uninterrupted basis and our soldiers are engaged in particularly challenging and dangerous conditions. Harpie is probably one of the most demanding missions our military is carrying out today. It requires a lot of courage, resistance and endurance. In 2018, this operation represented 1323 joint patrols with the gendarmerie, 4000 days of patrolling, or an average of 11 patrols per day. Its results are improving significantly, with 765 sites destroyed, 150 more than the previous year. [[Applause on the benches of the LaREM group as well as on certain benches of the LR and UDI-I groups]] These are some concrete elements of what our soldiers do every day. Their dedication forces respect and compels us.
ParlaMint-FR_2019-07-23-E1019.u48	Mr Jean-Claude Leclabart has the floor.
ParlaMint-FR_2019-07-23-E1019.u49	I would like to associate my colleague Christophe Arend with my question. Mr Minister for Agriculture and Food, climate hazards such as drought are difficult to predict and can have a serious impact on farms. Admittedly, periods of drought can be exacerbated by human activity, but these are natural phenomena to be expected, and must therefore be prevented. France is not afraid; She's thirsty. Seventy-three departments are subject to water restrictions. The scale of the agricultural crisis is beyond the scope of my intervention. Are at stake the lives of farmers and the future of their families; strong and virtuous agriculture is indispensable for the interests of the nation.
ParlaMint-FR_2019-07-23-E1019.u50	It's time to act!
ParlaMint-FR_2019-07-23-E1019.u51	It is therefore essential to anticipate and implement a set of concrete measures: the reduction of the cash flow of farms as well as an adaptation of the system of agricultural disasters to the reality of the land; setting up a "dry food" to prevent prices from blazing; emergency and specific aid for livestock production. In addition, we need to think about medium- and long-term measures. Intelligent water management has become essential to enable farmers to prevent drought. Agroecology and conservation agriculture need to be speeded up and widely popularised. Finally, climate insurance must be made accessible and relevant, since only a quarter of French areas are covered. Let us not add suffering to the suffering of a profession that is pointed out despite its constant efforts. Let us say loudly that we will not let any peasant down, as the Government often says about the many employees left on the tile by industrial closures. [[Applause on a few benches of the LaREM and MODEM groups]] Minister, what strong measures does the Government intend to take to help farmers, in order to overcome this difficult path and anticipate the future?
ParlaMint-FR_2019-07-23-E1019.u52	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2019-07-23-E1019.u53	I am not withdrawing anything from your presentation or your question.
ParlaMint-FR_2019-07-23-E1019.u54	You wrote it!
ParlaMint-FR_2019-07-23-E1019.u55	The Government supports the proposals you have made; That's what we're trying to do. You are right: we must not leave any farmer at the edge of the road or, rather, at the edge of a field, at a time when difficulties are accumulating. As you have said, climate difficulties are expected to recur on a regular basis. We are working on several levels, first of all on the short-term response. We have declared thirty-three departments in emergency situations. We are going to allow farmers to falsify the summerfallows – something the European Union does not accept in theory – so that they can eat food for their animals. However, this is not enough: since seventy-four departments are in orange vigilance, the European Commission must let go of the ballast so that it is possible to falsify the fallows in a much larger number of departments; That's all the work I'm doing right now.
ParlaMint-FR_2019-07-23-E1019.u56	What are you waiting for? Do your job!
ParlaMint-FR_2019-07-23-E1019.u57	I'm talking about the fallows of farmers like those of cereal farmers. This is absolutely essential. [[Ms. Danielle Brulebois applauds]] On the other hand, for the month of October, when farmers will have to buy fodder for their livestock, we obtained aid of EUR 1 billion, which will allow them to have the necessary cash. In addition, we exempt them from property tax on unbuilt properties and will defer the payment of contributions to Agricultural Social Mutuality. [[Applause on a few benches of the LaREM group]] Finally, we have undertaken two major reforms, which should be completed fairly quickly. First, we are going to launch a large plan to develop collective watersheds per basin, so that we can irrigate and make our agriculture resilient. Secondly, we are going to do a great deal of work to establish comprehensive insurance, which will allow farmers to receive income when the situation so requires. [[Applause on several benches of the LaREM and MODEM groups]] The situation is serious; The Government supports its agriculture and farmers.
ParlaMint-FR_2019-07-23-E1019.u58	Mr Jean-Yves Bony has the floor.
ParlaMint-FR_2019-07-23-E1019.u59	[["Contra! » on the benches of the LR group]] Prime Minister, in less than an hour, we will vote for or against the ratification of CETA. [["Yes! » on the benches of the LR group]] [["Yes! » on the benches of the LR group]] During the ten hours of debate on this subject last Wednesday, we were many on these benches to denounce the evils of this agreement, disastrous in health and environmental terms, disastrous for our herders. Despite our arguments and the opinion of the Committee of Independent Experts, you remain open to your positions. Elevator myself, I am elected from a department where, without breeding, there will be no possible development, nor territorial cohesion;...
ParlaMint-FR_2019-07-23-E1019.u60	That's right!
ParlaMint-FR_2019-07-23-E1019.u61	... a department where breeders produce meats of excellence,...
ParlaMint-FR_2019-07-23-E1019.u62	He's right!
ParlaMint-FR_2019-07-23-E1019.u63	... while maintaining landscapes and acting concretely, they, for the climate, thanks to the carbon they store in their meadows.
ParlaMint-FR_2019-07-23-E1019.u64	That's right!
ParlaMint-FR_2019-07-23-E1019.u65	[["No! » on the benches of the LaREM group]] [[Applause on the benches of the LR, FI and GDR groups as well as among non-attached Members. "Mr. Jean-Louis Bricout also applauds. – Exclaims on the banks of the LaREM Group]] With the ratification of CETA, you are giving farmers a hard blow, a fatal blow, and you are doing it with contempt! You don't listen to them! Worse, you lie to them, just like you lie to the French and consumers! [[Applause on the benches of the LR group. – Exclaims on the banks of the LaREM Group]] [[Applause on the benches of the LR and FI groups as well as on a few benches of the SOC and GDR groups]] As far as animal meal is concerned, it is now clearly established that you have spread many counter-truths. The Canadian Food Inspection Agency has itself confirmed this weekend that, in addition to fish or chicken meal, ruminant protein is permitted in cattle feed in Canada. It's cannibalism! However, the Minister for Agriculture and Food said yesterday again that this was not true. [[Vif applause on the benches of the LR, SOC, FI and GDR groups as well as among the non-attached Members. – Mrs and Mr. Members of the LR Group and some non-attached Members stand up and continue to applaud]] But this is not the only counter-truth: once CETA is ratified, the European Commission and Canada will be able to decide to increase quota volumes on a proposal from the Joint Committee. It is not a steak a year, but 67000 tonnes of Canadian beef that will enter France and Europe! Why don't you refuse this agreement, Prime Minister?
ParlaMint-FR_2019-07-23-E1019.u66	Ladies and gentlemen, I suggest that you listen to the Government's response in a calm manner. The next speaker is the Secretary of State to the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2019-07-23-E1019.u67	Member, the facts are stubborn; The numbers are here.
ParlaMint-FR_2019-07-23-E1019.u68	The numbers are stubborn!
ParlaMint-FR_2019-07-23-E1019.u69	[[Exclaims on the benches of the LR group]] In 2018, 12 tonnes equivalent beef carcasses were exported from Canada to France under the CETA quota.
ParlaMint-FR_2019-07-23-E1019.u70	You only take one reference year!
ParlaMint-FR_2019-07-23-E1019.u71	[[Same movements]] What is the annual French consumption? I'll give it to you in a thousand: 1.5 million tons of carcass equivalent. How can you make it look like these 12 tons are going to unbalance the market? Canadians are simply not equipped to meet our highest standards and requirements in the world. We will continue to enforce them.
ParlaMint-FR_2019-07-23-E1019.u72	That's not true!
ParlaMint-FR_2019-07-23-E1019.u73	[[Same movements]] An audit found that only 36 of the 75,000 Canadian farms are equipped to sell on the French and European markets.
ParlaMint-FR_2019-07-23-E1019.u74	That'll be 17% of our consumption!
ParlaMint-FR_2019-07-23-E1019.u75	We follow all this very carefully.
ParlaMint-FR_2019-07-23-E1019.u76	What about tomorrow?
ParlaMint-FR_2019-07-23-E1019.u77	As Jean-Yves Le Drian said, we will ensure a very regular and very fine follow-up with the national representation,...
ParlaMint-FR_2019-07-23-E1019.u78	There are no controllers!
ParlaMint-FR_2019-07-23-E1019.u79	...because it is very clear that these agreements...
ParlaMint-FR_2019-07-23-E1019.u80	You won't control it!
ParlaMint-FR_2019-07-23-E1019.u81	... are intended, on the contrary, to strengthen and strengthen our agricultural sectors,...
ParlaMint-FR_2019-07-23-E1019.u82	What you say is shameful!
ParlaMint-FR_2019-07-23-E1019.u83	...not only through the recognition of protected geographical indications, we have said, but also through export and livestock. [[Same movements]] I have not had a great deal of education in agriculture, but it seems to me that if we export dairy products and cheese, it is also because of farming. However, we have increased our exports in this area by 10 to 15 per cent. [[Exclaims on the benches of the LR group]] [[Vif applause on the benches of the LaREM and MODEM groups. – Exclaims on the benches of the LR group]] As a Member of Parliament for Cantal, Mr Bony, you certainly remember a speech delivered by Jacques Chirac on 2 October 1998 in Aurillac. He felt that France should regain its export role in agricultural matters. He had dreamt of it; We're doing it!
ParlaMint-FR_2019-07-23-E1019.u84	Mr Jean-Luc Lagleize has the floor.
ParlaMint-FR_2019-07-23-E1019.u85	Madam Minister of Solidarity and Health, you announced on 17 July that the deadline for total abstinence prior to the donation of blood for homosexual men will go from twelve to four months! Thus, homosexuals will move from "third zone citizens" to "second zone citizens"! Homophobia hides in the eyes of each of us! If we consider that a homosexual has to wait four months without having any relationship with his partner to be considered "healthy", then our gaze on homosexuality is derogatory. Why doesn't a heterosexual have to wait four months? [[Applause on the benches of the FI and GDR groups. – Mr Maxime Minot also applauds]] Yes, homophobia is in the eye! Why do so many parents throw their child on the street when they discover his homosexuality? Because they're afraid of what they'll say! Homophobia is in the eye! Currently in France, more than 7,500 kids were thrown out of the street by their parents. Why do so many gay kids commit suicide? Because our eyes are far from benevolent! Because our society is not welcoming! Homophobia is in the eye! 5 to 10% of LGBT youth have already attempted suicide. So, when you tell a homosexual that he has to wait four months without a romantic relationship with his companion, what do we mean to him? He's different! He's dangerous! What do we mean to others? Be careful, this person is potentially dangerous! Homophobia is in the eye! Almost 2000 homophobic acts were committed in France last year. [[Mrs. and Mr. Members of the LaREM, SOC, FI and GDR groups stand up and applaud, as well as some members of the LR Group]] So, Madam Minister, I am making a proposal to you: let us put in the next PLFSS the studies planned in two years, to allow you, to allow us all, to change our eyes!
ParlaMint-FR_2019-07-23-E1019.u86	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2019-07-23-E1019.u87	You're talking about homophobia: I'm going to talk to you about health security and blood donation.
ParlaMint-FR_2019-07-23-E1019.u88	It's a good start!
ParlaMint-FR_2019-07-23-E1019.u89	After several months of consultation, I decided to change the blood donation criteria for men who have sex with men, by increasing the abstinence period from 12 to 4 months, from 1 February 2020. My decision is based on scientific evidence from independent studies conducted in the department for the past two years. All the associations were able to express themselves and I took the time to listen to each of them. The choices chosen make it possible to change the criteria...
ParlaMint-FR_2019-07-23-E1019.u90	Not enough!
ParlaMint-FR_2019-07-23-E1019.u91	... without in any way changing the theoretical residual risk of HIV transmission during a blood donation. This is an important step in improving the social acceptability of the exclusion criteria. There is no question of discrimination, and considering the problem in these terms amounts to making an error of analysis. The criteria are based on a policy of excluding donation based on an individual level of risk; They evolve over time. My duty is to reassure the recipients of donations, to whom we must guarantee quality and security. We will never repeat it enough: the donation of blood is not a right, it does not have to respond to the social demands of donors but to the needs and safety of recipients. This logic alone must be preserved, in order to guarantee the safety of our transfusion system. Anti-discrimination associations have fully understood this, including the most militant; they approved my decision and communicated about it. This evolution reinforces our model of gift: solidarity, ethics and responsibility.
ParlaMint-FR_2019-07-23-E1019.u92	Mr Dominique Potier has the floor.
ParlaMint-FR_2019-07-23-E1019.u93	Like all of you, I am sensitive to the situation of drought-stricken farmers. I would like it to help us reflect on another news published last week by FAO – the Food and Agriculture Organization of the United Nations: the rise of hunger in the world for the fourth year in a row. More than 2 billion people are food insecure, 821 million are undernourished. This situation is aggravated by climate change; All the experts say so. We can now mention the IPCC report – an intergovernmental expert group on climate change – which will be officially published on 8 August, or the prospective study Agrimonde-Terra, prepared by scientists from the Cirad – Centre for International Cooperation in Agronomic Research for Development – and INRA – National Institute for Agronomic Research. All studies show that climate change will increase the difficulty of solving the equation that brings together 10 billion people and arable land that is sometimes flooded or dried up. [[Applause on the benches of the SOC, FI and GDR groups and on a few benches of the LR group]] In such a context, we must look to the great Edgard Pisani, according to whom we will need all the agricultures of the world to feed the population: the masai agropastoralism, the floating gardens of Bangladesh, the oasis of the Moroccan Atlas, the Andean terraces and the 5 million hectares of herbager systems operated by the 85,000 breastfeeding farmers in France! We will need all the lands and peasants of the world! Therefore, to the Minister for Foreign Affairs, who proposes to reflect with his German counterpart on a new and innovative multilateralism, I make a suggestion: exclude agricultural trade! We must now avoid making predatory agriculture one another; we need to add up our resources, to move towards peace in the world – and to fight internationally to share this position! It is about defending the dignity of producers and consumers, whether they live at the end of the street or at the end of the world. [[Applause on the benches of the SOC, GDR and FI groups, as well as on the benches of the LR group. – Mr. Thierry Benoit also applauds]] That is why we must refuse today to vote on CETA, which creates – in particular Articles 26 and 30 – an imbalance that could lead to the impoverishment of the planet, while we must unite our forces to save the Earth.
ParlaMint-FR_2019-07-23-E1019.u94	The next speaker is the Secretary of State to the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2019-07-23-E1019.u95	The numbers of hunger in the world you are quoting challenge us, of course, and we do not wish to remain inert. That is why the President of the Republic has included the fight against inequality among the major themes of the G7 to be held in Biarritz in August. We will obviously be mobilised for access to food, as Jean-Yves Le Drian and I are in the framework of the preliminary draft law on orientation and programming relating to the French policy of development and international solidarity. We share your commitment to agroecology; The Minister for Agriculture is constantly working towards its development. As for the link you make between these facts and CETA, it does not seem to me to be established.
ParlaMint-FR_2019-07-23-E1019.u96	It's obvious, though!
ParlaMint-FR_2019-07-23-E1019.u97	[[Applause on the benches of the LaREM group. – Protests on the benches of the LR and SOC groups]] We have precisely obtained the recognition of protected geographical indications from particularly hard-to-do North American business partners – this is a first! This will make it possible to recognize the hard work of women and men who produce these products of quality from our terroirs. These agreements will make it possible to draw up some of our partners.
ParlaMint-FR_2019-07-23-E1019.u98	Down!
ParlaMint-FR_2019-07-23-E1019.u99	There's nothing like it!
ParlaMint-FR_2019-07-23-E1019.u100	[[Applause on a few benches of the LaREM group]] Mr Potier, I believe we share an attachment to Emmanuel Mounier's personalism: neither individualism nor collectivism. In the same way, we reject protectionism as naïve free trade; We are in favour of the construction of an ambitious, renewed trade policy which the President of the Republic calls for, as he did in his speech on the occasion of the centenary of the International Labour Organization in Geneva in June.
ParlaMint-FR_2019-07-23-E1019.u101	Mrs Dominique David has the floor.
ParlaMint-FR_2019-07-23-E1019.u102	My question is to the Secretary of State to the Minister of Economy and Finance, Agnès Pannier-Runacher. I associate my Bordeaux colleague Catherine Fabre. Thirty weeks, for almost thirty weeks, our cities suffered violence on the margins of the yellow vest movement.
ParlaMint-FR_2019-07-23-E1019.u103	Whose fault?
