ParlaMint-FR_2019-02-11-O1142.u1	The next item is the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-11-O1142.u12	All right!
ParlaMint-FR_2019-02-11-O1142.u13	This is already the case, as evidenced by the work done in committee. This will certainly be done in the context of the work that we are going to do in the Chamber. Ladies and gentlemen, we have the opportunity to build a true project of society, which promotes a society that is more harmonious, proud of its values, confident in the future, open to the world, proudly carrying French universalism, nourishing itself with the traditions of our territories, but also with our aspirations to define the future, a society where we add our differences instead of subtracting them, where we can unite when the essentials are at stake, where we respect ourselves in the framework of the republican fraternity, which is the main masterpiece of our social contract. [[Applause on the benches of the LaREM, MODEM and LT groups]] Through this project, ladies and gentlemen, we wish to give our children roots and wings, to make them feel the pride of being citizens of France and the pride of being themselves. Then we will be able to believe in our destiny, because we will have prepared that of our children on the only basis that is valid: that of freedom, equality and fraternity.
ParlaMint-FR_2019-02-11-O1142.u14	Mrs Anne-Christine Lang, rapporteur of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2019-02-11-O1142.u15	The text we are going to examine contains 25 articles, which deal with such essential subjects as compulsory education at 3 years, teacher training, experimentation or evaluation of schools. On all these subjects, the key word is "trust": trust in the school by families, trust in the future by students, trust in the institution by teachers and vice versa. The title of this bill – "for a school of trust" – has aroused many comments, some ironically saying that trust was not achieved...
ParlaMint-FR_2019-02-11-O1142.u16	That's right!
ParlaMint-FR_2019-02-11-O1142.u17	... the others, that this was a concept that was too vague and unprescriptive. We, the deputies of the Republic on the move, believe that trust is not a vain word...
ParlaMint-FR_2019-02-11-O1142.u18	That's what Balladur said!
ParlaMint-FR_2019-02-11-O1142.u19	... and its aim is to irrigate the entire education system at all levels. For many years, despite tremendous successes, the school has been experiencing a crisis of confidence: social elevator in a breakdown, difficulties in remedying inequalities, physical and sometimes institutional violence, poor results in PISA surveys – an international programme for monitoring pupils' achievements – and loss of attractiveness in the teaching profession.
ParlaMint-FR_2019-02-11-O1142.u20	Whose fault?
ParlaMint-FR_2019-02-11-O1142.u21	In this context, I am convinced that every effort must be made to renew the pact of trust between the actors and to strengthen the contract between the nation and its school. Trust is first and foremost the one that every family must be able to place in school. This is the Republican promise of equal opportunities. That is why we want to lower the age of compulsory education to 3 years to put all children on the same starting line in our country. Because, as we know, our education system is one of the most unequal in the world. The causes, we know them: it is often early inequalities, which settle from an early age. Some people are asking us to give up this provision, which they believe would be of no use, on the pretext that more than 97 per cent of children are already in school between the ages of 3 and 6. For our part, we estimate that 26,000 students away from school are not nothing, especially when we know that they are the most disadvantaged. Beyond that, what we want is to strengthen, strengthen and devote kindergarten. Kindergarten must be taken seriously and made the school of development and language, in other words, the driving force in the fight against inequality. Because it completes the republican work initiated by Jules Ferry in 1882, continued by Jean Zay in 1936 and by General de Gaulle in 1959, the law "for a school of trust" is indeed a reform of social justice. Can we go further? A recent INED study – the National Institute for Demographic Studies – confirms the importance of inequalities in early childhood and alerts us to those that affect the poorest children even before kindergarten. In the same vein, the poverty plan calls for comprehensive care for children aged 0 to 6 and the building of bridges between the world of early childhood and the world of school, while institutional division between these two worlds is an obstacle to the continuous care of children and their families. I will propose amendments aimed at laying the first stones of this project, which I believe is still before us. Trust is also what we want to give to actors on the ground, staff, students and their families, mayors, associations and all those who commit themselves daily to the future of our young people, and therefore to the future of the country. First of all, we must trust teachers who, day after day and in sometimes difficult conditions, work to educate our children: it is on them that everything is based – on their dedication and professionalism which, I am not afraid to say, are often exemplary. It is this commitment that the aim of Article 1 is to recognise, which also aims to remind teachers of their respect. It is intolerable, for example, to see teachers assaulted as such, as was again the case last week in Grenoble and Béziers. In addition, this text gives them more freedom to innovate and experiment, as they are the ones who know the solutions most suited to the needs of the students. The text also provides for the reform of teacher training so that it fully meets their expectations and requirements in terms of quality and content. We must also trust the parents, who are the first educators of their children, and make them full members of the educational community, more so than they are now. The school would benefit from a greater reliance on them and an adult-to-adult relationship of trust for the benefit of the child. This text will allow them to become more involved, and this, from the first years – this is the whole issue. In addition, during the evaluation phase, and especially the self-assessment phase, parents will also have a say in the lives of their children in school. We also wanted to open the field of experimentation to the relationship between the school and the parents, in order to let the educational communities invent new ways of involving parents in the life of the institutions. Finally, we must trust the pupils, who are often the great forgotten of the texts on education, whereas they are the first concerned. Without demagogy and without seeking to speak at all costs on their behalf, they must be allowed to take a more active place in the life of the institution. They ask that they be listened to, that they be given a voice in the chapter on their living and studying conditions in an institution where they spend the clearest of their time. That is why, by an amendment tabled in committee, I have called for consultation of all students in all schools during the self-assessment phase of the schools. It seems to me all the more necessary to reaffirm the importance of the notion of trust, which is being observed today, far beyond school, with great distrust of both institutions and official words and of any holder of authority. I say it with a certain solemnity: we, who are involved in one way or another in matters of education, have an individual and collective responsibility towards our youth. We must be discerning in our positions and ensure that we do not participate in the spread of mistrust in the era of widespread suspicion. Let us go back, for example, to the controversy that arose from Article 1. I understand and share the commitment of teachers to their freedom of expression. But when the Council of State states in its opinion that this article has no direct normative scope, when the minister undertakes, before the Members, that it is not used to punish staff, when we ourselves vote in committee an amendment to remind that it does not introduce any new obligations,...
ParlaMint-FR_2019-02-11-O1142.u22	Why put him in the law?
ParlaMint-FR_2019-02-11-O1142.u23	... why persevere in this defiance which, in essence, is not based on anything and continue to say that Article 1 is intended to hinder the freedom of expression of teachers?
ParlaMint-FR_2019-02-11-O1142.u24	So, what's it for?
ParlaMint-FR_2019-02-11-O1142.u25	It is still the defiance towards the school that manifests itself when some, here, see school attendance at the age of 3 as a threat to families and to the values they defend. This may seem surprising at first glance, but when we reread the school debates, we find that this mistrust has been manifested in the same way every time we have touched on compulsory school, accused by some of perverting our children's minds. I should like to quote Senator Charles Chesnelong, who, in the debate on Ferry laws, said that he was terrified of the idea of entrusting his children's souls to a school without conscience. Nevertheless, we are no longer in 1882. It is no longer a question of opposing family and school. While we believe in the emancipatory virtues of the Republican school, which allows every child to rise beyond the contingencies of his birth, we also fully trust children, their ability to discover the world and to question it without this being a threat to family-received education. It is this same feeling of distrust that we find vis-à-vis everything that the institution produces, as has been shown by the criticisms made during the debate on the new school evaluation board. I hear the question of independence, raised repeatedly, but is that really the central issue? What matters most, it seems to me, is objectivity, that is, the scientific and indisputable nature of the work carried out by this new body.
ParlaMint-FR_2019-02-11-O1142.u26	We're not there!
ParlaMint-FR_2019-02-11-O1142.u27	Therefore, as rapporteur, I will table amendments to ensure that the assessment of establishments is objective, in line with the best international standards and transparent, so as to give rise to scientific debates, nourished and, where appropriate, contradictory with researchers. [[Exclaims on the benches of the LR group]] Finally, it is this same mistrust that is at work when we are accused of not taking disability into account. We must recognize that we have never done so much about disability as we have done since the beginning of this quinquennium. We do not have the right to use this subject for political purposes. On the road to trust, ladies and gentlemen, we must lead the way and be exemplary, engaging in substantive, constructive and good-faith debates on all subjects.
ParlaMint-FR_2019-02-11-O1142.u28	Please conclude, my dear colleague!
ParlaMint-FR_2019-02-11-O1142.u29	[[Applause on the benches of the LaREM group]] I would like to pay tribute to the work that has already been done by Members of all sensitivities in committee, as well as to the work of the administrators, whose assistance has been very valuable. This work has made it possible to enrich the text on several essential points. I have no doubt that the examination in session will allow us to continue in this direction.
ParlaMint-FR_2019-02-11-O1142.u30	Mrs Fannette Charvier, rapporteur of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2019-02-11-O1142.u31	For the past 20 years, French educational policy has led to a totally paradoxical observation, marked by a permanent growth in the budget allocated to it – France devotes more financial resources to the school than most of its neighbours – and a decline in the results of our students in international rankings, particularly for the learning of mathematics. Many reports have concluded that these disappointing results are the result of a lack of investment in key areas of our education policy: primary education, support for students in difficulty, schools in disadvantaged areas and human resources. The policy pursued since the beginning of this quinquennium, whether through the "work done" system or the doubling of the classes of CP and EC1 in the priority education networks, is intended precisely to bring concrete and ambitious solutions to these problems. The bill "for a school of trust" provides a complementary solution, this time concerning teachers, because the quality of their training must be seen as the cornerstone of improving the performance of the education system. Well-trained teachers have all the cards in hand to flourish in their profession and pass on their knowledge to the students. For the past five years and the establishment of the higher schools of faculty and education – ESPE – a rich literature of general inspections, the national committee to follow up on teacher training reform, or the Senate, has found the strengths and weaknesses of the training provided by these schools. This problem of training, as it is raised today, was also raised during the hearings, both by the unions and by the various directorates-general of the Ministry, and even, in the field, by the teachers whom I have been able to meet, who confirmed this statistic according to which four out of ten secondary school teachers feel insufficiently prepared on the educational aspect of the profession: it is moreover the highest proportion of OECD member countries – Organisation for Economic Co-operation and Development.
ParlaMint-FR_2019-02-11-O1142.u32	Of course, you have removed the training!
ParlaMint-FR_2019-02-11-O1142.u33	In response, the bill establishes a training framework for future INSPEs – higher national institutes of faculty and education – and thus a degree of homogenization across the country, which responds to criticisms of training that is too different from one ESPE to another. This training will focus on basic knowledge and will be provided by a greater number of field players, who are still in front of students. I would add that we cannot legitimately expect everything from an initial training of two years or even a year: it must therefore not be regarded as the alpha and the omega of teacher training, but must instead be part of a continuum of initial, continuing and continuous training, thus providing time adapted to the specific needs of each teacher, depending on what he or she lives in his or her classroom. Upstream of training, we are now facing a more global problem: the growing lack of attractiveness of the trade. The time when the teacher's career made young students dream is over. There is a shortage of candidates and the magnitude of the phenomenon needs to be seen: between 2005 and 2018, we lost almost half of the number of candidates in the school teacher recruitment competition, while the number of positions offered increased by almost 75%.
ParlaMint-FR_2019-02-11-O1142.u34	Increase the wages!
ParlaMint-FR_2019-02-11-O1142.u35	There is a shortage of teachers in some academies, such as Créteil or Versailles, or in certain disciplines, such as mathematics or English.
ParlaMint-FR_2019-02-11-O1142.u36	It's because of the point freeze!
