ParlaMint-FR_2019-10-14-O1022.u1	The next item is the continuation of the discussion of the finance bill (No. 2272, 2301).
ParlaMint-FR_2019-10-14-O1022.u20	The opening article is an expression of the Government's renunciation of the need to restore the situation of our public finances in a sustainable manner. The reversals in this budget – the removal of tax increases initially decided by the majority and the postponement of the reduction in income tax proposed twice by the Republicans – are financed, again and again, by deepening our deficit and increasing our debt, but also by returning to commitments made just two years ago to our companies. How could our compatriots trust us when this budget betrays the very commitment made by the Government and its majority, just a year and a half ago, to reduce our country's deficit to 1.9 per cent by 2020? Since the beginning of the quinquennium, the debt has shrunk by more than 190 billion euros and public spending continues to rise – 68 billion more – without the French feeling that their lives have improved. Our deficit is growing by more than 25 billion, and will be in 2020, as Mrs Dalloz said, twice as much as the euro area. Our finances are more than fragile, and we are in debt to finance current spending. Our country no longer has the means to invest in the future. That is the sad fact that we are making with this budget. No, yellow vests don't explain everything. Other choices were possible, while you have low interest rates: you could at least have used this economy to reduce our deficit. My amendment simply aims at reminding you of your responsibility to keep your commitment, which was voted on here a few months ago, so as not to compromise the possibilities of present and future generations, and not to expose us to a risk of rising rates.
ParlaMint-FR_2019-10-14-O1022.u21	Amendment No 1288 by Mr Stéphane Viry is being defended. Mrs Valérie Bazin-Malgras has the floor to support Amendment No. 63.
ParlaMint-FR_2019-10-14-O1022.u22	The High Council for Public Finance is critical of the Government's proposed deficit path. With regard to the structural deficit, he denounced an almost zero effort. As a result, the amendment seeks to ensure that the Government finally makes efforts on structural deficits and complies with European rules on structural efforts.
ParlaMint-FR_2019-10-14-O1022.u23	Mrs Marie-Christine Dalloz's identical amendments No 752 and Mrs Véronique Louwagie's amendments No 883 are being defended. I call Mr Eric Woerth, chairman of the Committee on Finance, the General Economy and Budgetary Control, to support Amendment No. 1309.
ParlaMint-FR_2019-10-14-O1022.u24	It is in the same spirit as the previous ones, except that I place the structural deficit at 1.9%, for a fairly simple reason: I consider as good news the decrease in the debt burden of about EUR 12 billion, if we refer to the sums that were on the trajectory. It could have been considered that this amount should have been allocated and used only half, so as to make the necessary savings; the other half could have been invested. If half of the savings made possible by lower rates had not been consumed, the deficit would be around - 1.9, and that would be a good way to present the budget. [[Smile]] I am aware that this is an appeal amendment, because it would lead to a lot of subsequent corrections. Let's say it's a call for help amendment!
ParlaMint-FR_2019-10-14-O1022.u25	Mrs Valérie Rabault has the floor to support Amendment No. 530.
ParlaMint-FR_2019-10-14-O1022.u26	I do not take up the argument I have already made about the structural deficit. This amendment provides for an overall deficit level identical to that proposed by the Government. On the other hand, the distribution between the structural deficit and the cyclical deficit is changed: the level of the structural deficit corresponds strictly to that adopted and published by the European Commission, thus ensuring the homogeneity of the method of calculation with the other Member States. Whatever the level of the structural deficit chosen – that of your finance bill or that of the amendment – France does not respect the TSCG. Minister, can you tell us more about the current discussions with your European partners on this point? Indeed, given the structural deficit in your draft finance law, France will inevitably be subject to an excessive deficit procedure again.
ParlaMint-FR_2019-10-14-O1022.u27	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion on the amendments under discussion.
ParlaMint-FR_2019-10-14-O1022.u28	The first set of identical amendments simply tend to return to the 2018 trajectory. However, this will not have escaped you, a number of things have happened since then, as a result of which the trajectory has been diverted. President Eric Woerth and I had asked for a law on the programming of public finances. The Government reassured us that it would be presented in the spring of 2020 to take account of pension reform on the one hand and Brexit on the other. Don't be impatient: the PBPA will arrive in the spring. I would have preferred in the fall, but it is true that additional elements must be taken into account. We are satisfied with this solution. As for the other amendments, you are concerned about the structural deficit. But there was a time when most of you were far less worried, while the deficit exceeded 3% of GDP – not Charles de Courson, I wouldn't allow myself to blame him for that! The situation required an effective adjustment of public finances to fall below 3%. This is the difference between the preventive and curative aspects of the European Treaties, which, as you know, leave room for manoeuvre. We use them, and that seems a good thing to me. President Woerth's proposals are interesting even if they differ from the assumptions adopted by the Government. However, he acknowledged that this was an appeal amendment seeking a response from the Minister on his suggestion, which I believe is valid but different from the path chosen by the Government. I express an unfavorable opinion on all the amendments.
ParlaMint-FR_2019-10-14-O1022.u29	The Minister for Economic Affairs and Finance has the floor to give the Government's opinion.
ParlaMint-FR_2019-10-14-O1022.u30	It is the same as the rapporteur, who replied better than I could have done to Charles de Courson on the proposed amending programming bill, scheduled for the spring of next year. I shall make a few remarks on the following points: nominal deficit, structural deficit, state of debt and, in response to Mrs Rabault, discussions by the Eurogroup on the state of French public finances. First of all, I am pleased that a discussion on the structural deficit is taking place in the National Assembly.
ParlaMint-FR_2019-10-14-O1022.u31	That's the case every year!
ParlaMint-FR_2019-10-14-O1022.u32	For the past ten years, by force of things, the debate has only focused on the nominal deficit,...
ParlaMint-FR_2019-10-14-O1022.u33	No! There are amendments every year on the structural deficit!
ParlaMint-FR_2019-10-14-O1022.u34	[[Exclaims on the benches of the LR and SOC groups]] ...for the simple reason that we were not complying with the nominal deficit forecast. This time, we respect the nominal deficit, which allows us to start discussing the structural deficit in greater depth. That's a good thing, I think. This is proof that the state of French public finances is improving. Then you cannot act as if nothing had happened in France and in the world for twelve months. We have faced a major social crisis.
ParlaMint-FR_2019-10-14-O1022.u35	Whose fault is it?
ParlaMint-FR_2019-10-14-O1022.u36	Millions of French people have sent us a simple message: we want to live with dignity from our work.
ParlaMint-FR_2019-10-14-O1022.u37	That wasn't their only message!
ParlaMint-FR_2019-10-14-O1022.u38	This message has been heard and we are responding in a very concrete way to it by reducing income tax, activity premium and other additional public expenditure. These expenses are necessary to show the French that their work allows them to live better and more dignifiedly than before. The slowdown in global growth affects all countries, particularly those in the euro area. France is probably one of the best resisters today. At 1.4%, French growth is above the euro area average – well above German performance – and this is largely due to the reforms voted by the majority on the labour market and on capital taxation, which supported growth.
ParlaMint-FR_2019-10-14-O1022.u39	No, no, no, no, no, no, no,
ParlaMint-FR_2019-10-14-O1022.u40	You cannot act as if we were in an ethereal and perfect world, without compatriots asking us for changes, without a global economic crisis, without a slowdown in trade, without a decline in the growth of the euro area. A budget takes account of the political and economic realities of the nation and Europe. Finally, the debates within the Eurogroup do not give rise to any concern about French public finances. For several months, they have focused on only one issue: the slowdown in growth in the euro area. Echoing your question, Mrs Rabault, which I welcomed because it is the right one, the Eurogroup wonders: are the nineteen Member States of the euro area, which have created a common currency, condemned to growth just above one point, synonymous with few jobs, little innovation and little investment in new technologies? That is the real big question. It seems to me to be less important to know whether the public deficit will be 2.1 or 2.2% than to know whether tomorrow we will guarantee prosperity and employment for our compatriots. The concerns of the 19 euro area Member States are much more about our ability to restore prosperity for Europeans than about whether French public finances will be held. They will be. This seriousness will be accompanied by structural reforms that clearly reassure our European colleagues.
ParlaMint-FR_2019-10-14-O1022.u41	Mr Laurent Saint-Martin has the floor.
ParlaMint-FR_2019-10-14-O1022.u42	The discussion of the finance bill always begins very technically with the examination of the introductory section, which is very important because it explains, as the minister has done, why certain essential aggregates can be changed over time. As the minister has said, it is a completely assumed political choice: we are making more money to our fellow citizens, especially to households, and the curves of deficit reduction and debt control are being changed. Moreover, if the slope is changed, the nominal deficit continues to decline, and this is the most important. [[Exclaims on the benches of the LR group]] I counted eleven amendments from the group. The Republicans aiming to change the structural deficit – I noted that Mrs Dalloz, like Mrs Anthoine, presented two with different structural balances, showing some imagination about the final figure... What matters is the discussion on public spending; That is what I understand from your amendments. To put things in context – because it's a bit easy to pretend that public spending is not going down – I would remind you that public spending, in terms of volume, will rise by 0.7% in 2020, as in 2019. Over the quinquennium as a whole, the increase will be 0.4 per cent, twice as high as in the previous quinquennium and three times better than in 2007-2012.
ParlaMint-FR_2019-10-14-O1022.u43	Don't pretend to forget the crisis! Don't be in bad faith!
ParlaMint-FR_2019-10-14-O1022.u44	It is therefore necessary to show a little humility and to note that the control of the growth of public expenditure is unprecedented if one refers to the last two quinquennats. Finally, I agree with you on one point: the gap between the programming laws and the original financial laws is too large. But this is more of a matter of budgetary procedure – perhaps to be resolved by revising the LOLF, the Organic Law on Finance Laws – than a comment on government policy.
ParlaMint-FR_2019-10-14-O1022.u45	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2019-10-14-O1022.u46	I do not understand why Amendment No 752 was not called.
ParlaMint-FR_2019-10-14-O1022.u47	I called him.
ParlaMint-FR_2019-10-14-O1022.u48	You must have been very discreet, Mr. President...
ParlaMint-FR_2019-10-14-O1022.u49	[[Smile]] Sometimes I get it; I take it as a compliment.
ParlaMint-FR_2019-10-14-O1022.u50	I'm gonna make it up to you now. The rapporteur-general pointed out that some elements had affected the level of the nominal deficit, probably referring to the yellow vest crisis and the commitments of the President which had followed it. The Government's additional revenue of €18 billion, which must be presented in the same way as the negative elements, is easily hidden. Since the minister mentioned Germany, I allow myself a small comparison: over the last five years, the gap between the French public deficit and the German surplus stands at EUR 400 billion. Do the math, you won't be reassured! Minister, you dare say that the deficit has fallen a lot. But the French deficit remains the second largest deficit in the euro area, behind Italy, at 3.5.
ParlaMint-FR_2019-10-14-O1022.u51	Where are we going from?
ParlaMint-FR_2019-10-14-O1022.u52	Don't make us think that a nominal deficit of 2.2% is a good performance. We're very far from the recovery you're announcing. If you carried out real structural reforms, we would inevitably see the effect on the level of the structural deficit. Tonight, we want to show you that there is a long way from communication to reality.
ParlaMint-FR_2019-10-14-O1022.u53	Mr Eric Coquerel has the floor.
ParlaMint-FR_2019-10-14-O1022.u54	With regard to the comparison with Germany, let us remember that the German surplus is the result of an aggressive export policy, notably thanks to the strong euro, which prevented any competitive devaluation on the part of the countries in which the Germans exported their goods. This policy is only possible if only one country exports. When several countries develop their exports, the effect of this policy disappears; This is what is immerse the German model in the crisis. Germany is a country that has made wage deflations, imposed austerity policies and whose model has been based, for years, on exports, which is only the other name of an aggressive trade policy, if we think carefully about it. When the CICE – the competitiveness and employment tax credit – exacerbated the deficit by 0.8 percentage points of GDP, bringing it to 3%, the majority accepted it. On the other hand, as soon as business is no longer involved, the 3% and the fall in the deficit become a sacrosanct rule to the point that it now justifies a fall in public expenditure. Our logic is totally the opposite: what strikes the nation's budget is the revenue you are depriving yourself of because of the CICE or the suppression of the ISF – the tax on wealth – and not the public expenditure, which, I remind you, not only serves the general interest but also feeds GDP. Public spending promotes employment, the conquest of markets and consumption. You will understand, our logic is radically different.
ParlaMint-FR_2019-10-14-O1022.u55	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2019-10-14-O1022.u56	We do not have time to prolong this debate, but I disagree with Mr Le Maire when he claims that we do not address the issue of the structural deficit when the nominal deficit was less good. We've always talked about it.
ParlaMint-FR_2019-10-14-O1022.u57	We didn't talk about it.
ParlaMint-FR_2019-10-14-O1022.u58	It is true that France is often less affected by crises or slowdowns than other countries – even if everything depends on the nature of the crisis or slowdown. In any case, the 2009 crisis affected us less than others because the French social engine played full and supported consumption. It is true that our current growth rate is slightly above the average of other countries, probably partly because we are less exposed to international trade. With regard to the deficit, since that was the subject of the introductory article, the 3% threshold was another topic. The debate does not concern compliance with the Maastricht criteria. All countries fill them. The question is not whether we are good on our own, but where we are, in relative terms, in relation to other countries. Indeed, as we have tried to explain in the various interventions that preceded the examination of the article, France is less well placed than most other countries, which there is no reason to justify. It is not normal for our deficits to fall so little this year, while growth has returned four years ago. There is no economic crisis. On the contrary, the situation is rather favourable. It must therefore be used to reduce deficits. Growth and deficits are enemies. Deficits weaken French growth potential when they are based primarily on operating expenditures.
ParlaMint-FR_2019-10-14-O1022.u59	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-10-14-O1022.u60	Mr Minister, you were a member of the Finance Committee during the previous quinquennium and we discussed the structural deficit very often. The amendments tabled by one of our colleagues, which were not adopted a year, were found in the finance bill the following year, which shows that an independent reflection on the structural deficit is possible. I have noted what you have said about the priority of reviving real growth at European level. Without it, indeed, we risk going into the wall. But our European partners do not fully share this vision. I do not want a procedure to be initiated against France because of its excessive deficit, and I have hardly been reassured by your reply...
ParlaMint-FR_2019-10-14-O1022.u61	I call Mr Charles de Courson to support Amendment No. 639.
ParlaMint-FR_2019-10-14-O1022.u62	[[Rites and exclamations]] Why have I tabled this amendment, which brings nothing new as such?
ParlaMint-FR_2019-10-14-O1022.u63	Then take it off!
ParlaMint-FR_2019-10-14-O1022.u64	Listen to my reasoning! The purpose of this amendment is to assess the first three finance laws of the new majority. If structural expenditure measures are combined, 1 percentage point of gross domestic product is achieved after three years, or EUR 24 billion. As for the new revenue measures – revenue is falling – they represent 1.1 percentage points. What does that mean? That the efforts to redress public finances, which were to enable us to reach around 20 billion euros – remember the budgetary policy debate of July 2017, at the beginning of the legislature – have not been enough, far from it. We are around 7 billion a year, about a third of the effort expected. In addition, modest expenditure reduction efforts were used entirely for tax reductions. You have to choose in life! The many governments I have known for the last twenty-six years have never made enough effort on spending. It's so nice to lower the recipes. This is again the case today: the modest margin of manoeuvre obtained in three years, or 23 billion, has been used entirely to reduce revenues. This is a simple observation, which appears on page 12 of the opinion of the High Council for Public Finance on the draft laws on the finance and financing of social security for 2020. We can't go on like this.
ParlaMint-FR_2019-10-14-O1022.u65	Thank you, Mr. de Courson.
ParlaMint-FR_2019-10-14-O1022.u66	Minister, you were there in July 2017. Why, then, did you give up the only strategy that would make it possible to redress our country's public finances?
ParlaMint-FR_2019-10-14-O1022.u67	What is the opinion of the committee?
ParlaMint-FR_2019-10-14-O1022.u68	Mr de Courson, your amendment is intended to insert two lines after the third line of the table in paragraph 2 of the introductory article: one for "structural expenditure", the other for "structural revenue". However, this terminology is not used in the report or in the opinion of the High Council for Public Finance, because it is not legally and methodologically secure. In addition, it seems to me, in view of the sums you indicate, that you are making a confusion between structural adjustment and structural effort. Your calculation would result in a structural deficit falling by 0.1% of GDP, while it does not fall in 2020. I therefore ask you to withdraw your amendment; If not, the opinion will be unfavourable.
ParlaMint-FR_2019-10-14-O1022.u69	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u70	It is also unfavourable. I will not prolong the discussion on an amendment which Mr de Courson himself said was not useful. The debate, on the other hand, is a lot. How can we restore our public finances? This is finally the question we are asking ourselves this evening, in a useful discussion, I believe, for our compatriots. First, they are restored by reducing public spending. That is what we did during the first two years of the quinquennium, and I readily acknowledge that we are doing less in the finance bill for 2020. Does that mean that the Government abandons the idea of reducing public spending? Certainly not. Should we return to the path of declining public spending, on the basis of structural proposals, as proposed by Émilie Cariou? The answer is yes! Nevertheless, as I pointed out in the Committee on Finance, France has been confronted with a social crisis and is currently experiencing an economic downturn. We take this into account, we adjust our efforts to reduce public spending in the light of these two realities, both social and international, but without letting go of the decline in public spending. I am counting, with Gérald Darmanin, on drawing this thread again in the coming months. The other way to restore public finances is, of course, to create growth. To do this, we must play on the two levers of competitiveness of companies and the demand of the French. You know, like me, that they are complementary: if you encourage the demand of the French too much and at the same time you burden them with taxes, as it has been done for years, the demand ends up falling and growth suffers. We have made the choice to reduce taxes massively, that's right and I claim it, because it seems to me just towards the French and good for our growth. I even believe – and I am sure that I am not the only one in this House – that we must continue to reflect on the reduction of taxes on business production, in order to be attractive and competitive with our European partners.
ParlaMint-FR_2019-10-14-O1022.u71	Criteria, Minister!
ParlaMint-FR_2019-10-14-O1022.u72	Reinvigorating growth and ensuring the competitiveness of businesses, we are also doing so, reducing the burden on businesses and transforming the CICE into a definitive burden reduction.
ParlaMint-FR_2019-10-14-O1022.u73	Instead, tax the dividends!
ParlaMint-FR_2019-10-14-O1022.u74	All these measures lead to an overall balance. We do not lose the thread of the decline in public spending or of the restoration of our accounts and the revival of French growth, but we take into account the international and social realities of the country.
ParlaMint-FR_2019-10-14-O1022.u75	Mr Charles de Courson has the floor.
ParlaMint-FR_2019-10-14-O1022.u76	The rapporteur was surprised that the difference between structural adjustment and structural effort did not correspond to the change in the structural deficit. Yet he has read the opinion of the High Council for Public Finance! [[Smile]] The missing line, which I did not voluntarily resume, is called "tax credit key". It is explained by a footnote to the opinion of the High Council for Public Finance, which I read to you: "In national accounts, tax credits are recorded on the basis of claims made and not refunds charged against the budgetary balance. The difference between the tax credits repaid and the tax credit claims, known as the "tax credit key", affects the measure of structural adjustment. That's the explanation, ladies and gentlemen, but it doesn't seem like you're passionate about it! In the finance bill for 2020, the key to tax credits is 0.3 percentage points of GDP, or 7 billion, a considerable amount! Minister, in an interesting interview you gave in the Sunday Journal on October 6, 2019, the following question is asked: "Is it a break or a turn in the budget? And you say, "It's not a turn at all, and it's not even a break. »
ParlaMint-FR_2019-10-14-O1022.u77	He's a literary critic!
ParlaMint-FR_2019-10-14-O1022.u78	It seems to me that this is a break. When the structural deficit is 2.2% of GDP, it is clearly a pause. And you continue: "We are going to have a budget adopted that provides for a structural deficit of 2.2% of GDP. It's the lowest in 20 years." But no, it's the same as last year – I allow myself this little comment. "And we do it by lowering taxes": that's for sure, and that explains precisely why deficits do not fall. "Those who accuse us of not lowering the debt are those who raised it from 60% to almost 100% of GDP when they were in business, while increasing taxes. » May I remind you, minister, that you were one of those majorities and that you were even the adviser to a prime minister to whom we owe part of that increase?
ParlaMint-FR_2019-10-14-O1022.u79	All right!
ParlaMint-FR_2019-10-14-O1022.u80	He's right!
ParlaMint-FR_2019-10-14-O1022.u81	That's mean!
ParlaMint-FR_2019-10-14-O1022.u82	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2019-10-14-O1022.u83	[[Applause on several benches in the LR group. – Exclaims on the banks of the LaREM and MODEM groups]] I'll be brief, but I can't let the opposite of what was said a year or two ago! Mr. Le Maire, you spoke earlier about a "just" tax reduction. I very much like this formula, but isn't that exactly what we told you and repeated when you increased the CSG – the widespread social contribution –, unfair to pensioners, and accentuated the trajectory of the TICEP – the domestic consumption tax on energy products – which you then presented as a fair measure? You saw what it gave you on the street! Now you're talking about a fair tax cut. A little consistency! Be careful not to say one thing and its opposite from year to year, for reasons of communication.
ParlaMint-FR_2019-10-14-O1022.u84	I call Mrs Lemoine to support Amendment No. 1508.
ParlaMint-FR_2019-10-14-O1022.u85	This appeal amendment, already tabled last year, aims to allow the High Council for Public Finance to decide on expenditure under the PLF for 2021.
ParlaMint-FR_2019-10-14-O1022.u86	What is the opinion of the committee?
ParlaMint-FR_2019-10-14-O1022.u87	It seems to me that this work would be usefully carried out by our assembly in the spring of the evaluation. The tasks of the High Council are closely regulated by the Organic Law of 2012. I therefore ask you to withdraw this amendment.
ParlaMint-FR_2019-10-14-O1022.u88	What is the Government's opinion?
ParlaMint-FR_2019-10-14-O1022.u89	Same opinion.
ParlaMint-FR_2019-10-14-O1022.u90	We are considering the first part of the Finance Bill for 2020.
ParlaMint-FR_2019-10-14-O1022.u91	At the request of the Government, we will consider as a matter of priority sections 11 and 16 of the Finance Bill as well as amendments to the additional section after them. Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2019-10-14-O1022.u92	Article 11 seeks to revise the SI tax rate – corporate tax – for companies with a turnover of more than EUR 250 million. The Finance Act for 2018 set the normal IS rate: 28 % for the first €500,000 profit and 31 % for the financial years opened from 1 January 2019; 28 % irrespective of the amount of the profit for the financial years opened from 1 January 2020; 26.5 per cent for financial periods beginning on 1 January 2021. The Government therefore proposes, for the second time, to revise this trajectory. Our comrades in the new world, when they came to the assembly, were calling for visibility and stability for businesses. It's missed for article 11... Moreover, if there was an effort to be made on the IS, it should have focused on SMEs. They are numerous and ask only to grow – the number of mid-sized enterprises is insufficient – but they face difficulties in exporting, due to the lack of services to support them, particularly in the legal field.
ParlaMint-FR_2019-10-14-O1022.u93	Exactly!
ParlaMint-FR_2019-10-14-O1022.u94	We will therefore propose an amendment to raise the turnover threshold from EUR 7.6 million to EUR 50 million to allow an enterprise to benefit from an IS rate of 15%. I would remind you that this progress had been achieved under the 2017 Finance Act and would have come into force on 1 January 2019 if you had not removed it in Article 84 of the 2018 Finance Act. Another of our amendments is to increase the profit fraction to which an IS rate of 15% applies from EUR 38120 to EUR 100000. We were unable to update the cost of our proposals, but at the time it was estimated at about EUR 1 billion.
ParlaMint-FR_2019-10-14-O1022.u95	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2019-10-14-O1022.u96	Despite everything you have told us, Minister, you have not convinced us that you are not widening inequalities between societies. Corporate tax will fall well by €2.5 billion in 2020, a costly decrease. A total of EUR 11.2 billion has been reduced, and € 27.6 billion of revenue will be missing from the budget over the five-year period. We note that this reduction is granted without targeting or condition, as was already the case for the CICE, the ISF or the PFU – the single flat-rate levy. Large companies will benefit the most. Mr Giraud's report makes it clear: "although temporarily attenuated, the decline in the normal rate remains salient for the largest companies". Against this background, the question arises of the impoverishment of the State and the fair contribution of enterprises to the financing of public action. The government's project does not address fiscal injustice to the detriment of FTEs and to the benefit of large groups, which benefit from particularly competitive effective tax rates and practice tax optimisation and tax shopping. I am not developing our proposal here; We will come back to the amendments to the article. In any case, the cost of the measure to public finances is absolutely insane, without, I repeat, any targeting or condition. In this way, you permanently weaken our ability to act, and you serve a system rather than a project. The reduction in corporate tax will not benefit the craftsman, the butcher or the street carcuter; They are not concerned, unlike, of course, with large companies. We would like to know which ones, moreover: to whom do these decreases benefit? Mr Giraud's report does not indicate this.
ParlaMint-FR_2019-10-14-O1022.u97	Thank you, Mr. Dufrègne.
ParlaMint-FR_2019-10-14-O1022.u98	Who benefits from the lack of a EUR 2.2 billion reduction, but who benefits from the 2.5 billion reduction, rapporteur-general? We're taking on information!
ParlaMint-FR_2019-10-14-O1022.u99	All right!
