ParlaMint-FR_2019-10-07-O1013.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-07-O1013.u38	He's unfavorable. The NCCE's expertise relates to ethical and societal issues: this body is not at all designed to assess public policies, which are not within its mandate, and it does not have the means to assess them. The members of the CCNE were not chosen from this perspective. To report on the manner in which public policies are conducted and on their results falls within the competence of the health agencies in charge of these subjects, in particular the Agency for Biomedicine. That is why I am against your proposal to entrust this new mission to the CCNE.
ParlaMint-FR_2019-10-07-O1013.u39	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-10-07-O1013.u40	[[Applause on the benches of the LR group]] You are right, Minister, that we wish to entrust this new mission to the CCNE for a very simple reason: we want it to be assured in the most independent way possible. That the Government wants its policy to be evaluated by a body that is not independent is understandable, but it is precisely because we do not agree with it that we support this amendment.
ParlaMint-FR_2019-10-07-O1013.u41	On identical amendments Nos 781, 1597, 1729 and 2437, the Republicans, the Democratic and Related Movement and the UDI-Agir and independent groups have before them a request for a public vote. The vote is announced in the National Assembly. On Amendment No 1812, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. These five amendments, Nos 781, 1597, 1729, 2437 and 1812, can be discussed jointly. Amendments Nos 781, 1597, 1729 and 2437 are identical. Mr Philippe Berta has the floor to support Amendment No. 781.
ParlaMint-FR_2019-10-07-O1013.u42	I would first like to say that I agree with my colleague Hetzel that we are taking serious scientific decisions for a period of seven years. As a scientist, I repeat, I am not sure that this is very reasonable. For example, I am rather stunned by what we have just voted on the DPI-HLA. I would like to go back to the DPI aneuploidies, or DPI-A, which seems remarkable to me, even if, again, it concerns a little less than 300 couples a year. Let me first recall some of the data that I believe is essential to my knowledge. The human species is characterized by a very low reproductive power, since only 30% of conceptions come to an end. This is mainly due to the presence of early embryonic chromosomal abnormalities, which will increase with age: 23% at age 30, 35% at age 35, 58% at age 40, and 84% at age 45. Every year in France, about 300 couples will have to live a most complex reproductive path, either because they already have a child with a heavy genetic pathology, or because the genetic counseling has made it possible to detect in the family history of each member of the couple a heavy and diagnosable monogenic disease. This complex couple is then offered a DPI, i.e. a pre-implantatory genetic diagnosis accompanying an in vitro fertilization, carried out in five authorized centres, the CHU of Clamart, Strasbourg, Montpellier, Nantes and Grenoble. The aim is to collect, in the very early stages, a cell from the embryo designed in vitro for this genetic analysis prior to its transfer to the uterus. It will be called the simple IPR; It concerns about 4% of in vitro fertilizations. There is – or there was, I don't know anymore – a second, very rare form: the DPI-HLA, which since 2011 allows to avoid a pathology, but also to select an embryo that can treat its elder by a transplant of compatible blood stem cells. The IPR allows the operator only to control the embryo on the only genetic indication in question. However, about 50% of embryos will associate trisomies, in particular trisomies 13, 15, 16, 18 and 21, monosomies, tetrasomies or chromosomal translocations, which will lead in almost all cases to miscarriages. We therefore propose, by this amendment, that the realization of an IPR-A be subject to the consent of both parents, as is the case with other IPRs; leave the parents free to implant an aneuploid embryo or not; limit IPR-A only to non-sexual chromosomes, still referred to as autosomes. The anomalies of the sex chromosomes, Turner in the little girl and Klinefelter in the boy, are "light" anomalies that are now relatively well managed. These little girls will later be able to complete pregnancy with an ovocative gift. I would like to point out, because not everyone knows this, in particular because it was voted in 2011, but it has only been applied since January 2019, that our country makes available to all women at the beginning of pregnancy, if they so wish, a non-invasive diagnosis, or DPNI, made from a few millilitres of the mother's blood, to search for these anomalies of number. It is therefore already a freedom, and I stress this point. In case of suspicion, a control ultrasound will be performed, then an amniocentesis, and finally a medical interruption of pregnancy, each step being of course subject to the consent of the mother, who can at any time interrupt the process if she wishes. Of all European countries, only Albania, Ireland and Luxembourg do not practice IPR. There are only four remaining countries, including France, which do not associate it with the search for aneuploidies. It is now done for Switzerland, but also for Italy, which has been condemned by the European Court of Human Rights for its practice of IPR leading to abortion, which is now the situation in France. Here we have the opportunity to reduce the number of supernumerary embryos – we need, on average, specialists who say so, 28 oocytes to ensure delivery; to reduce the risk of gemallity by transferring a single embryo, while we are obliged to transfer several of them to hope that one of them will implant, with the risk of having to remove the supernumeraries afterwards.
ParlaMint-FR_2019-10-07-O1013.u43	Clarify the risk of gleaminess!
ParlaMint-FR_2019-10-07-O1013.u44	From the moment you re-inject several embryos, you may see many of them come to an end, which is still difficult for the woman to manage! We therefore have the opportunity to reduce the number of abortions, health expenditures, and simply to give a real chance of simplification for such a complex life course, for pregnancies already considered at risk, for these some 300 couples per year. Otherwise, these families would be subjected to infernal chaining: in vitro fertilization with DPI, DPNI, trisomy screening, ultrasound in case of proven risk, amniocentesis and, ultimately, medical interruption of pregnancy. Which couple can we wish for such a course? Let us not forget that disability is one of the leading causes of divorce – the Secretary of State for the Disabled, Sophie Cluzel, has rightly recalled this weekend.
ParlaMint-FR_2019-10-07-O1013.u45	The vision you have of disability is outrageous!
ParlaMint-FR_2019-10-07-O1013.u46	Reference was made to a clinical research project coordinated by a colleague from Paris, whose content is also unrelated to the problem we are dealing with in the field of IPR. In a very recent article in the journal Medicine/Science, the same colleague states that "in view of the objective of improving the quality of care, the prohibition of IPR-A has become an incomprehensible contradiction, especially since its practice does not strictly add any additional medical action". In the vote that opened the LDC to all women, we were very sensitive to the danger of carrying out such practices abroad, outside our ethical framework and our health control. Not allowing IPR-A would be tantamount to promoting a new form of medical tourism, accessible only to those who can afford it. I will not fall into the pitfall of reporting a personal situation, since we are talking about the general interest here. Be aware, however, that the trisomy – to take only this example – is not just the vision given by the film The Eighth Day, which has been waiting for us all. There is another side, which we may be less willing to face and share – these hidden situations that are discovered in specialized reception homes, where I propose to accompany me every weekend. [[Applause on the benches of the MODEM and LaREM groups]] I am ready, at any time, to transmit to you the references from the world's largest journals, which I have fed into, but also the contact details of the specialists – who are also colleagues for me – with whom we have been working on this topic for several months.
ParlaMint-FR_2019-10-07-O1013.u47	Mr Jean-Louis Touraine has the floor to support Amendment No. 1597.
ParlaMint-FR_2019-10-07-O1013.u48	The excellent explanation Mr Berta has just given will allow me to be quite brief. In response to Mr Breton, I would like to point out that there are many of us here who refuse to accept any form of eugenics. The subject we are talking about here is totally alien to all eugenics: it is only the in vitro reproduction of what nature realizes in vivo. The aim of the amendment is to propose that, on an experimental basis, with an evaluation after three years, the scope of the IPR be extended to include the numeration of autosomes, i.e. non-sexual chromosomes, in order to avoid any discriminatory risk. This numeration of autosomes would improve the success rate of in vitro fertilizations, which is unfortunately very low in France and leads to situations that are extremely painful for women. We could thus avoid repeat miscarriages following certain in vitro fertilizations. The numeration of autosomes would also reduce the production of supernumerary embryos, regretted by each of us. Indeed, if the success rate of in vitro fertilizations increases, it will no longer be necessary to produce as many supernumerary embryos as we do today to repeat in vitro fertilizations. When the pregnancy is completed, the diagnosis of an extremely serious condition, likely to cause the death of the child in its first weeks, leads to the offer of a therapeutic abortion to the parents – which is carried out in the majority of cases. Our proposal is therefore limited to very specific situations and limited indications. When an IPR is made to prevent the birth of a child with a serious illness with a family carrier, the child would also be ensured that the number of chromosomes is satisfactory. The procedure would also apply to couples who have suffered several in vitro fertilization failures, as well as to women who are approaching the loss of fertility and will not be able to undergo repeated in vitro fertilization. I repeat, this experiment would involve very specific situations, for a defined period followed by an evaluation, and would be accompanied by the utmost caution. All professionals urge that autosome counts be allowed under these specific, non-generalised conditions. Once again, it is nothing more than to duplicate in vitro what nature is doing in vivo. Under natural conditions, women, without even realizing it, expel a significant proportion of embryos whose chromosomal anomalies do not allow development. Knowing that in vitro, the selection of too malformed embryos is not done, it is up to IPR-A to duplicate a natural process.
ParlaMint-FR_2019-10-07-O1013.u49	Mr Didier Martin has the floor to support Amendment No. 1729.
ParlaMint-FR_2019-10-07-O1013.u50	In addition to the arguments put forward by Messrs. Berta and Touraine, I would point out that the use of IPR-A would significantly reduce the cost to society of all unnecessary and failed procedures simply because medical teams were not allowed to count chromosomes when they were looking for a very specific chromosomal anomaly.
ParlaMint-FR_2019-10-07-O1013.u51	Mrs Anne Brugnera has the floor to support Amendment No. 2437.
ParlaMint-FR_2019-10-07-O1013.u52	After the very full speeches by my colleagues, the amendment is being defended.
ParlaMint-FR_2019-10-07-O1013.u53	Mr Alain David has the floor to support Amendment No. 1812.
ParlaMint-FR_2019-10-07-O1013.u54	With this amendment, we would like the State to allow two establishments to extend the pre-implantation diagnosis on a trial basis for a period of three years, and its implementation procedures are laid down by decree. Today, through a chromosomal analysis, science allows us to know whether embryos are viable or whether there is a risk of miscarriage. However, the law does not permit such analyses to be carried out. Thus, even if only one embryo is viable on ten embryos taken, all of them are intended to be implanted. The current framework of the Bioethics Act of 29 July 1994 on the donation and use of components and products of the human body, on medical assistance in procreation and on prenatal diagnosis allows the practice of pre-implantatory genetic diagnosis only in order to avoid the transmission of a genetic or chromosomal disease recognized of special gravity for the unborn and incurable child at the time of diagnosis. This practice is well framed and has not shown any drift. In the long term, the extension of pre-implantation diagnosis would avoid certain medical interruptions of pregnancy, reduce the rate of miscarriages, promote monoembryonic transfer five or six days after puncture, reduce the rate of gemella pregnancies, improve the success rate of in vitro fertilization, and reduce the inequality of access to care.
ParlaMint-FR_2019-10-07-O1013.u55	What is the opinion of the committee?
ParlaMint-FR_2019-10-07-O1013.u56	On the form, these amendments aim to propose a three-year trial, based on the model of hospital clinical research programmes, to two institutions chosen by the State from among those approved by the Biomedicine Agency, without this choice being subject to the usual process of scientific selection of peer-reviewing centres. I am somewhat shocked by these arrangements, as they do not correspond in any way to what is currently practiced. Furthermore, the call for national projects, as advocated in these amendments, is inconsistent with the preliminary choice of institutions. In the case of hospital clinical research projects, they should not be limited to two institutions, but should be open to institutions that practice them, in order to achieve a high level of scientific selection and excellence. The choice must therefore not be left to the State. Finally, clause 14 of the bill, which we voted on, already offers the opportunity to conduct clinical research projects. If we stick to the form, then these amendments are unnecessary, because they are already satisfied. There is nothing in the text that we have adopted that prevents pre-implantation embryo research. In the summary presentations of these amendments, it is proposed to extend the IPR, in the search for mutations permitted by Article L. 2131-4 of the Public Health Code, to the numeration of autosomes, i.e. non-sexual chromosomes. Professionals on all sides, whether or not they support the opening and facilitation of IPD-A, agree that chromosomal abnormalities increase with the age of patients. However, in their daily practice, professionals see young women seeking a pre-implantation diagnosis for genetic reasons, such as cystic fibrosis. Because of their young age, these women have a low probability of having chromosomal abnormalities – Mr. Berta has demonstrated this well. The aim pursued by these amendments is therefore not medically relevant – and I stress this point: the legislator must ensure that the provisions which it contains in the law are medically and functionally relevant, in order to provide assistance to health professionals. It is important to distinguish between the different clinical situations, despite the great confusion that prevails today. The only cases where pre-implantation research for chromosomal abnormalities – i.e. aneuploidia – is lawful are repeat miscarriages after in vitro fertilization and foetal losses. That would be the only indication. Let us guard against amalgamating with the IPR aimed at the search for genetic mutations and the risk of miscarriages. The argument that the extension of the IPR would reduce the number of medical interruptions of pregnancy may be justified in extremely specific cases. In this case, however, the situations we are dealing with do not cause medical interruptions of pregnancy but foetal losses, i.e. miscarriages. Therefore, your proposal will not result in a reduction in medical interruptions of pregnancy. Finally, no evidence from around the world is clinically validated, and no consensus conference has been reached on the procedures to be followed, the age of patients to be examined, the patient population to be tested for aneuploidy, etc. Therefore, even if we decided to adopt these amendments, the High Health Authority would not validate this practice. This would therefore not be covered by health insurance. There is a risk that there will be clinics or laboratories that will do this against payment. I think that this type of drift should be very careful, because it would be contrary to the objective. In addition, if you visit the U.S. ClinicalTrials.gov site, you will see that there are currently 150 ongoing clinical studies around the world, because the indications of IPR are not validated. Finally, and without wishing to engage me in a scientific discourse, it should be stressed that there is, first, a risk of mosaic, that is, not all cells are necessarily affected – some are healthy, others are not – and second, a risk of false positives and false negatives. This is why new techniques are being experimented, some of which are global in purpose, to determine whether the entire embryo is affected by chromosomal abnormalities, and not five to ten cells per cent – since at J5, there are about one hundred cells.
ParlaMint-FR_2019-10-07-O1013.u57	All right!
ParlaMint-FR_2019-10-07-O1013.u58	[[Applause on a few benches of the LR group]] For all these reasons, I express an unfavorable opinion on all the amendments under discussion.
ParlaMint-FR_2019-10-07-O1013.u59	What is the Government's opinion?
ParlaMint-FR_2019-10-07-O1013.u60	Ladies and gentlemen, this is certainly the ethical issue of the most difficult bill to decide – even if there were others that were complicated. At the individual level, I believe that Mr Berta's argument and the authors of the other amendments under discussion is quite valid. Couples who have a child with a serious genetic disease and therefore have access to a pre-implantatory diagnosis to avoid implanting a sick embryo are at a non-zero risk that, during the in vitro fertilization technique, chromosomal abnormalities will affect this embryo, resulting in either early miscarriages or trisomys 13, 18 or 21 – which, on the other hand, are viable. The question before us is this: because of the suffering associated with these individual journeys, do we want to allow the technique of the numeration of autosomes? I had refused earlier to take part in the discussion on the issue of IPR-HLA and issued a wisdom opinion because I felt that I had too emotional a report on this technique and that I did not have enough hindsight to be able to give an independent opinion. There, obviously, all doctors are in favour of using the technique – and I hear their arguments: they follow these patients, they want to do the best for them, they are faced with couples who are engaged in a long and difficult process of in vitro fertilization and who already have a sick child; They want to avoid either a miscarriage or another child with a Down syndrome. The question is not whether doctors or these families are legitimate to ask this question: they are, it is obvious. The question is what guarantee we have, if we pass this course, that we will not go beyond it. This is the only question that the legislator has to ask itself with regard to a bioethics law. Through these amendments, it is proposed that embryos subject to research for genetic diseases should be subject to an autosome count and a search for chromosomal abnormalities. Firstly, as the rapporteur pointed out, there may be false positives and false negatives, i.e. the cells studied may appear healthy while the remaining cells are ill. It is therefore a false security. Above all, this would be a pre-implantation prenatal diagnosis for all Down syndromes and especially for Down syndrome 21. Today, Mr. Berta, the DPNI concerns only trisomy 21; It is not validated for other trisomies. It is based on the mother's level of risk, which is assessed by a blood test, so it is not offered to all women. It's based on a probability. If the blood test is offered to all women, DPNI depends on the level of risk and concerns only trisomy 21. Compared to the current prenatal screening, new things would therefore be sought; Most importantly, the diagnosis would be preimplantatory. How can we ensure that this technique is not offered to all couples in vitro fertilization? In this case, an average of 250 couples per year would be increased to 150,000 LDCs. However, if this technique were allowed in the context of a search for genetic diseases on the grounds that it would avoid miscarriages, the next step – and this is already the demand of the professionals in the sector – would be to search for aneuploidy for all in vitro fertilizations, regardless of the existence of a prior genetic disease in the couple concerned, and this in order to avoid miscarriages with repetition. However, the search for aneuploidy necessarily gives information on the trisomies. This would therefore amount to information on trisomies for all couples involved in such an approach; We would have to give them the information and tell them to avoid the implantation of an embryo carrying a trisomy. It's this slip that's a problem for me. How can we imagine that we will not automatically result in all in vitro fertilizations being searched for aneuploidy and "free" from trisomy in an LDC? This leads to the myth of a "healthy" child. Let us take the case of a couple who have a child with a genetic disease. We're going to tell him: we're going to avoid repeated miscarriages and a child with Down syndrome because we don't want a double sentence for you – forgive me if I use this expression that will shock all those who, on these benches, accompany or have in their families a child with Down syndrome; But, in reality, if they are to avoid double punishment for Down syndrome, they are not promised that they will have a child free from genetic diseases. The embryo would be sorted on the sole criterion of the genetic disease of the first sick child and on the criterion of the trisomy. The next step, the natural slide, is to search for other common genetic diseases. Why stop in such a good way? If the goal is to prevent these couples from having a second sick child, why simply diagnose trisomy 13, 18 or 21, and not any genetic disease?
ParlaMint-FR_2019-10-07-O1013.u61	That's right!
ParlaMint-FR_2019-10-07-O1013.u62	So if I understand the doctor's request, I wonder if we would be able to resist for a long time a shift towards the search for aneuploidy for all in vitro fertilizations and the extension of the use of the technique to the search for abnormalities or mutations related to other diseases, because it is very easy to search for genetic diseases on DNA. That is the question before us, and that is the ethical tension which, in my view, is at stake in the proposed amendments. Finally, I would like to say that the fact of going through an experiment, as is proposed, makes no sense. Experimenting means asking a question and waiting for a first result to decide how to deploy a device. There is no question here. We master the technique. We know exactly what she's giving. To say that we are going to go through an experiment is only one way to circumvent things, to get a derogation to use a technique that is now prohibited.
ParlaMint-FR_2019-10-07-O1013.u63	Exactly!
ParlaMint-FR_2019-10-07-O1013.u64	[[Applause on several benches of the LaREM, UDI-Agir and LR groups]] In truth, we do not expect anything from the experiment that we do not already know. We know how to do it, we know the result. The only question that arises is: do we want to extend the use of this technique or not? Since we are not certain that we will not slip into anything else, my opinion is unfavorable.
ParlaMint-FR_2019-10-07-O1013.u65	Mrs Bénédicte Pételle has the floor.
ParlaMint-FR_2019-10-07-O1013.u66	These amendments raise a sensitive and sensitive issue. First, they concern families affected by a serious illness; It's always difficult to position yourself when you're not in the same situation. However, their adoption would not be without consequences. Several questions arise. Is trisomy 21 a disease? Which parent could choose between an embryo without anomaly and an embryo carrying a trisomy? Is this a real choice, as for an interruption of pregnancy? What consequences for society would the adoption of a proposal involving sorting between embryos? What role, as a parliamentarian, can I play in promoting an inclusive society where everyone, in their diversity, has a place? Finally, what message would be sent to trisomics, their families and friends? [[Exclaims on the MODEM benches]] I would like to read you the worried e-mail that I received from the parents of a trisomic little girl, whose name is Thais: "We are not going to tell you stories, telling you that it is easy. No, it's sometimes difficult and life with a child with a disability has certain difficulties. »
ParlaMint-FR_2019-10-07-O1013.u67	We've all received this email!
ParlaMint-FR_2019-10-07-O1013.u68	Colleagues, I listened to you, thank you for giving me back the favor. [[Applause on a few benches of the LaREM group and on the benches of the LR group]] "We have understood that our humanity is embodied in our relationship with the weakest. It is in this relationship that we fully express the best of what makes us men. If we want to remove all forms of fragility and weakness, we sacrifice what we have most beautiful: this humanity. »
ParlaMint-FR_2019-10-07-O1013.u69	Mr Daniel Fasquelle has the floor.
