ParlaMint-FR_2019-10-28-O1044.u1	The next item is the debate on the second part of the finance bill for 2020 (No. 2272, 2301).
ParlaMint-FR_2019-10-28-O1044.u12	Mr Philippe Berta, draftsman of the opinion of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2019-10-28-O1044.u13	The finance bill for 2020 provides for an increase in the higher education budget, which had already marked the 2018 and 2019 financial years. Combined, the 150 and 231 programmes saw their appropriations increase by 1.8% in commitment authorities and by 1.5% in payment appropriations. The effort is particularly strong for the 231 "Student Life" program, whose credits increase by 2.5%. I welcome the Government's renewed commitment to the higher education of our youth, which is a guarantee of innovation, competitiveness and scientific excellence. These increased appropriations reflect the continuation of the important reforms undertaken since the beginning of this legislature in higher education, but also the opening of new projects. With regard to the reforms already launched, the increase allows the continuation of the student plan, in particular the opening of additional places in licence, the improvement of the Parcoursup platform and the setting up of the "yes if" routes. She also participates in the further upgrading of careers through the protocol "professional career paths, careers and remuneration". With regard to the new reforms, the financial effort will allow the implementation of several mechanisms. I am thinking first of the reform of health studies. The first year common to health studies – CAPES – should be replaced by three access routes to health studies, including a first general academic year, commonly referred to as the "health portal". It will also be possible to integrate health training through a bachelor's degree in any discipline at the student's discretion if it incorporates a "minor health." EUR 17 million is foreseen for the implementation of this reform, of which EUR 6 million was disbursed as from 1 October. I want to welcome this new organization of health studies. It will put an end to the many failures at the end of the first year, diversify the profile of our future physicians and simplify the reorientation for students who have failed in the competitions. It will, however, have to be accompanied by sufficient communication efforts not only with high school students but also with teachers and teachers-researchers. Institutions should also be given sufficient visibility of the means at their disposal to carry it out. This draft finance law marks the beginning of the implementation of an English-language certification for undergraduate students: €3.1 million is devoted to this project to enable the certification of 38,000 students. This certification has to be gradually extended to all students by the beginning of 2022. I welcome this measure, which seems indispensable in order to improve the professional integration of students, both internationally and in France. Student life credits are also on the rise. As a result, aid for international mobility has increased its funding by 12%. This will make it possible to implement the commitment of the President of the Republic, who, in his speech by the Sorbonne, said that by 2024, half of an age group should have spent at least six months in another European country before the age of 25. Social grants show an increase of €46 million in their credits due to a 2.3% forecast increase in the number of student fellows and a 1.1% increase in the rate of grants. It should be noted that this is the first increase in this rate since 2016. Among the innovations of this budget is also the extension of the strategic and management dialogue to seventy universities, following a first experiment last year in ten institutions. This is a procedure for exchanges between institutions and their trustees concerning their budget and strategic projects. It aims to encourage institutions to develop a multi-year vision of their strategy and funding and to better reward quality establishment projects. It will also encourage institutions to develop strategies with all financiers on their territory. This new exercise should be very useful for medium-sized or modest universities, which will be invited to better highlight their specificities. It should also stimulate interdisciplinarity within institutions. [[Applause on the benches of the LaREM group. – Mrs Béatrice Descamps also applauds]] In total, it is therefore a very significant effort that is being made in this finance bill in favour of higher education. The Committee on Cultural Affairs and Education, which met last Wednesday, has taken note of this progress by giving an opinion in favour of the adoption of these appropriations, as I invited it to do, and as I once again invite you, ladies and gentlemen, to do.
ParlaMint-FR_2019-10-28-O1044.u14	Mr Lioger, draftsman of the opinion of the Committee on Economic and Monetary Affairs, has the floor.
ParlaMint-FR_2019-10-28-O1044.u15	For the third year in a row, I have the opportunity to present the opinion of the Committee on Economic Affairs on the appropriations of the major research organisations. It is a great pleasure for the academic that I am to address these questions. I would like to begin my speech by mentioning Europe's successes in space under the impetus of France: do you know, for example, that the number of users of the European geolocation system Galileo has just exceeded one billion people and that at the moment I am talking to you, your own smartphone is probably connected to the app? Beyond this success, there is also the discreet work of tens of thousands of scientific personnel working to advance their field of knowledge. On this point, let us not hide that material and human resources do not always meet expectations, and some research organisations are now recruiting permanent staff who have accumulated two or even three postdoctoral research contracts. In the face of this situation, the State had to react and that was what it had been doing for the past two years. The payment appropriations of the research and higher education mission are increased to 28.68 billion euros in the draft finance law for 2020, which represents an increase of more than 500 million euros compared to 2019. Between 2018 and 2020, the cumulative increase in the Mission's appropriations is more than €1.7 billion. In this context, through the funds allocated to the Centre national d'études spatiales, the CNES, the main operator of the 193 programme, France is again increasing its contribution to the European Space Agency by more than EUR 200 million. With regard to programme 172, which brings together most of the major national research organisations, the stability of payment appropriations, at EUR 6.94 billion, is mainly due to the completion of the recovery of the intervention capacity of the National Research Agency in 2018 and 2019. Apart from ANR, the programme's appropriations continue to increase by EUR 121.50 million. Despite this increase, there is still uncertainty as to what allocations will actually be allocated to agencies. According to the information provided to me during the hearing, a reserve rate of 4 % instead of 3 % could be applied to appropriations under programme 172, excluding Title 2. This mechanism would significantly reduce the Department's flexibility to meet the one-time needs of organizations in the fiscal year. I therefore call on the Government not to resort to such a plank, which would penalize, inter alia, the nuclear activities of ECA and the major health plans of INSERM. Finally, as last year, my report focused on the mechanisms for valuing public research and, more particularly this year, on the companies for accelerating technology transfer, the SATTs. Despite the criticisms they have sometimes faced, these structures are ideally positioned to connect universities and economic actors. Their performance is increasingly remarkable, as can be measured by the number of start-ups created and patents filed. The development of the SATTs, however, suffers from obstacles which are essentially linked to the objective of profitability assigned to them in the medium term and to the complexity of the legal framework for managing innovation in co-ownership. In this regard, I welcome the prospects for simplification offered by the so-called CAPTE law on business growth and transformation regarding the often very cumbersome procedures for appointing the single agent. I will conclude my speech by referring to the future prospects offered by the future multi-annual research programming law, of which it is little to say that it is much expected by the academic and research community. I have taken note of the conclusions made to the Prime Minister by the three working groups on 23 September, in the presence of the Minister of Research. All their recommendations seem bold and challenging to me. I note that the first group has focused on strengthening the intervention capacity of the ANR and aligning the French system with European standards. I will not surprise you by telling you that this proposal has a strong consensus on my part. [[Applause on the benches of the LaREM group]] In view of the discussions which will be taking place next year on these various subjects, I would like to thank you, ladies and gentlemen, for your attention and, on behalf of the Committee on Economic Affairs, for giving a very favourable opinion on the adoption of the appropriations for the research and higher education mission.
ParlaMint-FR_2019-10-28-O1044.u16	Mrs Elsa Faucillon, draftsman of the opinion of the Committee on Sustainable Development and Regional Planning, has the floor.
ParlaMint-FR_2019-10-28-O1044.u17	The work carried out for this opinion leads me to summarize it as follows: the financial efforts, which must be noted, essentially enable France to fulfil international commitments. This is of course commendable, but I must stress the weakness of the resources devoted to the major challenges of sustainable development and adaptation to climate change. If these were really priorities, this should be reflected in the figures and commitments we are discussing tonight. But that's not the case! Of course, the three programmes that fund research in these areas will see their funding increase again in 2020, and substantially, but these additional funds will almost entirely complement the funding of past commitments. This is true of the EUR 214 million affluence of the space research programme, which will finally make it possible to make up for our late payment to the European Space Agency. As for the €118 million supplement promised to the programme 172 "Multidisciplinary scientific and technological research", it will finance the effect in 2020 of the wage measures granted in 2017 and of the artificial intelligence plan launched in 2018. This is also true of the 190 programme "Research in the fields of sustainable energy, development and mobility", which will increase by €28 million to finance research on fourth generation nuclear reactors. While this draft budget, fortunately, bears the impact of past commitments, it does not reflect strong ambitions for energy transition. As you know, the many citizens – especially young people – mobilized by the climate emergency are demanding action. However, neither research in future themes nor the means of action of operators are strengthened, on the contrary. Thus, for several years, the subsidies for public service charges of operators do not take account of the increase in staff costs caused by the technical old age shift, the GVT. According to the calculations of the line ministries, the loss of profits amounts to around 30 million euros per year. This increasing pressure on their payroll has forced research organizations not only to give up the necessary recruitment, but even to reduce their workforce. In public science and technology institutions alone, EPSTs, more than 3,530 jobs were sacrificed between 2012 and 2018. There will therefore be no additional investment, through operator grants or national call envelopes, to strengthen research for sustainable development or even the energy transition, despite the urgency of the situation. That is why I hope that the amendment approved by the Committee on Sustainable Development, aimed at providing resources for the hydrogen plan – a commitment made by the President of the Republic in 2018, but which is not reflected in the budget under implementation or in the draft finance bill for 2020 – will win your support. We all agree, research is a key to our ability to respond to the increasingly difficult challenges facing our planet – and therefore, our humanity. It is it that allows us to understand natural and physical phenomena, and it is it that is most able to blow up certain locks and to bring out lasting solutions. Even as the resources devoted to nuclear research are growing significantly, I note that the appropriations for research on renewable energies are not progressing. They would even tend to decline, as evidenced by the decline in some state subsidies and the threat of an increase in the precautionary reserve applied to budgetary allocations. Fortunately, a few research organizations are able, through their perseverance, to maintain their investments. But they themselves could see their room for action decrease again in 2020, and their difficulties in recruiting the skills needed to meet the new challenges could worsen. The stagnation – not to say the deterioration – of the research resources dedicated to the energy transition is unjustifiable in view of the €6.5 billion in tax credit research that the Government is able to grant to national companies, some of which are notoriously flimsy with regard to these emerging themes, despite the strong ambitions proclaimed by the Government in this regard. [[Applause on the benches of the GDR and FI groups]] Research is about exploring and understanding the threats that some of us are already seriously affected by in order to better eliminate them. It is also, and perhaps most importantly, ensuring our progress and our collective future. In the light of these arguments, I personally give an unfavorable opinion on the appropriations for the research and higher education mission.
ParlaMint-FR_2019-10-28-O1044.u18	We will now hear the spokespersons of the groups. Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-10-28-O1044.u19	All budgets are important for the life of our country, but higher education and research have the particularity of making us take responsibility for the future, i.e. for the younger generations. This budget calls for thinking about the future, which implies taking a part of risk. It is thanks to the bets taken by our elders on the future that France has created a school of mathematics that has become the second in the world – of which we have a prominent representative in this Chamber. It is also thanks to these bets that France now has a Nobel-winning woman in economics, Esther Duflo. It was thanks to these bets that the French laboratories were able to impose themselves and transmit the taste of research to many students. I know, minister, your leitmotiv that this budget is on the increase. That is true: it increases facially by 535 million euros between the 2019 Finance Act and the 2020 Finance Bill. That should be stressed. However, I would like to show that this increase, however significant, will not be enough to solve the equation that our country is facing. If we believe that knowledge is a real asset, that it is valuable and that it must be widely shared, more needs to be done. The examination of expenditure per student, calculated on the basis of the 150 "Superior Training and University Research" programme and the 231 "Student Life" programme, reveals the following data, including inflation: from 6061 euros in 2017, they fell to 5915 euros in 2018 and then to 5884 euros in 2019. While the subject cannot be reduced to budgetary expenditure, this development is still unsatisfactory. It started before 2017, and your policy undeniably perpetuates this decline in spending per student. The analysis of the data you present in the budget documents – the famous blue ones – is also revealing. Thus, in programme 150, the percentage of an age group obtaining a diploma from higher education in initial training has declined since 2017. The licensing rate in three and four years also decreases in 2019. In programme 172 "Multidisciplinary scientific and technological research", France is ranked eighth in the world in terms of the number of articles published. There is also a decline in the share of international reference publications by programme operators in global scientific production. I am just quoting the figures from your budget documents, minister. All of these indicators – your indicators – show a setback that seems problematic to us. The Socialist and Allied Group and I have tabled amendments which are solutions that can counter this unfavourable trend. Our amendments aim to ensure that expenditure on public research reaches 1% of GDP. We also propose the creation of 2000 research posts, at a budget cost of EUR 100 million estimated on the basis of the data you have submitted to us. Last July, the extraordinary session of the National Committee for Scientific Research, which I attended, made a bitter observation: 300 positions of researchers and 800 positions of engineers and technicians disappeared between 2010 and 2017. It is true that at the time you were not in charge, minister. But today, that is the case, and it is up to you to breathe new life into research – especially since when you arrived in 2017, you had restored room for manoeuvre and economic growth, which you are not making full use of in this budget. [[Marie-Georges Buffet, Jean-Paul Dufrègne and Muriel Ressiguier applaud]] We want researchers to be able to regain freedom. Last year, I pointed out, as an illustration, that it was not by improving the candle that electricity was discovered. Research involves avoiding the need to work in isolation, which means removing calls for projects and giving real budget lines to laboratories. We have tabled an amendment to that effect. [[Applause on the SOC and GDR benches]] As far as students are concerned, our amendments aim to increase the appropriations for restoration; to improve Parcoursup, which still has some failures; to compensate for the decline in resources that universities will suffer as a result of your sponsorship reform; and finally, to increase the credits for foreign and French students with the lowest means, in order to reduce the fees to a level consistent with, in particular, the decision of the Constitutional Council of 11 October 2019.
ParlaMint-FR_2019-10-28-O1044.u20	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-10-28-O1044.u21	The Government is presenting us with a budget that is 1.9 per cent higher than in 2019. We welcome this increase in the current economic context, while noting that it remains relative, both higher education and research suffer from a lack of funding. This is not a recent situation, but a briefing note issued last Friday by the Directorate of Evaluation, Prospectiveness and Performance reveals that the average expenditure per student has reached its lowest level since 2008. Before entering the budget debate, the UDI Group, Action and Independents, Madam Minister, would like to know how the Government intends to understand the decision of the Constitutional Council of 11 October, in which it bases the requirement of free public higher education on the preamble of the 1946 Constitution, stating that there is no obstacle to the collection of modest registration fees. We renew our support for your initiative to promote the accessibility of large schools to scholarship students. It should be noted that public higher education has 38% scholarship holders, compared with 19% at the École Normale Supérieure or 11% at Polytechnique. Of course, we support the upgrading of student scholarships. Unfortunately, a large number of students are forced to devote a significant part of their time to a job in order to support their needs – time that they cannot devote to their studies. Our group will defend an amendment to revise the national scale of grants on social criteria. The latter does not take into account the specificities of the territories, and thus affects a number of students, particularly in Pacific communities. In the same vein, our group has tabled an amendment calling for intensified efforts to build student housing in order to achieve the target of 60000 new housing units by 2022. France spends 2.2% of its GDP on domestic R & D spending, i.e. around EUR 50.2 billion, while the European target is set at 3%. We will open a debate on the resources allocated to research, both in cancer prevention and in the fight against Lyme disease. We will also introduce an amendment to upgrade the state's allocation to Bpifrance, which increased from 250 million euros to 120 million euros between 2011 and 2019. The result of this reduction without compensation was to reduce the number of cases funded by Bpifrance by almost a third, even though this scheme is an essential pillar of French innovation. We will also come back to the lack of resources for art and design research, which is gradually weakening an entire ecosystem. Finally, we would like to make you aware, Madam Minister, of the importance of training in inclusive management for students in higher education enrolled in managerial courses, both in initial and continuing training. This training would promote access to the labour market for persons with disabilities, by preparing employers and human resources managers to accommodate them in the best possible way within enterprises. Before concluding, we welcome your ministry's commitment to €5 million in paediatric cancer research. This funding should facilitate the implementation of emerging projects. [[Applause on a few benches of the UDI-Agir group. – Mr. Francis Chouat also applauds]] The IUD group, acting and independent, will vote in favour of the appropriations of the mission "Research and higher education". Nevertheless, we hope to obtain encouraging answers to the questions we raise and to the amendments we propose.
ParlaMint-FR_2019-10-28-O1044.u22	Mr Michel Castellani has the floor.
ParlaMint-FR_2019-10-28-O1044.u23	The Libertés et Territoires Group welcomes the increase in higher education and research funding, which confirms the direction taken since 2017. The PLF for 2020 is drawing a satisfactory path with regard to the €500 million student plan target. We will pay attention to the use of these credits, and in particular to the correction of the imperfections of the Parcoursup platform. By the beginning of 2019, 1175 bachelors were still waiting for a proposal, and many pointed to inequalities in the number of proposals received by candidates. Will this budget be able to finance the necessary improvements? That's one of our questions. We are also dubious about the reform of health studies and its ability to meet a major objective: the fight against medical desertification. EUR 17 million is foreseen to enable universities to deploy this reform, of which EUR 6 million has already been disbursed. What actions do these investments translate into? That's another question. Other measures appear to be in the right direction, such as an increase in the number of grants awarded on social criteria in the preparatory classes, or an increase of 1.1 per cent in the grants awarded on social criteria. We also note with satisfaction the recent decision of the Constitutional Council on the principle of free public higher education. As my colleague M'jid El Guerrab pointed out, the increase in registration fees for non-Community students would have adversely affected the attractiveness of the French university. In addition, we would like to draw your attention to the issue of student housing and rent prices. The government set a target of 600,000 new student housing units in 2022. In the meantime, the number of these dwellings remains lower than needs, especially in the Paris region. Energy renovation of the university park is also required. Similarly, there is a great deal of concern about clause 50 of this bill. How does the government intend to compensate for the financial loss for higher education institutions resulting from the reduction in the tax reduction rate in favour of sponsorship for payments in excess of EUR 2 million? In this regard, we regret the decrease in funding allocated to the National Research Agency. We will present in the medical field an amendment by Jeanine Dubie aimed at increasing the means of research on Lyme disease, and in the energy field an amendment by Matthieu Orphelin in favour of the deployment of hydrogen. Human progress has always gone through scientific advances and the technological revolutions that have resulted from them. There lies the immense responsibility of research. It is therefore necessary to make this sector more attractive by increasing remuneration, increasing mobility, increasing our international visibility, and upgrading the PhD. We call for increased public investment in the essential sector of artificial intelligence, and more generally in basic and applied research. Among other priorities, we must engage in strong and focused research for a true technological revolution. Research needs to be stepped up in terms of equipment, processes, and the contours of a massive investment plan in the ecological and solidarity transition. We need to make progress in the intelligence of objects, in renewable energy technologies, in building, in transport and in logistics, in communication and in agriculture. This is not an option, but an obligation: we cannot continue to look at a future based on fossil fuels that are in the process of exhaustion. It should be recalled that the IPCC, the Intergovernmental Panel on Climate Change, considers that in order to avoid mass extinction, it is imperative to reduce greenhouse gas emissions by almost half. The painful challenges and the progress required for this transition are conceived. [[Applause on the benches of the LT group]] This will also go through our territories. We call for a better articulation of local and national funding. There is a need to develop a joint approach between the State and local and regional authorities, and to encourage their ownership of national research support tools. These issues must be at the heart of our debate and, more broadly, at the centre of the review of the future multi-year research programming law.
ParlaMint-FR_2019-10-28-O1044.u24	Mrs Muriel Ressiguier has the floor.
