ParlaMint-FR_2019-09-27-E2016.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-27-E2016.u47	Same opinion as the rapporteur. This notion of the best interests of the child effectively irrigates the entire bill. It is explicitly referred to in article 1, articles L.2141-2 and L.2141-10 of the Public Health Code. In addition, the best interests of the child is a principle of international law, explicitly mentioned in the International Convention on the Rights of the Child, whose thirtieth anniversary we will celebrate on 20 November. Unfavorable opinion.
ParlaMint-FR_2019-09-27-E2016.u48	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-09-27-E2016.u49	[[Exclaims on a few benches of the LaREM group]] We must avoid drawing up a talkative law, but since repetition has a pedagogical virtue, the best interests of the child must be regularly invoked in the text. This was an opportunity to do so, and I note that the Government does not seize it.
ParlaMint-FR_2019-09-27-E2016.u50	This isn't the first time!
ParlaMint-FR_2019-09-27-E2016.u51	I have before me two amendments, Nos 907 and 906 which can be presented together. Mr Thibault Bazin has the floor to support them.
ParlaMint-FR_2019-09-27-E2016.u52	[[Smile]] They aim to extend the assessment of the two members of the couple or the unmarried woman to non-strictly medical dimensions. The Government had rightly planned "a medical and psychological assessment", and we made the mistake of excluding the second term in the commission. This was in no way stigmatizing, but was part of an ethic of vulnerability for the benefit of parents, single women and children. We must integrate all the dimensions that characterize a situation. Amendments Nos 907 and 906 allow this by introducing a psychological and social assessment for the former and a social assessment for the latter. These are sort of editorial amendments.
ParlaMint-FR_2019-09-27-E2016.u53	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u54	Since yesterday, Mr. Bazin has had fun with the word "editorial", but he does not deceive anyone!
ParlaMint-FR_2019-09-27-E2016.u55	You too, Mr. Rapporteur!
ParlaMint-FR_2019-09-27-E2016.u56	You are teasing, Mr Bazin, but no, these amendments are not editorial. In an intentional and concerted manner, the Commission wanted to define the composition of the multidisciplinary team, including all relevant actors: doctors, nurses, biologists, psychologists... We don't hear anyone stigmatizing. When an amendment introduces a social or psychological assessment for single mothers or women's couples, it suggests to those concerned that they are weak and should be protected. However, all are equal and capable of procreation, if the indication of AMP is retained. The multidisciplinary team then mobilizes to support them and develop their project. I understand your intention, Mr. Bazin, and I know that it is commendable. I don't make you any trial of intent, but I'm worried about how the law can be heard – because, even more than what we say, what matters is what is being heard.
ParlaMint-FR_2019-09-27-E2016.u57	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u58	Same opinion.
ParlaMint-FR_2019-09-27-E2016.u59	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-09-27-E2016.u60	The rapporteur's argument would be made if this type of psychological assessment did not already exist for other situations of paternity and maternity, in particular for adoption.
ParlaMint-FR_2019-09-27-E2016.u61	He's right!
ParlaMint-FR_2019-09-27-E2016.u62	Yes!
ParlaMint-FR_2019-09-27-E2016.u63	Psychological assessment already exists for heterosexual couples on journeys from LDCs, and no one considers it to be stigmatizing. By removing it, there is a risk of restricting the criteria on which multidisciplinary teams can justify a refusal. Regardless of their situation – single women, couples of women or heterosexual couples – some people are not ready to accept a child. Perhaps they will be later, if they carry out work on themselves and on their parenting project. This assessment is a matter of psychology. If the psychological assessment is no longer included in the text, what argument will the teams base on to refuse a project – at least initially – and possibly recommend a complementary approach by other multidisciplinary teams? Do we have to understand that you are systematically opening up the right to the child?
ParlaMint-FR_2019-09-27-E2016.u64	Mrs Martine Wonner has the floor.
ParlaMint-FR_2019-09-27-E2016.u65	Your intentions are commendable, and we have raised this specific issue together in committee. However, what are we talking about here? Is this really a psychological assessment, supposed to be dispensed by psychologists using a battery of tests leading to scores? Are they not psychological interviews, as they have been carried out, with heterosexual couples by members of the clinical-medical-psychological teams since the MPA existed? Together, in committee, we supported an amendment to clarify which professionals should be members of the multidisciplinary and competent team to conduct psychological interviews. At a time when we are expanding access to the least developed country to all women, it would be particularly stigmatizing to include the concept of psychological assessment in the law. [[Applause on several benches of the LaREM group]] In short, we fully share your concern, but we are already responding to it.
ParlaMint-FR_2019-09-27-E2016.u66	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-27-E2016.u67	As a mere Member of Parliament, I do not have the expertise of my colleague in this area! I have simply listened to the experts who have been heard by the committee. Psychiatrists from multidisciplinary teams reported that the negative opinions they could give after psychological interviews were not always taken into account. However, the role of these interviews is to feed decision-making. [[Applause on the benches of the LR group. – Mrs Agnes Thill also applauds]] Mr rapporteur, you seem to be moving into an ideal world where everything is fine and where applicants should be systematically accompanied to the AMP. However, a medical assessment, as well as a psychological or social assessment, may lead to a refusal. If you think that only the medical assessment must justify a refusal of AMP, while the other conditions are not met in the child's interest, make it clear! Nor does the Government intend to stigmatize anyone. However, let us be aware that some applicants may have psychological problems, and that professionals may find it difficult to impose an MPA refusal accordingly. We have to help them. The law is also there to protect them, just as it must protect people in vulnerable situations. I do not place myself in the perspective that everything will be okay: it is rather a matter of preventing it from going wrong...
ParlaMint-FR_2019-09-27-E2016.u68	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-09-27-E2016.u69	I understand that the procedure necessarily provides for an interview with a psychologist, Mrs. Wonner. But at this stage of our debate, we need to clarify one element that the commission has left in the shadow: the ability of a multidisciplinary team to pronounce under the most objective possible criteria a refusal that can be heard and understood by a woman alone or a couple wishing to resort to an MPA. Apart from medical arguments, on what grounds can a multidisciplinary team rely on? The answer remains rather vague. When a multidisciplinary team opposes a negative decision to a person or a couple, what are the "appeals"? What happens if a single woman or a couple goes to another AMP centre and receives an adversarial opinion with the first one? Which one prevails? What certainty can a multidisciplinary team have that a woman or a couple with whom she has detected a real problem, even temporary, will not address another centre that will give her reason?
ParlaMint-FR_2019-09-27-E2016.u70	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-09-27-E2016.u71	This issue is absolutely not anomaly, and refers to the debate we had last night on domestic violence. The Government rejected amendments to ensure that persons requesting an MPA had not been involved in such violence. In any case, we must protect the weakest. Let us guard against a systematically liberal – even libertarian – vision, in the words of Charles de Courson. This is in the interests of children, an issue that cannot be dealt with by decree. As legislators, we must ensure, on behalf of society, that our children will be well protected.
ParlaMint-FR_2019-09-27-E2016.u72	Mrs Martine Wonner has the floor.
ParlaMint-FR_2019-09-27-E2016.u73	The decree to be adopted by the Council of State will determine the composition of the multidisciplinary teams, i.e. the professionals and the skills to be represented. Today, on the contrary, teams do not always have the same skills throughout the territory. Once again, since the beginning of the discussion of this text, we are talking first and foremost about the parenting project.
ParlaMint-FR_2019-09-27-E2016.u74	I'm talking about the child!
ParlaMint-FR_2019-09-27-E2016.u75	The parental project indeed deserves to be discussed, evaluated and accompanied, but we are not there to stigmatize future parents who would have suddenly had the desire to resort to a LDC. On the contrary, they are embarking on a long journey, demanding a real investment. Should a psychologist or psychiatrist have any power to judge their ability to accommodate a child in a single assessment?
ParlaMint-FR_2019-09-27-E2016.u76	That's not what we're saying!
ParlaMint-FR_2019-09-27-E2016.u77	Instead, we want a team of particularly competent professionals to create a discussion of trust around a real project and to accompany applicants. In this accompaniment, in these interviews that you want to stigmatize by talking about "psychological assessment", it is not a question of assessing the parents' IQ, their degree of depression or stress; This is an environment that will allow for a period of time to accompany the parenting project. [[Exclaims on the benches of the LR group]] [[Applause on several benches of the LaREM group]] To answer your question, which was outside the scope of this amendment, what is going on and what are the remedies? If something, at one point in the journey, does not "work" in the relationship with the doctor, the couple or the woman alone will be able to meet another team on another site, although we do not know what this can represent in terms of emotional burden and administrative burden.
ParlaMint-FR_2019-09-27-E2016.u78	It's no use, then!
ParlaMint-FR_2019-09-27-E2016.u79	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-09-27-E2016.u80	I find it hard to understand why you fear this notion of psychological assessment. Many doctors told us during the hearings, the mental burden is higher for a child born of an MPA, for parents who use an MPA. It is a psychological, human reality; It's not insulting to anyone to say it. Professionals say it – you yourself are one, Mrs.Wonner, which is why I am surprised at the precautions you take. It was also said that the MPA open to single women could be frail, both for mothers and for children to come. This has been said by professionals and by a number of Members on all benches. The precautionary principle must lead to the recognition that there may be danger – not that this situation necessarily leads to fragility, but it is an additional risk factor. Therefore, these risks should be addressed in the multidisciplinary assessment. In the face of a normal, human reality, you are sometimes afraid of words. On the other hand, I had tabled an amendment which was rebutted. I drafted it after hearing the minister speak in a special committee about couples who, having been denied access to the LDC, were "tourism" – I would like to take up the word she used. The purpose of the amendment was therefore to create a national register. In the current state of affairs, indeed, if a multidisciplinary team considers that it is not desirable for a couple, or a single woman, to use the AMP, the latter or the latter will be able to continue its tour of France until obtaining a favourable opinion. I imagine that the amendment was rebutted because it created a burden for the State, but I would like us to reflect on this issue at second reading, which I believe is important and which joins that of the utility of the multidisciplinary committee.
ParlaMint-FR_2019-09-27-E2016.u81	All right!
ParlaMint-FR_2019-09-27-E2016.u82	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-09-27-E2016.u83	I want to make it clear that I'm not a health professional... With these amendments, you propose not only a medical assessment, but also a psychological and social assessment. As we open the LDC to women's couples and single women, would you like to change what is being done today for heterosexual couples?
ParlaMint-FR_2019-09-27-E2016.u84	It's you who do it by removing the psychological dimension!
ParlaMint-FR_2019-09-27-E2016.u85	I am not convinced, Mr Hetzel, that it would be appropriate to explain to the latter, who have been using this medical practice for more than 35 years, that because all women are given the same right, their conditions of access should be restricted. Indeed, the amendment resulting from these amendments would apply to all beneficiaries of the LDC – lesbian couples, heterosexual couples and single women. In the past, everyone has been keen to reform, in this area, at a constant right for heterosexual couples. We are committed to it today.
ParlaMint-FR_2019-09-27-E2016.u86	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2019-09-27-E2016.u87	I would like to look back on what our colleague Annie Genevard has said about the supposedly greater fragility of children from the AMP – children who have already come into the world in heterosexual couples. It seems to me that this fragility is not linked to the mode of conception, but rather to the secrecy that is being imposed on these children. [[Laurence Vanceunebrock-Mialon applauds]] I hope that we will have this discussion in mind when dealing with articles 3 and 4, which deal with access to origins and the establishment of filiation. Continue to deny the need for all parents to tell their child how it was conceived to maintain this psychological pressure related to the unsaid. The fragility of these children is not due to the intention of the couple, the parenting project, but to what happened after their birth. It will have to be kept in mind, because it does not seem to me that in committee, you were all committed to the idea of lifting the secret for children born by AMP heterosexual couples...
ParlaMint-FR_2019-09-27-E2016.u88	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-09-27-E2016.u89	Some of the implication in Mr. Chiche's remarks may suggest homophobic intentions on our part.
ParlaMint-FR_2019-09-27-E2016.u90	Not at all!
ParlaMint-FR_2019-09-27-E2016.u91	Let's be clear: we're obviously not on this ground...
ParlaMint-FR_2019-09-27-E2016.u92	Bravo!
ParlaMint-FR_2019-09-27-E2016.u93	...and I wouldn't want us to slip into it. The law in force requires medical and psychological maintenance; the bill removes the psychological dimension. Why should it disappear when it existed for the expansion of the LDC, which it applied precisely to couples who could already resort to it? Don't turn away the debate! The question is very simple: why delete the word "psychological" in the text, and therefore in our legislation? It is not that we take this term for ourselves, but we consider it to be in the best interests of the child. Obviously, some do not want to hear it, and that is why we will continue to fight.
ParlaMint-FR_2019-09-27-E2016.u94	Mrs Martine Wonner has the floor.
ParlaMint-FR_2019-09-27-E2016.u95	Mr Hetzel, it seemed to me that I had explained enough – but I can do it again so that there is no doubt, to ensure a secure accompaniment to our debate. It is essential not to deviate from a step, from a toe, from the best interests of the child. I think we all agree on that. What are we talking about? What appears, or does not appear, in this text? We have secured the accompaniment of the parents, or of the mother alone, since – I would like to insist on this measure – we open the LDC to all women. Whatever their situation, they will have access to this clinical-biological team. At the time of these exchanges, the parents or the single mother will receive a guide detailing various elements, and which will also specify, provided that you adopt my amendment No. 2507...
ParlaMint-FR_2019-09-27-E2016.u96	We adopted one. Not two, though!
ParlaMint-FR_2019-09-27-E2016.u97	... the places where parents who would need to continue this dialogue, this reflection on psychological accompaniment, will be able to visit. This is already planned today, not for all couples – a heterosexual couple without third-party donors does not necessarily need a psychological assessment, let alone a psychological interview – but for LDCs with third-party donors. Since the beginning of this week, we have opened the LDC to all women...
ParlaMint-FR_2019-09-27-E2016.u98	Not yet!
ParlaMint-FR_2019-09-27-E2016.u99	...and it is only at that time that you want to see this psychological dimension included in the law. This should not be done. I also encourage you to read the report I have just issued...
ParlaMint-FR_2019-09-27-E2016.u100	No advertising here!
ParlaMint-FR_2019-09-27-E2016.u101	... on the accompaniment in France of people in psychic suffering. We must get out of the medical power, out of the psychological assessment, and trust the professionals who will accompany the child, the ones who will accompany the parents in their project. I'm not talking in a loop, Mrs. Genevard; I even think we fully agree.
ParlaMint-FR_2019-09-27-E2016.u102	Will the multidisciplinary team be able to say "no" for psychological reasons?
ParlaMint-FR_2019-09-27-E2016.u103	No, she won't be able to oppose it!
ParlaMint-FR_2019-09-27-E2016.u104	If you knew how important this is to us all! The clinical-medical-psychological team will do this accompaniment work. I repeat, we agree!
ParlaMint-FR_2019-09-27-E2016.u105	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-09-27-E2016.u106	I would just like to recontextualize, because the key to what we are talking about here is the meaning we give to the word "medical." The French health culture is still marked by a rather sectoral approach. We want to define the steps that we believe are necessary, within the evaluation, to have the most comprehensive approach possible and to ensure the proper reception of the child in the future. Such an approach is part of a comprehensive approach to health, which covers a range of dimensions that are difficult to identify. WHO – the World Health Organization – sees this as "a state of complete physical, mental and social well-being", and this definition still seems too narrow, because health is a dynamic, an adaptability, a capacity to cope in difficult situations. With regard to the design of a child, it is essential to take this into account. That will be the subject of my next amendment.
ParlaMint-FR_2019-09-27-E2016.u107	Amendment No 906 has already been defended.
ParlaMint-FR_2019-09-27-E2016.u108	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 2542.
ParlaMint-FR_2019-09-27-E2016.u109	This amendment seeks to ensure that the medical assessment – whose very name ensures the existence of expertise – takes into account a comprehensive approach to health, which integrates all its dimensions, including social and psychological dimensions. The multidisciplinary team as a whole will ensure that all the elements that have been exchanged and crossed are conducive to the design of a future life. The only mention of the medical dimension, as set out in paragraph 30, is too limited to guarantee the necessary discernment which must accompany the decision to conceive a child. It seems to me very important that this notion of global health on which we have agreed at the international level – I refer you to the Ottawa Charter – appear in the evaluation process.
ParlaMint-FR_2019-09-27-E2016.u110	Even a congresswoman from the majority thinks like us!
ParlaMint-FR_2019-09-27-E2016.u111	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u112	I call for the withdrawal of this amendment, which is already satisfactory, as Mrs Tamarelle-Verhaeghe is well aware, since the medical activity itself is directed towards health as a whole, not just towards the treatment alone. We have discussed this at length in the last few days. The WHO defines health as a state of complete physical, mental and social well-being, which is not just a lack of illness or disability. This comprehensive approach to health is guaranteed by the physician and the multidisciplinary team. It is therefore not necessary to overload the law by detailing what is already very clearly implied when there is a medical activity. To my colleagues on the right, I would say that it is entirely legitimate to wish that the psychological state of all applicants, whether they are heterosexual couples, homosexual couples or single women, be taken care of. It's a normal demand in any medical activity. Why do you want to insist on it now? The text is modelled on those governing adoption. As far as I know, the psychological problems in cases of AMP or adoption are not fundamentally different. It will be possible to detail these measures in the good practice guides, but it is not up to the law to define each action. [[Smile. – Ms Laurence Vanceunebrock-Mialon applauds]] If I may, I will quote John Paul II, which only happens to me very exceptionally – in this case, his formula responds well to our situation, even in a world that is not perfect, Mr Bazin: "Don't be afraid".
ParlaMint-FR_2019-09-27-E2016.u113	You have good references!
ParlaMint-FR_2019-09-27-E2016.u114	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u115	This notion of global health now irrigates all of our professionals and our conception of health, Tamarelle-Verhaeghe. For the same reasons, I would ask you to withdraw this amendment, which is satisfactory, failing which I will give an unfavourable opinion.
ParlaMint-FR_2019-09-27-E2016.u116	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-27-E2016.u117	I will have another quotation, which can make us all humble before our task: "The future of humanity exceeds those who engage in politics". It's also very interesting. [[Mrs. Agnes Thill applauds]] When a psychiatrist is of the opinion that an MPA application should not be granted, will it be taken into account or not? This fundamental issue emerged from our hearings. You always tell us about a dream world where everything would be fine. When experts express their disagreement, what happens? It is no longer just a question of accompaniment or support.
ParlaMint-FR_2019-09-27-E2016.u118	The psychiatrist is a doctor whose opinion is taken into account.
ParlaMint-FR_2019-09-27-E2016.u119	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-09-27-E2016.u120	I'll add a clarification. The training provided to doctors now teaches them to understand health in a comprehensive way. Our generation – in any case mine – does not have this culture. In this context, in which the global approach, while increasingly dominant, is not generalized, it seems important to me to secure the device by recalling the need to take into account all the dimensions of health, not only for parents but also for their future child. It's not so obvious that we could believe it.
ParlaMint-FR_2019-09-27-E2016.u121	You count better than President Ferrand!
ParlaMint-FR_2019-09-27-E2016.u122	[[Smile]] I took courses in arithmetic. I have before me several identical amendments, Nos 1519, 1832, 1927, 2210 and 2341. Identical amendments No. 1519 by Mrs Emmanuelle Ménard, No. 1832 by Mr Patrick Hetzel, No. 1927 by Mrs Agnes Thill and No. 2210 by Mrs Annie Genevard are defended. I call Mr Thibault Bazin to support Amendment No. 2341.
ParlaMint-FR_2019-09-27-E2016.u123	Let's not talk. The Penal Code already prohibited such discrimination, so paragraph 30 was unnecessary. We therefore propose that you delete it, which will at the same time save paper and make an ecological gesture.
ParlaMint-FR_2019-09-27-E2016.u124	What is the opinion of the committee?
ParlaMint-FR_2019-09-27-E2016.u125	The committee is against these amendments.
ParlaMint-FR_2019-09-27-E2016.u126	What a surprise!
ParlaMint-FR_2019-09-27-E2016.u127	[[Laurence Vanceunebrock-Mialon applauds]] We do not wish to remove the principle of non-discrimination. I replied earlier to those who wished to register it once again that it was not being reminded of all the lines of the law, but it seems appropriate to include it, if only once, especially since it is here in its place.
ParlaMint-FR_2019-09-27-E2016.u128	What is the Government's opinion?
ParlaMint-FR_2019-09-27-E2016.u129	Strongly unfavorable opinion. We are committed to the assertion of this principle of non-discrimination, which we do not want to see removed as you propose.
ParlaMint-FR_2019-09-27-E2016.u130	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-09-27-E2016.u131	Of course, we too are committed to the principle of non-discrimination, but the rapporteur and the Secretary of State are very inconsistent here. When we proposed to include the physician conscience clause in section 1, we were told that this was not necessary because it was already included in the general health code and therefore the question did not arise. However, the principle of non-discrimination is included in the Criminal Code and is therefore automatically applied as well. Does it happen to you from time to time to be consistent? In this case, there is a real problem. Either the principles are systematically recalled, whether they are non-discrimination or the conscience clause for health professionals, or none.
ParlaMint-FR_2019-09-27-E2016.u132	That's right!
ParlaMint-FR_2019-09-27-E2016.u133	[[Applause on the benches of the LR group – Mrs Agnes Thill and Emmanuelle Ménardapplaud also]] This variable geometry logic is incomprehensible. You use an argument when it suits you and another when you change your mind! This is not the way to write the law!
ParlaMint-FR_2019-09-27-E2016.u134	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2019-09-27-E2016.u135	I fully understand the rapporteur's arguments, even if I would be in favour of including the principle of non-discrimination in the law whenever possible, because of the experiences reported to us. I met with representatives of the CECOS at the hearings, as did you. I looked at the sociological studies of Laurence Hérault, who toured the CECOS to understand their practices. The prohibition in the law of discriminatory practices did not put an end to it on the ground, so it is necessary to recall this prohibition in this specific part of the text, in order to put an end to discrimination against transgender persons and not to create new discrimination on the grounds of sexual orientation. While lesbian couples will be able to access the AMP, it seems to me very important to maintain this precision, because daily practices attest to the survival of such cases. I come back to Mrs Genevard's proposal to create a national register. This proposal may be of interest, but let us bear in mind that practices differ widely from one centre to another. I exchanged last week with a director of CECOS whose name I will keep quiet, but whose words have taunted me. If we were to accept this proposal, it would no longer be possible for a person who had the bad luck to depend on a CECOS whose practices are clearly discriminatory, homophobic or transphobic, to approach a CECOS more benevolent towards heterosexual couples with a transgender member. It is therefore important to maintain the reference to the principle of non-discrimination in order to recall that discrimination is no longer possible in our country.
ParlaMint-FR_2019-09-27-E2016.u136	Mrs Agnes Thill has the floor to support Amendment No. 1566.
ParlaMint-FR_2019-09-27-E2016.u137	I'll take it off.
ParlaMint-FR_2019-09-27-E2016.u138	The identical amendments No 2125 by Mr Raphaël Gérard and No 2223 by Mr Jean-Louis Touraine are editorial.
ParlaMint-FR_2019-09-27-E2016.u139	Amendment No 2232 by Mrs Annie Genevard is being defended.
ParlaMint-FR_2019-09-27-E2016.u140	Mr Jean-Louis Touraine has the floor to support Amendment No. 2224.
ParlaMint-FR_2019-09-27-E2016.u141	This amendment seeks to provide applicants with information on the benefits and risks associated with reproductive health assistance. As we have repeated, this journey is neither simple nor without risks. It is important that those who give consent be fully informed. The committee gave a favourable opinion.
ParlaMint-FR_2019-09-27-E2016.u142	What is the Government's opinion?
