ParlaMint-FR_2019-02-13-O1147.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-13-O1147.u34	Unfavorable opinion. As the minister said at the end of the afternoon session, the academic director of the national education services – DASEN – will be empowered to attend all children, and therefore foreign children, once they are brought before him by an association or even by the mayor of the commune – although this case is rarer, because it is often he who is recalcitrant. Therefore, the amendment is satisfied.
ParlaMint-FR_2019-02-13-O1147.u35	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u36	Same argument. For the sake of brevity, I shall add only one point which we have not yet mentioned. Compulsory education at the age of 3 will provide a useful legal basis for national education staff involved in the schooling of Roma children. It will even make progress through this text. But, in any case, the education code already provides the means to educate these children.
ParlaMint-FR_2019-02-13-O1147.u37	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2019-02-13-O1147.u38	Madam rapporteur, Minister, I thank you for your answers, but in fact the legal means you mention are not sufficient. In addition, compulsory education at the age of three will not solve the problem I raise. Today, the Mayor of Chilly-Mazarin, to go back to this example, invokes the lack of permanent residence of the children to refuse their schooling. How will the reform change its position?
ParlaMint-FR_2019-02-13-O1147.u39	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-02-13-O1147.u40	I am afraid that, earlier, the minister did not hear my question about means, while this is a matter of great concern to the mayors. Will the costs of the reform – and the additional costs of caring for children who are not ready to go to school – be borne in full by the town halls and local authorities, or does the state have an envelope?
ParlaMint-FR_2019-02-13-O1147.u41	I'll answer it.
ParlaMint-FR_2019-02-13-O1147.u42	I have two identical amendments before me, Nos 514 and 515. I call Mr Patrick Hetzel to support Amendment No. 514.
ParlaMint-FR_2019-02-13-O1147.u43	To go in your direction, minister, I'm going to be pragmatic. If you insist on making schooling compulsory at the age of 3, some adjustments must be made. With this amendment, we propose that paragraph 2 be supplemented by the following clarification: "A return in the course of the year may be considered for children who have not reached the age of 3 years on the day of their return to school. It is important to clarify in the text that schooling will only be compulsory from the age of three.
ParlaMint-FR_2019-02-13-O1147.u44	Mr Xavier Breton has the floor to support Amendment No. 515.
ParlaMint-FR_2019-02-13-O1147.u45	There is a need for flexibility and a pragmatic solution to the situation of children who are 3 years old in the course of the year. Again, we have given up the debate on principles – we continue to challenge yours –; We only try to limit the breakage by looking for the least bad solution. For the rest, I would remind you that Mr Di Filippo has asked you twice to take over the costs and additional costs of the reform, which I do not imagine were not calculated, in the budgetary context we know. Finally, pedagogies, especially the Montessori pedagogy, show that the acquisitions are not optimal between 3 and 5 years. Did you take that into account? Let us beware of a unique thought that does not rely on any specific study, while some pedagogies, especially the Montessori pedagogy, obtain very personalized results. Would your scheme have deliberately ruled them out?
ParlaMint-FR_2019-02-13-O1147.u46	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u47	Unfavorable opinion. For all purposes, I recall that 98 per cent of children are already in school at 3 years of age, including those born in the last quarter, thus between September and December.
ParlaMint-FR_2019-02-13-O1147.u48	Absolutely!
ParlaMint-FR_2019-02-13-O1147.u49	Reform will not radically change the situation. Children will go to school in their third year, regardless of their month of birth. That is the case at the moment. One more word: a reflection is under way in order to offer the best conditions of reception to kindergarten children, especially in small sections. It is largely based on those found in early childhood institutions and schools of the Montessori type, which offer very good leads. Children welcomed to school will spend the day in a peaceful and spacious environment, where they can also take a nap.
ParlaMint-FR_2019-02-13-O1147.u50	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u51	I will answer on various points. Let's start with the question of means. I have already recalled some demographic data. In the next school year, 50000 to 60000 children will be accommodated each time less than the previous year. The reform will add some 25,000. As a result, there will be fewer pupils in kindergarten each year. So there's no need to fear I don't know what tidal wave. On the other hand, Mr Di Filippo, I note a flaw in your reasoning. Today, among three-year-olds, there are not 97% of clean children – those who already go to school – and 3% who are not – who will have to be taken in suddenly, which would create a new burden. From a practical point of view, children who would not have been in school without this reform will be divided into the system. Only a few places, for example, in the overseas territories and in certain neighbourhoods, will have a certain concentration. But we will not see a mass phenomenon that would change the situation of the communes. In most of them, we'll have one more child here or there. Thirdly, you asked me about the means that we will make available to the municipalities to compensate for the additional costs of compulsory education from the age of three. There will be. We will return to that when we consider Article 4. I do not go back to the rapporteur's arguments. Having said that, Mr. Breton, I recommend reading the complete works of Maria Montessori. It recommends that children attend school when they are old enough to enter kindergarten. [[Applause on several benches of the LaREM and MODEM groups]] We will not spend the evening on this subject, but one of the characteristics of his pedagogy is to mix the small, the average and the large section. The mixture of 3, 4 and 5 year old children is one of the educational virtues that can be expected from kindergarten. Therefore, if we summon Maria Montessori, it will be at the service of the reform that we propose to you.
ParlaMint-FR_2019-02-13-O1147.u52	Mrs Françoise Dumas has the floor to support Amendment No. 829.
ParlaMint-FR_2019-02-13-O1147.u53	The amendment is intended to include in the law that compulsory education from the age of 3 does not prevent a flexible assessment of the attendance of pupils in the small kindergarten section, so that they can take a nap at home when the capacity of the dormitories does not allow for the reception of all pupils in satisfactory conditions. The obligation of attendance already existed when the child was voluntarily enrolled before 3 years of age, but was applied flexibly. The young child's interest is also to take a nap in good conditions and, if he feels the need, to do it at home. In practice, a large proportion of very young students in small sections attend school only part-time in the morning and are kept at home in the afternoon by the parents, since dormitories do not always allow all students of this level to receive in good conditions.
ParlaMint-FR_2019-02-13-O1147.u54	What is the opinion of the committee?
ParlaMint-FR_2019-02-13-O1147.u55	The amendment is satisfied. No one forces children to be half boarders. Some schools accept children in the afternoon after nap, some at 13.30, others at 15.00, others at 13.30 or 15.00. There is therefore no obligation in this area.
ParlaMint-FR_2019-02-13-O1147.u56	Do some students go home and take a nap?
ParlaMint-FR_2019-02-13-O1147.u57	That exists. A kindergarten student is not required to be a half-boarder. For now, he can go back to school in the afternoon. After the reform, he will be obliged to do so.
ParlaMint-FR_2019-02-13-O1147.u58	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u59	Same opinion.
ParlaMint-FR_2019-02-13-O1147.u60	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u61	[[Applause on the benches of the LR group]] Again, this is a common sense amendment. It is interesting to see that our colleagues, including on the benches of the majority, are fully aware that the question arises for young children. The child's rhythms and best interests must be taken into account. Indeed, this common sense amendment only takes into account the best interests of the child. The arguments that you are using, Mr Minister, the rapporteur, to reject this amendment are incomprehensible and show that you do not take into account the best interests of the child. That seems extremely serious to me.
ParlaMint-FR_2019-02-13-O1147.u62	On the identical amendments Nos 115 and 295, the Republican Group is asking for a public vote. The vote is announced in the National Assembly. I have before me a number of amendments, No 1005 corrected, 115 and 295, which can be discussed jointly. Amendments Nos 115 and 295 are identical and are the subject of a sub-amendment No 1128. I call Mrs Emmanuelle Ménard to support Amendment No. 1005 as corrected.
ParlaMint-FR_2019-02-13-O1147.u63	I propose, with this fallback amendment, that the text should be adapted to the needs of children. I join my colleague from La République en marche Françoise Dumas. While the vast majority of children are already in school at 3 years of age, attendance rules are more flexible up to 6 years of age, since education is not currently compulsory until 6 years of age. This allows parents who have the opportunity to put their child in school half-time, with kindergarten students having very little activity in the afternoon. Some parents prefer to get their child back so that he can have lunch and take a quiet nap at home. This flexibility also allows for one-off absences in the event of fatigue. It seems to me very important to maintain this tolerance at an age where development and the needs of children can be very uneven. A school of trust is first of all a school that adapts, not a uniform school, which crashes. It is also a school that respects parents' educational choices, recognizing that parents are best placed to know their children's needs and decide what is good for them. That is why my amendment also points out that parents can choose a home education. I think it is important to reaffirm this fundamental freedom forcefully, because your measure, which was already advocated by Vincent Peillon and Najat Vallaud-Belkacem, reflects a dangerous vision of the relationship between the State and families, which is a defiance of parents. There is a will to disclaim the latter, to dispossess them of their educational mission, whereas it is, in fact, theirs: it is not granted to them by the State. However, de-responsibility is not without consequences. Teachers keep reminding and warning us: they cannot and do not want to educate in the place of parents.
ParlaMint-FR_2019-02-13-O1147.u64	I call Mr Patrick Hetzel to support Amendment No. 115.
ParlaMint-FR_2019-02-13-O1147.u65	The purpose of this amendment is to be as close as possible to the interests of the child, by providing for a temporary arrangement of attendance at the request of the family, in a dialogue with the school principal. It is intended to insert the following provision in the Education Code: "For the first year of nursery school, temporary adjustment of attendance of the child may be proposed by the family, according to the special needs of the child, and in a dialogue with the school principal. The aim is to ensure dialogue between the school institution, through its representative – the school principal – and the family, and above all to ensure that the interests of the child are taken into account as a matter of priority. Families who have opted for home-based education put forward as the first argument the consideration of the child's specific interests and needs, particularly in the early years.
ParlaMint-FR_2019-02-13-O1147.u66	I call Mr Reiss to support Amendment No. 295.
ParlaMint-FR_2019-02-13-O1147.u67	This amendment is inspired by the same philosophy as Amendment No 829. The majority group had proposed the same provision in committee, with an amendment of which the first signatory was Mrs Brugnera. This demonstrates the importance of providing flexibility, of ensuring a form of progressivity at the start of schooling. I would like to point out that the new Article 4a, adopted in committee, derogates from Article L. 131-2 of the Education Code by allowing children aged 3 to 6 to attend school during the school years 2019-2020 and 2020-2021, in "a collective care facility which exclusively receives children over two years of age, known as "kindergarten". If it is so important to be educated from 3 years old, explain why there are still derogations. The derogations that we propose could become the rule.
ParlaMint-FR_2019-02-13-O1147.u68	Mrs Beatrice Descamps has the floor to support sub-amendment No. 1128.
ParlaMint-FR_2019-02-13-O1147.u69	I fully agree with Mr Hetzel. Improvements may be necessary for a variety of reasons, such as disability or immaturity. I welcome the role of the school principal. However, I think he should be accompanied; Indeed, such a decision should not be adopted by a single person, as the criteria may differ according to the directors. I propose, by this sub-amendment, that the dialogue also take place with the school doctor. The school psychologist could also be involved.
ParlaMint-FR_2019-02-13-O1147.u70	On Article 2, I am seized of a request for a public vote by the La République en marche group. The vote is announced in the National Assembly. What is the opinion of the committee on this series of amendments?
ParlaMint-FR_2019-02-13-O1147.u71	These amendments are largely in contradiction with the objectives we are pursuing. Since the beginning of this discussion, we affirm – in accordance with the purpose of article 2 – that kindergarten is important...
ParlaMint-FR_2019-02-13-O1147.u72	We do not say otherwise!
ParlaMint-FR_2019-02-13-O1147.u73	... and that it is essential that the student be assiduous to benefit from the apprenticeships. We cannot say that while, through this amendment, saying that going to school or not going to kindergarten is indifferent.
ParlaMint-FR_2019-02-13-O1147.u74	We're talking about the little section!
ParlaMint-FR_2019-02-13-O1147.u75	[[Claims on several benches in the LR group]] This is totally in contradiction with our objectives. You can't say it's not important to go to kindergarten in the afternoon. On the other hand, we have already had a lively debate on relations between school and the family during the discussion of the amendments to the additional article after Article 1. I repeat that there is absolutely no question of maintaining any mistrust of families. I note, however, that on some benches there is a strong – but historical – distrust of the school. I suggest that we do not come back at this time, because we have had the opportunity to discuss at length the respective place of the family and the school.
ParlaMint-FR_2019-02-13-O1147.u76	Then don't attack us!
ParlaMint-FR_2019-02-13-O1147.u77	No one disputes that parents are the first educators of their children – this has been said several times.
ParlaMint-FR_2019-02-13-O1147.u78	It's not in the text!
ParlaMint-FR_2019-02-13-O1147.u79	No, but it is recognized by the Universal Declaration of Human Rights. Mrs Descamps, let us be clear: no one wishes to mistreat children. The facilities you request, especially for children with disabilities, will of course be provided on a case-by-case basis. There is no need to define adjustments in the law, for the reasons I have just expressed. Unfavorable opinion on the sub-amendment and all amendments.
ParlaMint-FR_2019-02-13-O1147.u80	What is the Government's opinion?
ParlaMint-FR_2019-02-13-O1147.u81	Same opinion.
ParlaMint-FR_2019-02-13-O1147.u82	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-13-O1147.u83	The members of the MODEM Group have considered this issue. If it seems to us rather complicated to guarantee total attendance and without adjustment, we believe that the obligation to attend school will make it possible to anchor learning. Kindergarten is an important step for the future of children. Personally, I will follow the recommendations of the minister and the rapporteur.
ParlaMint-FR_2019-02-13-O1147.u84	It's risky!
ParlaMint-FR_2019-02-13-O1147.u85	I have confidence in the possibility of making adjustments, on the ground, in exceptional cases.
ParlaMint-FR_2019-02-13-O1147.u86	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-13-O1147.u87	[[Applause on the benches of the LR Group as well as among non-attached Members. – Exclaims on the banks of the LaREM Group]] I am surprised that, on several issues, both the minister and the rapporteur tell us that certain provisions must be included in the law, more specifically in the education code, in order to secure the arrangements. Again, take the words of our amendment: "temporary accommodation... may be proposed according to the particular needs of the child, and in the context of a dialogue [...]". It is simply a matter of granting a faculty and securing it. I consider that, if you refuse to go in this direction, you are showing distrust of the families. What's terrible is that, over and above the market, you don't want to take it! [[Applause on the benches of the LR group]] This is absolutely terrible, because in your relationship with families – and I weigh my words – you are developing a liberticide vision.
ParlaMint-FR_2019-02-13-O1147.u88	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2019-02-13-O1147.u89	In my view, your comments reflect a real inconsistency. It was suggested that the school doctor should decide whether children could stay in school in the afternoon. When one knows the state of school medicine, one may be afraid of not receiving an answer for two years; In other words, this answer would be useless. I hear MODEM say, on the other hand, that he has given a lot of thought, that section 2 poses a difficulty, but that at the same time, any reflection made, he trusts the minister. This seems to me to be an unprecedented inconsistency. In reality – I hope everyone is aware of this – a 3-year-old has his own biological rhythms, beyond the issues of disability and maturity. I've never seen a child who's just three years old not taking a regular nap in the afternoon. Either you transfer this burden to the municipalities, who will have to bear the costs, or you accept the idea that the child is not attending school every afternoon. [[Applause on the benches of the LR Group, as well as among non-attached Members]] Reintroduce some consistency in your reasoning and abandon your dogmatic ideas about learning – you had spoken of "knowledge" before you resumed – that take place in kindergarten. At the age of three, the child learns socialization, but he or she must have some freedom and the parent, who is the one who knows him or her best, must be able to excuse him or her from going to school in the afternoon if he or she finds him or her too tired. It makes sense, it's common sense. Listen a little to the common sense advice.
ParlaMint-FR_2019-02-13-O1147.u90	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-13-O1147.u91	I also find that these are amendments of common sense.
ParlaMint-FR_2019-02-13-O1147.u92	Listen, ladies and gentlemen of the majority!
ParlaMint-FR_2019-02-13-O1147.u93	In fact, most parents do not have the opportunity to withdraw their children. In the morning, they drop them off at the daycare, they go to work, then come back to pick them up at night. Children, especially the younger ones, are therefore often very tired. Some parents are lucky, because they are on parental leave, because they have unusual schedules or because they work part-time,...
ParlaMint-FR_2019-02-13-O1147.u94	I didn't know working part-time or having atypical schedules was a chance!
ParlaMint-FR_2019-02-13-O1147.u95	...to be able to keep their child one or two afternoons a week, if they find him tired. Some children, at the age of 2, have a lot of energy, while others need much more sleep. It's common sense; This involves adapting to the child. If my wife was there, she'd tell you, she's a kindergarten teacher. I find these amendments to be common sense, because they offer parents the opportunity to talk to teachers. What's the risk? It is to meet an inspector who will take this action to the letter,...
ParlaMint-FR_2019-02-13-O1147.u96	Yes, a zealous official!
ParlaMint-FR_2019-02-13-O1147.u97	[[Exclaims on a few benches of the LaREM group]] ...who will say that things are so and not otherwise, and who will be moral to the teachers and teachers of the schools. These situations will occur because such inspectors exist. Okay, it's probably a minority, but it exists! That does not take away, that is what I would like you to understand, the importance of kindergarten. It doesn't take anything away from him! The quality of kindergarten education will not be affected by naps at home rather than at school.
ParlaMint-FR_2019-02-13-O1147.u98	It's a collectivist law!
ParlaMint-FR_2019-02-13-O1147.u99	[[Applause on the benches of the LT and LR groups, as well as among non-attached Members]] That's what we need to understand! The biological rhythm of the child should simply be taken into account.
ParlaMint-FR_2019-02-13-O1147.u100	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-13-O1147.u101	We cannot be insensitive to the arguments put forward on the difference in rhythms between children; What's true for a 3-year-old is true for adults, for all of us. I may not support these amendments, but I would like to warn about the need to provide sufficient resources for kindergartens so that every child can be cared for and accompanied, which requires the existence of several rooms for each class and the possibility of setting up the children's school rhythm. I stress the means: it is more appropriate to strengthen the means of small structures to enable adults to take account of the specificities of each child, than to vote for an amendment making schooling optional.
ParlaMint-FR_2019-02-13-O1147.u102	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2019-02-13-O1147.u103	[[Applause on the benches of the LR group]] Madam rapporteur, I am in favour of nursery school and I have been repeating this since Monday. My sub-amendment is intended to respond to particular situations, hence my addition of the school doctor. But you answer me by talking about abuse, which shockes me. Did I use the term abuse for school?
ParlaMint-FR_2019-02-13-O1147.u104	Don't let it go, ma'am!
ParlaMint-FR_2019-02-13-O1147.u105	Mr François Pupponi has the floor.
ParlaMint-FR_2019-02-13-O1147.u106	We could propose sub-amendment of the sub-amendment. The question arises for the very small and small sections. Teachers usually keep 4-5 year olds and take classes in the afternoon.
ParlaMint-FR_2019-02-13-O1147.u107	That's what they say!
ParlaMint-FR_2019-02-13-O1147.u108	On the other hand, in the very small and small sections, in the afternoon, the children sleep. Minister, I appeal to your common sense: in almost every nursery school in our country, there will not be enough places in the dormitories for students from very small and small sections. I don't know how the municipalities will do it on September 1, 2019.
ParlaMint-FR_2019-02-13-O1147.u109	Even Sarcelles isn't ready!
ParlaMint-FR_2019-02-13-O1147.u110	[[Applause on the benches of the LR group]] And I'm talking about new schools, not old ones! A practical problem will arise. If the law could be flexible to protect everyone, it would be a small and beneficial step.
ParlaMint-FR_2019-02-13-O1147.u111	It's common sense!
ParlaMint-FR_2019-02-13-O1147.u112	Constance and consistency!
ParlaMint-FR_2019-02-13-O1147.u113	The Minister has the floor.
ParlaMint-FR_2019-02-13-O1147.u114	I have argued for a concise wording of Article 2, as it is an article of principle. We are discussing a whole series of very important considerations, but of a different nature and order from this article of principle. The latter imposes the obligation of education at the age of three, which leads to attendance. The Education Code provides for the possibility of accommodation by regulation at all times. It is obvious that we will have common sense on this issue. I thank the Members who have put this dimension forward, but I do not think that a single inspector of national education is enough – I am looking for the right word –...
ParlaMint-FR_2019-02-13-O1147.u115	Rigid!
ParlaMint-FR_2019-02-13-O1147.u116	Squad!
ParlaMint-FR_2019-02-13-O1147.u117	...rigid not to apply the principle flexibly.
ParlaMint-FR_2019-02-13-O1147.u118	We will give you examples!
ParlaMint-FR_2019-02-13-O1147.u119	Sub-amend!
ParlaMint-FR_2019-02-13-O1147.u120	In short, we will provide, by regulation, as we know perfectly well, the necessary clarifications for flexibility. They have no place in Article 2. We do not have substantive disagreements over all the concrete situations that have just been described.
ParlaMint-FR_2019-02-13-O1147.u121	Write it down!
ParlaMint-FR_2019-02-13-O1147.u122	Mr President, we must respect the hierarchy of standards, which obliges us to use the right normative level for each provision. We are full of good intentions, as the debates have shown abundantly since Monday, but we cannot accumulate various considerations in every section of the law. My approach is much more about form than it is about substance. On the substance, we all agree that accommodation is necessary – for example, a student with a disability or another with a particular difficulty of course benefit from accommodation. [[Applause on several benches of the LaREM group]] On the other hand, we do not want to compromise the message of compulsory education and attendance. [[Same movements]] That is what I wanted to say, and that is why my opinion is unfavorable. But, in substance and in practice, the necessary flexibilities will be created.
ParlaMint-FR_2019-02-13-O1147.u123	Mrs Anne Brugnera has the floor.
