ParlaMint-FR_2019-09-25-E2012.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-25-E2012.u16	I had tabled this amendment, which goes in the same direction as those of my colleagues, in a special committee. Madam Minister of Solidarity and Health, you told me that he was satisfied to the extent that the Biomedicine Agency was responding to my concern. So I looked at the responsibilities of the Biomedicine Agency – not that I question your word, minister, but our concern for serious work should lead us to verify that the Agency's missions adequately address the crucial issue of supernumerary embryos. However, its annual activity report includes an analysis of authorisations and approvals, an assessment of the state of research on embryo and embryonic stem cells, an assessment of the implementation of pre-implantation and prenatal diagnoses, and an assessment of the status of possible organ trafficking. There is no mention of the priority that should be given to vitrification of oocytes, so that the creation of an embryo can only be done if necessary. This would, however, be an answer to this very important problem.
ParlaMint-FR_2019-09-25-E2012.u17	Mr Fabien Gouttefarde has the floor to support Amendment No. 1950.
ParlaMint-FR_2019-09-25-E2012.u18	The purpose of this appeal amendment is to raise to the legislative level a set of good practices aimed at limiting the number of embryos transferred as part of LDC approaches. For many years, especially during the 1990s, the transfer of several embryos – sometimes three or more – was frequently carried out in order to achieve better pregnancy rates, at the risk of large or multiple gemellas. Since then, the medical profession has self-regulated and developed good practices, which can be found in the annex to a ministerial decree of June 2017. I believe that they could be brought up to the legislative level, as indeed all the countries whose social security systems take care of the LDCs have done.
ParlaMint-FR_2019-09-25-E2012.u19	What is the opinion of the committee?
ParlaMint-FR_2019-09-25-E2012.u20	Our colleagues suggest restricting the conservation of supernumerary embryos, and I support this approach. The number of embryos stored in the various freezers in France exceeds 220000, which is excessive. But this evolution would not be easily possible according to the procedure proposed: vitrification and preservation of the oocytes, then, each time, fusion of these oocytes with sperm, frozen or freshly emitted, then immediate re-implantation of the embryos as needed, for attempts of in vitro fertilization that succeed only once in five on average... For technical reasons that I cannot detail here, these repeated operations face difficulties. This does not mean that this will never be possible, but simply that today we are still forced to go through the maintenance of embryo freezing. We could reduce the number, without any inconvenience for women – because this is the main objective, that of not repeating ovarian stimulation – if embryo research was more effective and if only embryos with a chance of being viable were retained and implanted, for example, by removing the carriers of too large chromosomal abnormalities. This will be the subject of further discussion on this text. In any event, ladies and gentlemen, we must agree to a minimum of embryo research so that in the future it is no longer necessary to keep so many supernumerary embryos, which will never be used but which represent an additional possibility for women who are difficult to get pregnant. [[Smile on the benches of the LR group]] Our opinion will therefore be unfavourable for the first three amendments. On the other hand, Mr Gouttefarde's amendment is a little different. I suggest that the author withdraw it for the time being, knowing that it can be re-examined in the next few years, as soon as the in vitro fertilization rate exceeds the current figures. It is now 20%: when it reaches 50%, we will be able to adopt this amendment!
ParlaMint-FR_2019-09-25-E2012.u21	We'll see about that in two years!
ParlaMint-FR_2019-09-25-E2012.u22	What is the Government's opinion?
ParlaMint-FR_2019-09-25-E2012.u23	I will begin by responding to Ms. Annie Genevard, who is asking me about the missions of the Biomedicine Agency. In fact, it documents this issue in its medical and scientific report, as part of its general mission to monitor the activity of MPA. This is therefore not included in the activity report, but in the medical and scientific report. With regard to Mr Breton's amendment to prohibit cryoconservation of embryos and to limit the number of embryos fertilised by an attempt to fertilize in vitro, I would point out that this objective of reducing as much as possible the number of frozen embryos is already included in the law. At present, however, the results of the techniques and the taking into account of their benefits and risks do not meet its demand, which is to ban freezing altogether. Every attempt must have enough embryos to obtain viable embryos, which are transferable to women. If we did not do so and used a single embryo each time, we would subject women to repeated cycles of ovarian stimulation, and thus to a considerable medical risk. In addition, frozen embryos may be used for later pregnancies, if the couple wishes a second or even a third birth. For the time being, therefore, we wish to maintain the current framework, which seems to us to be balanced in the light of the state of science and our capabilities. We focus on practices and processes that limit the number of embryos. This is reflected in article L. 2141-1 of the Public Health Code: the couple whose embryos have been preserved cannot benefit from a further attempt at in vitro fertilization as long as they still have frozen embryos, unless they suffer from a quality problem. We are therefore against this amendment. The aim of Mr Gouttefarde's amendment is to limit the number of embryos transferred when determining the transfer arrangements by considering non-exhaustive criteria of age and pathology. However, in the area of embryonic transfer, we have precise and controlled practices, already regulated by good practice rules and controlled by the Biomedicine Agency. In particular, I will quote the provisions on embryo transfer in the June 30, 2017 Order: "The transfer modalities are based on the patient's clinical data and the prior assessment of the transfer possibilities. [...] Addressed upstream of the attempt, the number of embryos to be transferred is again discussed jointly between the couple, the clinician and the biologist. This number depends on the cleavage kinetics and embryo morphology, the results of any previous attempts, the patient's age and history. Taking into account the risks and complications of multiple pregnancies, monoembryonic transfer should be given priority whenever the age of the woman and the quality of the embryos permit. Beyond two embryos transferred, the reasons are justified in the couple's medical record and the couple is clearly informed of the risks associated with multiple pregnancies. We therefore feel that this amendment is already satisfactory.
ParlaMint-FR_2019-09-25-E2012.u24	I call Mr Bruno Fuchs to support Amendment No. 1997.
ParlaMint-FR_2019-09-25-E2012.u25	This is a clarification amendment aimed at bringing the wording of paragraph 3 closer to reality. In the current version, paragraph 3 refers to "any couple made up of a man and a woman or two women or any unmarried woman". I propose to replace the words "unmarried woman" with the words "alone woman", which are more in line with the reality of things. Indeed, an unmarried woman may very well be pacing or living together, either with a man or with another woman: in the current writing, she would have the possibility of using the AMP with third party donors. While we want to pass a law of transparency, a law of truth, admit that this situation, in which a couple would see one of its members carry out an MPA with third-party donor, would be a little disturbing! Amendment No 1997 is therefore intended to clarify matters.
ParlaMint-FR_2019-09-25-E2012.u26	What is the opinion of the committee?
ParlaMint-FR_2019-09-25-E2012.u27	You may recall, Mr Fuchs, that this matter was discussed in committee. Many of us wondered why paragraph 3 used the term "unmarried woman" rather than the term "alone woman", which referred more precisely to what we were thinking. However, the guardian of the seals has explained very well to us that, from a legal point of view, it is the married or unmarried nature of the woman that matters, particularly with regard to paternal filiation. Indeed, a wife's husband is the presumed father of her child, regardless of the actual parent. Unmarried men, on the other hand, do not benefit from this presumption of paternity: if they can recognize their paternity, the latter is not presumed. That is why the current wording is the most legally relevant – but perhaps the keeper of the seals will be able to give you more explanations on this point. You also refer, in your summary presentation, to the issue of medical and psychological assessment of applicants. Here too, your concern is satisfied with the current wording of the bill: a clinical-biological team evaluates all the concerns of the applicant couple or woman.
ParlaMint-FR_2019-09-25-E2012.u28	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2019-09-25-E2012.u29	Indeed, we have already had this debate. I understand, Mr rapporteur, the arguments that you have just referred to and that Mrs Garde des Seales has developed quite extensively in committee. I understand the legal issue, but I am more in terms of actual practice, civil society, doctors and couples. There is a gap between the legal concept and what is being done in practice: we should therefore change our perspective and refer to usages.
ParlaMint-FR_2019-09-25-E2012.u30	The Minister of Justice, the guardian of the seals, has the floor to give the Government's opinion on this amendment.
ParlaMint-FR_2019-09-25-E2012.u31	The rapporteur recalled the arguments which I have put forward at length in committee. Unfortunately, we are amending a legal text here: we are therefore obliged to refer to legal concepts. As the Council of State explains very precisely, marriage carries with it a method of establishing filiation and the consequences that are special. If you keep your amendment, honourable Member, I will give him an unfavorable opinion.
ParlaMint-FR_2019-09-25-E2012.u32	I have before me four amendments, Nos 2123, 2214, 2569 and 1994, which can be discussed jointly. Amendments Nos 2123 and 2214 are identical. Mr Raphaël Gérard has the floor to support Amendment No. 2123.
ParlaMint-FR_2019-09-25-E2012.u33	The purpose of this amendment is to reintroduce the concept of parental project in Article L. 2141-2 of the Public Health Code. Indeed, as our rapporteur rightly pointed out earlier, medical assistance for procreation does not help to treat the infertility of the sterile man or woman, but rather to carry out a parental project thanks to a gamete donation. In addition, the use of MPA does not always meet a strictly medical logic, since in 10 to 15% of cases no medical cause of infertility is identified. The concept of a parenting project was included in the law before 2011, when the legislator considered it to be a secondary consideration for the medical dimension of the MPA and therefore removed it from the text. Today, while this bill removes the restrictive medical criteria for access to the AGP, it seems appropriate to reintroduce the concept of a parenting project at the heart of the scheme. Moreover, this concept is already included in articles L. 2141-3 and L. 2141-4 of the Code of Public Health. It seems to me to sum up all the discussions we have had in committee, where we have all talked a lot about parenting, while providing an answer to all those who are concerned that the MPA is turning into a whim. Indeed, a parenting project is something that is built, accompanied and evaluated. That is why I think it is interesting to reintroduce this concept into the text.
ParlaMint-FR_2019-09-25-E2012.u34	Mr Jean-Louis Touraine has the floor to support Amendment No. 2214.
ParlaMint-FR_2019-09-25-E2012.u35	I will withdraw my amendment in favour of Mr Gérard's amendment, which is identical. This demand is indeed relevant: the concept of a parenting project, which dates back to 1994, is becoming more relevant as we extend the LDC to different types of families. Let me quote Professor Louis Bujan, who for six years chaired the Fédération française des CECOS – centres d'études et de conservation des eggs et du sperme humaines: "Imagining a parenting project means planning for the future. He was talking about the future of children. Yes, in these different types of families, the future of children depends in part on the project of the parents who use the LDC.
ParlaMint-FR_2019-09-25-E2012.u36	Mr Pascal Brindeau has the floor to support Amendment No. 2569.
ParlaMint-FR_2019-09-25-E2012.u37	The aim is to denounce once again the disconnection between the use of MPA and a situation of infertility other than social, i.e. a presumption of infertility, even temporary, in heterosexual couples. Obviously, to open the MPA to women's couples and single women, it must be disconnected from a medical justification. As a result, this disconnection, which is black-on-white in the bill, also applies to heterosexual couples. Thus, it will be possible to see a heterosexual couple using an LDC not only to prevent the transmission of a disease, but also, tomorrow, to choose a child's characteristic. In the current state of law, this practice is prohibited, but since the CECOS carry out gamete apparatus, nothing will prevent us from crossing this ethical boundary tomorrow. In a report broadcast yesterday on a continuous news channel – I will not advertise for LCI – a couple of women testified to the difficulties they had had, to the journey of the fighter they had followed to resort to a LDC with third-party donor abroad. You'll tell me that a testimony is worth what it's worth, that it's probably an isolated case, but their situation was quite touching. A little girl was born, now four years old. These women obviously welcomed the new right that will be opened in France, but they still intend, for the second child they wish, to use a LDC abroad, in this case in Denmark, in order to be able to find the same donor as for their eldest daughter... How the genetic bond may not be meaningless, even when the parenting project is based on will and not on biological criteria! In any case, the biological likelihood comes in the choice of this couple not to use the new right opened in France, but to go to Denmark where they can choose the characteristics of the donor. All of this leads me to believe that the disappearance of the medical criterion for using the AGP is the door open to such applications. What will be the position of the AMP centres and the CECOS on this topic? That remains to be discussed.
ParlaMint-FR_2019-09-25-E2012.u38	I call Mr Bruno Fuchs to support Amendment No. 1994.
ParlaMint-FR_2019-09-25-E2012.u39	My amendment follows the same logic. In particular, it aims to re-introduce the reference to infertility, which corresponds to the greatest number of situations we will see in the years to come. It should not be suggested, by using the term "LDCs for all" and deleting the reference to infertility, that the MPA would be something easy and that it would be enough to come to any centre to benefit from it. As we have seen, and as will be said during the debates, this is a long, medicalized, complicated and traumatizing journey. That is why I believe it is necessary to retain the term "infertility" in the law.
ParlaMint-FR_2019-09-25-E2012.u40	Mr rapporteur, you gave an opinion in favour of Amendment No 2123 and withdrew your amendment No 2214. What is the Committee's opinion on Amendments Nos 2569 and 1994?
ParlaMint-FR_2019-09-25-E2012.u41	Disadvantaged, as they are intended to limit the use of MPA to medically diagnosed infertility situations. First of all, this formulation is more reductive than current practice, since today a heterosexual couple who have failed to procreate can resort to MPA, even without medically established fertility abnormalities. Moreover, in the context of this bill, this would mean that the use of the AGP would only be possible if the woman alone or the two women in a couple were sterile. It would be strange if they had to demonstrate their infertility in order to have access to the AMP! I therefore call for the withdrawal or rejection of these amendments to limit the use of MPA to an established fertility disease.
ParlaMint-FR_2019-09-25-E2012.u42	What is the Government's opinion?
ParlaMint-FR_2019-09-25-E2012.u43	Mr Gérard, you would like to reintroduce the concept of a parental project from the article which lays down the conditions for medical assistance in procreation. It is true that this concept is enshrined in the Public Health Code and that the MPA is clearly intended to respond to a parenting project. The Government issued a wisdom opinion, considering that this parenting project could be misinterpreted. With regard to Mr Brindeau's amendment to link the MPA to a medical necessity and Mr Fuchs' amendment to the criterion of infertility, I agree with the rapporteur that no medical necessity is already required for the use of the MPA: it is enough to declare a difficulty in having a child after one year, without even having to provide proof of having tried to have a child. In any case, the search for infertility or infertility is systematic when applying for an MPA. It will be for heterosexual couples as for women. Mr Brindeau's amendment is therefore contrary to the spirit of the law and we are against it. As for the criterion of infertility, neither is it necessary since there will be a medical assessment. Mr Fuchs' amendment is therefore satisfactory and we ask for its withdrawal, otherwise the opinion will be unfavourable.
ParlaMint-FR_2019-09-25-E2012.u44	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-25-E2012.u45	Every time I see one of your amendments coming, I'm worried, rapporteur! There is also a semantic problem: the notion of parenting is blurred, and the minister herself acknowledges that it can be misinterpreted. So I wonder what your intention is – and I am benevolent. Who will evaluate the parenting project? If it becomes the foundation of filiation, the alpha and the omega, the justification of an automatic favorable response to the will to have a child, why would it not be valid tomorrow for a single man or a couple of men who would have a parenting project?
ParlaMint-FR_2019-09-25-E2012.u46	That's right.
ParlaMint-FR_2019-09-25-E2012.u47	Why say it here? You have no more doubt, have you told us: I still have, I confess, especially when I listen to you. You said again this week that in terms of gestation for others – GPA – the "ethical GPA" was not contrary to our values but that French society was not yet ready for it: I wonder if this amendment would not tend to prepare it for it. You recognize the parental project, at will, an all-power that can prove to be a fragility. Indeed, a project changes, a will changes, but when the embryo is there, it is there! We take it as it is. [[Applause on the benches of the LR group. – Mrs Agnes Thill also applauds]] A child is much more than the parents' project. The children, by the way, have a lot of surprises for us. A child is not a due, even with the LDC, and it would be dangerous to let him think. A child must be received, not obtained. When a couple comes to tell you the good news, does he tell you "we have a parenting project"? No, "we are waiting for a child"! It would be more respectful of the child in all its dimensions not to make the parental project the alpha and the omega and to give the child its full place as it is.
ParlaMint-FR_2019-09-25-E2012.u48	Mr Joachim Son-Forget has the floor.
ParlaMint-FR_2019-09-25-E2012.u49	I also wonder about this term parenting project and about disqualifying the medical approach again, under the pretext that it is not a situation of infertility. When a couple cannot have a child, the absence of evidence of medical infertility is not evidence of the absence of an underlying disorder. This medical approach is fundamental to my conception of the LDC. The parenting project goes far beyond purely social or societal considerations, the dimension of the couple, of love. Making kids, it goes further than that. An evolutionary Darwinian impulse pushes us to reproduce, so that our reason, our emotion justify things, pose a rational and reasoned reasoning a priori, and these things go far beyond the restrictive framework of a parenting project. You already see risks of drift in what Pascal Brindeau told us: satisfied with the genetics of a donor, we would like another child of the same lineage! The issue of genetics still seems to be importing in some cases, including for couples who want one child per LDC. It is the door open to certain choices, certain eugenic drifts, which one does not accept at all in case of adoption: the child is a surprise, he arrives with his qualities, his defects, his possible hereditary diseases, and one takes the same risk when one makes a child in a natural way. There are hazards and accepting them is part of life. It's very different from a merchant's approach.
ParlaMint-FR_2019-09-25-E2012.u50	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-09-25-E2012.u51	It is problematic to reduce a child to a parenting project, to a product that is intended to have certain characteristics, according to a technical concept of the production of children that is actually far from what it should be to care for the child in a family. What's parenting? I would like you, Madam Minister, to tell us your answer. To me, being a parent is based on sexual otherness, especially the body dimension I mentioned earlier. If it's only a project, what will prevent a single woman, a single man or a couple of men from being a parent? What's your answer? Once you have passed the principle that the MPA is intended to respond to a parenting project, it will serve as a basis for priority constitutional issues that will demand its application to all in the name of equality! The concept of a parenting project is not based on any physical reality but solely on goodwill, individual desire. I am not agitating fantasies: associations to which we asked the question in the context of the fact-finding mission told us that we were in favour of multiparentality. The rapporteur had even said that the more parents, the more the child would be protected! That is not our conception. Our conception of parenting is based on sexual otherness: what is yours?
ParlaMint-FR_2019-09-25-E2012.u52	Mr Hervé Saulignac has the floor.
ParlaMint-FR_2019-09-25-E2012.u53	One understands very well why some would like the notion of infertility to be retained absolutely in the law: one could demand a couple of women, none of whom would be infertile, to manage without LDCs. My group supports the opening of a new right, independent of the reasons that previously justified the use of the LDC. We assume our will to ensure that this new right is unconditionally open to all women. [[Applause on several benches of the LaREM and MODEM groups]] As for the parental project... It's true that I don't remember having a big debate with my wife about our "parental project" – and we wanted it, this child! But if there is one circumstance in which the child is desired more than in any other, it is precisely on the occasion of a LDC, because one does not engage in such a procedure if one is not afflicted with a furious desire for a child. The love of the child even exists in its conception. Therefore, no one can question the validity of the parenting project for those embarking on an LDC.
ParlaMint-FR_2019-09-25-E2012.u54	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-09-25-E2012.u55	Sorry to tell you, but since 1967 and the legalization of the pill, when you have a child, it's often that we discussed it and decided to dispense with contraception! That's a parenting project. Adopting someone is also a parenting project. The LDC is open to all, yes, it is a parenting project. What is a parenting project, if not a legal term to say "we want a child and we will raise it with love"? It's just that. [[Applause on a few benches of the LaREM and MODEM groups]] To challenge the opening of the LDC to all women, you tell us that there is a need for a man and a woman, that there is a sexual division of roles. But can you tell us what the role of a father is, what is the role of a woman? I'm waiting for you to explain it to us.
ParlaMint-FR_2019-09-25-E2012.u56	Mrs Coralie Dubost has the floor.
ParlaMint-FR_2019-09-25-E2012.u57	I am very touched by the amendment which recognises the parental project, and I have heard Mr Saulignac say that this new right must not be conditioned. My great legal fear is that this notion of parental project will become a condition that restricts access to this right. If this concept is included in the law, it means that someone – the doctor, the multidisciplinary team – will necessarily be able to appreciate it, will be allowed to judge that the elements of a parenting project are not combined. There is therefore a risk of being faced with a dispute over the parenting project. Adoption is not conditional on a parenting project, and the law has always taken care not to qualify it, precisely so as not to leave too much to the subjectivity in this approach. I understand the nobility of your intentions, but as a lawyer I understand the perverse effects and for this reason I will not vote for this amendment.
ParlaMint-FR_2019-09-25-E2012.u58	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-09-25-E2012.u59	I confess that I did not understand very well the development of Coralie Dubost. If I follow his reasoning, there will be no refusal to apply for an AMP since it is the parenting project that bases the right to access it. But that is not what the text says as it stands: it maintains an obligation to accompany the use of the LDC, whether it is a couple or a woman alone, in particular to assess the parenting project, the capacities, not only medical but also psychological. The multidisciplinary teams responsible for reproductive medical assistance include psychologists. Thus, a parenting project does not automatically open up access to the LDC. I therefore do not see what is opposed to this being included in the text at this stage.
ParlaMint-FR_2019-09-25-E2012.u60	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2019-09-25-E2012.u61	Again, my amendment reintroduces a concept that existed before 2011 and was never subject to interpretation. It was simply at the time to reaffirm the medical dimension of things. The human dimension must now be reintroduced. This concept enshrines a project and basically does not remove anything. This is a general principle, not a condition: the text also mentions the evaluations and the support of projects by a multidisciplinary team. But the presence of this principle, knowing the varying geometry practices that are taking place in some CECOS, makes it possible to prevent this medical dimension from being opposed to the parenting project of women's or single women's couples.
ParlaMint-FR_2019-09-25-E2012.u62	Mr Fabien Di Filippo has the floor.
ParlaMint-FR_2019-09-25-E2012.u63	I am struck that we are trying to get my colleagues to say anything except what they wanted to say, and that we are not answering simple but essential questions, because they have very long-term legal consequences. Is the concept of parental project limited to heterosexual couples, female couples and single women? Why should it not extend as soon as the law is passed to men's couples, which would imply an opening of the GPA? Can you answer this simple question, and stop bypassing the subject by saying that a parenting project only concerns heterosexual couples? [[Smile. – Applause on the benches of the LR group]] [[Smile]] We never intended to say who the good fathers were! Our colleague Bastien Lachaud asks us to explain the respective roles of the father and the mother. To answer this question, I refer you to the Minister: the National Centre for the Territorial Public Service, a public institution, offers training to all officers entitled "The role and place of the father in the family." The aim of this training is, among other things, "to better perceive the interest of supporting the father's involvement with the child", "to deepen certain problems experienced by fathers" and "to question the place given to fathers in reception structures and practices". Be well, she even intends to give "a historical reminder on the question of authority (paternal authority and joint authority)" and draw "perspectives to give more room to the fathers in the structures, in order to make the paternal function take place"! [[Applause on the benches of the LR group]] As far as we are concerned, we are entering this debate with great good faith. At least try to answer our legitimate questions, Madam Minister, and to resolve some of your contradictions as quickly as possible!
ParlaMint-FR_2019-09-25-E2012.u64	I put to the vote Amendment No. 2123.
ParlaMint-FR_2019-09-25-E2012.u65	No! He wasn't adopted!
ParlaMint-FR_2019-09-25-E2012.u66	Mr. President! We have to vote by sitting up!
ParlaMint-FR_2019-09-25-E2012.u67	[[Protests on the benches of the LR group]] The amendment was adopted.
ParlaMint-FR_2019-09-25-E2012.u68	Mr. President, this is a scandal! If we start like this, it's not possible!
ParlaMint-FR_2019-09-25-E2012.u69	Why the challenge? If I tell you that the amendment has been adopted, it has been adopted. The vote took place. Let's move on. Mr Xavier Breton has the floor to support Amendment No. 14.
ParlaMint-FR_2019-09-25-E2012.u70	Mr. President, this is really outrageous. The vote in favour was barely higher than the opposition in the majority group, and for our part we have voted very broadly against this amendment. Honestly, there's a problem to be solved. It would only take one vote per sitting and standing to check.
ParlaMint-FR_2019-09-25-E2012.u71	[[Protests on the benches of the LR group]] Let's continue the discussion of the amendments, please...
ParlaMint-FR_2019-09-25-E2012.u72	We're not gonna make it!
ParlaMint-FR_2019-09-25-E2012.u73	The vote on Amendment No 2123 was recorded and proclaimed. It is therefore acquired. Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-25-E2012.u74	I ask for a two-minute suspension of the sitting to bring our group together. We must not start like this. This amendment completely distorts the text. We're on paragraph 3, we're rewriting everything, it's a major subject. Let's vote by sitting and standing.
ParlaMint-FR_2019-09-25-E2012.u75	The vote was largely against!
ParlaMint-FR_2019-09-25-E2012.u76	The meeting was suspended.
ParlaMint-FR_2019-09-25-E2012.u77	The meeting was resumed. I have before me several identical amendments, Nos 14, 113, 333, 592, 881 and 1690. Mr Xavier Breton has the floor to support Amendment No. 14.
ParlaMint-FR_2019-09-25-E2012.u78	It aims to reverse the extension of reproductive health assistance to single women. We have already mentioned the problem of sexual otherness in women's couples. But here we are dealing with another question, the possibility for a single woman to decide to enter a "parental" project. I will be told that adoption already exists for single people. But adoption is of another nature: it allows one or two parents to be given to a child, while medical assistance in procreation gives a child to one or two parents. The parallel, therefore, does not hold, since adoption is equivalent to repairing a situation for a child and not creating it. In the case of the AMP, this unique bond that will be created, this almost obsession, between the single mother and the child will be dangerous for the construction of the latter's identity. The child psychiatrists we have heard warned us about this: we can discuss the consequences for a child to be raised by a couple of women, the studies being unreliable, but in the case of single women, there is strictly no study. I am referring here to the opinion of the CCNE. That is why we propose to remove the possibility of extending the MPA to single women.
ParlaMint-FR_2019-09-25-E2012.u79	Mrs Annie Genevard has the floor to support Amendment No. 113.
ParlaMint-FR_2019-09-25-E2012.u80	I will add two arguments. First, the comparison between MPA and adoption is not for historical reasons. It was in 1923 that single women had the opportunity to adopt, while World War I had caused the disappearance or death of about 1.3 million soldiers, leaving 600,000 widowed women and 1.1 million war orphans. In this context, adoption was a way of caring for the children of the heroes who died for the homeland. Secondly, in addition to the psychological consequences highlighted by the psychiatrists and psychologists we have interviewed, social reasons stand in the way of the LDC for women alone. Madam Minister for Solidarity and Health, you have insisted a great deal on the precariousness of single women. I cannot hear the argument that single women with a LDC project generally have the financial means to do so. I find this argument deeply shocking. Most single-parent families have a low median monthly standard of living. I do not teach you, Madam Minister, since your social policy gives priority to single-parent families, on the grounds that they are more vulnerable than others to insecurity. Nor do I accept the argument that the LDC open to single women is a single parenthood chosen, while women who are alone as a result of separation or widowhood would experience a single parentality suffered. This distinction does not hold: a woman who decides to separate from her husband or spouse chooses one parent, which she considers to be the best solution. This is an essential point for us, on which we should have multiple opportunities to insist during the debates.
ParlaMint-FR_2019-09-25-E2012.u81	I call Mr Patrick Hetzel to support Amendment No. 333.
