ParlaMint-FR_2019-10-01-O1003.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-01-O1003.u12	[[Smile on several benches]] They basically say to me, "What are you talking about, Mr. Mélenchon? What is this purely cultural filiation story? You deny evidence! I say "Mr Mélenchon," because I do not want to quote the whole Chamber. However, colleagues, I caution you: you are in the process of inventing two new legal subjects. First of all, there is the child without rights.
ParlaMint-FR_2019-10-01-O1003.u13	It's not us!
ParlaMint-FR_2019-10-01-O1003.u14	It is a return to the box of the natural child; the child will have two parents but also a biological breeder, on which he will have no rights. How long do you think this fiction can last? If you accept today, on the basis of suffering, access to the identifying data, the same will come tomorrow to tell you their extreme suffering to know their breeder without having any rights over him or to be able to ask him. Then there is the problem of the breeder himself. Let's assume he's expressing a refusal. Some argue about the suffering of not knowing, but what will be the suffering of knowing that the breeder knows and refuses? Excuse me, but I think she'll be worse. This would create a kind of abandonment clause along the way. Moreover, if the donor accepts, why does he not have any rights? Most of us believe that they have not rights but duties towards their children. But these duties become rights. In the Republic, the notion of duty does not exist, it was debated and decided a long time ago. The only duty in the Republic is to recognize and respect the rights of others. In short, you will create two new legal statutes: the father without rights, and the child without rights over his father. I think it's a lot! With regard to the heterosexual couple, I am very surprised that the Conservatives, who are the supporters – I do not put any derision in these terms –...
ParlaMint-FR_2019-10-01-O1003.u15	Thank you!
ParlaMint-FR_2019-10-01-O1003.u16	...of the traditional family and the Napoleonic Code, accept the idea that a third party, in a family, arises simply because it would have donated its gametes at some point. [[Murmures on the benches of the LR group]] I conclude by asking you a question as radically drawn from materialistic philosophy as all the rest of what I told you earlier. How, please, would the donation of semen, or gametes in general, be of a different nature than that of a donation of blood?
ParlaMint-FR_2019-10-01-O1003.u17	Because it's ID!
ParlaMint-FR_2019-10-01-O1003.u18	[[Murmures on several benches of the LaREM group]] Because it's the origin of life, you'll tell me. But the blood donation makes it possible to survive! How is the gift of gametes different from the gift of a liver, stomach, lung, heart? For us, there's no difference! These are organ donations, and organ donation is free and anonymous. [[Same movements]] It would not be in anyone's mind to ask for the identity of someone who has donated his heart to create a personal or family relationship with his loved ones. That would be contrary to everything we believe. You may find my argument unacceptable, but it is rational. For us, the gift of gametes is just a gift like any other. Therefore, there can be no question that it should form a special relationship. [[Applause on the benches of the FI and GDR groups]] These are the reasons why we oppose the idea that a right to biological filiation applies, to which we do not believe. We follow Pierre Dharréville, who offers us the possibility of accessing the donor's only non-identifiable data, because they can contribute to the well-being and survival of the people concerned.
ParlaMint-FR_2019-10-01-O1003.u19	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-10-01-O1003.u20	President Mélenchon just spent eleven minutes and six seconds...
ParlaMint-FR_2019-10-01-O1003.u21	He does what he wants!
ParlaMint-FR_2019-10-01-O1003.u22	... to strengthen our position that, from the moment when the LDC is allowed for a single woman or a couple of women, we are entering into a field of inextricable difficulties, in particular, but not only, from a legal point of view. I note with interest, Mr. Mélenchon, that you referred to the father, when he is simply a male gamete donor. You agree that children born to LDCs have access to non-identifiable information, particularly medically relevant information. On the other hand, in your view, there is a need to oppose the right to know its origins, which is, however, the claim of a number of associations and children from LDCs, to whom legislation does not currently recognize this possibility of knowing or not, in order to build themselves. There is some kind of contradiction between your idea that only social status creates the bond of filiation – if I understood your present intervention and that of last week – and the complete hiatus of the situation of children born of a gift to whom it is explained that they have a mother and no father, or two mothers, which in essence raises a question about a potential donor. As much as I can understand that you are defending the fact that access to non-identifiable data is allowed, I am not at all sure that the child should be denied the opportunity to know his or her origin and the identity of the donor. The great difficulty is to preserve the child's freedom of access to a possible contact request, but it is not the same as allowing the child to know where he or she comes from and what the characteristics of the donor, for example his or her geographical origin, are overall. I agree with you on one point: we are not immune that children born of a gift for a woman alone or for a couple of women absolutely want to meet the donor or, at the very least, have contact with him. This is the whole difficulty and contradiction of the text. We will have the same debate about filiation, because this subject is inextricable. There is no good solution; Only bad solutions are now proposed. However, I recognize a form of consistency in the text: you cannot prevent a child who has only one mother and no father, or who has two mothers, from asking where he comes from. Indeed, the biological reality is imposed on the child: he knows well that he was not born of a mother and a stork, or of two mothers, because it is not possible! In any case, there is an obvious contradiction in your demonstration, Mr. Mélenchon.
ParlaMint-FR_2019-10-01-O1003.u23	Mr Julien Aubert has the floor.
ParlaMint-FR_2019-10-01-O1003.u24	President Mélenchon has shown this, we are in full contradiction. The text is to replace a biological filiation with a social filiation established by law: it makes two mothers the parents of a child as if the child had been born of a natural union. By offering to raise anonymity, you attest that a gamete donation is not an organ donation, contrary to what has been said. We give not a'material', as we heard in the mouth of the rapporteur, Mr Touraine, but an identity, a genealogy, a journey, a past.
ParlaMint-FR_2019-10-01-O1003.u25	No!
ParlaMint-FR_2019-10-01-O1003.u26	In proposing this measure, you clearly recognize that a child raised in a couple of women will eventually express such a request, even though you deny the psychological impact of the situation. So there are many questions that arise. You are there faced with an obvious contradiction: to raise anonymity on the gift of gametes is to recognize that beside the social filiation that you are going to establish, there is a biological filiation that cannot be reduced.
ParlaMint-FR_2019-10-01-O1003.u27	That's right!
ParlaMint-FR_2019-10-01-O1003.u28	You turned the pater familias into a material. Unfortunately, I am afraid that nature is no longer reticent to this construction of the legislator that he does not want to recognize. That is why I am opposed to the removal of anonymity and in favour of the amendment, which would allow you to resolve your contradiction. The lifting of anonymity may upset the gift of gametes for all couples, not only for homosexual couples – because you will not be able to discriminate according to the nature of the couples. It will result in a decrease in the number of people willing to give their gametes.
ParlaMint-FR_2019-10-01-O1003.u29	The rapporteur has the floor.
ParlaMint-FR_2019-10-01-O1003.u30	Let me clarify at the beginning of this sitting: for the time being, we are discussing the question of origins, not that of filiation; We will discuss the latter later, and you will have plenty of time to discuss it. Mr President Mélenchon, if you admit that filiation is not strictly biological – we will see later if it is a little, not at all, much, passionately or madly! –, the question of origins should not be a problem for you. When you say, moreover, that we are creating a new filiation, this is not entirely true.
ParlaMint-FR_2019-10-01-O1003.u31	Of course it's a new sonship!
ParlaMint-FR_2019-10-01-O1003.u32	The new element is that there will be a homoparental filiation, but the filiation that you have described as "declarative", in the sense that it is the result of an act of will, already exists for heterosexuals, since 1994, within the framework of the AGP. I refer you, on this point, to Article 311-20 of the Civil Code. Consent to the LDC before a notary makes this filiation indisputable and, therefore, stronger than the so-called "organic" filiation. It cannot be destroyed unless it is shown that the consent was deprived of effect before insemination or that the child is not from the AGP, but from a third-party relationship. This voluntary, decision-making filiation, resulting from the engagement of a man and a woman in an AMP process, is the strongest in the civil code. There is therefore no doubt: the parents are those who have consented to the AGP and have received the gametes provided by the donor, and he will never be recognized as a parent. There is no risk in this regard. The guarantees expressly provided by the legislator in 1994 will continue to apply tomorrow, including for same-parent couples. You say that the gift of gametes is the same as a donation of blood. There is certainly a similarity in their altruistic character, but there is a huge difference, which you cannot deny, Mr Mélenchon: in the case of the AGP, a third person comes from the gift. However, this third person is not a recipient; She's self-governing and she didn't ask for anything. Second point on which we must avoid confusion: the former donors. I've already told you, never will we force them. As for future donors, they will have the option of giving or not, under the conditions laid down by law. Whether under the previous regime or under the future regime, donors will always have a choice. So why don't we give this choice also to children with ADI? In the Argentine case, you said, some wanted to know and others didn't want to. But we are not going to force children from an ADI to know their origins! This is a simple faculty that is offered to them and is likely not to be used by all children who have reached the age of majority. The idea of sending a letter to each of them, discussed in committee, was swept away. It's out of the question! Some lobbies have asked for such a letter to be systematic and mandatory, but we have refused and will stand firm on this position. We are not going to require parents to reveal their child's design. We will also not impose on children from an ADI to receive, by their majority, their entire identity narrative if that is not their choice. We rely on the choice of people. We deeply respect the differences, both among donors and among children born to an ADI, and that is why we offer them the ability to access their origins. If we open this possibility, it is also because there is a responsibility of the state – that is the question we must ask ourselves when we look at a text on bioethics, as the minister has pointed out on other issues. Indeed, the State is responsible for the fact that these children are from an LDC, since it is the latter who authorizes and organizes them. Therefore, our responsibility is also to provide them with answers. [[Applause on many benches of the LaREM group]] Because we assume our responsibilities, respecting each other, without confusion with biology, sociology or the notion of parenthood, we offer the possibility to those who wish and for whom it would be important, without forcing those who do not want to, to access the account of their genetic origins. This is a great step forward, which we can, I think, be very proud of.
ParlaMint-FR_2019-10-01-O1003.u33	Mr Jean-Luc Mélenchon has the floor.
ParlaMint-FR_2019-10-01-O1003.u34	Since the rapporteur spoke again, I too would like to answer her and tell her why I do not agree with her. I don't know if the decision to lift anonymity will be made, but as far as I'm concerned, I wouldn't be proud. When the question of giving birth under X was asked, a socialist government, of which I was a member, was in power, and we had this discussion. Ms Ségolène Royal proposed the possibility of accessing what she called "origins," and I was already against it. The socialists were themselves divided on the subject, as we are this evening, and the positions of both had nothing to do with political labels.
ParlaMint-FR_2019-10-01-O1003.u35	Exactly!
ParlaMint-FR_2019-10-01-O1003.u36	For my part, I found it monstrous and barbaric that one could ask, twenty or thirty years later, a woman who had the courage to bear a child and to give birth to him under X if she confirmed that she had abandoned him! My argument was that men were not asked this type of question, because they still had to be found. In his brutality, in his nakedness, this argument emphasized the absurdity of the idea that there is a truth of biological filiation. You are asking me, Madam rapporteur, what can I do that, for others, there is a truth of biological filiation. This matters to me for the reason you yourself mentioned: we are collectively responsible for the legal, moral and psychological situations that we create with our decisions. This type of filiation is the result of the Napoleonic Code, the Civil Code, and extensive discussions had already taken place before on what should be the union of a man and a woman. When the Church introduced the idea that it was a sacrament that could not be defeated, progress resulted, since the right to repudiation was cancelled. Yes, colleagues, I am talking about progress made by the Church! The impossibility of repudiation, because marriage was a sacrament to be answered before God, constituted a progress of law. And no matter why this progress has taken place. Anyone who thinks here that the existence of God is not absolutely proven can say that, after all, with such a change, one was merely subscribing to a social convention. But I am not saying anything else today: our debate is about a social convention, and I propose that we assume our responsibility; Let us assume that we have created a new sonship. Mr Aubert, who is against this new filiation, opposed me, very logically, that we were going from one difficulty to the other. That's right, but it's life! Difficulties are solved!
ParlaMint-FR_2019-10-01-O1003.u37	Or not!
ParlaMint-FR_2019-10-01-O1003.u38	In ten or twenty years, this debate will appear as incongruous as it was, thirty or forty years ago, the debate on the fate of children from divorced families. They were then afraid of a real catastrophe and of the impossibility of any development; They were considered poor, unhappy little ones. Today, none of us think that way anymore. We all know that their situation depends on family relations, on the love given to them and on many other things. In any case, none of us will say that, by essence, divorce is destructive to the child. As time has passed, it is even considered that there is increased freedom for children from recomposed families. Some people think their situation is even better, because they have a margin of assessment of their relationship to adults, which makes them more autonomous and stronger. We could never have said that 30 years ago: many would have been the protests, we would have talked about "palliative"... We know today that things are a little more complicated than we were then. I therefore believe that we must assume our responsibility. We have created a new filiation, it must be flawless; I don't want a character suddenly popping up. And the fact that we're asking is not a reason enough. Suppose, for example, that everyone here be taken from a doubt, shaken by my words, and said, "Melenchon keeps saying that paternity is a presumption. Heaven, what do I know about mine? » And everyone wants to check if his father is his father.
ParlaMint-FR_2019-10-01-O1003.u39	We're gonna have some surprises!
ParlaMint-FR_2019-10-01-O1003.u40	It's gonna be complicated!
ParlaMint-FR_2019-10-01-O1003.u41	That would be monstrous! Paternity is declarative, a point that's all. [[Smile]] In this case, it's the same: there are two moms, and they're the parents. This is what we call parenthood, in this new filiation that we create. Can anyone else come up in the middle? The answer is no. Why? Because.
ParlaMint-FR_2019-10-01-O1003.u42	That's not bad!
ParlaMint-FR_2019-10-01-O1003.u43	Yes, because the company has decided, as with everything else, colleagues! Indeed, society has no other instrument than us to decide; We represent her. We can, of course, deceive ourselves and make bad decisions, but we do. We must put an end to this idea of rights with varying geometry on these subjects which affect as much the identity and social relations of parenthood. Here, a small window to smuggle a father; There, another small window to smuggle a mother... what is this story? Between one situation and another, you have to choose. The worst thing is to put people in darkness and grayness. You have not answered my argument, colleagues. Suppose that the question be asked to a breeder, or to a breeder, who would have donated his gametes as, in his will, gift of his heart, liver, kidney or spleen after his death; assume that he or she refuses to answer and testify to his or her interest. What then would be the right of the person who asked the question? It is not true that freedom is created that allows for further development. I do not take away from you the rationality of your position, which is one position like another, but admit that it does not impose itself more forcefully than the one I support, namely the preeminence of the law and the common decision on what the relations of filiation are. Our colleagues are consistent: they are opposed to the bill; They vote against anything that can lead to the invention of a new filiation.
ParlaMint-FR_2019-10-01-O1003.u44	Exactly!
ParlaMint-FR_2019-10-01-O1003.u45	We feel understood!
ParlaMint-FR_2019-10-01-O1003.u46	But I am speaking to you, colleagues of the La République group, because I know your intentions: you want to create a new filiation, but you are being taken back by those who reintroduce biological truth through the window when you have just chased it out the door!
ParlaMint-FR_2019-10-01-O1003.u47	It's the "at the same time"!
ParlaMint-FR_2019-10-01-O1003.u48	[[Applause on the benches of the FI and GDR groups]] You are faced with a real contradiction, but it is neither serious nor surprising, because these subjects are not simple.
ParlaMint-FR_2019-10-01-O1003.u49	The minister has the floor.
ParlaMint-FR_2019-10-01-O1003.u50	Mr Mélenchon, you have committed two confusions, which I must rise to. Firstly, as the rapporteur said, there is a difference between organ, tissue or cell donation and gamete donation. In the latter case, a third person is involved, namely the child born to the LDC, who is neither a recipient nor a donor. It exists on its own, and we offer it a right, which it will not be obliged to activate. The second confusion, which you have made several times – that's why I get up – is to assimilate the gamete donor to a father. In no way is a gamete donor a father, in no way!
ParlaMint-FR_2019-10-01-O1003.u51	There!
ParlaMint-FR_2019-10-01-O1003.u52	You talked about the donor, biological father, biological filiation, etc. No, a gamete donor is a gamete donor. It is in the civil code, it will be in the public health code; It does not open any rights or duties. [[Applause on many benches of the LaREM group. – Mr. Matthieu Orphelin also applauds]] My contribution will be limited to these clarifications.
ParlaMint-FR_2019-10-01-O1003.u53	As soon as we can find him, he becomes a father!
ParlaMint-FR_2019-10-01-O1003.u54	Mr Bruno Fuchs has the floor.
ParlaMint-FR_2019-10-01-O1003.u55	I don't have the certainty of Jean-Luc Mélenchon, but I have a few fears about what we're doing. Through a movement that seems logical and well-founded, we are about to give children the right to return to their origins, but this right will be exercised eighteen, twenty, twenty-five, thirty years after the gift. We do not know what will happen in the next twenty or thirty years. The young person who will ask to exercise this right will be confronted with a biological father who has lived thirty years more, who will no longer have the life that was his at the time of the gift, who will no longer be the one who gave his gametes thirty years earlier. This could create situations, so to speak, unreal. I can hear you, Madam Minister, when you say that the donor is just a gamete donor, but when you discover his real identity, it is not a gamete that you will have before you, but an individual!
ParlaMint-FR_2019-10-01-O1003.u56	That's right!
ParlaMint-FR_2019-10-01-O1003.u57	And this individual, I repeat, will have lived twenty or thirty years after his gift and before his identity is revealed. This will make personal interactions inevitable: we will project ourselves; we'll have the feeling that the other one has succeeded in his life, or missed it; We'll compare the life we've had with our social family to the life we could have had with the donor. [[Mr Jean-Christophe Lagarde and Mr Guy Bricout applaud]] All this has not yet been studied; We open a right without really measuring the consequences. I am not sure that the situations we are going to bring young people to live are beneficial for their development.
ParlaMint-FR_2019-10-01-O1003.u58	All right!
ParlaMint-FR_2019-10-01-O1003.u59	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-10-01-O1003.u60	A gamete donor is not a father, says the minister. It is a statement, with which one can agree or disagree; This is the subject of debate. It all depends on how everyone sees things.
ParlaMint-FR_2019-10-01-O1003.u61	No, there's no debate!
ParlaMint-FR_2019-10-01-O1003.u62	You think that there is no bodily aspect in filiation; We think that there is one, even if the filiation is not reduced to this pillar,...
ParlaMint-FR_2019-10-01-O1003.u63	It's still the first!
ParlaMint-FR_2019-10-01-O1003.u64	... since we must add the emotional pillar and the social pillar to which our colleague Mélenchon referred.
ParlaMint-FR_2019-10-01-O1003.u65	We're not in the 19th century anymore...
ParlaMint-FR_2019-10-01-O1003.u66	And it's not because you say that that that's true. In the search for the identity of a breeder, there is a part of the search for paternity. The law may or may not call this genitor a father, but one cannot sweep this dimension with a back of hand by saying: "Circulate, there is nothing to see, there is no debate! » [[Applause on the benches of the LR group. – Mrs Agnes Thill also applauds]] It was my intention to express myself only at the beginning of the article's examination, to express my opposition to the disclosure of the identifying data because of my conception of filiation. With the amendment tabled by our colleague Dharréville – and the debates that he has raised – I find this idea again, despite our differences of opinion: we always return to the body, we are always caught up in the realities of the body, and that, Madam Minister, you cannot, I repeat, sweep it away.
ParlaMint-FR_2019-10-01-O1003.u67	Amendment No 2245 by Mrs Annie Genevard is being defended.
ParlaMint-FR_2019-10-01-O1003.u68	I have before me six identical amendments, Nos 77, 148, 404, 769, 1115 and 1200. Amendment No 77 by Mr Xavier Breton is being defended. I call Mr Arnaud Viala to support Amendment No. 148.
ParlaMint-FR_2019-10-01-O1003.u69	It is intended to delete the words "or of a woman" and "or another woman" in paragraph 7.
ParlaMint-FR_2019-10-01-O1003.u70	I call Mr Patrick Hetzel to support Amendment No. 404.
ParlaMint-FR_2019-10-01-O1003.u71	Because of the scheduled legislative time, I will only say "defended".
ParlaMint-FR_2019-10-01-O1003.u72	Identical Amendments Nos 769 by Mr Marc Le Fur, 1115 by Mrs Véronique Louwagie and 1200 by Mr Thibault Bazin are being defended. What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-10-01-O1003.u73	Their purpose is to exclude from the definition of third-party donors women who would give an embryo, but also, by ricochet, to exclude women alone from access to the LDC. In view of the long debate we have had on Rule 1, for which Jean-Louis Touraine was rapporteur, you will not be surprised that the opinion of the committee is unfavourable.
ParlaMint-FR_2019-10-01-O1003.u74	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 2548.
