ParlaMint-FR_2019-07-16-E1013.u1	The next item is the question to the Government.
ParlaMint-FR_2019-07-16-E1013.u24	It is in crisis because it seems too often to renounce its promises, because inequalities are spreading, because the general interest is not sufficiently defended, because too many women and men lack housing, wages, pensions. Our Republic is in crisis because the policies that you pursue relentlessly have only one purpose: to rely more and more on the market. You organize the confusion of interests, you want a public power reduced to the role of pass-plate for the lobbys of finance. You're attacking the public service, the public services. You're attacking employees, pensioners, the unemployed. You're attacking our rights. You chose to be strong when you couldn't sneak through. You will continue in catini with the CETA Treaty on Free Trade. You reward those who quit, you dilapidate Aéroports de Paris, you break the National Agency for Adult Vocational Training. You seek to camouflage the crudity of these acts in your speech but they never end up coming back to your face. You have moralized the whole of France, favored the first of the ropes, exercised a narcissistic power instead of facing the major social, ecological, democratic issues. [["Oh! » on a few benches of the LaREM group]] Even today, surveys show the effects of air pollution or the extent of occupational health damage. Emergencies and firemen are on strike. Are you still in a position to govern? [[Applause on the benches of the GDR and SOC groups as well on some benches of the FI group]] With you, it is the privatized Republic, it is the prevented Republic, it is the Republic for some. Your policy is ruining the Republic. It needs to be recast into dynamics for the protection and promotion of common goods. When, Prime Minister, will you finally put your bag down a little, stop this flight forward and listen to the country that never ceases to scold?
ParlaMint-FR_2019-07-16-E1013.u25	The Prime Minister has the floor.
ParlaMint-FR_2019-07-16-E1013.u26	Mr Dharréville, I could point out the meaning of the nuance that governs the formulation of your question.
ParlaMint-FR_2019-07-16-E1013.u27	As if you were nuanced!
ParlaMint-FR_2019-07-16-E1013.u28	But I would like to answer your question as directly and sincerely as possible. You say that we do not listen and that the only concern of our policy would, in the end, be to put the Republic on its knees to make the market prevail. It does not correspond to what I think, but it sums up, I believe, what you said.
ParlaMint-FR_2019-07-16-E1013.u29	Yes, that's it!
ParlaMint-FR_2019-07-16-E1013.u30	You understand...
ParlaMint-FR_2019-07-16-E1013.u31	I will tell you what has prevailed in the decisions taken by the Government. We have made the choice to strengthen all the sovereign missions of the State, by granting, it is true, more resources to the defence, by recruiting, it is true, more agents within the national police, the gendarmerie or the DGSI – Directorate-General for Internal Security – by making, it is true, a considerable effort to strengthen the budgets of the justice system. [[Applause on a few benches of the LaREM group]] [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] In short, under all circumstances, we have defended, by increasing their budget, the sovereign activities of the state – those which, as you know, Member of Parliament, are irreducible to the market and which no private actor can take on his own account. We have done this after many years of disinterest or even abandonment. How can you say, when such choices are massive, clear and discussed before public opinion, that, in doing so, we would bring the Republic back to nothing and want the market to prevail? Mr President, with the good faith that characterizes you, how can you say that? In the same way, we are trying to repair several social devices which, if we read their description, seem to have good intentions but which, objectively, in France as it is, do not work, sometimes amount to declaratory rights and do not contribute to real equality of opportunity. When we take these problems to the root, I do not believe that we are making the market prevail, but rather that we are returning to the very origin of the republican promise. This is the case when we decide to split small classes so that everyone can acquire, at the beginning of life, education, chances of success rather than trying, ten years later, to correct inequalities that will have increased. By doing so, we are trying to strengthen the Republic and certainly not to make the market prevail. Why do we make sure that in our country, yes, companies succeed, yes, we create growth, yes, we attract capital, including foreign capital? Because we want more wealth to be created, so redistributed, in France. For there lies also the republican promise. I do not believe that a single thinker of the Republic wanted a poor France to achieve equality.
ParlaMint-FR_2019-07-16-E1013.u32	Bravo!
ParlaMint-FR_2019-07-16-E1013.u33	[[Applause on the benches of the LaREM and MODEM groups as well as some benches of the IUD-I group]] On the contrary, I believe that France must be prosperous in order to be strong.
ParlaMint-FR_2019-07-16-E1013.u34	Mr Yannick Favennec Becot has the floor.
ParlaMint-FR_2019-07-16-E1013.u35	My question is for the Minister of Economy and Finance. The first of the territorial divides is the digital divide. We have therefore carefully looked at the launch by ARCEP – the Electronic Communications and Posts Regulatory Authority – of the 5G frequency allocation process. Compared to 4G, 5G offers tenfold flow rates and reduced latency times. It allows new uses and opens up futuristic perspectives: use of connected cars or telesurgery. You have to have access to it again! Indeed, despite the announcement effects, our citizens are living a reality far removed from the promises of operators and ARCEP, especially in rural areas. In some municipalities there is no mention of 5G, not even 4G or 3G and white areas remain.
ParlaMint-FR_2019-07-16-E1013.u36	Yes!
ParlaMint-FR_2019-07-16-E1013.u37	[[Applause on several benches of the SOC Group and the LR Group]] [[Mr Garot, Mrs Rabault and Mr Dufrègne applaud]] It is still a reality today. However, the first review of your new mobile deal, announced at the beginning of 2018, is more than contrasting. Thus, during the last quarter, no 4G antennas were deployed in my department, Mayenne, nor in others. [[Applause on the benches of the LT group]] So my question is simple: will the objectives of this new deal be fulfilled? We saw that the state did not seem to auction 5G frequencies as a way to bail out its crates. We also saw that performance targets, all technologies, had been defined. All right. However, a shadow zone remains: what sanctions will be imposed in the event of non-compliance by operators with their deployment obligations? Our citizens do not expect commitments but concrete and rapid results.
ParlaMint-FR_2019-07-16-E1013.u38	The next speaker is the Minister for City and Housing.
ParlaMint-FR_2019-07-16-E1013.u39	I can't let you talk like that! Digital is not a luxury, it's a right, you've always heard me say it.
ParlaMint-FR_2019-07-16-E1013.u40	We've done things before!
ParlaMint-FR_2019-07-16-E1013.u41	[[Applause on the benches of the LaREM group and on a few benches of the MODEM group. – Exclaims on the benches of the LR group]] Since the launch of this new deal 18 months ago, nearly 1200 white areas have been identified, as much as in the last 10 years. The pace of deployment is multiplied by five. Moreover, since January 1, 2018, 4500 sites have moved from old to new technologies – and you are right to raise this issue a thousand times. Many Members here know this: we have visited many places concerned. A few days ago, I was at the Guedelon site, where the people present expressed a very strong emotion by noting that a mobile phone tower had finally been installed.
ParlaMint-FR_2019-07-16-E1013.u42	That's bullshit!
ParlaMint-FR_2019-07-16-E1013.u43	As you know, a courageous act had to be accomplished: to change the philosophy behind the granting of these frequencies.
ParlaMint-FR_2019-07-16-E1013.u44	It's not working!
ParlaMint-FR_2019-07-16-E1013.u45	That's what we did with Bruno Le Maire and Agnes Pannier-Runacher, and that's how we were able to launch this new deal. We will also do so with regard to 5G, as announced by the Minister and the Secretary of State, so that 5G benefits not only the densest areas but also rural areas. [[Applause on the benches of the LaREM group and on some benches of the MODEM group]] Be convinced of this government's full determination to ensure that digital and mobile telephony are an opportunity for all. We can't see the bars on our phones anymore. In the space of two years, we have gone five times faster than in the last ten years.
ParlaMint-FR_2019-07-16-E1013.u46	Mrs Laurence Dumont has the floor.
ParlaMint-FR_2019-07-16-E1013.u47	[["Yes! » on some benches of the LR group]] Tomorrow, our assembly will be asked to vote on the ratification of CETA – Comprehensive Economic and Trade Agreement, or Comprehensive Economic and Trade Agreement. This trade agreement, concluded between the European Union and Canada, will have unprecedented and dangerous consequences for the planet, our agricultural model and our public services. There are many reasons why this text should be rejected; I want to point out here one which alone illustrates the dangerousness, and the lies which the Government is prepared to take to make it pass at all costs: the use of animal meal. Forbidden in Europe since the tragic episode of the "mad cow," these flours are allowed in Canada, no matter what the majority say: this is a first lie.
ParlaMint-FR_2019-07-16-E1013.u48	Yes, that's right!
ParlaMint-FR_2019-07-16-E1013.u49	Secondly, you claim that, in any event, under this Treaty, no meat from cattle fed with animal meal will be allowed to enter the European market. That's not true! And your ministry ended up recognizing him yesterday at a press conference.
ParlaMint-FR_2019-07-16-E1013.u50	That's right!
ParlaMint-FR_2019-07-16-E1013.u51	There are no clauses in CETA that impose such a ban on our imports. No, CETA gives us no way to protect ourselves from these meats from animal meal-fed farms. No, Mr. Lemoyne, Nicolas Hulot did not lie on this point. Yes, we will indeed open our market to products that do not meet our production standards or the expectations of society. [["Yes! on several benches of the LR group]] In the middle of the summer, in catini – since you refused, this morning, a solemn vote on this so important subject –...
ParlaMint-FR_2019-07-16-E1013.u52	A little courage!
ParlaMint-FR_2019-07-16-E1013.u53	[[Applause on the SOC, GDR and LR benches]] ...you want to force this tailor-made agreement for multinationals. [[Applause on the SOC, GDR and FI benches]] You do this against the opinion of many, many people: experts, agricultural world, civil societies on both sides of the Atlantic and a large majority of French. All have spoken in recent days to refuse such a deepening of globalization to the detriment of the ecological, health and social emergency. Will you finally listen to them?
ParlaMint-FR_2019-07-16-E1013.u54	The next speaker is the Secretary of State to the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2019-07-16-E1013.u55	[[Claims on several benches in the LR group]] Thank you, Mrs Dumont, for this question which allows me to clarify certain things. In the field of health, the standards and requirements of Europeans will remain unchanged. After CETA, it will be no more possible than before it to import, in Europe, beef with hormones, transgenic salmon, animal flours of the type you have described, that is, flours from ruminants.
ParlaMint-FR_2019-07-16-E1013.u56	Liar!
ParlaMint-FR_2019-07-16-E1013.u57	[[Applause on the benches of the LaREM group. – Long exclamations on the SOC, FI and LR panels]] Look carefully: animal flours from ruminants are not allowed by this agreement!
ParlaMint-FR_2019-07-16-E1013.u58	Liar!
ParlaMint-FR_2019-07-16-E1013.u59	Please, ladies and gentlemen.
ParlaMint-FR_2019-07-16-E1013.u60	[[Huties]] It is important that France, a country of the Enlightenment, does not sink into the irrational. [[Same movements]] Please be aware, Madam Member, that, thanks to this agreement, protected geographical indications, such as the bishop bridge, the libarot or the camembert of Normandy, to which I imagine you attached, will be protected from competition, from any copy. [[Protests on the SOC benches. – Applause on the benches of the LaREM group and on some benches of the MODEM group]] So what is the majority that supported the previous Government, the one that signed CETA? Yours, Congresswoman! And what is the majority that supports the government that has obtained a climate veto from Canadians?
ParlaMint-FR_2019-07-16-E1013.u61	Lie!
ParlaMint-FR_2019-07-16-E1013.u62	[[Same movements]] The current majority! [["Laughter! » on the benches of the LR and FI groups]] What is the majority who have done exemplary work to complete CETA with an ambitious environmental agreement? Still the current majority, with Nicolas Hulot! It is important to clarify that the agreement we are talking about allows our sectors to export more and better: you will be able to ask all those of our farmers who, in the milk, cheese or wine and spirits sectors, benefit from it. [[Applause on the benches of the LaREM group and on several benches of the MODEM group]] Thank you, therefore, for allowing me to put the church back in the middle of the village!
ParlaMint-FR_2019-07-16-E1013.u63	[[Applause on the benches of the LaREM and MODEM groups. – Protests on the benches of the LR Group as well as among non-attached Members]] Ladies and gentlemen, I repeat how much I would like you to have the dignity to listen to the answers if you want us to listen to your questions.
ParlaMint-FR_2019-07-16-E1013.u64	The floor is for Mr Stéphane Trompille, and for him alone.
ParlaMint-FR_2019-07-16-E1013.u65	My question, to which I associate my colleague Olivier Becht, is addressed to the Minister of Armed Forces. Last Saturday, in front of the military community gathered at the Hotel de Brienne, the President of the Republic spoke about the new space defence strategy. He announced the establishment of a great command dedicated to space, which, based in Toulouse next September, will eventually become the Air and Space Army. We welcome this announcement, which makes space a strategic priority, as advocated in the information report I presented six months ago with Olivier Becht. Here I would like to commend our collaboration. This report highlights the fact that the increasing occupation of outer space, both for military and civilian purposes, has led to multiple risks. Space has thus become a place of confrontation. The 1500 satellites currently orbiting the planet are potential targets. By the risk of conflicts to which it exposes States, outer space is now, more than ever, a real issue of national security and sovereignty.
ParlaMint-FR_2019-07-16-E1013.u66	It's the government that's in the moon!
ParlaMint-FR_2019-07-16-E1013.u67	With a budget of €3.6 billion for defence space, the military programming law represents an unprecedented effort to renew and modernize our capabilities. This effort must be accompanied by an ambitious doctrine to protect our satellites and their missions. In the event of an attack on our satellites, we would return, for example, from GPS to compass. Our hospitals, telecommunications and many of our infrastructure would be undermined, with dramatic consequences for our armed forces and, more broadly, for the day-to-day functioning of our country. France can rely on a world-leading industrial and technological base, a driving force in Europe, to protect its satellites. If the establishment of a space force, on the American model, is not on the agenda, the new command must allow us to gather all the means of our armies. [[Applause on several benches of the LaREM group]] What, then, are the next deadlines for the implementation of the new French space strategy?
ParlaMint-FR_2019-07-16-E1013.u68	The Minister of the Armed Forces has the floor.
ParlaMint-FR_2019-07-16-E1013.u69	You are right, honourable Member: if, tomorrow, one of our satellites or all of them were neutralized, France would suffer a huge blackout of its communications. This scenario is not enough to anticipate it: it must be prevented, because our strategic autonomy depends on it; It depends on the security of our space capabilities. This concern, as you pointed out, is at the heart of the military programming law, which provides for the renewal of all military satellite capabilities. However, it is necessary to go further, which was the meaning of the recommendations of the information report that you have drawn up with Mr Olivier Becht. On 13 July, the President of the Republic wanted to bring a major inflection to our space defence strategy. He announced that France would significantly strengthen its space monitoring capabilities. This better anticipation of the threats to our satellites will allow us to better protect them, including what is new, in an active way. To this end, a major space command will be created next September within the Air Force, which will eventually become the Air and Space Army. Composed from its beginnings of 230 people, this command will gradually rise in power and, for the most part, it will be located in Toulouse, from where will be conducted our military space operations. [[Applause on several benches of the LaREM group and on a few benches of the MODEM and IUD-I groups]] For my part, on 25 July in Lyon, I will have the opportunity to detail France's determined response to the inamical space actors. This new strategy will allow France to retain its place at the forefront of space powers.
ParlaMint-FR_2019-07-16-E1013.u70	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-07-16-E1013.u71	My question is to the Minister for Agriculture and Food. The national agricultural model, that of family farms and man-made farms, has always shaped the history and landscapes of our countryside. It is this agriculture that can meet the challenges of the present: those of quality, of respect for the environment and of a local economy that takes shape with its social environment. Far from being the agriculture of our grandfathers, it is a model of the future. [[Applause on the benches of the IDU-I group]] However, this model is in danger today, the victim of a very French administrative drift and the victim of the tendency to want to be ever more exemplary, a trend which is certainly commendable, but which is a ball for our farmers – which will be the case until the same example is imposed on other agricultural models, be they European or global.
ParlaMint-FR_2019-07-16-E1013.u72	All right! Excellent!
ParlaMint-FR_2019-07-16-E1013.u73	This drift is in particular the result of a heavy trend: the over-transposition of European standards into French law. Thus, when a recent circular bans baiting while the European directive, by removing two molecules, does not prohibit the process but merely regulates its use, this over-transposition logic puts the agricultural sector in difficulty by an additional cost caused by the longer, less efficient and more expensive alternative processes. I could multiply the examples that penalize our agriculture. Another drift that undermines our agricultural model: the weight of the health controls and standards required for French agricultural production, whether destined for the national market or for export. As we know, these standards are not the same for productions of other agricultural models, which are supported by free trade agreements such as CETA – Comprehensive Economic and Trade Agreement; Comprehensive economic and trade agreement – or MERCOSUR – Mercado Común del Sur; Southern Common Market – agreements that represent new threats to the already fragile balance of the beef, pig or poultry sectors. [[Applause on the benches of the IDU-I group. – Mrs Ressiguier and Mr Ruffin also applaud]] It is not true that these imported products will have undergone the same level of demand and control as our own products. It is not true that our farmers are fighting on equal terms with farmers in North or South America. Therefore, Minister, what policy, what measures does the Government intend to take to counter these abuses, to support our agriculture and our farmers in a context of increased competition?
ParlaMint-FR_2019-07-16-E1013.u74	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2019-07-16-E1013.u75	The Government is taking all necessary measures to support the agricultural world,...
ParlaMint-FR_2019-07-16-E1013.u76	You'd know that.
ParlaMint-FR_2019-07-16-E1013.u77	... in particular to reduce tax, social and economic dumping between France and other countries in the world, but also between France and other European countries. Indeed, the challenge is to ensure that intra-European harmonisation is the strongest. When the majority launched the general states of food,...
ParlaMint-FR_2019-07-16-E1013.u78	Are you talking about Travert? ...
ParlaMint-FR_2019-07-16-E1013.u79	[[Claims on several benches in the LR group]] ... it is precisely so that farmers' incomes increase as much as possible. And when the majority, under the authority of the Prime Minister, is working to get back on the posted workers directive, it is to promote fiscal harmonisation. When the majority, but also the whole Assembly, votes to maintain the system on casual workers seeking employment – TODE –,...
ParlaMint-FR_2019-07-16-E1013.u80	All right!
ParlaMint-FR_2019-07-16-E1013.u81	... it is so that our arboriculture, our viticulture, is not handicapped compared to those of other European countries. Be sure that my administration is doing everything possible to ensure that we carry out the strictest checks. This means that fiscal and social harmonisation between the countries of the European Union must be the best possible. That's what this is about. When we gradually free ourselves from our dependence on plant protection products, we do so for the good of the environment and to protect our citizens. That is why we are asking all European countries – we did so yesterday again in Brussels – to move in the same direction. [[Applause on many benches of the LaREM and MODEM groups]] You are right, honourable Member: harmonization, for a more sustainable, safer, fairer agriculture, is the challenge that the Government has taken up and I am sure that you will go in the same direction as us. Thank you for your help.
ParlaMint-FR_2019-07-16-E1013.u82	The CETA will probably contribute to this!
ParlaMint-FR_2019-07-16-E1013.u83	Mrs Stéphanie Kerbarh has the floor.
ParlaMint-FR_2019-07-16-E1013.u84	Madam Secretary of State to the Minister of State, Minister for the Ecological and Solidarity Transition, I associate myself with my question, Danielle Brulebois. Nine personalities appointed ambassadors, a steering committee, four thematic workshops, two public consultations with nearly 4700 contributions and 46,000 votes, 700,000 contributions on the issue of waste during the major national debate... Since October 2017, the Government has been working with all stakeholders – businesses, citizens-consumers, elected officials, communities, associations, state services... – to transform our economic model and commit to a circular economy. We need to reduce our waste generation by implementing all solutions to make them new resources. The draft law on the fight against waste and the circular economy was presented last Wednesday in the Council of Ministers. This will be a true ecological turning point for the country. This text is not limited to waste management. For the first time, legislation will not only take into account the end-of-life of products, but will also include measures to improve production by promoting eco-design, and to improve consumption by promoting consumer information. This bill is ambitious and includes real concrete measures to put an end to waste. This is a major change in our industrial policy. This real transformation creates many local jobs. On average, recycling creates six times more jobs than landfilling. [[Applause on several benches of the LaREM group]] However, the Secretary of State, the local authorities are concerned about these changes. In order for them to have the most clear information possible, can you tell us what measures will affect them directly?
ParlaMint-FR_2019-07-16-E1013.u85	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
ParlaMint-FR_2019-07-16-E1013.u86	Be careful, she'll roar!
ParlaMint-FR_2019-07-16-E1013.u87	Thank you for your question, thank you also to all your colleagues, on all sides, for their support, for their work over the past 18 months, in the development of this bill, which aims to give even more power to local and regional authorities. You are right: what better scale to act than that of communities, cities? The power must therefore be returned to local elected officials. However, the text in question was designed with them, by them and for them. [[Protests on the benches of the SOC and GDR groups]] Indeed, the last major law on waste recycling dates back to thirty years ago. As a result, many practices are of a different age. We therefore want, I insist, to empower mayors so that they can, from the very beginning of their term of office, have free hands to implement a real policy on circular economy, an ambitious policy.
ParlaMint-FR_2019-07-16-E1013.u88	[[Rires on the benches of the LR group]] And what do we do with crustacean waste?
ParlaMint-FR_2019-07-16-E1013.u89	We intend to fight against the wild dumps – a real scourge – that cost communities between €340 million and €420 million each year.
ParlaMint-FR_2019-07-16-E1013.u90	Of course, but what garbage can we put crustacean waste in?
ParlaMint-FR_2019-07-16-E1013.u91	We want to address the root of the problem by providing solutions to communities. In this way, we will offer construction professionals the possibility of taking back their sorted waste free of charge by also strengthening the mayor's powers. We will also create new categories of polluter-pays for these same communities and transfer to the professionals the responsibility of managing six families of products including tobacco, wipes, sports goods... [[Applause on a few benches of the LaREM group]] Finally, one figure should be kept in mind: the budget that the French authorities spend on waste management is around EUR 11 billion a year. For these communities, the resale of plastic bottles represents an income of about 50 million euros per year, that is...
ParlaMint-FR_2019-07-16-E1013.u92	Thank you, Madam Secretary of State!
ParlaMint-FR_2019-07-16-E1013.u93	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-07-16-E1013.u94	[[Protests on the benches of the LaREM group. – Exclaims on the benches of the LR group]] Minister for National Education and Youth, my question concerns the quality of the public service of education. I won't come back to the chaotic organization of the baccalaureate. This year, we saw errors in subjects, leaks of subjects, results accessible the day before the official publication of the results, and, to top it all up, the publication, in total illegality, of provisional results that generalized the inequality of treatment between the candidates.
ParlaMint-FR_2019-07-16-E1013.u95	Nice work!
ParlaMint-FR_2019-07-16-E1013.u96	Alas! The patent has also made us live in very ubiquitous situations. As a result of the heat, all the trials were moved on 1 and 2 July. Some students, unable to attend the exam, had registered for the September catch-up. What was not the surprise of some of them to learn that they were received without having passed the July event, while remaining registered to take the event in September! [[Applause on the benches of the LR group. – Mr Jean-Louis Bricout and Mr Régis Juanico, as well as several non-attached Members, also applaud]] So my question is simple – many students and families ask themselves: after being officially awarded a college certificate, will these students, yes or no, have to go back to the test in September? What are you going to do to prevent such situations from happening again in the future, because you are still in charge of the public service of national education?
ParlaMint-FR_2019-07-16-E1013.u97	The Minister for National Education and Youth has the floor.
ParlaMint-FR_2019-07-16-E1013.u98	And the abandonment of rural areas!
ParlaMint-FR_2019-07-16-E1013.u99	Mr Hetzel, your question has several aspects. I already spoke about the bachelor's degree last week. Last June, we ensured the continuity of the public service in the face of three crises: two reached the baccalaureate, and a third, due to climatic conditions, the patent. We have systematically chosen the student as the first criterion: how could he pass his exams under the most normal conditions possible, and how could he achieve his results?
ParlaMint-FR_2019-07-16-E1013.u100	Any results!
ParlaMint-FR_2019-07-16-E1013.u101	[[Applause on the benches of the LaREM and MODEM groups. – Protests on several benches of the LR group]] We answered these questions. That is what we have achieved. I'm not going back to the details. I note that several Members of your political group, Mr Hetzel, have welcomed what has been done to ensure the continuity of public service. You should tune your violins, including with the president of the group The Republicans who spoke publicly on the subject! Mr. Member, you had a reputation for being familiar with the French school system. Allow me to remind you of a rule you knew: the continuous check notes of some students are sufficient, before they pass the tests, for them to be considered admitted. This does not prevent them from passing tests whose results allow them to obtain information. Since you are giving me the opportunity, I would like to point out that the patent has, in fact, gone well, and that national education has shown its professionalism. In three days, on the basis of weather forecasts, she managed to move an event, which was to be attended by more than 800,000 students, from Thursday and Friday to Monday and Tuesday, and almost 99% of those who had to attend were there.
ParlaMint-FR_2019-07-16-E1013.u102	Are you really satisfied with all this?
ParlaMint-FR_2019-07-16-E1013.u103	[[Applause on the benches of the LaREM and MODEM groups]] So there will finally be few students at the catch-up session. They will pass this test under very normal conditions, identical to those of previous years.
ParlaMint-FR_2019-07-16-E1013.u104	All right!
ParlaMint-FR_2019-07-16-E1013.u105	Mr Fabien Lainé has the floor.
ParlaMint-FR_2019-07-16-E1013.u106	Madam Minister of the Armed Forces, you will allow me to associate my colleague Jean-Luc Lagleize, chairman of the Assembly's study group on the aeronautics and space sector, and my colleagues in the MODEM group who are members of the Committee on National Defence and the Armed Forces. The announcement of the creation of an army of air and space shows this: our army wants to pioneer; It is in this respect of his culture that the choice of the President of the Republic pays tribute. Outer space is a highly strategic field, a new dimensional theatre. From the simple ATM to autonomous cars, all contemporary and future civil systems depend on it. In military matters, intelligence of technical satellite origin is vital. Losing control of space today means abandoning our sovereignty tomorrow. If, however, space conquest is no longer the only monopoly of States, they must play their regulatory role. As you know, Madam Minister, in outer space, the irresponsibility of one actor endangers all the others, if only by the multiplication of objects whose collision raises fears of a chain reaction that can permanently close our access to the stars. I am referring to Kessler's syndrome, described in 1978 within NASA. Whereas today there are 1500 satellites in orbit over the Earth, they will be 7,000 within ten years!
ParlaMint-FR_2019-07-16-E1013.u107	It's mostly François de Rugy who's in orbit!
ParlaMint-FR_2019-07-16-E1013.u108	In the context of the arsenalization of space, can you tell us the main directions of the Government in terms of capacity, particularly in terms of anti-satellite capabilities, from Earth to space, as well as from space to space? Can you inform us in detail of the state of the French reflection on armaments from outer space to Earth? Finally, what place can European cooperation take on these new challenges, because France will not be able to compete on its own for a long time?
ParlaMint-FR_2019-07-16-E1013.u109	The Minister of the Armed Forces has the floor.
