ParlaMint-FR_2019-10-03-O1008.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-03-O1008.u12	It is defended, because of the scheduled legislative time.
ParlaMint-FR_2019-10-03-O1008.u13	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u14	Unfavorable.
ParlaMint-FR_2019-10-03-O1008.u15	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u16	We are giving an unfavorable opinion at this stage. You explain, Madam Member, that the case law of the European Court of Human Rights on this subject is evolving: we are aware of it. We will probably be able to deepen it in the course of the parliamentary shuttle.
ParlaMint-FR_2019-10-03-O1008.u17	I have before me six amendments, Nos 1842, 1764, 1591, 1157, 2149 and 1058, which can be discussed jointly. Amendments Nos 1157 and 2149 are identical. I call Mr Thibault Bazin to support Amendment No. 1842.
ParlaMint-FR_2019-10-03-O1008.u18	I propose to insert after article 47 of the Civil Code an article 47-1, which reads as follows: "The birth certificate drawn up in execution of a foreign decision may not be transcribed to the civil registry where there are serious indications that there is a fraudulent process involving a reproductive or pregnancy agreement on behalf of others. In all French territory, no decision of any authority whatsoever, no act, whatever its legal nature, may have as its object the recognition of procreation or gestation on behalf of others, including foreign citizens, regardless of their nationality. »
ParlaMint-FR_2019-10-03-O1008.u19	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u20	I understand your concern. As we recalled at the end of this afternoon's session, the GPA – pregnancy for others – is clearly prohibited in France: Articles 16-5 and 16-7 of the Civil Code, which we have commented on at length, leave no ambiguity in this regard. However, it would be difficult to prohibit in law the legal recognition of the existence of a child in France on the grounds that he or she was born from a GPA abroad; There are countries where they can be used legally. We would like to avoid opening the debate on the amendment of Article 47 of the Civil Code, which would lead to a clear extension of the subject of the discussion, particularly in the area of immigration law. The opinion is therefore unfavourable.
ParlaMint-FR_2019-10-03-O1008.u21	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u22	It is also unfavourable. We are extremely strict about the prohibition of GPA and have found a balance between this position and the requirement of the European Court of Human Rights to establish a filiation, in accordance with the interests of the child.
ParlaMint-FR_2019-10-03-O1008.u23	Mr Jean François Mbaye has the floor to support Amendment No. 1764.
ParlaMint-FR_2019-10-03-O1008.u24	It is intended to enable children born of pregnancy abroad to benefit from a bond of filiation with their mother of intention. Although the practice of pregnancy for others is prohibited in France, the children who come from it, when it is carried out abroad, are in no way responsible for their design. Therefore, and in view of the best interests of the child, it is for the legislator to put in place the mechanisms necessary to establish a relationship of filiation between the child and his or her mother of intention. The status quo does not safeguard the interests of the child, nor does it satisfy the requirements of France's international commitments, as interpreted by the European Court of Human Rights – ECHR. Since the conviction of France in 2014 by the ECHR, the only satisfactory solution seems to be an amendment of the law, the only normative vehicle able to guarantee the effectiveness of the mechanisms of recognition of filiation of these children. I appeal to my colleagues: I hope that we will vote on this amendment, so as to include once and for all in the law the filiation of those children born to GPA abroad who, I repeat, have not asked for anything.
ParlaMint-FR_2019-10-03-O1008.u25	Mr Jean-Louis Touraine has the floor to support Amendment No. 1591.
ParlaMint-FR_2019-10-03-O1008.u26	He's close to Mr. Mbaye's. I think that we are all united by the need to take into account the best interests of the child. However, the best interests of a child are that their parents are recognized as such. This amendment enshrines and extends, by legislation, the now constant jurisprudence of the Paris High Court. The latter declares enforceable the foreign judgments by which the filiation of a child born by GPA was established, and then considers that filiation as an adoptive filiation. Let us leave adoption to adopted children, and give traditional parentage to children born to their parents. I hear the arguments of members of the opposition about the illegality of the GPA. They are right: in France, GPA is illegal. But it is not in many countries and it is not illegal for French couples to use it abroad. [[Protests on the benches of the LR group]] Above all, children are not responsible for their reproductive habits: they have not chosen anything and should not be penalized. They must be recognized as others. We are no longer at a time when we were defining categories of children called "bastards" who did not have the same rights as legitimate children.
ParlaMint-FR_2019-10-03-O1008.u27	We respect children, no matter how they are designed!
ParlaMint-FR_2019-10-03-O1008.u28	Children do not have to bear the gaze that some people have on their parents: they have done nothing illegal, or even obstructed the ethics that we share. Let me read to you the conclusion of the Attorney General of the Court of Cassation at the plenary meeting of 20 September 2019: "Some expect the Court of Cassation to make a major decision in principle setting the legal, general and absolute framework for the establishment of filiation [for these children]. It is not the office of the judge of cassation that must be exercised within the [existing] legal framework without replacing the legislator. Everyone has his or her role and responsibilities. » Our role is to legislate, without leaving the decision to others. This political decision, which protects children, is our responsibility. We will ennoble ourselves if we succeed.
ParlaMint-FR_2019-10-03-O1008.u29	We'll ennoble ourselves!
ParlaMint-FR_2019-10-03-O1008.u30	I call Mr Yannick Favennec Becot to support Amendment No. 1157.
ParlaMint-FR_2019-10-03-O1008.u31	Yesterday I shared with our assembly and you, Madam Minister, the situation of this married couple who live in my constituency in the north of Mayenne. They are the biological parents of their son designed by GPA in the United States. The father is recognized in the French civil register, but not the mother, who remains the wife of their son's father. This inhuman situation is a real injustice for this couple and their two children. Indeed, their son's birth certificate, drawn up in accordance with American law, is not fully transposed in France, contrary to article 47 of the Civil Code. You replied that this text was not a law on filiation – I recognize that it is a law of bioethics, an area under the GPA. You have also defined discrimination as a situation that gives either "less rights or additional constraints". This definition applies perfectly to the situation of the child's mother, but also to the child's mother. I will not go into the details of the summary statement of my relatively comprehensive amendment, but I would like to highlight some important points. Article 310-3 of the Civil Code provides that: "Filiation is proved by the birth certificate", and the Court of Cassation ruled on 6 April 2011 that filiation was established by the foreign birth certificate. Contrary to an idea received, the foreign birth certificate does not need to be transcribed on the registry of the civil status of French born abroad to be valid – transcription is a simple measure of publicity of the foreign birth certificate. However, in the case of a request to transcribe the birth certificate for children born abroad through a GPA in one of the countries where GPA has been legalised, this transcription is partial. This refusal to fully transcribe the birth certificate of French children born abroad through the GPA is a real violation of the best interests of the child. Indeed, full transcription is the only simple and effective way to respect the identity of a child who does not have to pay for the choices of his or her parents, as the European Court of Human Rights regularly recalls. To accept the complete transcription of these birth certificates is to guarantee the child designed by GPA the same civil status from one country to another. It's protecting him. It's putting the child's interest above everything. The amendment is not intended to legalise the GPA. It does not tend to repeal articles 16-7 and 16-9 of the Civil Code, which prohibit it. Its sole objective is to put an end to the absurdity of the partial transcription of the foreign birth certificate of a French child born by GPA in a country where it is legal. It is a matter of making our domestic law consistent by clarifying article 47 of the Civil Code, so that this article is no longer denatured – in the best interests of the child. Indeed, the article was designed to exclude not foreign law, but merely foreign acts which are not in fact in conformity with the law to which they belong. It is therefore aimed at combating documentary fraud. [[Ms. Sylvia Pinel applauds]] That is why I propose that you amend Article 47 of the Civil Code by this amendment. This would put an end to all the legal procedures that parents are obliged to carry out in order to obtain a passport, a national identity card or a certificate of French nationality, which forces them to unnecessarily take over already heavily congested courts.
ParlaMint-FR_2019-10-03-O1008.u32	Mr Raphaël Gérard has the floor to support Amendment No. 2149.
ParlaMint-FR_2019-10-03-O1008.u33	This amendment proposes the same mechanism. Without repeating Mr Favennec Becot's very clear explanations, I would like to return to the opinion of the ECHR of 10 April 2019, which clarifies the Mennesson case law by establishing that the non-recognition of filiation between the child and the mother of intention calls into question several rights of the child, due to uncertainty as to his identity – access to nationality, succession, legal identification of persons with parental authority – while weakening ties in the event of the death of a parent or separation. If the modalities for the recognition of filiation fall, as the ECHR specifies, within the discretion of the States, which do not oblige the State to transcribe the foreign civil registration act, the mechanism chosen must, in its view, be rapid and effective. However, as we have pointed out on several occasions, adoption is often too slow and uncertain to meet the requirements of legal certainty and speed, especially since it concerns only married couples. The opinion of the Court of Cassation on the Mennesson case shows that it is impossible to respond by intramarital adoption to the requirements formulated by the ECHR. Furthermore, the Advocate General reiterated that the office of the judge of cassation was not to replace the legislator and that it was our responsibility to establish a general and absolute legal framework for the establishment of filiation. The mere circular announced by Ms. Custody of Seals will therefore not be able to resolve the question of the full recognition of children born by GPA. I therefore propose that the solution described at the moment by Mr Favennec Becot should be retained. According to the travaux préparatoires of the Act of 26 November 2003, which gave rise to article 47 of the Civil Code, the legislator did not intend to govern the establishment of filiation abroad, nor even to restrict the conditions for recognition in France of civil status documents establishing a link of filiation. That is why I am proposing this amendment.
ParlaMint-FR_2019-10-03-O1008.u34	Mrs Anne-France Brunet has the floor to support Amendment No. 1058.
ParlaMint-FR_2019-10-03-O1008.u35	I am in favour of the proposals of my colleagues, and I would like to share my experience, in particular the exchanges I have had with families who really wonder what can be done for these children. We are aware that couples go abroad to resort to pregnancy for others knowing that this practice is prohibited in France. I don't want to go back to this ban, but what happens when the couple and the child return to France? Only one of the parents can recognize the child; the second is deprived. The non-security of the civil registration of these foreign-born children is a real problem. What happens to the child, for example, when the child of both parents recognized by the civil status dies?
ParlaMint-FR_2019-10-03-O1008.u36	We're sending him to child welfare!
ParlaMint-FR_2019-10-03-O1008.u37	He finds himself in administrative circuits, and cannot continue to live with the other parent. Humanly, it is necessary to find a solution for these children and for parents who love them. We cannot allow such a catastrophic situation to continue.
ParlaMint-FR_2019-10-03-O1008.u38	That is why Article 47 must be corrected!
ParlaMint-FR_2019-10-03-O1008.u39	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u40	Subject, how delicate! I will start with a technical development. Transcription is not mandatory. If the foreign civil status certificate has been legally drawn up in accordance with the conditions of the country, it shall be authentic in France. It must be translated, but it is true, as the transcription is neither mandatory nor necessary. I repeat that if it has been established under legal conditions and properly translated, the civil registration document can be submitted to the administrations for all useful purposes. I hear, however, that in such cases difficulties can be encountered on a daily basis. Information missions have already prepared reports on the subject to the National Assembly. For example, administrations may fear fraud in a foreign act and may not be certain of being able to use it. I therefore come from this technical point of view to send a message to those who will have to deal with such acts: as long as they are legally established, stamped and translated, give effect to them. Don't block the situation. Since transcription is not mandatory, we do not need to amend article 47 of the Civil Code so that children and their families can lead a decent and decent life in France. Perhaps the minister will supplement my remarks by referring to the daily practices of our social organization. But let us not be afraid of regularly trained acts for the benefit of these children and let us soothe the subject. In view of the fact that these amendments are not necessary, I suggest that the authors withdraw them. Otherwise, I'll give you an unfavorable opinion.
ParlaMint-FR_2019-10-03-O1008.u41	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u42	I will mention four points in response to the speakers. First of all, our right prohibits GPA. Although not everyone agrees with it, this legal rule is necessary, and the Government wishes to maintain it. This broad principle of public policy may reduce the scope of article 47 of the Civil Code, since the fundamental principles of French law may object to or mitigate the scope of a rule. I would like to make it clear to those of you who have called for the outright application of section 47, that is, the transcription of civil status documents drawn up abroad. This theory does not apply only to GPA. It also led France to refuse, for example, repudiation. Secondly, given the two fundamental principles of our right to respect – the prohibition of GPA on the one hand; On the other hand, the existence of a stable civil status, as noted by the Council of State, in the best interests of the child – we found a balanced system: the partial transcription of the civil status certificate in the eyes of the biological father and the adoption by the other parent, whether it be a father or a mother. Third, this translation into our law, which allows children to be given a civil status, was found to be in conformity with European law, since, in a judgment of April 2019, the ECHR found it satisfactory. We will therefore continue to do so. Admittedly, Mr Gérard, you have quoted the case law of the Paris High Court, but the Court of Cassation, of which the Attorney General made a very interesting statement, did not adopt the same. Instead, I rely on the jurisprudence of the Court of Cassation. Finally, a decision of the Court of Cassation will take place in the coming days on the Mennesson case. As a result of this jurisprudence and our discussions, we can, by means of a circular, homogenize practices that can sometimes diverge. On the basis of these principles, we will propose a text for both French consulates and civilian officers, in order to establish a common administrative practice on the GPA throughout the country. I shall therefore make an opinion against the amendments if they are not withdrawn.
ParlaMint-FR_2019-10-03-O1008.u43	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-10-03-O1008.u44	[[Applause on several benches in the LR group. – Mrs. Agnes Thill also applauds]] No hypocrisy, ladies and gentlemen! Protecting the child – yes, of course – also means protecting those who praise the belly of women who are reduced to reproductive slavery.
ParlaMint-FR_2019-10-03-O1008.u45	Mr Raphaël Gérard has the floor.
ParlaMint-FR_2019-10-03-O1008.u46	I find it very difficult to hear myself systematically opposing civil or public order logics, when we speak of children and families that exist. Again, Mrs Genevard, I have a great deal of respect for your positions, but I do not understand that we can still today, in our country, bring the weight of an alleged fault – or an alleged circumvention of the rules in force – to a child. The best interests of the child must be our compass. He's the one we're talking about. Let us think of a striking example: for eighteen years, the Mennesson twins have been in complete legal uncertainty, following the procedures of appeal, cassation or referral to the ECHR, all in order to be able to live a normal child's life. They are now adults and strong enough and surrounded by their parents to deal with this situation, but no one can wish for it. It is not a question of justifying the GPA, nor of claiming its openness in our country – no speaker has actually done so by defending these amendments. While I have distinguished myself by very liberal positions in this debate, I still wonder about this issue. In any case, it seems to me that these questions do not allow children to be punished for a "fault" for which they are in no way responsible.
ParlaMint-FR_2019-10-03-O1008.u47	These children are not punished at all.
ParlaMint-FR_2019-10-03-O1008.u48	Mr Jean François Mbaye has the floor.
ParlaMint-FR_2019-10-03-O1008.u49	I'm joining Mr. Gérard. Mrs Genevard, you are asking us not to be hypocrites. I'm telling you, you have to be honest. We are like you fiercely opposed, hermetically closed to GPA with a surrogate mother's convention. This practice will remain prohibited in France – of which act. That being said, as you know, the case law is catching up with us, as is often the case with bioethics. My colleague recalled this by referring to the case of the Mennesson spouses. We must not be afraid: we must face the problem, as my colleague Jean-Louis Touraine invited us to do. We must have the political courage to take into account the fate of these children born abroad, who, as my colleague Raphaël Gérard reminded us, have been fighting for eighteen years to ensure that the bond of filiation with their mother of intention is recognized. [[Applause on a few benches of the LaREM group. – MM. Joël Aviragnet, Yannick Favennec Becot and Maxime Minot also applaud]] No one here has expressed support for the opening of the GPA; No one has defended this practice. We simply say that the fate of children must be taken into account. This requires a political courage that we legislators must have.
ParlaMint-FR_2019-10-03-O1008.u50	Mr Yannick Favennec Becot has the floor.
ParlaMint-FR_2019-10-03-O1008.u51	[[Ms Sylvia Pinel and Mr Maxime Minot applaud]] I fully agree with the comments just made by my two colleagues. Madam rapporteur, you yourself acknowledge that the transcript is legal and that the problem comes from the administrations. So let us enshrine it in the law in order to put an end to these sufferings, since these families suffer on a daily basis and this puts the child in danger. It is the best interests of the child that prevail, and that is why I maintain my amendment.
ParlaMint-FR_2019-10-03-O1008.u52	There you go!
ParlaMint-FR_2019-10-03-O1008.u53	Mrs Danièle Obono has the floor to support Amendment No. 2417.
ParlaMint-FR_2019-10-03-O1008.u54	This appeal amendment concerns the mention of sex in civil status. I call on the Government and all of our colleagues: we must conduct this debate and start thinking about it. Indeed, many difficulties result from the mention of sex in the civil register. For example, for transgender people, the amendment of this mention is a particularly complex, judicialized and, in some cases, medicalized procedure – although this condition has been removed in the law. The removal of sex would also make it easier to establish the biological filiations of transgender persons. Furthermore, in intersex situations, extremely heavy medical procedures are initiated, often from the birth of the child, in order to be able to assign a gender and register it in the civil register. These operations and treatments are irreversible, heavy and traumatic. According to the testimonies we have received, they often take place without the consent of the person concerned, so that there are gender misassignment errors, the chosen gender does not correspond to the gender identity of the person. The Ministry of Health circular promotes these practices, since it asks to include "the sex that appears most likely, taking into account, if any, the foreseeable results of medical treatment." It is not the bodies that must comply with the expectations of society or enter the boxes in which they are to be entered; It is society that must accept the bodies as they are, and as people decide to appropriate them. Furthermore, I recall that this bill, which provides women's couples with access to the LDC, does not provide for the establishment of filiation for transgender persons who have been biologically procreated. The removal of sex in civil status – a reference that does not seem to be of interest in today's society and whose usefulness and effectiveness now seem to be null and void – would also fill this gap. I would remind you that this was presented in this debate as the reason for making this type of filiation impossible. More broadly, it seems to us that adopting this amendment would make it possible to move forward on an issue that is far from as incidental as it appears at first sight. As I have shown, the consequences can be very concrete and painful for the people concerned.
ParlaMint-FR_2019-10-03-O1008.u55	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u56	Your amendment seeks to remove the mention of sex in civil status, but also the provisions relating to the modification of the mention of sex in civil status. We have already had this debate during the discussion of Article 1. I don't think it's appropriate to take it back. Furthermore, the wording of the amendment runs counter to the cause that you are defending. Request for withdrawal. Failing that, unfavorable notice.
ParlaMint-FR_2019-10-03-O1008.u57	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u58	Unfavorable opinion. We have already dealt with this issue in a slightly different form, a little earlier in our discussions. Unlike Ms. Obono's proposal, we have relied on the reference to sex in civil status, which we have made a condition of access to the LDC. It would therefore be contradictory to remove the reference to sex from civil status.
ParlaMint-FR_2019-10-03-O1008.u59	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-10-03-O1008.u60	As we said, this is an appeal amendment. The example cited in the debates that we have had completes the argument that we have developed. From our point of view, we must advance the law, free ourselves from standards and boxes that are not only administrative, because they have a direct, real and oppressive impact on the people concerned. We urge national representation, through this amendment, to open a debate on these issues.
ParlaMint-FR_2019-10-03-O1008.u61	Mr Raphaël Gérard has the floor to support Amendment No. 2147.
ParlaMint-FR_2019-10-03-O1008.u62	I do according to the adage: twenty times on the job hand over your work... This amendment would make it possible to secure the filiation of couples of women, one of whom is trans and who use an MPA without a third-party donor. I repeat to myself an argument that has often been used by Mrs. Keeper of Seals: it is sex in civil status that is authentic. Thus, the amendment would make it possible to rely on sex in the civil status – whether it has been changed in the past or not – of the parent concerned to register him or her as a father or mother. Without such a mechanism, these filiations will not be secure, and the persons concerned will have to appear before the judge. This simple amendment, which will involve very few people, will make it possible to secure this method of establishing filiation.
ParlaMint-FR_2019-10-03-O1008.u63	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u64	We have already had these discussions during the discussion of Article 1. Unsurprisingly, the committee's opinion is unfavourable: it draws the consequences of the provisions that we have adopted. You have carried the voice of transgender and cisgenre women...
ParlaMint-FR_2019-10-03-O1008.u65	Men too!
ParlaMint-FR_2019-10-03-O1008.u66	...and transgender men in the Chamber and in committee. From this point of view, you can be satisfied. I call for the amendment to be withdrawn; Failing that, adverse notice.
ParlaMint-FR_2019-10-03-O1008.u67	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u68	Unfavorable opinion. Mr President, the question you are asking is far more than just the case of women's couples who use GPA with third-party donors. In fact, the ongoing litigation concerns heterosexual couples. Your proposal is therefore somewhat outside the framework of the bioethics law that brings us here. This is another issue, which we discussed some time ago.
ParlaMint-FR_2019-10-03-O1008.u69	I call Mrs Genevard to support Amendment No. 141.
ParlaMint-FR_2019-10-03-O1008.u70	It is defended, because of the scheduled legislative time.
ParlaMint-FR_2019-10-03-O1008.u71	Mrs Danièle Obono has the floor to support Amendment No. 2407.
ParlaMint-FR_2019-10-03-O1008.u72	This amendment would offer a solution to the problem which my colleague has just highlighted and which we have already dealt with. The bill leaves in law the difficulties of establishing filiation for persons who have made a change in the mention of their sex in the civil register. The aim of the amendment is to ensure that, in particular when persons have had children without medical intervention, or through reproductive medical assistance without third-party donors, the common legal system for the establishment of filiation can be applied. This would in no way imply contradicting the previously adopted articles. It would make it possible to secure the filiations concerned, without calling into question the work that has already been done. This would be another step towards the objectives of this law: equality for all.
ParlaMint-FR_2019-10-03-O1008.u73	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u74	I understand your goal; We had this debate in Article 1. However, as we indicated at the beginning of the examination of Article 4, we are not in the process of a major reform of filiation and there is no particular consequence to be drawn from Article 1 in this respect. I therefore maintain my unfavorable opinion.
ParlaMint-FR_2019-10-03-O1008.u75	What is the Government's opinion?
ParlaMint-FR_2019-10-03-O1008.u76	Same opinion.
ParlaMint-FR_2019-10-03-O1008.u77	Mr Jean François Mbaye has the floor to support Amendment No. 1765.
ParlaMint-FR_2019-10-03-O1008.u78	He's forbidden.
ParlaMint-FR_2019-10-03-O1008.u79	Mr Jean François Mbaye has the floor to support Amendment No. 292.
ParlaMint-FR_2019-10-03-O1008.u80	He's forbidden.
ParlaMint-FR_2019-10-03-O1008.u81	Mr Raphaël Gérard has the floor to support Amendment No. 2145.
ParlaMint-FR_2019-10-03-O1008.u82	[[Ms. Monique Limon, Mr. Jean-Louis Touraine and Mr. Philippe Chalumeau applaud]] This appeal amendment is also a sweeping amendment, in a way, because I see the failure of all my attempts to secure filiation in families which, of course, are minority and atypical in the landscape, but which I have described, in general discussion, as forgotten of the Republic. The amendment aims to open the possibility of adoption to unmarried couples. However, the Keeper of the Seals has announced that proposals will be made very soon – I hope so – following the report by our colleague Monique Limon and Senator Corinne Imbert. I therefore withdraw the amendment, while drawing your attention to the fact that we have made very little progress on transparency and some cases which, even if very specific, remain unanswered at the end of the examination of the first four articles of the text.
ParlaMint-FR_2019-10-03-O1008.u83	I have before me two amendments, Nos 1841 and 138, which can be discussed jointly. I call Mr Thibault Bazin to support Amendment No. 1841.
ParlaMint-FR_2019-10-03-O1008.u84	I will withdraw this amendment in favour of Mrs Genevard's amendment No 138, which is better drafted, but frankly, ladies and gentlemen, we will have to clarify our intentions. Do we wish to oppose the contracts of a surrogate mother that violate the human dignity and body of the woman, and whose child is the object of the contract? It will then be necessary to strengthen our legislative machinery to combat this practice. Known personalities from the media-political community have obtained children by GPA abroad. To the best of my knowledge, they have not been punished, although article 227-12 of the Criminal Code allows this.
ParlaMint-FR_2019-10-03-O1008.u85	Yes!
ParlaMint-FR_2019-10-03-O1008.u86	Why? Is there impunity when these people have no problem with financial resources? Commercials circulate like the recent one for the fifth GPA show held on 21 and 22 September in Brussels: the price of a baby ranges from 60000 to 150000 euros! And I pass you the agency slogans – "For wonderful babies", "Perfect babies"... Yet the body is not a commodity and cannot be rented, sold, or bought. What effect do you give, Madam Minister, to the principle of the unavailability of the human body? Worse: the majority has just adopted Amendment No 1591 by Mr Touraine. This is a serious matter: you have adopted a mechanism to promote the recognition of GPA abroad! Can you imagine the incentive effect of this measure?
ParlaMint-FR_2019-10-03-O1008.u87	It's the flat-footed GPA!
ParlaMint-FR_2019-10-03-O1008.u88	[[Mrs. Agnes Thill applauds]] You are proclaiming a ban and, at the same time, breaking this ban will not be punished! You'll even promote it in law. What hypocrisy! To what extent do you want to dissuade those who plan to engage in reproductive tourism in the future? Those who act as intermediaries in legal advice or advertising in order to rent a woman's body for nine months? These are not children already born – because all children must be welcomed, regardless of their mode of design. However, do you want to dissuade such practices in the future?
ParlaMint-FR_2019-10-03-O1008.u89	Mrs Annie Genevard has the floor to support Amendment No. 138.
ParlaMint-FR_2019-10-03-O1008.u90	The purpose of this amendment is to create a specific offence in the event of the use of a GPA abroad by a French national. It will enable the substance to give effect to the prohibition of the GPA established by article 16-7 of the Civil Code. It is not enough, ladies and gentlemen, to declare that we do not want GPA because it is not ethical, and that it is sufficient for the civil code to provide for its prohibition. Look what you just voted for! Look! De facto, GPA is now authorized in France.
ParlaMint-FR_2019-10-03-O1008.u91	[["Not at all! » on several benches of the LaREM group]] Yes!
ParlaMint-FR_2019-10-03-O1008.u92	Yes. I listened to you a few days ago at the Grand Jury, the Minister of Health. You mocked the Republicans: do you realize, you said, that the Republicans are asking for a sanction? That's the proof, you sued, that they don't know that GPA is banned and sanctioned! No, Madam Minister. What is now prohibited and sanctioned is not the use of GPA but the intermediary of GPA. But you know very well, because you are a good connoisseur of these subjects, that it is very difficult to condemn the intermediary since the agents are often abroad. The intermediary can, however, give rise to a fine of 15,000 euros and a year's imprisonment. For my part, I propose that the sponsors should be punished, not that the child should be penalized. To the extent that the sponsors are not currently subject to any sanction, I propose with intent and knowledge a lower penalty, namely six months' imprisonment and a fine of 7,500 euros. This is kind of an appeal amendment because I know how difficult it is to establish the reality of an APM carried out abroad. However, I would like the Government to address this issue. As long as you don't touch the sponsors, you won't stop the GPA! However, the amendment just adopted further facilitates the use of GPA.
ParlaMint-FR_2019-10-03-O1008.u93	That's right!
ParlaMint-FR_2019-10-03-O1008.u94	[[Mrs. Agnes Thill applauds]] So far, neither the sponsors nor the issuer nor the organizers of the traffic have been penalized; They're safe. Our country is rehearsing good principles that it is unable to apply!
ParlaMint-FR_2019-10-03-O1008.u95	What is the opinion of the committee?
ParlaMint-FR_2019-10-03-O1008.u96	For your good information, Mrs Genevard, I would point out that the penalty applicable to legal persons or intermediation agencies – which in your opinion raise the greatest concern – is doubled; So the punishment is already more severe.
ParlaMint-FR_2019-10-03-O1008.u97	It has to be applied again!
ParlaMint-FR_2019-10-03-O1008.u98	On the other hand, you recalled the penalties for parents of intention. Perhaps it is not useful to go further, but I am doing so to reassure you: violations of civil status are punishable by three years' imprisonment and a fine of 45,000 euros. The offence of provoking the abandonment of a child is punishable by six months' imprisonment and a fine of 7,500 euros. These sanctions seem to me to be heavy enough as they are. Finally, the amendments which remove the requirement of double criminality – on the one hand, the fact that the GPA can be prosecuted in France while it is legal in the country where it was carried out, and on the other hand, the condition that a complaint be lodged in France, either by the victim or by a denunciation of foreign authorities – would amount to giving France universal jurisdiction in this matter. You will understand that from a diplomatic point of view and from the point of view of extraterritoriality, it is impossible. We cannot make decisions instead of other States about their own legislation!
ParlaMint-FR_2019-10-03-O1008.u99	But what do you propose?
ParlaMint-FR_2019-10-03-O1008.u100	We are obliged to retain the condition of double criminality.
ParlaMint-FR_2019-10-03-O1008.u101	It's a confession of impotence.
ParlaMint-FR_2019-10-03-O1008.u102	I hear, however, that you are calling for the expansion of this debate outside our walls, within the framework of bilateral and even multilateral diplomatic relations, and that discussions are taking place in this area – which would be interesting, since not all States have the same practices. These are subjects that parliamentary diplomacy could also address. Criminal sanctions, however, are strictly bordered; we would practice hegemonism ingesting by going further. Unfavorable opinion.
ParlaMint-FR_2019-10-03-O1008.u103	What is the Government's opinion?
