ParlaMint-FR_2019-02-15-O1153.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1153.u62	[[Exclaims on the MODEM benches]] [[Claims on the banks of the LaREM and MODEM groups]] I hope that everyone can understand: after a small sessional incident between MODEM and the majority, the majority decided to undertake a small calinotherapy operation. It is important for everyone to understand that, in the Chamber, everything is not a matter of strict parliamentary rigour: small services also go there between the majority group and MODEM, which had felt treated like a potash the previous days.
ParlaMint-FR_2019-02-15-O1153.u63	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1153.u64	[[Applause on several benches of the MODEM and LaREM groups]] [[Same movements on the same benches]] I regret your lack of elegance, honourable Member, and refute your words with the latest energy: these amendments are the result of the work carried out, upstream, by the Member of Parliament Isaac-Sibille with the majority. I would ask you to reserve to your own group those remarks which are as unpleasant as they are indignant about this House.
ParlaMint-FR_2019-02-15-O1153.u65	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1036.
ParlaMint-FR_2019-02-15-O1153.u66	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u67	I have before me two amendments, Nos 453 and 951, which can be discussed jointly. On Amendment No 453, I am seized by the UDI Group, acting independently, of a request for a public vote. The vote is announced in the National Assembly. Mrs Béatrice Descamps has the floor to support this amendment.
ParlaMint-FR_2019-02-15-O1153.u68	Article L. 411-1 of the Education Code specifies the role of the principal of kindergarten and elementary school: "A principal shall ensure the proper functioning of each kindergarten or elementary school; he ensures the necessary coordination between the masters". Moreover, this morning we adopted an amendment to supplement this sentence, which I welcome, because this amendment merely takes note of what is already happening in practice. The director has a key role to play in building confidence, which is very important to the success and development of students. The tasks of school principals, whose responsibilities are increasing, are important. The aim of this amendment is to create a genuine status as school principal, offering legal recognition. Such recognition of this profession and of those who practise it would be particularly important in the schools of the basement.
ParlaMint-FR_2019-02-15-O1153.u69	I call Mrs Maud Petit to support Amendment No. 951.
ParlaMint-FR_2019-02-15-O1153.u70	It aims to create a statute for school principals working in public schools. School principals today do not enjoy a status of corps, unlike heads of secondary schools. They belong to the bodies of teachers and teachers in schools. They are appointed by means of a departmental aptitude list by the academy inspector. The function of school management is thus similar to an additional job, which does not lead to a promotion of a grade but results in an index bonus. France is now an exception in the OECD because of the absence of schools, in the legal sense of the term, and of heads of schools in primary education. Academy inspectors end up encountering difficulties in recruiting directors, as the task is considered ungrateful and unrecognized. If schools are to be well run, it is also necessary for directors to be able to devote part of their time to the school's teaching project and to the follow-up of pupils. OECD studies show that the involvement of school leaders is a lever for improving the quality of education. Thank you for them!
ParlaMint-FR_2019-02-15-O1153.u71	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u72	You're right, the principal plays a very important role in the school. He is a full-fledged teacher, who provides additional responsibilities for pedagogical coordination for the proper functioning of the school. He is also the primary interlocutor of the school's partners. For the past ten years, it is true, directors have suffered from a lack of recognition or even legitimacy. I agree with the report by Valérie Bazin-Malgras and Cécile Rilhac: with the increase in the responsibilities of directors, particularly in the area of the reception of children with disabilities and in the area of security, the status quo is no longer tenable. One of the recommendations of the report is the creation of a school principal's status. It is accompanied by other suggestions: recruitment by competition or by VAE – validation of the experience –, stronger initial training and enhanced continuing training, an improved remuneration grid and clarification of the prerogatives of the directors: "Without the ability to evaluate teachers, they would nevertheless exercise hierarchical authority [...] and would be responsible for pedagogical guidance" in schools of at least ten classes. It seems to me that this proposal is far from unanimous on the ground because of the notion of hierarchical authority. For the co-rapporteurs, school principals who wish to do so could always remain on an equal footing with their colleagues in schools of less than ten classes. The status of school principals is included in the Ministry's social agenda in 2019. It would be wiser on our part to trust all the actors in the social dialogue in order to find shared solutions to the problem of school principals. Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1153.u73	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u74	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u75	Mr Frédéric Reiss has the floor.
ParlaMint-FR_2019-02-15-O1153.u76	I care about this subject. We have often tried to establish the status of principals, but this would also require a change in the schools themselves. Today, schools do not have the status of EPLE – a local public educational institution – or rather of EPEP – a public primary educational institution – as they could be defined. If the schools had the status of a public institution, we could determine their rules of operation; the director would of course be the one who leads things. A school principal has a real status. We all want the director to remain a primus inter pares, but we could change things... While this bill does not address this issue, I personally hope that we can move forward on this issue and provide a better future for school principals. I do not think that the vote on an amendment such as those just presented to us is really decisive in this area. There are many other things to do!
ParlaMint-FR_2019-02-15-O1153.u77	That's right!
ParlaMint-FR_2019-02-15-O1153.u78	Mr Philippe Vigier has the floor.
ParlaMint-FR_2019-02-15-O1153.u79	Ms Descamps said very well that the status of head of school would be a guarantee of trust for school principals. You know that vocations are not legion! I'm trying to get nineteen classes together in a new school. With DASEN, we have launched a call for applications for the post of school principal, but this is not easy in the absence of status. However, the tasks assumed by the directors, which were discussed earlier, are very numerous: I am thinking in particular of the relationship with families, or of the major social and societal role that it will play increasingly in the context of inclusive school. We must therefore move forward on this issue. [[Mr Yannick Favennec Becot and Mrs Maud Petit applaud]] Madam rapporteur, I was not convinced by your argument. There are times when reports are used to fuel debate, but there are also times when we have to decide. I think we could move forward together.
ParlaMint-FR_2019-02-15-O1153.u80	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-15-O1153.u81	I agree with Mr Vigier's remarks. The Socialist and Related Group supports Mrs Petit's amendment. At a time when we are talking about the school of the basement, which changes the articulation between the elementary, the primary and the college, the function of school principal deserves a status. If this one is not ready, we have to work on it again, because we cannot leave things as they are.
ParlaMint-FR_2019-02-15-O1153.u82	Mrs Marie Tamarelle-Verhaeghe has the floor.
ParlaMint-FR_2019-02-15-O1153.u83	We are all aware that the status of the principal raises a real question. If I allow myself to talk about it here, it is because I myself have been questioned about it in my constituency. Between a college of 300 young people and a kindergarten and primary school of 200 children, the difference in governance is striking. At the college, the head of the institution is surrounded by a team: he is supported by a senior education advisor – CPE – and a manager. At primary school, the principal assumes a significant workload while her status is not recognized. Minister, I think you are aware of the importance of this question posed to us by teachers who are committed, self-reliant and need recognition.
ParlaMint-FR_2019-02-15-O1153.u84	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-15-O1153.u85	It will be difficult for us to decide on the establishment of a statute for school principals. In the schools of the foundation that will be created, the function of director will be that of an assistant. There will be recruitment, but we don't know what type of personnel. Today, school principals are also teachers, but tomorrow, what will their profile be? All of this is not well defined. Will the principals be teachers of schools providing coordination and proximity work in a small school, or assistants in a future school in the basement, with a much more administrative vocation but still assuming all the functions of a principal of school that you mentioned? In short, the profile that a principal will have to have is not very clear. Will he be the simple manager of the proximity relationship with families, or the facilitator of a team? Will he have any teaching duties? We have not yet made sufficient progress on these issues.
ParlaMint-FR_2019-02-15-O1153.u86	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1153.u87	Of course, we are talking about an extremely important subject. I agree with most of the speeches to say that we must not stand still on this issue. Of course, we are going to make changes. Let me first recall that in April 2018 we started what we call the social agenda. This has enabled us to move forward on a number of topics, such as pre-recruitment, which we discussed earlier. The question of the working conditions of school principals and inspectors of national education is precisely on the social agenda, at this very moment, with a whole series of work which must lead us to developments. In my view, the question of status should not be the starting point for reflection, but possibly its outcome, as has rightly been said. We need to have a systemic view of the subject. Our design of the school principal function must be compatible with the entire design. However, on all these issues, we are in the middle of the ford. The current situation has positive aspects, which we must preserve, but also critical aspects, which we obviously need to improve. Among the advantages of our school system, I will first mention the fact that some teachers in schools become directors and sometimes go back and forth between management and teaching functions with some flexibility, which is very good. I will also cite forms of core responsibility in the school. While we must not lose sight of these positive aspects, we must also admit that the current situation has disadvantages, which both rightly pointed out and which sometimes lead to a lack of attractiveness in the role of school principal. The question of status is therefore not an end in itself. If it can possibly be an outlet for reasoning, it cannot be the starting point. The real subject is that of the conditions for exercising the function of school principal. As for the functions of inspector of national education, they are called upon to strengthen themselves. What always strikes me when I meet inspectors of national education is that they are very burdened with administrative tasks, even though their fundamental mission is of a pedagogical nature: it is a task of stimulating and observing on the ground the progress of the school, from a strategic and pragmatic perspective. This situation must change. For the most part, these changes do not fall within the scope of the law: the legislative part of the Education Code already contains the legal basis for the function of school principal, and any changes are essentially covered by the regulation. That being said, as Mr Reiss said, it is quite normal for us to talk about it together, and that is what we are doing. I will certainly come before you, particularly before the Committee on Cultural Affairs and Education, to clarify the direction we will take. It is certain that this topic will evolve in 2019.
ParlaMint-FR_2019-02-15-O1153.u88	I shall put to the vote Amendment No. 453.
ParlaMint-FR_2019-02-15-O1153.u89	Mr President, you did not give me the floor when I asked you several times! This is unacceptable!
ParlaMint-FR_2019-02-15-O1153.u90	The result of the vote is as follows: Number of voters 46 Number of votes cast 42 Absolute majority 22 For adoption 18 Against 24
ParlaMint-FR_2019-02-15-O1153.u91	I shall now put to the vote, by show of hands, Amendment No 951.
ParlaMint-FR_2019-02-15-O1153.u92	May I take the floor, Mr. President?
ParlaMint-FR_2019-02-15-O1153.u93	No, my dear colleague, the vote has been taken.
ParlaMint-FR_2019-02-15-O1153.u94	I call Mrs Mette to support Amendment No. 814.
ParlaMint-FR_2019-02-15-O1153.u95	This amendment, the first signatory of which is Mr Isaac-Sibille, aims to confirm the possibility for national education doctors to prescribe with reimbursement diagnostics or preventive products in the context of the preventive tasks entrusted to them. In the context of a shortage of doctors, this possibility promotes access to care while at the same time helping to combat territorial inequalities. In addition, it is a source of savings as it avoids a paid consultation.
ParlaMint-FR_2019-02-15-O1153.u96	I have before me two identical amendments, Nos 807 and 1033. I call Mrs Mette to support Amendment No. 807.
ParlaMint-FR_2019-02-15-O1153.u97	This amendment, of which my colleague Cyrille Isaac-Sibille is once again the first signatory, aims to link the corps of school doctors together with the Minister of National Education and the Minister of Health. It also specifies the tasks of school doctors, including the task of piloting the student health service, in the legislative part of the Education Code.
ParlaMint-FR_2019-02-15-O1153.u98	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1033.
ParlaMint-FR_2019-02-15-O1153.u99	As we know, the bodies of school doctors are in great pain. It is unattractive and has seen its status move considerably, depending successively on the local authorities, the Ministry of National Education and the Ministry of Health. Many reports show that the lack of inter-ministerial oversight is detrimental to the Committee. This body of professionals, which has real expertise, especially on learning disabilities, is very important to the success of children. An interdepartmental positioning would help to improve the status of this profession, to give it body and to strengthen its attractiveness.
ParlaMint-FR_2019-02-15-O1153.u100	What is the opinion of the committee on these two identical amendments?
ParlaMint-FR_2019-02-15-O1153.u101	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u102	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u103	Same opinion.
ParlaMint-FR_2019-02-15-O1153.u104	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2019-02-15-O1153.u105	These identical amendments touch on an important subject. If I have read the bill on the organization and transformation of the health care system, we will be asking a lot of things about school medicine in the coming months. At the same time, this medicine faces, inter alia, an extremely large lack of resources and a problem of recruitment. Ladies and gentlemen, I would like to ask you a question. As education becomes compulsory from the age of 3, what becomes of the links between school medicine, PMI centres – maternal and child protection – and kindergartens?
ParlaMint-FR_2019-02-15-O1153.u106	Very good question!
ParlaMint-FR_2019-02-15-O1153.u107	Mrs Aude Luquet has the floor to support Amendment No. 802.
ParlaMint-FR_2019-02-15-O1153.u108	A fact was reported yesterday by the press: in Corbeil-Essonnes, children had to lie down on the floor as a punishment. Unfortunately, this type of action is not isolated. In the school of my 5-year-old son, the school catering instructors removed the seats of children who were not wise to make them eat up. This raises the question of the training and recruitment of supervisory staff, on academic or extracurricular time. That is why my amendment provides for minimum training for this type of staff, which lacks benevolence and knowledge on development and children's rights. I think that sometimes the same is true in day care centres.
ParlaMint-FR_2019-02-15-O1153.u109	The leaders still have the BAFA!
ParlaMint-FR_2019-02-15-O1153.u110	A minimum training of these mentors is necessary: they are not necessarily holders of the certificate of competence for the functions of facilitator, but often individual contractors who have signed short and poorly paid contracts. [[Applause on the banks of the MODEM group and on some benches of the LaREM group]] Today, we are discussing a bill for a school of trust. We need to trust the people to whom we entrust our children in the morning, the day, the noon and the evening.
ParlaMint-FR_2019-02-15-O1153.u111	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1153.u112	Unfavorable.
ParlaMint-FR_2019-02-15-O1153.u113	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1153.u114	Of course, the subject is real and it is necessary to carry out real work on the training of all non-teacher staff, a fortiori when they are in direct contact with the students. We must, of course, make progress on this issue. However, the persons concerned come under different statutes, most often dependent on local authorities. I therefore do not think that it is appropriate to address their situation in this law. Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1153.u115	I have before me a number of amendments, Nos 805, 1031, 806 and 1032, which can be discussed jointly. Amendments Nos 805 and 1031 are identical, as are Amendments Nos 806 and 1032. I call Mrs Mette to support Amendment No. 805.
ParlaMint-FR_2019-02-15-O1153.u116	The purpose of this amendment is to create an inter-ministerial body of school doctors under the Prime Minister and under the joint supervision of the Minister for National Education and the Minister for Health. This would make it possible, on the one hand, to renovate the status of school doctors and to strengthen the budgets devoted to school medicine and, on the other hand, to guarantee a mix of exercises for these professionals.
ParlaMint-FR_2019-02-15-O1153.u117	Mrs Tamarelle-Verhaeghe has the floor to support Amendment No. 1031.
ParlaMint-FR_2019-02-15-O1153.u118	He's forbidden.
ParlaMint-FR_2019-02-15-O1153.u119	Amendments Nos 806 by Mr Cyrille Isaac-Sibille and 1032 by Mrs Marie Tamarelle-Verhaeghe are also defended.
ParlaMint-FR_2019-02-15-O1153.u120	On identical amendments Nos 13, 52, 179, 305, 563, 738, 783, 868 and 968, the Republicans have requested a public vote. The vote is announced in the National Assembly. Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-15-O1153.u121	Article 17 poses several problems. First, it empowers the Government to legislate by ordinance. We are opposed to the choice of this procedure, which is justified only when there is an emergency. As is clearly not the case here, there is no reason why Parliament should divest itself of a question as legitimate as that of the future territorial organization of national education. On this point, a number of announcements have been made. Without going back to their chronology, I would remind you that you initially wanted to concentrate the function of rector on the scale of the megaregions resulting from the NOTRE law – the new territorial organization of the Republic – and thus reduce their number to thirteen, but which you finally decided to maintain to thirty the current strength. A fundamental question therefore arises: what will be the role played by these thirty rectors? I would add that national representation has not really been respected in this debate. I have already had the opportunity to say so, but I would like to remind you here: in an interview published on the website of the Café pédagogique, your chief of staff, Mr Christophe Kerrero, gives guidance on issues that I have addressed on Monday, here, in the gallery. A number of elements of information are thus distilled by channels other than those of national representation: this is quite shocking because it means that you consider that the debate can take place elsewhere than here. In particular, your Chief of Staff made statements concerning the role of the rectors; I will have the opportunity to return more specifically to this point when I defend Amendment No 52. In principle, I very strongly and solemnly protest because it is not a good policy to do so.
ParlaMint-FR_2019-02-15-O1153.u122	Thank you, Mr. Hetzel!
ParlaMint-FR_2019-02-15-O1153.u123	Your remarks should be made here, in the National Assembly, and not by misguided means.
ParlaMint-FR_2019-02-15-O1153.u124	I have before me several identical amendments, Nos 13, 52, 179, 305, 563, 738, 783, 868 and 968, to delete Article 17. I call Mr Maxime Minot to support Amendment No. 13.
ParlaMint-FR_2019-02-15-O1153.u125	My colleague Patrick Hetzel said everything I thought. We will be very vigilant on this issue. We call for the deletion of the article, in particular because it tends to empower the Government to act by order, a choice that could prove harmful.
ParlaMint-FR_2019-02-15-O1153.u126	I call Mr Patrick Hetzel to support Amendment No. 52.
ParlaMint-FR_2019-02-15-O1153.u127	Why do we ask for the deletion of this article? I want to read the words of the Minister's Chief of Staff: "The rectors will therefore have a budget but will have to carry out the instructions of the Rector of the academic region. Affirming that the rectors will have a budget does it mean that they will be responsible for the budget within the meaning of the LOLF, the Organic Law on Finance Laws? And if so, how could they at the same time be in a position of execution in relation to the Rector of academic regions? We don't understand! It's a serious problem. National representation needs to be informed before voting on such an important issue.
ParlaMint-FR_2019-02-15-O1153.u128	She will be!
ParlaMint-FR_2019-02-15-O1153.u129	What your Chief of Staff says is that injunctions would be issued by the Rector of the academic region, but also that each of the other rectors would execute a budget: you will admit that it is quite troubling! I repeat, we need explanations from the minister before we speak.
ParlaMint-FR_2019-02-15-O1153.u130	Mr Xavier Breton has the floor to support Amendment No. 179.
ParlaMint-FR_2019-02-15-O1153.u131	The purpose of this article is to match academic constituencies with the major regions of the NOTRE law – the disastrous NOTRE law, one might say. This desire to reduce the number of rectorates is a new example of the logic of recentralization and renationalization of policies that drives the Government. Such a vision does not take into account territories and their realities. Parliament cannot therefore give the executive complete freedom to divide academic constituencies and to reorganise deconcentrated services. We must regain our powers and, to that end, delete this article.
ParlaMint-FR_2019-02-15-O1153.u132	I call Mr Reiss to support Amendment No. 305.
