ParlaMint-FR_2019-02-12-O1145.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-12-O1145.u13	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u14	This amendment is satisfied, since the commercial neutrality of the school is already guaranteed by the principle of neutrality of the public service, which effectively excludes any stalling in its premises. While there are some forms of partnership with private or public companies, their interventions in schools have been the subject of a code of conduct since 2001. I am therefore against this amendment.
ParlaMint-FR_2019-02-12-O1145.u15	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u16	Same opinion.
ParlaMint-FR_2019-02-12-O1145.u17	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-12-O1145.u18	Minister, first of all, I want to draw your attention to incidents that I have recently been informed of. In two of the high schools in my constituency, which I invoked in defence of my group's previous rejection motion, teachers who wanted to organize a debate on reform at their workplace, together with parents of students, were forcibly and brutally evacuated, at the request of the principals. So, at the time of the Great Debate, what can be the reason why teachers should not be allowed to debate this issue in their workplaces as well? As far as Amendment No 574 is concerned, if there is indeed a code of conduct for companies wishing to intervene in schools, the purpose of the proposed provision is to strengthen existing guarantees, which does not seem to be superfluous. Whether it's a dairy brand or Microsoft, when a company partners with a school, you can imagine that it's not about philanthropy, but about promoting its products to teachers and children, who are necessarily influenced by the brands that enter the school. Beyond the principles of equality and trust, much of which has been said about school, let us not forget the principle of neutrality.
ParlaMint-FR_2019-02-12-O1145.u19	Mrs Muriel Ressiguier has the floor.
ParlaMint-FR_2019-02-12-O1145.u20	Since we are in favour of the principle of neutrality, there is no reason to be complacent about the idea of strengthening it, because it is a matter of young children's brains: as Mrs Rubin said, it is not by philanthropy or charity that major brands intervene in schools. The Orange operator sometimes boasts that 40% of 7-year-olds know their brand and logo. In the face of this real concern, even stronger safeguards are needed.
ParlaMint-FR_2019-02-12-O1145.u21	I have before me four amendments, Nos 169, 18, 76 and 127, which can be discussed jointly. Amendments Nos 18, 76 and 127 are identical. Mr Vincent Rolland, in support of Amendment No. 169, has the floor.
ParlaMint-FR_2019-02-12-O1145.u22	Today's young people need to be made aware of entrepreneurship, as they can be the entrepreneurs of tomorrow. This approach must be inculcated from an early age, so that young people are not intimidated or reluctant, for lack of knowledge or initiative, to create or sustain an economic activity. This teaching would be beneficial to the students, in order to give them a foundation in an area that is now becoming more and more prevalent.
ParlaMint-FR_2019-02-12-O1145.u23	I call Mr Reiss to support Amendment No. 18.
ParlaMint-FR_2019-02-12-O1145.u24	One of the school's tasks is to help young people build a professional project. According to a recent poll, 83% of French people would be in favour of entrepreneurship education from college onwards – 26% are quite in favour, and 57% are in favour. This amendment by my colleague Patrick Hetzel is therefore intended to affirm that education must raise awareness of entrepreneurship from an early age.
ParlaMint-FR_2019-02-12-O1145.u25	I call Mr Cinieri to support Amendment No. 76.
ParlaMint-FR_2019-02-12-O1145.u26	The aim of Amendment No 76 is to ensure that young people are made aware of entrepreneurship from an early age. The initiation of young people helps to develop their creativity, initiative, confidence in what they undertake, and encourages them to behave in a socially responsible manner.
ParlaMint-FR_2019-02-12-O1145.u27	Mr Xavier Breton has the floor to support Amendment No. 127.
ParlaMint-FR_2019-02-12-O1145.u28	Since the French are, in comparison with what is observed in other countries, insufficiently informed of economic phenomena, Amendment No 127 is intended to improve young people's knowledge of business and the economy and to provide them with an introduction to entrepreneurship. Experiences have already been carried out on the discovery of the professional world – I am thinking of options DP3 and DP6 in the third class – and, if they have been rather successful, they remain marginal and deserve to be developed: this is the meaning of our amendment.
ParlaMint-FR_2019-02-12-O1145.u29	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-02-12-O1145.u30	They are partially satisfied because there are already experiences of creating kinds of mini-enterprises, bringing students together around an entrepreneurial project. I do not think it is useful to generalise these experiences, which is why I express an opinion against these amendments.
ParlaMint-FR_2019-02-12-O1145.u31	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u32	Same opinion.
ParlaMint-FR_2019-02-12-O1145.u33	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-12-O1145.u34	I am surprised by the rapporteur's reply, since the experiences already implemented have shown their effectiveness, and the only regret that can be expressed about them is precisely that, in the schools benefiting from them, there are too few pupils involved in this micro-enterprise and emulation process. Such arrangements should therefore be generalized.
ParlaMint-FR_2019-02-12-O1145.u35	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-12-O1145.u36	The role of the school is to train and educate, but this education must not be entirely oriented towards the business world. Moreover, the partnership of companies with schools is already immense, and much more than you can imagine – I am thinking in particular of the "100,000 entrepreneurs" network, which regularly intervenes in schools. If this is an interesting educational tool made available to teachers, I do not see the need to include in the law that the thinking of young people should be oriented according to the entrepreneurial model.
ParlaMint-FR_2019-02-12-O1145.u37	Mrs Michèle Victory has the floor.
ParlaMint-FR_2019-02-12-O1145.u38	As the rapporteur pointed out at the end of the previous sitting, we are witnessing an inflation of the number of proposals aimed at raising awareness among young people on all kinds of subjects. However, the rhythm of the children and the precise schedules of the school day must be taken into account. We must be careful not to overload the boat, both for teachers, who can't do everything, and for children, who already have many interesting things to learn – starting with the fundamentals. The proliferation of these proposals does not seem to me to be very reasonable, especially since most of them are already provided for in the Education Code, and because schools have a great deal of flexibility to implement experiments on different topics – I am thinking in particular of nutrition. In the very interests of children, we must not give in to the temptation to constantly add new content to the teaching provided to them, so interesting that these content may appear, but make choices – because that is also what freedom consists of.
ParlaMint-FR_2019-02-12-O1145.u39	Mr Vincent Rolland has the floor to support Amendment No. 437.
ParlaMint-FR_2019-02-12-O1145.u40	This amendment by my colleague Emmanuel Maquet tends to make the crucial role of Wikipedia recognised in our society and to formalize its use by national education to train students in its consultation and to encourage them to contribute to it in accordance with its own rules.
ParlaMint-FR_2019-02-12-O1145.u41	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u42	Education is not intended to recommend a preferred source of information. On the contrary, it must develop the critical mindset of the students to enable them to analyse different sources of information. Furthermore, article L. 312-15 of the Education Code provides that, in the context of moral and civic education, pupils are trained to develop this critical attitude towards sources of information. Everything you can read on the internet is not true, on Wikipedia as elsewhere. In addition, Wikipedia is a site funded by a U.S. law foundation. Indirect recognition of a public utility role would have important legal and fiscal consequences. That's not the goal you're pursuing. In any event, the measure you are proposing goes far beyond the scope of this text. Unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u43	Mr Alain Ramadier has the floor to support Amendment No. 530.
ParlaMint-FR_2019-02-12-O1145.u44	As we discuss, through this article, the evaluation of the common foundation, this amendment proposes to make explicit reference to the importance of transmitting to our children the major dates and founding figures of the history of France and assessing its knowledge before entering the college. It is a fact that the Republic has consolidated itself in our country thanks to the transmission of the history of France, clear and precise landmarks which are now lacking, but which once allowed us to develop a strong sense of common belonging. In May 2017, following your appointment, Mr.Minister, you stated that you wanted, through the teaching of history, "to convey to children the love of France." This amendment is part of this philosophy.
ParlaMint-FR_2019-02-12-O1145.u45	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u46	Your amendment is satisfied because the history of France is taught in each of the classes of our educational system. As for the awareness of a common belonging based on shared values, in particular those of the Republic, it is also included in article L. 111-1 of the Education Code, which explicitly states that the first mission of the school is "to share the values of the Republic with pupils". Unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u47	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u48	The amendment is satisfactory because, since the declaration to which you referred, many decisions have been taken, including the publication of annual benchmarks for progress in both primary and secondary schools in order to clearly explain the expected acquisitions and chronological benchmarks in the history of France. With regard to the general road school, the overhaul of the second and first programmes has led to a chronological teaching of history in the common block. Moreover, we have created the teaching of specialties – history, geography, political science, geopolitics – that, if they are thematic, leave a large place to the history of France. In any case, these decisions are legally within the competence of the Higher Board of Programmes. The substance of the amendment is satisfied. As far as the form is concerned, unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u49	I have before me a number of amendments, Nos 17, 67, 138 and 491, which can be discussed jointly. Amendments Nos 17, 67 and 138 are identical. I call Mr Patrick Hetzel to support Amendment No. 17.
ParlaMint-FR_2019-02-12-O1145.u50	This amendment seeks Parliament to define the common basis of knowledge and competences in the Education Code by replacing the last sentence of the first paragraph of Article 122-1-1 of the Education Code with two sentences: "This base includes: mastery of the French language; mastering the main elements of mathematics; a humanistic and scientific culture enabling the free exercise of citizenship; the practice of at least one living foreign language; mastering the usual techniques of information and communication. Such knowledge and skills shall be specified by decree, after the advice of the Higher Council of Programmes."
ParlaMint-FR_2019-02-12-O1145.u51	I call Mr Cinieri to support Amendment No. 67.
ParlaMint-FR_2019-02-12-O1145.u52	Mr Hetzel has explained this very well: it seems to us important to clarify in the law the content of the common basis of competence.
ParlaMint-FR_2019-02-12-O1145.u53	Mr Xavier Breton has the floor to support Amendment No. 138.
ParlaMint-FR_2019-02-12-O1145.u54	We are driven by the same will to define in the law this common foundation and I think we can find ourselves in terms of content: the mastery of the French language, that of mathematics, a humanistic and scientific culture that will allow every child to freely exercise his or her citizenship, the practice of a living foreign language and, finally, the mastery of the usual techniques of information and communication. I do not see who could oppose those five objectives around which we could come together. In a way, it would be the nation's command to the education system, and it would then be responsible for defining the means to achieve it. So far, the reverse mechanism has prevailed: there is no objective assigned to our education system, but we bother it every day with inspections that hinder teachers' educational freedom. For our part, we prefer to set broad goals and trust teachers, the educational community, to achieve them.
ParlaMint-FR_2019-02-12-O1145.u55	I call Mr Ludovic Pajot to support Amendment No. 491.
ParlaMint-FR_2019-02-12-O1145.u56	"My homeland is the French language." These words by Albert Camus reflect our feeling when we talk about the beauty and importance of our language. The French language, beyond its symbolic aspect, has been and must remain a tool of cohesion. The assimilationist vocation of our school rests directly on the mastery of our language. Unfortunately, in many territories, the French language is particularly ill-treated. The school thus plays a fundamental role in learning and mastering our language from an early age to university. The reference to mastery of the French language, which was explicitly included in the provisions of the Act of 23 April 2005 on the common basis of knowledge, has disappeared. This amendment therefore tends to re-establish this reference.
ParlaMint-FR_2019-02-12-O1145.u57	What is the committee's opinion on these amendments?
ParlaMint-FR_2019-02-12-O1145.u58	I do not agree with you, Mr. Breton, that we would set no goals for teachers. The common foundation, which comprises five areas of training, is very clearly defined in the decree. You are proposing to include it in the law, which I do not think is appropriate, because its content and the objectives assigned to teachers in the various fields are already clearly defined. On the contrary, it seems to me necessary to be flexible, allowing us the possibility, if necessary, to supplement it. The evolution of knowledge is such that it is possible that we would have to add a new field to this base within five or ten years – I am thinking of the code. Rather than enrolling it in the marble, we must leave it to the Higher Council of Programs, which defines all programs, from kindergarten to bachelor's. Opinions against these amendments.
ParlaMint-FR_2019-02-12-O1145.u59	The Minister has the floor.
ParlaMint-FR_2019-02-12-O1145.u60	Same opinion.
ParlaMint-FR_2019-02-12-O1145.u61	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-12-O1145.u62	I do not understand your arguments, rapporteur. You know our education system well! The contents of the common base were contained in the Fillon Act, and were not only provided for by decree. So don't say it's impossible. The legislator has the power to do so. For the sake of clarity vis-à-vis national education stakeholders, it would be relevant to include the content of the common foundation in the law. We don't understand why you don't. Moreover, decrees are rarely amended. We could very well change some of the provisions of the Education Code if the Government considered it necessary. We therefore maintain these very legitimate amendments.
ParlaMint-FR_2019-02-12-O1145.u63	Mrs Michèle Victory has the floor to support Amendment No. 698.
ParlaMint-FR_2019-02-12-O1145.u64	This amendment by our group aims to guarantee a place in secondary education for students aged 16 or over who, for some reason, are no longer enrolled after their 16th birthday. Some of them may have dropped out for various reasons – school failure, family problems, guidance problems, psychological fragility, school phobia or other problems. However, it is sometimes difficult for these young people to return to an establishment, especially in areas with strong demographics, and they too often find themselves in a situation of drop-out because they do not find a place in an establishment. Home schooling solutions offered by some academies are not sufficient. This amendment is therefore intended to supplement article L. 131-1 of the Education Code with the following sentence: "Every child must be able to be accommodated, between the ages of 16 and 18, in a secondary educational institution as close as possible to his or her home, if his or her family so requests, in order to obtain a diploma". This measure is justified in the interests of equal opportunities.
ParlaMint-FR_2019-02-12-O1145.u65	What is the opinion of the committee?
ParlaMint-FR_2019-02-12-O1145.u66	We share this goal of accompanying all young people up to the age of 18. The Government has tabled an amendment after article 3, to which I shall be in favour, which tends to impose a training obligation for all young people up to the age of majority. In addition, your amendment is satisfactory because the Education Code provides that every non-emancipated minor has the right to continue his or her education beyond the age of 16: "any young person leaving the education system without a diploma shall have an additional period of qualifying training [...] which may consist of a right of return to initial training under school status. This provision may apply beyond the age of 18 years. In addition, where the persons responsible for a minor who is not emancipated oppose the continuation of his or her education beyond the age of 16, an educational assistance measure may be ordered in order to guarantee the child's right to education. Unfavorable opinion.
ParlaMint-FR_2019-02-12-O1145.u67	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u68	For the same reasons, unfavorable opinion, even though this amendment concerns this very important subject, which is the situation of young people between the ages of 16 and 18. After Article 3, I will present an amendment to which I am particularly interested and which allows us to go beyond the ambitions of this amendment with regard to the training of these young people.
ParlaMint-FR_2019-02-12-O1145.u69	Mr Patrick Hetzel has the floor.
ParlaMint-FR_2019-02-12-O1145.u70	[[Xavier Breton applauds]] Minister, you are referring to a government amendment that will be considered after section 3. We will have the opportunity to return, but this is still surprising, because it is a substantial amendment. That such provisions come by way of an amendment is a rather shocking practice! The least we could have done would have been to have this discussion in committee. That you didn't do it is a sign of contempt for national representation. You say you want to create trust, but in reality you do everything to create distrust.
ParlaMint-FR_2019-02-12-O1145.u71	The Minister has the floor.
ParlaMint-FR_2019-02-12-O1145.u72	Member of the European Parliament, I find the tone you are using rather inappropriate. First of all, there is no surprise, as the measure we are talking about has, as you know, been prepared for a very long period of time, including in the framework of the parliamentary consultation on poverty.
ParlaMint-FR_2019-02-12-O1145.u73	But not in committee, Minister!
ParlaMint-FR_2019-02-12-O1145.u74	Yes, I mentioned it in committee. [[Applause on several benches of the LaREM group]] On the other hand, since the beginning of the bill's consideration, I have consistently said that the bill was intended to evolve, particularly as a result of the interactions between the Government and all members of the House of Commons, both the majority and the opposition. You've had several illustrations. You cannot, on the one hand, rejoice in this flexibility and, on the other hand, offend yourself! I think we need to have proportionate reactions.
ParlaMint-FR_2019-02-12-O1145.u75	Mrs Annie Genevard has the floor.
ParlaMint-FR_2019-02-12-O1145.u76	I imagine that we will come back to the matter with the Government's amendment. Madam rapporteur, you are talking about a right to training but, in reality, compulsory education is postponed until the age of 18.
ParlaMint-FR_2019-02-12-O1145.u77	No!
ParlaMint-FR_2019-02-12-O1145.u78	If: that is at stake, since every institution must be able to accommodate a young person until the age of 18 – that is what is proposed in the amendment that you are asking for withdrawal for the benefit of the Government, isn't it? It's not nothing, though, this measure! Moreover, you make it a enforceable right.
ParlaMint-FR_2019-02-12-O1145.u79	No, no, no, no, no, no, no,
ParlaMint-FR_2019-02-12-O1145.u80	Yes, since you said that a young person must be able to get a place in a secondary school, even against the opinion of his family.
ParlaMint-FR_2019-02-12-O1145.u81	I already do!
ParlaMint-FR_2019-02-12-O1145.u82	You will have to explain to us, because the proposal you are going to make, which is in line with this amendment, will fundamentally change the length of compulsory education. I would remind you that during the previous quinquennium there was a great deal of debate about the age at which a young person can start learning. This had given rise to debate: should the age limit be set at 14 years, 15 years or 16 years? However, you are still extending the length of schooling.
ParlaMint-FR_2019-02-12-O1145.u83	And this without impact assessment!
ParlaMint-FR_2019-02-12-O1145.u84	That would be worthy of strong argument!
ParlaMint-FR_2019-02-12-O1145.u85	The rapporteur has the floor.
ParlaMint-FR_2019-02-12-O1145.u86	Mrs Genevard, I would like to make a point, because I fear that we have misunderstood each other. Indeed, I was just quoting Article L. 122-2 of the Education Code, which already provides that "any young person leaving the education system without a diploma shall have a further period of qualifying training [which] may consist of a right to return to initial training under school status". It states: "Where the persons responsible for a minor who is not emancipated oppose the continuation of his education beyond the age of 16, an educational assistance measure may be ordered [...] in order to guarantee the child's right to education". This is the current drafting of the Education Code, as derived from the 2013 Act.
ParlaMint-FR_2019-02-12-O1145.u87	No, 2016!
ParlaMint-FR_2019-02-12-O1145.u88	In that case, why are you proposing an amendment?
ParlaMint-FR_2019-02-12-O1145.u89	I am not proposing an amendment!
ParlaMint-FR_2019-02-12-O1145.u90	Colleagues, thank you for avoiding verbal ping-pong. Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-12-O1145.u91	[[Exclaims on the banks of the LaREM, SOC and GDR groups]] We have just attended the first episode of the series: "Najat Vallaud-Belkacem dreamed of it, Jean-Michel Blanquer did it". [[Same movements]] Here is a socialist amendment that tends to extend schooling from 16 to 18 years. And what does the minister say? "Don't worry, I'll go even further"! We can see clearly: it is a socialist inspiration that is at the basis of this text,...
ParlaMint-FR_2019-02-12-O1145.u92	Don't deny your origins!
ParlaMint-FR_2019-02-12-O1145.u93	... with compulsory education from the age of 3 and the amendment that you are going to present to us. Of which act. It can be regretted that this is done subreptitiously, through an amendment and without any impact study to assess the exact cost of such a measure and its consequences for the organisation of our education system. I repeat, these are purely ideological provisions. This exchange has given us proof of this. The rest of the next episode!
ParlaMint-FR_2019-02-12-O1145.u94	I have before me a number of amendments, Nos 129, 966, 504, 19 and 65, which can be discussed jointly. Amendments Nos 129 and 966 are identical. Mr Xavier Breton has the floor to support Amendment No. 129.
ParlaMint-FR_2019-02-12-O1145.u95	This is an important amendment, which concerns an equally important article of the Education Code, article L. 131-1-1, according to which "the child's right to education is intended to guarantee to him... the education enabling him to develop his personality, moral sense and critical mind". That's all! These are essential concepts. However, there is no mention of the role of the family in this education. We therefore propose that, in this crucial article, which expresses a certain vision of education, it be stated that, if the education system can take part in it, it is in respect of the education transmitted by the family. For us, in fact, a child's first educators are his parents. A certain approach tends, through the concept of co-education, to globalize everything. According to this view, the State would be on an equal footing with families, or should even marginalize them by pre-empting, to their detriment, the upbringing of the child. What we want, for our part, is for the law to state that the family is the first educator of children and that, if national education contributes to this education, which is quite normal, it must be done with respect for the family. If you refuse this, things will be clear. This will affirm the will of the State to supervise children, which will result in provisions to make education compulsory from the age of 3 and beyond 16 years, as well as the attempt to marginalize families and put children directly under the control of a Leviathan State, which we do not wish.
ParlaMint-FR_2019-02-12-O1145.u96	I call Mrs Emmanuelle Ménard to support Amendment No. 966.
ParlaMint-FR_2019-02-12-O1145.u97	I agree with everything that my colleague Breton has just said. [[Exclaims on the banks of the LaREM and SOC groups]] The purpose of this amendment is to include in the law respect for the educational choices of the parents or legal guardians of the child. Indeed, contrary to what one might think, this is not self-evident – unfortunately. The successive ministers have hardly reassured the parents on this matter. Vincent Peillon referred without complex to revolutionary ideology and Najat Vallaud-Belkacem launched plans to combat discrimination which, in reality, spread far from neutral theories, particularly towards families. Your measure of lowering the age of compulsory education to 3 years presents the same risk. In 1793, Le Peletier de Saint-Fargeau already believed that "up to the age of six, the child escapes the vigilance of the legislator, and that this important part of life remains abandoned to the prejudices remaining and to the mercy of old mistakes". If the context has changed, you continue, Minister, to say that this period of life cannot be left to chance. On the contrary, it seems to me important to reaffirm forcefully that parents should not be dispossessed of their educational mission, unless they resign and they are completely disresponsible. Article 26, paragraph 3, of the Universal Declaration of Human Rights states that parents are the first educators of their children. While compulsory education is largely provided by schools, it is necessary that the resulting education complements, not substitutes. The measure I am proposing would therefore be beneficial to the relationship of trust between national education and parents, a link that is at the heart of your bill.
ParlaMint-FR_2019-02-12-O1145.u98	I call Mr Ludovic Pajot to support Amendment No. 504.
ParlaMint-FR_2019-02-12-O1145.u99	This amendment is in line with the previous two. You wanted, minister, to give your bill the title: "For a school of trust." This amendment is in line with this view. Our education code must emphasize that the education received in school – to which the parents entrust their child – is complementary and respectful of the education received in the family setting. As my colleague Ménard pointed out, article 26, paragraph 3, of the Universal Declaration of Human Rights emphasizes that parents are the first educators of their children. In order to avoid an opposition between the two sources of education for children – their families and their schools – we propose to engrave this principle in the law. Thus, parents' confidence in the school will only increase.
ParlaMint-FR_2019-02-12-O1145.u100	I call Mr Patrick Hetzel to support Amendment No. 19.
ParlaMint-FR_2019-02-12-O1145.u101	We have already had this debate in committee, but I believe it is necessary to have it again in the House. The problem is simple: there is education on the one hand and education on the other. What we want to see included in the education code is that the first educators of children are families and that the primary role of the State is to educate. [[Applause on a few benches of the LR group]] You have, Minister, referred to the concept of co-education. We consider that families are the first educators and that there is no need to talk about co-education, the primary role of the State being to educate. That is why many of us have tabled these amendments.
ParlaMint-FR_2019-02-12-O1145.u102	I call Mr Cinieri to support Amendment No. 65.
ParlaMint-FR_2019-02-12-O1145.u103	Minister, it seems to me important to include in the law that parents are the first educators of their children, because respect for freedom of opinion is constitutional in nature.
ParlaMint-FR_2019-02-12-O1145.u104	The right to breathe, too!
ParlaMint-FR_2019-02-12-O1145.u105	What is the committee's opinion on these amendments under joint discussion?
ParlaMint-FR_2019-02-12-O1145.u106	These amendments raise the issue of family-school relations. Some colleagues on the right-hand side of the House are concerned about a possible threat from school to parents and their children's values.
ParlaMint-FR_2019-02-12-O1145.u107	We didn't say that!
ParlaMint-FR_2019-02-12-O1145.u108	The problem is the state!
ParlaMint-FR_2019-02-12-O1145.u109	Underlyingly, they are concerned about an alleged desire to establish a rivalry between family and school. I want to reassure them: no one is thinking for a moment of questioning or challenging the education transmitted by parents, or the values passed on to children in the context of family education.
ParlaMint-FR_2019-02-12-O1145.u110	Happy again!
ParlaMint-FR_2019-02-12-O1145.u111	Nor does anyone dispute the fact that parents are the first educators of their children, as affirmed in the Universal Declaration of Human Rights. On the contrary, in many respects, the bill tends to strengthen the place of parents in school and their participation in school life.
ParlaMint-FR_2019-02-12-O1145.u112	In that case, write it down!
ParlaMint-FR_2019-02-12-O1145.u113	It is well known that if children are to succeed, there must be a relationship of trust between parents and school, so that the child is surrounded by caring adults who work together to ensure his or her success. However, the school also has, of course, its own missions, such as allowing children to discover the world, to confront otherness and to form one's own opinion, beliefs and values. Indeed, the school is also intrinsically emancipating. To go to school is not simply to learn: it is also, sometimes, to emancipate from his family, to chart his way and gain his freedom. I am thinking in particular of Malala and the millions of girls who have been deprived of school by their families around the world: for them, school is necessary and emancipating. [[Applause on the benches of the LaREM and MODEM groups]] Unfavorable opinion on all amendments.
ParlaMint-FR_2019-02-12-O1145.u114	What is the Government's opinion?
ParlaMint-FR_2019-02-12-O1145.u115	On this debate, which you have placed from a philosophical and historical point of view, we could spend several hours. To deal with it under healthy conditions, however, let us never caricature the position of the other. You have tried to put the text in I do not know any authoritarian filiation, or in the one of Saint-Just, which is obviously absurd. As always, what is excessive is derisory. I said this at the beginning of our debates: "school of trust" means, among other things, trust between parents and school. No one denies the primary role of parents, if only by chronological evidence. Far from us, therefore, the idea of challenging in any way the educational role of the family. You have also based yourself on the classical distinction between education and education. The primary role of the school is education, that is correct, but there is no reason to oppose it to education. All this is even a little paradoxical in relation to our previous discussions, where you have been heard pleaded, vibratingly and with arguments to which I supported in part, for the learning of La Marseillaise and national emblems. So you want to entrust this learning to the school. So what do you think if a family is against our anthem and against our emblems? Should the school not, especially in such cases, convey the values that are those of our country? Rather, between families and the educational community, we must ensure convergence, with a view to co-education. This last word, I fully assume: far from denying the role of the family, we put it in this necessary convergence, not to mention the emancipatory role of the school that the rapporteur recalled, because each trajectory is unique. We face considerable societal challenges, especially with regard to the girl child. In this respect, compulsory education from the age of 3 is one of the answers we can give. In general, you are quite sensitive to societal conflicts; I am also surprised, even as we try to answer it – prolonging in this the debate we had on the Gatel law – to hear you invoke rather old references, thus sheltering you behind the theory. This allows you to conceal the fact that it is we who, in this case, are fighting against the factors of enslavement, especially of the little girls. [[Applause on several benches of the LaREM and MODEM groups]] I therefore invite you to reflect, not only on the supporters of your reasonings, but also on their practical outcomes. The opinion is obviously unfavourable.
ParlaMint-FR_2019-02-12-O1145.u116	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2019-02-12-O1145.u117	I agree with what the Minister and the rapporteur have just said.
ParlaMint-FR_2019-02-12-O1145.u118	No joke?
ParlaMint-FR_2019-02-12-O1145.u119	I would add, ladies and gentlemen, that children also influence each other: we "co-educate" ourselves in society, none of your amendments will be able to escape it. You're not gonna keep the kids under bells! I would also like to point out the aberration of these amendments. Yesterday, their authors pointed to the difficulty of making the notions of "exemplarity" and "trust" effective. But how can you verify that the school respects the values of the family, which you want to enshrine in the law? Should teachers ask children what their values are, and tell them that they will respect them? That makes no more sense than the proposals on exemplaryness, which we were discussing last night.
ParlaMint-FR_2019-02-12-O1145.u120	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-02-12-O1145.u121	To be theoretical, these exchanges are no less interesting. On the question of whether parents are the first educators of their children, you have just given us, minister, the same answer, word for word, as Vincent Peillon did a few years ago in this House, when we considered the bill called "school re-foundation," which is as pretentious as those of "school of trust." Yes, Mr. Peillon replied, parents are the first educators, at least from a chronological point of view. For our part, and that is the whole difference, we believe that the case is not only chronological. First educators, parents are, in our view, paramount. Sometimes they may not be able to fulfil this educational role, which is then taken over, but only as a subsidiary, by the State. [[Rites and exclamations on the banks of the LaREM Group]] On this point, your disagreement signifies a collectivist, socialist vision of education.
ParlaMint-FR_2019-02-12-O1145.u122	[[Smile]] There's still some margin!
